レヴナンツトールのコー・ラブンタと、目が合った気がする。			レヴナンツトールのコー・ラブンタと、目が合った気がする。			秘されしオルト・エウレカ							
ニッダーナさんとも、その縁で知り合ったのよ。彼女がどうか、回復しますように……。			ニッダーナさんとも、その縁で知り合ったのよ。彼女がどうか、回復しますように……。			君が抱く歓びの色							
ああ、オレなら大丈夫だ。すごい色の錬金薬のおかげで、だいぶ回復したよ。			ああ、オレなら大丈夫だ。すごい色の錬金薬のおかげで、だいぶ回復したよ。			君が抱く歓びの色							
ただ……無性に腹が減って……。きっと身体が、不足したエーテルを補おうと反応してるんだな。			ただ……無性に腹が減って……。きっと身体が、不足したエーテルを補おうと反応してるんだな。			君が抱く歓びの色							
……ラザハン名物のハンサ料理って、美味いのかな？			……ラザハン名物のハンサ料理って、美味いのかな？			君が抱く歓びの色							
あの、皇都での竜詩戦争最後の戦い……そこで飛び散ったニーズヘッグの鱗も、高い魔力を帯びた素材として重宝されたそうだな。			あの、皇都での竜詩戦争最後の戦い……そこで飛び散ったニーズヘッグの鱗も、高い魔力を帯びた素材として重宝されたそうだな。			君が抱く歓びの色							
最近じゃ、蒼天街を復興した職人連中に配られたとか。まあ、いつまでも忌み嫌われているよりは、それくらい馴染む方がよかったんだろうさ。			最近じゃ、蒼天街を復興した職人連中に配られたとか。まあ、いつまでも忌み嫌われているよりは、それくらい馴染む方がよかったんだろうさ。			君が抱く歓びの色							
よし、あなたも無事到着ね。			よし、あなたも無事到着ね。			君が抱く歓びの色							
Forenameさん、キミも本当にありがとう。塔に捕らわれる直前、最後に覚えてるのは、駆けつけてくれたキミの姿……。			Forenameさん、キミも本当にありがとう。塔に捕らわれる直前、最後に覚えてるのは、駆けつけてくれたキミの姿……。			君が抱く歓びの色							
きっと、あのあとたくさんの障害を乗り越えて、塔からみんなを救い出してくれたんだよね。			きっと、あのあとたくさんの障害を乗り越えて、塔からみんなを救い出してくれたんだよね。			君が抱く歓びの色							
……あの花の輝きが、この心を、感謝を、少しでもキミたちに伝えてくれていますように。「護魂の霊鱗」のことも、どうかよろしくね。			……あの花の輝きが、この心を、感謝を、少しでもキミたちに伝えてくれていますように。「護魂の霊鱗」のことも、どうかよろしくね。			君が抱く歓びの色							
あ～、帰ってきたぁ～！			あ～、帰ってきたぁ～！			君が抱く歓びの色							
おかえりなさい！持って帰ってきた「護魂の霊鱗」は、しっかり保管庫にしまっておいたわ。			おかえりなさい！持って帰ってきた「護魂の霊鱗」は、しっかり保管庫にしまっておいたわ。			君が抱く歓びの色							
ひとまずはこのまま、各国の意向を聞きに行ったみんなが戻るのを待ちましょう。			ひとまずはこのまま、各国の意向を聞きに行ったみんなが戻るのを待ちましょう。			君が抱く歓びの色							
……ということで、私たちは一旦解散よ！サンクレッドさんが言っていたとおり、あなたもよく休んでね！			……ということで、私たちは一旦解散よ！サンクレッドさんが言っていたとおり、あなたもよく休んでね！			君が抱く歓びの色							
そういえば、ナップルームの使い心地はどう？寒かったら追加の毛布を持っていくから、いつでも言ってね。			そういえば、ナップルームの使い心地はどう？寒かったら追加の毛布を持っていくから、いつでも言ってね。			君が抱く歓びの色							
Forename、おかえりぃ～！さっそく塔をひとつ消し去るなんて、快挙じゃない。久々にいい報せが聞けて、俺も嬉しいよ～。			Forename、おかえりぃ～！さっそく塔をひとつ消し去るなんて、快挙じゃない。久々にいい報せが聞けて、俺も嬉しいよ～。			君が抱く歓びの色							
がんばった君には、さらさらのベッドが待っている～！俺、管理人として、そこだけはがんばってるの。研究をやりとげたあとに頬ずりする枕、最高だからねぇ～。			がんばった君には、さらさらのベッドが待っている～！俺、管理人として、そこだけはがんばってるの。研究をやりとげたあとに頬ずりする枕、最高だからねぇ～。			君が抱く歓びの色							
冒険だって、やりとげたら休まないと～！どう？　このまま部屋に帰る？			冒険だって、やりとげたら休まないと～！どう？　このまま部屋に帰る？			君が抱く歓びの色							
「ナップルーム」で休みますか？			「ナップルーム」で休みますか？			君が抱く歓びの色							
