ヌベイ旧鉱山のグスジョンは、約束を果たしてくれるようだ。			ヌベイ旧鉱山のグスジョンは、約束を果たしてくれるようだ。			どうか見つけて							
ウリエンジェからも、所感を聞いてみるといい。……どうにも雲行きが怪しいな。			ウリエンジェからも、所感を聞いてみるといい。……どうにも雲行きが怪しいな。			膨らんだ嘘							
み、みんなの様子がおかしいんだ……！何がどうなっちまったんだよ！？			み、みんなの様子がおかしいんだ……！何がどうなっちまったんだよ！？			膨らんだ嘘							
大丈夫、行けるわ……最高に頭にキてるけどね……！人の命を、いったい何だと思ってるのよ……っ！			大丈夫、行けるわ……最高に頭にキてるけどね……！人の命を、いったい何だと思ってるのよ……っ！			膨らんだ嘘							
ここがユールモア軍との決戦の地なら、ランジートもいる可能性がある。俺との戦いの影響が、まだ残っててくれると嬉しいが……。			ここがユールモア軍との決戦の地なら、ランジートもいる可能性がある。俺との戦いの影響が、まだ残っててくれると嬉しいが……。			膨らんだ嘘							
そうでなくとも、あの街は形状からして攻めがたい……。かつて侵入したときには、まさに、第一世界のリムサ・ロミンサだと感じたものさ。			そうでなくとも、あの街は形状からして攻めがたい……。かつて侵入したときには、まさに、第一世界のリムサ・ロミンサだと感じたものさ。			膨らんだ嘘							
我らが海都の方が、「多少」荒々しく、たくましいが……油断せずに行こう、Forename。			我らが海都の方が、「多少」荒々しく、たくましいが……油断せずに行こう、Forename。			膨らんだ嘘							
ユールモアの最上階……つまり「樹葉の層」にあるのは、ヴァウスリーの部屋。そんな場所に、大罪喰いが……？			ユールモアの最上階……つまり「樹葉の層」にあるのは、ヴァウスリーの部屋。そんな場所に、大罪喰いが……？			膨らんだ嘘							
……嫌な予感がいたします。逸る気持ちはあれど、どうか、ご注意を。			……嫌な予感がいたします。逸る気持ちはあれど、どうか、ご注意を。			膨らんだ嘘							
ヴァウスリーとて、意味もなく住民たちに精神干渉はしないでしょう。……中は、かなり厄介なことになっていそうね。			ヴァウスリーとて、意味もなく住民たちに精神干渉はしないでしょう。……中は、かなり厄介なことになっていそうね。			膨らんだ嘘							
メオルが罪喰いの肉……？そんな……だって、みんな食べて…………。			メオルが罪喰いの肉……？そんな……だって、みんな食べて…………。			膨らんだ嘘							
俺だって食べたけど、疑問なんて何も……。……でも、確かに俺はもらえる量がとても少なかったから、大半の日は、野草や魚を採ってしのいでたんです。			俺だって食べたけど、疑問なんて何も……。……でも、確かに俺はもらえる量がとても少なかったから、大半の日は、野草や魚を採ってしのいでたんです。			膨らんだ嘘							
それが……こんな結果になるなんて……。			それが……こんな結果になるなんて……。			膨らんだ嘘							
恐らく、あの門の向こうには、もはや優雅な音楽も、煌びやかな暮らしもあるまい……。危険だから、カイ・シルはここで待っていてもらおう。			恐らく、あの門の向こうには、もはや優雅な音楽も、煌びやかな暮らしもあるまい……。危険だから、カイ・シルはここで待っていてもらおう。			膨らんだ嘘							
さあ、準備はいいかい……Forename！			さあ、準備はいいかい……Forename！			膨らんだ嘘							
無事かい、Forename……！			無事かい、Forename……！			膨らんだ嘘							
操られた住民たちの波も、一旦途切れた。今のうちに、最上階へ突入するぞ……！			操られた住民たちの波も、一旦途切れた。今のうちに、最上階へ突入するぞ……！			膨らんだ嘘							
時間をくれて、ありがとう。怪我人は、見つけ次第、治療していくよ。			時間をくれて、ありがとう。怪我人は、見つけ次第、治療していくよ。			膨らんだ嘘							
操られなかった人の中にも、騒乱に巻き込まれて、怪我した人がいるみたい。気をつけて見回ってみるわ。			操られなかった人の中にも、騒乱に巻き込まれて、怪我した人がいるみたい。気をつけて見回ってみるわ。			膨らんだ嘘							
大丈夫……あなたの心を縛る術を今、解きます……。			大丈夫……あなたの心を縛る術を今、解きます……。			膨らんだ嘘							
ぁ……ぅう……オレ……は…………。			ぁ……ぅう……オレ……は…………。			膨らんだ嘘							
ユールモア軍は、指揮官を失い、完全に戦意喪失しています。もはや脅威となることはないでしょう……。			ユールモア軍は、指揮官を失い、完全に戦意喪失しています。もはや脅威となることはないでしょう……。			膨らんだ嘘							
なるほど……ユールモアの人々がどんな暮らしをしてたか、ここを見るだけでもよくわかるわ。これからが大変そうね……。			なるほど……ユールモアの人々がどんな暮らしをしてたか、ここを見るだけでもよくわかるわ。これからが大変そうね……。			膨らんだ嘘							
Forename、朗報だ。やってみたところ、ヴァウスリーが市民に掛けた精神支配は、リーンでも解くことができるようだ。			Forename、朗報だ。やってみたところ、ヴァウスリーが市民に掛けた精神支配は、リーンでも解くことができるようだ。			膨らんだ嘘							
対処はもうはじめているが、ほかにも怪我人だのなんだの、俺たちが総出で働いても手が足りていない。			対処はもうはじめているが、ほかにも怪我人だのなんだの、俺たちが総出で働いても手が足りていない。			膨らんだ嘘							
悪いが、お前も力を貸してくれないか？アルフィノの願いに応えて、ユールモアの混乱を収束させよう。			悪いが、お前も力を貸してくれないか？アルフィノの願いに応えて、ユールモアの混乱を収束させよう。			膨らんだ嘘							
ユールモアの「エーテライト」が利用可能となりました。忘れずに「交感」しましょう！			ユールモアの「エーテライト」が利用可能となりました。忘れずに「交感」しましょう！			膨らんだ嘘							
上階を目指せ！			上階を目指せ！			膨らんだ嘘							
ランジートを倒せ！			ランジートを倒せ！			膨らんだ嘘							
この市民たちを鎮めて、先へ進もう。体力を削って無力化するんだ！			この市民たちを鎮めて、先へ進もう。体力を削って無力化するんだ！			膨らんだ嘘							
すま……ない……私が甘かったようだ……。			すま……ない……私が甘かったようだ……。			膨らんだ嘘							
Forenameたちは、次に隙ができたら先に進め。俺とリーンは……			Forenameたちは、次に隙ができたら先に進め。俺とリーンは……			膨らんだ嘘							
こんなところで……嘘だろ……。			こんなところで……嘘だろ……。			膨らんだ嘘							
はい、ここに残って、操られた市民を抑えます！			はい、ここに残って、操られた市民を抑えます！			膨らんだ嘘							
隙ができた……！この場はサンクレッドたちに任せて、進もう！			隙ができた……！この場はサンクレッドたちに任せて、進もう！			膨らんだ嘘							
ごめん、なさい……うまくできなかった……。			ごめん、なさい……うまくできなかった……。			膨らんだ嘘							
兵士たちも、我を失っている……！ともかく体力を削るんだ！			兵士たちも、我を失っている……！ともかく体力を削るんだ！			膨らんだ嘘							
止め処ないわね……。ウリエンジェ、あなたもここに残れて？			止め処ないわね……。ウリエンジェ、あなたもここに残れて？			膨らんだ嘘							
くっ……なんてこと……。			くっ……なんてこと……。			膨らんだ嘘							
もちろんです。この一団を鎮めたのち、皆さんは先へ……。			もちろんです。この一団を鎮めたのち、皆さんは先へ……。			膨らんだ嘘							
兵が途切れた！　私たちは先に行くわよ！			兵が途切れた！　私たちは先に行くわよ！			膨らんだ嘘							
もうしわけ……ありません……。加減を誤ったようです……。			もうしわけ……ありません……。加減を誤ったようです……。			膨らんだ嘘							
くっ、まだいたか……！しかし、この門さえ突破できれば！			くっ、まだいたか……！しかし、この門さえ突破できれば！			膨らんだ嘘							
そんな……ここまで来たのに……。			そんな……ここまで来たのに……。			膨らんだ嘘							
約束どおり、先に行く役目は譲るわ。次に隙ができたら……いいわね？			約束どおり、先に行く役目は譲るわ。次に隙ができたら……いいわね？			膨らんだ嘘							
今だ、Forename！　門の中へ！アリゼーも、どうか無事で！			今だ、Forename！　門の中へ！アリゼーも、どうか無事で！			膨らんだ嘘							
あのときの……人買いの道化師たち……！			あのときの……人買いの道化師たち……！			膨らんだ嘘							
ハァ～イ、ここは通行止めだよ！戻ることも、させないけどね！			ハァ～イ、ここは通行止めだよ！戻ることも、させないけどね！			膨らんだ嘘							
ボクらにとっては、ここが本当の楽園なんだ。邪魔者は死んでくれるかな？			ボクらにとっては、ここが本当の楽園なんだ。邪魔者は死んでくれるかな？			膨らんだ嘘							
……君たちには、戦う意志があると。ならばこちらも、全力で突破する！			……君たちには、戦う意志があると。ならばこちらも、全力で突破する！			膨らんだ嘘							
ねえ、おもしろおかしく死なせてあげるよ。ボクらがそれを、望んだように。			ねえ、おもしろおかしく死なせてあげるよ。ボクらがそれを、望んだように。			膨らんだ嘘							
さあ、永遠に夢を見るんだ！覚めないように、殺し合おうッ！			さあ、永遠に夢を見るんだ！覚めないように、殺し合おうッ！			膨らんだ嘘							
……上に進もう。「樹梢の層」から、クラウンリフトに乗らなくては。			……上に進もう。「樹梢の層」から、クラウンリフトに乗らなくては。			膨らんだ嘘							
まだ兵が残っていたか……！彼らは私が引き受けるから、君は上へ！			まだ兵が残っていたか……！彼らは私が引き受けるから、君は上へ！			膨らんだ嘘							
我は、人として、あの男に敗した。なればこの身は、ただの兵器よ。			我は、人として、あの男に敗した。なればこの身は、ただの兵器よ。			膨らんだ嘘							
ただ滅し、ただ殺し、ただ朽ちゆく……。貴様の命も、刈り取ろう。			ただ滅し、ただ殺し、ただ朽ちゆく……。貴様の命も、刈り取ろう。			膨らんだ嘘							
そろそろ決着だ、反逆者よ……。			そろそろ決着だ、反逆者よ……。			膨らんだ嘘							
進みたくば、砕いてみせよ。永劫の戦場で得た、我が武の極致を……！			進みたくば、砕いてみせよ。永劫の戦場で得た、我が武の極致を……！			膨らんだ嘘							
ああ……ここにいたか……我が娘たちよ…………。			ああ……ここにいたか……我が娘たちよ…………。			膨らんだ嘘							
