ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			大精霊が宿る木							
ここも大丈夫ね。最近は、烈士庵にかなり近いところまで嗅ぎ付けられてたから、警戒していたんだけど……。			ここも大丈夫ね。最近は、烈士庵にかなり近いところまで嗅ぎ付けられてたから、警戒していたんだけど……。			少女ノ目							
念のため、もう少し見回っていきましょう。			念のため、もう少し見回っていきましょう。			少女ノ目							
……突然襲ってきたから、とっさに斬っちゃったんだけど。どうしようかしら、これ……。こんな街道のまんなかに転がしておけないわよね……。			……突然襲ってきたから、とっさに斬っちゃったんだけど。どうしようかしら、これ……。こんな街道のまんなかに転がしておけないわよね……。			少女ノ目							
何と言う？			何と言う？			少女ノ目							
だいぶ強くなったねな			だいぶ強くなったねな			少女ノ目							
自分で片づけろ			自分で片づけろ			少女ノ目							
…………別に、あなたほどじゃないわよ。戦争でどこまで役に立てるかもわからないし。剣と魔法を使った戦い方が、私に合ってただけだわ。			…………別に、あなたほどじゃないわよ。戦争でどこまで役に立てるかもわからないし。剣と魔法を使った戦い方が、私に合ってただけだわ。			少女ノ目							
ひとりで旅していたときに、この戦い方をする、やたら強いミコッテ族に出会ってね。少しの間だけだったけど、手ほどきを受けたのよ。			ひとりで旅していたときに、この戦い方をする、やたら強いミコッテ族に出会ってね。少しの間だけだったけど、手ほどきを受けたのよ。			少女ノ目							
それでも、細剣の扱いには不慣れだったから、我流のエーテルの刃を、要所で使う程度だったんだけど……ウリエンジェが用意してくれた細剣は、扱いやすくて助かるわ。			それでも、細剣の扱いには不慣れだったから、我流のエーテルの刃を、要所で使う程度だったんだけど……ウリエンジェが用意してくれた細剣は、扱いやすくて助かるわ。			少女ノ目							
言われなくても、あなたに任せたりしないわよ。これでも、あなたたちが留守中のドマを守ってきたんだから。			言われなくても、あなたに任せたりしないわよ。これでも、あなたたちが留守中のドマを守ってきたんだから。			少女ノ目							
……けど、どんなに鍛練を積んだところで、戦争って事態を前にして、どれだけ役に立てることか……。			……けど、どんなに鍛練を積んだところで、戦争って事態を前にして、どれだけ役に立てることか……。			少女ノ目							
それはともかく、哨戒任務の続きもしなくちゃ。あなたは先に、見回りに戻っていてくれる？			それはともかく、哨戒任務の続きもしなくちゃ。あなたは先に、見回りに戻っていてくれる？			少女ノ目							
以前、帝国兵が村人に変装しているってこともあったから、もし怪しげな奴がいたら、声をかけてみて。私も、これをどうにかしたら合流するわ。			以前、帝国兵が村人に変装しているってこともあったから、もし怪しげな奴がいたら、声をかけてみて。私も、これをどうにかしたら合流するわ。			少女ノ目							
先に見回りに戻っていて。もし怪しげな奴がいたら、声をかけるのも忘れずにね。			先に見回りに戻っていて。もし怪しげな奴がいたら、声をかけるのも忘れずにね。			少女ノ目							
……おや、何かご用ですか。私たちは、ここらを拓いて新しい田畑をと思いましてね。土地を調べているだけですよ。			……おや、何かご用ですか。私たちは、ここらを拓いて新しい田畑をと思いましてね。土地を調べているだけですよ。			少女ノ目							
なんです……？まさか疑っていらっしゃるのですか？めっそうもありませんよ…………。			なんです……？まさか疑っていらっしゃるのですか？めっそうもありませんよ…………。			少女ノ目							
……なあ、みんな。この方に、私たちの事情を説明してやってくれ。			……なあ、みんな。この方に、私たちの事情を説明してやってくれ。			少女ノ目							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			少女ノ目							
くっ……。			くっ……。			少女ノ目							
あなたが襲われるのが遠目に見えたから、逃げてきたこいつを、足止めしといたわ。……帝国の手の者ね？			あなたが襲われるのが遠目に見えたから、逃げてきたこいつを、足止めしといたわ。……帝国の手の者ね？			少女ノ目							
私も……ついに年貢の納め時か……。長くこの地で活動してきたが、まさかドマ人でもない、よそ者に引導を渡されるとはな……。			私も……ついに年貢の納め時か……。長くこの地で活動してきたが、まさかドマ人でもない、よそ者に引導を渡されるとはな……。			少女ノ目							
何を思ってドマに手を貸しているのかは知らぬが、そう易々と取り戻せるとは思うなよ……。あの娘……ヨツユは、この国から最後まで奪い続けようぞ。			何を思ってドマに手を貸しているのかは知らぬが、そう易々と取り戻せるとは思うなよ……。あの娘……ヨツユは、この国から最後まで奪い続けようぞ。			少女ノ目							
Forename……ッ！			Forename……ッ！			少女ノ目							
……という次第で、ナエウリ家に特別恩賞を渡しにきた。教師たちも、アサヒの優秀さには一目置いているそうだ。			……という次第で、ナエウリ家に特別恩賞を渡しにきた。教師たちも、アサヒの優秀さには一目置いているそうだ。			少女ノ目							
今後の努力次第では、本国の魔導院に留学できる可能性もある。こんな辺境の属州には、めったにない誉であるぞ。引き続き、精進するように。			今後の努力次第では、本国の魔導院に留学できる可能性もある。こんな辺境の属州には、めったにない誉であるぞ。引き続き、精進するように。			少女ノ目							
ハハァ、恐悦至極にございますぅ！息子の優秀さには、ワタクシたち両親も驚くばかりで……きっと帝国式の教育と相性がよいのですわ、オホホ！			ハハァ、恐悦至極にございますぅ！息子の優秀さには、ワタクシたち両親も驚くばかりで……きっと帝国式の教育と相性がよいのですわ、オホホ！			少女ノ目							
(-やせこけた少女-)かかさま……畑の方、おわった…………。			(-やせこけた少女-)かかさま……畑の方、おわった…………。			少女ノ目							
ちょいとヨツユ！お客様の前には出てくるなと言っただろう！？ああもう、小汚い……あっちへお行き！			ちょいとヨツユ！お客様の前には出てくるなと言っただろう！？ああもう、小汚い……あっちへお行き！			少女ノ目							
……………………はい。			……………………はい。			少女ノ目							
……今のは？お前の娘かね？			……今のは？お前の娘かね？			少女ノ目							
いえ、そのぉ……死んだ姉夫婦の娘でして……養ってやってるのに、言いつけを守らないので困っております。			いえ、そのぉ……死んだ姉夫婦の娘でして……養ってやってるのに、言いつけを守らないので困っております。			少女ノ目							
ふむ……学舎には寄越しているか？あの年頃の児童には、教育を受けさせるべしと、属州法で定められているはずだが……。			ふむ……学舎には寄越しているか？あの年頃の児童には、教育を受けさせるべしと、属州法で定められているはずだが……。			少女ノ目							
あ、ああ、はい！ときどき……それなりに……何せ、体が弱いものでして……オホホ……。			あ、ああ、はい！ときどき……それなりに……何せ、体が弱いものでして……オホホ……。			少女ノ目							
危なかった……。			危なかった……。			少女ノ目							
ちょっと、いきなりぼうっとしちゃって、どうしたの？もしかして、具合でも悪かった……？			ちょっと、いきなりぼうっとしちゃって、どうしたの？もしかして、具合でも悪かった……？			少女ノ目							
そう、ならいいけれど……絶対に無理はしちゃだめだからね。私は先に戻って、こいつらのことを報告しておくわ。			そう、ならいいけれど……絶対に無理はしちゃだめだからね。私は先に戻って、こいつらのことを報告しておくわ。			少女ノ目							
そっちは順調？			そっちは順調？			少女ノ目							
哨戒任務、おつかれさま。……付き合ってくれて、ありがとう。			哨戒任務、おつかれさま。……付き合ってくれて、ありがとう。			少女ノ目							
襲ってきた帝国兵については、みんなに報告しておいたわ。こっちも向こうも、いよいよ情報は隠し通せない……戦備を整えて先に動いた方が、圧倒的に有利になる。			襲ってきた帝国兵については、みんなに報告しておいたわ。こっちも向こうも、いよいよ情報は隠し通せない……戦備を整えて先に動いた方が、圧倒的に有利になる。			少女ノ目							
正念場ね……。私も、すぐにほかの準備にまわるわ。あなたにもそうしてほしいけれど……ねえ、本当に大丈夫？			正念場ね……。私も、すぐにほかの準備にまわるわ。あなたにもそうしてほしいけれど……ねえ、本当に大丈夫？			少女ノ目							
烈士庵の勇猛なる烈士は、冒険者に頼みたいことがあるようだ。			烈士庵の勇猛なる烈士は、冒険者に頼みたいことがあるようだ。			旅立ちの酒							
勇猛なる烈士と話す			勇猛なる烈士と話す			旅立ちの酒							
指定地点に玄水の酒を使う			指定地点に玄水の酒を使う			旅立ちの酒							
勇猛なる烈士と話す			勇猛なる烈士と話す			旅立ちの酒							
指定地点に玄水の酒を使う			指定地点に玄水の酒を使う			旅立ちの酒							
勇猛なる烈士と話す			勇猛なる烈士と話す			旅立ちの酒							
指定地点に玄水の酒を使う			指定地点に玄水の酒を使う			旅立ちの酒							
勇猛なる烈士と話す			勇猛なる烈士と話す			旅立ちの酒							
お主、我らに協力しているという、西方の英雄だな？鋭い眼光を放っておるゆえ、傍目にもわかったぞ。ちょうどよい、ひとつ頼まれてはもらえぬか。			お主、我らに協力しているという、西方の英雄だな？鋭い眼光を放っておるゆえ、傍目にもわかったぞ。ちょうどよい、ひとつ頼まれてはもらえぬか。			旅立ちの酒							
なに、荒事とは無縁の簡単なことよ。少しばかり外に出て、散歩がてら玄水の酒を、撒いてくれればよいだけのこと。			なに、荒事とは無縁の簡単なことよ。少しばかり外に出て、散歩がてら玄水の酒を、撒いてくれればよいだけのこと。			旅立ちの酒							
何の意味があるのか、疑問に思うかもしれないが、異国の奇妙な風習とでも思ってくれればよいさ。			何の意味があるのか、疑問に思うかもしれないが、異国の奇妙な風習とでも思ってくれればよいさ。			旅立ちの酒							
この「玄水の酒」をもって、「城下船場」まで来てもらえるか？詳しいことは、現地にて話すとしよう。			この「玄水の酒」をもって、「城下船場」まで来てもらえるか？詳しいことは、現地にて話すとしよう。			旅立ちの酒							
待っていたぞ。渡した「玄水の酒」を、そこに撒いてやってくれるか？			待っていたぞ。渡した「玄水の酒」を、そこに撒いてやってくれるか？			旅立ちの酒							
渡した「玄水の酒」を、そこに撒いてやってくれるか？			渡した「玄水の酒」を、そこに撒いてやってくれるか？			旅立ちの酒							
この無二江は、ヤンサにとって、かつては重要な運河であった。往時には、多くの船乗りや荷運び人が、さまざまな荷を担いで、行き交っていたものよ。			この無二江は、ヤンサにとって、かつては重要な運河であった。往時には、多くの船乗りや荷運び人が、さまざまな荷を担いで、行き交っていたものよ。			旅立ちの酒							
さて、次は「門前侍町」へ向かうとしよう。ついて参られよ。			さて、次は「門前侍町」へ向かうとしよう。ついて参られよ。			旅立ちの酒							
かつて、この門前侍町には、武家屋敷が軒を連ねていた。ドマの先代国主、カイエン様に仕える侍たちが、暮らしていたのさ。			かつて、この門前侍町には、武家屋敷が軒を連ねていた。ドマの先代国主、カイエン様に仕える侍たちが、暮らしていたのさ。			旅立ちの酒							
特にここに建っていた、剣術指南役の屋敷には、腕を磨くため、多くの若者が集ったものだ。さあ、「玄水の酒」を、ここに撒いてくれ。			特にここに建っていた、剣術指南役の屋敷には、腕を磨くため、多くの若者が集ったものだ。さあ、「玄水の酒」を、ここに撒いてくれ。			旅立ちの酒							
さあ、「玄水の酒」を、ここに撒いてくれ。			さあ、「玄水の酒」を、ここに撒いてくれ。			旅立ちの酒							
次は、町の西側に参ろうか。			次は、町の西側に参ろうか。			旅立ちの酒							
ここは、かつて大老だった者の屋敷の跡地だ。武芸にも秀でていたが、句の名人としても知られ、句会では、カイエン様をもうならせるほどの俳人であった。			ここは、かつて大老だった者の屋敷の跡地だ。武芸にも秀でていたが、句の名人としても知られ、句会では、カイエン様をもうならせるほどの俳人であった。			旅立ちの酒							
それでは、「玄水の酒」を、ここに撒いてくれるか？			それでは、「玄水の酒」を、ここに撒いてくれるか？			旅立ちの酒							
「玄水の酒」を、ここに撒いてくれるか？			「玄水の酒」を、ここに撒いてくれるか？			旅立ちの酒							
これで、ひととおり巡り終わったな。それでは、烈士庵へ戻るとしよう。			これで、ひととおり巡り終わったな。それでは、烈士庵へ戻るとしよう。			旅立ちの酒							
付き合ってくれて、ありがとう。共に巡り、酒を撒いてもらった場所は、何処も、我が同志が帝国との戦いで散った場所なのだ。			付き合ってくれて、ありがとう。共に巡り、酒を撒いてもらった場所は、何処も、我が同志が帝国との戦いで散った場所なのだ。			旅立ちの酒							
代理総督ヨツユが、見せしめに門前侍町を破壊しようとしたとき、勇敢にも抵抗し、命を落とした仲間たちのな……。			代理総督ヨツユが、見せしめに門前侍町を破壊しようとしたとき、勇敢にも抵抗し、命を落とした仲間たちのな……。			旅立ちの酒							
西方の英雄に酒を酌んでもらえて、仲間たちも喜んでいるに違いないだろう。			西方の英雄に酒を酌んでもらえて、仲間たちも喜んでいるに違いないだろう。			旅立ちの酒							
お主のような、心強い仲間ができたことを、同志たちに知ってもらいたく、かようなことを頼んだ次第。最後まで付き合っていただき、心から感謝する。			お主のような、心強い仲間ができたことを、同志たちに知ってもらいたく、かようなことを頼んだ次第。最後まで付き合っていただき、心から感謝する。			旅立ちの酒							
烈士庵の眼光鋭い女侍は、空を飛べる武人を探しているようだ。			烈士庵の眼光鋭い女侍は、空を飛べる武人を探しているようだ。			ヤンサ捜査線							
眼光鋭い女侍と話す			眼光鋭い女侍と話す			ヤンサ捜査線							
指定地点へ向かい、望遠鏡で疑惑のある烈士を確認			指定地点へ向かい、望遠鏡で疑惑のある烈士を確認			ヤンサ捜査線							
指定地点へ向かい、望遠鏡で疑惑のある烈士を再度確認			指定地点へ向かい、望遠鏡で疑惑のある烈士を再度確認			ヤンサ捜査線							
指定地点へ向かい、望遠鏡で疑惑のある烈士をさらに確認			指定地点へ向かい、望遠鏡で疑惑のある烈士をさらに確認			ヤンサ捜査線							
眼光鋭い女侍に報告			眼光鋭い女侍に報告			ヤンサ捜査線							
……貴殿の仲間に聞いたのだが、空を飛べるというのは本当か？			……貴殿の仲間に聞いたのだが、空を飛べるというのは本当か？			ヤンサ捜査線							
それなら、協力してほしい仕事があるのだが、引き受けてはくれぬだろうか？ドマ出身者よりも、異国の出である貴殿の方が適任なことでな……。			それなら、協力してほしい仕事があるのだが、引き受けてはくれぬだろうか？ドマ出身者よりも、異国の出である貴殿の方が適任なことでな……。			ヤンサ捜査線							
ここではあれなので、場所を移すとしよう。烈士庵の外で、待っているぞ。			ここではあれなので、場所を移すとしよう。烈士庵の外で、待っているぞ。			ヤンサ捜査線							
わざわざ場所を変えてすまない。実は、私は極秘裏に裏切り者の捜査をしていてな……すでに、その者の見当もついている。			わざわざ場所を変えてすまない。実は、私は極秘裏に裏切り者の捜査をしていてな……すでに、その者の見当もついている。			ヤンサ捜査線							
だが、ヤツは現役こそ退いたものの、かつてドマの上忍だった者。尾行に慣れていない自分が後をつけようものなら、気づかれてしまうやもしれぬ……。			だが、ヤツは現役こそ退いたものの、かつてドマの上忍だった者。尾行に慣れていない自分が後をつけようものなら、気づかれてしまうやもしれぬ……。			ヤンサ捜査線							
そこで貴殿の力を、借してほしいというわけなのだ。まずは、この望遠鏡を受け取ってくれ。			そこで貴殿の力を、借してほしいというわけなのだ。まずは、この望遠鏡を受け取ってくれ。			ヤンサ捜査線							
忍びにも気づかれぬほど遠方から、監視が可能な代物だ。建物や岩山といった高い場所からであれば、見晴らしも良いだろうし、何をしているかうかがえると思う。			忍びにも気づかれぬほど遠方から、監視が可能な代物だ。建物や岩山といった高い場所からであれば、見晴らしも良いだろうし、何をしているかうかがえると思う。			ヤンサ捜査線							
見たままを報告してもらえれば、対処は我らがするので、手出しは無用だ。ヤツはこれから、大龍月亮門の調査に向かうだろう。			見たままを報告してもらえれば、対処は我らがするので、手出しは無用だ。ヤツはこれから、大龍月亮門の調査に向かうだろう。			ヤンサ捜査線							
事前に調査済みの、監視に適した場所を地図に記した。私は烈士庵に戻るので、任務が済み次第、報告を頼む。			事前に調査済みの、監視に適した場所を地図に記した。私は烈士庵に戻るので、任務が済み次第、報告を頼む。			ヤンサ捜査線							
ヤツの動きを掴めただろうか？			ヤツの動きを掴めただろうか？			ヤンサ捜査線							
何と答える？			何と答える？			ヤンサ捜査線							
人狼族と会っていた			人狼族と会っていた			ヤンサ捜査線							
なにかの取引をしていた			なにかの取引をしていた			ヤンサ捜査線							
人狼族と会っていた？興味深い情報だな……。			人狼族と会っていた？興味深い情報だな……。			ヤンサ捜査線							
取引をしていた？ふむ……渡していたものの想像はつく。			取引をしていた？ふむ……渡していたものの想像はつく。			ヤンサ捜査線							
ここ最近、各地の協力者から送られてくる、物資や支援金の一部が、忽然と消え失せてしまっていたのだ。もしや、野盗と化した人狼族に渡っているというのか……？			ここ最近、各地の協力者から送られてくる、物資や支援金の一部が、忽然と消え失せてしまっていたのだ。もしや、野盗と化した人狼族に渡っているというのか……？			ヤンサ捜査線							
ドマ再興のため、結束せねばならないというときに……。あとは、我らが引き取るとしよう。協力に感謝する。			ドマ再興のため、結束せねばならないというときに……。あとは、我らが引き取るとしよう。協力に感謝する。			ヤンサ捜査線							
烈士庵のモトジロは、冒険者にお願いしたいことがあるようだ。			烈士庵のモトジロは、冒険者にお願いしたいことがあるようだ。			鋼の心							
マガツ・キヨフサを討伐し、おびき寄せた巨体のキヨフサに酸性の秘薬を使い討伐			マガツ・キヨフサを討伐し、おびき寄せた巨体のキヨフサに酸性の秘薬を使い討伐			鋼の心							
モトジロに報告			モトジロに報告			鋼の心							
Forename様。よろしければ、私の願いを聞いていただけませんか？			Forename様。よろしければ、私の願いを聞いていただけませんか？			鋼の心							
その願いとは、ほかでもありません。我が子らを……討伐していただきたいのです。			その願いとは、ほかでもありません。我が子らを……討伐していただきたいのです。			鋼の心							
言い方が、悪うございました。我が子とは、「マガツ・キヨフサ」のこと。ドマ防衛のため、我ら人形師が造った、からくり兵でございます。			言い方が、悪うございました。我が子とは、「マガツ・キヨフサ」のこと。ドマ防衛のため、我ら人形師が造った、からくり兵でございます。			鋼の心							
からくり兵たちは、帝国軍相手に奮戦したのですが、ドマが敗れた後、武器ともども接収されてしまいました。いずれ廃棄されるのだろう……我々は、そう考えておりました。			からくり兵たちは、帝国軍相手に奮戦したのですが、ドマが敗れた後、武器ともども接収されてしまいました。いずれ廃棄されるのだろう……我々は、そう考えておりました。			鋼の心							
しかし、代理総督のヨツユめはマガツ・キヨフサを、門前侍町を破壊するために投入してきたのです……！			しかし、代理総督のヨツユめはマガツ・キヨフサを、門前侍町を破壊するために投入してきたのです……！			鋼の心							
ドマを守るために生まれた子らが、守るべき街並みの破壊を命じられる……。これ以上ない、残酷な仕打ちといえましょう。			ドマを守るために生まれた子らが、守るべき街並みの破壊を命じられる……。これ以上ない、残酷な仕打ちといえましょう。			鋼の心							
そこで貴方様に、「門前侍町」で破壊を続ける我が子らを、倒していただきたいのです。			そこで貴方様に、「門前侍町」で破壊を続ける我が子らを、倒していただきたいのです。			鋼の心							
ただ、マガツ・キヨフサを倒していると現れる、ひときわ大きな「巨体のキヨフサ」には、注意してかかってください。			ただ、マガツ・キヨフサを倒していると現れる、ひときわ大きな「巨体のキヨフサ」には、注意してかかってください。			鋼の心							
特別な鋼で鎧われているため、力押しで倒すのは骨が折れますが、この「酸性の秘薬」を使って装甲を脆くすれば、必ず破壊できるはず。どうか、よろしくお願いいたします……！			特別な鋼で鎧われているため、力押しで倒すのは骨が折れますが、この「酸性の秘薬」を使って装甲を脆くすれば、必ず破壊できるはず。どうか、よろしくお願いいたします……！			鋼の心							
我が子らを倒していただき、ありがとうございました。あの巨体のキヨフサは、今は亡き我が父の、最後の作でした。			我が子らを倒していただき、ありがとうございました。あの巨体のキヨフサは、今は亡き我が父の、最後の作でした。			鋼の心							
父が精魂込めて造ったキヨフサたちが、亡霊のように彷徨い続けている姿は忍びなかったですが、これで、気持ちにひとつの区切りがつきました。			父が精魂込めて造ったキヨフサたちが、亡霊のように彷徨い続けている姿は忍びなかったですが、これで、気持ちにひとつの区切りがつきました。			鋼の心							
人形師として、私には今、やらねばならぬことがあります。……それは、真の意味でドマを守る、からくり兵を造ること。			人形師として、私には今、やらねばならぬことがあります。……それは、真の意味でドマを守る、からくり兵を造ること。			鋼の心							
時間はかかるやもしれませぬが、必ずや成し遂げてみせます。重ね重ね、ありがとうございました。すべての人形師に代わり、お礼を申し上げます。			時間はかかるやもしれませぬが、必ずや成し遂げてみせます。重ね重ね、ありがとうございました。すべての人形師に代わり、お礼を申し上げます。			鋼の心							
クサカリの里のツラヌキは、ヘラヘラと冒険者たちを眺めている。			クサカリの里のツラヌキは、ヘラヘラと冒険者たちを眺めている。			生き続けるために							
手製爆弾を使い放棄された魔導兵器を破壊			手製爆弾を使い放棄された魔導兵器を破壊			生き続けるために							
剥がれた装甲板を入手			剥がれた装甲板を入手			生き続けるために							
手製爆弾を使い放棄された魔導兵器を破壊			手製爆弾を使い放棄された魔導兵器を破壊			生き続けるために							
剥がれた装甲板を入手			剥がれた装甲板を入手			生き続けるために							
ツラヌキに剥がれた装甲板を渡す			ツラヌキに剥がれた装甲板を渡す			生き続けるために							
ねえ、この人…………。			ねえ、この人…………。			生き続けるために							
……この人が、ツラヌキさんだ。			……この人が、ツラヌキさんだ。			生き続けるために							
大龍壁も月亮門も、もともとは、城に出入りする船を管理するために、ドマの民が作り上げたものだそうだ。			大龍壁も月亮門も、もともとは、城に出入りする船を管理するために、ドマの民が作り上げたものだそうだ。			生き続けるために							
ゆえに、侵入自体はそれほど難しくない。あとは敵がどれだけ配備されているかだが……忍びたちの手も借りて、必ず魔導障壁を解除してみせよう。			ゆえに、侵入自体はそれほど難しくない。あとは敵がどれだけ配備されているかだが……忍びたちの手も借りて、必ず魔導障壁を解除してみせよう。			生き続けるために							
1年前の反乱の折、忍びの里からも、帝国に寝返る者が出た。そのせいもあって、里にも大きな被害が出てな……。			1年前の反乱の折、忍びの里からも、帝国に寝返る者が出た。そのせいもあって、里にも大きな被害が出てな……。			生き続けるために							
今も残っている忍びたちは、あの日の無念を胸に抱いて、再び忠義を誓い、鍛練を積んできた者たちなのだ。			今も残っている忍びたちは、あの日の無念を胸に抱いて、再び忠義を誓い、鍛練を積んできた者たちなのだ。			生き続けるために							
で……なんでぇ？帝国兵と戦うために、村人が鎧う防具がほしいってぇ？			で……なんでぇ？帝国兵と戦うために、村人が鎧う防具がほしいってぇ？			生き続けるために							
あひゃひゃひゃひゃ！死ににいくのに防具がほしいたぁ、阿呆かい！？どうしてもってんなら、鉄板でも腹に仕込んでな！			あひゃひゃひゃひゃ！死ににいくのに防具がほしいたぁ、阿呆かい！？どうしてもってんなら、鉄板でも腹に仕込んでな！			生き続けるために							
おうおう、男ツラヌキ、鉄材を持ってきてくれりゃ、腹巻みたいな鉄板をこさえてやんよぉ！あひゃひゃっ！			おうおう、男ツラヌキ、鉄材を持ってきてくれりゃ、腹巻みたいな鉄板をこさえてやんよぉ！あひゃひゃっ！			生き続けるために							
いや、ツラヌキさん、鉄材なんてそう簡単には……。			いや、ツラヌキさん、鉄材なんてそう簡単には……。			生き続けるために							
この阿呆！　とんちき！　大うつけ！帝国の魔導兵器の残骸が、そこかしこにあるじゃねぇか！			この阿呆！　とんちき！　大うつけ！帝国の魔導兵器の残骸が、そこかしこにあるじゃねぇか！			生き続けるために							
そぉれ、じじい特製の爆弾をくれてやらぁ！帝国兵を殺すために作ったもんだから、威力は折り紙つき！こいつで兵器を爆破して、「剥がれた装甲板」をとってきな！			そぉれ、じじい特製の爆弾をくれてやらぁ！帝国兵を殺すために作ったもんだから、威力は折り紙つき！こいつで兵器を爆破して、「剥がれた装甲板」をとってきな！			生き続けるために							
言い方はともかく、鉄板をおなかに仕込むってのは手だね。ほかに頼れそうな相手もいないんだ、手分けして「剥がれた装甲板」を集めてこよう！			言い方はともかく、鉄板をおなかに仕込むってのは手だね。ほかに頼れそうな相手もいないんだ、手分けして「剥がれた装甲板」を集めてこよう！			生き続けるために							
ま、どこに鉄板を仕込もうが、死ぬときゃ死ぬがねぇ！あひゃひゃひゃひゃ！			ま、どこに鉄板を仕込もうが、死ぬときゃ死ぬがねぇ！あひゃひゃひゃひゃ！			生き続けるために							
こっちも、装甲板を集めてきたよ！			こっちも、装甲板を集めてきたよ！			生き続けるために							
帝国兵に見つかるんじゃないかって、ひやひやしたぞ……。			帝国兵に見つかるんじゃないかって、ひやひやしたぞ……。			生き続けるために							
ひゃーっ！　なんてぇこった！おめぇまで、本気で装甲板を集めてきたのかい！？			ひゃーっ！　なんてぇこった！おめぇまで、本気で装甲板を集めてきたのかい！？			生き続けるために							
あひゃひゃひゃ！なんでぇ、本気で村人どもを引き連れて、戦いに行く気だってのかい！			あひゃひゃひゃ！なんでぇ、本気で村人どもを引き連れて、戦いに行く気だってのかい！			生き続けるために							
やめとけ、やめとけ！ドマは死んだ、みんな死んだ！			やめとけ、やめとけ！ドマは死んだ、みんな死んだ！			生き続けるために							
カイエン様だって、若様だって……このじじいたちが殺したんだ……。			カイエン様だって、若様だって……このじじいたちが殺したんだ……。			生き続けるために							
ドマはなぁ、この25年間、確かに帝国の属州だった……。それでもこの国の色が残っているのは、カイエン様のおかげよ。			ドマはなぁ、この25年間、確かに帝国の属州だった……。それでもこの国の色が残っているのは、カイエン様のおかげよ。			生き続けるために							
帝国の連中は、思想の違うオレたちを支配するため、ドマを属州としてから数年後に、カイエン様を復権させた。実際は何の権限も持たない、仮初の殿君としてな……。			帝国の連中は、思想の違うオレたちを支配するため、ドマを属州としてから数年後に、カイエン様を復権させた。実際は何の権限も持たない、仮初の殿君としてな……。			生き続けるために							
あの方は、それを承知の上で、少しでもドマを残すために、根気よく働きかけ続けた。……オレたちは、それが辛くてねぇ。			あの方は、それを承知の上で、少しでもドマを残すために、根気よく働きかけ続けた。……オレたちは、それが辛くてねぇ。			生き続けるために							
カイエン様の奥方様が、長年の心労で亡くなられたのをきっかけに、ここぞとばかり、反乱の計画を持ちかけたのさ。			カイエン様の奥方様が、長年の心労で亡くなられたのをきっかけに、ここぞとばかり、反乱の計画を持ちかけたのさ。			生き続けるために							
以後、約10年……念入りに準備を重ねたが、最後は知ってのとおりの惨敗だ。			以後、約10年……念入りに準備を重ねたが、最後は知ってのとおりの惨敗だ。			生き続けるために							
カイエン様は、こんなじじいたちを生かすため、業火に煙る町人地で討たれた。そのときドマは終わった、ああ、終わっちまったんだ……ッ！			カイエン様は、こんなじじいたちを生かすため、業火に煙る町人地で討たれた。そのときドマは終わった、ああ、終わっちまったんだ……ッ！			生き続けるために							
……勝手に終わらせるなよ。まだ先はある、そのために俺たちは戦うって決めたんだ。			……勝手に終わらせるなよ。まだ先はある、そのために俺たちは戦うって決めたんだ。			生き続けるために							
それに、カイエン様の遺したものも、まだ消えちゃいない。若様を、こいつらが連れ帰ってくれたんだ。			それに、カイエン様の遺したものも、まだ消えちゃいない。若様を、こいつらが連れ帰ってくれたんだ。			生き続けるために							
ヒエン様を……！？そんな……おい、冗談じゃねぇだろうなッ！？			ヒエン様を……！？そんな……おい、冗談じゃねぇだろうなッ！？			生き続けるために							
冗談なんかじゃない。ヒエンは戻ってきてる、ドマのために戦うつもりで！			冗談なんかじゃない。ヒエンは戻ってきてる、ドマのために戦うつもりで！			生き続けるために							
ああ……ああ……！なんてこった……本当に、そんなことが……！			ああ……ああ……！なんてこった……本当に、そんなことが……！			生き続けるために							
なら、こうしちゃいられねぇ！皆を守る黒金の腹当、打たせてもらおうじゃねぇか！			なら、こうしちゃいられねぇ！皆を守る黒金の腹当、打たせてもらおうじゃねぇか！			生き続けるために							
必要なのは、10か？　100か？いくつでもかまわねぇ、このツラヌキのじじいが打つッ！若ぇの、ちょいと手伝いな！			必要なのは、10か？　100か？いくつでもかまわねぇ、このツラヌキのじじいが打つッ！若ぇの、ちょいと手伝いな！			生き続けるために							
烈士庵のアリゼーは、冒険者を案じているようだ。			烈士庵のアリゼーは、冒険者を案じているようだ。			ドマ民一揆							
リセと話す			リセと話す			ドマ民一揆							
イッセと話す			イッセと話す			ドマ民一揆							
ツラヌキと話す			ツラヌキと話す			ドマ民一揆							
そっちは順調？			そっちは順調？			ドマ民一揆							
大龍壁も月亮門も、もともとは、城に出入りする船を管理するために、ドマの民が作り上げたものだそうだ。			大龍壁も月亮門も、もともとは、城に出入りする船を管理するために、ドマの民が作り上げたものだそうだ。			ドマ民一揆							
ゆえに、侵入自体はそれほど難しくない。あとは敵がどれだけ配備されているかだが……忍びたちの手も借りて、必ず魔導障壁を解除してみせよう。			ゆえに、侵入自体はそれほど難しくない。あとは敵がどれだけ配備されているかだが……忍びたちの手も借りて、必ず魔導障壁を解除してみせよう。			ドマ民一揆							
