ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウクラマトの平和							
まずは祭拝殿に入る許可をもらうとしよう。ウクラマトからなら話ぐらい聞いてくれるだろ。			まずは祭拝殿に入る許可をもらうとしよう。ウクラマトからなら話ぐらい聞いてくれるだろ。			記憶の民、ヨカフイ族							
それにしても立派な建物ね。外観からは、トラルヴィドラールが封じられているようには、見えないけれど……。			それにしても立派な建物ね。外観からは、トラルヴィドラールが封じられているようには、見えないけれど……。			記憶の民、ヨカフイ族							
封印の守り手たちが目を光らせているね。気軽に立ち入ることのできる場所ではないようだ。			封印の守り手たちが目を光らせているね。気軽に立ち入ることのできる場所ではないようだ。			記憶の民、ヨカフイ族							
祭拝殿に入りたいなんて言ったら、怒られたりしないでしょうね……。			祭拝殿に入りたいなんて言ったら、怒られたりしないでしょうね……。			記憶の民、ヨカフイ族							
あなたは？カーリョーザー祭拝殿に何用か？			あなたは？カーリョーザー祭拝殿に何用か？			記憶の民、ヨカフイ族							
んじゃ、門番と話して祭拝殿立ち入りの許可をもらうとするか。			んじゃ、門番と話して祭拝殿立ち入りの許可をもらうとするか。			記憶の民、ヨカフイ族							
アタシはトライヨラ連王国第一王女、ウクラマトだ。継承の儀の試練を受けるために、連王の選者を探してる。ここにグーフールーって奴がいるなら、会わせてくれねぇか？			アタシはトライヨラ連王国第一王女、ウクラマトだ。継承の儀の試練を受けるために、連王の選者を探してる。ここにグーフールーって奴がいるなら、会わせてくれねぇか？			記憶の民、ヨカフイ族							
あなたのことは祭司長より聞き及んでいる。さあ、中へ。			あなたのことは祭司長より聞き及んでいる。さあ、中へ。			記憶の民、ヨカフイ族							
思いの外、あっさり通してくれたな……。とにかく入ってみようぜ！			思いの外、あっさり通してくれたな……。とにかく入ってみようぜ！			記憶の民、ヨカフイ族							
こいつが……！？			こいつが……！？			記憶の民、ヨカフイ族							
ああ、ヴァリガルマンダだ……！			ああ、ヴァリガルマンダだ……！			記憶の民、ヨカフイ族							
(-？？？？-)よくぞおいでになられた。			(-？？？？-)よくぞおいでになられた。			記憶の民、ヨカフイ族							
あなたが祭司長グーフールー殿ですか？			あなたが祭司長グーフールー殿ですか？			記憶の民、ヨカフイ族							
否、私は祭司ズームーウー。ここに祭司長はおりません。			否、私は祭司ズームーウー。ここに祭司長はおりません。			記憶の民、ヨカフイ族							
なあ、本当にそいつがヴァリガルマンダなのか？			なあ、本当にそいつがヴァリガルマンダなのか？			記憶の民、ヨカフイ族							
然り。トラル大陸の歴史において、過去幾度も覚醒し、生ける天災として恐れられたトラルヴィドラール……。			然り。トラル大陸の歴史において、過去幾度も覚醒し、生ける天災として恐れられたトラルヴィドラール……。			記憶の民、ヨカフイ族							
かつて大陸の覇者であった我らヨカフイ族ですら、その強大な力の前では、ただ蹂躙されるばかりでした。			かつて大陸の覇者であった我らヨカフイ族ですら、その強大な力の前では、ただ蹂躙されるばかりでした。			記憶の民、ヨカフイ族							
80年前にオルコ・パチャが襲われた際にも、多くの死者が出た。グルージャジャ様と、その仲間たちの助けがなくば、全滅していたでしょう。			80年前にオルコ・パチャが襲われた際にも、多くの死者が出た。グルージャジャ様と、その仲間たちの助けがなくば、全滅していたでしょう。			記憶の民、ヨカフイ族							
彼らとヴァリガルマンダの戦いは、実に10日間も続きました。死闘と呼ぶに相応しき戦いが繰り広げられたのです。			彼らとヴァリガルマンダの戦いは、実に10日間も続きました。死闘と呼ぶに相応しき戦いが繰り広げられたのです。			記憶の民、ヨカフイ族							
先に限界を迎えたのは、グルージャジャ様たちでした。並外れた生命力を誇る敵を前に、ついに体力が底をつき、窮地に立たされたのです。			先に限界を迎えたのは、グルージャジャ様たちでした。並外れた生命力を誇る敵を前に、ついに体力が底をつき、窮地に立たされたのです。			記憶の民、ヨカフイ族							
そんなとき、グルージャジャ様の理の頭が奇策を思いつかれた。ヴァリガルマンダが有する氷の魔力を暴走させ、自らを氷漬けにさせたのです。			そんなとき、グルージャジャ様の理の頭が奇策を思いつかれた。ヴァリガルマンダが有する氷の魔力を暴走させ、自らを氷漬けにさせたのです。			記憶の民、ヨカフイ族							
その結果がこれか……さすがは理のオヤジだぜ！			その結果がこれか……さすがは理のオヤジだぜ！			記憶の民、ヨカフイ族							
けど、オヤジの力でもこいつを倒すことはできなかったんだな。もし封印が解けちまったら、どうなっちまうんだよ……。			けど、オヤジの力でもこいつを倒すことはできなかったんだな。もし封印が解けちまったら、どうなっちまうんだよ……。			記憶の民、ヨカフイ族							
その心配には、我々も頭を悩ませているところ。事実、この80年間で封印の力は弱まってきておりましてね。			その心配には、我々も頭を悩ませているところ。事実、この80年間で封印の力は弱まってきておりましてね。			記憶の民、ヨカフイ族							
先の大嵐も、火、氷、雷を操るヴァリガルマンダの力が、封印から漏れ出したために起こったもの……。そう考える者もいるのです。			先の大嵐も、火、氷、雷を操るヴァリガルマンダの力が、封印から漏れ出したために起こったもの……。そう考える者もいるのです。			記憶の民、ヨカフイ族							
俺たちが遭遇した、あの大嵐が……。			俺たちが遭遇した、あの大嵐が……。			記憶の民、ヨカフイ族							
それはそうと、皆さんは「墓の試練」を受けにきたのでしょう？「連王の選者」である祭司長グーフールーから、継承候補者の方々に言伝を預かっております。			それはそうと、皆さんは「墓の試練」を受けにきたのでしょう？「連王の選者」である祭司長グーフールーから、継承候補者の方々に言伝を預かっております。			記憶の民、ヨカフイ族							
「この険しく広大な山の中から、オレを見つけだしてみせよ。　それがお前たちに与える『墓の試練』である」……以上です。			「この険しく広大な山の中から、オレを見つけだしてみせよ。　それがお前たちに与える『墓の試練』である」……以上です。			記憶の民、ヨカフイ族							
連王の選者を探しだすこと自体が試練というわけか。			連王の選者を探しだすこと自体が試練というわけか。			記憶の民、ヨカフイ族							
ところで、兄さんたちもここにきたのか？			ところで、兄さんたちもここにきたのか？			記憶の民、ヨカフイ族							
然り。すでに祭司長を探しに出ておりますよ。			然り。すでに祭司長を探しに出ておりますよ。			記憶の民、ヨカフイ族							
なら急がねぇとな……！			なら急がねぇとな……！			記憶の民、ヨカフイ族							
探すにしても、手がかりが必要だ。まずはこの集落の人たちから話を聞いてみよう。			探すにしても、手がかりが必要だ。まずはこの集落の人たちから話を聞いてみよう。			記憶の民、ヨカフイ族							
規格外の獣なんて、エオルゼアの方でも何度も見てきてるが……肌を刺すような鋭い威圧感を覚えたのは、久しぶりだ。			規格外の獣なんて、エオルゼアの方でも何度も見てきてるが……肌を刺すような鋭い威圧感を覚えたのは、久しぶりだ。			記憶の民、ヨカフイ族							
ヴァリガルマンダの封印からは、大量のエーテルが漏れ出したような痕跡を感じたわ。あれじゃ、もってあと数年……といったところでしょうね。			ヴァリガルマンダの封印からは、大量のエーテルが漏れ出したような痕跡を感じたわ。あれじゃ、もってあと数年……といったところでしょうね。			記憶の民、ヨカフイ族							
この広大な山岳地帯から、ひとりのヨカフイ族を見つけるなど、闇雲に探していては不可能だろう。当たりをつけるためにも、まずは情報を集めなければね。			この広大な山岳地帯から、ひとりのヨカフイ族を見つけるなど、闇雲に探していては不可能だろう。当たりをつけるためにも、まずは情報を集めなければね。			記憶の民、ヨカフイ族							
超常の力を得た獣というと、東方の「瑞獣」のことを思い出すわね。トラルヴィドラールも似た存在……ということかしら？			超常の力を得た獣というと、東方の「瑞獣」のことを思い出すわね。トラルヴィドラールも似た存在……ということかしら？			記憶の民、ヨカフイ族							
それにしても……ヴァリガルマンダはデカかったなぁ！仲間がいたとはいえ、あらためてオヤジの強さを実感したぜ。			それにしても……ヴァリガルマンダはデカかったなぁ！仲間がいたとはいえ、あらためてオヤジの強さを実感したぜ。			記憶の民、ヨカフイ族							
もし封印が解けちまったら、今度はアタシらの世代が何とかしねぇといけねぇんだよな……。そんなこと、できんのか……？			もし封印が解けちまったら、今度はアタシらの世代が何とかしねぇといけねぇんだよな……。そんなこと、できんのか……？			記憶の民、ヨカフイ族							
カーリョーザー祭拝殿前のアルフィノは情報を集めたいようだ。			カーリョーザー祭拝殿前のアルフィノは情報を集めたいようだ。			墓の試練							
ウォーラーの残響で情報を集める			ウォーラーの残響で情報を集める			墓の試練							
指定地点で待機			指定地点で待機			墓の試練							
クルルと話す			クルルと話す			墓の試練							
エレンヴィルと話す			エレンヴィルと話す			墓の試練							
ウクラマトと話す			ウクラマトと話す			墓の試練							
ウクラマトと再度話す			ウクラマトと再度話す			墓の試練							
アリゼーと話す			アリゼーと話す			墓の試練							
ウクラマトと話す			ウクラマトと話す			墓の試練							
さて、「墓の試練」を超えて秘石を手に入れるために、祭司長グーフールーを探そうぜ！			さて、「墓の試練」を超えて秘石を手に入れるために、祭司長グーフールーを探そうぜ！			墓の試練							
規格外の獣なんて、エオルゼアの方でも何度も見てきてるが……肌を刺すような鋭い威圧感を覚えたのは、久しぶりだ。			規格外の獣なんて、エオルゼアの方でも何度も見てきてるが……肌を刺すような鋭い威圧感を覚えたのは、久しぶりだ。			墓の試練							
ヴァリガルマンダの封印からは、大量のエーテルが漏れ出したような痕跡を感じたわ。あれじゃ、もってあと数年……といったところでしょうね。			ヴァリガルマンダの封印からは、大量のエーテルが漏れ出したような痕跡を感じたわ。あれじゃ、もってあと数年……といったところでしょうね。			墓の試練							
超常の力を得た獣というと、東方の「瑞獣」のことを思い出すわね。トラルヴィドラールも似た存在……ということかしら？			超常の力を得た獣というと、東方の「瑞獣」のことを思い出すわね。トラルヴィドラールも似た存在……ということかしら？			墓の試練							
私たちに課された「墓の試練」は、この山のどこかにいる、祭司長グーフールーを見つけだすこと。そこで手分けして情報を集めたいところだが……			私たちに課された「墓の試練」は、この山のどこかにいる、祭司長グーフールーを見つけだすこと。そこで手分けして情報を集めたいところだが……			墓の試練							
これが試練である以上、そう簡単に居場所を教えてもらえるとは思えない。			これが試練である以上、そう簡単に居場所を教えてもらえるとは思えない。			墓の試練							
そこで、聞き込みの際には、グーフールー殿について尋ねながらも、どんな会話をしたのか、よく覚えておいてもらいたい。			そこで、聞き込みの際には、グーフールー殿について尋ねながらも、どんな会話をしたのか、よく覚えておいてもらいたい。			墓の試練							
直接的な言及がなくとも、会話の中に、手がかりが隠されている可能性があるからね。では、各自数名から話を聞き、またここで集まってくれ。			直接的な言及がなくとも、会話の中に、手がかりが隠されている可能性があるからね。では、各自数名から話を聞き、またここで集まってくれ。			墓の試練							
それにしても、でけぇなぁ。ハヌハヌ族よりひと回り大きいぐらいか？			それにしても、でけぇなぁ。ハヌハヌ族よりひと回り大きいぐらいか？			墓の試練							
これ、ヨカフイ族の文字よね。なんて描いてあるのかしら。			これ、ヨカフイ族の文字よね。なんて描いてあるのかしら。			墓の試練							
ヨカフイ族は、基本的にはみんな温厚で大人しいようね。			ヨカフイ族は、基本的にはみんな温厚で大人しいようね。			墓の試練							
この畑では、トウモロコシを育ててるようだ。北のサカ・トラルでも見られる代表的な穀物だな。			この畑では、トウモロコシを育ててるようだ。北のサカ・トラルでも見られる代表的な穀物だな。			墓の試練							
話を聞き終えたら、先ほどの場所で集まろう。			話を聞き終えたら、先ほどの場所で集まろう。			墓の試練							
祭司長の居場所を知らないかだと？そういえば、今日は見ていないな。			祭司長の居場所を知らないかだと？そういえば、今日は見ていないな。			墓の試練							
ところで、先ほど祭拝殿から出てきたシュバラール族……ウクラマト王女だというのは本当か？			ところで、先ほど祭拝殿から出てきたシュバラール族……ウクラマト王女だというのは本当か？			墓の試練							
なんだか頼りなさそうに見えるが、グルージャジャ殿の後継者として相応しい御方なのかね？			なんだか頼りなさそうに見えるが、グルージャジャ殿の後継者として相応しい御方なのかね？			墓の試練							
その点、青いフビゴ族の姿をしたゾラージャ王子は、グルージャジャ殿に勝るとも劣らない迫力を纏っていたな。			その点、青いフビゴ族の姿をしたゾラージャ王子は、グルージャジャ殿に勝るとも劣らない迫力を纏っていたな。			墓の試練							
おや、君も祭司長のことを尋ねて回っているのかい？今、グーフールー殿がどこにいるかは知らないけれど、ぜひ一度、会ってもらいたいものだよ。			おや、君も祭司長のことを尋ねて回っているのかい？今、グーフールー殿がどこにいるかは知らないけれど、ぜひ一度、会ってもらいたいものだよ。			墓の試練							
彼は伝統を重んじる立派な人物だからね。たとえば僕が今彫っている絵文字の彫刻なんかも、とても大切にしてくれているんだ。			彼は伝統を重んじる立派な人物だからね。たとえば僕が今彫っている絵文字の彫刻なんかも、とても大切にしてくれているんだ。			墓の試練							
これは人が生きた証を刻んだもので、今日、君と出会ったことなんかも記録されることになる。太陽が幾度も巡った後でも、この出会いを振り返れるようにね。			これは人が生きた証を刻んだもので、今日、君と出会ったことなんかも記録されることになる。太陽が幾度も巡った後でも、この出会いを振り返れるようにね。			墓の試練							
もし僕たちの文化が知りたいなら、墓所のひとつ「佇(たたず)む自証(じしょう)」に行ってみてよ。ここから北西の方にあるからさ。			もし僕たちの文化が知りたいなら、墓所のひとつ「佇(たたず)む自証(じしょう)」に行ってみてよ。ここから北西の方にあるからさ。			墓の試練							
「佇む自証」に行けば、僕たちヨカフイ族のことが少しわかるかもしれないよ。			「佇む自証」に行けば、僕たちヨカフイ族のことが少しわかるかもしれないよ。			墓の試練							
トライヨラ……いや、外つ国から来た者か。			トライヨラ……いや、外つ国から来た者か。			墓の試練							
悪いが、グーフールー殿の居所は知らん。祭司長は封印の監視役であると同時に、墓守でもある故、不在にしてることが多いからな。			悪いが、グーフールー殿の居所は知らん。祭司長は封印の監視役であると同時に、墓守でもある故、不在にしてることが多いからな。			墓の試練							
それにしても、トラル公用語を使うのは久しぶりだ。ここまで訪ねてくる者は希少だからな。			それにしても、トラル公用語を使うのは久しぶりだ。ここまで訪ねてくる者は希少だからな。			墓の試練							
では、集めた情報を共有し合おう。まずはグーフールー殿の居所について、話が聞けた者は？			では、集めた情報を共有し合おう。まずはグーフールー殿の居所について、話が聞けた者は？			墓の試練							
予想どおり誰も聞けなかったようだね。では、祭司長について些細なことでも、なにかわかったことがあれば教えてほしい。			予想どおり誰も聞けなかったようだね。では、祭司長について些細なことでも、なにかわかったことがあれば教えてほしい。			墓の試練							
アタシが聞いた話じゃ、祭司長には墓守の側面もあるんだってよ。			アタシが聞いた話じゃ、祭司長には墓守の側面もあるんだってよ。			墓の試練							
その話は私も聞いたわ。ヨカフイ族にとって、お墓というのは特別な存在のようね。			その話は私も聞いたわ。ヨカフイ族にとって、お墓というのは特別な存在のようね。			墓の試練							
墓守が行くところと言えば、墓場が相場だが……それはどこにあるのだろう？			墓守が行くところと言えば、墓場が相場だが……それはどこにあるのだろう？			墓の試練							
佇む自証……それがヨカフイ族の墓場がある場所かい？			佇む自証……それがヨカフイ族の墓場がある場所かい？			墓の試練							
なら、グーフールーがいるかどうかはともかく、ひとまず「佇む自証」ってところに行ってみようぜ！ヨカフイ族のこと、もっとよく知りたいしな！			なら、グーフールーがいるかどうかはともかく、ひとまず「佇む自証」ってところに行ってみようぜ！ヨカフイ族のこと、もっとよく知りたいしな！			墓の試練							
ここから北西の場所にあるって話だったわね。ならまずは、街のそちら側の出口に向かってみましょう。			ここから北西の場所にあるって話だったわね。ならまずは、街のそちら側の出口に向かってみましょう。			墓の試練							
ほかのみんなは、佇む自証を目指して西へ進んでいったわよ。道がかなり急勾配になってるみたいだから、転ばないように、それぞれのペースでね。			ほかのみんなは、佇む自証を目指して西へ進んでいったわよ。道がかなり急勾配になってるみたいだから、転ばないように、それぞれのペースでね。			墓の試練							
エレンヴィルさんに追いつけば、的確に案内をしてくれるはず。私も、このあたりの地形を確認したら、すぐに追いかけるわ。			エレンヴィルさんに追いつけば、的確に案内をしてくれるはず。私も、このあたりの地形を確認したら、すぐに追いかけるわ。			墓の試練							
もしかして遠くに見えるあれが、佇む自証……？			もしかして遠くに見えるあれが、佇む自証……？			墓の試練							
急勾配の坂だらけで、歩きづらいわね……。			急勾配の坂だらけで、歩きづらいわね……。			墓の試練							
ここは、墓というよりも住居のように見えるが、放棄されてもうずいぶん経っているようだね。			ここは、墓というよりも住居のように見えるが、放棄されてもうずいぶん経っているようだね。			墓の試練							
このクレーターを見てくれ。薪どころか草すらないのに火が燃え続けてるだろう？			このクレーターを見てくれ。薪どころか草すらないのに火が燃え続けてるだろう？			墓の試練							
トライヨラ叙事詩いわく、これはヴァリガルマンダが暴れたときに生じたものだそうだ。			トライヨラ叙事詩いわく、これはヴァリガルマンダが暴れたときに生じたものだそうだ。			墓の試練							
かの存在が操る炎は、嵐の中でも燃え続け、永遠に消えることがないんだとか。てっきり、盛って書かれてるもんだと思ってたが……。			かの存在が操る炎は、嵐の中でも燃え続け、永遠に消えることがないんだとか。てっきり、盛って書かれてるもんだと思ってたが……。			墓の試練							
それはそうと、「佇む自証」は、街道を北西に進んだ先だ。ウクラマトが先行してるはずだが、道に迷ってないだろうな……。			それはそうと、「佇む自証」は、街道を北西に進んだ先だ。ウクラマトが先行してるはずだが、道に迷ってないだろうな……。			墓の試練							
どうやら、来たようだな。			どうやら、来たようだな。			墓の試練							
これが「ひとりでは見られない世界」……あいつも連王たちとの旅を通じて、それを見たのか？だったら、俺だって……。			これが「ひとりでは見られない世界」……あいつも連王たちとの旅を通じて、それを見たのか？だったら、俺だって……。			墓の試練							
へへっ、アタシが一番乗りだ！			へへっ、アタシが一番乗りだ！			墓の試練							
んじゃ、みんな揃ったところで、こいつに話を聞いてみるか。			んじゃ、みんな揃ったところで、こいつに話を聞いてみるか。			墓の試練							
なあ、お前がグーフールーか？			なあ、お前がグーフールーか？			墓の試練							
いいや、俺は祭司長ではないよ。ただ、彼から頼みごとをひとつ引き受けている。自分を探しに来た者がいたら、この墓のことを教えるようにと。			いいや、俺は祭司長ではないよ。ただ、彼から頼みごとをひとつ引き受けている。自分を探しに来た者がいたら、この墓のことを教えるようにと。			墓の試練							
そうか、ならここに来たのは、まったくのハズレってわけじゃないんだな！それじゃ教えてくれよ、ここには誰が眠ってるんだ？			そうか、ならここに来たのは、まったくのハズレってわけじゃないんだな！それじゃ教えてくれよ、ここには誰が眠ってるんだ？			墓の試練							
誰も眠ってなどいないさ。役目を終えた肉体は火葬され、オルコ・パチャの山々に散骨されるからな。			誰も眠ってなどいないさ。役目を終えた肉体は火葬され、オルコ・パチャの山々に散骨されるからな。			墓の試練							
そもそも我らが考える「死」は、君たちのそれとは異なる。人が死ぬのは、心臓が止まったときではない。自己の存在が、すべての人々の心から消え去ったときだ。			そもそも我らが考える「死」は、君たちのそれとは異なる。人が死ぬのは、心臓が止まったときではない。自己の存在が、すべての人々の心から消え去ったときだ。			墓の試練							
だから俺たちは、肉体が終わりを迎える前に墓を建てる。皆の心の中で、永遠に生き続けるために。			だから俺たちは、肉体が終わりを迎える前に墓を建てる。皆の心の中で、永遠に生き続けるために。			墓の試練							
これは、俺の親しい友人の墓でな。彼の肉体は、数年前にその役目を終えたが、友人は今でも俺の心の中で生きている。			これは、俺の親しい友人の墓でな。彼の肉体は、数年前にその役目を終えたが、友人は今でも俺の心の中で生きている。			墓の試練							
あの中には、俺の墓もあるんだ。			あの中には、俺の墓もあるんだ。			墓の試練							
墓がある限り、俺の存在は残り続ける。友人のように、墓に刻まれた絵文字を読んだ者の心の中で、生きていくことができるからな。			墓がある限り、俺の存在は残り続ける。友人のように、墓に刻まれた絵文字を読んだ者の心の中で、生きていくことができるからな。			墓の試練							
ヨカフイ族の「死」に対する考え方は、もともとあなたたちが持っていたものだったの？			ヨカフイ族の「死」に対する考え方は、もともとあなたたちが持っていたものだったの？			墓の試練							
「忘れじの深奥(しんおう)」に行ってみるといい。そこで我らの歴史を知ることで、今の問いの答えが見えてくるだろう。			「忘れじの深奥(しんおう)」に行ってみるといい。そこで我らの歴史を知ることで、今の問いの答えが見えてくるだろう。			墓の試練							
なら、そっちにも行ってみようぜ。もっと知りたくなってきたからな。アタシたちとは違う、ヨカフイ族の生き方ってやつをさ！			なら、そっちにも行ってみようぜ。もっと知りたくなってきたからな。アタシたちとは違う、ヨカフイ族の生き方ってやつをさ！			墓の試練							
こちらこそ、話を聞いてくれて感謝する。俺の存在を、君たちの心に残すことができたのだから。「忘れじの深奥」はこの道の先だ、気をつけて行きなさい。			こちらこそ、話を聞いてくれて感謝する。俺の存在を、君たちの心に残すことができたのだから。「忘れじの深奥」はこの道の先だ、気をつけて行きなさい。			墓の試練							
「忘れじの深奥」に行けば、我らヨカフイ族の歴史を知ることができるだろう。			「忘れじの深奥」に行けば、我らヨカフイ族の歴史を知ることができるだろう。			墓の試練							
お待ちしていましたよ。			お待ちしていましたよ。			墓の試練							
さっきの彼と同じく、私たちを待っていたようね……。			さっきの彼と同じく、私たちを待っていたようね……。			墓の試練							
人は肉体的な終わりを迎えても、誰かの心の中で生き続ける……か。			人は肉体的な終わりを迎えても、誰かの心の中で生き続ける……か。			墓の試練							
だとしたら、ガラフおじいちゃんも、私の心の中で生きているってことになるのよね。そう考えると、少し温かな気持ちになってくるのはなぜかしら。			だとしたら、ガラフおじいちゃんも、私の心の中で生きているってことになるのよね。そう考えると、少し温かな気持ちになってくるのはなぜかしら。			墓の試練							
これまでヨカフイ族と話したことがなかったからな、彼らがああいう死生観を持ってる部族とは知らなかった。			これまでヨカフイ族と話したことがなかったからな、彼らがああいう死生観を持ってる部族とは知らなかった。			墓の試練							
上にあるのは壁画か……！4つそれぞれ違う場面を描いているようだが……。			上にあるのは壁画か……！4つそれぞれ違う場面を描いているようだが……。			墓の試練							
あのさ、佇む自証で出会った奴から、ここに来るよう勧められたんだけどよ……。			あのさ、佇む自証で出会った奴から、ここに来るよう勧められたんだけどよ……。			墓の試練							
祭司長の命により、あなたがたをお待ちしておりました。我が家系は、語り部としてこの壁画に描かれた伝承を、祖先より継承しております。			祭司長の命により、あなたがたをお待ちしておりました。我が家系は、語り部としてこの壁画に描かれた伝承を、祖先より継承しております。			墓の試練							
ずいぶん立派な壁画ね。もしかして、これはヨカフイ族の歴史を描いてるの？			ずいぶん立派な壁画ね。もしかして、これはヨカフイ族の歴史を描いてるの？			墓の試練							
そのとおり。あなたがたには、試練に臨む前に知っていただきたいのです。我らヨカフイ族の、これまでの在り方を……。			そのとおり。あなたがたには、試練に臨む前に知っていただきたいのです。我らヨカフイ族の、これまでの在り方を……。			墓の試練							
ああ、望むところだぜ。ぜひ聞かせてくれよ！			ああ、望むところだぜ。ぜひ聞かせてくれよ！			墓の試練							
では、さっそく……			では、さっそく……			墓の試練							
これは、ヨカフイ族の隆盛期を描いた壁画です。伝承によれば、千百年以上もの大昔とのこと……。			これは、ヨカフイ族の隆盛期を描いた壁画です。伝承によれば、千百年以上もの大昔とのこと……。			墓の試練							
他の部族よりも体躯に恵まれたヨカフイ族は、その圧倒的な力をもとに、ヨカ・トラルの大半を、支配下に収めたといいます……。			他の部族よりも体躯に恵まれたヨカフイ族は、その圧倒的な力をもとに、ヨカ・トラルの大半を、支配下に収めたといいます……。			墓の試練							
多くの部族を制圧した祖先たちは、さらなる勢力の拡大を狙い、北を目指した……。			多くの部族を制圧した祖先たちは、さらなる勢力の拡大を狙い、北を目指した……。			墓の試練							
そのサカ・トラル出征の様子を描いたのがこちらの壁画。船では渡れぬ海峡を渡るため、祖先たちは100年の歳月をかけ、北へ渡る大橋を完成させました。			そのサカ・トラル出征の様子を描いたのがこちらの壁画。船では渡れぬ海峡を渡るため、祖先たちは100年の歳月をかけ、北へ渡る大橋を完成させました。			墓の試練							
トライヨラに今も遺ってる、ゾーゴー永結橋のことだよな。あんなデカい橋まで作って、サカ・トラルに攻め入るだなんて、やることが大き過ぎるぜ……。			トライヨラに今も遺ってる、ゾーゴー永結橋のことだよな。あんなデカい橋まで作って、サカ・トラルに攻め入るだなんて、やることが大き過ぎるぜ……。			墓の試練							
あれ、でもあっち側の大陸に、ヨカフイ族がいるなんて聞いたことないぞ？			あれ、でもあっち側の大陸に、ヨカフイ族がいるなんて聞いたことないぞ？			墓の試練							
次の壁画をご覧いただければ、その疑問も解消されるでしょう。			次の壁画をご覧いただければ、その疑問も解消されるでしょう。			墓の試練							
これは……ヨカフイ族が大勢倒れているように見えるけれど、サカ・トラルの出征時に、いったい何が起こったというの？			これは……ヨカフイ族が大勢倒れているように見えるけれど、サカ・トラルの出征時に、いったい何が起こったというの？			墓の試練							
千年ほど前に行われた出征において、サカ・トラルに足を踏み入れた祖先たちを待っていたのは、正体不明の病でした。			千年ほど前に行われた出征において、サカ・トラルに足を踏み入れた祖先たちを待っていたのは、正体不明の病でした。			墓の試練							
病気か……。			病気か……。			墓の試練							
これは特段、新しい病ではありませんでした。現地で暮らすトナワータ族やシャトナ族にとっては、季節ごとに流行る、ちょっとした風邪程度のもの……。			これは特段、新しい病ではありませんでした。現地で暮らすトナワータ族やシャトナ族にとっては、季節ごとに流行る、ちょっとした風邪程度のもの……。			墓の試練							
ところが、ヨカフイ族が感染すると、なぜか命を奪い去るほどの恐ろしい力を発揮しました。			ところが、ヨカフイ族が感染すると、なぜか命を奪い去るほどの恐ろしい力を発揮しました。			墓の試練							
こうして同胞の実に9割が、北の大地で命を落とし、生き残った者も、子が生まれづらくなる後遺症に苦しんだのです。			こうして同胞の実に9割が、北の大地で命を落とし、生き残った者も、子が生まれづらくなる後遺症に苦しんだのです。			墓の試練							
異国の地で耐性のない病に罹ると、現地民よりも強く症状が現れることがある……。サカ・トラル出征が失敗に終わったのも、頷ける話だ。			異国の地で耐性のない病に罹ると、現地民よりも強く症状が現れることがある……。サカ・トラル出征が失敗に終わったのも、頷ける話だ。			墓の試練							
遺体を土葬せず、火葬するようになった要因でもありそうだね。			遺体を土葬せず、火葬するようになった要因でもありそうだね。			墓の試練							
最後の壁画は、ここオルコ・パチャを描いたもの。サカ・トラルへの出征で多くの同胞を喪った祖先たちは、故郷であるこの山へと戻ってきました。			最後の壁画は、ここオルコ・パチャを描いたもの。サカ・トラルへの出征で多くの同胞を喪った祖先たちは、故郷であるこの山へと戻ってきました。			墓の試練							
そもそも、私たちが戦い続けていたのは、このオルコ・パチャの平和を護るためだったのです。			そもそも、私たちが戦い続けていたのは、このオルコ・パチャの平和を護るためだったのです。			墓の試練							
遙か昔、ヨカフイ族の始祖は、この大陸に我らとは違う見た目、違う考え方を持った部族がいると知りました。そしていつか彼らが、私たちのもとへ攻めてくると考えた。			遙か昔、ヨカフイ族の始祖は、この大陸に我らとは違う見た目、違う考え方を持った部族がいると知りました。そしていつか彼らが、私たちのもとへ攻めてくると考えた。			墓の試練							
故に、先にこちらから打って出ることにしたのです。ですが、そうして戦い続ければ戦い続けるほど、本当に欲しかった平和は遠ざかっていった……。			故に、先にこちらから打って出ることにしたのです。ですが、そうして戦い続ければ戦い続けるほど、本当に欲しかった平和は遠ざかっていった……。			墓の試練							
そして、サカ・トラル出征が失敗に終わって故郷に戻ったとき、祖先たちは……ようやく気づいたのです。			そして、サカ・トラル出征が失敗に終わって故郷に戻ったとき、祖先たちは……ようやく気づいたのです。			墓の試練							
私たちが望んだものは、始めからここにあったのだ、と。生まれ育った場所で、記憶を石に刻みながら生きる。それこそが私たちにとっての真の平和だったのです。			私たちが望んだものは、始めからここにあったのだ、と。生まれ育った場所で、記憶を石に刻みながら生きる。それこそが私たちにとっての真の平和だったのです。			墓の試練							
戦い続けるかぎり、目の前の平和に気づくことができない……。			戦い続けるかぎり、目の前の平和に気づくことができない……。			墓の試練							
私の話はこれで終わりです。我らヨカフイ族の歴史、おわかりいただけましたか？			私の話はこれで終わりです。我らヨカフイ族の歴史、おわかりいただけましたか？			墓の試練							
お前たちが、これまでどうやって生きてきたのか……そして、これからどうやって生きていきたいのか……同じ国に生きる同胞として、たしかに受け取った！			お前たちが、これまでどうやって生きてきたのか……そして、これからどうやって生きていきたいのか……同じ国に生きる同胞として、たしかに受け取った！			墓の試練							
