エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			護る者、壊す者							
Forename、後生だ。パシェニネのために頼むよ……！			Forename、後生だ。パシェニネのために頼むよ……！			幻魚術のためのウマウマ怪魚							
本当は、この国が大変ないま、頼むべきことじゃないのかもしれねぇ。でも、だからこそ、こいつを支えてやりてぇんだ……！			本当は、この国が大変ないま、頼むべきことじゃないのかもしれねぇ。でも、だからこそ、こいつを支えてやりてぇんだ……！			幻魚術のためのウマウマ怪魚							
ハヌハヌ族に似た魚と聞いちゃ、俺も楽しみだな。「アングリーハヌハヌヘッド」はゾーゴー海峡東付近で、「トンボ」で釣れると思うから、よろしく頼むぜ！			ハヌハヌ族に似た魚と聞いちゃ、俺も楽しみだな。「アングリーハヌハヌヘッド」はゾーゴー海峡東付近で、「トンボ」で釣れると思うから、よろしく頼むぜ！			幻魚術のためのウマウマ怪魚							
試練の魔物が、すごく強くて……。おふたりの力を借りているのに、不甲斐なくて申し訳ないです……。			試練の魔物が、すごく強くて……。おふたりの力を借りているのに、不甲斐なくて申し訳ないです……。			幻魚術のためのウマウマ怪魚							
なるほど、なるほど、こいつが噂の、「アングリーハヌハヌヘッド」か。なかなかいい面構えしてるじゃねぇの。			なるほど、なるほど、こいつが噂の、「アングリーハヌハヌヘッド」か。なかなかいい面構えしてるじゃねぇの。			幻魚術のためのウマウマ怪魚							
ほう、ほう、こいつが噂の「アングリーハヌハヌヘッド」か！ずいぶん立派な面構えしてるじゃねぇの！			ほう、ほう、こいつが噂の「アングリーハヌハヌヘッド」か！ずいぶん立派な面構えしてるじゃねぇの！			幻魚術のためのウマウマ怪魚							
この丸々とした魚らしからぬ図体……たしかに、たしかに、俺たちハヌハヌに似てなくもないな！			この丸々とした魚らしからぬ図体……たしかに、たしかに、俺たちハヌハヌに似てなくもないな！			幻魚術のためのウマウマ怪魚							
僕たちワラキ族は、自然の獣や魔物を敬い、彼らの魔法を学ぶことを美徳とします。そのため、不思議な生物の話には耳聡いのですが……			僕たちワラキ族は、自然の獣や魔物を敬い、彼らの魔法を学ぶことを美徳とします。そのため、不思議な生物の話には耳聡いのですが……			幻魚術のためのウマウマ怪魚							
この魚は淡水の湖で産卵し、成長すると、エクストリームシャークが生む竜巻に乗って飛び立つそうです。そうして雲海へと狩場を拡大させるのだとか……。			この魚は淡水の湖で産卵し、成長すると、エクストリームシャークが生む竜巻に乗って飛び立つそうです。そうして雲海へと狩場を拡大させるのだとか……。			幻魚術のためのウマウマ怪魚							
その話を教えてくれたのは、行商にやってきたペルペル族の人でした。			その話を教えてくれたのは、行商にやってきたペルペル族の人でした。			幻魚術のためのウマウマ怪魚							
もしかしたら、そういった……大陸を股にかけて旅をするような人たちが、この名前をつけたのかもしれませんね！			もしかしたら、そういった……大陸を股にかけて旅をするような人たちが、この名前をつけたのかもしれませんね！			幻魚術のためのウマウマ怪魚							
なるほどなぁ。パシェニネのために獲ってきてもらったもんだが、俺も、俺も、食わせてもらっていいか？			なるほどなぁ。パシェニネのために獲ってきてもらったもんだが、俺も、俺も、食わせてもらっていいか？			幻魚術のためのウマウマ怪魚							
こいつに価値を実証できれば、商品として売り出せるし、なにより、雲海魚の調理法ってやつにも興味がある。お客に食い方を教えられるようになりてぇからな！			こいつに価値を実証できれば、商品として売り出せるし、なにより、雲海魚の調理法ってやつにも興味がある。お客に食い方を教えられるようになりてぇからな！			幻魚術のためのウマウマ怪魚							
しっかり食べて、こいつの命を受け継がせてもらおうぜ！			しっかり食べて、こいつの命を受け継がせてもらおうぜ！			幻魚術のためのウマウマ怪魚							
……それにしても、それにしても、なんだか共食いみたいになっちまうな。			……それにしても、それにしても、なんだか共食いみたいになっちまうな。			幻魚術のためのウマウマ怪魚							
Forenameさん、あなたはどうしますか？お召し上がりになりますか？			Forenameさん、あなたはどうしますか？お召し上がりになりますか？			幻魚術のためのウマウマ怪魚							
何と言う？			何と言う？			幻魚術のためのウマウマ怪魚							
興味ある			興味ある			幻魚術のためのウマウマ怪魚							
遠慮しておこうかな……			遠慮しておこうかな……			幻魚術のためのウマウマ怪魚							
わかりました！ではさっそく調理してきますね！			わかりました！ではさっそく調理してきますね！			幻魚術のためのウマウマ怪魚							
お待たせしました！食べやすいように汁物にしてみたのですが、お口に合うでしょうか……？			お待たせしました！食べやすいように汁物にしてみたのですが、お口に合うでしょうか……？			幻魚術のためのウマウマ怪魚							
ん～～～～！！まるで、まるで、口の中でとろけるようだ！			ん～～～～！！まるで、まるで、口の中でとろけるようだ！			幻魚術のためのウマウマ怪魚							
美味しかったですね！この柔らかさは、雲海という特殊な環境のためでしょうか……？			美味しかったですね！この柔らかさは、雲海という特殊な環境のためでしょうか……？			幻魚術のためのウマウマ怪魚							
そうに違いねぇや！本当に、本当に、まだまだ面白い魚がいるもんだな！			そうに違いねぇや！本当に、本当に、まだまだ面白い魚がいるもんだな！			幻魚術のためのウマウマ怪魚							
Forename、ありがとうな！パシェニネもすぐに体力が戻るだろうから、それまでの間に、最強の怪魚について考えておくわな！			Forename、ありがとうな！パシェニネもすぐに体力が戻るだろうから、それまでの間に、最強の怪魚について考えておくわな！			幻魚術のためのウマウマ怪魚							
魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「類まれなる怪魚ハンター」と感じているようです！			魚道楽ドヌハヌの貢献ランクが上昇しました！ドヌハヌはあなたの事を、「類まれなる怪魚ハンター」と感じているようです！			幻魚術のためのウマウマ怪魚							
また、万貨街取引のストーリークエストが発行されました！「漁師」がレベル100以上になると、「ドヌハヌ」から受注可能です。			また、万貨街取引のストーリークエストが発行されました！「漁師」がレベル100以上になると、「ドヌハヌ」から受注可能です。			幻魚術のためのウマウマ怪魚							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「水没した街」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「水没した街」を完了する必要があります。			幻魚術のためのウマウマ怪魚							
ワチュメキメキ万貨街のシェーロジャは、新しいジュースを思いついたようだ。			ワチュメキメキ万貨街のシェーロジャは、新しいジュースを思いついたようだ。			酔い覚ましのジュースクラフト！							
シェーロジャからジュースの試作を依頼された。「ドランカートゥナジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。			シェーロジャからジュースの試作を依頼された。「ドランカートゥナジュース」を6個製作し、ワチュメキメキ万貨街にいる「シェーロジャ」へ納品しよう。※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。			酔い覚ましのジュースクラフト！							
シェーロジャに「ドランカートゥナジュース」を納品した。試飲会の開催を待つ間、さらに腕を磨いておこう。			シェーロジャに「ドランカートゥナジュース」を納品した。試飲会の開催を待つ間、さらに腕を磨いておこう。			酔い覚ましのジュースクラフト！							
シェーロジャにドランカートゥナジュースを納品			シェーロジャにドランカートゥナジュースを納品			酔い覚ましのジュースクラフト！							
本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：黄金のレガシー」の、「サカ・トラルへ」を完了する必要があります。			酔い覚ましのジュースクラフト！							
フゴォ……フゴォ……シェーロジャ　なんとか　元気になった～モブたちふたりの　励まし効いた？			フゴォ……フゴォ……シェーロジャ　なんとか　元気になった～モブたちふたりの　励まし効いた？			酔い覚ましのジュースクラフト！							
ああ、Forename。いいところに来てくれたわね。			ああ、Forename。いいところに来てくれたわね。			酔い覚ましのジュースクラフト！							
ちょうど、新しいジュースの構想がまとまったところなの。話を聞いてもらえるかしら？			ちょうど、新しいジュースの構想がまとまったところなの。話を聞いてもらえるかしら？			酔い覚ましのジュースクラフト！							
オルコ・パチャにお酒好きなペルペル族がいたでしょう？ほら、泥酔するほどメスカルを飲んでいた人よ。			オルコ・パチャにお酒好きなペルペル族がいたでしょう？ほら、泥酔するほどメスカルを飲んでいた人よ。			酔い覚ましのジュースクラフト！							
トライヨラでも、旅商が酒盛りに加わっているのをよく見るし、お酒が好きな人が多い部族みたいね。中には彼のように飲みすぎる人もいるんじゃないかと思ったの。			トライヨラでも、旅商が酒盛りに加わっているのをよく見るし、お酒が好きな人が多い部族みたいね。中には彼のように飲みすぎる人もいるんじゃないかと思ったの。			酔い覚ましのジュースクラフト！							
飲みすぎた直後は水でいいけれど、二日酔いもあるかもしれない。その助けになれるジュースは、きっと喜ばれると思うのよ！			飲みすぎた直後は水でいいけれど、二日酔いもあるかもしれない。その助けになれるジュースは、きっと喜ばれると思うのよ！			酔い覚ましのジュースクラフト！							
頭のイタタに　おいしいジュース　ペルペルきっと　喜ぶはず～でもでも　どんな材料　使えばいいモブ？			頭のイタタに　おいしいジュース　ペルペルきっと　喜ぶはず～でもでも　どんな材料　使えばいいモブ？			酔い覚ましのジュースクラフト！							
二日酔いの解消には、水分が重要なんだけど、さらに効果のある栄養素がないものか考えていてね……。			二日酔いの解消には、水分が重要なんだけど、さらに効果のある栄養素がないものか考えていてね……。			酔い覚ましのジュースクラフト！							
シャーローニ荒野には、ノパルテンダーという魔物がいて、身体の先にトゥナという果実を生らせているの。			シャーローニ荒野には、ノパルテンダーという魔物がいて、身体の先にトゥナという果実を生らせているの。			酔い覚ましのジュースクラフト！							
Forenameも、行ったことがあるでしょう？継承の儀を終え、協力者一行はシャーローニ荒野へ向かったと、トライヨラでは密かに話題になっていたから。			Forenameも、行ったことがあるでしょう？継承の儀を終え、協力者一行はシャーローニ荒野へ向かったと、トライヨラでは密かに話題になっていたから。			酔い覚ましのジュースクラフト！							
だというのに、また手伝いに戻ってきてくれて……ジュース作りを楽しんでくれてるなら、私も嬉しいわ。			だというのに、また手伝いに戻ってきてくれて……ジュース作りを楽しんでくれてるなら、私も嬉しいわ。			酔い覚ましのジュースクラフト！							
って、話が逸れてしまってごめんなさい。それでね、サカ・トラル出身者から、ノパルテンダーのトゥナについて詳しい話を聞いたの。			って、話が逸れてしまってごめんなさい。それでね、サカ・トラル出身者から、ノパルテンダーのトゥナについて詳しい話を聞いたの。			酔い覚ましのジュースクラフト！							
そうすると、酒宴のあとにトゥナを食べる風習を持つ部族も、聞いたことがあると言っていてね。これは、二日酔い対策で自然に生まれた風習に違いないわ。			そうすると、酒宴のあとにトゥナを食べる風習を持つ部族も、聞いたことがあると言っていてね。これは、二日酔い対策で自然に生まれた風習に違いないわ。			酔い覚ましのジュースクラフト！							
つまりトゥナを使ったジュースを作れば、二日酔いのペルペル族に喜ばれるはずよ！			つまりトゥナを使ったジュースを作れば、二日酔いのペルペル族に喜ばれるはずよ！			酔い覚ましのジュースクラフト！							
フゴォ……フゴォ……！それならいけそ～　とてとてウマそ～！フラフラ解消　サボテンジュース～！			フゴォ……フゴォ……！それならいけそ～　とてとてウマそ～！フラフラ解消　サボテンジュース～！			酔い覚ましのジュースクラフト！							
Forename、貴方の力を見込んで、ノパルテンダーのトゥナのほかに、二日酔いに効く栄養も加えた、「ドランカートゥナジュース」を試作してもらえるかしら？			Forename、貴方の力を見込んで、ノパルテンダーのトゥナのほかに、二日酔いに効く栄養も加えた、「ドランカートゥナジュース」を試作してもらえるかしら？			酔い覚ましのジュースクラフト！							
相変わらず頼もしい……！私も店主として販売の方をがんばるから、新商品の開発はどうかお願いね！			相変わらず頼もしい……！私も店主として販売の方をがんばるから、新商品の開発はどうかお願いね！			酔い覚ましのジュースクラフト！							
フゴォ……フゴォ……とてつよ頭痛　解消できたら　きっと喜ぶ～ペルペル以外も　きっと喜ぶ～			フゴォ……フゴォ……とてつよ頭痛　解消できたら　きっと喜ぶ～ペルペル以外も　きっと喜ぶ～			酔い覚ましのジュースクラフト！							
ノパルテンダーのトゥナのほかに、二日酔いに効く栄養も加えた、「ドランカートゥナジュース」を試作してもらえるかしら？			ノパルテンダーのトゥナのほかに、二日酔いに効く栄養も加えた、「ドランカートゥナジュース」を試作してもらえるかしら？			酔い覚ましのジュースクラフト！							
ありがとう、成分をきちんと調べてみないといけないけれど、これならきっと、ペルペル族のお客さんも喜んでくれるわね。			ありがとう、成分をきちんと調べてみないといけないけれど、これならきっと、ペルペル族のお客さんも喜んでくれるわね。			酔い覚ましのジュースクラフト！							
これは……！ペルペル族のお客さんも、その場でバッチリ酔いも覚めそうね！			これは……！ペルペル族のお客さんも、その場でバッチリ酔いも覚めそうね！			酔い覚ましのジュースクラフト！							
ありがとう、成分をきちんと調べてみないといけないけれど、これならきっと、ペルペル族のお客さんも喜んでくれるわね。ローペリさんが試飲に協力してくれるそうだから、呼んでくるわ。			ありがとう、成分をきちんと調べてみないといけないけれど、これならきっと、ペルペル族のお客さんも喜んでくれるわね。ローペリさんが試飲に協力してくれるそうだから、呼んでくるわ。			酔い覚ましのジュースクラフト！							
これは……！ペルペル族のお客さんも、その場でバッチリ酔いも覚めそうね！ローペリさんが試飲に協力してくれるそうだから、呼んでくるわ！			これは……！ペルペル族のお客さんも、その場でバッチリ酔いも覚めそうね！ローペリさんが試飲に協力してくれるそうだから、呼んでくるわ！			酔い覚ましのジュースクラフト！							
ペルペル族向けに作ったらしいね、美味しいジュースを。じゃあさっそくいただくね！			ペルペル族向けに作ったらしいね、美味しいジュースを。じゃあさっそくいただくね！			酔い覚ましのジュースクラフト！							
ういうい～～～！強烈な甘さ、飲み応えのある喉ごし！これはたまらないね！			ういうい～～～！強烈な甘さ、飲み応えのある喉ごし！これはたまらないね！			酔い覚ましのジュースクラフト！							
ああ、よかった……！二日酔いに効き目があるこのジュースは、Forenameと一緒に作ったんですよ。			ああ、よかった……！二日酔いに効き目があるこのジュースは、Forenameと一緒に作ったんですよ。			酔い覚ましのジュースクラフト！							
さすが、協力を申し出てくれた職人ってだけあるね。私にこんな還元があるとは、思ってなかったけど。			さすが、協力を申し出てくれた職人ってだけあるね。私にこんな還元があるとは、思ってなかったけど。			酔い覚ましのジュースクラフト！							
私も、万貨街を通じて知り合った友人と飲みに行くことが多い。だけど調子に乗って飲みすぎると、翌日フラフラになってしまうこともあって……。			私も、万貨街を通じて知り合った友人と飲みに行くことが多い。だけど調子に乗って飲みすぎると、翌日フラフラになってしまうこともあって……。			酔い覚ましのジュースクラフト！							
お酒は弱いけど大好きだというペルペル族は少なくない。そんな私たちの気持ちに寄り添って、嬉しいジュースを作ってくれたということだね。			お酒は弱いけど大好きだというペルペル族は少なくない。そんな私たちの気持ちに寄り添って、嬉しいジュースを作ってくれたということだね。			酔い覚ましのジュースクラフト！							
お酒を飲むのが楽しくなりそうだよ、これからもっと！ありがとう！			お酒を飲むのが楽しくなりそうだよ、これからもっと！ありがとう！			酔い覚ましのジュースクラフト！							
何と言う？			何と言う？			酔い覚ましのジュースクラフト！							
飲みすぎには注意してね			飲みすぎには注意してね			酔い覚ましのジュースクラフト！							
限界を超えよう！			限界を超えよう！			酔い覚ましのジュースクラフト！							
お酒なら誘って！！			お酒なら誘って！！			酔い覚ましのジュースクラフト！							
もちろんわきまえてるよ、お酒は適量でと。だけど、もしも限度を超えてしまっても、このジュースがあれば安心だ。			もちろんわきまえてるよ、お酒は適量でと。だけど、もしも限度を超えてしまっても、このジュースがあれば安心だ。			酔い覚ましのジュースクラフト！							
おや、ずいぶんお好きだったんだね、きみも。ういうい、機会があれば誘わせてもらうとしよう。			おや、ずいぶんお好きだったんだね、きみも。ういうい、機会があれば誘わせてもらうとしよう。			酔い覚ましのジュースクラフト！							
賃料が遅れはじめて、どうなるかと思っていたけど……。「ジュースクラフト・シェーロジャ」を、招いて良かったよ、万貨街に。			賃料が遅れはじめて、どうなるかと思っていたけど……。「ジュースクラフト・シェーロジャ」を、招いて良かったよ、万貨街に。			酔い覚ましのジュースクラフト！							
た、滞納のことは申し訳なかったです……。だけど、ここまでの新作ジュースの評判は良好で、経営状況はかなり良くなっています。			た、滞納のことは申し訳なかったです……。だけど、ここまでの新作ジュースの評判は良好で、経営状況はかなり良くなっています。			酔い覚ましのジュースクラフト！							
Forenameのおかげで、品数も増え、より多くの方に喜んでもらう準備ができました。そこで、試飲会をやってみるのはどうかと考えているんです。			Forenameのおかげで、品数も増え、より多くの方に喜んでもらう準備ができました。そこで、試飲会をやってみるのはどうかと考えているんです。			酔い覚ましのジュースクラフト！							
そうすれば、滞納どころかこの万貨街の来客にも、多少は貢献できると思いますので……ど、どうかお力を貸してもらえないでしょうか……！			そうすれば、滞納どころかこの万貨街の来客にも、多少は貢献できると思いますので……ど、どうかお力を貸してもらえないでしょうか……！			酔い覚ましのジュースクラフト！							
本音を言いなよ。楽しませたくてしょうがないんじゃないか？自分のジュースで、お客さんを。			本音を言いなよ。楽しませたくてしょうがないんじゃないか？自分のジュースで、お客さんを。			酔い覚ましのジュースクラフト！							
ええ、そのとおりです……！大勢のお客さんにジュースを楽しんでほしい！私たちが作った、この自信の一杯を！			ええ、そのとおりです……！大勢のお客さんにジュースを楽しんでほしい！私たちが作った、この自信の一杯を！			酔い覚ましのジュースクラフト！							
ういうい！わかった、確保しておくよ、良い場所を。			ういうい！わかった、確保しておくよ、良い場所を。			酔い覚ましのジュースクラフト！							
試飲会　やるなら　採ってくる～！果物　材料　山盛りで～～！！			試飲会　やるなら　採ってくる～！果物　材料　山盛りで～～！！			酔い覚ましのジュースクラフト！							
さあ、忙しくなるわ……！しばらくは私の方で、試飲会の準備を進めておくから、また折を見て訪ねてちょうだいね！			さあ、忙しくなるわ……！しばらくは私の方で、試飲会の準備を進めておくから、また折を見て訪ねてちょうだいね！			酔い覚ましのジュースクラフト！							
ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「秘密を話せる配合職人」と感じているようです！			ジュースクラフト・シェーロジャの貢献ランクが上昇しました！シェーロジャはあなたの事を、「秘密を話せる配合職人」と感じているようです！			酔い覚ましのジュースクラフト！							
また、万貨街取引のストーリークエストが発行されました！「錬金術師／調理師」のいずれかが、レベル100以上になると「シェーロジャ」から受注可能です。			また、万貨街取引のストーリークエストが発行されました！「錬金術師／調理師」のいずれかが、レベル100以上になると「シェーロジャ」から受注可能です。			酔い覚ましのジュースクラフト！							
なお、次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「護る者、壊す者」を完了する必要があります。			なお、次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「護る者、壊す者」を完了する必要があります。			酔い覚ましのジュースクラフト！							
ワチュメキメキ万貨街のラルソジは、新たな試みに挑戦しようとしているようだ。			ワチュメキメキ万貨街のラルソジは、新たな試みに挑戦しようとしているようだ。			金荒物屋の新たな挑戦							
ラルソジはついに、品質を問われる日用品の製作依頼を引き受けた。「瞑想用の香炉」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。			ラルソジはついに、品質を問われる日用品の製作依頼を引き受けた。「瞑想用の香炉」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。			金荒物屋の新たな挑戦							
ラルソジに瞑想用の香炉を納品したところ、ブネワ族の宮廷祭司が礼を言いにやってきた。パパーニと協力して製作するラルソジを、あともう少しだけ見守っていこう。			ラルソジに瞑想用の香炉を納品したところ、ブネワ族の宮廷祭司が礼を言いにやってきた。パパーニと協力して製作するラルソジを、あともう少しだけ見守っていこう。			金荒物屋の新たな挑戦							
ラルソジに瞑想用の香炉を納品			ラルソジに瞑想用の香炉を納品			金荒物屋の新たな挑戦							
次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「心をひとつに」を完了する必要があります。			次のクエストを進行するためには、「メインクエスト：黄金のレガシー」の、「心をひとつに」を完了する必要があります。			金荒物屋の新たな挑戦							
辞めた壺匠に戻ろうとしたり……自分の優柔不断な態度でお騒がせして、ごめんなさい！			辞めた壺匠に戻ろうとしたり……自分の優柔不断な態度でお騒がせして、ごめんなさい！			金荒物屋の新たな挑戦							
こだわりゆえ手が遅い私を雇ってもらうことに、引け目があって……。でも、ラルソジさんが自分を求めてくれて嬉しかった……！			こだわりゆえ手が遅い私を雇ってもらうことに、引け目があって……。でも、ラルソジさんが自分を求めてくれて嬉しかった……！			金荒物屋の新たな挑戦							
Forename、来てくれたか。			Forename、来てくれたか。			金荒物屋の新たな挑戦							
俺の求める手際の良さと、パパーニが理想とする品質の両立について……どう分担できるかを話し合ったんだ。			俺の求める手際の良さと、パパーニが理想とする品質の両立について……どう分担できるかを話し合ったんだ。			金荒物屋の新たな挑戦							
その結果、いままでだったら断っていたような、高品質を求められるものも製作できると判断し……注文を受けてみた。			その結果、いままでだったら断っていたような、高品質を求められるものも製作できると判断し……注文を受けてみた。			金荒物屋の新たな挑戦							
ちょうど知人を介して、ブネワ族の宮廷祭司殿が、「瞑想用の香炉」を求めていると聞いてな。ぜひやらせてくれないかと頼んでみたんだ。			ちょうど知人を介して、ブネワ族の宮廷祭司殿が、「瞑想用の香炉」を求めていると聞いてな。ぜひやらせてくれないかと頼んでみたんだ。			金荒物屋の新たな挑戦							
ただの香炉であれば、さほど難しくないけれど、儀式に用いる品となれば、繊細な飾りが欠かせないはず。			ただの香炉であれば、さほど難しくないけれど、儀式に用いる品となれば、繊細な飾りが欠かせないはず。			金荒物屋の新たな挑戦							
そこで、ラルソジさんに原型を作ってもらって、私が装飾と仕上げを担当させてもらおうかと……！			そこで、ラルソジさんに原型を作ってもらって、私が装飾と仕上げを担当させてもらおうかと……！			金荒物屋の新たな挑戦							
とはいえ、まだ分業でのやり方に慣れていないからな……。Forename、あんたにも製作を頼みたい。			とはいえ、まだ分業でのやり方に慣れていないからな……。Forename、あんたにも製作を頼みたい。			金荒物屋の新たな挑戦							
外つ国にも香炉はあるだろう？あんたの分は好きに作ってもらって構わない、その腕を信じてるよ。			外つ国にも香炉はあるだろう？あんたの分は好きに作ってもらって構わない、その腕を信じてるよ。			金荒物屋の新たな挑戦							
ラルソジさんがひとつ作ったら、私が仕上げて、その間にもラルソジさんがまた新しいものに着手して……という流れ作業で進めようかと！			ラルソジさんがひとつ作ったら、私が仕上げて、その間にもラルソジさんがまた新しいものに着手して……という流れ作業で進めようかと！			金荒物屋の新たな挑戦							
祭司殿たちが使う「瞑想用の香炉」を頼む。使いやすく、そして美しく、儀礼にふさわしいものをな。			祭司殿たちが使う「瞑想用の香炉」を頼む。使いやすく、そして美しく、儀礼にふさわしいものをな。			金荒物屋の新たな挑戦							
ありがとう、Forename。普段香炉を扱わない俺でもわかる美しさだ……！			ありがとう、Forename。普段香炉を扱わない俺でもわかる美しさだ……！			金荒物屋の新たな挑戦							
ありがとう、Forename。普段香炉を扱わない俺でもわかる、この出来栄え……！使いやすさと美しさが両立されているな。			ありがとう、Forename。普段香炉を扱わない俺でもわかる、この出来栄え……！使いやすさと美しさが両立されているな。			金荒物屋の新たな挑戦							
やはりあんたの正確な納品には脱帽するよ。素晴らしい品々に感謝する。			やはりあんたの正確な納品には脱帽するよ。素晴らしい品々に感謝する。			金荒物屋の新たな挑戦							
それに、俺たちも作業に専念できた。分業が上手くいって、スムーズに進められたな。			それに、俺たちも作業に専念できた。分業が上手くいって、スムーズに進められたな。			金荒物屋の新たな挑戦							
はいっ！ラルソジさんとふたりでなら、どんなお仕事もできそう！			はいっ！ラルソジさんとふたりでなら、どんなお仕事もできそう！			金荒物屋の新たな挑戦							
それにしても……やはりForenameはすごいな。あれだけの数を、ひとりでこなせてしまうとは。			それにしても……やはりForenameはすごいな。あれだけの数を、ひとりでこなせてしまうとは。			金荒物屋の新たな挑戦							
それだけの研鑽を、外つ国で重ねてきたんだろう。あんたの技術には目を見張るところが多いよ。			それだけの研鑽を、外つ国で重ねてきたんだろう。あんたの技術には目を見張るところが多いよ。			金荒物屋の新たな挑戦							
じゃあ今回の品は責任を持って、俺が発注元へ届けてくる。ふたりはここで待っていてくれ。			じゃあ今回の品は責任を持って、俺が発注元へ届けてくる。ふたりはここで待っていてくれ。			金荒物屋の新たな挑戦							
ふたりとも、聞いてくれ！香炉を注文してくれていた祭司殿が、職人に礼が言いたいと、わざわざお越しになったんだ。			ふたりとも、聞いてくれ！香炉を注文してくれていた祭司殿が、職人に礼が言いたいと、わざわざお越しになったんだ。			金荒物屋の新たな挑戦							
実に素晴らしい品でした。焚いた香がふわりと広がる実用性はもちろん、装飾も繊細で丁寧な仕事ぶりが感じられましたよ。			実に素晴らしい品でした。焚いた香がふわりと広がる実用性はもちろん、装飾も繊細で丁寧な仕事ぶりが感じられましたよ。			金荒物屋の新たな挑戦							
私たちは、瞑想の際に香を焚くのですが、先の襲撃の折に、大半が破壊されてしまいましてね……。ですから、貴方がたの迅速な仕事に助けられました。			私たちは、瞑想の際に香を焚くのですが、先の襲撃の折に、大半が破壊されてしまいましてね……。ですから、貴方がたの迅速な仕事に助けられました。			金荒物屋の新たな挑戦							
ああ、お役に立てたのなら光栄だ。			ああ、お役に立てたのなら光栄だ。			金荒物屋の新たな挑戦							
香炉は私たちが日常的に使うものですが、この品質であれば、王族の方々が使うものも頼みたいほどです。貴店さえよければ……			香炉は私たちが日常的に使うものですが、この品質であれば、王族の方々が使うものも頼みたいほどです。貴店さえよければ……			金荒物屋の新たな挑戦							
王宮に戻って相談を進め、正式な依頼をさせてもらいますが、いかがでしょう？			王宮に戻って相談を進め、正式な依頼をさせてもらいますが、いかがでしょう？			金荒物屋の新たな挑戦							
ああ、願ってもないことだ……！			ああ、願ってもないことだ……！			金荒物屋の新たな挑戦							
ならば、なるべく早く依頼を持ってこられるように尽力します。では、また。			ならば、なるべく早く依頼を持ってこられるように尽力します。では、また。			金荒物屋の新たな挑戦							
王族の方が使う品の依頼って、つまり王宮御用達ってことでは……！？			王族の方が使う品の依頼って、つまり王宮御用達ってことでは……！？			金荒物屋の新たな挑戦							
ああ、祭司殿からの依頼ですら驚いたが、次は王族が使う品の依頼が来るかもしれないのか……！			ああ、祭司殿からの依頼ですら驚いたが、次は王族が使う品の依頼が来るかもしれないのか……！			金荒物屋の新たな挑戦							
Forename……もし本当に依頼が来たら、初めての王宮御用達の仕事になるだろう。			Forename……もし本当に依頼が来たら、初めての王宮御用達の仕事になるだろう。			金荒物屋の新たな挑戦							
俺とパパーニだけで受けるべき仕事だとはわかっているが、店の今後を占う大仕事だから、万全を期したいんだ。どうか、あともう少しだけ支えてくれるとありがたい……！			俺とパパーニだけで受けるべき仕事だとはわかっているが、店の今後を占う大仕事だから、万全を期したいんだ。どうか、あともう少しだけ支えてくれるとありがたい……！			金荒物屋の新たな挑戦							
金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「先達の金荒物職人」と感じているようです！			金荒物屋ラルソジの貢献ランクが上昇しました！ラルソジはあなたの事を、「先達の金荒物職人」と感じているようです！			金荒物屋の新たな挑戦							
また、万貨街取引のストーリークエストが発行されました！「鍛冶師／甲冑師／彫金師」のいずれかが、レベル100以上になると「ラルソジ」から受注可能です。			また、万貨街取引のストーリークエストが発行されました！「鍛冶師／甲冑師／彫金師」のいずれかが、レベル100以上になると「ラルソジ」から受注可能です。			金荒物屋の新たな挑戦							
ワチュメキメキ万貨街のシューニェは、どこか困惑した様子だ。			ワチュメキメキ万貨街のシューニェは、どこか困惑した様子だ。			積み重なる時間							
