オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			ギルドシップのモブハント（上級）							
ここに集まる前に、終末の状況を確認してきたんだ。ガレマルド周辺の空が燃えたあと、その異変は北に広がり、極北地帯へと至ったようだ。			ここに集まる前に、終末の状況を確認してきたんだ。ガレマルド周辺の空が燃えたあと、その異変は北に広がり、極北地帯へと至ったようだ。			流星と陽の軌跡							
幸い、人が居住している地域ではなかったことで、大惨事は免れているらしい。しかし、次はどこの地域で終末が本格化することか……。			幸い、人が居住している地域ではなかったことで、大惨事は免れているらしい。しかし、次はどこの地域で終末が本格化することか……。			流星と陽の軌跡							
メーティオンの軌跡か……。星から星へ翔ぶのだって、いまいち距離感がわからないのに、居場所を言われてわかるかしら……。			メーティオンの軌跡か……。星から星へ翔ぶのだって、いまいち距離感がわからないのに、居場所を言われてわかるかしら……。			流星と陽の軌跡							
よう、星海潜航の影響は出てないか？新型エーテライトの一件以来、どうもエーテル酔いのことを考えるだけでムカムカしてな……。			よう、星海潜航の影響は出てないか？新型エーテライトの一件以来、どうもエーテル酔いのことを考えるだけでムカムカしてな……。			流星と陽の軌跡							
昨晩……ムーンブリダの夢を見たのです……。ラヴィリンソスや星海での出来事を受けたのでしょうか……。			昨晩……ムーンブリダの夢を見たのです……。ラヴィリンソスや星海での出来事を受けたのでしょうか……。			流星と陽の軌跡							
ただ、過去の情景を思い返したものではなく……どうしてか、今の彼女だったように思うのです……。			ただ、過去の情景を思い返したものではなく……どうしてか、今の彼女だったように思うのです……。			流星と陽の軌跡							
この星からハイデリンがいなくなって……それでも、呆気ないくらい当然に、翌日がやってくるものね。			この星からハイデリンがいなくなって……それでも、呆気ないくらい当然に、翌日がやってくるものね。			流星と陽の軌跡							
ここへ入ってくる前、ふとそんな風に思ったのよ。終末なんて夢なんじゃないかと思うくらい、静かで穏やかな街並みを視ていたらね。			ここへ入ってくる前、ふとそんな風に思ったのよ。終末なんて夢なんじゃないかと思うくらい、静かで穏やかな街並みを視ていたらね。			流星と陽の軌跡							
ああ……しっかり休息は取れたか？なんといっても、ここからが正念場だからな……。			ああ……しっかり休息は取れたか？なんといっても、ここからが正念場だからな……。			流星と陽の軌跡							
気合を……入れて…………			気合を……入れて…………			流星と陽の軌跡							
……いや、その、違うんだ。これからのことを考えてたら、どうも寝付けなくってだな、ならいっそ多少なり役立ちそうな情報を得ておこうかと……			……いや、その、違うんだ。これからのことを考えてたら、どうも寝付けなくってだな、ならいっそ多少なり役立ちそうな情報を得ておこうかと……			流星と陽の軌跡							
それで借りてあった本を読み始めたら、なんだか朝になってて、オレもとても驚いたし反省してる……してるから！！			それで借りてあった本を読み始めたら、なんだか朝になってて、オレもとても驚いたし反省してる……してるから！！			流星と陽の軌跡							
なんだかんだ、サベネア島で終末が起きてから、ロクス・アモエヌスへの救援、マグナ・グラキエスでの戦い、果ては星海潜航まで、立て続けだったからな……。			なんだかんだ、サベネア島で終末が起きてから、ロクス・アモエヌスへの救援、マグナ・グラキエスでの戦い、果ては星海潜航まで、立て続けだったからな……。			流星と陽の軌跡							
お前に至っては、その間に異世界まで行っているんだろう？大事な話の前に言うようなことでもないが、どこかでプツリと糸が切れないようにしておけよ。			お前に至っては、その間に異世界まで行っているんだろう？大事な話の前に言うようなことでもないが、どこかでプツリと糸が切れないようにしておけよ。			流星と陽の軌跡							
議長のバルニエルさんは同席してくださっているようだけど、前みたいに哲学者議会が勢ぞろいしているわけではないのね。助かるわ……あれは緊張するもの……！			議長のバルニエルさんは同席してくださっているようだけど、前みたいに哲学者議会が勢ぞろいしているわけではないのね。助かるわ……あれは緊張するもの……！			流星と陽の軌跡							
お待ちしておりましたわ。ご報告したいことが、いろいろとありましてよ！			お待ちしておりましたわ。ご報告したいことが、いろいろとありましてよ！			流星と陽の軌跡							
具体的な説明はフルシュノ氏に任せているが、哲学者議会を代表して、この通達に立ち会わせてもらおう。			具体的な説明はフルシュノ氏に任せているが、哲学者議会を代表して、この通達に立ち会わせてもらおう。			流星と陽の軌跡							
これで全員だな……。ならば、前置きは抜きで本題に入ろう。			これで全員だな……。ならば、前置きは抜きで本題に入ろう。			流星と陽の軌跡							
ハイデリンの遺したメーティオンの軌跡を、レポリットたちが解析……その終着点を割り出すことに成功した。			ハイデリンの遺したメーティオンの軌跡を、レポリットたちが解析……その終着点を割り出すことに成功した。			流星と陽の軌跡							
月よりも遥か遠いその宙域を、我々は、既知領域の彼方、最果ての地と命名。			月よりも遥か遠いその宙域を、我々は、既知領域の彼方、最果ての地と命名。			流星と陽の軌跡							
すなわち……「ウルティマ・トゥーレ」である。			すなわち……「ウルティマ・トゥーレ」である。			流星と陽の軌跡							
実際問題として、私たちが、その「ウルティマ・トゥーレ」に辿り着くことはできるの？			実際問題として、私たちが、その「ウルティマ・トゥーレ」に辿り着くことはできるの？			流星と陽の軌跡							
ええ、次に検討すべきはそこですわね。かの宙域は、あなた方の概念では説明し難いほどに遠い……。			ええ、次に検討すべきはそこですわね。かの宙域は、あなた方の概念では説明し難いほどに遠い……。			流星と陽の軌跡							
わたくしたちの跳躍航行ならば、理論上は到達可能ですが、月は、居住区をはじめとした多くの施設を積みすぎている。			わたくしたちの跳躍航行ならば、理論上は到達可能ですが、月は、居住区をはじめとした多くの施設を積みすぎている。			流星と陽の軌跡							
あれを「ウルティマ・トゥーレ」まで跳躍させようと思うと、マザークリスタルを使い切ったとしても、エーテルが足りるかどうか、怪しいところですわ。			あれを「ウルティマ・トゥーレ」まで跳躍させようと思うと、マザークリスタルを使い切ったとしても、エーテルが足りるかどうか、怪しいところですわ。			流星と陽の軌跡							
……ですが！幸いにして、月の跳躍航行装置は、動力機関よりも小さい。工夫をすれば、方舟にギュギュッと詰め込めますわ！			……ですが！幸いにして、月の跳躍航行装置は、動力機関よりも小さい。工夫をすれば、方舟にギュギュッと詰め込めますわ！			流星と陽の軌跡							
エーテル縮退炉も、ちょっと悔しいくらいの出来に仕上がっておりますし。あれを月との往復だけに使おうなんて、宝の持ち腐れですわ！			エーテル縮退炉も、ちょっと悔しいくらいの出来に仕上がっておりますし。あれを月との往復だけに使おうなんて、宝の持ち腐れですわ！			流星と陽の軌跡							
お父様、それはつまり……！			お父様、それはつまり……！			流星と陽の軌跡							
これより告げることは、私個人の意志ではなく、哲学者議会の総意として受け止めてもらいたい。			これより告げることは、私個人の意志ではなく、哲学者議会の総意として受け止めてもらいたい。			流星と陽の軌跡							
レポリットたちの見立てを受けて、我々は即座に対応を検討……大撤収の決行をめぐって議論した。			レポリットたちの見立てを受けて、我々は即座に対応を検討……大撤収の決行をめぐって議論した。			流星と陽の軌跡							
方舟を「ウルティマ・トゥーレ」に向かわせれば、大規模な月への移送手段を失うと同時に、月でも跳躍航行が使用できなくなるからな……。			方舟を「ウルティマ・トゥーレ」に向かわせれば、大規模な月への移送手段を失うと同時に、月でも跳躍航行が使用できなくなるからな……。			流星と陽の軌跡							
紆余曲折あったが、結局は、君たちがハイデリンに認められたということが、最大の決め手となった。			紆余曲折あったが、結局は、君たちがハイデリンに認められたということが、最大の決め手となった。			流星と陽の軌跡							
もとより、大撤収の計画はハイデリンより始まっている。彼女が別の道を用意していたとあらば、それは大撤収と同等に検討されねばならない。			もとより、大撤収の計画はハイデリンより始まっている。彼女が別の道を用意していたとあらば、それは大撤収と同等に検討されねばならない。			流星と陽の軌跡							
そして、ハイデリンは自らの存在をかけて、君たちが……我々人が、そちらの道を選ぶに足ると証明した。			そして、ハイデリンは自らの存在をかけて、君たちが……我々人が、そちらの道を選ぶに足ると証明した。			流星と陽の軌跡							
ならば哲学者議会は、彼女の判断を信じよう。大撤収の決行を保留とし、方舟を「ウルティマ・トゥーレ」へと送り込む……！			ならば哲学者議会は、彼女の判断を信じよう。大撤収の決行を保留とし、方舟を「ウルティマ・トゥーレ」へと送り込む……！			流星と陽の軌跡							
そ、それは願ってもないことだけど……！大撤収の準備を進めていた人たちの反発が、ものすごいんじゃない……！？			そ、それは願ってもないことだけど……！大撤収の準備を進めていた人たちの反発が、ものすごいんじゃない……！？			流星と陽の軌跡							
お前たちは、命令されたわけでもないのに、マグナ・グラキエスで我々の一団を助けた……。			お前たちは、命令されたわけでもないのに、マグナ・グラキエスで我々の一団を助けた……。			流星と陽の軌跡							
ラヴィリンソスでも、エクスアダマントが届くまで、大撤収の準備に手を貸してくれたそうだな。			ラヴィリンソスでも、エクスアダマントが届くまで、大撤収の準備に手を貸してくれたそうだな。			流星と陽の軌跡							
それによって救われた者たちを中心に、お前たちになら、方舟を預けられるという声が上がっている。ゆえに、心配には及ばない。			それによって救われた者たちを中心に、お前たちになら、方舟を預けられるという声が上がっている。ゆえに、心配には及ばない。			流星と陽の軌跡							
レポリットたちも……本当に、それでよろしいのですか？			レポリットたちも……本当に、それでよろしいのですか？			流星と陽の軌跡							
言ったでしょう？わたくしたちは、ハイデリン様の、この星の命に対する想いから創られている……			言ったでしょう？わたくしたちは、ハイデリン様の、この星の命に対する想いから創られている……			流星と陽の軌跡							
あなた方が生きていてくれれば……そのためにお手伝いができるのならば……手段なんて二の次ですわ！			あなた方が生きていてくれれば……そのためにお手伝いができるのならば……手段なんて二の次ですわ！			流星と陽の軌跡							
それに、わたくしたちが宇宙に関する知識を持ち、ヒトが生存可能な空間を構築できるようになったことは、「ウルティマ・トゥーレ」へ進むのにだって、必ず役立つ……。			それに、わたくしたちが宇宙に関する知識を持ち、ヒトが生存可能な空間を構築できるようになったことは、「ウルティマ・トゥーレ」へ進むのにだって、必ず役立つ……。			流星と陽の軌跡							
ハイデリン様の遺したメーティオンの軌跡は、レポリットなら必ず読み解けるように記されていたんですもの。……それだけで、ええ、十分わかりましたわ！			ハイデリン様の遺したメーティオンの軌跡は、レポリットなら必ず読み解けるように記されていたんですもの。……それだけで、ええ、十分わかりましたわ！			流星と陽の軌跡							
何より、地上にとことん魅了されてしまった仲間たちが、この星を捨てていくなんて、もう絶対に認めないでしょう？ウリエンジェ、大体あなたのせいでしてよ！			何より、地上にとことん魅了されてしまった仲間たちが、この星を捨てていくなんて、もう絶対に認めないでしょう？ウリエンジェ、大体あなたのせいでしてよ！			流星と陽の軌跡							
だが、もっとも尊重されるべきは、「暁」の意志だ。改めて聞かせてくれ……君たち自身の決断を。			だが、もっとも尊重されるべきは、「暁」の意志だ。改めて聞かせてくれ……君たち自身の決断を。			流星と陽の軌跡							
何と言う？			何と言う？			流星と陽の軌跡							
行こう、ウルティマ・トゥーレへ！			行こう、ウルティマ・トゥーレへ！			流星と陽の軌跡							
自分たちが、必ず終末を止めてくる			自分たちが、必ず終末を止めてくる			流星と陽の軌跡							
ここまできたら、仕方ない……			ここまできたら、仕方ない……			流星と陽の軌跡							
ではこれより正式に、方舟の改良を最優先事項として推し進める！			ではこれより正式に、方舟の改良を最優先事項として推し進める！			流星と陽の軌跡							
リヴィングウェイ殿の指示で、すでにレポリットとイルサバード派遣団が協力し、バブイルの塔を用いて跳躍航行装置の移送をはじめている。			リヴィングウェイ殿の指示で、すでにレポリットとイルサバード派遣団が協力し、バブイルの塔を用いて跳躍航行装置の移送をはじめている。			流星と陽の軌跡							
届いたそれを方舟に取り付けるまでが、君たちにとって、出発前最後の休息時間となるだろう……。			届いたそれを方舟に取り付けるまでが、君たちにとって、出発前最後の休息時間となるだろう……。			流星と陽の軌跡							
どうか有意義に……悔いのないよう、過ごしてもらいたい。			どうか有意義に……悔いのないよう、過ごしてもらいたい。			流星と陽の軌跡							
ここは焦っても仕方がないし、お言葉に甘えるとしましょうか。準備の妨げにならないよう、外で予定を確認させてもらえて？			ここは焦っても仕方がないし、お言葉に甘えるとしましょうか。準備の妨げにならないよう、外で予定を確認させてもらえて？			流星と陽の軌跡							
私は方舟の準備で忙しい。改造自体は任せるとしても、関係各所と話をつけたり、搬入をはじめていた荷を移動させたりと、仕事は多いのだ。			私は方舟の準備で忙しい。改造自体は任せるとしても、関係各所と話をつけたり、搬入をはじめていた荷を移動させたりと、仕事は多いのだ。			流星と陽の軌跡							
……あの子たちが、この時間をどう過ごすかは、口出しせず、当人たちに任せよう。			……あの子たちが、この時間をどう過ごすかは、口出しせず、当人たちに任せよう。			流星と陽の軌跡							
ふたりが良き仲間とともに、穏やかな時を過ごすこと……私はただ、それだけを願っている。			ふたりが良き仲間とともに、穏やかな時を過ごすこと……私はただ、それだけを願っている。			流星と陽の軌跡							
方舟への跳躍航行装置の取り付けは、わたくしたちに、お任せください！たくさんのヒトも協力してくださって、意気軒昂ですわ！			方舟への跳躍航行装置の取り付けは、わたくしたちに、お任せください！たくさんのヒトも協力してくださって、意気軒昂ですわ！			流星と陽の軌跡							
大撤収の今後について哲学者議会で問うたとき、当然、このまま決行すべきだと譲らない者もいた。			大撤収の今後について哲学者議会で問うたとき、当然、このまま決行すべきだと譲らない者もいた。			流星と陽の軌跡							
これは、君たちに不足があったからではない。不確定な未来について論じている以上、意見が割れるのは当然なのだ。			これは、君たちに不足があったからではない。不確定な未来について論じている以上、意見が割れるのは当然なのだ。			流星と陽の軌跡							
むしろ、異なる道を選んでいた哲学者議会において、過半数を大きく超える賛同を得られたことを誇り、大いに活躍してほしい。			むしろ、異なる道を選んでいた哲学者議会において、過半数を大きく超える賛同を得られたことを誇り、大いに活躍してほしい。			流星と陽の軌跡							
何をして過ごそうかしら……。あなたは、何かやりたいことがある？			何をして過ごそうかしら……。あなたは、何かやりたいことがある？			流星と陽の軌跡							
せっかく気遣ってもらったんだ、ここは大人しく準備と休息に使うとしよう。			せっかく気遣ってもらったんだ、ここは大人しく準備と休息に使うとしよう。			流星と陽の軌跡							
大撤収の保留が決まった今、皆さんをお護りするすべは、終末を打ち払うことのみ……。それを肝に銘じて、天の彼方へと参りましょう。			大撤収の保留が決まった今、皆さんをお護りするすべは、終末を打ち払うことのみ……。それを肝に銘じて、天の彼方へと参りましょう。			流星と陽の軌跡							
今は方舟の準備を優先してもらうけれど、落ち着いたら、レポリットたちから話を聞きたいわね。			今は方舟の準備を優先してもらうけれど、落ち着いたら、レポリットたちから話を聞きたいわね。			流星と陽の軌跡							
ウルティマ・トゥーレの正確な位置や、ハイデリンの記録の内容、それに跳躍航行の仕組みも……知りたいことが山盛りだわ。			ウルティマ・トゥーレの正確な位置や、ハイデリンの記録の内容、それに跳躍航行の仕組みも……知りたいことが山盛りだわ。			流星と陽の軌跡							
自由に過ごせる時間か……。なら、朝まで読んでた本の続きを借りて……			自由に過ごせる時間か……。なら、朝まで読んでた本の続きを借りて……			流星と陽の軌跡							
あ、ああ、いや、なんでもない……！気にせず話を進めてくれ！			あ、ああ、いや、なんでもない……！気にせず話を進めてくれ！			流星と陽の軌跡							
最後の休息といっても、俺は別段やりたいこともないからな。いつもどおり、少し体を動かして……			最後の休息といっても、俺は別段やりたいこともないからな。いつもどおり、少し体を動かして……			流星と陽の軌跡							
……ああ、少し念入りに、槍を磨いておくか。こいつはまず欠けることも錆びることもないが、まあ、気持ちの問題ってやつさ。			……ああ、少し念入りに、槍を磨いておくか。こいつはまず欠けることも錆びることもないが、まあ、気持ちの問題ってやつさ。			流星と陽の軌跡							
哲学者議会が賛同してくれたなんて……！ハイデリンはあなたたちを認め、託したんだって、フルシュノさんが上手く伝えてくれたんだと思うわ。			哲学者議会が賛同してくれたなんて……！ハイデリンはあなたたちを認め、託したんだって、フルシュノさんが上手く伝えてくれたんだと思うわ。			流星と陽の軌跡							
……うん、やっぱり、あの双子のお父さんね！			……うん、やっぱり、あの双子のお父さんね！			流星と陽の軌跡							
さて……出発前の最後の猶予ということだが、何か、済ませておくべきことはあるかな？			さて……出発前の最後の猶予ということだが、何か、済ませておくべきことはあるかな？			流星と陽の軌跡							
そうね……。ウルティマ・トゥーレが、デュナミス優位の場所だからこそ、特別な準備は必要ないんじゃないかしら。			そうね……。ウルティマ・トゥーレが、デュナミス優位の場所だからこそ、特別な準備は必要ないんじゃないかしら。			流星と陽の軌跡							
今の私たちならば、行っても屈するだけではない……ほかでもないハイデリンが、そう認めてくれたのだもの。			今の私たちならば、行っても屈するだけではない……ほかでもないハイデリンが、そう認めてくれたのだもの。			流星と陽の軌跡							
下手に策を弄するより、私たちが気負わず、いつもどおりでいられる形で、メーティオンのもとへ向かうべきだわ。			下手に策を弄するより、私たちが気負わず、いつもどおりでいられる形で、メーティオンのもとへ向かうべきだわ。			流星と陽の軌跡							
だったらまず、クルルとタタルにアーテリスを任せる！ふたりなら、世界中の人たちと協力して、地上を限界まで護ってくれるはずだもの。			だったらまず、クルルとタタルにアーテリスを任せる！ふたりなら、世界中の人たちと協力して、地上を限界まで護ってくれるはずだもの。			流星と陽の軌跡							
そしたら私たちは、前だけ見て進めるわ。あとはいつもみたいに……私たちがやり遂げて帰ってくるのを、信じていてくれる？			そしたら私たちは、前だけ見て進めるわ。あとはいつもみたいに……私たちがやり遂げて帰ってくるのを、信じていてくれる？			流星と陽の軌跡							
さらっと大変なことを言うわねぇ……。			さらっと大変なことを言うわねぇ……。			流星と陽の軌跡							
……だけど、もちろん了解よ。地上でできることをしながら、みんなの無事を祈るわ。その想いが、デュナミスを動かすことを願ってね。			……だけど、もちろん了解よ。地上でできることをしながら、みんなの無事を祈るわ。その想いが、デュナミスを動かすことを願ってね。			流星と陽の軌跡							
だとしたら、連絡がくるまでは、各々で休息や準備を……			だとしたら、連絡がくるまでは、各々で休息や準備を……			流星と陽の軌跡							
…………おや？			…………おや？			流星と陽の軌跡							
みなさん、もう出ていらしたんでっすね……！			みなさん、もう出ていらしたんでっすね……！			流星と陽の軌跡							
結果がどうなるか心配で、議事堂の前でお待ちしようと思ったのでっすが……。			結果がどうなるか心配で、議事堂の前でお待ちしようと思ったのでっすが……。			流星と陽の軌跡							
そうでっしたか……。最果ての地……みなさんは、そんな遠くまで……。			そうでっしたか……。最果ての地……みなさんは、そんな遠くまで……。			流星と陽の軌跡							
……わかりまっした。私だって、勇気ある「暁」の一員でっす。クルルさんと一緒に、みなさんの無事を祈りまっす！			……わかりまっした。私だって、勇気ある「暁」の一員でっす。クルルさんと一緒に、みなさんの無事を祈りまっす！			流星と陽の軌跡							
それから、もうひとつ、私なりの応援を……Forenameさん、このあとお時間いただけまっすか？			それから、もうひとつ、私なりの応援を……Forenameさん、このあとお時間いただけまっすか？			流星と陽の軌跡							
だったら、俺たちは先に戻って、適当に過ごしているとしよう。タタルの心遣い、しっかり受け取ってくるといい。			だったら、俺たちは先に戻って、適当に過ごしているとしよう。タタルの心遣い、しっかり受け取ってくるといい。			流星と陽の軌跡							
ありがとうございまっす！それでは、一緒にアゴラに行くでっす！			ありがとうございまっす！それでは、一緒にアゴラに行くでっす！			流星と陽の軌跡							
えっと……あれはどこの箱だっけ……。			えっと……あれはどこの箱だっけ……。			流星と陽の軌跡							
フンフ、フンフ、フーン♪ようこそ、タタル・タルのお店……名付けて「大繁盛商店」へ！			フンフ、フンフ、フーン♪ようこそ、タタル・タルのお店……名付けて「大繁盛商店」へ！			流星と陽の軌跡							
これまで「暁」のみなさんに衣装をご用意してきた私でっすが、Forenameさんにお渡しする服については、もっと機能性を高められないものかと考えておりまっした。			これまで「暁」のみなさんに衣装をご用意してきた私でっすが、Forenameさんにお渡しする服については、もっと機能性を高められないものかと考えておりまっした。			流星と陽の軌跡							
今回、終末という一大事を前にして、なんとかそれを実現できないかと、エオルゼア各地の職人ギルドにも協力を要請……			今回、終末という一大事を前にして、なんとかそれを実現できないかと、エオルゼア各地の職人ギルドにも協力を要請……			流星と陽の軌跡							
ついについに、見た目も機能も満足のいく新装備が、出来上がったのでっす！			ついについに、見た目も機能も満足のいく新装備が、出来上がったのでっす！			流星と陽の軌跡							
……というか、あまりに出来が良かったもので、私の金庫番としての直感にビビッときてしまいまっして。			……というか、あまりに出来が良かったもので、私の金庫番としての直感にビビッときてしまいまっして。			流星と陽の軌跡							
こうしてアゴラの端をお借りし、サベネア島から避難してきた方々を職人や店員として雇用、新装備を広く売り出すことにしたのでっす！			こうしてアゴラの端をお借りし、サベネア島から避難してきた方々を職人や店員として雇用、新装備を広く売り出すことにしたのでっす！			流星と陽の軌跡							
あっ、Forenameさんには、もちろんタダでお渡ししまっすので、ご心配なく！			あっ、Forenameさんには、もちろんタダでお渡ししまっすので、ご心配なく！			流星と陽の軌跡							
ヴァルサルードさん、開店準備はできまっしたか？			ヴァルサルードさん、開店準備はできまっしたか？			流星と陽の軌跡							
すみません……！あと少し、もう間もなく開店できます！			すみません……！あと少し、もう間もなく開店できます！			流星と陽の軌跡							
ではでは、しばし近くでお待ちくださいまっせ。お客さん第1号は、絶対、Forenameさんにお願いしたいのでっす！			ではでは、しばし近くでお待ちくださいまっせ。お客さん第1号は、絶対、Forenameさんにお願いしたいのでっす！			流星と陽の軌跡							
申し訳ないでっすが、開店の準備が整うまで、しばし近くでお待ちくださいまっせ！			申し訳ないでっすが、開店の準備が整うまで、しばし近くでお待ちくださいまっせ！			流星と陽の軌跡							
ここで開店を待ちます。このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			ここで開店を待ちます。このイベントはスキップすることができないため、コンテンツファインダー申請中の場合などは、ご注意ください。			流星と陽の軌跡							
開店を待ちますか？			開店を待ちますか？			流星と陽の軌跡							
(-？？？？-)おや……？ここで君と出会うとは、予想外だ。			(-？？？？-)おや……？ここで君と出会うとは、予想外だ。			流星と陽の軌跡							
運んできた幻龍の鱗は、ニッダーナたちが縮退炉に組み込んでくれた。彼女たちは、そのまま方舟の改良を手伝うそうだ。			運んできた幻龍の鱗は、ニッダーナたちが縮退炉に組み込んでくれた。彼女たちは、そのまま方舟の改良を手伝うそうだ。			流星と陽の軌跡							
私も……「本体」は変わらずラザハンにいるが、しばらくはヴァルシャンを、この街に待機させておくつもりだ。			私も……「本体」は変わらずラザハンにいるが、しばらくはヴァルシャンを、この街に待機させておくつもりだ。			流星と陽の軌跡							
ここならば、終末に関する新たな情報や、君たちの状況を、すぐに知ることができる。			ここならば、終末に関する新たな情報や、君たちの状況を、すぐに知ることができる。			流星と陽の軌跡							
それに、ガレマルド経由での避難を断念したサベネア島の民が、ここに移送されているからな……この身で、彼らに付き添っているのだ。			それに、ガレマルド経由での避難を断念したサベネア島の民が、ここに移送されているからな……この身で、彼らに付き添っているのだ。			流星と陽の軌跡							
ヴァルシャンさん、先日は避難民の方々の雇用について相談に乗っていただいて、どうもありがとうございまっした！			ヴァルシャンさん、先日は避難民の方々の雇用について相談に乗っていただいて、どうもありがとうございまっした！			流星と陽の軌跡							
こちらこそ、君の計らいに深く感謝している。避難中とはいえ、彼らにも生活があるのだ……働いて稼ぎを得られるというのは、心の支えにもなるだろう。			こちらこそ、君の計らいに深く感謝している。避難中とはいえ、彼らにも生活があるのだ……働いて稼ぎを得られるというのは、心の支えにもなるだろう。			流星と陽の軌跡							
加えて、ラザハンは工芸や商いの盛んな国。ここで経験したことは、いつか国に戻ったときにも、十分に役立てられるはずだ。			加えて、ラザハンは工芸や商いの盛んな国。ここで経験したことは、いつか国に戻ったときにも、十分に役立てられるはずだ。			流星と陽の軌跡							
……そんな場を用意してくれた君に、ひとこと礼をと思った。それで、店員として働く民の様子見も兼ねて、こちらに立ち寄らせてもらった次第だ。			……そんな場を用意してくれた君に、ひとこと礼をと思った。それで、店員として働く民の様子見も兼ねて、こちらに立ち寄らせてもらった次第だ。			流星と陽の軌跡							
困ったときは、お互いさまでっす！それに、新装備の製作指導をしているエオルゼアの職人たちが、ラザハンの職人たちの技術に驚いていまっした。			困ったときは、お互いさまでっす！それに、新装備の製作指導をしているエオルゼアの職人たちが、ラザハンの職人たちの技術に驚いていまっした。			流星と陽の軌跡							
もしかしたら、その出会いによって、さらなる製品が誕生するかも……！？			もしかしたら、その出会いによって、さらなる製品が誕生するかも……！？			流星と陽の軌跡							
そんな日が無事に訪れることを、私も、心から願ってやまないよ。			そんな日が無事に訪れることを、私も、心から願ってやまないよ。			流星と陽の軌跡							
Forename……終末がどういったもので、君たちがどこへ向かうかは、哲学者議会から報告をもらっている。			Forename……終末がどういったもので、君たちがどこへ向かうかは、哲学者議会から報告をもらっている。			流星と陽の軌跡							
そしてやっと、数千年ぶりに合点がいったのだ。天を渡ってきた父が、どうしてこの星を選んだのか……何故「最後に残った希望」と呼んだのかを。			そしてやっと、数千年ぶりに合点がいったのだ。天を渡ってきた父が、どうしてこの星を選んだのか……何故「最後に残った希望」と呼んだのかを。			流星と陽の軌跡							
他の星々はすでに、命を見限り、生を拒んでいたのだな……。			他の星々はすでに、命を見限り、生を拒んでいたのだな……。			流星と陽の軌跡							
そんな中で、いまだ生命を湛えているこの星は、父の眼に、どれほど眩く映ったことだろう……。			そんな中で、いまだ生命を湛えているこの星は、父の眼に、どれほど眩く映ったことだろう……。			流星と陽の軌跡							
それを護るために飛び立つ君たちに、幻龍の鱗が、きっと力を与えるだろう。			それを護るために飛び立つ君たちに、幻龍の鱗が、きっと力を与えるだろう。			流星と陽の軌跡							
私もまた、己が竜詩(うた)を以て……竜として生まれ、ヒトとともに生きた日々の歓びを以て、君たちの道行きに賛意を表そう。			私もまた、己が竜詩(うた)を以て……竜として生まれ、ヒトとともに生きた日々の歓びを以て、君たちの道行きに賛意を表そう。			流星と陽の軌跡							
何と言う？			何と言う？			流星と陽の軌跡							
そっちこそ、大変だろうが踏ん張れ！			そっちこそ、大変だろうが踏ん張れ！			流星と陽の軌跡							
終末を退けたら、ラザハン観光に行く			終末を退けたら、ラザハン観光に行く			流星と陽の軌跡							
あまり期待はしないでほしい……			あまり期待はしないでほしい……			流星と陽の軌跡							
ああ、承知した。アヒワーンを落胆させることのないよう、私のすべてをもって、我が民を護る。			ああ、承知した。アヒワーンを落胆させることのないよう、私のすべてをもって、我が民を護る。			流星と陽の軌跡							
ああ、是非そうしてほしい。君にはまだ、ラザハンの熱気と活気を見せられていない。すべてが落ち着いたら、堪能しに来てくれ。			ああ、是非そうしてほしい。君にはまだ、ラザハンの熱気と活気を見せられていない。すべてが落ち着いたら、堪能しに来てくれ。			流星と陽の軌跡							
悪かった、だが案じることはない。いかなる命運でもともにする覚悟がなければ、父の鱗を渡したりなど、していないのだから。			悪かった、だが案じることはない。いかなる命運でもともにする覚悟がなければ、父の鱗を渡したりなど、していないのだから。			流星と陽の軌跡							
では、私はそろそろ失礼しよう。新たな店の繁盛と、君たちの勝利を願っているよ。			では、私はそろそろ失礼しよう。新たな店の繁盛と、君たちの勝利を願っているよ。			流星と陽の軌跡							
(-？？？？-)ううぅ……腹減ったぁ……！			(-？？？？-)ううぅ……腹減ったぁ……！			流星と陽の軌跡							
おっ、マブダチじゃないか！何してるんだ、こんなところで？			おっ、マブダチじゃないか！何してるんだ、こんなところで？			流星と陽の軌跡							
ふーん、開店準備が終わるのを待ってるのか。オレもそのうち、似合いの装備がないか見にきてみるかな。派手な衣装ってのは、意外と社交の場で役立つんだ。			ふーん、開店準備が終わるのを待ってるのか。オレもそのうち、似合いの装備がないか見にきてみるかな。派手な衣装ってのは、意外と社交の場で役立つんだ。			流星と陽の軌跡							
っつーか聞いてくれよ！「少しでも手伝えることがあるうちは帰ってくるな」って、兄貴が言うもんだから、オレ、こっちに残って働いてたんだ。			っつーか聞いてくれよ！「少しでも手伝えることがあるうちは帰ってくるな」って、兄貴が言うもんだから、オレ、こっちに残って働いてたんだ。			流星と陽の軌跡							
ほかにもそういう連中が大勢いてさ、あの乱暴海賊シカルドも、オレと一緒に荷運びとかしてたわけよ。			ほかにもそういう連中が大勢いてさ、あの乱暴海賊シカルドも、オレと一緒に荷運びとかしてたわけよ。			流星と陽の軌跡							
