忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			イシュガルドのモブハント（中級）							
シドゥルグと捜索の分担をした。不浄の三塔より南で「グロン・アールム」を探そう。			シドゥルグと捜索の分担をした。不浄の三塔より南で「グロン・アールム」を探そう。			去りし日々の告白							
妨害を退け、グロン・アールムを入手した。不浄の三塔の「ヴィゾーヴニル」に「グロン・アールム」を見せよう。			妨害を退け、グロン・アールムを入手した。不浄の三塔の「ヴィゾーヴニル」に「グロン・アールム」を見せよう。			去りし日々の告白							
ヴィゾーヴニルにグロン・アールムを見せたところ、ほかの竜に渡すよう言われた。高地ドラヴァニアのモーン大岩窟にいる「死期を悟る老竜」に「グロン・アールム」を渡そう。			ヴィゾーヴニルにグロン・アールムを見せたところ、ほかの竜に渡すよう言われた。高地ドラヴァニアのモーン大岩窟にいる「死期を悟る老竜」に「グロン・アールム」を渡そう。			去りし日々の告白							
死期を悟る老竜に、グロン・アールムを渡した。彼女の夫の血が、リエルの中に混じっているらしい。忘れられた騎士亭に戻り、「シドゥルグ」と話そう。			死期を悟る老竜に、グロン・アールムを渡した。彼女の夫の血が、リエルの中に混じっているらしい。忘れられた騎士亭に戻り、「シドゥルグ」と話そう。			去りし日々の告白							
シドゥルグと話していたところ、正教からの使者、イストリドが現れた。彼女こそ、リエルの命を狙う首謀者であり、彼女の実の母親であるらしい。提示された決闘にむけて、力をつけていこう。※暗黒騎士のレベルが58以上になると、忘れられた騎士亭のシドゥルグから次の暗黒騎士クエストを受注することができます。			シドゥルグと話していたところ、正教からの使者、イストリドが現れた。彼女こそ、リエルの命を狙う首謀者であり、彼女の実の母親であるらしい。提示された決闘にむけて、力をつけていこう。※暗黒騎士のレベルが58以上になると、忘れられた騎士亭のシドゥルグから次の暗黒騎士クエストを受注することができます。			去りし日々の告白							
不浄の三塔のヴィゾーヴニルと話す			不浄の三塔のヴィゾーヴニルと話す			去りし日々の告白							
不浄の三塔のシドゥルグに相談			不浄の三塔のシドゥルグに相談			去りし日々の告白							
グロン・アールムを探す			グロン・アールムを探す			去りし日々の告白							
ヴィゾーヴニルにグロン・アールムを見せる			ヴィゾーヴニルにグロン・アールムを見せる			去りし日々の告白							
死期を悟る老竜にグロン・アールムを渡す			死期を悟る老竜にグロン・アールムを渡す			去りし日々の告白							
イシュガルドのシドゥルグと話す			イシュガルドのシドゥルグと話す			去りし日々の告白							
本クエストを進行するためには、「メインクエスト：蒼天のイシュガルド」の、「霊峰を越えて」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：蒼天のイシュガルド」の、「霊峰を越えて」を完了する必要があります。			去りし日々の告白							
Forenameか……。実は、お前に相談したいことがある。			Forenameか……。実は、お前に相談したいことがある。			去りし日々の告白							
幻術士ギルドの、角尊が言っていたことは覚えているな？リエルが、ドラゴン族や精霊に似た力を宿しているという話だ。			幻術士ギルドの、角尊が言っていたことは覚えているな？リエルが、ドラゴン族や精霊に似た力を宿しているという話だ。			去りし日々の告白							
もしも、リエルの力が、竜に由来するものだったら……この国のことだ、護りきるのは相当に難しくなるだろう。			もしも、リエルの力が、竜に由来するものだったら……この国のことだ、護りきるのは相当に難しくなるだろう。			去りし日々の告白							
本人は竜の血を飲んでいないと言っているが、それだけで、すべて可能性が否定できるわけではない……。真実を知るには、リエルをドラゴン族に見せる必要がある。			本人は竜の血を飲んでいないと言っているが、それだけで、すべて可能性が否定できるわけではない……。真実を知るには、リエルをドラゴン族に見せる必要がある。			去りし日々の告白							
……無論、危険は承知だが、こいつを護ろうと思うのならば、確認しておくべき真実だ。どうにかして、ドラゴン族と交渉ができんものか……。			……無論、危険は承知だが、こいつを護ろうと思うのならば、確認しておくべき真実だ。どうにかして、ドラゴン族と交渉ができんものか……。			去りし日々の告白							
なに、高地ドラヴァニアのドラゴン族となら、交渉ができるだと……！？			なに、高地ドラヴァニアのドラゴン族となら、交渉ができるだと……！？			去りし日々の告白							
お前、よくよく異端の嫌疑をかけられんようにしろよ……。だが、渡りに船には違いない。リエルは俺が連れていくので、現地で合流するとしよう。			お前、よくよく異端の嫌疑をかけられんようにしろよ……。だが、渡りに船には違いない。リエルは俺が連れていくので、現地で合流するとしよう。			去りし日々の告白							
高地ドラヴァニアのドラゴン族に、リエルを見せに行こう。連中との交渉には、お前が不可欠だ。……頼んだぞ。			高地ドラヴァニアのドラゴン族に、リエルを見せに行こう。連中との交渉には、お前が不可欠だ。……頼んだぞ。			去りし日々の告白							
Forenameが来てくれるようになってから、初めての場所、いっぱい行ってる……。			Forenameが来てくれるようになってから、初めての場所、いっぱい行ってる……。			去りし日々の告白							
いつか、もっと遠くにも行けたらいいな。Forenameと、シドゥルグと、3人で……。			いつか、もっと遠くにも行けたらいいな。Forenameと、シドゥルグと、3人で……。			去りし日々の告白							
こいつが、ここの長なのか……。交渉は頼んだぞ。			こいつが、ここの長なのか……。交渉は頼んだぞ。			去りし日々の告白							
ドラゴン族、大きい……！こんなに近くで見るの、はじめて……！			ドラゴン族、大きい……！こんなに近くで見るの、はじめて……！			去りし日々の告白							
小さき者よ、此度は何用か。こちらの奇妙な小さき者らも、お前の連れ合いであろう？			小さき者よ、此度は何用か。こちらの奇妙な小さき者らも、お前の連れ合いであろう？			去りし日々の告白							
……なるほど、道理で。			……なるほど、道理で。			去りし日々の告白							
事情は、ようくわかった。お前の言葉に偽りがあるとも思わぬが、見知らぬヒトのためとあらば、相応の誠意を見せよ。			事情は、ようくわかった。お前の言葉に偽りがあるとも思わぬが、見知らぬヒトのためとあらば、相応の誠意を見せよ。			去りし日々の告白							
花を……「グロン・アールム」を摘んでくるのだ。この塔から、さほど離れてはおらぬ地に根付いていよう。			花を……「グロン・アールム」を摘んでくるのだ。この塔から、さほど離れてはおらぬ地に根付いていよう。			去りし日々の告白							
「グロン・アールム」はとても香り高き花ゆえ、引き寄せられる魔物も少なくない。心して探すがよい。			「グロン・アールム」はとても香り高き花ゆえ、引き寄せられる魔物も少なくない。心して探すがよい。			去りし日々の告白							
花を……「グロン・アールム」を摘んでくるのだ。この塔から、さほど離れてはおらぬ地に根付いていよう。			花を……「グロン・アールム」を摘んでくるのだ。この塔から、さほど離れてはおらぬ地に根付いていよう。			去りし日々の告白							
ドラゴン族でも、花が好きなの……？不思議……私たちと、同じなんだね。			ドラゴン族でも、花が好きなの……？不思議……私たちと、同じなんだね。			去りし日々の告白							
……話は聞いていた。まさか、ドラゴン族のために花を摘む日が来ようとはな……。			……話は聞いていた。まさか、ドラゴン族のために花を摘む日が来ようとはな……。			去りし日々の告白							
探すのは「グロン・アールム」だったか。ふむ……俺とリエルは、塔よりも北を探してこよう。お前は南側を頼む。			探すのは「グロン・アールム」だったか。ふむ……俺とリエルは、塔よりも北を探してこよう。お前は南側を頼む。			去りし日々の告白							
探すのは「グロン・アールム」だったか。ふむ……俺とリエルは、塔よりも北を探してこよう。お前は南側を頼む。			探すのは「グロン・アールム」だったか。ふむ……俺とリエルは、塔よりも北を探してこよう。お前は南側を頼む。			去りし日々の告白							
「グロン・アールム」は見つけられたか？我らの爪で触れるには、か弱すぎる命だが、お前たちの柔き手ならば摘み取れよう。			「グロン・アールム」は見つけられたか？我らの爪で触れるには、か弱すぎる命だが、お前たちの柔き手ならば摘み取れよう。			去りし日々の告白							
ああ……。そうだ、吾輩が求めたのは、確かにこの花だ。			ああ……。そうだ、吾輩が求めたのは、確かにこの花だ。			去りし日々の告白							
では、これをそのまま、モーン大岩窟におる老竜に渡せ。さすれば、求める答えも得られよう……。お前の連れ合いが戻ってきたら、同じように伝えおく。			では、これをそのまま、モーン大岩窟におる老竜に渡せ。さすれば、求める答えも得られよう……。お前の連れ合いが戻ってきたら、同じように伝えおく。			去りし日々の告白							
「グロン・アールム」を、モーン大岩窟におる老竜に渡せ。さすれば、求める答えも得られよう……。お前の連れ合いが戻ってきたら、同じように伝えおく。			「グロン・アールム」を、モーン大岩窟におる老竜に渡せ。さすれば、求める答えも得られよう……。お前の連れ合いが戻ってきたら、同じように伝えおく。			去りし日々の告白							
……何かね、若人よ。間もなく天命が尽き、空へと還る命だ……。首を取ろうというのなら、その後にしておくれ……。			……何かね、若人よ。間もなく天命が尽き、空へと還る命だ……。首を取ろうというのなら、その後にしておくれ……。			去りし日々の告白							
ああ……懐かしい……。グロン・アールムだね……。私の愛した、芽吹きの匂いだ……。			ああ……懐かしい……。グロン・アールムだね……。私の愛した、芽吹きの匂いだ……。			去りし日々の告白							
これを、ヴィゾーヴニルが私にと……？			これを、ヴィゾーヴニルが私にと……？			去りし日々の告白							
……その娘の匂い。なるほど、ヴィゾーヴニルめ、老体に面倒な役目を押し付けてくれたものだ……。			……その娘の匂い。なるほど、ヴィゾーヴニルめ、老体に面倒な役目を押し付けてくれたものだ……。			去りし日々の告白							
永きを生き、叡智を湛えた竜よ。俺たちは、問いたいことがあって来た。			永きを生き、叡智を湛えた竜よ。俺たちは、問いたいことがあって来た。			去りし日々の告白							
みなまで言うな。……最も小さき若人よ、私のそばまで来ておくれ。			みなまで言うな。……最も小さき若人よ、私のそばまで来ておくれ。			去りし日々の告白							
ああ……やはり……この娘からは、よく知った匂いがする……。かつて黎明の雲海をともに羽ばたいた、我が夫の匂いだ。			ああ……やはり……この娘からは、よく知った匂いがする……。かつて黎明の雲海をともに羽ばたいた、我が夫の匂いだ。			去りし日々の告白							
何を、言っている……！？まさか……！			何を、言っている……！？まさか……！			去りし日々の告白							
まあ、お待ち……。老骨の話に、結論を急ぐものではないよ。			まあ、お待ち……。老骨の話に、結論を急ぐものではないよ。			去りし日々の告白							
この幼きヒトの内には、確かに我が夫の……ドラゴン族の血が流れている。しかし、ヒトの血とよく混じっているようだね……。			この幼きヒトの内には、確かに我が夫の……ドラゴン族の血が流れている。しかし、ヒトの血とよく混じっているようだね……。			去りし日々の告白							
おそらく、父と母のどちらかが、我が夫の血を呷り……その後に授かった子なのだろう。			おそらく、父と母のどちらかが、我が夫の血を呷り……その後に授かった子なのだろう。			去りし日々の告白							
……我ら竜の血には、ヒトを竜と成す力がある。だが、最初の変異はごく短期間におわり、姿は戻るのだ。幾度も血を呷ってこそ、完全な変貌に至る……。			……我ら竜の血には、ヒトを竜と成す力がある。だが、最初の変異はごく短期間におわり、姿は戻るのだ。幾度も血を呷ってこそ、完全な変貌に至る……。			去りし日々の告白							
もし、竜の血を飲みながらも、完全な変貌を遂げる前に、ヒトの姿で子を儲けたなら……生まれた命は、ヒトそのものの形をとるだろう。			もし、竜の血を飲みながらも、完全な変貌を遂げる前に、ヒトの姿で子を儲けたなら……生まれた命は、ヒトそのものの形をとるだろう。			去りし日々の告白							
そんな……。神殿騎士がリエルを追っているのは、まさか、この事実を知っているからなのか……！？			そんな……。神殿騎士がリエルを追っているのは、まさか、この事実を知っているからなのか……！？			去りし日々の告白							
クソッ、最悪だ！竜人と人との混血児など、イシュガルドでは禁忌の存在。正教は当然、是が非でも消しにくる……！！			クソッ、最悪だ！竜人と人との混血児など、イシュガルドでは禁忌の存在。正教は当然、是が非でも消しにくる……！！			去りし日々の告白							
こいつを護りきるには、どうしたらいい……！？肝心の「暗黒騎士の極意」さえ、いまだ暗中だぞ……！！			こいつを護りきるには、どうしたらいい……！？肝心の「暗黒騎士の極意」さえ、いまだ暗中だぞ……！！			去りし日々の告白							
極意とはまた、大層なことを……。たかだか500年と生きない短命のヒトが、いかなる真実を極めようというのかね……？			極意とはまた、大層なことを……。たかだか500年と生きない短命のヒトが、いかなる真実を極めようというのかね……？			去りし日々の告白							
……負の感情の源流であり、護るための強さとなる心だって？ふむ、お前たちの様子を見れば、とっくにわかっていそうなものだがね……。			……負の感情の源流であり、護るための強さとなる心だって？ふむ、お前たちの様子を見れば、とっくにわかっていそうなものだがね……。			去りし日々の告白							
その心は、老いた私が口にするには、いささか青臭すぎる。ただ、遠い空に棲む、私の小さな友人たちならば、高らかに謳いあげてくれるだろう……。			その心は、老いた私が口にするには、いささか青臭すぎる。ただ、遠い空に棲む、私の小さな友人たちならば、高らかに謳いあげてくれるだろう……。			去りし日々の告白							
どういうことだ……？詳しく教えろ！！			どういうことだ……？詳しく教えろ！！			去りし日々の告白							
さてね……。しゃべりすぎて、もう疲れてしまった……。私は、そろそろ眠らせてもらうよ……。			さてね……。しゃべりすぎて、もう疲れてしまった……。私は、そろそろ眠らせてもらうよ……。			去りし日々の告白							
……お前と出会えたおかげで、懐かしい夢が見られそうだ。ありがとう、小さきヒトの子よ…………。			……お前と出会えたおかげで、懐かしい夢が見られそうだ。ありがとう、小さきヒトの子よ…………。			去りし日々の告白							
私も……会えて、よかった……。おやすみなさい……。			私も……会えて、よかった……。おやすみなさい……。			去りし日々の告白							
一度、「忘れられた騎士亭」に戻ろう……。			一度、「忘れられた騎士亭」に戻ろう……。			去りし日々の告白							
もう、お行き……。竜の眠りは、妨げるものではないよ……。			もう、お行き……。竜の眠りは、妨げるものではないよ……。			去りし日々の告白							
………………。			………………。			去りし日々の告白							
……Forename。リエルを護るための戦い、お前はどう見る？			……Forename。リエルを護るための戦い、お前はどう見る？			去りし日々の告白							
俺は、こいつが何であれ、負った役目を途中で投げ出すつもりはない。俺自身のためにもな……ただ……			俺は、こいつが何であれ、負った役目を途中で投げ出すつもりはない。俺自身のためにもな……ただ……			去りし日々の告白							
(-？？？？-)悪しき娘を庇い、我々に牙を剥く「暗黒騎士」というのは、貴様らのことだな？			(-？？？？-)悪しき娘を庇い、我々に牙を剥く「暗黒騎士」というのは、貴様らのことだな？			去りし日々の告白							
…………ッ！			…………ッ！			去りし日々の告白							
お前……正教の手の者だな。フン、ついに街中でもお構いなしか……？			お前……正教の手の者だな。フン、ついに街中でもお構いなしか……？			去りし日々の告白							
(-？？？？-)勘違いするなよ、下郎。正義は我々、貴様らは悪だ。こうして穏便に言葉を交わせることを、ありがたく思え。			(-？？？？-)勘違いするなよ、下郎。正義は我々、貴様らは悪だ。こうして穏便に言葉を交わせることを、ありがたく思え。			去りし日々の告白							
我が名は、イストリド。心身を、イシュガルド正教に捧げる者だ。			我が名は、イストリド。心身を、イシュガルド正教に捧げる者だ。			去りし日々の告白							
我々が、その娘を追っていることについては、もはや隠し立てするつもりもない。そして、貴様らに手を焼いていることもな。			我々が、その娘を追っていることについては、もはや隠し立てするつもりもない。そして、貴様らに手を焼いていることもな。			去りし日々の告白							
正教の核たる方々は、貴様らの追跡によって、いたずらに神殿騎士を損失することを望んではおらぬ。……ゆえに、こうして薄汚い店まで「取引」をしにきた。			正教の核たる方々は、貴様らの追跡によって、いたずらに神殿騎士を損失することを望んではおらぬ。……ゆえに、こうして薄汚い店まで「取引」をしにきた。			去りし日々の告白							
取引、か……。笑わせてくれるな。			取引、か……。笑わせてくれるな。			去りし日々の告白							
お前らが、リエルを追っている理由には、予測がついている。イシュガルド正教にとって禁忌の存在……断じて許す気などないくせに、何をどう取引するつもりだ？			お前らが、リエルを追っている理由には、予測がついている。イシュガルド正教にとって禁忌の存在……断じて許す気などないくせに、何をどう取引するつもりだ？			去りし日々の告白							
ほう……理由を知っていて娘を庇うか、逆賊め。無知であれば、恩赦のていをとり、娘を奪うつもりだったのだがな……。			ほう……理由を知っていて娘を庇うか、逆賊め。無知であれば、恩赦のていをとり、娘を奪うつもりだったのだがな……。			去りし日々の告白							
まあ、よい……。我々は、娘を含めた貴様ら3人との決闘を望む。			まあ、よい……。我々は、娘を含めた貴様ら3人との決闘を望む。			去りし日々の告白							
私は、その娘の処遇について全権を預かった身。もしこの首を取ることができれば、ほかに貴様らを追うものはいないと約束しよう。			私は、その娘の処遇について全権を預かった身。もしこの首を取ることができれば、ほかに貴様らを追うものはいないと約束しよう。			去りし日々の告白							
ただし、この取引を断ったり、決闘の地に現れないようなことがあれば、今後は街中でも追っ手を放つ。			ただし、この取引を断ったり、決闘の地に現れないようなことがあれば、今後は街中でも追っ手を放つ。			去りし日々の告白							
他国に逃げ堕ちようが、必ず探し出して抹殺するゆえ……快い返事をしてくれような？			他国に逃げ堕ちようが、必ず探し出して抹殺するゆえ……快い返事をしてくれような？			去りし日々の告白							
……心底、気に食わん女だ。決闘を待たず、今ここで首を落としてやりたいが、どうせ外に配下どもが控えているんだろう？			……心底、気に食わん女だ。決闘を待たず、今ここで首を落としてやりたいが、どうせ外に配下どもが控えているんだろう？			去りし日々の告白							
その取引とやら……乗る以外に、道はないようだな。			その取引とやら……乗る以外に、道はないようだな。			去りし日々の告白							
……逆賊のわりに、よい判断だ。では、決闘の日時については、追って使者を出す。それまで、精々おとなしくしておれ。			……逆賊のわりに、よい判断だ。では、決闘の日時については、追って使者を出す。それまで、精々おとなしくしておれ。			去りし日々の告白							
待って、お母さん……！			待って、お母さん……！			去りし日々の告白							
……母と呼ぶなと言っただろう。穢れた血の娘め、貴様に家族などはない。			……母と呼ぶなと言っただろう。穢れた血の娘め、貴様に家族などはない。			去りし日々の告白							
……リエル。今、あいつに何て言った。お前、家族はいないんじゃなかったのか。			……リエル。今、あいつに何て言った。お前、家族はいないんじゃなかったのか。			去りし日々の告白							
お母さん、牢屋に入れた私に、もう娘じゃないって……家族だった記憶は消せって、言ったから……。だから…………。			お母さん、牢屋に入れた私に、もう娘じゃないって……家族だった記憶は消せって、言ったから……。だから…………。			去りし日々の告白							
お前ッ……！それを、どうして早く言わなかった！忘れろといわれて、馬鹿正直に従ったのか！？			お前ッ……！それを、どうして早く言わなかった！忘れろといわれて、馬鹿正直に従ったのか！？			去りし日々の告白							
あの女は……お前の実の母親はッ……！神殿騎士を差し向けて、お前を殺そうとしているんだぞ！！			あの女は……お前の実の母親はッ……！神殿騎士を差し向けて、お前を殺そうとしているんだぞ！！			去りし日々の告白							
……ッ…………。			……ッ…………。			去りし日々の告白							
クソ！　クソッ……！どこまで……腐っていやがる…………！！			クソ！　クソッ……！どこまで……腐っていやがる…………！！			去りし日々の告白							
すまん、Forename。少し、頭を冷やす時間をくれ。今後のことは、そのあとだ……。			すまん、Forename。少し、頭を冷やす時間をくれ。今後のことは、そのあとだ……。			去りし日々の告白							
聖ガンリオル占星院のジャンヌキナルは、冒険者に良い報せがあるようだ。			聖ガンリオル占星院のジャンヌキナルは、冒険者に良い報せがあるようだ。			継がれる挑戦							
レヴェヴァが治療活動の依頼を受けたという。高地ドラヴァニアのテイルフェザーにいる「レヴェヴァ」と話そう。			レヴェヴァが治療活動の依頼を受けたという。高地ドラヴァニアのテイルフェザーにいる「レヴェヴァ」と話そう。			継がれる挑戦							
レヴェヴァと話した。テイルフェザーの「負傷した猟師」に、「アスペクト・ベネフィク」をしよう。			レヴェヴァと話した。テイルフェザーの「負傷した猟師」に、「アスペクト・ベネフィク」をしよう。			継がれる挑戦							
負傷した猟師たちを癒した。テイルフェザーにいる「レヴェヴァ」と話そう。			負傷した猟師たちを癒した。テイルフェザーにいる「レヴェヴァ」と話そう。			継がれる挑戦							
レヴェヴァと話した。高地ドラヴァニアのチョコボの森南西にいる「レヴェヴァ」と話そう。			レヴェヴァと話した。高地ドラヴァニアのチョコボの森南西にいる「レヴェヴァ」と話そう。			継がれる挑戦							
レヴェヴァと話し、シャーレアンの刺客を排除した。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			レヴェヴァと話し、シャーレアンの刺客を排除した。聖ガンリオル占星院の「ジャンヌキナル」と話そう。			継がれる挑戦							
ジャンヌキナルと話した。レヴェヴァは、罪人となる覚悟でイシュガルドに来ていたことがわかった。レヴェヴァを助けるため、占星術の修練に励もう。※占星術師のレベルが58以上になると、聖ガンリオル占星院のジャンヌキナルから次の占星術師クエストを受注することができます。			ジャンヌキナルと話した。レヴェヴァは、罪人となる覚悟でイシュガルドに来ていたことがわかった。レヴェヴァを助けるため、占星術の修練に励もう。※占星術師のレベルが58以上になると、聖ガンリオル占星院のジャンヌキナルから次の占星術師クエストを受注することができます。			継がれる挑戦							
テイルフェザーのレヴェヴァと話す			テイルフェザーのレヴェヴァと話す			継がれる挑戦							
負傷した猟師にアスペクト・ベネフィクをする			負傷した猟師にアスペクト・ベネフィクをする			継がれる挑戦							
レヴェヴァと話す			レヴェヴァと話す			継がれる挑戦							
レヴェヴァと再度話す			レヴェヴァと再度話す			継がれる挑戦							
聖ガンリオル占星院のジャンヌキナルと話す			聖ガンリオル占星院のジャンヌキナルと話す			継がれる挑戦							
襲撃者を倒せ！			襲撃者を倒せ！			継がれる挑戦							
ごきげんよう、Forenameさん。あれからレヴェヴァ師は、各地で精力的に治療活動を続けておられます。			ごきげんよう、Forenameさん。あれからレヴェヴァ師は、各地で精力的に治療活動を続けておられます。			継がれる挑戦							
そして、なんと今回、「テイルフェザー」の猟師たちから、治療活動の依頼をされたのです……これは大いなる前進ですよ！ぜひ我々も行って、レヴェヴァ師に協力しましょう。			そして、なんと今回、「テイルフェザー」の猟師たちから、治療活動の依頼をされたのです……これは大いなる前進ですよ！ぜひ我々も行って、レヴェヴァ師に協力しましょう。			継がれる挑戦							
さっそく、私たちも合流して、準備を手伝いましょう。			さっそく、私たちも合流して、準備を手伝いましょう。			継がれる挑戦							
Forename、よく来てくれた。自主的な治療活動を進めてきたが、求めに応じて赴くのは、今回が初めてだ。			Forename、よく来てくれた。自主的な治療活動を進めてきたが、求めに応じて赴くのは、今回が初めてだ。			継がれる挑戦							
占星術が少しずつ受け入れられ始めた証……。汝らも、協力をよろしく頼む。さっそく「負傷した猟師」を癒してやってくれ。			占星術が少しずつ受け入れられ始めた証……。汝らも、協力をよろしく頼む。さっそく「負傷した猟師」を癒してやってくれ。			継がれる挑戦							
さっそく「負傷した猟師」を癒してやってくれ。			さっそく「負傷した猟師」を癒してやってくれ。			継がれる挑戦							
占星魔法の癒しの効果をお見せしましょう。			占星魔法の癒しの効果をお見せしましょう。			継がれる挑戦							
イタタタ……。			イタタタ……。			継がれる挑戦							
魔法のことは良くわからんが、この恩は忘れないぜ！			魔法のことは良くわからんが、この恩は忘れないぜ！			継がれる挑戦							
つらくて、しゃべるのもきついんだ……。			つらくて、しゃべるのもきついんだ……。			継がれる挑戦							
ありがとよ、占星術の癒しもなかなかだな。			ありがとよ、占星術の癒しもなかなかだな。			継がれる挑戦							
俺は、もうだめかもしれない……。			俺は、もうだめかもしれない……。			継がれる挑戦							
かたじけない……おかげで助かりました。			かたじけない……おかげで助かりました。			継がれる挑戦							
どうやら、これで全員治療したようですね。			どうやら、これで全員治療したようですね。			継がれる挑戦							
そちらも終わったようだな。癒やしを要する者、すべてを治療できたようだ。			そちらも終わったようだな。癒やしを要する者、すべてを治療できたようだ。			継がれる挑戦							
ええ、特に重篤な者もおらず安心しましたよ。ですが、皆、治療活動には感謝するものの、さほど占星魔法には興味がない様子ですね。			ええ、特に重篤な者もおらず安心しましたよ。ですが、皆、治療活動には感謝するものの、さほど占星魔法には興味がない様子ですね。			継がれる挑戦							
彼らは、あくまでも猟師……占星術を学ぶために、我らを招いた訳ではあるまい。さて、わしは少し空でも見上げ、今後について考えるとしよう。			彼らは、あくまでも猟師……占星術を学ぶために、我らを招いた訳ではあるまい。さて、わしは少し空でも見上げ、今後について考えるとしよう。			継がれる挑戦							
Forenameさんとカンプランは、レヴェヴァ師に同行願います。私は、集落内を一巡りして、最後の確認をしてきます。			Forenameさんとカンプランは、レヴェヴァ師に同行願います。私は、集落内を一巡りして、最後の確認をしてきます。			継がれる挑戦							
来たか、Forenameも空をみるといい。幼きころから、行き詰った時は空を見上げては、昼も夜も変わらず、天にある星々に思いを馳せたものだ。			来たか、Forenameも空をみるといい。幼きころから、行き詰った時は空を見上げては、昼も夜も変わらず、天にある星々に思いを馳せたものだ。			継がれる挑戦							
星が、父上とわしを繋いでくれる気がしてな……。例の日記を読んだのだが、父上も同じ事をしていて、やはり父娘だと、うれしくなったものだ……。			星が、父上とわしを繋いでくれる気がしてな……。例の日記を読んだのだが、父上も同じ事をしていて、やはり父娘だと、うれしくなったものだ……。			継がれる挑戦							
……父親思いの健気な嬢ちゃんだこと。なのになぜ、父親の仇に知識を授けようとするのだ？野蛮人の末路を観察し、記録を残すことの方が有益だろうに。			……父親思いの健気な嬢ちゃんだこと。なのになぜ、父親の仇に知識を授けようとするのだ？野蛮人の末路を観察し、記録を残すことの方が有益だろうに。			継がれる挑戦							
現れたか……「占星術師」は、運命を切り開く存在……。暗い未来を予見したならば、それを避ける術を伝え、ともに運命に抗うのが「占星術師」の使命だ！			現れたか……「占星術師」は、運命を切り開く存在……。暗い未来を予見したならば、それを避ける術を伝え、ともに運命に抗うのが「占星術師」の使命だ！			継がれる挑戦							
これまでの行動は、我が主の「個人的な善意」だったが、正式に議会決議が下れば、話は変わる……。本国から精鋭が送り込まれんだから！			これまでの行動は、我が主の「個人的な善意」だったが、正式に議会決議が下れば、話は変わる……。本国から精鋭が送り込まれんだから！			継がれる挑戦							
大事になる前に、決着を付けようじゃないか。こっちとしても失敗続きじゃ、面目が立たないもんでね！多少、痛い目見せる覚悟で、やらせてもらうよ！			大事になる前に、決着を付けようじゃないか。こっちとしても失敗続きじゃ、面目が立たないもんでね！多少、痛い目見せる覚悟で、やらせてもらうよ！			継がれる挑戦							
皆のもの、愚かな占星術師たちを黙らせろ……！			皆のもの、愚かな占星術師たちを黙らせろ……！			継がれる挑戦							
わしは、この地で、運命を切り開くと決めたのだ！			わしは、この地で、運命を切り開くと決めたのだ！			継がれる挑戦							
ええい、しぶとい嬢ちゃんだね……！仕方ない、総員かかれ！			ええい、しぶとい嬢ちゃんだね……！仕方ない、総員かかれ！			継がれる挑戦							
くっ、まだ、これほどの伏兵がいたとは……！？まずいな……さすがに、これは多勢に無勢……。			くっ、まだ、これほどの伏兵がいたとは……！？まずいな……さすがに、これは多勢に無勢……。			継がれる挑戦							
俺たちも加勢するぜ！あんたたちにゃ、世話になったからな！			俺たちも加勢するぜ！あんたたちにゃ、世話になったからな！			継がれる挑戦							
ええい、聞き分けのない娘だ、こうなったら容赦しないよ！			ええい、聞き分けのない娘だ、こうなったら容赦しないよ！			継がれる挑戦							
くっ、「占星術師」の力量を見誤ったか……。			くっ、「占星術師」の力量を見誤ったか……。			継がれる挑戦							
申し訳ございません、後は頼みます……。			申し訳ございません、後は頼みます……。			継がれる挑戦							
くっ、こんなところで命運が尽きるとは……。			くっ、こんなところで命運が尽きるとは……。			継がれる挑戦							
皆さん、ご無事でしたか……！レヴェヴァ師が襲われているらしいという話を聞き、遅ればせながら、駆けつけました。			皆さん、ご無事でしたか……！レヴェヴァ師が襲われているらしいという話を聞き、遅ればせながら、駆けつけました。			継がれる挑戦							
ここにいる皆のお陰で、襲撃者を撃退できた。……本当に感謝する。			ここにいる皆のお陰で、襲撃者を撃退できた。……本当に感謝する。			継がれる挑戦							
(-テイルフェザーの猟師-)いいってことよ。一緒に戦ってみて、占星魔法ってのが、イシュガルドの占星術と別物だってよくわかったぜ！			(-テイルフェザーの猟師-)いいってことよ。一緒に戦ってみて、占星魔法ってのが、イシュガルドの占星術と別物だってよくわかったぜ！			継がれる挑戦							
(-テイルフェザーの猟師-)皇都の友人たちにも、この話を聞かせてやらなきゃな。それじゃ、気を付けて帰るんだぞ？　じゃあな！			(-テイルフェザーの猟師-)皇都の友人たちにも、この話を聞かせてやらなきゃな。それじゃ、気を付けて帰るんだぞ？　じゃあな！			継がれる挑戦							
レヴェヴァ師……聞きましたか？彼らは占星魔法を、心の底から受け入れてくれている。やはり、運命は動き始めているのですよ！			レヴェヴァ師……聞きましたか？彼らは占星魔法を、心の底から受け入れてくれている。やはり、運命は動き始めているのですよ！			継がれる挑戦							
ああ、この勢いを止めてなるものか。たとえ、シャーレアン本国から強制帰国命令が下ろうとな。			ああ、この勢いを止めてなるものか。たとえ、シャーレアン本国から強制帰国命令が下ろうとな。			継がれる挑戦							
