アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			闇の戦士の再訪							
帰ったら、今日の観察結果を記入するとして……うん、それでレポートは完成するかな……。			帰ったら、今日の観察結果を記入するとして……うん、それでレポートは完成するかな……。			炎狼リュカオン							
帰ったら、今日の観察結果を記入するとして……うん、それでレポートは完成するかな……。			帰ったら、今日の観察結果を記入するとして……うん、それでレポートは完成するかな……。			炎狼リュカオン							
Forename、この人、ドーロスじゃない！髪を束ねてるは同じだけど、髪の色が違うよ。			Forename、この人、ドーロスじゃない！髪を束ねてるは同じだけど、髪の色が違うよ。			炎狼リュカオン							
……うん？　ドーロスを探している？ああ、彼ならさっき戻ってきたところを見たよ。この拠点内にいるんじゃないかな。			……うん？　ドーロスを探している？ああ、彼ならさっき戻ってきたところを見たよ。この拠点内にいるんじゃないかな。			炎狼リュカオン							
男性は話に夢中になっているようだ。メーティオンがいないと、ドーロスかどうかわからない。彼女を同行させてこよう。			男性は話に夢中になっているようだ。メーティオンがいないと、ドーロスかどうかわからない。彼女を同行させてこよう。			炎狼リュカオン							
あっ、いた！　ドーロス！			あっ、いた！　ドーロス！			炎狼リュカオン							
うん？　誰かと思えば、メーティオンじゃないか。お使いでも頼まれたのか？			うん？　誰かと思えば、メーティオンじゃないか。お使いでも頼まれたのか？			炎狼リュカオン							
ドーロス、見つけたぞ……！			ドーロス、見つけたぞ……！			炎狼リュカオン							
君たちも探してくれていたんだな。聞き慣れた声がしたおかげで、彼に気づけた。協力に感謝する。			君たちも探してくれていたんだな。聞き慣れた声がしたおかげで、彼に気づけた。協力に感謝する。			炎狼リュカオン							
君は、炎狼リュカオンの観察を担当していたな。彼らはどうした？			君は、炎狼リュカオンの観察を担当していたな。彼らはどうした？			炎狼リュカオン							
(-ドーロス-)どうもこうも、あれだけ暴れちゃ、造物院に返すのも難しい。			(-ドーロス-)どうもこうも、あれだけ暴れちゃ、造物院に返すのも難しい。			炎狼リュカオン							
(-ドーロス-)ひとまず魔法の檻に入れて、郊外に待機させてるが……レポートを提出し次第、「エーテルに戻す」つもりだ。			(-ドーロス-)ひとまず魔法の檻に入れて、郊外に待機させてるが……レポートを提出し次第、「エーテルに戻す」つもりだ。			炎狼リュカオン							
彼の報告に嘘はないと思うよ。ワタシたちが視た結果と一致してるからね。			彼の報告に嘘はないと思うよ。ワタシたちが視た結果と一致してるからね。			炎狼リュカオン							
(-ドーロス-)何だよ大勢で……！しかも、十四人委員会……！？			(-ドーロス-)何だよ大勢で……！しかも、十四人委員会……！？			炎狼リュカオン							
いろいろと事情があってな。だがお前が気にする必要はない、そちらの話を続けろ。			いろいろと事情があってな。だがお前が気にする必要はない、そちらの話を続けろ。			炎狼リュカオン							
リュカオンが、オキュペテを殺してしまったと聞いた。彼らの気性は荒く、世界に放つことは認められない……と。主担当である君の見解も、そうなのだろうか？			リュカオンが、オキュペテを殺してしまったと聞いた。彼らの気性は荒く、世界に放つことは認められない……と。主担当である君の見解も、そうなのだろうか？			炎狼リュカオン							
(-ドーロス-)ああ、リュカオンは他の生物に対して異常なまでに攻撃的だ。そして、戦闘能力は大抵の種族を凌駕している。			(-ドーロス-)ああ、リュカオンは他の生物に対して異常なまでに攻撃的だ。そして、戦闘能力は大抵の種族を凌駕している。			炎狼リュカオン							
(-ドーロス-)あんなものを世界に放てば、どこであれ、先住の生物たちを根絶やしにするぞ。			(-ドーロス-)あんなものを世界に放てば、どこであれ、先住の生物たちを根絶やしにするぞ。			炎狼リュカオン							
調べた個体が、偶然そういった性質だったという可能性は？			調べた個体が、偶然そういった性質だったという可能性は？			炎狼リュカオン							
(-ドーロス-)ないな、何体か創ってみたが、そこに違いは見られなかった。			(-ドーロス-)ないな、何体か創ってみたが、そこに違いは見られなかった。			炎狼リュカオン							
(-ドーロス-)「カイロス」で記憶を白紙化して、学習過程や環境を変えてみてもダメだ。			(-ドーロス-)「カイロス」で記憶を白紙化して、学習過程や環境を変えてみてもダメだ。			炎狼リュカオン							
カイロス……？			カイロス……？			炎狼リュカオン							
(-ドーロス-)記憶操作の機構だよ、ヘルメスが創り上げたんだ。			(-ドーロス-)記憶操作の機構だよ、ヘルメスが創り上げたんだ。			炎狼リュカオン							
(-ドーロス-)あれを使えば、都度生物を創り直さなくても、記憶を消したり改変したりして、別の環境で育成した場合の観察ができるってわけさ。			(-ドーロス-)あれを使えば、都度生物を創り直さなくても、記憶を消したり改変したりして、別の環境で育成した場合の観察ができるってわけさ。			炎狼リュカオン							
なんてものを創ってるんだ……。エーテルの放射量によっては、パシュタロットがスッ飛んでくるぞ。			なんてものを創ってるんだ……。エーテルの放射量によっては、パシュタロットがスッ飛んでくるぞ。			炎狼リュカオン							
法を犯してはいないはずだ……ギリギリ……。それに、決して人に使うことのないよう、所長権限で規制をかけている。			法を犯してはいないはずだ……ギリギリ……。それに、決して人に使うことのないよう、所長権限で規制をかけている。			炎狼リュカオン							
記憶を操作するなど、到底好ましいことではないが……違う育成環境を試すために、創られた生物が殺められるのは、どうしても看過できなかった……。			記憶を操作するなど、到底好ましいことではないが……違う育成環境を試すために、創られた生物が殺められるのは、どうしても看過できなかった……。			炎狼リュカオン							
(-ドーロス-)殺めるだなんて、大袈裟な！「エーテルに戻して」改めて創造してるだけだろ？			(-ドーロス-)殺めるだなんて、大袈裟な！「エーテルに戻して」改めて創造してるだけだろ？			炎狼リュカオン							
(-ドーロス-)所長はどうもそこが気になって仕方ないらしいが、俺たちがやってるのは、星を善くするための、大事な選定だ。			(-ドーロス-)所長はどうもそこが気になって仕方ないらしいが、俺たちがやってるのは、星を善くするための、大事な選定だ。			炎狼リュカオン							
(-ドーロス-)何回創り直してでも、しっかり観察すべきだし、在るべきじゃないものは、きっちり消去する。その必要性は、誰に問うても、議論の余地すらないと思うぞ。			(-ドーロス-)何回創り直してでも、しっかり観察すべきだし、在るべきじゃないものは、きっちり消去する。その必要性は、誰に問うても、議論の余地すらないと思うぞ。			炎狼リュカオン							
……わかっている。自分だって、世界に脅威を解き放ちたいわけじゃない。線引きはできているつもりだ。			……わかっている。自分だって、世界に脅威を解き放ちたいわけじゃない。線引きはできているつもりだ。			炎狼リュカオン							
だが、自分たちの判断ひとつに、創られたリュカオンたちの命が懸かっているんだ。			だが、自分たちの判断ひとつに、創られたリュカオンたちの命が懸かっているんだ。			炎狼リュカオン							
観察の不足や不備はなかったか、考慮しそこねている可能性はないか、念入りに確認すべきだ……。			観察の不足や不備はなかったか、考慮しそこねている可能性はないか、念入りに確認すべきだ……。			炎狼リュカオン							
(-ドーロス-)なら、詳しく報告をするから、一緒に検討してくれ。			(-ドーロス-)なら、詳しく報告をするから、一緒に検討してくれ。			炎狼リュカオン							
その話し合い、ワタシたちも立ち会っていいかな。エメトセルクの視察の一環としてさ。			その話し合い、ワタシたちも立ち会っていいかな。エメトセルクの視察の一環としてさ。			炎狼リュカオン							
ああ、もちろん構わない……。			ああ、もちろん構わない……。			炎狼リュカオン							
彼らを談話室へ……そこで話をしよう。			彼らを談話室へ……そこで話をしよう。			炎狼リュカオン							
自分の使命はわかっている。だが、創造されたリュカオンたちの命に責任を持つことも、エルピスで働く者の使命じゃないのか……。			自分の使命はわかっている。だが、創造されたリュカオンたちの命に責任を持つことも、エルピスで働く者の使命じゃないのか……。			炎狼リュカオン							
人には、人ではないものが生きてること、わからない……それは魔法と同じで、管理すべきもの……。			人には、人ではないものが生きてること、わからない……それは魔法と同じで、管理すべきもの……。			炎狼リュカオン							
ヘルメスは、それが…………。			ヘルメスは、それが…………。			炎狼リュカオン							
十二節の園のヘルメスは、話し合いに向かうようだ。			十二節の園のヘルメスは、話し合いに向かうようだ。			伝えたい気持ち							
メーティオンと話して同行させる			メーティオンと話して同行させる			伝えたい気持ち							
メーティオンを連れて十二節の園の植物を調べる			メーティオンを連れて十二節の園の植物を調べる			伝えたい気持ち							
メーティオンを連れて美しく咲き誇る花々を見渡す			メーティオンを連れて美しく咲き誇る花々を見渡す			伝えたい気持ち							
メーティオンを連れて風にそよぐ茂みを見渡す			メーティオンを連れて風にそよぐ茂みを見渡す			伝えたい気持ち							
メーティオンを連れて小道の交差点を見渡す			メーティオンを連れて小道の交差点を見渡す			伝えたい気持ち							
メーティオンを連れて悪臭漂う草むらを見渡す			メーティオンを連れて悪臭漂う草むらを見渡す			伝えたい気持ち							
メーティオンを連れて見晴らしのいい草原を見渡す			メーティオンを連れて見晴らしのいい草原を見渡す			伝えたい気持ち							
メーティオンを連れて輝きの正体を調べる			メーティオンを連れて輝きの正体を調べる			伝えたい気持ち							
メーティオンと話す			メーティオンと話す			伝えたい気持ち							
………………。			………………。			伝えたい気持ち							
そういうわけで、自分たちは話し合いをしてくる。しばらく掛かりそうだが、君は……			そういうわけで、自分たちは話し合いをしてくる。しばらく掛かりそうだが、君は……			伝えたい気持ち							
……メーティオン？どこか、具合が悪いのか？			……メーティオン？どこか、具合が悪いのか？			伝えたい気持ち							
つらくなってるのは、わたしじゃない。わたしに流れ込んでくる、ヘルメスの心……。			つらくなってるのは、わたしじゃない。わたしに流れ込んでくる、ヘルメスの心……。			伝えたい気持ち							
Forename、わたし、あなたといる。ヘルメスたちの話し合い、行かない……。			Forename、わたし、あなたといる。ヘルメスたちの話し合い、行かない……。			伝えたい気持ち							
……すまないが、任せてもいいだろうか。			……すまないが、任せてもいいだろうか。			伝えたい気持ち							
ありがとう……。それじゃあ、行ってくるよ。			ありがとう……。それじゃあ、行ってくるよ。			伝えたい気持ち							
わがまま、ごめんなさい……。だけど、一緒に、やってほしいことある……。			わがまま、ごめんなさい……。だけど、一緒に、やってほしいことある……。			伝えたい気持ち							
ヘルメス、話し合い、多分とても悲しくなる。だから優しいこと、嬉しいこと、歓び、探しておきたい……！			ヘルメス、話し合い、多分とても悲しくなる。だから優しいこと、嬉しいこと、歓び、探しておきたい……！			伝えたい気持ち							
あのね、ヘルメス、いろんな知識あるけど、エルピスにくる創造生物で、いちばん好きなの、「花」なんだって。			あのね、ヘルメス、いろんな知識あるけど、エルピスにくる創造生物で、いちばん好きなの、「花」なんだって。			伝えたい気持ち							
ほとんどの生物は、新しいこと、美しいこと、優れていること、望まれる……。			ほとんどの生物は、新しいこと、美しいこと、優れていること、望まれる……。			伝えたい気持ち							
だけど花は今でも、贈る相手や、伝えたい気持ちに似合うもの、創られる。それが好ましい、ヘルメス言ってた。			だけど花は今でも、贈る相手や、伝えたい気持ちに似合うもの、創られる。それが好ましい、ヘルメス言ってた。			伝えたい気持ち							
だからわたし、ヘルメスに花、贈りたい！創るのはできないけど、あるものから選ぶはできる！			だからわたし、ヘルメスに花、贈りたい！創るのはできないけど、あるものから選ぶはできる！			伝えたい気持ち							
Forename、わたしと一緒に、ヘルメスに贈る花、探してください……！まず、園の中から……お願いします！			Forename、わたしと一緒に、ヘルメスに贈る花、探してください……！まず、園の中から……お願いします！			伝えたい気持ち							
何をする？			何をする？			伝えたい気持ち							
話す			話す			伝えたい気持ち							
同行状態を解除する			同行状態を解除する			伝えたい気持ち							
キャンセル			キャンセル			伝えたい気持ち							
ヘルメスに贈るなら、どんな花、いいかな……。十二節の園で、探してみよう……！			ヘルメスに贈るなら、どんな花、いいかな……。十二節の園で、探してみよう……！			伝えたい気持ち							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			伝えたい気持ち							
じゃあ、十二節の園の、最初の場所で待ってる！また一緒、探してもらえると嬉しいです！			じゃあ、十二節の園の、最初の場所で待ってる！また一緒、探してもらえると嬉しいです！			伝えたい気持ち							
ヘルメスたち、話し合い終わってないみたい。まだ、時間ありそう……！			ヘルメスたち、話し合い終わってないみたい。まだ、時間ありそう……！			伝えたい気持ち							
同行者がまだ到着していない。近くまで迎えにいって、ともに探そう。			同行者がまだ到着していない。近くまで迎えにいって、ともに探そう。			伝えたい気持ち							
メーティオンを同行させてきて、一緒に観察してみよう。			メーティオンを同行させてきて、一緒に観察してみよう。			伝えたい気持ち							
鮮やかな紫色をした大輪の花が、あちこちの枝で咲き誇っている……。			鮮やかな紫色をした大輪の花が、あちこちの枝で咲き誇っている……。			伝えたい気持ち							
きれいだねぇ……！明るい色、大きな花びら、とても華やか！			きれいだねぇ……！明るい色、大きな花びら、とても華やか！			伝えたい気持ち							
……でも、ヘルメスには、ちょっと元気すぎるかも。贈る相手を想うから、花、好ましいって言ってた。別のも、探してみていい……？			……でも、ヘルメスには、ちょっと元気すぎるかも。贈る相手を想うから、花、好ましいって言ってた。別のも、探してみていい……？			伝えたい気持ち							
次は、十二節の園の外、見てみよう！大丈夫、あんまり遠く行かないから……！			次は、十二節の園の外、見てみよう！大丈夫、あんまり遠く行かないから……！			伝えたい気持ち							
すらりと伸びた美しい樹だ。メーティオンとともに、樹冠を見上げた……。			すらりと伸びた美しい樹だ。メーティオンとともに、樹冠を見上げた……。			伝えたい気持ち							
……花、ついてないね。せめてリンゴがついてたら、砂糖どばどばにして、ヘルメス大喜びだったのに……。			……花、ついてないね。せめてリンゴがついてたら、砂糖どばどばにして、ヘルメス大喜びだったのに……。			伝えたい気持ち							
うーん……。次は、十二節の園の外、見てみよう！大丈夫、あんまり遠く行かないから……！			うーん……。次は、十二節の園の外、見てみよう！大丈夫、あんまり遠く行かないから……！			伝えたい気持ち							
十二節の園の外にも、草花、たくさん！いいの、見つかるといいな……！			十二節の園の外にも、草花、たくさん！いいの、見つかるといいな……！			伝えたい気持ち							
メーティオンを同行させてきて、一緒に見渡してみよう。			メーティオンを同行させてきて、一緒に見渡してみよう。			伝えたい気持ち							
花畑の中で、花々が美しく咲き誇っている。色の異なる花で、模様が描かれているようだ。			花畑の中で、花々が美しく咲き誇っている。色の異なる花で、模様が描かれているようだ。			伝えたい気持ち							
これなら、さっきより、ヘルメスに似合うかも……？			これなら、さっきより、ヘルメスに似合うかも……？			伝えたい気持ち							
だけど、花壇の中にあるのは、「触らないで」の意味。観察に必要だったり、毒持ってる植物だったりする……。			だけど、花壇の中にあるのは、「触らないで」の意味。観察に必要だったり、毒持ってる植物だったりする……。			伝えたい気持ち							
ほかのところに生えてる花、いいのあるかな……？もう少し、進んでみよう……！			ほかのところに生えてる花、いいのあるかな……？もう少し、進んでみよう……！			伝えたい気持ち							
うーん……うーん……ヘルメスに贈るなら……きれい……おとなしい……じみ……おもしろい……うーん……。			うーん……うーん……ヘルメスに贈るなら……きれい……おとなしい……じみ……おもしろい……うーん……。			伝えたい気持ち							
すぐ近くに、うねうねと妖しく動く、妙に背の高い花が生えている……。			すぐ近くに、うねうねと妖しく動く、妙に背の高い花が生えている……。			伝えたい気持ち							
この子は、コーネイオン！動物みたいに、意志を持って、動く花！			この子は、コーネイオン！動物みたいに、意志を持って、動く花！			伝えたい気持ち							
よく、うしろ向いてるヘルメスに、種をぶつけて遊んでる！贈りものには…………ダメだよね。			よく、うしろ向いてるヘルメスに、種をぶつけて遊んでる！贈りものには…………ダメだよね。			伝えたい気持ち							
それにしても、Forename、よく見てる……！すごいね、一緒ならきっと、ヘルメス嬉しいもの、探せるね……！			それにしても、Forename、よく見てる……！すごいね、一緒ならきっと、ヘルメス嬉しいもの、探せるね……！			伝えたい気持ち							
Forenameは、お仕事、何してる？探すの上手で、観測者みたい！			Forenameは、お仕事、何してる？探すの上手で、観測者みたい！			伝えたい気持ち							
小道が交わる地点で、あたりを見渡した。……どこにでもある雑草が、小さな花をつけているくらいだ。			小道が交わる地点で、あたりを見渡した。……どこにでもある雑草が、小さな花をつけているくらいだ。			伝えたい気持ち							
このあたりは、何も…………あっ！？			このあたりは、何も…………あっ！？			伝えたい気持ち							
Forename、すごいのいた！西の方、道の先！　行こう！			Forename、すごいのいた！西の方、道の先！　行こう！			伝えたい気持ち							
大物発見、見にいってみよう！けど、「あの子」に近づくときは、気をつけなくちゃだね……！			大物発見、見にいってみよう！けど、「あの子」に近づくときは、気をつけなくちゃだね……！			伝えたい気持ち							
あたりには、酷い悪臭が……雨に濡れたまま日陰に放置されたブーツの臭いが漂っている。原因は、傍らに佇む、モルボルの一種と思しき生物のようだ。			あたりには、酷い悪臭が……雨に濡れたまま日陰に放置されたブーツの臭いが漂っている。原因は、傍らに佇む、モルボルの一種と思しき生物のようだ。			伝えたい気持ち							
この子は、アドニス！口の周りに、花びらみたいなの、ついてる！頭についてるピカピカが、本当の花なんだって！			この子は、アドニス！口の周りに、花びらみたいなの、ついてる！頭についてるピカピカが、本当の花なんだって！			伝えたい気持ち							
ヘルメス、最初にこの子調べたとき、頭からパクッてされて、5日、部屋から出てこなかった……どうかな！？　思い出深い！？			ヘルメス、最初にこの子調べたとき、頭からパクッてされて、5日、部屋から出てこなかった……どうかな！？　思い出深い！？			伝えたい気持ち							
何と言う？			何と言う？			伝えたい気持ち							
それは良くない思い出かなぁ……			それは良くない思い出かなぁ……			伝えたい気持ち							
再び悲劇が起きちゃうなぁ……			再び悲劇が起きちゃうなぁ……			伝えたい気持ち							
ダメかぁー……。			ダメかぁー……。			伝えたい気持ち							
うーん……贈りもの、難しいね……。きれいなもの、おもしろいもの、たくさんあるけど……。			うーん……贈りもの、難しいね……。きれいなもの、おもしろいもの、たくさんあるけど……。			伝えたい気持ち							
Forename、あと少しだけ、探していい……？もう少し島の外側、行って、なければ、これまでのどれかにするから……。			Forename、あと少しだけ、探していい……？もう少し島の外側、行って、なければ、これまでのどれかにするから……。			伝えたい気持ち							
あなたは、誰かに贈りもの、したことある？わたし、そういえば、これが初めてかも……。なんだか緊張、するね……！			あなたは、誰かに贈りもの、したことある？わたし、そういえば、これが初めてかも……。なんだか緊張、するね……！			伝えたい気持ち							
あたりを見渡した。浮島の外側に向けて緩やかな下り坂になっており、青々とした草原が広がっている。			あたりを見渡した。浮島の外側に向けて緩やかな下り坂になっており、青々とした草原が広がっている。			伝えたい気持ち							
ここの先なら、何かあるんじゃないかって、思ったんだけど……			ここの先なら、何かあるんじゃないかって、思ったんだけど……			伝えたい気持ち							
……あれ？今、茂みの向こう、光った気がする……。何かあるのかな？			……あれ？今、茂みの向こう、光った気がする……。何かあるのかな？			伝えたい気持ち							
アナグノリシス天測園のある浮島と、十二節の園がある浮島は、あわせて、「ノトスの感嘆」なんだよ。			アナグノリシス天測園のある浮島と、十二節の園がある浮島は、あわせて、「ノトスの感嘆」なんだよ。			伝えたい気持ち							
南風の化身ノトスが、「すごいねー」って感動するほど、美しい場所だ……ってことなんだって。前に、メムノンから習った！			南風の化身ノトスが、「すごいねー」って感動するほど、美しい場所だ……ってことなんだって。前に、メムノンから習った！			伝えたい気持ち							
これ、エルピスの花……！ここにも、咲いてたんだ……。			これ、エルピスの花……！ここにも、咲いてたんだ……。			伝えたい気持ち							
……ヘルメスはね、この花のこと、好きだけど、好きじゃないみたい。			……ヘルメスはね、この花のこと、好きだけど、好きじゃないみたい。			伝えたい気持ち							
わたしと同じ、エンテレケイア。だから、ヘルメスの苦しい気持ちを感じ取って、暗い色になっちゃう……。			わたしと同じ、エンテレケイア。だから、ヘルメスの苦しい気持ちを感じ取って、暗い色になっちゃう……。			伝えたい気持ち							
ほかの人が近づいても、いつも、きれいな白のまま……。ヘルメスは、それが哀しくて、寂しいみたい……。			ほかの人が近づいても、いつも、きれいな白のまま……。ヘルメスは、それが哀しくて、寂しいみたい……。			伝えたい気持ち							
本当……！？あなたのいた場所では、不安の暗い色、してたの！？			本当……！？あなたのいた場所では、不安の暗い色、してたの！？			伝えたい気持ち							
じゃあ、あなたにも、何か……この花を暗く染めるような想い、ある……？			じゃあ、あなたにも、何か……この花を暗く染めるような想い、ある……？			伝えたい気持ち							
何と言う？			何と言う？			伝えたい気持ち							
悲しい別れの記憶がある			悲しい別れの記憶がある			伝えたい気持ち							
怒りや悔しさを覚えたことがある			怒りや悔しさを覚えたことがある			伝えたい気持ち							
不安に感じていることがある			不安に感じていることがある			伝えたい気持ち							
さあ、どうだろう？			さあ、どうだろう？			伝えたい気持ち							
ああ……そうなのね……！			ああ……そうなのね……！			伝えたい気持ち							
悲しい別れ……ヘルメスにもある……何度もあったのに、誰にも、気づかれていないの……。			悲しい別れ……ヘルメスにもある……何度もあったのに、誰にも、気づかれていないの……。			伝えたい気持ち							
Forename……お願い……。あなたの、その悲しみを、一度だけ貸してください……！			Forename……お願い……。あなたの、その悲しみを、一度だけ貸してください……！			伝えたい気持ち							
ああ……そうなのね……！			ああ……そうなのね……！			伝えたい気持ち							
焼けつくような憤り、悔しいこと、ヘルメスにもある……だけど、誰にも、理解されないみたいなの……。			焼けつくような憤り、悔しいこと、ヘルメスにもある……だけど、誰にも、理解されないみたいなの……。			伝えたい気持ち							
Forename……お願い……。あなたの、その焼ける想いを、一度だけ貸してください……！			Forename……お願い……。あなたの、その焼ける想いを、一度だけ貸してください……！			伝えたい気持ち							
ああ……そうなのね……！			ああ……そうなのね……！			伝えたい気持ち							
思い浮かべるだけで、胸が重くなるようなこと、ヘルメスにもある……だけど、周りは、そうじゃないみたいなの……。			思い浮かべるだけで、胸が重くなるようなこと、ヘルメスにもある……だけど、周りは、そうじゃないみたいなの……。			伝えたい気持ち							
Forename……お願い……。あなたの、その不安を、一度だけ貸してください……！			Forename……お願い……。あなたの、その不安を、一度だけ貸してください……！			伝えたい気持ち							
いいの、わたしに教えなくて……。それはきっと「隠したい想い」だと、思うから……。			いいの、わたしに教えなくて……。それはきっと「隠したい想い」だと、思うから……。			伝えたい気持ち							
だけど、お願い……。あなたに悲しいこと、寂しいこと、苦しいこと、そういう想いがあるのなら、一度だけ、それを貸して……！			だけど、お願い……。あなたに悲しいこと、寂しいこと、苦しいこと、そういう想いがあるのなら、一度だけ、それを貸して……！			伝えたい気持ち							
この花を暗い色にして、ヘルメスに見せてあげたいの。			この花を暗い色にして、ヘルメスに見せてあげたいの。			伝えたい気持ち							
ヘルメスは、わたしを創ったときからずっと、ひとりで思い悩んでるから……暗い色、わかちあうの、必要だと思う……。			ヘルメスは、わたしを創ったときからずっと、ひとりで思い悩んでるから……暗い色、わかちあうの、必要だと思う……。			伝えたい気持ち							
いいの……？			いいの……？			伝えたい気持ち							
ありがとう……ありがとう、Forename！ああ……言葉、下手なのが、こんなにもどかしいなんて！			ありがとう……ありがとう、Forename！ああ……言葉、下手なのが、こんなにもどかしいなんて！			伝えたい気持ち							
それじゃあ、十二節の園で、話し合い終わるのを待って、ヘルメスをここに連れてこよう。きっと、驚くね！			それじゃあ、十二節の園で、話し合い終わるのを待って、ヘルメスをここに連れてこよう。きっと、驚くね！			伝えたい気持ち							
まだ、話し合い、続いてるみたい……。わたし、あなたと一緒に、待つ！			まだ、話し合い、続いてるみたい……。わたし、あなたと一緒に、待つ！			伝えたい気持ち							
十二節の園のヘルメスは、重々しい様子だ。			十二節の園のヘルメスは、重々しい様子だ。			結論と責任							
ドーロスと話す			ドーロスと話す			結論と責任							
ヘルメスと話す			ヘルメスと話す			結論と責任							
リュカオンの正面に立ち、火球を討伐			リュカオンの正面に立ち、火球を討伐			結論と責任							
リュカオンの正面の指定地点に向かう			リュカオンの正面の指定地点に向かう			結論と責任							
エメトセルクと話す			エメトセルクと話す			結論と責任							
ああ、お前か……。私たちが話し合いに立ち会っている間、問題を起こしたりはしなかっただろうな？			ああ、お前か……。私たちが話し合いに立ち会っている間、問題を起こしたりはしなかっただろうな？			結論と責任							
キミも少しは休めたかい？それほどエーテル量の少ない身体じゃ、疲れるでしょ。休憩をしたかったら、遠慮なく言うんだよ。			キミも少しは休めたかい？それほどエーテル量の少ない身体じゃ、疲れるでしょ。休憩をしたかったら、遠慮なく言うんだよ。			結論と責任							
ヘルメスに、あの花を見せられて、よかった……どうもありがとう、Forename。			ヘルメスに、あの花を見せられて、よかった……どうもありがとう、Forename。			結論と責任							
……これで、今日、乗り越えられるといいな。			……これで、今日、乗り越えられるといいな。			結論と責任							
みんな、休息は十分だろうか。……これより、次の仕事に向かう。			みんな、休息は十分だろうか。……これより、次の仕事に向かう。			結論と責任							
立ち会っていたエメトセルクとヒュトロダエウスは、すでに知っていることだと思うが……先の話し合いで、リュカオンの処遇が決まった……。			立ち会っていたエメトセルクとヒュトロダエウスは、すでに知っていることだと思うが……先の話し合いで、リュカオンの処遇が決まった……。			結論と責任							
エルピスに現存する、観察用に創造されたリュカオンは、7体……。			エルピスに現存する、観察用に創造されたリュカオンは、7体……。			結論と責任							
そのすべてを…………消滅させる。			そのすべてを…………消滅させる。			結論と責任							
ドーロスの観察は、正しく行われていた。彼の導き出した結論に、誤りはなかった……自分は、エルピス所長として、それを認めなければならない。			ドーロスの観察は、正しく行われていた。彼の導き出した結論に、誤りはなかった……自分は、エルピス所長として、それを認めなければならない。			結論と責任							
リュカオンを解き放てば、周辺の生態系を破壊し、やがては自身も死滅する……。世界のどこに移送することも、エルピスに残すこともできない。			リュカオンを解き放てば、周辺の生態系を破壊し、やがては自身も死滅する……。世界のどこに移送することも、エルピスに残すこともできない。			結論と責任							
せめてそのイデアを、制約のつく危険生物として残せないか、創造物管理局に提言するつもりだ……ヒュトロダエウスも、それは支持すると約束してくれた。			せめてそのイデアを、制約のつく危険生物として残せないか、創造物管理局に提言するつもりだ……ヒュトロダエウスも、それは支持すると約束してくれた。			結論と責任							
だが……いずれにせよ、現存する個体は消し去らなければならない。			だが……いずれにせよ、現存する個体は消し去らなければならない。			結論と責任							
すでに、主担当であるドーロスが、リュカオンたちを観察拠点から離れた場所に連れ出している。			すでに、主担当であるドーロスが、リュカオンたちを観察拠点から離れた場所に連れ出している。			結論と責任							
自分は、そこに合流して……見届けるつもりだ……。人の……己の行いの……結果として……。			自分は、そこに合流して……見届けるつもりだ……。人の……己の行いの……結果として……。			結論と責任							
お前がそう決めたなら、私たちも付き合うだけだ。……視察をするのが役目だからな。			お前がそう決めたなら、私たちも付き合うだけだ。……視察をするのが役目だからな。			結論と責任							
ああ、行こう……。ここからだと、大橋を越えた先にいるはずだ……。			ああ、行こう……。ここからだと、大橋を越えた先にいるはずだ……。			結論と責任							
ドーロス！大丈夫か、いったい何が……！？			ドーロス！大丈夫か、いったい何が……！？			結論と責任							
ハァ……ハァ……しくじった……。			ハァ……ハァ……しくじった……。			結論と責任							
強固な「鎖」の魔法で、リュカオンを繋いでおいたんだが……こいつらが、今までにないくらい、暴れ出して……魔法が、千切られたんだ……！			強固な「鎖」の魔法で、リュカオンを繋いでおいたんだが……こいつらが、今までにないくらい、暴れ出して……魔法が、千切られたんだ……！			結論と責任							
とっさに、4体は討ち取った……。だが、残りの3体に……逃げられて……。			とっさに、4体は討ち取った……。だが、残りの3体に……逃げられて……。			結論と責任							
……視えた。2体は、十二節の園の方角、上空だ。			……視えた。2体は、十二節の園の方角、上空だ。			結論と責任							
最後の1体は、まだこの先の草原に留まってるな……。			最後の1体は、まだこの先の草原に留まってるな……。			結論と責任							
お前とForenameで、草原の方に対処しろ。十二節の園の方は、私が引き受ける。			お前とForenameで、草原の方に対処しろ。十二節の園の方は、私が引き受ける。			結論と責任							
……了解だ……恩に着る。			……了解だ……恩に着る。			結論と責任							
ワタシも、微力ながら手伝うよ！			ワタシも、微力ながら手伝うよ！			結論と責任							
君はここで、ドーロスと一緒に待っているんだ。			君はここで、ドーロスと一緒に待っているんだ。			結論と責任							
でも、ヘルメス……！			でも、ヘルメス……！			結論と責任							
…………リュカオンを倒すことになる。そのときの気持ちを、君まで味わうことはない。			…………リュカオンを倒すことになる。そのときの気持ちを、君まで味わうことはない。			結論と責任							
君にも、無理強いはしない。それでも協力してくれるのなら……追ってきてほしい。			君にも、無理強いはしない。それでも協力してくれるのなら……追ってきてほしい。			結論と責任							
Forename……ヘルメスに、手を、貸してあげて……。			Forename……ヘルメスに、手を、貸してあげて……。			結論と責任							
