ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			生きるべき場所							
アルメと話す			アルメと話す			明星に導かれ							
ヤ・シュトラと話す			ヤ・シュトラと話す			明星に導かれ							
ロンカの碑文に転写用の粘土板を使う			ロンカの碑文に転写用の粘土板を使う			明星に導かれ							
ヤ・シュトラに転写された粘土板を渡す			ヤ・シュトラに転写された粘土板を渡す			明星に導かれ							
ヤ・シュトラと話す			ヤ・シュトラと話す			明星に導かれ							
アルメと話す			アルメと話す			明星に導かれ							
私たちは、あなたの得た情報が当たりだと信じて、キタンナ神影洞を開くことに注力しましょう。			私たちは、あなたの得た情報が当たりだと信じて、キタンナ神影洞を開くことに注力しましょう。			明星に導かれ							
先ほども言ったとおり、キタンナ神影洞の扉を開くためには、「クムル星遺跡群」の仕掛けを動かし、魔力を流す必要がある。			先ほども言ったとおり、キタンナ神影洞の扉を開くためには、「クムル星遺跡群」の仕掛けを動かし、魔力を流す必要がある。			明星に導かれ							
それには、遺跡群の中枢に到達することが必要不可欠だが……その道すらも、魔法で厳重に封じられているのだ。			それには、遺跡群の中枢に到達することが必要不可欠だが……その道すらも、魔法で厳重に封じられているのだ。			明星に導かれ							
そこで、まずは里を出て北西に向かい、遺跡群の端、「四つの明星」と呼ばれる4基のピラミッドを目指す。ついてきてくれ。			そこで、まずは里を出て北西に向かい、遺跡群の端、「四つの明星」と呼ばれる4基のピラミッドを目指す。ついてきてくれ。			明星に導かれ							
このピラミッド……マハやギラバニアの遺跡に似ているわ。地脈を抑えるための重しとして機能しているようね。			このピラミッド……マハやギラバニアの遺跡に似ているわ。地脈を抑えるための重しとして機能しているようね。			明星に導かれ							
ふたりとも、はぐれていないな。では、周囲を見渡してもらいたい……。			ふたりとも、はぐれていないな。では、周囲を見渡してもらいたい……。			明星に導かれ							
数多くのロンカの遺構が遺されているのがわかるだろう？ここが、目的のクムル星遺跡群……その外端にある「四つの明星」だ。			数多くのロンカの遺構が遺されているのがわかるだろう？ここが、目的のクムル星遺跡群……その外端にある「四つの明星」だ。			明星に導かれ							
さらに北へ進むと、中枢たる遺跡……よろずなる神の御殿「ユキス・ネルの大ピラミッド」に着く。			さらに北へ進むと、中枢たる遺跡……よろずなる神の御殿「ユキス・ネルの大ピラミッド」に着く。			明星に導かれ							
その内部が最終的な目的地ではあるが、直行しても、魔法で閉ざされた扉を見るだけになるだろう。			その内部が最終的な目的地ではあるが、直行しても、魔法で閉ざされた扉を見るだけになるだろう。			明星に導かれ							
つまりは、まずこの場所に隠されし仕掛けを見つけ、解き明かさなければ、先に進めないということだ。「ロンカの印章」を見つけ出したお前たちなら、できるな？			つまりは、まずこの場所に隠されし仕掛けを見つけ、解き明かさなければ、先に進めないということだ。「ロンカの印章」を見つけ出したお前たちなら、できるな？			明星に導かれ							
……ですってよ？トレジャーハンターの素質があるだなんて、軽々しく言うものではなかったかしら……。			……ですってよ？トレジャーハンターの素質があるだなんて、軽々しく言うものではなかったかしら……。			明星に導かれ							
ひとまず、もう少し奥に進んで、様子を見てみましょう。			ひとまず、もう少し奥に進んで、様子を見てみましょう。			明星に導かれ							
我々は、自ら謎を解こうなどという、不敬な考えは持たない。ゆえに、見慣れた場所ではあれど、仕掛けについては本当に知らないのだ。			我々は、自ら謎を解こうなどという、不敬な考えは持たない。ゆえに、見慣れた場所ではあれど、仕掛けについては本当に知らないのだ。			明星に導かれ							
……なるほど。これは、前回の応用が利きそうね。			……なるほど。これは、前回の応用が利きそうね。			明星に導かれ							
Forename、周囲の石像に見覚えがなくて？これらはすべて、何らかの動物……ロンカで崇められていた神獣を象っているわ。			Forename、周囲の石像に見覚えがなくて？これらはすべて、何らかの動物……ロンカで崇められていた神獣を象っているわ。			明星に導かれ							
湖に沈んだ遺跡と同様に、正しい石像と触れることで、扉が開く仕掛けと見て、まず間違いないでしょう。			湖に沈んだ遺跡と同様に、正しい石像と触れることで、扉が開く仕掛けと見て、まず間違いないでしょう。			明星に導かれ							
ただし、今回は正解の石像に結びつく情報が欠けているわ。それぞれ手分けして、手がかりを集めていきましょう。			ただし、今回は正解の石像に結びつく情報が欠けているわ。それぞれ手分けして、手がかりを集めていきましょう。			明星に導かれ							
それくらいならば、私も手伝おう。この遺跡には、判別可能な碑文がいくつか遺されている。それらの内容を書き留めてきて、お前に見せればいいか？			それくらいならば、私も手伝おう。この遺跡には、判別可能な碑文がいくつか遺されている。それらの内容を書き留めてきて、お前に見せればいいか？			明星に導かれ							
ええ、お願いするわ。			ええ、お願いするわ。			明星に導かれ							
Forenameは、ロンカ文字の読み書きができないでしょうから、別の方法を取った方がよさそうね。			Forenameは、ロンカ文字の読み書きができないでしょうから、別の方法を取った方がよさそうね。			明星に導かれ							
「ロンカの碑文」を見つけたら、その「転写用の粘土板」を押し当てて、ありのままを写し取ってきて頂戴。			「ロンカの碑文」を見つけたら、その「転写用の粘土板」を押し当てて、ありのままを写し取ってきて頂戴。			明星に導かれ							
そうね……恐らく、ピラミッドの頂上あたりには、比較的わかりやすい形で、碑文が刻まれているのではないかしら。			そうね……恐らく、ピラミッドの頂上あたりには、比較的わかりやすい形で、碑文が刻まれているのではないかしら。			明星に導かれ							
ある程度の碑文が集まったら、また合流しましょう。			ある程度の碑文が集まったら、また合流しましょう。			明星に導かれ							
ピラミッドの上は、もう見てみたかしら？「ロンカの碑文」を見つけたら、「転写用の粘土板」を押し当ててきて頂戴。			ピラミッドの上は、もう見てみたかしら？「ロンカの碑文」を見つけたら、「転写用の粘土板」を押し当ててきて頂戴。			明星に導かれ							
この遺跡には、判別可能な碑文がいくつか遺されている。それを集めるとしよう。			この遺跡には、判別可能な碑文がいくつか遺されている。それを集めるとしよう。			明星に導かれ							
発見した「ロンカの碑文」に粘土板を押し当てて転写した！			発見した「ロンカの碑文」に粘土板を押し当てて転写した！			明星に導かれ							
そちらも、いくつか碑文を写せたようだな。私も数点だが、集めることができた。そろそろ、ヤ・シュトラに情報を集約するとしよう。			そちらも、いくつか碑文を写せたようだな。私も数点だが、集めることができた。そろそろ、ヤ・シュトラに情報を集約するとしよう。			明星に導かれ							
ロンカの碑文の転写……もう終わったのかしら？			ロンカの碑文の転写……もう終わったのかしら？			明星に導かれ							
ありがとう、完璧よ。私とアルメの分も統合して、さっそく解読に取り掛かるわ。少しばかり時間をちょうだい……。			ありがとう、完璧よ。私とアルメの分も統合して、さっそく解読に取り掛かるわ。少しばかり時間をちょうだい……。			明星に導かれ							
おまたせ……あらかた解読はできたわ。			おまたせ……あらかた解読はできたわ。			明星に導かれ							
「ロンカの印章」のときほど直接的な表現ではなく、謎掛けのようになっているけれど……読み上げるわよ？			「ロンカの印章」のときほど直接的な表現ではなく、謎掛けのようになっているけれど……読み上げるわよ？			明星に導かれ							
『汝、同胞との妥協は、進歩の足枷と知れ』			『汝、同胞との妥協は、進歩の足枷と知れ』			明星に導かれ							
『汝、同胞との不和は、進歩の足枷と知れ』			『汝、同胞との不和は、進歩の足枷と知れ』			明星に導かれ							
『汝、頂きから目を背けるは、進歩の足枷と知れ』			『汝、頂きから目を背けるは、進歩の足枷と知れ』			明星に導かれ							
『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』			『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』			明星に導かれ							
……私やアルメが集めた碑文の内容によれば、今回は、いずれかひとつの神獣の石像が正解のようね。			……私やアルメが集めた碑文の内容によれば、今回は、いずれかひとつの神獣の石像が正解のようね。			明星に導かれ							
今、読み上げた条件を念頭に置きつつ、ここに並んでいる石像の状態を見ていけば、触れるべき「正解の石像」が、わかるんじゃないかしら。			今、読み上げた条件を念頭に置きつつ、ここに並んでいる石像の状態を見ていけば、触れるべき「正解の石像」が、わかるんじゃないかしら。			明星に導かれ							
あなたも少し、考えてみて……？			あなたも少し、考えてみて……？			明星に導かれ							
『汝、同胞との妥協は、進歩の足枷と知れ。　汝、同胞との不和は、進歩の足枷と知れ。　汝、頂きから目を背けるは、進歩の足枷と知れ』			『汝、同胞との妥協は、進歩の足枷と知れ。　汝、同胞との不和は、進歩の足枷と知れ。　汝、頂きから目を背けるは、進歩の足枷と知れ』			明星に導かれ							
『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』この碑文が示す神獣、か……。			『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』この碑文が示す神獣、か……。			明星に導かれ							
「水蛇」の石像だ。「大猫」の石像と、背中合わせの向きに立っている。			「水蛇」の石像だ。「大猫」の石像と、背中合わせの向きに立っている。			明星に導かれ							
「大猫」の石像だ。「水蛇」の石像と、背中合わせの向きに立っている。			「大猫」の石像だ。「水蛇」の石像と、背中合わせの向きに立っている。			明星に導かれ							
「オウム」の石像だ。南に向かって立っている。			「オウム」の石像だ。南に向かって立っている。			明星に導かれ							
「フクロウ」の石像だ。北に向かって立っている。			「フクロウ」の石像だ。北に向かって立っている。			明星に導かれ							
「狼犬」の石像だ。「大猿」の石像と、向かい合うように立っている。			「狼犬」の石像だ。「大猿」の石像と、向かい合うように立っている。			明星に導かれ							
「大猿」の石像だ。「狼犬」の石像と、向かい合うように立っている。			「大猿」の石像だ。「狼犬」の石像と、向かい合うように立っている。			明星に導かれ							
Forename、水中の仕掛けを解いたあなたにこそ、正解の石像を選んでもらいたいのだけれど……考えはまとまったかしら？			Forename、水中の仕掛けを解いたあなたにこそ、正解の石像を選んでもらいたいのだけれど……考えはまとまったかしら？			明星に導かれ							
ヤ・シュトラに考えを告げますか？			ヤ・シュトラに考えを告げますか？			明星に導かれ							
碑文の内容を、もう一度、確認したいようなら、アルメに声をかけてみたらどうかしら？彼女、さっきからブツブツ独り言を繰り返しているから……。			碑文の内容を、もう一度、確認したいようなら、アルメに声をかけてみたらどうかしら？彼女、さっきからブツブツ独り言を繰り返しているから……。			明星に導かれ							
それから、目の前の石像を、一度きちんと調べてみるのも、大事でしょうね。			それから、目の前の石像を、一度きちんと調べてみるのも、大事でしょうね。			明星に導かれ							
それなら、石像に触れる役割は、私が受け持つわ。			それなら、石像に触れる役割は、私が受け持つわ。			明星に導かれ							
不正解の石像を選んでしまった場合、盗掘者避けの呪詛を受けるかもしれない……自分に呪詛返しを施して、挑むとするわ。			不正解の石像を選んでしまった場合、盗掘者避けの呪詛を受けるかもしれない……自分に呪詛返しを施して、挑むとするわ。			明星に導かれ							
……じゃあ、聞かせて頂戴。あなたが選んだ正解の石像は……？			……じゃあ、聞かせて頂戴。あなたが選んだ正解の石像は……？			明星に導かれ							
正しい神獣の石像は？			正しい神獣の石像は？			明星に導かれ							
水蛇の石像			水蛇の石像			明星に導かれ							
大猫の石像			大猫の石像			明星に導かれ							
オウムの石像			オウムの石像			明星に導かれ							
フクロウの石像			フクロウの石像			明星に導かれ							
狼犬の石像			狼犬の石像			明星に導かれ							
大猿の石像			大猿の石像			明星に導かれ							
碑文の内容を確認する			碑文の内容を確認する			明星に導かれ							
回答をやめる			回答をやめる			明星に導かれ							
ふむ、それなら確か……			ふむ、それなら確か……			明星に導かれ							
『汝、同胞との妥協は、進歩の足枷と知れ。　汝、同胞との不和は、進歩の足枷と知れ。　汝、頂きから目を背けるは、進歩の足枷と知れ』			『汝、同胞との妥協は、進歩の足枷と知れ。　汝、同胞との不和は、進歩の足枷と知れ。　汝、頂きから目を背けるは、進歩の足枷と知れ』			明星に導かれ							
『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』			『我、すべての足枷を解き放ちて、　羽ばたく者にこそ、真理に至る扉を開かん』			明星に導かれ							
……だったな。この碑文が示す神獣を1体、選べということだが……。			……だったな。この碑文が示す神獣を1体、選べということだが……。			明星に導かれ							
わかったわ……。それじゃあ、触れてみるとしましょう。			わかったわ……。それじゃあ、触れてみるとしましょう。			明星に導かれ							
クッ……盗掘者避けの呪詛が……！			クッ……盗掘者避けの呪詛が……！			明星に導かれ							
呪詛返しは、ちゃんとできたけれど……次はもう少し、慎重に選んでもらっていいかしら……。			呪詛返しは、ちゃんとできたけれど……次はもう少し、慎重に選んでもらっていいかしら……。			明星に導かれ							
さて、あらためて聞かせてもらうわ。あなたが選んだ正解の石像は……？			さて、あらためて聞かせてもらうわ。あなたが選んだ正解の石像は……？			明星に導かれ							
「フクロウの石像」ね……。それじゃあ、触れてみるわ……！			「フクロウの石像」ね……。それじゃあ、触れてみるわ……！			明星に導かれ							
今の音……上手くいった、という事なのかしらね。			今の音……上手くいった、という事なのかしらね。			明星に導かれ							
いずれにせよ、あなたが正解を見抜いてくれて助かったわ。呪詛返しって、意外と魔力を消耗するんだもの……。			いずれにせよ、あなたが正解を見抜いてくれて助かったわ。呪詛返しって、意外と魔力を消耗するんだもの……。			明星に導かれ							
ふぅ……。備えあれば憂いなしとは言うけれど、大分消耗したわ……。			ふぅ……。備えあれば憂いなしとは言うけれど、大分消耗したわ……。			明星に導かれ							
ひとまず、最初の仕掛けは作動したようだな。もしかしたら、大ピラミッド内の扉も開いたかもしれない。さっそく奥へ進んで……			ひとまず、最初の仕掛けは作動したようだな。もしかしたら、大ピラミッド内の扉も開いたかもしれない。さっそく奥へ進んで……			明星に導かれ							
人の気配……何者だッ！？			人の気配……何者だッ！？			明星に導かれ							
ハァ……ハァ……。姉さん、みなさん、た、大変なことに……！			ハァ……ハァ……。姉さん、みなさん、た、大変なことに……！			明星に導かれ							
シャイメ……！？			シャイメ……！？			明星に導かれ							
どうした、いったい何があったんだ。			どうした、いったい何があったんだ。			明星に導かれ							
う、うん……それが……ユールモア軍が、スリザーバウを抜けて、イキス・マヤエの森に入って来たの……っ！			う、うん……それが……ユールモア軍が、スリザーバウを抜けて、イキス・マヤエの森に入って来たの……っ！			明星に導かれ							
スリザーバウの……あの子たちの状況は！？			スリザーバウの……あの子たちの状況は！？			明星に導かれ							
ユールモア軍に抵抗していたみたいですが、詳しいことはわかりません……。			ユールモア軍に抵抗していたみたいですが、詳しいことはわかりません……。			明星に導かれ							
ただ、あまり長時間の騒ぎではなかったようなので、敵将は、こちらの森への道を見つけてすぐ、進軍することを選んだみたいですぅ……。			ただ、あまり長時間の騒ぎではなかったようなので、敵将は、こちらの森への道を見つけてすぐ、進軍することを選んだみたいですぅ……。			明星に導かれ							
今は、ウィメちゃんが里の狩人を率いて、サンクレッドさんたちと一緒に、足止めをしてます……！			今は、ウィメちゃんが里の狩人を率いて、サンクレッドさんたちと一緒に、足止めをしてます……！			明星に導かれ							
……状況はわかった。シャイメ、お前もすぐに戻って、ウィメたちに加勢を。			……状況はわかった。シャイメ、お前もすぐに戻って、ウィメたちに加勢を。			明星に導かれ							
倒すことより、里やこの遺跡が戦場にならないよう、敵を押しとどめることに注力するんだ。			倒すことより、里やこの遺跡が戦場にならないよう、敵を押しとどめることに注力するんだ。			明星に導かれ							
我々も、なるべく早く、この探索をすませよう。			我々も、なるべく早く、この探索をすませよう。			明星に導かれ							
うん、わかった……！姉さんたちも、気をつけて……！			うん、わかった……！姉さんたちも、気をつけて……！			明星に導かれ							
……戻らないわよ。スリザーバウが攻め込まれる前に片をつけたかったけど、時間が厳しいことは知っていた……知っていてここに来たの。			……戻らないわよ。スリザーバウが攻め込まれる前に片をつけたかったけど、時間が厳しいことは知っていた……知っていてここに来たの。			明星に導かれ							
あの子たちが、自分の道を貫いて、戦ったのなら……私は私の決めたやり方で、事を成し遂げてみせるわ。			あの子たちが、自分の道を貫いて、戦ったのなら……私は私の決めたやり方で、事を成し遂げてみせるわ。			明星に導かれ							
ファノヴの里のシャイメは、冒険者を珍しそうに眺めている。			ファノヴの里のシャイメは、冒険者を珍しそうに眺めている。			護り手の里							
アルメと話す			アルメと話す			護り手の里							
ファノヴの里で情報を集める			ファノヴの里で情報を集める			護り手の里							
アルメに話題を提示			アルメに話題を提示			護り手の里							
それじゃあ、ご案内いたしますねぇ～。えーっと……お名前は……。			それじゃあ、ご案内いたしますねぇ～。えーっと……お名前は……。			護り手の里							
Forenameさんですかぁ！外のお名前は、今、そういうのが流行りなんですねぇ～。			Forenameさんですかぁ！外のお名前は、今、そういうのが流行りなんですねぇ～。			護り手の里							
ではでは、Forenameさん、私についてきてくださいねぇ～。ウィメちゃんも言ってたけど、足元に気をつけるんですよぅ！			ではでは、Forenameさん、私についてきてくださいねぇ～。ウィメちゃんも言ってたけど、足元に気をつけるんですよぅ！			護り手の里							
ここにいるのは、見えるかぎり全員、ヴィース族みたいだな。それも、女性ばかりのようだが……。			ここにいるのは、見えるかぎり全員、ヴィース族みたいだな。それも、女性ばかりのようだが……。			護り手の里							
ちゃんと認めてもらえて、よかったです。ヤ・シュトラさんとForenameさんが、印章をとってきてくれたおかげですね。			ちゃんと認めてもらえて、よかったです。ヤ・シュトラさんとForenameさんが、印章をとってきてくれたおかげですね。			護り手の里							
三千年の時……ヴィース族……ああ、なるほど……真理が見えて参りました……。			三千年の時……ヴィース族……ああ、なるほど……真理が見えて参りました……。			護り手の里							
さっそく、話を聞かせてもらうとしましょう。……ヴィース族の集落が珍しいからといって、ふらふら歩き回ってはダメよ？　あとになさい。			さっそく、話を聞かせてもらうとしましょう。……ヴィース族の集落が珍しいからといって、ふらふら歩き回ってはダメよ？　あとになさい。			護り手の里							
おかしな動きはしない方がいいぞ～？うちらは離れたところからでも、そっちの急所をズバッと射貫けるし！			おかしな動きはしない方がいいぞ～？うちらは離れたところからでも、そっちの急所をズバッと射貫けるし！			護り手の里							
……なーんて！まあ、嘘じゃないから、適当にな！			……なーんて！まあ、嘘じゃないから、適当にな！			護り手の里							
お話は、アルメねえさんから……。私もここで、聞かせていただきますねぇ～。			お話は、アルメねえさんから……。私もここで、聞かせていただきますねぇ～。			護り手の里							
では……そちらが印章を提示してくれたからには、次は我々から、事情を明かすとしよう。			では……そちらが印章を提示してくれたからには、次は我々から、事情を明かすとしよう。			護り手の里							
我々は、ロンカ最後の帝(みかど)に仕えた、近衛兵の末裔だ。帝は、いよいよ国が亡ばんというとき、我らが先祖に、こう仰せになった。			我々は、ロンカ最後の帝(みかど)に仕えた、近衛兵の末裔だ。帝は、いよいよ国が亡ばんというとき、我らが先祖に、こう仰せになった。			護り手の里							
ロンカの叡智は、人の叡智。これを決して絶やすべからず……。			ロンカの叡智は、人の叡智。これを決して絶やすべからず……。			護り手の里							
いずれ同盟者が来たるまで、何人からもその知を護るべし。来たりしときは、望みに応じ、知へと導かん。以て、ロンカは不滅となる……。			いずれ同盟者が来たるまで、何人からもその知を護るべし。来たりしときは、望みに応じ、知へと導かん。以て、ロンカは不滅となる……。			護り手の里							
その言葉に従い、我らは森に留まり、ロンカの遺跡を守護してきたのだ。			その言葉に従い、我らは森に留まり、ロンカの遺跡を守護してきたのだ。			護り手の里							
ふむ……皇帝があなた方の祖先にそれを託したのは、もしや、ヴィース族の特別な寿命ゆえでしょうか？			ふむ……皇帝があなた方の祖先にそれを託したのは、もしや、ヴィース族の特別な寿命ゆえでしょうか？			護り手の里							
それもあっただろう。我らヴィース族は、ほかの「ヒト」に比べて、3倍近くの時を生きる……。			それもあっただろう。我らヴィース族は、ほかの「ヒト」に比べて、3倍近くの時を生きる……。			護り手の里							
いつ来るとも知れぬ同盟者を待ち、叡智を未来へと引き継ぐには、強さと長命を誇る我らが適任であったのは間違いない。			いつ来るとも知れぬ同盟者を待ち、叡智を未来へと引き継ぐには、強さと長命を誇る我らが適任であったのは間違いない。			護り手の里							
けど、それは「生きられれば」の話だろ？ほら……100年前の「光の氾濫」と、罪喰いの登場……さすがにあれは、うちらでもキツかったんだよなぁ……。			けど、それは「生きられれば」の話だろ？ほら……100年前の「光の氾濫」と、罪喰いの登場……さすがにあれは、うちらでもキツかったんだよなぁ……。			護り手の里							
はい……。もともとは同胞が森のあちこちに里を作っていたのですが、氾濫以降は、どんどん壊滅していって……。			はい……。もともとは同胞が森のあちこちに里を作っていたのですが、氾濫以降は、どんどん壊滅していって……。			護り手の里							
残ったのは、氾濫以降に生まれた子を集めた、ここ「ファノヴの里」くらいだったのですぅ……。			残ったのは、氾濫以降に生まれた子を集めた、ここ「ファノヴの里」くらいだったのですぅ……。			護り手の里							
我らヴィース族は、十代半ばになって雌雄が決まる。しかし、雄になる方が圧倒的に少ないのもあって、もはや次の代への存続は難しい状況だ……。			我らヴィース族は、十代半ばになって雌雄が決まる。しかし、雄になる方が圧倒的に少ないのもあって、もはや次の代への存続は難しい状況だ……。			護り手の里							
そうなれば、当然、帝からの命令を遂行することもできない。我々は困難な決断を迫られていたのだ。			そうなれば、当然、帝からの命令を遂行することもできない。我々は困難な決断を迫られていたのだ。			護り手の里							
そこに私たちがやってきた……だから「間に合った」だったのね……？			そこに私たちがやってきた……だから「間に合った」だったのね……？			護り手の里							
本当、キセキってあるもんだなー！三千年も音沙汰なかったのにだぞ？いやー、うち、もう絶対ダメだと思ってたもん！			本当、キセキってあるもんだなー！三千年も音沙汰なかったのにだぞ？いやー、うち、もう絶対ダメだと思ってたもん！			護り手の里							
もうっ、そういうこと言っちゃだめでしょ、ウィメちゃん！			もうっ、そういうこと言っちゃだめでしょ、ウィメちゃん！			護り手の里							
ともかく、そういった事情もあって、お前たちの来訪を、非常に喜ばしく感じている。			ともかく、そういった事情もあって、お前たちの来訪を、非常に喜ばしく感じている。			護り手の里							
そちらに望むことがあるならば、帝のお言葉どおり、それに応じたいと思うが……どうだろうか。			そちらに望むことがあるならば、帝のお言葉どおり、それに応じたいと思うが……どうだろうか。			護り手の里							
なるほど……。襲われかけている西の森から、大罪喰いを探しに来たのか……。			なるほど……。襲われかけている西の森から、大罪喰いを探しに来たのか……。			護り手の里							
……すまない。大罪喰いの居場所について、私では思い当たらないな。			……すまない。大罪喰いの居場所について、私では思い当たらないな。			護り手の里							
報告を受けた覚えもないが……お前たちは、何か聞いているか？			報告を受けた覚えもないが……お前たちは、何か聞いているか？			護り手の里							
んー……。ここ30年くらいは、話題に出たことないんじゃない？それより前も……聞いた覚えはないけどなー。			んー……。ここ30年くらいは、話題に出たことないんじゃない？それより前も……聞いた覚えはないけどなー。			護り手の里							
さんじゅ……？ウィメさんたちって、何歳なんですか……？			さんじゅ……？ウィメさんたちって、何歳なんですか……？			護り手の里							
その質問はナシだぞ、ナシ！子どもの聞いたことだから、許したげるけどな！			その質問はナシだぞ、ナシ！子どもの聞いたことだから、許したげるけどな！			護り手の里							
とはいえ、私たち姉妹が最長老というわけでもない。里の中には、何か手掛かりを持っている者がいる可能性もある。			とはいえ、私たち姉妹が最長老というわけでもない。里の中には、何か手掛かりを持っている者がいる可能性もある。			護り手の里							
では、聞き込みをさせてもらっても？			では、聞き込みをさせてもらっても？			護り手の里							
無論、自由にしてくれ。耳のいい仲間たちのことだ、ここまでの話も、しっかり聞いていることだろう。			無論、自由にしてくれ。耳のいい仲間たちのことだ、ここまでの話も、しっかり聞いていることだろう。			護り手の里							
それなら、手分けして聞いて回ることにしましょう。終わったら、またここに集合よ。			それなら、手分けして聞いて回ることにしましょう。終わったら、またここに集合よ。			護り手の里							
やっと同盟者が現れたというのに、何もできずでは、帝にも、先祖たちにも顔向けできない。こちらも、最大限の協力はしよう。			やっと同盟者が現れたというのに、何もできずでは、帝にも、先祖たちにも顔向けできない。こちらも、最大限の協力はしよう。			護り手の里							
ヴィース族は、ほかの種族と年の取り方が違うからなー。まあ、うちの里にいるのは、ほとんど若い連中なんだけど！			ヴィース族は、ほかの種族と年の取り方が違うからなー。まあ、うちの里にいるのは、ほとんど若い連中なんだけど！			護り手の里							
大罪喰いの情報、見つかるといいですねぇ。最近は仲間も減る一方なので、監視できるのが、遺跡の近くくらいで……。			大罪喰いの情報、見つかるといいですねぇ。最近は仲間も減る一方なので、監視できるのが、遺跡の近くくらいで……。			護り手の里							
どわぁぁ！？　えっなに、なんで外の人！？どうしてここにいるわけ！？			どわぁぁ！？　えっなに、なんで外の人！？どうしてここにいるわけ！？			護り手の里							
……ええぇぇ、同盟者！？　ホントに！？見回り帰りで、ご飯に集中してたから、ぜーんぜん気づいてなかったよ……あちゃー……。			……ええぇぇ、同盟者！？　ホントに！？見回り帰りで、ご飯に集中してたから、ぜーんぜん気づいてなかったよ……あちゃー……。			護り手の里							
それで……大罪喰いの居場所だっけ？んー……古い情報だけど、一応聞いたことはあるよ。			それで……大罪喰いの居場所だっけ？んー……古い情報だけど、一応聞いたことはあるよ。			護り手の里							
アタシの母さんは、「ラケティカ大飛瀑」の方にある里の出身だったんだよね。罪喰いに滅ぼされた、今はない里なんだけどさ……。			アタシの母さんは、「ラケティカ大飛瀑」の方にある里の出身だったんだよね。罪喰いに滅ぼされた、今はない里なんだけどさ……。			護り手の里							
母さんが昔、その里の近くを見回っていたとき、木立の向こうに、そりゃあもう、段違いにヤバそうな罪喰いを発見したんだって。			母さんが昔、その里の近くを見回っていたとき、木立の向こうに、そりゃあもう、段違いにヤバそうな罪喰いを発見したんだって。			護り手の里							
手下の罪喰いを大勢侍らせてたから、あれは大罪喰いだったに違いないって、母さん言ってたよ。もう死んじゃったから、それ以上は聞けないんだけどさ……。			手下の罪喰いを大勢侍らせてたから、あれは大罪喰いだったに違いないって、母さん言ってたよ。もう死んじゃったから、それ以上は聞けないんだけどさ……。			護り手の里							
コリルとの会話から、「大罪喰いの居場所」の話題を得た！			コリルとの会話から、「大罪喰いの居場所」の話題を得た！			護り手の里							
母さんは、ラケティカ大飛瀑の方にあった里の出身だったんだ。里の近くを見回っているときに、大罪喰いらしき、ヤバい奴を見たそうだよ！			母さんは、ラケティカ大飛瀑の方にあった里の出身だったんだ。里の近くを見回っているときに、大罪喰いらしき、ヤバい奴を見たそうだよ！			護り手の里							
ああ、お前が件の……。アルメたちとの話なら聞こえていたぞ。			ああ、お前が件の……。アルメたちとの話なら聞こえていたぞ。			護り手の里							
……が、僕も大罪喰いについて知っていることはないな。遺跡の近くは日ごろから見回りをしているはずだから、そこから外れているか、あるいは……。			……が、僕も大罪喰いについて知っていることはないな。遺跡の近くは日ごろから見回りをしているはずだから、そこから外れているか、あるいは……。			護り手の里							
僕も大罪喰いについて知っていることはないな。遺跡の近くは日ごろから見回りをしているはずだから、そこから外れているか、あるいは……。			僕も大罪喰いについて知っていることはないな。遺跡の近くは日ごろから見回りをしているはずだから、そこから外れているか、あるいは……。			護り手の里							
あっ、大罪喰いの居場所……ですよね？ごめんなさい、心当たりがないです……。			あっ、大罪喰いの居場所……ですよね？ごめんなさい、心当たりがないです……。			護り手の里							
私たちの使命は、遺跡を護ることと、生き延びること……。大罪喰いのいる場所を、わざわざ突き止める理由がなくて……。			私たちの使命は、遺跡を護ることと、生き延びること……。大罪喰いのいる場所を、わざわざ突き止める理由がなくて……。			護り手の里							
私たちの使命は、遺跡を護ることと、生き延びること……。大罪喰いのいる場所を、わざわざ突き止める理由がなくて……。			私たちの使命は、遺跡を護ることと、生き延びること……。大罪喰いのいる場所を、わざわざ突き止める理由がなくて……。			護り手の里							
大罪喰いの、居場所……？それは………………わからない。			大罪喰いの、居場所……？それは………………わからない。			護り手の里							
ただ、体が大きい奴なんじゃないかと思う……。手下の罪喰い、何年かに一度、大規模な狩りしてる……。そのとき、獲物……人……持ち帰ってる……。			ただ、体が大きい奴なんじゃないかと思う……。手下の罪喰い、何年かに一度、大規模な狩りしてる……。そのとき、獲物……人……持ち帰ってる……。			護り手の里							
だから、多分、親玉は、大きくて密林を歩きにくい……それから、飛べるだけの翼もない……そういう奴……多分。			だから、多分、親玉は、大きくて密林を歩きにくい……それから、飛べるだけの翼もない……そういう奴……多分。			護り手の里							
大罪喰い、私は、体が大きい奴だと思う……多分。			大罪喰い、私は、体が大きい奴だと思う……多分。			護り手の里							
