嘆きの海のウリエンジェは、冒険者を静かに待っている。			嘆きの海のウリエンジェは、冒険者を静かに待っている。			想い想われ、すれ違い							
シャーレアンでは需要がありそう			シャーレアンでは需要がありそう			好きも嫌いもありゃしない							
歯切れが悪いですわね。何かご不満な点がありますの……？			歯切れが悪いですわね。何かご不満な点がありますの……？			好きも嫌いもありゃしない							
もしや、ニンジンがお嫌いでしたか？でしたら、食べる手間をはぶけると評判の、「液体キャロット」という品種もありますが……。			もしや、ニンジンがお嫌いでしたか？でしたら、食べる手間をはぶけると評判の、「液体キャロット」という品種もありますが……。			好きも嫌いもありゃしない							
それは……どういう意味ですの……？			それは……どういう意味ですの……？			好きも嫌いもありゃしない							
どうやら、あなたの方も、選択肢はニンジンだけだったようね。			どうやら、あなたの方も、選択肢はニンジンだけだったようね。			好きも嫌いもありゃしない							
あなたたち、「協力者」とやらから、いったいどんなことを教わったの？ニンジン以外にも食品はあったでしょうに……。			あなたたち、「協力者」とやらから、いったいどんなことを教わったの？ニンジン以外にも食品はあったでしょうに……。			好きも嫌いもありゃしない							
そ、それはもちろん、存じ上げておりますわ……。ただ、彼らから地上のことを教えてもらえるようになったのは、わたくしたちにとって、つい最近のことです。			そ、それはもちろん、存じ上げておりますわ……。ただ、彼らから地上のことを教えてもらえるようになったのは、わたくしたちにとって、つい最近のことです。			好きも嫌いもありゃしない							
最初は声を繋ぐので精一杯……しばらくして、本や資料を送ってもらえるようになりましたが、何でも自由に……というわけにはいきませんでした。			最初は声を繋ぐので精一杯……しばらくして、本や資料を送ってもらえるようになりましたが、何でも自由に……というわけにはいきませんでした。			好きも嫌いもありゃしない							
だから、多様な種類を栽培するより、ひとつを徹底的に研究、改良して、食事という行為に求められる要件を満たそうと考えたのです。			だから、多様な種類を栽培するより、ひとつを徹底的に研究、改良して、食事という行為に求められる要件を満たそうと考えたのです。			好きも嫌いもありゃしない							
一理あるとは思うが……終生ニンジンだけで暮らすことに頷く奴は、そうそういないだろうな。			一理あるとは思うが……終生ニンジンだけで暮らすことに頷く奴は、そうそういないだろうな。			好きも嫌いもありゃしない							
せめて、調理しないのか？			せめて、調理しないのか？			好きも嫌いもありゃしない							
調理というのは、食料を食べられる状態にするために手を加えることだろう？			調理というのは、食料を食べられる状態にするために手を加えることだろう？			好きも嫌いもありゃしない							
だったら、その手間を省いて、直接食べられるようにするのが、最善じゃないか。			だったら、その手間を省いて、直接食べられるようにするのが、最善じゃないか。			好きも嫌いもありゃしない							
「クッキングウェイ」なのにか？			「クッキングウェイ」なのにか？			好きも嫌いもありゃしない							
ああ、えっと……俺たちにはもともと、月の監視者が使ってる古い言葉で、名前がつけられていたんだよ。			ああ、えっと……俺たちにはもともと、月の監視者が使ってる古い言葉で、名前がつけられていたんだよ。			好きも嫌いもありゃしない							
けど、「協力者」と交流をはじめて、この時代の言葉を学んだのにあわせて、自分たちで名前を一斉につけかえたんだ。			けど、「協力者」と交流をはじめて、この時代の言葉を学んだのにあわせて、自分たちで名前を一斉につけかえたんだ。			好きも嫌いもありゃしない							
それぞれの役割や性質に類する言葉を、「協力者」が送ってくれた辞典でみて……その中で、なんとなく気にいった奴を選んだわけだ。			それぞれの役割や性質に類する言葉を、「協力者」が送ってくれた辞典でみて……その中で、なんとなく気にいった奴を選んだわけだ。			好きも嫌いもありゃしない							
なるほど……。つまり調理が得意だからその名前、ってわけじゃないんだな。			なるほど……。つまり調理が得意だからその名前、ってわけじゃないんだな。			好きも嫌いもありゃしない							
……ちなみに、どうして名前をつけかえようと？			……ちなみに、どうして名前をつけかえようと？			好きも嫌いもありゃしない							
月に地上のヒトが来ることになったとき、その方がわかりやすいし、親しみやすいんじゃないかと思ったんだ。			月に地上のヒトが来ることになったとき、その方がわかりやすいし、親しみやすいんじゃないかと思ったんだ。			好きも嫌いもありゃしない							
そうですか……ふむ…………。			そうですか……ふむ…………。			好きも嫌いもありゃしない							
ひとまず、食料についての意見出しは、こんなところでいいかしら？			ひとまず、食料についての意見出しは、こんなところでいいかしら？			好きも嫌いもありゃしない							
まあ、地上から動植物も運んでくるというなら、状況の改善は見込めるかもしれないわね。			まあ、地上から動植物も運んでくるというなら、状況の改善は見込めるかもしれないわね。			好きも嫌いもありゃしない							
……それらを月で安定して生産できるようになるまで、相当に長いニンジン生活を要しそうだけれど。			……それらを月で安定して生産できるようになるまで、相当に長いニンジン生活を要しそうだけれど。			好きも嫌いもありゃしない							
ベストウェイ・バローのサンクレッドは、今見た光景を反芻しているようだ。			ベストウェイ・バローのサンクレッドは、今見た光景を反芻しているようだ。			いろいろレポリット							
うきうきレポリットと話す			うきうきレポリットと話す			いろいろレポリット							
うとうとレポリットと話す			うとうとレポリットと話す			いろいろレポリット							
てきぱきレポリットと話す			てきぱきレポリットと話す			いろいろレポリット							
リヴィングウェイと話す			リヴィングウェイと話す			いろいろレポリット							
ゾディアーク消滅という緊急事態においては、迅速かつ円滑なコミュニケーションが必要と、ハイデリンは考えたのでしょう。			ゾディアーク消滅という緊急事態においては、迅速かつ円滑なコミュニケーションが必要と、ハイデリンは考えたのでしょう。			いろいろレポリット							
確かに、月のクルーがあれほど愛らしい容姿であれば、交流の一助となることは疑うべくもない……。なるほど、隅々までよく考えられた策ですね……。			確かに、月のクルーがあれほど愛らしい容姿であれば、交流の一助となることは疑うべくもない……。なるほど、隅々までよく考えられた策ですね……。			いろいろレポリット							
ウリエンジェの推測が正解かはともかくとして、ひとまず会話はできそうな相手でよかったわ。			ウリエンジェの推測が正解かはともかくとして、ひとまず会話はできそうな相手でよかったわ。			いろいろレポリット							
今のが月のクルー……「レポリット」と名乗っていたな。			今のが月のクルー……「レポリット」と名乗っていたな。			いろいろレポリット							
……だいぶ予想外の登場ではあったが、とりあえず、あいつらと話をしてみるしかなさそうだ。			……だいぶ予想外の登場ではあったが、とりあえず、あいつらと話をしてみるしかなさそうだ。			いろいろレポリット							
下へ降りて、さっき指示を出していた、リーダーらしき個体を探してみるとしよう。順番に声をかけていけば、どれかは……当たるはずだ。			下へ降りて、さっき指示を出していた、リーダーらしき個体を探してみるとしよう。順番に声をかけていけば、どれかは……当たるはずだ。			いろいろレポリット							
遠目に見ただけだが、リーダー格は、毛皮の色が少し違っているようだったぞ。			遠目に見ただけだが、リーダー格は、毛皮の色が少し違っているようだったぞ。			いろいろレポリット							
レポリットの皆さんは、すでに各々の配置についた様子……リーダーの方は、どちらにいらっしゃるのでしょう？			レポリットの皆さんは、すでに各々の配置についた様子……リーダーの方は、どちらにいらっしゃるのでしょう？			いろいろレポリット							
見たことない装置ね……。この中に全員が収まっていたとも思えないし、どこかから、ベッドごと運んでくるものなのかしら？			見たことない装置ね……。この中に全員が収まっていたとも思えないし、どこかから、ベッドごと運んでくるものなのかしら？			いろいろレポリット							
フン　フフーン！			フン　フフーン！			いろいろレポリット							
……ここのリーダーかって？いいや違うね、オレはシンギングウェイ！			……ここのリーダーかって？いいや違うね、オレはシンギングウェイ！			いろいろレポリット							
役割は「大気維持システム」の構築とメンテナンス！アーテリスの生命でも快適に過ごせる空気を作ってるんだ。さ、仕事仕事！			役割は「大気維持システム」の構築とメンテナンス！アーテリスの生命でも快適に過ごせる空気を作ってるんだ。さ、仕事仕事！			いろいろレポリット							
むにゃむにゃ……。リーダー……じゃないと思う……。			むにゃむにゃ……。リーダー……じゃないと思う……。			いろいろレポリット							
おいらは、スリーピングウェイ……。仕事は…………なんだっけ……ふぁぁ……。			おいらは、スリーピングウェイ……。仕事は…………なんだっけ……ふぁぁ……。			いろいろレポリット							
……あら？　あらあらあら？			……あら？　あらあらあら？			いろいろレポリット							
あなた、地上のヒトですわね！いつのまにいらしてたんですの！？			あなた、地上のヒトですわね！いつのまにいらしてたんですの！？			いろいろレポリット							
何と言う？			何と言う？			いろいろレポリット							
ここのリーダーを探している			ここのリーダーを探している			いろいろレポリット							
さっき指示を出してた子？			さっき指示を出してた子？			いろいろレポリット							
フン　フフーン！			フン　フフーン！			いろいろレポリット							
(-リヴィングウェイ-)ああ、でしたらわたくしで間違いありませんわ。リヴィングウェイです、どうぞよろしく！			(-リヴィングウェイ-)ああ、でしたらわたくしで間違いありませんわ。リヴィングウェイです、どうぞよろしく！			いろいろレポリット							
(-リヴィングウェイ-)ええ、そうですわ。レポリットの代表を任されております、リヴィングウェイと申します。			(-リヴィングウェイ-)ええ、そうですわ。レポリットの代表を任されております、リヴィングウェイと申します。			いろいろレポリット							
いきなりハミングとは、わたくしたちを解ってますわね……。これは、負けていられませんわ……！			いきなりハミングとは、わたくしたちを解ってますわね……。これは、負けていられませんわ……！			いろいろレポリット							
(-リヴィングウェイ-)わたくしは、リヴィングウェイ。レポリットの代表を任されております。どうぞよろしく！			(-リヴィングウェイ-)わたくしは、リヴィングウェイ。レポリットの代表を任されております。どうぞよろしく！			いろいろレポリット							
おっ、リーダーを見つけたのか。			おっ、リーダーを見つけたのか。			いろいろレポリット							
(-リヴィングウェイ-)そちらは、あなたのお仲間ですか？いらしているのは、これで全員……？			(-リヴィングウェイ-)そちらは、あなたのお仲間ですか？いらしているのは、これで全員……？			いろいろレポリット							
(-リヴィングウェイ-)どうして、子どもばかりなのでしょう……？			(-リヴィングウェイ-)どうして、子どもばかりなのでしょう……？			いろいろレポリット							
(-リヴィングウェイ-)ハッ、もしや……！アレがソレだから、ソレがアレして……！？			(-リヴィングウェイ-)ハッ、もしや……！アレがソレだから、ソレがアレして……！？			いろいろレポリット							
(-リヴィングウェイ-)フフーン、全部わかりましたわ！ご心配なく、このわたくしが、すべてつつがなく進めてさしあげます！			(-リヴィングウェイ-)フフーン、全部わかりましたわ！ご心配なく、このわたくしが、すべてつつがなく進めてさしあげます！			いろいろレポリット							
(-リヴィングウェイ-)けれど、せっかくの挨拶がこんな場所ではなんですし、ほかに紹介したい者もおりますので、場所を変えさせていただいても？			(-リヴィングウェイ-)けれど、せっかくの挨拶がこんな場所ではなんですし、ほかに紹介したい者もおりますので、場所を変えさせていただいても？			いろいろレポリット							
(-リヴィングウェイ-)一度入口の方まで戻っていただき、このホールの上部にお越しください。			(-リヴィングウェイ-)一度入口の方まで戻っていただき、このホールの上部にお越しください。			いろいろレポリット							
(-リヴィングウェイ-)中央に、大きな球状の装置がございます。それの前に、集合といたしましょう。			(-リヴィングウェイ-)中央に、大きな球状の装置がございます。それの前に、集合といたしましょう。			いろいろレポリット							
(-リヴィングウェイ-)では、先に行って準備をしておきますわ。足元に気をつけてお越しくださいませ。			(-リヴィングウェイ-)では、先に行って準備をしておきますわ。足元に気をつけてお越しくださいませ。			いろいろレポリット							
とりあえず……言われたとおりに移動するか。			とりあえず……言われたとおりに移動するか。			いろいろレポリット							
規格が違うんだろうが、段差は高いし、坂は急だしで、のぼってくるにも一苦労だったな……。			規格が違うんだろうが、段差は高いし、坂は急だしで、のぼってくるにも一苦労だったな……。			いろいろレポリット							
彼らは健脚なのでしょうが……住居がこの大きさでは、生活しにくいのではないのでしょうか。ふむ…………。			彼らは健脚なのでしょうが……住居がこの大きさでは、生活しにくいのではないのでしょうか。ふむ…………。			いろいろレポリット							
この球状の装置、超高純度のクリスタルだわ。記憶やイデアを封じているものと同様に使っているとしたら、かなりの情報が詰め込まれているんじゃないかしら。			この球状の装置、超高純度のクリスタルだわ。記憶やイデアを封じているものと同様に使っているとしたら、かなりの情報が詰め込まれているんじゃないかしら。			いろいろレポリット							
やあ、こんにちはぁ～。			やあ、こんにちはぁ～。			いろいろレポリット							
月の監視者は、最後の仕事を果たそうとしている。			月の監視者は、最後の仕事を果たそうとしている。			月を繰る者たち							
月の監視者から、アルゴスの力を借りて移動することを提案された。嘆きの海の霊土の剣付近にいる「月の監視者」と話そう。			月の監視者から、アルゴスの力を借りて移動することを提案された。嘆きの海の霊土の剣付近にいる「月の監視者」と話そう。			月を繰る者たち							
月の監視者から案内を受けた。嘆きの海のクロロフォスグロットにいる「月の監視者」と再度話そう。			月の監視者から案内を受けた。嘆きの海のクロロフォスグロットにいる「月の監視者」と再度話そう。			月を繰る者たち							
月の監視者と話した。クロロフォスグロットの「ミケナ・クロロフォス」に交感しよう。			月の監視者と話した。クロロフォスグロットの「ミケナ・クロロフォス」に交感しよう。			月を繰る者たち							
ミケナ・クロロフォスにエーテルを送り込むと、アルゴスが現れた。霊土の剣付近にいる「月の監視者」と話そう。			ミケナ・クロロフォスにエーテルを送り込むと、アルゴスが現れた。霊土の剣付近にいる「月の監視者」と話そう。			月を繰る者たち							
月の監視者と話した。霊土の剣付近にいる「ヤ・シュトラ」と話そう。			月の監視者と話した。霊土の剣付近にいる「ヤ・シュトラ」と話そう。			月を繰る者たち							
ヤ・シュトラとともに、アルゴスに乗って移動した。嘆きの海のベストウェイ・バローにいる「サンクレッド」と話そう。			ヤ・シュトラとともに、アルゴスに乗って移動した。嘆きの海のベストウェイ・バローにいる「サンクレッド」と話そう。			月を繰る者たち							
サンクレッドたちとともに、レポリットが目覚めるのを目撃した。月のクルーである彼らは、終末の再来を前にして、どのような行動に出るのだろうか。			サンクレッドたちとともに、レポリットが目覚めるのを目撃した。月のクルーである彼らは、終末の再来を前にして、どのような行動に出るのだろうか。			月を繰る者たち							
月の監視者と話す			月の監視者と話す			月を繰る者たち							
月の監視者と再度話す			月の監視者と再度話す			月を繰る者たち							
ミケナ・クロロフォスと交感			ミケナ・クロロフォスと交感			月を繰る者たち							
月の監視者と話す			月の監視者と話す			月を繰る者たち							
ヤ・シュトラと話す			ヤ・シュトラと話す			月を繰る者たち							
サンクレッドと話す			サンクレッドと話す			月を繰る者たち							
終末に見舞われるアーテリスから、生命を連れ出す……つまり諦めて逃げ出すってことか？聞き捨てならない話だな……。			終末に見舞われるアーテリスから、生命を連れ出す……つまり諦めて逃げ出すってことか？聞き捨てならない話だな……。			月を繰る者たち							
……ひとまず、話の続きを伺ってみましょう。			……ひとまず、話の続きを伺ってみましょう。			月を繰る者たち							
さすがに参ったわね……。「月が船でした」なんて報告しても、冗談にしか聞こえないわ。地上に戻ったあと、どう説明したものかしら……。			さすがに参ったわね……。「月が船でした」なんて報告しても、冗談にしか聞こえないわ。地上に戻ったあと、どう説明したものかしら……。			月を繰る者たち							
では、貴殿らを、あの建物のあたりまで送るとしよう。			では、貴殿らを、あの建物のあたりまで送るとしよう。			月を繰る者たち							
見てのとおり、嘆きの海の中央部には、ゾディアークのいた「月の底」に通じる大穴がある。それが邪魔をして、徒歩であそこへ行くのは難しい。			見てのとおり、嘆きの海の中央部には、ゾディアークのいた「月の底」に通じる大穴がある。それが邪魔をして、徒歩であそこへ行くのは難しい。			月を繰る者たち							
だから「アルゴス」の力を借りようと思う。先ほど貴殿と行動をともにしていた、光を帯びた犬のことだ。			だから「アルゴス」の力を借りようと思う。先ほど貴殿と行動をともにしていた、光を帯びた犬のことだ。			月を繰る者たち							
私が月の監視者であるように、彼は月の番犬……同じくハイデリンに創られた存在だ。			私が月の監視者であるように、彼は月の番犬……同じくハイデリンに創られた存在だ。			月を繰る者たち							
しかし……ふむ……いないようだな……。場のエーテルが大きく乱れた影響で、消散してしまったか……。			しかし……ふむ……いないようだな……。場のエーテルが大きく乱れた影響で、消散してしまったか……。			月を繰る者たち							
ならば、こちらから会いに行くとしよう。手間をかけてすまないが「霊土の剣」のあたりまで、ご足労願えるだろうか。			ならば、こちらから会いに行くとしよう。手間をかけてすまないが「霊土の剣」のあたりまで、ご足労願えるだろうか。			月を繰る者たち							
一度行った貴殿は知っていると思うが、大地が裂けているため、ところどころ迂回しなくてはならない。迷ったら、アルゴスと辿った道を思い返してみるといい。			一度行った貴殿は知っていると思うが、大地が裂けているため、ところどころ迂回しなくてはならない。迷ったら、アルゴスと辿った道を思い返してみるといい。			月を繰る者たち							
ひとまず、彼の案内に従うとしましょう。ハイデリンの仕込んでおいた策だというなら、知っておいて損はないはずよ。			ひとまず、彼の案内に従うとしましょう。ハイデリンの仕込んでおいた策だというなら、知っておいて損はないはずよ。			月を繰る者たち							
あれくらいの裂け目なら、うまくやれば跳び越えられるような気もするが……			あれくらいの裂け目なら、うまくやれば跳び越えられるような気もするが……			月を繰る者たち							
万が一にでも足をすべらせたら、文字どおり「月の底」まで真っ逆さまだからな。さすがに、命懸けの横着はやめておこう。			万が一にでも足をすべらせたら、文字どおり「月の底」まで真っ逆さまだからな。さすがに、命懸けの横着はやめておこう。			月を繰る者たち							
嘆きの海に到着したときも、3人で息を呑んだものですが、私たちの星は、あのように青く美しかったのですね。			嘆きの海に到着したときも、3人で息を呑んだものですが、私たちの星は、あのように青く美しかったのですね。			月を繰る者たち							
そして、あれも確かに幾多の「星」のひとつであったのだと、腑に落ちた心地です……。			そして、あれも確かに幾多の「星」のひとつであったのだと、腑に落ちた心地です……。			月を繰る者たち							
距離としては近いのに、妙に目的地に行きにくい……前もそんなことがあった気がしたけれど、あれは、高地ドラヴァニアだったかしら。			距離としては近いのに、妙に目的地に行きにくい……前もそんなことがあった気がしたけれど、あれは、高地ドラヴァニアだったかしら。			月を繰る者たち							
確か、エンシェント・テレポで行方がわからなくなっていた、サンクレッドを探しに行ったのよね。フ……ずいぶんとまあ、懐かしいこと。			確か、エンシェント・テレポで行方がわからなくなっていた、サンクレッドを探しに行ったのよね。フ……ずいぶんとまあ、懐かしいこと。			月を繰る者たち							
来てくれて感謝する。目的地は、この先にある洞窟「クロロフォスグロット」だ。			来てくれて感謝する。目的地は、この先にある洞窟「クロロフォスグロット」だ。			月を繰る者たち							
アルゴスは魔法生物、いわばハイデリンの使い魔だ。一定量のエーテルが溜まった場所に自ずと現れるよう、月そのものに術式が組み込まれている。			アルゴスは魔法生物、いわばハイデリンの使い魔だ。一定量のエーテルが溜まった場所に自ずと現れるよう、月そのものに術式が組み込まれている。			月を繰る者たち							
そして、「クロロフォスグロット」は、このあたりでもとくにエーテルが溜まりやすい場所。アルゴスを呼ぶにはうってつけだ。			そして、「クロロフォスグロット」は、このあたりでもとくにエーテルが溜まりやすい場所。アルゴスを呼ぶにはうってつけだ。			月を繰る者たち							
さあ、行ってみるとしよう。			さあ、行ってみるとしよう。			月を繰る者たち							
ハイデリンの使い魔か……どんな奴なんだろうな。お前はもう、会ったんだろう？			ハイデリンの使い魔か……どんな奴なんだろうな。お前はもう、会ったんだろう？			月を繰る者たち							
どことなく、イル・メグの、ン・モゥ族の棲んでいた洞窟を思い出しますね。			どことなく、イル・メグの、ン・モゥ族の棲んでいた洞窟を思い出しますね。			月を繰る者たち							
月の監視者の言ったとおり、この洞窟は、かなりエーテル濃度が高くなっているみたい。			月の監視者の言ったとおり、この洞窟は、かなりエーテル濃度が高くなっているみたい。			月を繰る者たち							
エーテル学を修める者としては、月におけるエーテルの循環に、大変興味があるのだけれど……今は終末がらみの話に集中するわ。			エーテル学を修める者としては、月におけるエーテルの循環に、大変興味があるのだけれど……今は終末がらみの話に集中するわ。			月を繰る者たち							
エーテルが、いい具合に溜まっている……これなら、アルゴスが現れるまで、あと一押しだろう。			エーテルが、いい具合に溜まっている……これなら、アルゴスが現れるまで、あと一押しだろう。			月を繰る者たち							
この場所のエーテルが濃いのは、そこに生えている菌類「ミケナ・クロロフォス」が、地中から吸い上げたエーテルを周囲に発散しているからなんだ。			この場所のエーテルが濃いのは、そこに生えている菌類「ミケナ・クロロフォス」が、地中から吸い上げたエーテルを周囲に発散しているからなんだ。			月を繰る者たち							
貴殿も、「ミケナ・クロロフォス」に、エーテルを分け与えてやってくれ。それで、アルゴスが現れるだけの条件が整うだろう。			貴殿も、「ミケナ・クロロフォス」に、エーテルを分け与えてやってくれ。それで、アルゴスが現れるだけの条件が整うだろう。			月を繰る者たち							
そこに生えている菌類「ミケナ・クロロフォス」に、エーテルを分け与えてやってくれ。それで、アルゴスが現れるだけの条件が整うだろう。			そこに生えている菌類「ミケナ・クロロフォス」に、エーテルを分け与えてやってくれ。それで、アルゴスが現れるだけの条件が整うだろう。			月を繰る者たち							
現れたアルゴスは、静かに鼻を寄せてきた。……どうやら慕われているようだ。			現れたアルゴスは、静かに鼻を寄せてきた。……どうやら慕われているようだ。			月を繰る者たち							
新しい個体に思えるかもしれないが、ひとつの術式から生じている以上、すべてのアルゴスは同一の存在……つまりは分身だ。			新しい個体に思えるかもしれないが、ひとつの術式から生じている以上、すべてのアルゴスは同一の存在……つまりは分身だ。			月を繰る者たち							
彼は紛れもなく、貴殿とともに「剣」へと駆けた、あのアルゴスであると言える。			彼は紛れもなく、貴殿とともに「剣」へと駆けた、あのアルゴスであると言える。			月を繰る者たち							
しかし、珍しいな……。貴殿はずいぶんと好かれているようだ。			しかし、珍しいな……。貴殿はずいぶんと好かれているようだ。			月を繰る者たち							
アルゴスは気高く、本来あまり懐かないたちでね。これから貴殿らに紹介する者たちになど、怯えられているくらいだ。			アルゴスは気高く、本来あまり懐かないたちでね。これから貴殿らに紹介する者たちになど、怯えられているくらいだ。			月を繰る者たち							
先ほどは、ゾディアーク消滅の危機に際して、月の番犬として貴殿に協力したのだと思っていたが……どうやらそれだけではなかったらしい。			先ほどは、ゾディアーク消滅の危機に際して、月の番犬として貴殿に協力したのだと思っていたが……どうやらそれだけではなかったらしい。			月を繰る者たち							
さて、彼らの方は……			さて、彼らの方は……			月を繰る者たち							
あら、お利口そうだこと。不備はなさそうね……。			あら、お利口そうだこと。不備はなさそうね……。			月を繰る者たち							
これで、私たちの方も準備完了よ。			これで、私たちの方も準備完了よ。			月を繰る者たち							
何よりだ。では、全員アルゴスを連れて外へ……。大穴を渡るとしよう。			何よりだ。では、全員アルゴスを連れて外へ……。大穴を渡るとしよう。			月を繰る者たち							
思ったよりも、犬……だな。いや、優秀な使い魔なのはわかってるんだが、妙に親しみがわいて困る。			思ったよりも、犬……だな。いや、優秀な使い魔なのはわかってるんだが、妙に親しみがわいて困る。			月を繰る者たち							
これほど広大な月が、船となる……。ハイデリンの策とあっても、いまだ信じがたい話です。あの建物には、どのような方々が待ち受けているのでしょうか。			これほど広大な月が、船となる……。ハイデリンの策とあっても、いまだ信じがたい話です。あの建物には、どのような方々が待ち受けているのでしょうか。			月を繰る者たち							
ところで……第七霊災を引き起こした月の衛星「ダラガブ」は、月神メネフィナの番犬とも呼ばれていたのよ。			ところで……第七霊災を引き起こした月の衛星「ダラガブ」は、月神メネフィナの番犬とも呼ばれていたのよ。			月を繰る者たち							
アルゴスの存在が知られていたわけじゃないでしょうけれど、「女神に忠実な月の犬」だなんて、興味深い類似点だわ。			アルゴスの存在が知られていたわけじゃないでしょうけれど、「女神に忠実な月の犬」だなんて、興味深い類似点だわ。			月を繰る者たち							
アルゴスを見つめると、そっと体を寄せてきた。……やはり、慕われているようだ。			アルゴスを見つめると、そっと体を寄せてきた。……やはり、慕われているようだ。			月を繰る者たち							
貴殿らが向かうべきは、大穴の対岸……先ほど見た建物の真下に広がる空間だ。			貴殿らが向かうべきは、大穴の対岸……先ほど見た建物の真下に広がる空間だ。			月を繰る者たち							
アルゴスの背に乗れば、あとは彼が連れていってくれるだろう。			アルゴスの背に乗れば、あとは彼が連れていってくれるだろう。			月を繰る者たち							
そこには、「月の船員(クルー)」たちがいる。月の定期点検のとき以外は眠っているのが常だが、ゾディアークの消滅を受け、起きだしてくるだろう。			そこには、「月の船員(クルー)」たちがいる。月の定期点検のとき以外は眠っているのが常だが、ゾディアークの消滅を受け、起きだしてくるだろう。			月を繰る者たち							
あとは彼らと相談しつつ、貴殿らの道を、あの星の未来を定めるといい……。			あとは彼らと相談しつつ、貴殿らの道を、あの星の未来を定めるといい……。			月を繰る者たち							
さあ、行っておいで。私が同行するのはここまでだが、監視者として、見送りはさせてもらおう。			さあ、行っておいで。私が同行するのはここまでだが、監視者として、見送りはさせてもらおう。			月を繰る者たち							
私は月の機能のひとつに、形を持たせただけの存在だ。ハイデリンの古い知人を模し、記憶も継承しているが、生命に定義されるようなものではない。			私は月の機能のひとつに、形を持たせただけの存在だ。ハイデリンの古い知人を模し、記憶も継承しているが、生命に定義されるようなものではない。			月を繰る者たち							
これからも、月が月であるかぎり、私は残るだろう。もはや監視する対象がいなくなったとしても、機能がなくなるわけではないのだから。			これからも、月が月であるかぎり、私は残るだろう。もはや監視する対象がいなくなったとしても、機能がなくなるわけではないのだから。			月を繰る者たち							
それは苦ではないが、愉しみが少ないのは事実。……だから、ここから見守っているよ。ハイデリンに愛された、今を生きる命たちを。			それは苦ではないが、愉しみが少ないのは事実。……だから、ここから見守っているよ。ハイデリンに愛された、今を生きる命たちを。			月を繰る者たち							
それなら、出発しましょうか。かたまって飛ぶのは危険だし、私とあなたが先に出て、サンクレッドたちには後ろからついてきてもらいましょう。			それなら、出発しましょうか。かたまって飛ぶのは危険だし、私とあなたが先に出て、サンクレッドたちには後ろからついてきてもらいましょう。			月を繰る者たち							
アルゴスに乗って移動しますか？			アルゴスに乗って移動しますか？			月を繰る者たち							
ではよろしくね、アルゴス。			ではよろしくね、アルゴス。			月を繰る者たち							
大穴から、エーテルが立ち上ってる。ゾディアークの残滓だわ……。			大穴から、エーテルが立ち上ってる。ゾディアークの残滓だわ……。			月を繰る者たち							
さて、建物が近くなってきたけれど……。			さて、建物が近くなってきたけれど……。			月を繰る者たち							
とてつもなく大きな扉ね……。暮らしているのが古代人たちなら、頷けるのだけれど。			とてつもなく大きな扉ね……。暮らしているのが古代人たちなら、頷けるのだけれど。			月を繰る者たち							
こっちも到着したぞ。			こっちも到着したぞ。			月を繰る者たち							
それなら、さっそく中に…………あら？			それなら、さっそく中に…………あら？			月を繰る者たち							
ふむ、仕事のないときは分身を消し、エーテルを節約しているのかもしれませんね……。			ふむ、仕事のないときは分身を消し、エーテルを節約しているのかもしれませんね……。			月を繰る者たち							
完全に消えなくてよかったな。こんな月の片隅に置き去りにされたら一大事だ。			完全に消えなくてよかったな。こんな月の片隅に置き去りにされたら一大事だ。			月を繰る者たち							
何と言う？			何と言う？			月を繰る者たち							
ありがとう、アルゴス！			ありがとう、アルゴス！			月を繰る者たち							
絶対にそこで待ってて……			絶対にそこで待ってて……			月を繰る者たち							
アルゴスが待ちくたびれないうちに、中で話を聞いてきましょう。			アルゴスが待ちくたびれないうちに、中で話を聞いてきましょう。			月を繰る者たち							
アルゴスに乗って「嘆きの海 南」へ移動しますか？			アルゴスに乗って「嘆きの海 南」へ移動しますか？			月を繰る者たち							
これは……なんと広大な……。			これは……なんと広大な……。			月を繰る者たち							
なるほど……。確かに、アーモロートの街並みに通じるものがあるわね。			なるほど……。確かに、アーモロートの街並みに通じるものがあるわね。			月を繰る者たち							
アルゴスに乗って「嘆きの海 北」へ移動しますか？			アルゴスに乗って「嘆きの海 北」へ移動しますか？			月を繰る者たち							
月の監視者は、重大なことを話そうとしているようだ。			月の監視者は、重大なことを話そうとしているようだ。			長き時の記録							
監視者の館で仲間を探す			監視者の館で仲間を探す			長き時の記録							
鈍く輝く記憶のクリスタルを調べる			鈍く輝く記憶のクリスタルを調べる			長き時の記録							
淡く輝く記憶のクリスタルを調べる			淡く輝く記憶のクリスタルを調べる			長き時の記録							
渋く輝く記憶のクリスタルを調べる			渋く輝く記憶のクリスタルを調べる			長き時の記録							
強く輝く記憶のクリスタルを調べる			強く輝く記憶のクリスタルを調べる			長き時の記録							
ヤ・シュトラと話す			ヤ・シュトラと話す			長き時の記録							
終末にまつわる話をするにあたって、まずは場所を移そう。			終末にまつわる話をするにあたって、まずは場所を移そう。			長き時の記録							
実は、私がこちらに下りてきた直後に、地上から嘆きの海へ、数名が転移してきたのを感知している。			実は、私がこちらに下りてきた直後に、地上から嘆きの海へ、数名が転移してきたのを感知している。			長き時の記録							
今回は緊急事態だったゆえ、ハイデリンからは断片的な情報しか受け取れていないが、恐らく、貴殿の仲間たちだろう。			今回は緊急事態だったゆえ、ハイデリンからは断片的な情報しか受け取れていないが、恐らく、貴殿の仲間たちだろう。			長き時の記録							
