不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			残留する力をその身に							
尾行を続けていると、怪しいゴブリン族は誰かを探しているのがわかった。シャーレアン学士街の交差路の「ノッチド・ボーン」と話そう。			尾行を続けていると、怪しいゴブリン族は誰かを探しているのがわかった。シャーレアン学士街の交差路の「ノッチド・ボーン」と話そう。			ヒトと、ゴブリンと							
ゴブリン族を追っていると、複数の魔物の死体に行きあたった。いったい誰がやったのだろうか……？シャーレアン学士街の橋の下の「ノッチド・ボーン」と話そう。			ゴブリン族を追っていると、複数の魔物の死体に行きあたった。いったい誰がやったのだろうか……？シャーレアン学士街の橋の下の「ノッチド・ボーン」と話そう。			ヒトと、ゴブリンと							
怪しいゴブリン族と、エドレッドが助け合っているという話を聞き、ノッチド・ボーンとデデアンは、自分たちが勘違いしていたことに気がついた。シャーレアン学士街の橋の下の「ノッチド・ボーン」と再び話そう。			怪しいゴブリン族と、エドレッドが助け合っているという話を聞き、ノッチド・ボーンとデデアンは、自分たちが勘違いしていたことに気がついた。シャーレアン学士街の橋の下の「ノッチド・ボーン」と再び話そう。			ヒトと、ゴブリンと							
ノッチド・ボーンは、余韻が覚めたらイディルシャイアに戻るようだ。イディルシャイアの「ノッチド・ボーン」と話そう。			ノッチド・ボーンは、余韻が覚めたらイディルシャイアに戻るようだ。イディルシャイアの「ノッチド・ボーン」と話そう。			ヒトと、ゴブリンと							
ノッチド・ボーンとデデアンは、いままでの勘違いを悔い、イディルシャイアの一員として、頑張るようだ。彼らの頑張りがうまくいくよう、手を貸してあげるのもいいかもしれない。			ノッチド・ボーンとデデアンは、いままでの勘違いを悔い、イディルシャイアの一員として、頑張るようだ。彼らの頑張りがうまくいくよう、手を貸してあげるのもいいかもしれない。			ヒトと、ゴブリンと							
シャーレアン学士街のノッチド・ボーンと話す			シャーレアン学士街のノッチド・ボーンと話す			ヒトと、ゴブリンと							
尾行中のノッチド・ボーンと話す			尾行中のノッチド・ボーンと話す			ヒトと、ゴブリンと							
尾行中のノッチド・ボーンと再び話す			尾行中のノッチド・ボーンと再び話す			ヒトと、ゴブリンと							
交差路のノッチド・ボーンと話す			交差路のノッチド・ボーンと話す			ヒトと、ゴブリンと							
橋の下のノッチド・ボーンと話す			橋の下のノッチド・ボーンと話す			ヒトと、ゴブリンと							
橋の下のノッチド・ボーンと再び話す			橋の下のノッチド・ボーンと再び話す			ヒトと、ゴブリンと							
イディルシャイアのノッチド・ボーンと話す			イディルシャイアのノッチド・ボーンと話す			ヒトと、ゴブリンと							
ようアンタ、さっそく例の犯人……悪党のゴブリン族が、イディルシャイアに戻ってきていたぜ！			ようアンタ、さっそく例の犯人……悪党のゴブリン族が、イディルシャイアに戻ってきていたぜ！			ヒトと、ゴブリンと							
奴はイディルシャイアで犯行の準備を行い、また出ていった。俺は奴を追い、今度こそしっぽを掴んでやる。アンタも手を貸してくれ！　学士街の方で待ってるぜ！			奴はイディルシャイアで犯行の準備を行い、また出ていった。俺は奴を追い、今度こそしっぽを掴んでやる。アンタも手を貸してくれ！　学士街の方で待ってるぜ！			ヒトと、ゴブリンと							
奴はイディルシャイアで犯行の準備を行い、また出ていった。俺は奴を追い、今度こそしっぽを掴んでやる。アンタも手を貸してくれ！　学士街の方で待ってるぜ！			奴はイディルシャイアで犯行の準備を行い、また出ていった。俺は奴を追い、今度こそしっぽを掴んでやる。アンタも手を貸してくれ！　学士街の方で待ってるぜ！			ヒトと、ゴブリンと							
奴との決着をつけるっす！ゴブリン族の陰謀を潰すため、ご協力お願いするっす！			奴との決着をつけるっす！ゴブリン族の陰謀を潰すため、ご協力お願いするっす！			ヒトと、ゴブリンと							
さあ、兄貴のために、がんばるっす！			さあ、兄貴のために、がんばるっす！			ヒトと、ゴブリンと							
来てくれたか、アンタ！奴は、南へ道なりに進んでいった。ばれないように尾行して、ヤツの陰謀を暴くぜ！			来てくれたか、アンタ！奴は、南へ道なりに進んでいった。ばれないように尾行して、ヤツの陰謀を暴くぜ！			ヒトと、ゴブリンと							
兄貴の言うとおり、あのゴブリン族は絶対悪党っす！金貸しの本性は見抜けなかったけど……今回は間違いないっす！			兄貴の言うとおり、あのゴブリン族は絶対悪党っす！金貸しの本性は見抜けなかったけど……今回は間違いないっす！			ヒトと、ゴブリンと							
シュコォ……シュコォ……キミ　ゴブに　何かよ～？ごめんなさいけど　先約あるから　また今度～！			シュコォ……シュコォ……キミ　ゴブに　何かよ～？ごめんなさいけど　先約あるから　また今度～！			ヒトと、ゴブリンと							
シッ……道の先を見てくれ。あれが、陰謀を企んでいるゴブリン族だ。どうやら、イディルシャイアから縄を持ってきたようだぜ。			シッ……道の先を見てくれ。あれが、陰謀を企んでいるゴブリン族だ。どうやら、イディルシャイアから縄を持ってきたようだぜ。			ヒトと、ゴブリンと							
恐ろしい……縄で人を捕らえるつもりなんだろう。……あ、移動するみてえだな。俺たちも移動しようぜ！			恐ろしい……縄で人を捕らえるつもりなんだろう。……あ、移動するみてえだな。俺たちも移動しようぜ！			ヒトと、ゴブリンと							
ゴブリン族……完全に怪しいっす！やっぱり兄貴の読みは、正しかったっす！			ゴブリン族……完全に怪しいっす！やっぱり兄貴の読みは、正しかったっす！			ヒトと、ゴブリンと							
シュコォ……シュコォ……お約束　このあたり　だったはず～？あの人　どこどこ　いっちゃった～？			シュコォ……シュコォ……お約束　このあたり　だったはず～？あの人　どこどこ　いっちゃった～？			ヒトと、ゴブリンと							
あのゴブリン族、さっきからきょろきょろと……何か探しているようだな。			あのゴブリン族、さっきからきょろきょろと……何か探しているようだな。			ヒトと、ゴブリンと							
もしかして、捕らえる獲物を探しているのか！？周囲に人気はないから、犯行にはぴったりだ。……また、移動するぞ！			もしかして、捕らえる獲物を探しているのか！？周囲に人気はないから、犯行にはぴったりだ。……また、移動するぞ！			ヒトと、ゴブリンと							
ひ、ひえー！？ヤバいっす、ヤバいっす！僕たちも、こんなふうに、殺されるっす！？			ひ、ひえー！？ヤバいっす、ヤバいっす！僕たちも、こんなふうに、殺されるっす！？			ヒトと、ゴブリンと							
……ぼ、冒険者さんか。み、見てくれよ、この死体の数々を。あの、ゴブリン族が、やったっていうのか……？			……ぼ、冒険者さんか。み、見てくれよ、この死体の数々を。あの、ゴブリン族が、やったっていうのか……？			ヒトと、ゴブリンと							
兄貴、や、ヤバいっす！あのゴブリン族は、危険っす！こ、このまま尾行するのは、危険なんじゃ……！？			兄貴、や、ヤバいっす！あのゴブリン族は、危険っす！こ、このまま尾行するのは、危険なんじゃ……！？			ヒトと、ゴブリンと							
馬鹿野郎！　こ、この程度で、ビ、ビビビるんじゃねえ！俺たちが逃げたら、イディルシャイアはどうなるんだ。ゴブリン族を追うぞ、冒険者さんも来てくれ！			馬鹿野郎！　こ、この程度で、ビ、ビビビるんじゃねえ！俺たちが逃げたら、イディルシャイアはどうなるんだ。ゴブリン族を追うぞ、冒険者さんも来てくれ！			ヒトと、ゴブリンと							
こんな暗がりに、人を連れ込んでるなんて……！怖いっす！　でも、兄貴についていくっす！			こんな暗がりに、人を連れ込んでるなんて……！怖いっす！　でも、兄貴についていくっす！			ヒトと、ゴブリンと							
い……て……。			い……て……。			ヒトと、ゴブリンと							
シュコォ……シュコォ……手加減　ダメダメ　意味ないよ～。ちゃんと　やるから　耐えて　ちょ～だい！			シュコォ……シュコォ……手加減　ダメダメ　意味ないよ～。ちゃんと　やるから　耐えて　ちょ～だい！			ヒトと、ゴブリンと							
(-苦しそうな男性-)うぐ……い、痛たたたたっ!？や、やめてくれ、もう無理っ！			(-苦しそうな男性-)うぐ……い、痛たたたたっ!？や、やめてくれ、もう無理っ！			ヒトと、ゴブリンと							
シュコォ……シュコォ……痛いの当然　エドレッド悪い～！でもでも　だいじょぶ　すぐ楽になる～！			シュコォ……シュコォ……痛いの当然　エドレッド悪い～！でもでも　だいじょぶ　すぐ楽になる～！			ヒトと、ゴブリンと							
つ、ついに犯行現場を押さえたぜ……！その人から離れろ、怪しいゴブリン族め！人を痛めつけて、いったい何のつもりだ！			つ、ついに犯行現場を押さえたぜ……！その人から離れろ、怪しいゴブリン族め！人を痛めつけて、いったい何のつもりだ！			ヒトと、ゴブリンと							
なにって　彼に　頼まれた～！ゴブリン族の秘技指圧　身体の不調に　とっても効く効く！楽になりたいなら　痛いは我慢～！			なにって　彼に　頼まれた～！ゴブリン族の秘技指圧　身体の不調に　とっても効く効く！楽になりたいなら　痛いは我慢～！			ヒトと、ゴブリンと							
……それって、つまり……マッサージってことか！？そ、そんな言い訳通用しないぞ！			……それって、つまり……マッサージってことか！？そ、そんな言い訳通用しないぞ！			ヒトと、ゴブリンと							
いやぁ、ありがとな、先生。施術は相変わらず痛いし恥ずかしいが……身体が楽になったぜ！			いやぁ、ありがとな、先生。施術は相変わらず痛いし恥ずかしいが……身体が楽になったぜ！			ヒトと、ゴブリンと							
それじゃ、魔物の死体はなんだったっす……？それに、そっちのゴブリン族が持ってた縄は……？			それじゃ、魔物の死体はなんだったっす……？それに、そっちのゴブリン族が持ってた縄は……？			ヒトと、ゴブリンと							
死体……って、ああ、あれか。施術料代わりに、俺が狩ったのさ。先生が、金はいらないから肉がほしいっていうからさ。			死体……って、ああ、あれか。施術料代わりに、俺が狩ったのさ。先生が、金はいらないから肉がほしいっていうからさ。			ヒトと、ゴブリンと							
お縄はお肉を　縛るに使う～。ゴブは狩り狩り　ヘタだから～エドレッドには　頼りきり～！			お縄はお肉を　縛るに使う～。ゴブは狩り狩り　ヘタだから～エドレッドには　頼りきり～！			ヒトと、ゴブリンと							
若いころは「エドレッド盗賊団」を率いて暴れていた俺だが、まともに動けなくなる大怪我をして、足を洗ってなぁ……。			若いころは「エドレッド盗賊団」を率いて暴れていた俺だが、まともに動けなくなる大怪我をして、足を洗ってなぁ……。			ヒトと、ゴブリンと							
先生の施術のおかげで、なんとか生活できてるんだ。それに同じ都市の仲間だしな、助け合うのは当然さ。			先生の施術のおかげで、なんとか生活できてるんだ。それに同じ都市の仲間だしな、助け合うのは当然さ。			ヒトと、ゴブリンと							
そんな……本当に……。ゴブリン族が「人」のために…………？俺が、間違っていたのか……。			そんな……本当に……。ゴブリン族が「人」のために…………？俺が、間違っていたのか……。			ヒトと、ゴブリンと							
……ゴブリン族を疑っていて、すまなかった！俺は、心を入れ替えるよ！だから俺たちを……都市の仲間にしてほしい！			……ゴブリン族を疑っていて、すまなかった！俺は、心を入れ替えるよ！だから俺たちを……都市の仲間にしてほしい！			ヒトと、ゴブリンと							
よく　わからんけど　歓迎よ～！自由の都市は　自由なトコロ！どんなヒトも　歓迎よ～！			よく　わからんけど　歓迎よ～！自由の都市は　自由なトコロ！どんなヒトも　歓迎よ～！			ヒトと、ゴブリンと							
ありがてえ……。俺もアンタらと助け合いができるよう、がんばるぜ！			ありがてえ……。俺もアンタらと助け合いができるよう、がんばるぜ！			ヒトと、ゴブリンと							
それじゃあ　さっそく　秘技指圧試してみるみる？　やってみる？ちょっと痛くて　恥ずかしいけど　身体とっても　楽なるよ～！			それじゃあ　さっそく　秘技指圧試してみるみる？　やってみる？ちょっと痛くて　恥ずかしいけど　身体とっても　楽なるよ～！			ヒトと、ゴブリンと							
ま、待て！　それは遠慮しておくよ！こ、こ、心の準備ができていないんだ！いや、ちょ、ちょっと待って………！！			ま、待て！　それは遠慮しておくよ！こ、こ、心の準備ができていないんだ！いや、ちょ、ちょっと待って………！！			ヒトと、ゴブリンと							
あ、兄貴――っ！！！			あ、兄貴――っ！！！			ヒトと、ゴブリンと							
あ、あんなに叫んでる兄貴初めて見たっす……。			あ、あんなに叫んでる兄貴初めて見たっす……。			ヒトと、ゴブリンと							
先生の施術は、一度受けたら病みつきになっちまう。あんたも気が向いたら、受けるといいぞ。			先生の施術は、一度受けたら病みつきになっちまう。あんたも気が向いたら、受けるといいぞ。			ヒトと、ゴブリンと							
シュコォ……シュコォ……仲間が増えるの嬉しくて　施術に気合　入ったよ～！			シュコォ……シュコォ……仲間が増えるの嬉しくて　施術に気合　入ったよ～！			ヒトと、ゴブリンと							
うう……想像を絶する痛さと恥ずかしさだった……。でも、本当に身体が軽くなったぜ……。すげえな、ゴブリン族って……。			うう……想像を絶する痛さと恥ずかしさだった……。でも、本当に身体が軽くなったぜ……。すげえな、ゴブリン族って……。			ヒトと、ゴブリンと							
……こ、この余韻が覚めたら街に戻るとするか。じゃあ、あとでイディルシャイアで会おうぜ……。			……こ、この余韻が覚めたら街に戻るとするか。じゃあ、あとでイディルシャイアで会おうぜ……。			ヒトと、ゴブリンと							
……こ、この余韻が覚めたら街に戻るとするか。じゃあ、あとでイディルシャイアで会おうぜ……。			……こ、この余韻が覚めたら街に戻るとするか。じゃあ、あとでイディルシャイアで会おうぜ……。			ヒトと、ゴブリンと							
僕、間違っていたっす！兄貴と一緒に、イディルシャイアに貢献することで、誤解していたことを償っていくっす！			僕、間違っていたっす！兄貴と一緒に、イディルシャイアに貢献することで、誤解していたことを償っていくっす！			ヒトと、ゴブリンと							
過去のしがらみに囚われて、俺の眼は曇っていた……。アンタも、こんな俺につき合ってくれてありがとな。			過去のしがらみに囚われて、俺の眼は曇っていた……。アンタも、こんな俺につき合ってくれてありがとな。			ヒトと、ゴブリンと							
ようし……！それじゃ改めて、イディルシャイアの一員として、がんばるぞ！			ようし……！それじゃ改めて、イディルシャイアの一員として、がんばるぞ！			ヒトと、ゴブリンと							
はい、兄貴！			はい、兄貴！			ヒトと、ゴブリンと							
イディルシャイアのノッチド・ボーンは、怪しいゴブリン族を見つけたようだ。			イディルシャイアのノッチド・ボーンは、怪しいゴブリン族を見つけたようだ。			ふたりの追跡							
ノッチド・ボーンとともに、怪しいと彼が主張するゴブリン族を追うことになった。低地ドラヴァニアのシャーレアン学士街にいる「ノッチド・ボーン」と話そう。			ノッチド・ボーンとともに、怪しいと彼が主張するゴブリン族を追うことになった。低地ドラヴァニアのシャーレアン学士街にいる「ノッチド・ボーン」と話そう。			ふたりの追跡							
ノッチド・ボーンたちは、ゴブリン族を追いかけると言い放ち、学士街を南下していった。シャーレアン学士街で「ノッチド・ボーン」を探そう。			ノッチド・ボーンたちは、ゴブリン族を追いかけると言い放ち、学士街を南下していった。シャーレアン学士街で「ノッチド・ボーン」を探そう。			ふたりの追跡							
シャーレアン学士街で苦しそうな男性を発見した。苦しみの原因を、ゴブリン族の襲撃によるものと考えたノッチド・ボーンは、怒りを燃えあがらせた。イディルシャイアの「ノッチド・ボーン」と話そう。			シャーレアン学士街で苦しそうな男性を発見した。苦しみの原因を、ゴブリン族の襲撃によるものと考えたノッチド・ボーンは、怒りを燃えあがらせた。イディルシャイアの「ノッチド・ボーン」と話そう。			ふたりの追跡							
ノッチド・ボーンはゴブリン族の魔の手から、イディルシャイアの人を救うと冒険者に宣言する。だがしかし、本当にゴブリン族は敵なのだろうか……？			ノッチド・ボーンはゴブリン族の魔の手から、イディルシャイアの人を救うと冒険者に宣言する。だがしかし、本当にゴブリン族は敵なのだろうか……？			ふたりの追跡							
シャーレアン学士街のノッチド・ボーンと話す			シャーレアン学士街のノッチド・ボーンと話す			ふたりの追跡							
ノッチド・ボーンを探す			ノッチド・ボーンを探す			ふたりの追跡							
イディルシャイアのノッチド・ボーンと話す			イディルシャイアのノッチド・ボーンと話す			ふたりの追跡							
腹痛に苦しむ俺たちに、薬茶をよこすなんざ、どう考えても、ゴブリン族は怪しいぜ……！アンタもそう思うだろ！？			腹痛に苦しむ俺たちに、薬茶をよこすなんざ、どう考えても、ゴブリン族は怪しいぜ……！アンタもそう思うだろ！？			ふたりの追跡							
……そういえば、空腹で動けねえ時に、すげえ怪しいゴブリン族を見かけたのを思い出したぜ！俺にはわかる、あれは間違いなく……陰謀を企んでる！			……そういえば、空腹で動けねえ時に、すげえ怪しいゴブリン族を見かけたのを思い出したぜ！俺にはわかる、あれは間違いなく……陰謀を企んでる！			ふたりの追跡							
怪しいゴブリン族は、「学士街」へ向かったようだ。俺とデデアンは腹も膨れたしな、奴を追うぜ！アンタも、手を貸してくれ！			怪しいゴブリン族は、「学士街」へ向かったようだ。俺とデデアンは腹も膨れたしな、奴を追うぜ！アンタも、手を貸してくれ！			ふたりの追跡							
怪しいゴブリン族は、「学士街」へ向かったようだ。俺とデデアンは腹も膨れたしな、奴を追うぜ！アンタも、手を貸してくれ！			怪しいゴブリン族は、「学士街」へ向かったようだ。俺とデデアンは腹も膨れたしな、奴を追うぜ！アンタも、手を貸してくれ！			ふたりの追跡							
ふう……お腹の痛みも、だいぶ収まったっす。冒険者さん、ありがとうっす。			ふう……お腹の痛みも、だいぶ収まったっす。冒険者さん、ありがとうっす。			ふたりの追跡							
なんだか、事件屋みたいな気持ちになるっすね！			なんだか、事件屋みたいな気持ちになるっすね！			ふたりの追跡							
目標のゴブリン族は、この奥に行ったみたいだ！「学士街」で悪事を働くつもりだな！			目標のゴブリン族は、この奥に行ったみたいだ！「学士街」で悪事を働くつもりだな！			ふたりの追跡							
俺たちはこのまま南下して、ゴブリン族を追う！奴らの悪事、今度こそ暴いてみせるぜ！アンタもついてきてくれ！			俺たちはこのまま南下して、ゴブリン族を追う！奴らの悪事、今度こそ暴いてみせるぜ！アンタもついてきてくれ！			ふたりの追跡							
あのゴブリン族め、どこ行ったっす！？			あのゴブリン族め、どこ行ったっす！？			ふたりの追跡							
うぐぐ……涙がにじむほど、痛かった……。			うぐぐ……涙がにじむほど、痛かった……。			ふたりの追跡							
ああ……アンタか。どうやら俺たちは、遅かったようだ……。			ああ……アンタか。どうやら俺たちは、遅かったようだ……。			ふたりの追跡							
う、うう……痛ぇ……。			う、うう……痛ぇ……。			ふたりの追跡							
アンタ、見たところ、怪我はなさそうだが……。ゴブリン族に、やられたのか？			アンタ、見たところ、怪我はなさそうだが……。ゴブリン族に、やられたのか？			ふたりの追跡							
もちろんだ。くっ……これほど痛いとは、予想外だな。さすが、ゴブリン族の秘技ってところか……。			もちろんだ。くっ……これほど痛いとは、予想外だな。さすが、ゴブリン族の秘技ってところか……。			ふたりの追跡							
……くそっ、やっぱりかよ！ゴブリン族め、人を襲うとは許せねえ！			……くそっ、やっぱりかよ！ゴブリン族め、人を襲うとは許せねえ！			ふたりの追跡							
い、いや違う……！ゴブリン族に、襲われたわけじゃ……ない！			い、いや違う……！ゴブリン族に、襲われたわけじゃ……ない！			ふたりの追跡							
ああ……そう言えって、ゴブリン族に脅されたんだな。悪いやつってのは、口止めまでしっかりしてるもんさ。このままじゃいけねえ、一度、イディルシャイアへ戻ろう！			ああ……そう言えって、ゴブリン族に脅されたんだな。悪いやつってのは、口止めまでしっかりしてるもんさ。このままじゃいけねえ、一度、イディルシャイアへ戻ろう！			ふたりの追跡							
ああ、俺のことは気にしなくていい。痛みがとれたら、自力でイディルシャイアへ帰るさ。心配するのは俺よりも、あの勘違いした男の方だな……。			ああ、俺のことは気にしなくていい。痛みがとれたら、自力でイディルシャイアへ帰るさ。心配するのは俺よりも、あの勘違いした男の方だな……。			ふたりの追跡							
うおー、このイディルシャイアの人を救うっす！僕たちみたいな人を、増やしちゃいけないっす！			うおー、このイディルシャイアの人を救うっす！僕たちみたいな人を、増やしちゃいけないっす！			ふたりの追跡							
……俺は決めたぜ。新天地を探し、新しい人の国を作るのは止めだ。俺はゴブリン族の悪行を阻み、イディルシャイアの人を救う！			……俺は決めたぜ。新天地を探し、新しい人の国を作るのは止めだ。俺はゴブリン族の悪行を阻み、イディルシャイアの人を救う！			ふたりの追跡							
デデアンにも、そのことを伝えたら、賛成してくれた。俺たちみてえな、騙され、搾取される人を増やしちゃならねぇ！だから……アンタの力も貸してくれ！			デデアンにも、そのことを伝えたら、賛成してくれた。俺たちみてえな、騙され、搾取される人を増やしちゃならねぇ！だから……アンタの力も貸してくれ！			ふたりの追跡							
イディルシャイアのドライドクスは、新米ゴブリン族の心配をしているようだ。			イディルシャイアのドライドクスは、新米ゴブリン族の心配をしているようだ。			新米の調査は危険がいっぱい							
ドライドクスは、シャーレアン学士街を住処として利用できるか計画しているそうだ。低地ドラヴァニアのシャーレアン学士街へ、調査に向った新米ゴブリン族「ブームショクス」の様子を見に行こう。			ドライドクスは、シャーレアン学士街を住処として利用できるか計画しているそうだ。低地ドラヴァニアのシャーレアン学士街へ、調査に向った新米ゴブリン族「ブームショクス」の様子を見に行こう。			新米の調査は危険がいっぱい							
ブームショクスと話した。ブームショクスは、はやくイディルシャイアに戻りたいと思っているが、そのための調査のノルマが達成できていないらしい。シャーレアン学士街で、調査の邪魔になる「クロウラー」を5体討伐しよう。			ブームショクスと話した。ブームショクスは、はやくイディルシャイアに戻りたいと思っているが、そのための調査のノルマが達成できていないらしい。シャーレアン学士街で、調査の邪魔になる「クロウラー」を5体討伐しよう。			新米の調査は危険がいっぱい							
クロウラーを討伐した。シャーレアン学士街の「ブームショクス」に報告しよう。			クロウラーを討伐した。シャーレアン学士街の「ブームショクス」に報告しよう。			新米の調査は危険がいっぱい							
ブームショクスに報告した。これで調査を進めることができるようだ。まだまだノルマは残っているようだが、悲願の達成はいつになるのだろうか。			ブームショクスに報告した。これで調査を進めることができるようだ。まだまだノルマは残っているようだが、悲願の達成はいつになるのだろうか。			新米の調査は危険がいっぱい							
シャーレアン学士街のブームショクスと話す			シャーレアン学士街のブームショクスと話す			新米の調査は危険がいっぱい							
クロウラーを討伐			クロウラーを討伐			新米の調査は危険がいっぱい							
ブームショクスに報告			ブームショクスに報告			新米の調査は危険がいっぱい							
「学士街」への　移住計画　只今　検討してるとこそのため　新米　送り出し　現地調査に向かわせた～！			「学士街」への　移住計画　只今　検討してるとこそのため　新米　送り出し　現地調査に向かわせた～！			新米の調査は危険がいっぱい							
ところがなんと　帰ってこない困ってないか　冒険者　「学士街」で　見てきてほしい新米の名　「ブームショクス」　どうかどうか　お願いよ～！			ところがなんと　帰ってこない困ってないか　冒険者　「学士街」で　見てきてほしい新米の名　「ブームショクス」　どうかどうか　お願いよ～！			新米の調査は危険がいっぱい							
ところがなんと　帰ってこない困ってないか　冒険者　「学士街」で　見てきてほしい新米の名　「ブームショクス」　どうかどうか　お願いよ～！			ところがなんと　帰ってこない困ってないか　冒険者　「学士街」で　見てきてほしい新米の名　「ブームショクス」　どうかどうか　お願いよ～！			新米の調査は危険がいっぱい							
シュコォ……シュコォ……ヒトが　来るとは　めずらしい～！ゴブの様子を　見にきたの～？			シュコォ……シュコォ……ヒトが　来るとは　めずらしい～！ゴブの様子を　見にきたの～？			新米の調査は危険がいっぱい							
実は　調査が　進んでない～！早くノルマを　達成し　イディルシャイア　戻りたい～！			実は　調査が　進んでない～！早くノルマを　達成し　イディルシャイア　戻りたい～！			新米の調査は危険がいっぱい							
調査の邪魔する　「クロウラー」5匹ほどを　倒してほしい～！			調査の邪魔する　「クロウラー」5匹ほどを　倒してほしい～！			新米の調査は危険がいっぱい							
調査の邪魔する　「クロウラー」5匹ほどを　倒してほしい～！			調査の邪魔する　「クロウラー」5匹ほどを　倒してほしい～！			新米の調査は危険がいっぱい							
ところがなんと　帰ってこない困ってないか　冒険者　「学士街」で　見てきてほしい新米の名　「ブームショクス」　どうかどうか　お願いよ～！			ところがなんと　帰ってこない困ってないか　冒険者　「学士街」で　見てきてほしい新米の名　「ブームショクス」　どうかどうか　お願いよ～！			新米の調査は危険がいっぱい							
シュコォ……シュコォ……お邪魔虫の「クロウラー」　倒してくれたの　ありがたい～！			シュコォ……シュコォ……お邪魔虫の「クロウラー」　倒してくれたの　ありがたい～！			新米の調査は危険がいっぱい							
これで　調査が進みそう～！早くノルマを　達成し　やることやって　戻りたい～！			これで　調査が進みそう～！早くノルマを　達成し　やることやって　戻りたい～！			新米の調査は危険がいっぱい							
ところがなんと　帰ってこない困ってないか　冒険者　「学士街」で　見てきてほしい新米の名　「ブームショクス」　どうかどうか　お願いよ～			ところがなんと　帰ってこない困ってないか　冒険者　「学士街」で　見てきてほしい新米の名　「ブームショクス」　どうかどうか　お願いよ～			新米の調査は危険がいっぱい							
イディルシャイアのノッチド・ボーンは、正式に都市民になりたいようだ。			イディルシャイアのノッチド・ボーンは、正式に都市民になりたいようだ。			ふたりは仲間ゴブ！							
ノッチド・ボーンから、スローフィクスに彼らが都市民になりたいことを伝えてほしいと頼まれた。イディルシャイアの「スローフィクス」と話そう。			ノッチド・ボーンから、スローフィクスに彼らが都市民になりたいことを伝えてほしいと頼まれた。イディルシャイアの「スローフィクス」と話そう。			ふたりは仲間ゴブ！							
スローフィクスは、都市民が増えることを歓迎している様子だった。さらにスローフィクスは、ノッチド・ボーンの名前を聞いて彼宛ての手紙が届いていたことを思い出し、手紙を冒険者に渡した。イディルシャイアの「ノッチド・ボーン」に「ノッチド・ボーン宛ての手紙」を渡そう。			スローフィクスは、都市民が増えることを歓迎している様子だった。さらにスローフィクスは、ノッチド・ボーンの名前を聞いて彼宛ての手紙が届いていたことを思い出し、手紙を冒険者に渡した。イディルシャイアの「ノッチド・ボーン」に「ノッチド・ボーン宛ての手紙」を渡そう。			ふたりは仲間ゴブ！							
手紙は、金貸しからのものだった。イディルシャイアから逃げることを決めたノッチド・ボーンは、金貸しがイディルシャイアまで来ているかどうか確認するよう、冒険者に頼んだ。裏表紙橋の「悪党面の金貸し」と話そう。			手紙は、金貸しからのものだった。イディルシャイアから逃げることを決めたノッチド・ボーンは、金貸しがイディルシャイアまで来ているかどうか確認するよう、冒険者に頼んだ。裏表紙橋の「悪党面の金貸し」と話そう。			ふたりは仲間ゴブ！							
金貸しは、すでにイディルシャイアに到着していた。イディルシャイアの「ノッチド・ボーン」と話そう。			金貸しは、すでにイディルシャイアに到着していた。イディルシャイアの「ノッチド・ボーン」と話そう。			ふたりは仲間ゴブ！							
ノッチド・ボーンは逃げようとするが、デデアンはそれを押しとどめ、皆の力を借りて金貸しを追い返すことを提案した。低地ドラヴァニアのシャーレアン選者街にいる「悪党面の金貸し」と話そう。			ノッチド・ボーンは逃げようとするが、デデアンはそれを押しとどめ、皆の力を借りて金貸しを追い返すことを提案した。低地ドラヴァニアのシャーレアン選者街にいる「悪党面の金貸し」と話そう。			ふたりは仲間ゴブ！							
冒険者やエドレッドの迫力に負け、悪党面の金貸しは逃げ帰った。しかし、スローフィクスから冒険者に頼みごとがあるようだ。イディルシャイアの「スローフィクス」と話そう。			冒険者やエドレッドの迫力に負け、悪党面の金貸しは逃げ帰った。しかし、スローフィクスから冒険者に頼みごとがあるようだ。イディルシャイアの「スローフィクス」と話そう。			ふたりは仲間ゴブ！							
スローフィクスから封筒を預かった。ドリップウィクスから署名をもらったあと、ノッチド・ボーンに渡せばいいそうだ。低地ドラヴァニアの大工房アーキテクトン付近にいる「ドリップウィクス」に「イディルシャイア印の封筒」を渡そう。			スローフィクスから封筒を預かった。ドリップウィクスから署名をもらったあと、ノッチド・ボーンに渡せばいいそうだ。低地ドラヴァニアの大工房アーキテクトン付近にいる「ドリップウィクス」に「イディルシャイア印の封筒」を渡そう。			ふたりは仲間ゴブ！							
ドリップウィクスから、署名を貰った。イディルシャイアの「ノッチド・ボーン」に「書類入りの封筒」を渡そう。			ドリップウィクスから、署名を貰った。イディルシャイアの「ノッチド・ボーン」に「書類入りの封筒」を渡そう。			ふたりは仲間ゴブ！							
封筒の中身は、ノッチド・ボーンたちの都市民認定書だった。感激したノッチド・ボーンとデデアンは、この恩を返すことを誓う。きっと、彼らの活躍で、イディルシャイアは大きな発展を遂げるだろう。			封筒の中身は、ノッチド・ボーンたちの都市民認定書だった。感激したノッチド・ボーンとデデアンは、この恩を返すことを誓う。きっと、彼らの活躍で、イディルシャイアは大きな発展を遂げるだろう。			ふたりは仲間ゴブ！							
スローフィクスと話す			スローフィクスと話す			ふたりは仲間ゴブ！							
