主なき遺構前のヤ・シュトラは、次なる行動に移るようだ。			主なき遺構前のヤ・シュトラは、次なる行動に移るようだ。			輝きは不滅なりて							
ダメだ……これも、内容はさっきの書と同じ……。いっそ、捉え方を変えて……ほかの見地から…………。			ダメだ……これも、内容はさっきの書と同じ……。いっそ、捉え方を変えて……ほかの見地から…………。			舞台上で最も哀れな役者							
へっ、Forenameさん！？幻覚とかじゃなくて、本当の、本当に……！？			へっ、Forenameさん！？幻覚とかじゃなくて、本当の、本当に……！？			舞台上で最も哀れな役者							
ああ、なんて喜ばしいことでしょう……！皆の祈りが通じたんですね……！			ああ、なんて喜ばしいことでしょう……！皆の祈りが通じたんですね……！			舞台上で最も哀れな役者							
僕も、こんなときこそ己にできることをと思い、光が戻ってしまった原因を探していたんです。大罪喰いは倒されたはずなのに、なぜ……とね。			僕も、こんなときこそ己にできることをと思い、光が戻ってしまった原因を探していたんです。大罪喰いは倒されたはずなのに、なぜ……とね。			舞台上で最も哀れな役者							
ただ、今のところ、成果の方は芳しくなくて……。こんなときこそ水晶公がいてくださったらと、不安と焦りが募るばかりです……。			ただ、今のところ、成果の方は芳しくなくて……。こんなときこそ水晶公がいてくださったらと、不安と焦りが募るばかりです……。			舞台上で最も哀れな役者							
しかし、あなたがお目覚めになったということは、拐われた公の捜索も、本格的に始められるかもしれません。			しかし、あなたがお目覚めになったということは、拐われた公の捜索も、本格的に始められるかもしれません。			舞台上で最も哀れな役者							
ミーン工芸館でも「カットリス」さんを中心に、戦いへの備えをしているようです。あなたが顔を出せば、絶対に喜びますよ！			ミーン工芸館でも「カットリス」さんを中心に、戦いへの備えをしているようです。あなたが顔を出せば、絶対に喜びますよ！			舞台上で最も哀れな役者							
僕も引き続き、調査を続けてみます。ここまできて、全部無駄だったとは言わせません……！			僕も引き続き、調査を続けてみます。ここまできて、全部無駄だったとは言わせません……！			舞台上で最も哀れな役者							
Forename……！あんた、目を覚ましたのかい！			Forename……！あんた、目を覚ましたのかい！			舞台上で最も哀れな役者							
ああ、よかった……本当に……。あんたと面識のある科の連中も、大層心配して、何かできることはないかって言ってたんだよ……？			ああ、よかった……本当に……。あんたと面識のある科の連中も、大層心配して、何かできることはないかって言ってたんだよ……？			舞台上で最も哀れな役者							
ああ、よかった……本当に……。ここのところ、公やあんたを心配する声を、聞かなかった日はなかったんだよ……？			ああ、よかった……本当に……。ここのところ、公やあんたを心配する声を、聞かなかった日はなかったんだよ……？			舞台上で最も哀れな役者							
なんにせよ、まだしばらくは無茶しないようにね。……っと、そんなときに悪いんだけど、あんたが戦うときに使っている装備を見せてもらえないかい？			なんにせよ、まだしばらくは無茶しないようにね。……っと、そんなときに悪いんだけど、あんたが戦うときに使っている装備を見せてもらえないかい？			舞台上で最も哀れな役者							
……あたしたちなりにね、悔しいのさ。上等な武具があれば、あんたが倒れなかったかもしれない……公だって、拐われなかったかもしれない……ってね。			……あたしたちなりにね、悔しいのさ。上等な武具があれば、あんたが倒れなかったかもしれない……公だって、拐われなかったかもしれない……ってね。			舞台上で最も哀れな役者							
だから今、仕事の見直しや、新規レシピの考案をしてるんだ。参考にさせてほしいから、是非見せておくれ。			だから今、仕事の見直しや、新規レシピの考案をしてるんだ。参考にさせてほしいから、是非見せておくれ。			舞台上で最も哀れな役者							
ふむ……率直に言って、見事なものだね。			ふむ……率直に言って、見事なものだね。			舞台上で最も哀れな役者							
これを超える品となると、作れないとは言わないが、設計も材料も、検討に検討を重ねなくちゃならない。どうしても、時間はかかりそうだ……。			これを超える品となると、作れないとは言わないが、設計も材料も、検討に検討を重ねなくちゃならない。どうしても、時間はかかりそうだ……。			舞台上で最も哀れな役者							
(-？？？？-)そういうのは、「あいつ」の得意分野じゃないか？			(-？？？？-)そういうのは、「あいつ」の得意分野じゃないか？			舞台上で最も哀れな役者							
おや、グリナード……「彷徨う階段亭」の店主みずから、お使いかい？			おや、グリナード……「彷徨う階段亭」の店主みずから、お使いかい？			舞台上で最も哀れな役者							
まあな……さすがにこんな状況じゃ、呆けてる店員たちの尻を叩くわけにもいかないんだよ。			まあな……さすがにこんな状況じゃ、呆けてる店員たちの尻を叩くわけにもいかないんだよ。			舞台上で最も哀れな役者							
それよりも、さっきの話だ。ほら……こういうときこそ、「あいつ」の閃きと技を、存分に生かせそうじゃないか……？			それよりも、さっきの話だ。ほら……こういうときこそ、「あいつ」の閃きと技を、存分に生かせそうじゃないか……？			舞台上で最も哀れな役者							
「あいつ」って……グレノルトのことかい？確かに、職人としての腕なら、並び立つ者がいないほどだけど……。			「あいつ」って……グレノルトのことかい？確かに、職人としての腕なら、並び立つ者がいないほどだけど……。			舞台上で最も哀れな役者							
そいつは無理な相談ってものだよ。数年前にフラッといなくなったきり、音沙汰もないんだから。			そいつは無理な相談ってものだよ。数年前にフラッといなくなったきり、音沙汰もないんだから。			舞台上で最も哀れな役者							
もとから物作りへの執念だけで生きてるような男だったし、どこかで、製作に打ち込んでるんだろうけど……。残念ながら、連絡の取り方すらわからないよ。			もとから物作りへの執念だけで生きてるような男だったし、どこかで、製作に打ち込んでるんだろうけど……。残念ながら、連絡の取り方すらわからないよ。			舞台上で最も哀れな役者							
そうか……。今こそ腕の見せ所なんだがなぁ……。			そうか……。今こそ腕の見せ所なんだがなぁ……。			舞台上で最も哀れな役者							
まあ、あのヘンテコ敏腕職人が、お前に必要な人物なら、そのうちに出会うこともあろうさ。			まあ、あのヘンテコ敏腕職人が、お前に必要な人物なら、そのうちに出会うこともあろうさ。			舞台上で最も哀れな役者							
俺は今まで、そういう不思議な巡り合わせの話を、客から何十と聞いてきたんだ。……嘘かまことかは、ともかくな。			俺は今まで、そういう不思議な巡り合わせの話を、客から何十と聞いてきたんだ。……嘘かまことかは、ともかくな。			舞台上で最も哀れな役者							
まあ、そうだね……。工芸館でも何か考えてはみるが、もしも出会えたなら、あいつに仕事を依頼するのが、一番早そうだ。			まあ、そうだね……。工芸館でも何か考えてはみるが、もしも出会えたなら、あいつに仕事を依頼するのが、一番早そうだ。			舞台上で最も哀れな役者							
とはいえ、それも全部、あんたが完治してからだよ。……長い間つかまえちゃって、悪かったね。			とはいえ、それも全部、あんたが完治してからだよ。……長い間つかまえちゃって、悪かったね。			舞台上で最も哀れな役者							
おお、そうだった。もともとは、お前がいるのが見えたから、一声かけようと思って来たんだ。			おお、そうだった。もともとは、お前がいるのが見えたから、一声かけようと思って来たんだ。			舞台上で最も哀れな役者							
病み上がりにキツい酒は勧められないが……お前に会いたがってる奴もいるんだ、またうちの店にも寄ってくれよな。			病み上がりにキツい酒は勧められないが……お前に会いたがってる奴もいるんだ、またうちの店にも寄ってくれよな。			舞台上で最も哀れな役者							
病み上がりにキツい酒は勧められないが……会ってみてほしい奴もいるんだ、またうちの店にも寄ってくれよな。			病み上がりにキツい酒は勧められないが……会ってみてほしい奴もいるんだ、またうちの店にも寄ってくれよな。			舞台上で最も哀れな役者							
じゃ、俺は戻る。……楽観できる状況じゃないが、お互い腐らずがんばろうや。			じゃ、俺は戻る。……楽観できる状況じゃないが、お互い腐らずがんばろうや。			舞台上で最も哀れな役者							
そうだね……。抗う心を忘れたら、公だって、探しても出てこなくなりそうだ。あの人の街として、まだまだ諦めるわけにはいかないよ。			そうだね……。抗う心を忘れたら、公だって、探しても出てこなくなりそうだ。あの人の街として、まだまだ諦めるわけにはいかないよ。			舞台上で最も哀れな役者							
