クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			ナッツクランのモブハント（中級）							
大柄のアマロが眠っている……。			大柄のアマロが眠っている……。			長老の言うことには							
何と呼びかける？			何と呼びかける？			長老の言うことには							
カル！			カル！			長老の言うことには							
セト！			セト！			長老の言うことには							
モグ！			モグ！			長老の言うことには							
………………。			………………。			長老の言うことには							
………………アル……バー、ト……？			………………アル……バー、ト……？			長老の言うことには							
……ああ……ごめんね。キミたちは……珍しいな、旅のヒトかい……？			……ああ……ごめんね。キミたちは……珍しいな、旅のヒトかい……？			長老の言うことには							
そうか……大罪喰いを倒すために、城の封印を……。			そうか……大罪喰いを倒すために、城の封印を……。			長老の言うことには							
いけないよ、旅のヒト……あれの討伐なんて、考えては。			いけないよ、旅のヒト……あれの討伐なんて、考えては。			長老の言うことには							
キミに特別な力があって、光をものともしないとしても、妖精王を打ち倒すということ自体が、キミに呪いを与えてしまうかもしれない。			キミに特別な力があって、光をものともしないとしても、妖精王を打ち倒すということ自体が、キミに呪いを与えてしまうかもしれない。			長老の言うことには							
……それは、とても悲しいことだ。どうかこのまま、ヒトの里にお帰り。			……それは、とても悲しいことだ。どうかこのまま、ヒトの里にお帰り。			長老の言うことには							
お前の気遣いはありがたい。だが、俺たちにも成し遂げるべき役目があるんだ。もう少し、考えてみてはもらえないか。			お前の気遣いはありがたい。だが、俺たちにも成し遂げるべき役目があるんだ。もう少し、考えてみてはもらえないか。			長老の言うことには							
………………。			………………。			長老の言うことには							
Forenameさん、皆さん、ここは一度出直しましょう。ひとまず、あちらの方へ……。			Forenameさん、皆さん、ここは一度出直しましょう。ひとまず、あちらの方へ……。			長老の言うことには							
ふむ……善意の心、思慕からの言葉とは、往々にして、利害にもとづく決裂よりも覆し難い……か。			ふむ……善意の心、思慕からの言葉とは、往々にして、利害にもとづく決裂よりも覆し難い……か。			長老の言うことには							
どういうことですか……？私たちも、ここのアマロと会うのははじめてで……。			どういうことですか……？私たちも、ここのアマロと会うのははじめてで……。			長老の言うことには							
そうですね……。これについては、私が説明を重ねるよりも、アマロたちと触れ合ってもらう方が理解しやすいでしょう。			そうですね……。これについては、私が説明を重ねるよりも、アマロたちと触れ合ってもらう方が理解しやすいでしょう。			長老の言うことには							
彼らが、人をどのように思っているか……。それを皆さんにも知っていただくことで、何かしらの突破口が見つかるかもしれません。			彼らが、人をどのように思っているか……。それを皆さんにも知っていただくことで、何かしらの突破口が見つかるかもしれません。			長老の言うことには							
是非、ヴォレクドルフのアマロたちを、「なでて」やってはいただけませんか？			是非、ヴォレクドルフのアマロたちを、「なでて」やってはいただけませんか？			長老の言うことには							
なるほど、どのアマロも、ずいぶんと人馴れしてるように感じるな……。			なるほど、どのアマロも、ずいぶんと人馴れしてるように感じるな……。			長老の言うことには							
あ、あのっ、なでさせてもらったら、とっても……とってもフカフカで……！			あ、あのっ、なでさせてもらったら、とっても……とってもフカフカで……！			長老の言うことには							
アマロたちを「なでて」やってはいただけませんか？大丈夫、危険はありません。			アマロたちを「なでて」やってはいただけませんか？大丈夫、危険はありません。			長老の言うことには							
「水晶の靴」はあげられない、どうか諦めておくれ……。			「水晶の靴」はあげられない、どうか諦めておくれ……。			長老の言うことには							
あれま……ヒトがヒトの姿のままでここに来るなんて珍しい。何かご用事かな、妖精に許されたキミ。			あれま……ヒトがヒトの姿のままでここに来るなんて珍しい。何かご用事かな、妖精に許されたキミ。			長老の言うことには							
…………？			…………？			長老の言うことには							
クゥゥ……キゥ……。ああ、ヒトになでてもらうなんて、いつぶりかなぁ。ちょっとだけ、ご主人の手を思い出すよ。			クゥゥ……キゥ……。ああ、ヒトになでてもらうなんて、いつぶりかなぁ。ちょっとだけ、ご主人の手を思い出すよ。			長老の言うことには							
私のご主人は、ここフッブート王国の、誉れ高い騎士だったんだ。それはそれは立派で、かっこいいお方さ！			私のご主人は、ここフッブート王国の、誉れ高い騎士だったんだ。それはそれは立派で、かっこいいお方さ！			長老の言うことには							
……最後は罪喰いにやられてしまったけれど、でも、私は今でも、あのヒトを尊敬している。この地から、いつまでも離れられないくらいにね。			……最後は罪喰いにやられてしまったけれど、でも、私は今でも、あのヒトを尊敬している。この地から、いつまでも離れられないくらいにね。			長老の言うことには							
フフ……ヒトになでてもらうのは、やっぱり心地いいなぁ。ご主人は大抵ゴツゴツとした籠手をはめていたんだけれど、それでも私は、なでられるのが大好きだったんだ。			フフ……ヒトになでてもらうのは、やっぱり心地いいなぁ。ご主人は大抵ゴツゴツとした籠手をはめていたんだけれど、それでも私は、なでられるのが大好きだったんだ。			長老の言うことには							
あら、あなたも盗掘家か何か？ここにはヒトが喜ぶものは何もないわよ。			あら、あなたも盗掘家か何か？ここにはヒトが喜ぶものは何もないわよ。			長老の言うことには							
……いったい何？			……いったい何？			長老の言うことには							
キュゥ……！？ちょ、ちょっと……もうっ……くすぐったいったら！私はヒトに飼われたことがないから、慣れてないのよ！			キュゥ……！？ちょ、ちょっと……もうっ……くすぐったいったら！私はヒトに飼われたことがないから、慣れてないのよ！			長老の言うことには							
まあ、ヒトが嫌いってわけじゃないから、いいんだけど……。そう感じちゃうのは、きっと、私たちの宿命ね……。			まあ、ヒトが嫌いってわけじゃないから、いいんだけど……。そう感じちゃうのは、きっと、私たちの宿命ね……。			長老の言うことには							
ねえ、知っていた？アマロというのは、大昔にあったロンカって国の魔法使いが、ヒトの友にするために、魔法で知恵を与えた生き物なのよ。			ねえ、知っていた？アマロというのは、大昔にあったロンカって国の魔法使いが、ヒトの友にするために、魔法で知恵を与えた生き物なのよ。			長老の言うことには							
その国がなくなったことで、知恵を持つ個体は減っていったけれど……たまに、私たちのような「先祖返り」が生まれてくるの。			その国がなくなったことで、知恵を持つ個体は減っていったけれど……たまに、私たちのような「先祖返り」が生まれてくるの。			長老の言うことには							
「先祖返り」は、ヒトに関わって100年も生きれば、その言葉だって獲得できる。私だって、飼われたことはないけれど……いろいろあったのよ。			「先祖返り」は、ヒトに関わって100年も生きれば、その言葉だって獲得できる。私だって、飼われたことはないけれど……いろいろあったのよ。			長老の言うことには							
キュゥ……本当に、いろいろあったわ。いつでも最後には、ヒトが私を置いていってしまうのだけど。			キュゥ……本当に、いろいろあったわ。いつでも最後には、ヒトが私を置いていってしまうのだけど。			長老の言うことには							
なんか、最近はやけにヒトがうろうろしてるなぁ。オレたちが寝てる間に、何かあった？			なんか、最近はやけにヒトがうろうろしてるなぁ。オレたちが寝てる間に、何かあった？			長老の言うことには							
グルルル……。			グルルル……。			長老の言うことには							
グルルルルル……クゥ！なになに、どうしてオレ、なでられたの！？よくわかんないけど、うれしー！			グルルルルル……クゥ！なになに、どうしてオレ、なでられたの！？よくわかんないけど、うれしー！			長老の言うことには							
イル・メグは静かでいいとこだけど、妖精がイタズラするから、ヒトがあんまり入ってこられない。こうやって褒めてもらえることもないから、寂しいんだよなー。			イル・メグは静かでいいとこだけど、妖精がイタズラするから、ヒトがあんまり入ってこられない。こうやって褒めてもらえることもないから、寂しいんだよなー。			長老の言うことには							
……あ、オレたちも一応妖精か。ここに「先祖返り」の集う場所をつくろうって決めたときに、妖精王に従うことを誓って、そうなったんだよ。			……あ、オレたちも一応妖精か。ここに「先祖返り」の集う場所をつくろうって決めたときに、妖精王に従うことを誓って、そうなったんだよ。			長老の言うことには							
グルルル……。いつでも、好きなだけ、なでていいからな！自慢の羽は、今日もふかふかだぞ！			グルルル……。いつでも、好きなだけ、なでていいからな！自慢の羽は、今日もふかふかだぞ！			長老の言うことには							
そのご様子……ここにいるアマロたちについて、ご理解いただけたのですね。			そのご様子……ここにいるアマロたちについて、ご理解いただけたのですね。			長老の言うことには							
そう、彼らは、この上なく人に好意的なのです。だからこそ、ティターニアと戦わんとする私たちを、純粋に心配し、拒んでいるのだと思われます……。			そう、彼らは、この上なく人に好意的なのです。だからこそ、ティターニアと戦わんとする私たちを、純粋に心配し、拒んでいるのだと思われます……。			長老の言うことには							
……なんと困難な問題か。どうにかして、「水晶の靴」をいただきたいのですが……。			……なんと困難な問題か。どうにかして、「水晶の靴」をいただきたいのですが……。			長老の言うことには							
ヴォレクドルフのウリエンジェは、悩んでいるようだ。			ヴォレクドルフのウリエンジェは、悩んでいるようだ。			咆哮を響かせて							
セトと話す			セトと話す			咆哮を響かせて							
セトと再度話す			セトと再度話す			咆哮を響かせて							
セトと話し現れた罪喰いを討伐			セトと話し現れた罪喰いを討伐			咆哮を響かせて							
セトと話す			セトと話す			咆哮を響かせて							
セトと再度話す			セトと再度話す			咆哮を響かせて							
俺も、ウリエンジェの言いたいことが見えてきた。とすれば、どうにかして、心配は不要だと証明をするべきだろうが……。			俺も、ウリエンジェの言いたいことが見えてきた。とすれば、どうにかして、心配は不要だと証明をするべきだろうが……。			咆哮を響かせて							
アマロたち、みんないい子なんです……。でも私たちは「水晶の靴」をもらわないといけないし……。			アマロたち、みんないい子なんです……。でも私たちは「水晶の靴」をもらわないといけないし……。			咆哮を響かせて							
ふむ……Forenameさん、よろしければ一度、あなたひとりで、「セト」と対話を試みてはもらえませんか……？			ふむ……Forenameさん、よろしければ一度、あなたひとりで、「セト」と対話を試みてはもらえませんか……？			咆哮を響かせて							
最後に大罪喰いを倒すのがあなたである以上、彼の不安を払拭できるのもまた、あなたしかいないはず。			最後に大罪喰いを倒すのがあなたである以上、彼の不安を払拭できるのもまた、あなたしかいないはず。			咆哮を響かせて							
そして実際に、あなたには事を成すだけの力があるのです。なればこそ、他人の言葉で飾られることなく、あなたと彼が向き合うことが、最善の道と心得ます……。			そして実際に、あなたには事を成すだけの力があるのです。なればこそ、他人の言葉で飾られることなく、あなたと彼が向き合うことが、最善の道と心得ます……。			咆哮を響かせて							
代替策も考案いたしますが、まずは、あなたに「セト」と対話していただきたい……。どうぞよろしくお願いいたします。			代替策も考案いたしますが、まずは、あなたに「セト」と対話していただきたい……。どうぞよろしくお願いいたします。			咆哮を響かせて							
……見ていたよ。ここにいる皆の想いを、聞いてくれたようだね。			……見ていたよ。ここにいる皆の想いを、聞いてくれたようだね。			咆哮を響かせて							
だったら、わかってもらえたはずだ。私たちは、キミたちが嫌いだから、「水晶の靴」を渡さないわけじゃない……。			だったら、わかってもらえたはずだ。私たちは、キミたちが嫌いだから、「水晶の靴」を渡さないわけじゃない……。			咆哮を響かせて							
もう、ヒトが戦うのも、死ぬのも、嫌なんだ。キミは皆をなでただろう……？たった一度でも、自分をなでてくれたヒトが死ねば悲しいよ。			もう、ヒトが戦うのも、死ぬのも、嫌なんだ。キミは皆をなでただろう……？たった一度でも、自分をなでてくれたヒトが死ねば悲しいよ。			咆哮を響かせて							
何と言う？			何と言う？			咆哮を響かせて							
それでも、行かなければならない			それでも、行かなければならない			咆哮を響かせて							
自分は勝つから、心配するな！			自分は勝つから、心配するな！			咆哮を響かせて							
…………参ったな。キミにそんな風にいわれると、私は、どうも……。			…………参ったな。キミにそんな風にいわれると、私は、どうも……。			咆哮を響かせて							
よければ、聞かせてほしい。どうしてキミは、妖精王に挑もうとしている……？			よければ、聞かせてほしい。どうしてキミは、妖精王に挑もうとしている……？			咆哮を響かせて							
ここは今や、キミたちヒトの住処ではない。そして妖精たちは、本質として、積極的に変化しはしまい。3つの宝だって、何の対価もなしに渡されはしなかっただろう。			ここは今や、キミたちヒトの住処ではない。そして妖精たちは、本質として、積極的に変化しはしまい。3つの宝だって、何の対価もなしに渡されはしなかっただろう。			咆哮を響かせて							
……それでもなお城の封印を解き、恐ろしい妖精王と戦おうとする理由は、何だ……？			……それでもなお城の封印を解き、恐ろしい妖精王と戦おうとする理由は、何だ……？			咆哮を響かせて							
何と言う？			何と言う？			咆哮を響かせて							
この世界を救いたいから			この世界を救いたいから			咆哮を響かせて							
仲間に、戦うと誓ったから			仲間に、戦うと誓ったから			咆哮を響かせて							
強敵にこそ挑んでみたいから			強敵にこそ挑んでみたいから			咆哮を響かせて							
………………！			………………！			咆哮を響かせて							
そうか……こんな偶然も……あるものなのか……。			そうか……こんな偶然も……あるものなのか……。			咆哮を響かせて							
なら、キミがその言葉にふさわしい力を持つのか、実力を試させてもらおう……。力があると証明できたら、「水晶の靴」を渡すことを考えるよ。			なら、キミがその言葉にふさわしい力を持つのか、実力を試させてもらおう……。力があると証明できたら、「水晶の靴」を渡すことを考えるよ。			咆哮を響かせて							
……近頃、この周辺に、はぐれの罪喰いが数匹やってくるようになったんだ。キミには、そいつらを倒してもらいたい。			……近頃、この周辺に、はぐれの罪喰いが数匹やってくるようになったんだ。キミには、そいつらを倒してもらいたい。			咆哮を響かせて							
そのためにはまず、連中をおびき寄せる必要があるが……それについては、私に案がある。昔、ヒトのトモダチと狩りをするときに、よくやった方法だ。			そのためにはまず、連中をおびき寄せる必要があるが……それについては、私に案がある。昔、ヒトのトモダチと狩りをするときに、よくやった方法だ。			咆哮を響かせて							
……では、戦いの支度を整えて、東の空き地にきてほしい。私は先に行っているよ。			……では、戦いの支度を整えて、東の空き地にきてほしい。私は先に行っているよ。			咆哮を響かせて							
セトが動いたようですね。……何卒、よろしくお願いいたします。			セトが動いたようですね。……何卒、よろしくお願いいたします。			咆哮を響かせて							
来たね……。戦いの準備は万全かい？			来たね……。戦いの準備は万全かい？			咆哮を響かせて							
罪喰いを呼び寄せるのには、私の鳴き声を使う。飢えた獣なら弱った声で、縄張りを争うような相手なら、威圧的な声で呼び寄せる……というのが狩りの定石だった。			罪喰いを呼び寄せるのには、私の鳴き声を使う。飢えた獣なら弱った声で、縄張りを争うような相手なら、威圧的な声で呼び寄せる……というのが狩りの定石だった。			咆哮を響かせて							
さあ、さっそくはじめよう……。キミが開始の合図をくれたら、連中を呼び寄せるよ……！			さあ、さっそくはじめよう……。キミが開始の合図をくれたら、連中を呼び寄せるよ……！			咆哮を響かせて							
わかった、いくよ……ッ！			わかった、いくよ……ッ！			咆哮を響かせて							
おつかれさま。……参ったね、揚げ足を取ることもできないくらい、完璧な勝利だったよ。			おつかれさま。……参ったね、揚げ足を取ることもできないくらい、完璧な勝利だったよ。			咆哮を響かせて							
ひとまず、ヴォレクドルフに戻ろう。話の続きは、そのあとで……。			ひとまず、ヴォレクドルフに戻ろう。話の続きは、そのあとで……。			咆哮を響かせて							
聞いたぞ、お前の方で、セトに話をつけてくれているのだとか。すまないが、どうにか頼んだ。……俺の世辞が胡散臭くなるのは、お前も知ってるだろ。			聞いたぞ、お前の方で、セトに話をつけてくれているのだとか。すまないが、どうにか頼んだ。……俺の世辞が胡散臭くなるのは、お前も知ってるだろ。			咆哮を響かせて							
アマロの大きな鳴き声が聞こえましたが……大丈夫ですか……？			アマロの大きな鳴き声が聞こえましたが……大丈夫ですか……？			咆哮を響かせて							
改めて、キミの素晴らしい戦いぶりに称賛を。罪喰い相手でも一向にひるまないところを見ると、光に抗う力があるというのも、嘘ではなさそうだ……。			改めて、キミの素晴らしい戦いぶりに称賛を。罪喰い相手でも一向にひるまないところを見ると、光に抗う力があるというのも、嘘ではなさそうだ……。			咆哮を響かせて							
それを踏まえて、少し考える時間がほしい。そして、キミにももうひとつ、頼みたいことがあるんだ。			それを踏まえて、少し考える時間がほしい。そして、キミにももうひとつ、頼みたいことがあるんだ。			咆哮を響かせて							
ヴォレクドルフのセトは、冒険者に頼みたいことがあるようだ。			ヴォレクドルフのセトは、冒険者に頼みたいことがあるようだ。			セトのトモダチ							
黄金色のメダルを探す			黄金色のメダルを探す			セトのトモダチ							
セトに黄金色のメダルを渡す			セトに黄金色のメダルを渡す			セトのトモダチ							
聞いたぞ、お前の方で、セトに話をつけてくれているのだとか。すまないが、どうにか頼んだ。……俺の世辞が胡散臭くなるのは、お前も知ってるだろ。			聞いたぞ、お前の方で、セトに話をつけてくれているのだとか。すまないが、どうにか頼んだ。……俺の世辞が胡散臭くなるのは、お前も知ってるだろ。			セトのトモダチ							
アマロの大きな鳴き声が聞こえましたが……大丈夫ですか……？			アマロの大きな鳴き声が聞こえましたが……大丈夫ですか……？			セトのトモダチ							
セトが動いたようですね。……何卒、よろしくお願いいたします。			セトが動いたようですね。……何卒、よろしくお願いいたします。			セトのトモダチ							
これは、キミの力量を見るための試練じゃない。とても個人的な願いなのだけれど……よければ聞いてほしい。			これは、キミの力量を見るための試練じゃない。とても個人的な願いなのだけれど……よければ聞いてほしい。			セトのトモダチ							
私は以前、この地に入り込んできた罪喰いと戦ったときに、宝物の「黄金色のメダル」を落としてしまった。それも、運悪く「姿見の湖」の上でね……。			私は以前、この地に入り込んできた罪喰いと戦ったときに、宝物の「黄金色のメダル」を落としてしまった。それも、運悪く「姿見の湖」の上でね……。			セトのトモダチ							
私も仲間たちも、水中深くには潜れないし、フーア族に頼んだりすれば、おもしろがって、余計に隠されてしまうかもしれない。			私も仲間たちも、水中深くには潜れないし、フーア族に頼んだりすれば、おもしろがって、余計に隠されてしまうかもしれない。			セトのトモダチ							
それで、諦めていたのだけれど……キミならあれを見つけられるのではないかと、なんとなく……そう思ったんだ。			それで、諦めていたのだけれど……キミならあれを見つけられるのではないかと、なんとなく……そう思ったんだ。			セトのトモダチ							
だから、私が宝についての決断をする間に、湖底で「黄金色のメダル」を探してきてはくれないかい……？無理しない程度でいい、縁がなければ、それはそれで……。			だから、私が宝についての決断をする間に、湖底で「黄金色のメダル」を探してきてはくれないかい……？無理しない程度でいい、縁がなければ、それはそれで……。			セトのトモダチ							
「黄金色のメダル」を落としたのは、湖の北西あたりだったと思う。無理はしない程度に……頼んだよ。			「黄金色のメダル」を落としたのは、湖の北西あたりだったと思う。無理はしない程度に……頼んだよ。			セトのトモダチ							
探しているメダルではないようだ……。			探しているメダルではないようだ……。			セトのトモダチ							
ああ、おかえりなさい。ごめんね、濡れてしまっただろう。			ああ、おかえりなさい。ごめんね、濡れてしまっただろう。			セトのトモダチ							
……それで、メダルはどうだったかな。			……それで、メダルはどうだったかな。			セトのトモダチ							
ヴォレクドルフのセトは、冒険者を思いやっているようだ。			ヴォレクドルフのセトは、冒険者を思いやっているようだ。			アクトラ・オルワ・イン							
セトから、城への道を聞いた。イル・メグのリェー・ギア城にある「リェー・ギア城の扉」を調べよう。			セトから、城への道を聞いた。イル・メグのリェー・ギア城にある「リェー・ギア城の扉」を調べよう。			アクトラ・オルワ・イン							
リェー・ギア城の扉の封印が解かれた。城内で待ち受ける、大罪喰いとなった妖精王「ティターニア」を討伐しよう！※コンテンツファインダーから攻略に参加できます。			リェー・ギア城の扉の封印が解かれた。城内で待ち受ける、大罪喰いとなった妖精王「ティターニア」を討伐しよう！※コンテンツファインダーから攻略に参加できます。			アクトラ・オルワ・イン							
ティターニアを倒したことで、イル・メグに夜の闇が戻った。リェー・ギア城を出よう。			ティターニアを倒したことで、イル・メグに夜の闇が戻った。リェー・ギア城を出よう。			アクトラ・オルワ・イン							
新たなティターニアや、妖精たちとともに、ユールモア軍を蹴散らした。イル・メグのリダ・ラーンにいる「ウリエンジェ」と話そう。			新たなティターニアや、妖精たちとともに、ユールモア軍を蹴散らした。イル・メグのリダ・ラーンにいる「ウリエンジェ」と話そう。			アクトラ・オルワ・イン							
ウリエンジェから労われた。こうして、第一世界の正常化に向けて、また一歩前進した闇の戦士たち。気ままな妖精たちとの間に芽生えた絆も、いずれは一行の力となるだろう……多分、きっと、恐らくは。			ウリエンジェから労われた。こうして、第一世界の正常化に向けて、また一歩前進した闇の戦士たち。気ままな妖精たちとの間に芽生えた絆も、いずれは一行の力となるだろう……多分、きっと、恐らくは。			アクトラ・オルワ・イン							
リェー・ギア城の扉を調べる			リェー・ギア城の扉を調べる			アクトラ・オルワ・イン							
大罪喰い「ティターニア」を討伐			大罪喰い「ティターニア」を討伐			アクトラ・オルワ・イン							
ウリエンジェと話す			ウリエンジェと話す			アクトラ・オルワ・イン							
すまないね、私が時間をとらせたから、何か、差し迫った事態になってしまったようだ。			すまないね、私が時間をとらせたから、何か、差し迫った事態になってしまったようだ。			アクトラ・オルワ・イン							
こちらはもう、大丈夫。信じて宝を託したのだから……キミが無事に帰ることも、もちろん信じているよ。			こちらはもう、大丈夫。信じて宝を託したのだから……キミが無事に帰ることも、もちろん信じているよ。			アクトラ・オルワ・イン							
さあ、お行き。ここから南に下ると、城へと続く橋がかかっている。4つの宝によって、封じられた扉も開くはずだ。			さあ、お行き。ここから南に下ると、城へと続く橋がかかっている。4つの宝によって、封じられた扉も開くはずだ。			アクトラ・オルワ・イン							
アルバートには、ついぞ言葉で言えなかったことだけれど……どうか、無事で……キミの勝利を願っているよ。			アルバートには、ついぞ言葉で言えなかったことだけれど……どうか、無事で……キミの勝利を願っているよ。			アクトラ・オルワ・イン							
大丈夫、その扉の封印は、もう解かれているわ。あなたが4つの宝を持ってきたことを、ちゃんとわかっているみたい。			大丈夫、その扉の封印は、もう解かれているわ。あなたが4つの宝を持ってきたことを、ちゃんとわかっているみたい。			アクトラ・オルワ・イン							
あとは、覚悟を持って開き、勇気をもって飛び込めばいい。注意してね……知性を失った妖精王は、すぐに襲い掛かってくるでしょうから……。			あとは、覚悟を持って開き、勇気をもって飛び込めばいい。注意してね……知性を失った妖精王は、すぐに襲い掛かってくるでしょうから……。			アクトラ・オルワ・イン							
……あなたの力で、それを打ち破って、私たちの王を、還してあげてほしいのだわ。			……あなたの力で、それを打ち破って、私たちの王を、還してあげてほしいのだわ。			アクトラ・オルワ・イン							
ねえ、かわいい若木。妖精の世界は、ヒトの世界ほど、複雑ではないわ。			ねえ、かわいい若木。妖精の世界は、ヒトの世界ほど、複雑ではないわ。			アクトラ・オルワ・イン							
奪った分だけ与え、失くした分だけ作り、常に同じだけの価値が巡りつづけている……。			奪った分だけ与え、失くした分だけ作り、常に同じだけの価値が巡りつづけている……。			アクトラ・オルワ・イン							
当然、あなたが奪えば、同じだけ求められることになるでしょう。			当然、あなたが奪えば、同じだけ求められることになるでしょう。			アクトラ・オルワ・イン							
けれど、安心して……あなたには、いつだって、この美しい枝がついているのだわ。			けれど、安心して……あなたには、いつだって、この美しい枝がついているのだわ。			アクトラ・オルワ・イン							
ユールモア軍の足止めが、ギリギリ間に合ったようでよかったよ。ランジート将軍、いつかは彼と戦うことになるのだろうか……。			ユールモア軍の足止めが、ギリギリ間に合ったようでよかったよ。ランジート将軍、いつかは彼と戦うことになるのだろうか……。			アクトラ・オルワ・イン							
フェオのこと……正直、見直したわ。いくら大罪喰いを倒しても、あなたが妖精になっちゃったら、みんなで途方に暮れていたもの！			フェオのこと……正直、見直したわ。いくら大罪喰いを倒しても、あなたが妖精になっちゃったら、みんなで途方に暮れていたもの！			アクトラ・オルワ・イン							
ひとまず、おつかれさまだ。一件落着ってところだが……俺はまた課題を突き付けられたよ。あのジジイと再戦するまでに、秘策の10や20、ほしいところだ。			ひとまず、おつかれさまだ。一件落着ってところだが……俺はまた課題を突き付けられたよ。あのジジイと再戦するまでに、秘策の10や20、ほしいところだ。			アクトラ・オルワ・イン							
私も、もっともっと、強くならなきゃ……。ユールモア軍に負けないように……次は、一緒に戦えるように……！			私も、もっともっと、強くならなきゃ……。ユールモア軍に負けないように……次は、一緒に戦えるように……！			アクトラ・オルワ・イン							
もとは『狂い咲き』のフェオ＝ウルであれ、祝福を受けたときから、それはティターニア様になるわ。ああ、私たちの王が戻って来たのね！			もとは『狂い咲き』のフェオ＝ウルであれ、祝福を受けたときから、それはティターニア様になるわ。ああ、私たちの王が戻って来たのね！			アクトラ・オルワ・イン							
私を握り潰そうとした、あのお爺さん……どこかでまた出会ったら、私に代わって仕返ししておいてね！			私を握り潰そうとした、あのお爺さん……どこかでまた出会ったら、私に代わって仕返ししておいてね！			アクトラ・オルワ・イン							
あははは！なんて楽しい夜だったんだろう！逃げていくヒトたちの顔ったら！			あははは！なんて楽しい夜だったんだろう！逃げていくヒトたちの顔ったら！			アクトラ・オルワ・イン							
Forenameさん……。此度は、大罪喰いの討伐、本当におつかれさまでした。			Forenameさん……。此度は、大罪喰いの討伐、本当におつかれさまでした。			アクトラ・オルワ・イン							
新たにイル・メグ周辺に夜の闇を取り戻せたことは、第一世界の救済、ひいては第八霊災の阻止に向けての、大きな進展と言えましょう。			新たにイル・メグ周辺に夜の闇を取り戻せたことは、第一世界の救済、ひいては第八霊災の阻止に向けての、大きな進展と言えましょう。			アクトラ・オルワ・イン							
加えて、常には人と沿わずとも、新たなるティターニアを筆頭に、妖精たちとの絆を得た。これもまた、いずれ私たちの力となるかもしれません……。			加えて、常には人と沿わずとも、新たなるティターニアを筆頭に、妖精たちとの絆を得た。これもまた、いずれ私たちの力となるかもしれません……。			アクトラ・オルワ・イン							
私個人としても、白聖石を造る傍らで得た妖精の知識が、多少なりあなたの役に立てたのであれば、恐悦至極……。まさに、我々の大勝利……ですね。			私個人としても、白聖石を造る傍らで得た妖精の知識が、多少なりあなたの役に立てたのであれば、恐悦至極……。まさに、我々の大勝利……ですね。			アクトラ・オルワ・イン							
リダ・ラーンのサンクレッドは、伝えたいことがあるようだ。			リダ・ラーンのサンクレッドは、伝えたいことがあるようだ。			運命はまた廻る							
クリスタリウムのアリゼーと話す			クリスタリウムのアリゼーと話す			運命はまた廻る							
アリゼーと話す			アリゼーと話す			運命はまた廻る							
ペンダント居住館の管理人と話す			ペンダント居住館の管理人と話す			運命はまた廻る							
ユールモア軍の足止めが、ギリギリ間に合ったようでよかったよ。ランジート将軍、いつかは彼と戦うことになるのだろうか……。			ユールモア軍の足止めが、ギリギリ間に合ったようでよかったよ。ランジート将軍、いつかは彼と戦うことになるのだろうか……。			運命はまた廻る							
フェオのこと……正直、見直したわ。いくら大罪喰いを倒しても、あなたが妖精になっちゃったら、みんなで途方に暮れていたもの！			フェオのこと……正直、見直したわ。いくら大罪喰いを倒しても、あなたが妖精になっちゃったら、みんなで途方に暮れていたもの！			運命はまた廻る							
私も、もっともっと、強くならなきゃ……。ユールモア軍に負けないように……次は、一緒に戦えるように……！			私も、もっともっと、強くならなきゃ……。ユールモア軍に負けないように……次は、一緒に戦えるように……！			運命はまた廻る							
イル・メグでの戦いは終われど、真なる終結はまだ先に……。無論、私も引き続き、同行させていただきます。			イル・メグでの戦いは終われど、真なる終結はまだ先に……。無論、私も引き続き、同行させていただきます。			運命はまた廻る							
俺からも……本当におつかれさまだ、Forename。光の加護があるからってだけじゃない、お前自身の強さがあってこその勝利だ……さすがだよ。			俺からも……本当におつかれさまだ、Forename。光の加護があるからってだけじゃない、お前自身の強さがあってこその勝利だ……さすがだよ。			運命はまた廻る							
俺とミンフィリアも、このまま正式に、「闇の戦士」一行として合流させてくれ。			俺とミンフィリアも、このまま正式に、「闇の戦士」一行として合流させてくれ。			運命はまた廻る							
ふたつの世界を救うために、そして、俺は俺の役目に決着をつけるために……一緒に戦わせてほしい。			ふたつの世界を救うために、そして、俺は俺の役目に決着をつけるために……一緒に戦わせてほしい。			運命はまた廻る							
……ありがとな。そうと決まれば、とっととクリスタリウムに戻るとしよう。			……ありがとな。そうと決まれば、とっととクリスタリウムに戻るとしよう。			運命はまた廻る							
ユールモア軍が俺たちを追ってきたということは、クリスタリウムとの戦いを保留にしたか、早急に決着がついてしまったかだ。			ユールモア軍が俺たちを追ってきたということは、クリスタリウムとの戦いを保留にしたか、早急に決着がついてしまったかだ。			運命はまた廻る							
あの街にかぎって後者はないだろうが、状況は気になる。それに、いつまでもここに突っ立っていたら、活気づいた妖精たちに、またイタズラされかねないからな。			あの街にかぎって後者はないだろうが、状況は気になる。それに、いつまでもここに突っ立っていたら、活気づいた妖精たちに、またイタズラされかねないからな。			運命はまた廻る							
さて、街の様子はどうだろうか……。			さて、街の様子はどうだろうか……。			運命はまた廻る							
