バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			シャーレアン魔法大学							
いつになく、おふたりの口が重いようですね……。よほどの事態に見舞われたのだと、お見受けします。			いつになく、おふたりの口が重いようですね……。よほどの事態に見舞われたのだと、お見受けします。			凍れる拒絶							
ふたりから、エブラーナ氷原での生存者捜索を終えたと聞いた。そして、何か大事な報告があるとも……。			ふたりから、エブラーナ氷原での生存者捜索を終えたと聞いた。そして、何か大事な報告があるとも……。			凍れる拒絶							
聞かせてもらっていいだろうか？			聞かせてもらっていいだろうか？			凍れる拒絶							
君まで巻き込むような形になって、すまない。でも……ありがとう。			君まで巻き込むような形になって、すまない。でも……ありがとう。			凍れる拒絶							
挽回しようってわけじゃないわ。……そんなことしても、リキニアたちが戻って来るわけじゃないもの。			挽回しようってわけじゃないわ。……そんなことしても、リキニアたちが戻って来るわけじゃないもの。			凍れる拒絶							
けど、私は確かに悲しくて、悔しかった……。だからこそ、機会をもらえるなら、もう一度ガレアンの人々と向き合いたいの。			けど、私は確かに悲しくて、悔しかった……。だからこそ、機会をもらえるなら、もう一度ガレアンの人々と向き合いたいの。			凍れる拒絶							
アルフィノとアリゼーのこと、よろしく頼んだわよ。それから、あなた自身の身も……彼らを護るのと同じくらい、大切になさい。			アルフィノとアリゼーのこと、よろしく頼んだわよ。それから、あなた自身の身も……彼らを護るのと同じくらい、大切になさい。			凍れる拒絶							
……別に、止めたりはしないよ。むしろ君たちに、ちょっと感心してるくらいだ。			……別に、止めたりはしないよ。むしろ君たちに、ちょっと感心してるくらいだ。			凍れる拒絶							
ただ、激励には期待しないで。僕は僕の役目を果たす……テンパードたちを治す……それに勝る言葉なんて、見つかりそうもないからね。			ただ、激励には期待しないで。僕は僕の役目を果たす……テンパードたちを治す……それに勝る言葉なんて、見つかりそうもないからね。			凍れる拒絶							
ユルス・ピル・ノルバヌス……「ピル」は下級士官に与えられる称号です。かなりお若いようにお見受けするので、優秀な方なのでしょう。			ユルス・ピル・ノルバヌス……「ピル」は下級士官に与えられる称号です。かなりお若いようにお見受けするので、優秀な方なのでしょう。			凍れる拒絶							
加えて、あの黒いコートは、第I軍団のもの。彼の「上官」は、かなり高い階級を持つ方かもしれません。くれぐれも……お気をつけて。			加えて、あの黒いコートは、第I軍団のもの。彼の「上官」は、かなり高い階級を持つ方かもしれません。くれぐれも……お気をつけて。			凍れる拒絶							
彼、派遣団の荷物を持ち出す前だったので、お腹とか、まだ空いていると思うんです……。			彼、派遣団の荷物を持ち出す前だったので、お腹とか、まだ空いていると思うんです……。			凍れる拒絶							
何かお持ちした方がいいでしょうか。でも、食べてもらえないかな……。			何かお持ちした方がいいでしょうか。でも、食べてもらえないかな……。			凍れる拒絶							
……たとえ番兵のような仕事であれ、承諾したからには、人並み以上にやり遂げる。それが長兄たる者の責務だ。			……たとえ番兵のような仕事であれ、承諾したからには、人並み以上にやり遂げる。それが長兄たる者の責務だ。			凍れる拒絶							
出発するぞ、早く準備をしろ……。			出発するぞ、早く準備をしろ……。			凍れる拒絶							
志願してくれたとはいえ、貴公らに危険な任務を任せてすまない。			志願してくれたとはいえ、貴公らに危険な任務を任せてすまない。			凍れる拒絶							
彼の上官殿との話がどうなるにせよ、貴公らが無事にここへ戻ってこられることを、まず第一に考えてほしい。			彼の上官殿との話がどうなるにせよ、貴公らが無事にここへ戻ってこられることを、まず第一に考えてほしい。			凍れる拒絶							
君たちが長く戻らないようなことがあれば、「サンクレッド殿たちも心配する」だろう。道中も含めて、気をつけてくれ。			君たちが長く戻らないようなことがあれば、「サンクレッド殿たちも心配する」だろう。道中も含めて、気をつけてくれ。			凍れる拒絶							
「サンクレッド殿たち」は、私が言い含めておこう。それについては「心配せずに」行ってくるといい。			「サンクレッド殿たち」は、私が言い含めておこう。それについては「心配せずに」行ってくるといい。			凍れる拒絶							
……じゃあ、行くぞ。そっちの子どもも、準備はいいな。			……じゃあ、行くぞ。そっちの子どもも、準備はいいな。			凍れる拒絶							
道順は、あとで話す。ひとまずは黙って、敷地の外に出ろ。			道順は、あとで話す。ひとまずは黙って、敷地の外に出ろ。			凍れる拒絶							
ほかの奴が追ってくることは許さない。その約束が破られた場合は、敵対の意志ありとみなし、しかるべき対処をさせていただく。			ほかの奴が追ってくることは許さない。その約束が破られた場合は、敵対の意志ありとみなし、しかるべき対処をさせていただく。			凍れる拒絶							
承知した。このキャンプにいる者が、貴公らを追跡することはない。良き対話が果たされることを願っている。			承知した。このキャンプにいる者が、貴公らを追跡することはない。良き対話が果たされることを願っている。			凍れる拒絶							
進み方は、ユルス殿の指示に従おう。何としてでも、彼らの拠点に連れていってもらいたいからね。			進み方は、ユルス殿の指示に従おう。何としてでも、彼らの拠点に連れていってもらいたいからね。			凍れる拒絶							
いったいどこへ向かうのかしら。湖の方には、ほかに人が住んでいそうなところなんて、なかったように思うけど……。			いったいどこへ向かうのかしら。湖の方には、ほかに人が住んでいそうなところなんて、なかったように思うけど……。			凍れる拒絶							
……来たな。これより、俺たちの拠点に向けて出発する。			……来たな。これより、俺たちの拠点に向けて出発する。			凍れる拒絶							
まずは北東に直進、この丘を下る。街道に合流するから、しばらくは沿って進め。「第IV市外駅」まで行くんだ。			まずは北東に直進、この丘を下る。街道に合流するから、しばらくは沿って進め。「第IV市外駅」まで行くんだ。			凍れる拒絶							
先頭はお前たちふたり……			先頭はお前たちふたり……			凍れる拒絶							
私がアリゼー、隣はアルフィノよ。それから、彼女彼がForename。			私がアリゼー、隣はアルフィノよ。それから、彼女彼がForename。			凍れる拒絶							
Forename……？どこかで聞いた覚えがあるような……。			Forename……？どこかで聞いた覚えがあるような……。			凍れる拒絶							
まあいい。とにかくアリゼーとアルフィノが前を行き、俺とお前が、そのうしろをついていく。			まあいい。とにかくアリゼーとアルフィノが前を行き、俺とお前が、そのうしろをついていく。			凍れる拒絶							
「第IV市外駅」までは、休まずに走れ。道中で武器を抜くのも禁止だ。徘徊する獣は避けて進むように。			「第IV市外駅」までは、休まずに走れ。道中で武器を抜くのも禁止だ。徘徊する獣は避けて進むように。			凍れる拒絶							
質問はないな？「第IV市外駅」に向けて、出発するぞ。			質問はないな？「第IV市外駅」に向けて、出発するぞ。			凍れる拒絶							
出発しますか？			出発しますか？			凍れる拒絶							
まずは北東に直進、この丘を下る。街道に合流するから、しばらくは沿って進め。「第IV市外駅」まで行くんだ。			まずは北東に直進、この丘を下る。街道に合流するから、しばらくは沿って進め。「第IV市外駅」まで行くんだ。			凍れる拒絶							
準備ができたら、また駅に向けて出発しよう。まずはユルス殿に声をかけてみてくれ。			準備ができたら、また駅に向けて出発しよう。まずはユルス殿に声をかけてみてくれ。			凍れる拒絶							
私はいつでも準備万端だけど……ユルスは大丈夫かしら？			私はいつでも準備万端だけど……ユルスは大丈夫かしら？			凍れる拒絶							
では、「第IV市外駅」に向かって出発するよ。			では、「第IV市外駅」に向かって出発するよ。			凍れる拒絶							
了解、行くわよ！			了解、行くわよ！			凍れる拒絶							
ザナラーンの駅舎とは、また違った様式だね。			ザナラーンの駅舎とは、また違った様式だね。			凍れる拒絶							
到着……！ここで合ってるかしら？			到着……！ここで合ってるかしら？			凍れる拒絶							
何をする？			何をする？			凍れる拒絶							
話す			話す			凍れる拒絶							
同行状態を解除する			同行状態を解除する			凍れる拒絶							
キャンセル			キャンセル			凍れる拒絶							
無駄話をしてる場合か。とっとと「第IV市外駅」に向かうぞ。			無駄話をしてる場合か。とっとと「第IV市外駅」に向かうぞ。			凍れる拒絶							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			凍れる拒絶							
非常事態か？仕方ない……もとの場所で待機する。			非常事態か？仕方ない……もとの場所で待機する。			凍れる拒絶							
……まさか、追手を待つために、あえてグズグズしてるんじゃないだろうな。違うというなら、迅速に行動しろ。			……まさか、追手を待つために、あえてグズグズしてるんじゃないだろうな。違うというなら、迅速に行動しろ。			凍れる拒絶							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			凍れる拒絶							
アルフィノとアリゼーが、指示どおりの行動をとっていないようだな。まったく……出直すぞ。			アルフィノとアリゼーが、指示どおりの行動をとっていないようだな。まったく……出直すぞ。			凍れる拒絶							
キャンプ・ブロークングラス付近に戻っている、アルフィノかアリゼーに話しかけ、「先導」を再開させてください。			キャンプ・ブロークングラス付近に戻っている、アルフィノかアリゼーに話しかけ、「先導」を再開させてください。			凍れる拒絶							
よし、ここが「第IV市外駅」だ。少し待っていろ。			よし、ここが「第IV市外駅」だ。少し待っていろ。			凍れる拒絶							
追手は…………約束どおり、誰も来ていないようだな。			追手は…………約束どおり、誰も来ていないようだな。			凍れる拒絶							
この駅が、君たちの拠点なのかい？			この駅が、君たちの拠点なのかい？			凍れる拒絶							
ここはまだ通過地点だ。お前たちの仲間がついてきていないことは確認できた、さらに先へ進むぞ。			ここはまだ通過地点だ。お前たちの仲間がついてきていないことは確認できた、さらに先へ進むぞ。			凍れる拒絶							
ここから見上げると、魔導城跡の建造物が、さらに巨大に感じるね。あそこには、いったい何が……。			ここから見上げると、魔導城跡の建造物が、さらに巨大に感じるね。あそこには、いったい何が……。			凍れる拒絶							
ユルスたちの拠点は、どんな場所なんでしょうね。「臣の褒賞」と同じように、無事な建物があったのかしら。			ユルスたちの拠点は、どんな場所なんでしょうね。「臣の褒賞」と同じように、無事な建物があったのかしら。			凍れる拒絶							
……概ね、この駅より北が、「ガレアン・ドモルム区」になる。市街地の外縁にあたる場所だ。			……概ね、この駅より北が、「ガレアン・ドモルム区」になる。市街地の外縁にあたる場所だ。			凍れる拒絶							
このあたりになると、精神汚染を受けた連中も徘徊している。道中、気を緩めるんじゃないぞ。			このあたりになると、精神汚染を受けた連中も徘徊している。道中、気を緩めるんじゃないぞ。			凍れる拒絶							
第IV市外駅のユルスは、周囲を警戒している。			第IV市外駅のユルスは、周囲を警戒している。			廃線の先に							
ユルスに合流し魅了された帝国兵を討伐			ユルスに合流し魅了された帝国兵を討伐			廃線の先に							
ユルスと話す			ユルスと話す			廃線の先に							
ユルスに合流し魅了された帝国兵を討伐			ユルスに合流し魅了された帝国兵を討伐			廃線の先に							
ユルスと話す			ユルスと話す			廃線の先に							
ユルスに合流			ユルスに合流			廃線の先に							
ユルスに合流し魅了された帝国兵を討伐			ユルスに合流し魅了された帝国兵を討伐			廃線の先に							
ユルスと話す			ユルスと話す			廃線の先に							
ユルスと再度話す			ユルスと再度話す			廃線の先に							
ユルスとさらに話す			ユルスとさらに話す			廃線の先に							
アルフィノと話す			アルフィノと話す			廃線の先に							
ユルスと話す			ユルスと話す			廃線の先に							
ここから見上げると、魔導城跡の建造物が、さらに巨大に感じるね。あそこには、いったい何が……。			ここから見上げると、魔導城跡の建造物が、さらに巨大に感じるね。あそこには、いったい何が……。			廃線の先に							
ユルスたちの拠点は、どんな場所なんでしょうね。「臣の褒賞」と同じように、無事な建物があったのかしら。			ユルスたちの拠点は、どんな場所なんでしょうね。「臣の褒賞」と同じように、無事な建物があったのかしら。			廃線の先に							
では、この先の経路を説明する。ここからは、北東の方角へ、線路を右手に見ながら進むんだ。			では、この先の経路を説明する。ここからは、北東の方角へ、線路を右手に見ながら進むんだ。			廃線の先に							
道のり自体は単純だが、さっきも言ったとおり、精神汚染を受けた連中に襲撃される可能性がある。			道のり自体は単純だが、さっきも言ったとおり、精神汚染を受けた連中に襲撃される可能性がある。			廃線の先に							
やはり……ガレアンである君でも、彼らに襲われるのかい？			やはり……ガレアンである君でも、彼らに襲われるのかい？			廃線の先に							
あいつらが判断できるのは、同じく心を失くした「同類」か「それ以外」かだけだ。後者なら、誰であろうが容赦はしない……。			あいつらが判断できるのは、同じく心を失くした「同類」か「それ以外」かだけだ。後者なら、誰であろうが容赦はしない……。			廃線の先に							
よって、俺たちは連中を排除しながら進む必要がある。だが、Forename、戦うのはお前だけだ。あとのふたりは、武器に触れるな。			よって、俺たちは連中を排除しながら進む必要がある。だが、Forename、戦うのはお前だけだ。あとのふたりは、武器に触れるな。			廃線の先に							
聞けないのであれば、拠点には連れていかない。俺が、お前たちに殺されるような事態になるとしてもな。……わかったなら、行くぞ。			聞けないのであれば、拠点には連れていかない。俺が、お前たちに殺されるような事態になるとしてもな。……わかったなら、行くぞ。			廃線の先に							
我らが…帝国…			我らが…帝国…			廃線の先に							
異にする者は排せよ…			異にする者は排せよ…			廃線の先に							
Forename、大丈夫かい……！？			Forename、大丈夫かい……！？			廃線の先に							
ああもう、見てるだけなんて……ッ！			ああもう、見てるだけなんて……ッ！			廃線の先に							
なるほど、代表者として選ばれるだけあって、腕は相当立つようだな。この先も、滞りなく進めそうだ。			なるほど、代表者として選ばれるだけあって、腕は相当立つようだな。この先も、滞りなく進めそうだ。			廃線の先に							
ユルス殿。派遣団には、彼らの状態を……テンパード化を治療する準備もある。			ユルス殿。派遣団には、彼らの状態を……テンパード化を治療する準備もある。			廃線の先に							
時間はかかるかもしれないが、倒さずに保護すれば、いずれはもとに戻せるはずだ……！			時間はかかるかもしれないが、倒さずに保護すれば、いずれはもとに戻せるはずだ……！			廃線の先に							
どうだかな。治療と謳っておきながら、実際は、お前たちによる洗脳かもしれないだろう。			どうだかな。治療と謳っておきながら、実際は、お前たちによる洗脳かもしれないだろう。			廃線の先に							
……それに、あいつらはもう、俺たちの同胞じゃない。帝都を破壊し、国の再建を阻むような連中は、とっくにガレアンじゃないんだ。			……それに、あいつらはもう、俺たちの同胞じゃない。帝都を破壊し、国の再建を阻むような連中は、とっくにガレアンじゃないんだ。			廃線の先に							
そう割り切れなかった奴は死んだ……。お前たちも、生きて交渉の席に着きたいなら甘い考えは捨てろ。……行くぞ。			そう割り切れなかった奴は死んだ……。お前たちも、生きて交渉の席に着きたいなら甘い考えは捨てろ。……行くぞ。			廃線の先に							
皇帝陛下に…栄光あれ…			皇帝陛下に…栄光あれ…			廃線の先に							
………………。			………………。			廃線の先に							
ありがとう……。任せることしかできなくて、ごめんなさい……。			ありがとう……。任せることしかできなくて、ごめんなさい……。			廃線の先に							
安全は確保できたな。このまま、線路の内側を進むぞ。			安全は確保できたな。このまま、線路の内側を進むぞ。			廃線の先に							
……今ここで彼を諭そうとしても、衝突するだけだろう。一刻も早く、彼の上官のところに行こう。それまで……もう誰も襲ってこないことを願うよ。			……今ここで彼を諭そうとしても、衝突するだけだろう。一刻も早く、彼の上官のところに行こう。それまで……もう誰も襲ってこないことを願うよ。			廃線の先に							
新しく襲ってきたテンパードを、ユルスが倒してくれたのよ……。			新しく襲ってきたテンパードを、ユルスが倒してくれたのよ……。			廃線の先に							
今度は俺が倒しておいた。……別に、何も不都合はないだろう。			今度は俺が倒しておいた。……別に、何も不都合はないだろう。			廃線の先に							
この先は線路が大きく曲がる。俺たちも、それに沿って移動するんだ。			この先は線路が大きく曲がる。俺たちも、それに沿って移動するんだ。			廃線の先に							
アァェ…			アァェ…			廃線の先に							
グ…ウゥ…			グ…ウゥ…			廃線の先に							
あの状態、まさか……！			あの状態、まさか……！			廃線の先に							
今のも、もとは普通の人……よね……？			今のも、もとは普通の人……よね……？			廃線の先に							
見ただろ……。今のが精神汚染を受けた連中の、なれの果てだ。お前たちは、あんな化け物でも、もとに戻せるっていうのか？			見ただろ……。今のが精神汚染を受けた連中の、なれの果てだ。お前たちは、あんな化け物でも、もとに戻せるっていうのか？			廃線の先に							
……蛮神問題においても、身体の許容量を超えたエーテル放射を受けた信徒が、変化を遂げたという事例があった。			……蛮神問題においても、身体の許容量を超えたエーテル放射を受けた信徒が、変化を遂げたという事例があった。			廃線の先に							
私たちの治療法では、その段階にまで至ってしまった者は……治せない。			私たちの治療法では、その段階にまで至ってしまった者は……治せない。			廃線の先に							
……だろうな。そういう連中が跋扈してる、それが帝都の現状だ。軽々しく、救えるなんて口にするな。			……だろうな。そういう連中が跋扈してる、それが帝都の現状だ。軽々しく、救えるなんて口にするな。			廃線の先に							
ここまで護ってくれて、ありがとう。不甲斐なさが身に染みるよ……いろいろな面でね……。			ここまで護ってくれて、ありがとう。不甲斐なさが身に染みるよ……いろいろな面でね……。			廃線の先に							
街外れみたいだけど、それでも見事ね。建物はどれも力強くて、堅牢そうで……これが彼らの帝都なのね……。			街外れみたいだけど、それでも見事ね。建物はどれも力強くて、堅牢そうで……これが彼らの帝都なのね……。			廃線の先に							
ここまでくれば、俺たちの拠点は目と鼻の先だ。			ここまでくれば、俺たちの拠点は目と鼻の先だ。			廃線の先に							
……お前たちは、ここまですべての約束を守った。よって、こちらも約束どおりに上官のもとに案内する。ついてこい。			……お前たちは、ここまですべての約束を守った。よって、こちらも約束どおりに上官のもとに案内する。ついてこい。			廃線の先に							
かなり広いが、しかし……。			かなり広いが、しかし……。			廃線の先に							
この下が「テルティウム駅」。以前は、名前のとおり駅として使われていたが、今は俺たちの拠点になってる。			この下が「テルティウム駅」。以前は、名前のとおり駅として使われていたが、今は俺たちの拠点になってる。			廃線の先に							
あのふたりは、先に下りている。俺は最後に行くから、お前も階段の下で待っていろ。			あのふたりは、先に下りている。俺は最後に行くから、お前も階段の下で待っていろ。			廃線の先に							
どうした、早く下り…………			どうした、早く下り…………			廃線の先に							
もしかして、地下にある駅を見たことがないのか？……ガレマルドでは一般的な交通機関だぞ。どれだけ雪が降っても、平気だからな。			もしかして、地下にある駅を見たことがないのか？……ガレマルドでは一般的な交通機関だぞ。どれだけ雪が降っても、平気だからな。			廃線の先に							
すごい……地上の駅より、ずっと大きいわ……！			すごい……地上の駅より、ずっと大きいわ……！			廃線の先に							
これが、彼らの拠点……「テルティウム駅」……！			これが、彼らの拠点……「テルティウム駅」……！			廃線の先に							
建物は立派だけど、生活はかなり苦しそうね……。			建物は立派だけど、生活はかなり苦しそうね……。			廃線の先に							
ああ……。ユルス殿が、派遣団の物資を持ち去ろうとしていたくらいだ。相当に困窮した状態なのだと思う。			ああ……。ユルス殿が、派遣団の物資を持ち去ろうとしていたくらいだ。相当に困窮した状態なのだと思う。			廃線の先に							
現に、ここもとても寒い。「臣の褒賞」と同じく、十分に暖をとれるだけの青燐水が、足りていないのかもしれないね……。			現に、ここもとても寒い。「臣の褒賞」と同じく、十分に暖をとれるだけの青燐水が、足りていないのかもしれないね……。			廃線の先に							
あまりじろじろ見るな。ここに帝都市民じゃない奴がいるとわかったら、騒ぎが起きかねないからな……。			あまりじろじろ見るな。ここに帝都市民じゃない奴がいるとわかったら、騒ぎが起きかねないからな……。			廃線の先に							
とにかくまずは、上官のところに連れていく。列車の中、先頭車両だ。			とにかくまずは、上官のところに連れていく。列車の中、先頭車両だ。			廃線の先に							
ここに来たいと言ったのは私たちだ。交渉は、どうか任せてほしい。			ここに来たいと言ったのは私たちだ。交渉は、どうか任せてほしい。			廃線の先に							
この人が……。いかにも歴戦の戦士だわ、かなり上位の軍人じゃないかしら。			この人が……。いかにも歴戦の戦士だわ、かなり上位の軍人じゃないかしら。			廃線の先に							
…………下がれ、この者と話している。			…………下がれ、この者と話している。			廃線の先に							
テルティウム駅のユルスは、険しい顔で冒険者たちを見ている。			テルティウム駅のユルスは、険しい顔で冒険者たちを見ている。			冷え切った灰色の駅							
テルティウム駅で情報収集			テルティウム駅で情報収集			冷え切った灰色の駅							
アルフィノと話す			アルフィノと話す			冷え切った灰色の駅							
フラウィウスを介抱			フラウィウスを介抱			冷え切った灰色の駅							
アルフィノと話す			アルフィノと話す			冷え切った灰色の駅							
ユルスと話す			ユルスと話す			冷え切った灰色の駅							
……私たちのことなら、本当に心配ないよ。これくらいで怯えて投げ出すくらいなら、ガレマルドに来るべきじゃなかったと、自分でも思うんだ。			……私たちのことなら、本当に心配ないよ。これくらいで怯えて投げ出すくらいなら、ガレマルドに来るべきじゃなかったと、自分でも思うんだ。			冷え切った灰色の駅							
この地に踏み入って、リキニアや、ここの人々に出会った……彼らに進んで干渉しようとした。首輪は、それに伴う責任を、見える形にしただけだ。			この地に踏み入って、リキニアや、ここの人々に出会った……彼らに進んで干渉しようとした。首輪は、それに伴う責任を、見える形にしただけだ。			冷え切った灰色の駅							
ああ、この装置、引っ張っちゃダメよ。簡単に外れそうに見えるけど、皮膚まで貫……			ああ、この装置、引っ張っちゃダメよ。簡単に外れそうに見えるけど、皮膚まで貫……			冷え切った灰色の駅							
……っと、なんでもないわ。ほら、この駅の人たちと話してみましょ！			……っと、なんでもないわ。ほら、この駅の人たちと話してみましょ！			冷え切った灰色の駅							
クイントゥス様の命により、お前たちを監視させてもらう。			クイントゥス様の命により、お前たちを監視させてもらう。			冷え切った灰色の駅							
先に言っておくが、俺は、首輪を解除するための鍵を預かっていない。力ずくで奪おうなどと考えても無駄だ。			先に言っておくが、俺は、首輪を解除するための鍵を預かっていない。力ずくで奪おうなどと考えても無駄だ。			冷え切った灰色の駅							
……で。お前たちは、本当にここの住民と話して回るつもりなのか？			……で。お前たちは、本当にここの住民と話して回るつもりなのか？			冷え切った灰色の駅							
クイントゥス殿にも許可はもらったからね。構わないかい？			クイントゥス殿にも許可はもらったからね。構わないかい？			冷え切った灰色の駅							
……わかった。テルティウム駅の中でのみ、自由に歩くことを許可する。			……わかった。テルティウム駅の中でのみ、自由に歩くことを許可する。			冷え切った灰色の駅							
ただし、住民と揉めたり、彼らをお前たちの仲間に引き入れたりしようとした場合、相応の処分を受けると思え。			ただし、住民と揉めたり、彼らをお前たちの仲間に引き入れたりしようとした場合、相応の処分を受けると思え。			冷え切った灰色の駅							
じゃあ、それぞれ駅の中を回ってきましょう。大丈夫よ、ここの人たちに、許可なく魔法は使わないわ。			じゃあ、それぞれ駅の中を回ってきましょう。大丈夫よ、ここの人たちに、許可なく魔法は使わないわ。			冷え切った灰色の駅							
お前の行動は制限しない。どこへ行くも、何をしゃべるも自由だ。			お前の行動は制限しない。どこへ行くも、何をしゃべるも自由だ。			冷え切った灰色の駅							
もっとも、それによってこちらが不利益を被れば……最悪、アルフィノとアリゼーが命で贖うことになる。それだけは忘れるな。			もっとも、それによってこちらが不利益を被れば……最悪、アルフィノとアリゼーが命で贖うことになる。それだけは忘れるな。			冷え切った灰色の駅							
大丈夫ですか。何か、私にできることはありませんか……？			大丈夫ですか。何か、私にできることはありませんか……？			冷え切った灰色の駅							
この人、顔が真っ青だわ。冷え切ってるし、食事もずっと摂ってないみたい。			この人、顔が真っ青だわ。冷え切ってるし、食事もずっと摂ってないみたい。			冷え切った灰色の駅							
食べ物は少ししか持ってきてないし、魔法は……。こういうとき、どうしたら……。			食べ物は少ししか持ってきてないし、魔法は……。こういうとき、どうしたら……。			冷え切った灰色の駅							
俺はここで、お前たちの動きを見張ってる。妙な気を起こすなよ。			俺はここで、お前たちの動きを見張ってる。妙な気を起こすなよ。			冷え切った灰色の駅							
…………さむ……い…………誰か……。			…………さむ……い…………誰か……。			冷え切った灰色の駅							
帝国兵らしき青年が、うなだれている。見るからに生気がなく、座っているのがやっとのようだ……。			帝国兵らしき青年が、うなだれている。見るからに生気がなく、座っているのがやっとのようだ……。			冷え切った灰色の駅							
………………。			………………。			冷え切った灰色の駅							
ん……お前、ユルスが連れてきてた奴か。そこのエーテライトには触るなよ。どうせ本来の用途じゃ使えないしな。			ん……お前、ユルスが連れてきてた奴か。そこのエーテライトには触るなよ。どうせ本来の用途じゃ使えないしな。			冷え切った灰色の駅							
帝都のエーテライトは、我が国の機工師たちが作ったものだ。ガレアン人が使いやすいよう、付属の魔導装置で転送を操作できるようになってるんだよ。			帝都のエーテライトは、我が国の機工師たちが作ったものだ。ガレアン人が使いやすいよう、付属の魔導装置で転送を操作できるようになってるんだよ。			冷え切った灰色の駅							
……が、今はその装置の動力を、生活用の機器にまわしてる。なもんで、転送装置としては使えないってわけだ。			……が、今はその装置の動力を、生活用の機器にまわしてる。なもんで、転送装置としては使えないってわけだ。			冷え切った灰色の駅							
エーテライトの動力をまわしても、駅の設備を、ちっとも満足に動かせやしねぇ。工兵としちゃ、歯がゆいところだぜ……。			エーテライトの動力をまわしても、駅の設備を、ちっとも満足に動かせやしねぇ。工兵としちゃ、歯がゆいところだぜ……。			冷え切った灰色の駅							
ッ……お前が「エオルゼアの英雄」か！よくもまあ、ここで平然としていられるものだな！			ッ……お前が「エオルゼアの英雄」か！よくもまあ、ここで平然としていられるものだな！			冷え切った灰色の駅							
これまでお前にやられてきた同胞たちの無念、今ここで俺が……！			これまでお前にやられてきた同胞たちの無念、今ここで俺が……！			冷え切った灰色の駅							
ぐぅっ……傷口が……っ……うっ……。			ぐぅっ……傷口が……っ……うっ……。			冷え切った灰色の駅							
クソ……なんでこんなときにお前と会っちまうんだ……。ここに集まってるのは、負傷兵ばかりなんだぞ……！			クソ……なんでこんなときにお前と会っちまうんだ……。ここに集まってるのは、負傷兵ばかりなんだぞ……！			冷え切った灰色の駅							
こんなことになる直前、我ら第I軍団と、第III軍団の間で衝突があった。軍団長同士が刃を交えることになった、一大決戦だ……。			こんなことになる直前、我ら第I軍団と、第III軍団の間で衝突があった。軍団長同士が刃を交えることになった、一大決戦だ……。			冷え切った灰色の駅							
ウェルギリアの奸計に陥り、クイントゥス様は負傷。同様に負傷した兵士たちとともに、第I軍団が野戦病院として使っていた屋敷に運び込まれた……。			ウェルギリアの奸計に陥り、クイントゥス様は負傷。同様に負傷した兵士たちとともに、第I軍団が野戦病院として使っていた屋敷に運び込まれた……。			冷え切った灰色の駅							
そこで、あの夜を迎えたんだ。同様に生き残った者を集めているうちに、屋敷にもあったラジオが、我々を護ったらしいと気がついた。			そこで、あの夜を迎えたんだ。同様に生き残った者を集めているうちに、屋敷にもあったラジオが、我々を護ったらしいと気がついた。			冷え切った灰色の駅							
惜しむらくは、精神汚染を免れたとしても、身体の傷は治りきっていないということだ……。			惜しむらくは、精神汚染を免れたとしても、身体の傷は治りきっていないということだ……。			冷え切った灰色の駅							
そうでなければ、こんな苦境に甘んじることも、お前を野放しにすることもなかっただろうに……！			そうでなければ、こんな苦境に甘んじることも、お前を野放しにすることもなかっただろうに……！			冷え切った灰色の駅							
俺ですら、こんなに悔しいんだ。クイントゥス様の心中たるや、どれほど口惜しいことか……。			俺ですら、こんなに悔しいんだ。クイントゥス様の心中たるや、どれほど口惜しいことか……。			冷え切った灰色の駅							
ヒッ……！？お、お前は、Forename Surname！			ヒッ……！？お、お前は、Forename Surname！			冷え切った灰色の駅							
私は以前、第XIV軍団にいたんだ。ガイウス様のもとで、魔導城プラエトリウムを護っていた……。			私は以前、第XIV軍団にいたんだ。ガイウス様のもとで、魔導城プラエトリウムを護っていた……。			冷え切った灰色の駅							
お前たちが乗りこんできたときのことは、忘れられない。私の戦友を打ち倒した女男、それが今では、「エオルゼアの英雄」などと呼ばれていると後日知ったんだ。			お前たちが乗りこんできたときのことは、忘れられない。私の戦友を打ち倒した女男、それが今では、「エオルゼアの英雄」などと呼ばれていると後日知ったんだ。			冷え切った灰色の駅							
……わかっているさ、私ではお前に敵わない。だが見ていろ、間もなく「彼ら」がやってくるはず。そうしたら、お前なんて……！			……わかっているさ、私ではお前に敵わない。だが見ていろ、間もなく「彼ら」がやってくるはず。そうしたら、お前なんて……！			冷え切った灰色の駅							
精根も尽き果てかけていたが、お前を見て元気が出たよ。私はまだ、お前たちに一矢報いていない……それすら遂げずに果てるわけにはいかないってね……！			精根も尽き果てかけていたが、お前を見て元気が出たよ。私はまだ、お前たちに一矢報いていない……それすら遂げずに果てるわけにはいかないってね……！			冷え切った灰色の駅							
「臣の褒賞」で使われていたのと同じラジオが置かれている。これが彼らを護っているのだろう……。			「臣の褒賞」で使われていたのと同じラジオが置かれている。これが彼らを護っているのだろう……。			冷え切った灰色の駅							
どうだい、君の方は……？			どうだい、君の方は……？			冷え切った灰色の駅							
