あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			蒼天の探検手帳							
ああ、私も金貸しに騙されて奴隷生活の日々さ……。だが、自分なんかよりも、病気の父親の薬代のために、身売りされることになった、そこの娘さんが不憫でしょうがないよ。			ああ、私も金貸しに騙されて奴隷生活の日々さ……。だが、自分なんかよりも、病気の父親の薬代のために、身売りされることになった、そこの娘さんが不憫でしょうがないよ。			砂都を蝕む高利貸の罠！							
高利貸になら、俺も引っかかって働かされているけど、自業自得だよ……。騙すより騙される方が悪いというのは、ウルダハの鉄則だからね。			高利貸になら、俺も引っかかって働かされているけど、自業自得だよ……。騙すより騙される方が悪いというのは、ウルダハの鉄則だからね。			砂都を蝕む高利貸の罠！							
金貸しは、詐欺師同然の野郎だよ！最初は善人の顔で、親身になって相談に乗って金を貸してきてな、いざ返済しに行くと利息分が足りないと、本性を現すのさ！			金貸しは、詐欺師同然の野郎だよ！最初は善人の顔で、親身になって相談に乗って金を貸してきてな、いざ返済しに行くと利息分が足りないと、本性を現すのさ！			砂都を蝕む高利貸の罠！							
私も金貸しに騙されて奴隷生活の日々さ……。だが、自分なんかよりも、病気の父親の薬代のために、身売りされることになった、そこの娘さんが不憫でしょうがないよ。			私も金貸しに騙されて奴隷生活の日々さ……。だが、自分なんかよりも、病気の父親の薬代のために、身売りされることになった、そこの娘さんが不憫でしょうがないよ。			砂都を蝕む高利貸の罠！							
なんと、父親想いの娘をも食い物にしようとは、ますます許せぬ。あいわかった、さすれば、その「不憫な娘」から話を聞いてみよう。ワシはモモジゴとともに向かうことにする。			なんと、父親想いの娘をも食い物にしようとは、ますます許せぬ。あいわかった、さすれば、その「不憫な娘」から話を聞いてみよう。ワシはモモジゴとともに向かうことにする。			砂都を蝕む高利貸の罠！							
父親想いの娘をも食い物にしようとは、ますます許せぬ。あいわかった、さすれば、その「不憫な娘」から話を聞いてみよう。ワシはモモジゴとともに向かうことにする。			父親想いの娘をも食い物にしようとは、ますます許せぬ。あいわかった、さすれば、その「不憫な娘」から話を聞いてみよう。ワシはモモジゴとともに向かうことにする。			砂都を蝕む高利貸の罠！							
……はい、確かにお金を借りて、困ったことになっています。病気の父の薬を買うため、ちょっとだけお借りしたのですが、まさかこんなことになるなんて……。			……はい、確かにお金を借りて、困ったことになっています。病気の父の薬を買うため、ちょっとだけお借りしたのですが、まさかこんなことになるなんて……。			砂都を蝕む高利貸の罠！							
利息でふくれ上がった借金を返せなければ、得意先に売り飛ばしてやると、高利貸に脅されているのです。そうなったら、誰がお父っつあんの看病を……！			利息でふくれ上がった借金を返せなければ、得意先に売り飛ばしてやると、高利貸に脅されているのです。そうなったら、誰がお父っつあんの看病を……！			砂都を蝕む高利貸の罠！							
自分よりも父親の心配だなんて、泣かせるじゃねぇか……。高利貸の野郎なんか、俺たちがとっちめてやるよ！			自分よりも父親の心配だなんて、泣かせるじゃねぇか……。高利貸の野郎なんか、俺たちがとっちめてやるよ！			砂都を蝕む高利貸の罠！							
ハッ！　フェリップさん！ど、どうか、私が一生懸命働きますので、身売りだけはご勘弁を！看病ができなくなり、父が……父が死んでしまいます！			ハッ！　フェリップさん！ど、どうか、私が一生懸命働きますので、身売りだけはご勘弁を！看病ができなくなり、父が……父が死んでしまいます！			砂都を蝕む高利貸の罠！							
ふん、そんなこと知ったことか。その細腕で働くより、簡単に稼がせてやろうと言ってるのだ。さあ、大人しく来てもらうぞ……。			ふん、そんなこと知ったことか。その細腕で働くより、簡単に稼がせてやろうと言ってるのだ。さあ、大人しく来てもらうぞ……。			砂都を蝕む高利貸の罠！							
ちょいと待ちな！その娘さんを連れてくってんなら、このお侍が黙っちゃいないよ！			ちょいと待ちな！その娘さんを連れてくってんなら、このお侍が黙っちゃいないよ！			砂都を蝕む高利貸の罠！							
なんだアンタらは？こっちは正式な取引で、この娘を連れていくのだ。暴力で脅す気ならば、銅刃団を呼ぶことになるぞ……。			なんだアンタらは？こっちは正式な取引で、この娘を連れていくのだ。暴力で脅す気ならば、銅刃団を呼ぶことになるぞ……。			砂都を蝕む高利貸の罠！							
これは、これは、無礼を詫びねばならぬな。ワシらには関わりのないことじゃった……。刀を納めよ、Forename殿。			これは、これは、無礼を詫びねばならぬな。ワシらには関わりのないことじゃった……。刀を納めよ、Forename殿。			砂都を蝕む高利貸の罠！							
ど、どういうことだよ、爺さん！悪を討つんじゃなかったのか！？			ど、どういうことだよ、爺さん！悪を討つんじゃなかったのか！？			砂都を蝕む高利貸の罠！							
こんなところで、いきなり刀を抜いては、事が荒立つだけ。抜刀すべき時分を見極めるのだ。			こんなところで、いきなり刀を抜いては、事が荒立つだけ。抜刀すべき時分を見極めるのだ。			砂都を蝕む高利貸の罠！							
それに、あやつは小物に違いない。ここは、泳がせて大物を狙い、悪を元から断とう。さあ、高利貸の後を追うぞ。			それに、あやつは小物に違いない。ここは、泳がせて大物を狙い、悪を元から断とう。さあ、高利貸の後を追うぞ。			砂都を蝕む高利貸の罠！							
高利貸の野郎、覚悟しとけよ……！			高利貸の野郎、覚悟しとけよ……！			砂都を蝕む高利貸の罠！							
娘さん、連れてかれてしまったね……。何とかしてあげたかったけど、あの金貸しには逆らえない……。			娘さん、連れてかれてしまったね……。何とかしてあげたかったけど、あの金貸しには逆らえない……。			砂都を蝕む高利貸の罠！							
高利貸のフェリップとやら……車庫裏で、誰かと待ち合わせしていたようだ。む、出てきたぞ……。			高利貸のフェリップとやら……車庫裏で、誰かと待ち合わせしていたようだ。む、出てきたぞ……。			砂都を蝕む高利貸の罠！							
イッヒッヒ、ご覧のとおりの上玉ですぜ。これでひとつ、これからもよろしくお願いします。			イッヒッヒ、ご覧のとおりの上玉ですぜ。これでひとつ、これからもよろしくお願いします。			砂都を蝕む高利貸の罠！							
フッフッフ、お主も悪よのぅ～。よかろう、我が隊の管轄内で存分に商いを続けるがいい。			フッフッフ、お主も悪よのぅ～。よかろう、我が隊の管轄内で存分に商いを続けるがいい。			砂都を蝕む高利貸の罠！							
あ、あれは銅刃団の……大隊長クラスじゃないか！あの野郎、娘さんを賄賂にしようってのか！？			あ、あれは銅刃団の……大隊長クラスじゃないか！あの野郎、娘さんを賄賂にしようってのか！？			砂都を蝕む高利貸の罠！							
なるほど、どおりで闇の金貸しにしては、堂々としていたわけだ。よしきた、Forename殿、刀を抜くときは今じゃ！			なるほど、どおりで闇の金貸しにしては、堂々としていたわけだ。よしきた、Forename殿、刀を抜くときは今じゃ！			砂都を蝕む高利貸の罠！							
Forename殿、刀を抜くときは今じゃ！			Forename殿、刀を抜くときは今じゃ！			砂都を蝕む高利貸の罠！							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			砂都を蝕む高利貸の罠！							
曲者だ！　かかれっ！			曲者だ！　かかれっ！			砂都を蝕む高利貸の罠！							
ヒィィッ！お、お助けェェェ～！			ヒィィッ！お、お助けェェェ～！			砂都を蝕む高利貸の罠！							
あわわわわ！我が隊が……いとも簡単にやられてしまうとは……！			あわわわわ！我が隊が……いとも簡単にやられてしまうとは……！			砂都を蝕む高利貸の罠！							
ご苦労であった。さあ、不憫な娘に声をかけ、安心させてやってくれ。……それにしても、モモジゴの奴はどこへ行った？			ご苦労であった。さあ、不憫な娘に声をかけ、安心させてやってくれ。……それにしても、モモジゴの奴はどこへ行った？			砂都を蝕む高利貸の罠！							
た、助かりました……。			た、助かりました……。			砂都を蝕む高利貸の罠！							
ご苦労であった。よいか、刀とは闇雲に抜くものではない。間合いをはかって鞘の中で力を溜め、ここぞというときに抜く。			ご苦労であった。よいか、刀とは闇雲に抜くものではない。間合いをはかって鞘の中で力を溜め、ここぞというときに抜く。			砂都を蝕む高利貸の罠！							
これすなわち、居合の極意なり……むむ？			これすなわち、居合の極意なり……むむ？			砂都を蝕む高利貸の罠！							
モモジゴめ、余計なことをしおって……。			モモジゴめ、余計なことをしおって……。			砂都を蝕む高利貸の罠！							
ちょっと待った爺さん！コイツは俺の友達だから、悪い奴じゃないんだ！			ちょっと待った爺さん！コイツは俺の友達だから、悪い奴じゃないんだ！			砂都を蝕む高利貸の罠！							
なぬ？こやつは敵ではないのか……？			なぬ？こやつは敵ではないのか……？			砂都を蝕む高利貸の罠！							
そうなのであります！私は、その大隊長と高利貸の癒着を探っていたのです！			そうなのであります！私は、その大隊長と高利貸の癒着を探っていたのです！			砂都を蝕む高利貸の罠！							
同じ団員として恥ずかしい限りですが、銅刃団の全員が、このような悪党ではありません！それだけは、声を大にして言っておきたいのであります！			同じ団員として恥ずかしい限りですが、銅刃団の全員が、このような悪党ではありません！それだけは、声を大にして言っておきたいのであります！			砂都を蝕む高利貸の罠！							
本当に助かりました。なんとお礼を言ったらいいものか……。			本当に助かりました。なんとお礼を言ったらいいものか……。			砂都を蝕む高利貸の罠！							
なあに、いいってことよ。早く帰って、お父っつぁんを安心させてやんな！			なあに、いいってことよ。早く帰って、お父っつぁんを安心させてやんな！			砂都を蝕む高利貸の罠！							
あなた方のお陰で、不届き者を捕えることができました！この後処理は、自分にお任せくださいであります！			あなた方のお陰で、不届き者を捕えることができました！この後処理は、自分にお任せくださいであります！			砂都を蝕む高利貸の罠！							
まったく、このお調子者めが。間違って、敵を呼び寄せてきたのかと思ったぞ。			まったく、このお調子者めが。間違って、敵を呼び寄せてきたのかと思ったぞ。			砂都を蝕む高利貸の罠！							
ヘヘッ、俺の機転でしょっぴく手間が省けたろ？フフルパとは古い仲でね、信用できる奴なんだ。			ヘヘッ、俺の機転でしょっぴく手間が省けたろ？フフルパとは古い仲でね、信用できる奴なんだ。			砂都を蝕む高利貸の罠！							
これにて、一件落着。悪の蔓延る世は栄えず！			これにて、一件落着。悪の蔓延る世は栄えず！			砂都を蝕む高利貸の罠！							
さあ、次の都へ向かうとしよう。風の向くまま、気の向くまま……。			さあ、次の都へ向かうとしよう。風の向くまま、気の向くまま……。			砂都を蝕む高利貸の罠！							
ふむ、どうやら海の方へと風が吹いているようだ。モモジゴよ、海の都へと案内してくれ。			ふむ、どうやら海の方へと風が吹いているようだ。モモジゴよ、海の都へと案内してくれ。			砂都を蝕む高利貸の罠！							
海都といえば、「リムサ・ロミンサ」だな。がってん承知！　さあ着いてきな！			海都といえば、「リムサ・ロミンサ」だな。がってん承知！　さあ着いてきな！			砂都を蝕む高利貸の罠！							
「メインクエスト：新生エオルゼア」の、「森都と砂都と海都と砂都と海都と森都と」を完了することで、「リムサ・ロミンサ」へ行くことができるようになります。			「メインクエスト：新生エオルゼア」の、「森都と砂都と海都と砂都と海都と森都と」を完了することで、「リムサ・ロミンサ」へ行くことができるようになります。			砂都を蝕む高利貸の罠！							
海はいいね～。なんかこう、心が洗われるってもんだ。			海はいいね～。なんかこう、心が洗われるってもんだ。			砂都を蝕む高利貸の罠！							
多種多様な種族が集う、活気のある港街であるな。ひんがしの国も、いつしかこのような、開けた国になることを切に願う……。			多種多様な種族が集う、活気のある港街であるな。ひんがしの国も、いつしかこのような、開けた国になることを切に願う……。			砂都を蝕む高利貸の罠！							
それではまた、この都に巣食う悪を探っておこう。お主は、さらに己で技を磨いておいてくれ。			それではまた、この都に巣食う悪を探っておこう。お主は、さらに己で技を磨いておいてくれ。			砂都を蝕む高利貸の罠！							
聖アダマ・ランダマ教会付近のシ・ルン・ティアは、襲撃者の正体について思案しているようだ。			聖アダマ・ランダマ教会付近のシ・ルン・ティアは、襲撃者の正体について思案しているようだ。			抗いと報いと							
シ・ルンと話した。幼い姉妹を襲った集団について、聖アダマ・ランダマ教会の「イリュド」の話を聞こう。			シ・ルンと話した。幼い姉妹を襲った集団について、聖アダマ・ランダマ教会の「イリュド」の話を聞こう。			抗いと報いと							
イリュドの話を聞いた。襲撃者の真の狙いは姉妹ではなく、父親のウィルキンだった可能性がある。ゴールドソーサー・ランディング付近で「シ・ルン・ティア」と合流しよう。※ウルダハ：ナル回廊にてレベル15から受注できるクエスト「いざ、魅惑の遊技場へ」を受注または完了することで、「ゴールドソーサー」へ行くことができるようになります。※「いざ、魅惑の遊技場へ」は、「メインクエスト：新生エオルゼア」の「森都と砂都と海都と砂都と海都と森都と」を完了することで受注可能になります。			イリュドの話を聞いた。襲撃者の真の狙いは姉妹ではなく、父親のウィルキンだった可能性がある。ゴールドソーサー・ランディング付近で「シ・ルン・ティア」と合流しよう。※ウルダハ：ナル回廊にてレベル15から受注できるクエスト「いざ、魅惑の遊技場へ」を受注または完了することで、「ゴールドソーサー」へ行くことができるようになります。※「いざ、魅惑の遊技場へ」は、「メインクエスト：新生エオルゼア」の「森都と砂都と海都と砂都と海都と森都と」を完了することで受注可能になります。			抗いと報いと							
シ・ルンと合流した。話をする前に、ウィルキンの仕事ぶりを観察することになった。ゴールドソーサーのラウンジ・マンダヴィルへ向かい、「指定地点」で周囲を見渡そう。			シ・ルンと合流した。話をする前に、ウィルキンの仕事ぶりを観察することになった。ゴールドソーサーのラウンジ・マンダヴィルへ向かい、「指定地点」で周囲を見渡そう。			抗いと報いと							
ウィルキンは、アラミゴ解放軍の若者と接触していた。ラウンジ・マンダヴィルの「ウィルキン」と話そう。			ウィルキンは、アラミゴ解放軍の若者と接触していた。ラウンジ・マンダヴィルの「ウィルキン」と話そう。			抗いと報いと							
ウィルキンは、アラミゴ解放軍への資金援助をしていることを理由に、命を狙われている可能性が高い。敵のシッポをつかむため、西ザナラーンのベスパーベイで、「シ・ルン・ティア」と合流しよう。			ウィルキンは、アラミゴ解放軍への資金援助をしていることを理由に、命を狙われている可能性が高い。敵のシッポをつかむため、西ザナラーンのベスパーベイで、「シ・ルン・ティア」と合流しよう。			抗いと報いと							
シ・ルンと合流した。西ザナラーンの足跡の谷の「指定地点」で周囲を見渡し、現れた暗殺者を討伐しよう。			シ・ルンと合流した。西ザナラーンの足跡の谷の「指定地点」で周囲を見渡し、現れた暗殺者を討伐しよう。			抗いと報いと							
待ち伏せていた暗殺者を討伐した。ベスパーベイへ戻り、路地の方へ向かった「シ・ルン・ティア」と話そう。			待ち伏せていた暗殺者を討伐した。ベスパーベイへ戻り、路地の方へ向かった「シ・ルン・ティア」と話そう。			抗いと報いと							
シ・ルンは、わざと逃がした暗殺者の足取りを追っていった。ベスパーベイに到着した「ウィルキン」を迎えにいこう。			シ・ルンは、わざと逃がした暗殺者の足取りを追っていった。ベスパーベイに到着した「ウィルキン」を迎えにいこう。			抗いと報いと							
ウィルキンと話した。足跡の谷の「シ・ルン・ティア」にシ・ルン宛ての包みを渡そう。			ウィルキンと話した。足跡の谷の「シ・ルン・ティア」にシ・ルン宛ての包みを渡そう。			抗いと報いと							
シ・ルンに包みを渡した。贈り主のウィルキンは、彼が「紅の疾風」として戦っていたころに助けた子どもだった。彼は抗いの日々に救いをもたらした冒険者に、感謝の辞を述べるのだった。※赤魔道士のレベルが54以上になると、足跡の谷のシ・ルン・ティアから次の赤魔道士クエストを受注することができます。			シ・ルンに包みを渡した。贈り主のウィルキンは、彼が「紅の疾風」として戦っていたころに助けた子どもだった。彼は抗いの日々に救いをもたらした冒険者に、感謝の辞を述べるのだった。※赤魔道士のレベルが54以上になると、足跡の谷のシ・ルン・ティアから次の赤魔道士クエストを受注することができます。			抗いと報いと							
イリュドと話す			イリュドと話す			抗いと報いと							
ゴールドソーサー・ランディング付近でシ・ルン・ティアと話す			ゴールドソーサー・ランディング付近でシ・ルン・ティアと話す			抗いと報いと							
指定地点で周囲を見渡す			指定地点で周囲を見渡す			抗いと報いと							
ウィルキンと話す			ウィルキンと話す			抗いと報いと							
ベスパーベイでシ・ルン・ティアと合流			ベスパーベイでシ・ルン・ティアと合流			抗いと報いと							
指定地点で見渡して暗殺者を討伐			指定地点で見渡して暗殺者を討伐			抗いと報いと							
シ・ルン・ティアと話す			シ・ルン・ティアと話す			抗いと報いと							
ウィルキンと話す			ウィルキンと話す			抗いと報いと							
シ・ルン・ティアにシ・ルン宛ての包みを渡す			シ・ルン・ティアにシ・ルン宛ての包みを渡す			抗いと報いと							
あなた方の話を受けて、襲撃者の正体を調べております。気づいたことがあったら、シ・ルン君に連絡しましょう。			あなた方の話を受けて、襲撃者の正体を調べております。気づいたことがあったら、シ・ルン君に連絡しましょう。			抗いと報いと							
……よっ、調子はどうだ。そろそろ赤魔道士の戦い方が、板についてきたんじゃないか？			……よっ、調子はどうだ。そろそろ赤魔道士の戦い方が、板についてきたんじゃないか？			抗いと報いと							
師は道を示すことはできるが、実戦にまさる鍛錬はない。戦いのなかでも、学ぶ姿勢を忘れないことが大事だぞ。			師は道を示すことはできるが、実戦にまさる鍛錬はない。戦いのなかでも、学ぶ姿勢を忘れないことが大事だぞ。			抗いと報いと							
それと、例の襲撃者たちのことだが……「イリュド」神父が、気になることがあると言っていた。教会で話を聞いてみようぜ！			それと、例の襲撃者たちのことだが……「イリュド」神父が、気になることがあると言っていた。教会で話を聞いてみようぜ！			抗いと報いと							
……気になることってのは、何だろうな？「イリュド」神父に話を聞いてみようぜ。			……気になることってのは、何だろうな？「イリュド」神父に話を聞いてみようぜ。			抗いと報いと							
先に、あなた方が遭遇した集団のことですが……気になる事件を思いだしました。			先に、あなた方が遭遇した集団のことですが……気になる事件を思いだしました。			抗いと報いと							
ウルダハで、とある商人の息子が誘拐され……誘いだされた親とともに殺害された、悲惨な事件です。そのさい、呪術が使われた形跡があったと。			ウルダハで、とある商人の息子が誘拐され……誘いだされた親とともに殺害された、悲惨な事件です。そのさい、呪術が使われた形跡があったと。			抗いと報いと							
しかも殺害された商人は、アラミゴ系移民だったそうです。たしか、あなた方が助けた姉妹も……			しかも殺害された商人は、アラミゴ系移民だったそうです。たしか、あなた方が助けた姉妹も……			抗いと報いと							
ああ、父親がアラミゴ出身の商人だった。名前はウィルキンといったか。襲撃者は姉妹を拐って、父親をおびき出すつもりだったのか……？			ああ、父親がアラミゴ出身の商人だった。名前はウィルキンといったか。襲撃者は姉妹を拐って、父親をおびき出すつもりだったのか……？			抗いと報いと							
Forename、急いでウィルキン氏のもとへ向かおう。神父の話と、やけに符合する点が多い。次は直接、命を狙われるかもしれん……！			Forename、急いでウィルキン氏のもとへ向かおう。神父の話と、やけに符合する点が多い。次は直接、命を狙われるかもしれん……！			抗いと報いと							
……そう言うと思って、居場所を調べておきました。ウィルキン氏は、遊技場「マンダヴィル・ゴールドソーサー」で、賞品の納入などをなさっているようです。			……そう言うと思って、居場所を調べておきました。ウィルキン氏は、遊技場「マンダヴィル・ゴールドソーサー」で、賞品の納入などをなさっているようです。			抗いと報いと							
さすが神父、恩に着る。……Forename、「ゴールドソーサー」へ向かうぞ！			さすが神父、恩に着る。……Forename、「ゴールドソーサー」へ向かうぞ！			抗いと報いと							
ウルダハ：ナル回廊にてレベル15から受注できるクエスト、「いざ、魅惑の遊技場へ」を受注または完了することで、「ゴールドソーサー」へ行くことができるようになります。			ウルダハ：ナル回廊にてレベル15から受注できるクエスト、「いざ、魅惑の遊技場へ」を受注または完了することで、「ゴールドソーサー」へ行くことができるようになります。			抗いと報いと							
「いざ、魅惑の遊技場へ」は、「メインクエスト：新生エオルゼア」の「森都と砂都と海都と砂都と海都と森都と」を、完了することで受注可能になります。			「いざ、魅惑の遊技場へ」は、「メインクエスト：新生エオルゼア」の「森都と砂都と海都と砂都と海都と森都と」を、完了することで受注可能になります。			抗いと報いと							
シ・ルン君は「ゴールドソーサー」へ向かいました。ウィルキン氏が命を狙われているというのが、杞憂であればよいのですが。			シ・ルン君は「ゴールドソーサー」へ向かいました。ウィルキン氏が命を狙われているというのが、杞憂であればよいのですが。			抗いと報いと							
よっ、待ってたぜ！ウィルキン氏はいま、商談中らしいが……。話をする前に、普段の仕事ぶりを見ておきたいな。			よっ、待ってたぜ！ウィルキン氏はいま、商談中らしいが……。話をする前に、普段の仕事ぶりを見ておきたいな。			抗いと報いと							
…………客を装って、様子を窺うか。商談の場所は「ラウンジ・マンダヴィル」。悪趣味な金ピカの像があるとこだ！			…………客を装って、様子を窺うか。商談の場所は「ラウンジ・マンダヴィル」。悪趣味な金ピカの像があるとこだ！			抗いと報いと							
……ウィルキン氏は、この奥か。			……ウィルキン氏は、この奥か。			抗いと報いと							
いつもいつも、すんません……。大切に使わせていただきます！			いつもいつも、すんません……。大切に使わせていただきます！			抗いと報いと							
もっと堂々としてないと、怪しまれますよ。やましい資金ではないのですから。			もっと堂々としてないと、怪しまれますよ。やましい資金ではないのですから。			抗いと報いと							
立ち去った男の顔……見覚えがある。たしか、アラミゴ解放軍に所属している若者だ。			立ち去った男の顔……見覚えがある。たしか、アラミゴ解放軍に所属している若者だ。			抗いと報いと							
……どうやら、ただの商談じゃないな。ここでオレの推理を聞かせてもいいんだが、手っ取りばやく、本人に聞こうぜ！			……どうやら、ただの商談じゃないな。ここでオレの推理を聞かせてもいいんだが、手っ取りばやく、本人に聞こうぜ！			抗いと報いと							
……どうやら、ただの商談じゃないな。ここでオレの推理を聞かせてもいいんだが、手っ取りばやく、本人に聞こうぜ！			……どうやら、ただの商談じゃないな。ここでオレの推理を聞かせてもいいんだが、手っ取りばやく、本人に聞こうぜ！			抗いと報いと							
Forename様に、シ・ルン様ですね？娘たちを助けていただき、本当にありがとうございました。いらっしゃる旨、イリュド様より連絡を受けております。			Forename様に、シ・ルン様ですね？娘たちを助けていただき、本当にありがとうございました。いらっしゃる旨、イリュド様より連絡を受けております。			抗いと報いと							
ご訪問の理由も伺いましたが……私自身の命が、狙われる可能性があると？			ご訪問の理由も伺いましたが……私自身の命が、狙われる可能性があると？			抗いと報いと							
……心あたりは？たとえば、そう…………ここで商談を装って、アラミゴ解放軍に資金援助をしている、とか。			……心あたりは？たとえば、そう…………ここで商談を装って、アラミゴ解放軍に資金援助をしている、とか。			抗いと報いと							
図星か……さっき会ってたのは、解放軍の若いヤツだな？ギラバニアの拠点で、何度か見かけた。			図星か……さっき会ってたのは、解放軍の若いヤツだな？ギラバニアの拠点で、何度か見かけた。			抗いと報いと							
おっと、口外するつもりはないさ！オレ自身、アラミゴ解放を支援してきた身だ。ただ……あんたが命を狙われる理由には、なりうると思ってな。			おっと、口外するつもりはないさ！オレ自身、アラミゴ解放を支援してきた身だ。ただ……あんたが命を狙われる理由には、なりうると思ってな。			抗いと報いと							
わかりました…………あなた方は、娘たちの命の恩人。包み隠さず、お話しさせていただきましょう。			わかりました…………あなた方は、娘たちの命の恩人。包み隠さず、お話しさせていただきましょう。			抗いと報いと							
ここゴールドソーサーでは、オーナーである、ゴッドベルト・マンダヴィル氏の意向もあり、多くのアラミゴ難民が働いています。			ここゴールドソーサーでは、オーナーである、ゴッドベルト・マンダヴィル氏の意向もあり、多くのアラミゴ難民が働いています。			抗いと報いと							
そのなかに何人か、本国の解放軍との連絡役がいます。あの若者も、そのひとり。木を隠すには森…………というわけです。			そのなかに何人か、本国の解放軍との連絡役がいます。あの若者も、そのひとり。木を隠すには森…………というわけです。			抗いと報いと							
最近、アラミゴ系の商人が、呪術を使う集団に子どもを拐われ、親子ともども殺害される事件があった。……今度の一件と、無関係とは思えない。			最近、アラミゴ系の商人が、呪術を使う集団に子どもを拐われ、親子ともども殺害される事件があった。……今度の一件と、無関係とは思えない。			抗いと報いと							
その方の噂は、聞いたことがあります……！私同様、ウルダハで財をなし、解放軍に資金を用立てていたと。			その方の噂は、聞いたことがあります……！私同様、ウルダハで財をなし、解放軍に資金を用立てていたと。			抗いと報いと							
なるほど……狙いは、アラミゴ解放軍の支援者。とするとヤツらの正体は、帝国の息がかかった暗殺団か！			なるほど……狙いは、アラミゴ解放軍の支援者。とするとヤツらの正体は、帝国の息がかかった暗殺団か！			抗いと報いと							
生粋のガレアン族は魔法の資質を欠く……。手駒を操る首領は、傭兵か属州出身者ってとこか。……何にせよ、あんたはまだ、命を狙われてる可能性が高いぞ！			生粋のガレアン族は魔法の資質を欠く……。手駒を操る首領は、傭兵か属州出身者ってとこか。……何にせよ、あんたはまだ、命を狙われてる可能性が高いぞ！			抗いと報いと							
この施設は砂蠍衆がひとり、マンダヴィル氏のお膝元。そうそう手は出せないと思います。ただ近々、ベスパーベイにて、外せない商用がありまして。			この施設は砂蠍衆がひとり、マンダヴィル氏のお膝元。そうそう手は出せないと思います。ただ近々、ベスパーベイにて、外せない商用がありまして。			抗いと報いと							
ベスパーベイか……あのへんは、身を隠せる場所も多い。暗殺者にとっては、絶好の機会になりうるが……			ベスパーベイか……あのへんは、身を隠せる場所も多い。暗殺者にとっては、絶好の機会になりうるが……			抗いと報いと							
どうだろう……ここはオレたちに、警護をまかせてくれないか？Forenameと組めば、あんたを守り抜き、連中のシッポをつかむこともできるだろう。			どうだろう……ここはオレたちに、警護をまかせてくれないか？Forenameと組めば、あんたを守り抜き、連中のシッポをつかむこともできるだろう。			抗いと報いと							
…………あなた方のお力を、信じましょう。ありがたく、お申し出を受けたいと思います。			…………あなた方のお力を、信じましょう。ありがたく、お申し出を受けたいと思います。			抗いと報いと							
よし、決まりだな！先まわりして、「ベスパーベイ」へと向かうぞ。			よし、決まりだな！先まわりして、「ベスパーベイ」へと向かうぞ。			抗いと報いと							
やはり狙われていたのは、姉妹の父親の方でしたか……。でも、あなた方がついているなら安心です。あとのことは、シ・ルン君とあなたにおまかせしましたよ。			やはり狙われていたのは、姉妹の父親の方でしたか……。でも、あなた方がついているなら安心です。あとのことは、シ・ルン君とあなたにおまかせしましたよ。			抗いと報いと							
来たな……さっそく作戦開始といこう！狙われているウィルキン氏は、ウルダハ方面から陸路で、ここへ向かっているそうだ。			来たな……さっそく作戦開始といこう！狙われているウィルキン氏は、ウルダハ方面から陸路で、ここへ向かっているそうだ。			抗いと報いと							
ウィルキン氏には、経路をそれとなく吹聴してもらっている。暗殺者はその情報をもとに、待ち伏せに最適な場所を選ぶだろう。			ウィルキン氏には、経路をそれとなく吹聴してもらっている。暗殺者はその情報をもとに、待ち伏せに最適な場所を選ぶだろう。			抗いと報いと							
連中が潜むのに絶好の地点がふたつ……ウルダハ側に通じる坑道と、その近くの路地だ。			連中が潜むのに絶好の地点がふたつ……ウルダハ側に通じる坑道と、その近くの路地だ。			抗いと報いと							
……というわけで、二手にわかれて暗殺者を叩くぞ！オレは路地を探るから、お前は坑道の方へ向かってほしい。暗殺者を始末したら、街へ戻ってくれ。			……というわけで、二手にわかれて暗殺者を叩くぞ！オレは路地を探るから、お前は坑道の方へ向かってほしい。暗殺者を始末したら、街へ戻ってくれ。			抗いと報いと							
……ここらに潜んでいる連中は、オレが探しだして片づける。お前は手はずどおり、坑道で待ち伏せてる連中を叩け！			……ここらに潜んでいる連中は、オレが探しだして片づける。お前は手はずどおり、坑道で待ち伏せてる連中を叩け！			抗いと報いと							
よし、暗殺者を片づけたか……こっちもご覧のとおりだ！			よし、暗殺者を片づけたか……こっちもご覧のとおりだ！			抗いと報いと							
例のごとく問答無用で襲いかかってきたんだろう？可哀想だが、彼らは生ける屍も同然……救う手だてはない。ま、ひとりだけ取り逃がしたけどな。			例のごとく問答無用で襲いかかってきたんだろう？可哀想だが、彼らは生ける屍も同然……救う手だてはない。ま、ひとりだけ取り逃がしたけどな。			抗いと報いと							
いやいや、逃げる素振りを見せたんで、わざと逃がしたのさ！おそらく仲間に報告するつもりだろう。深手を負わせたし、遠くへは行けないはずだ。			いやいや、逃げる素振りを見せたんで、わざと逃がしたのさ！おそらく仲間に報告するつもりだろう。深手を負わせたし、遠くへは行けないはずだ。			抗いと報いと							
オレはそいつを追うから、お前はウィルキン氏を迎えにいってくれ。そろそろ街へ到着する頃合だ！			オレはそいつを追うから、お前はウィルキン氏を迎えにいってくれ。そろそろ街へ到着する頃合だ！			抗いと報いと							
……Forename様！おかげさまで襲撃に遭うこともなく、到着できました。			……Forename様！おかげさまで襲撃に遭うこともなく、到着できました。			抗いと報いと							
