パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			暗闇を彩りながら							
若いころから変わらず、仕事熱心な人でねぇ……。いつも早朝に出かけて、夜遅くに戻ってくるの。商売のために、あちこち駆けまわっていたようよ。			若いころから変わらず、仕事熱心な人でねぇ……。いつも早朝に出かけて、夜遅くに戻ってくるの。商売のために、あちこち駆けまわっていたようよ。			災厄の渦中で							
でも、ここのところは仕事が振るわなかったみたいで……丸一日、家に籠もったままなんてこともあったわ。			でも、ここのところは仕事が振るわなかったみたいで……丸一日、家に籠もったままなんてこともあったわ。			災厄の渦中で							
かと思えば、夜中に出てきて、外のベンチでうなだれていることも……。商会がよほど窮地なんだろうって、私たちも心配していたの。			かと思えば、夜中に出てきて、外のベンチでうなだれていることも……。商会がよほど窮地なんだろうって、私たちも心配していたの。			災厄の渦中で							
こっちでも、その調子か……。相当思いつめてたみたいだな……。			こっちでも、その調子か……。相当思いつめてたみたいだな……。			災厄の渦中で							
ほかに何か、変わったところなんかはなかったか？			ほかに何か、変わったところなんかはなかったか？			災厄の渦中で							
いいえ、お仕事のこと以外は何も。普段から、勤勉で人当たりのいい子だったもの……。			いいえ、お仕事のこと以外は何も。普段から、勤勉で人当たりのいい子だったもの……。			災厄の渦中で							
……ねえ、こんな風に聞かれるなんて、彼に何かあったの？昨日から何か悪いことが起きているみたいだけれど、それに関係があるのかしら？			……ねえ、こんな風に聞かれるなんて、彼に何かあったの？昨日から何か悪いことが起きているみたいだけれど、それに関係があるのかしら？			災厄の渦中で							
私は足が悪くて、ほかの区まで出歩くのも一苦労だから、娘に家の中で待つようにと言われているの。おかげで状況がさっぱりだわ！			私は足が悪くて、ほかの区まで出歩くのも一苦労だから、娘に家の中で待つようにと言われているの。おかげで状況がさっぱりだわ！			災厄の渦中で							
…………ラザハン内は今、落ち着いているが、いつ大惨事が起きるかわからない状態が続いてるんだ。			…………ラザハン内は今、落ち着いているが、いつ大惨事が起きるかわからない状態が続いてるんだ。			災厄の渦中で							
あなたも、どうかお気をつけて。太守からの指示があったときには、娘さんと一緒に、できるだけ速やかに避難するんだ。			あなたも、どうかお気をつけて。太守からの指示があったときには、娘さんと一緒に、できるだけ速やかに避難するんだ。			災厄の渦中で							
ご忠告、よく覚えておくわ。娘が戻ってきたら、きちんと相談をするつもりよ。ありがとうね、若いおふたりさん……。			ご忠告、よく覚えておくわ。娘が戻ってきたら、きちんと相談をするつもりよ。ありがとうね、若いおふたりさん……。			災厄の渦中で							
ふぁぁ……なんだい急に……。ボク、今さっき起きたばかりなんだけど……。			ふぁぁ……なんだい急に……。ボク、今さっき起きたばかりなんだけど……。			災厄の渦中で							
ふぁぁ……なんだい急に……。ボク、今さっき起きたばかりなんだけど……。			ふぁぁ……なんだい急に……。ボク、今さっき起きたばかりなんだけど……。			災厄の渦中で							
それは……無暗に逃げ回るより、かえって安全だったかもしれないな……。			それは……無暗に逃げ回るより、かえって安全だったかもしれないな……。			災厄の渦中で							
実は、サベネア島の全域に異常事態が発生してるんだ。避難することになるかもしれないから、身支度をしておいたほうがいいぞ。			実は、サベネア島の全域に異常事態が発生してるんだ。避難することになるかもしれないから、身支度をしておいたほうがいいぞ。			災厄の渦中で							
だが、その前にひとつ質問させてくれ。このあたりに住んでいる、カルザール氏を知ってるか？彼に何か、変わったことはなかったか？			だが、その前にひとつ質問させてくれ。このあたりに住んでいる、カルザール氏を知ってるか？彼に何か、変わったことはなかったか？			災厄の渦中で							
カルザールさんねぇ……うん、おととい話したばっかりだよ。			カルザールさんねぇ……うん、おととい話したばっかりだよ。			災厄の渦中で							
ここんところ商売がうまくいってないみたいだったけど、「ルヴェーダ製糸局」の紹介で大口の注文が入りそうだとかで、すっごく喜んでる様子だった。			ここんところ商売がうまくいってないみたいだったけど、「ルヴェーダ製糸局」の紹介で大口の注文が入りそうだとかで、すっごく喜んでる様子だった。			災厄の渦中で							
それが結局どうなったのかまでは知らないなぁ……。製糸局の商談を取りまとめてる「ジナバナ」さんなら、首尾を知ってるんじゃない？			それが結局どうなったのかまでは知らないなぁ……。製糸局の商談を取りまとめてる「ジナバナ」さんなら、首尾を知ってるんじゃない？			災厄の渦中で							
ルヴェーダ製糸局の「ジナバナ」か……。Forename、せっかくだからそっちにも、話を聞きにいってみないか？			ルヴェーダ製糸局の「ジナバナ」か……。Forename、せっかくだからそっちにも、話を聞きにいってみないか？			災厄の渦中で							
ルヴェーダ製糸局の「ジナバナ」か……。Forename、カーマ区での聞き込みが終わったら、そっちにも話を聞きにいってみないか？			ルヴェーダ製糸局の「ジナバナ」か……。Forename、カーマ区での聞き込みが終わったら、そっちにも話を聞きにいってみないか？			災厄の渦中で							
昨日は、とびきり疲れていたんだよ……。いつの間にか寝てたみたいで、気がついたら今ってわけさ。なんだか妙に日差しが赤いけど……夕方かな？			昨日は、とびきり疲れていたんだよ……。いつの間にか寝てたみたいで、気がついたら今ってわけさ。なんだか妙に日差しが赤いけど……夕方かな？			災厄の渦中で							
「ダーマ区への階段」について話す			「ダーマ区への階段」について話す			災厄の渦中で							
「ルヴェーダ製糸局」について話す			「ルヴェーダ製糸局」について話す			災厄の渦中で							
近隣住民に聞いたかぎり、カルザール氏は、かなり追い詰められてたみたいだな……。			近隣住民に聞いたかぎり、カルザール氏は、かなり追い詰められてたみたいだな……。			災厄の渦中で							
偽神獣になる直前も酒場で塞ぎこんでたってことは、製糸局から紹介を受けた案件は、うまくいかなかったのか……？「ジナバナ」って人に、話を聞きにいってみよう。			偽神獣になる直前も酒場で塞ぎこんでたってことは、製糸局から紹介を受けた案件は、うまくいかなかったのか……？「ジナバナ」って人に、話を聞きにいってみよう。			災厄の渦中で							
そう、ここの階段を上れば、製糸局のあるダーマ区のはず……			そう、ここの階段を上れば、製糸局のあるダーマ区のはず……			災厄の渦中で							
…………階段を見上げると、否が応でも、燃える空が目に入るな。			…………階段を見上げると、否が応でも、燃える空が目に入るな。			災厄の渦中で							
いにしえの終末について話を聞いたとき、燃える空も、降り注ぐ星も、創造魔法の暴発で起きた現象だろうって思ってたんだ。			いにしえの終末について話を聞いたとき、燃える空も、降り注ぐ星も、創造魔法の暴発で起きた現象だろうって思ってたんだ。			災厄の渦中で							
実際、古代人もそう考えてたかもしれない。「誰かの恐怖が星を降らせているんだ」ってな……。			実際、古代人もそう考えてたかもしれない。「誰かの恐怖が星を降らせているんだ」ってな……。			災厄の渦中で							
だが、現代でもそれが起きている。どうして……何が人を獣に変えて、空を焼いてる……？			だが、現代でもそれが起きている。どうして……何が人を獣に変えて、空を焼いてる……？			災厄の渦中で							
蚕を育ててる……ってことは、ここがルヴェーダ製糸局だな。奥の階段で下りて、ジナバナを探してみよう。			蚕を育ててる……ってことは、ここがルヴェーダ製糸局だな。奥の階段で下りて、ジナバナを探してみよう。			災厄の渦中で							
至急、対策を済ませましょう……！			至急、対策を済ませましょう……！			災厄の渦中で							
とても忙しそうにしている……。話を聞くには、グ・ラハ・ティアもいた方がよさそうだ。彼を同行させてこよう。			とても忙しそうにしている……。話を聞くには、グ・ラハ・ティアもいた方がよさそうだ。彼を同行させてこよう。			災厄の渦中で							
すみませんが、できるだけ急いでください！判断に迷うようなものは、極力しまう方針で……！			すみませんが、できるだけ急いでください！判断に迷うようなものは、極力しまう方針で……！			災厄の渦中で							
取り込み中すまない。あんたが、製糸局の商談を取りまとめてるジナバナだよな。少し聞きたいことがあるんだが……。			取り込み中すまない。あんたが、製糸局の商談を取りまとめてるジナバナだよな。少し聞きたいことがあるんだが……。			災厄の渦中で							
申し訳ありませんが、今は少しの時間も惜しい。			申し訳ありませんが、今は少しの時間も惜しい。			災厄の渦中で							
商品や材料、器具一式を、また化け物たちが襲ってくる前に、倉庫に移動させなければならないのです。			商品や材料、器具一式を、また化け物たちが襲ってくる前に、倉庫に移動させなければならないのです。			災厄の渦中で							
それ、オレたちも手伝っていいか？無事に終わったら、話を聞かせてくれ。			それ、オレたちも手伝っていいか？無事に終わったら、話を聞かせてくれ。			災厄の渦中で							
……わかりました。そうおっしゃってくださるのなら、素直に手をお借りします。			……わかりました。そうおっしゃってくださるのなら、素直に手をお借りします。			災厄の渦中で							
あなたには、器具の運搬をお手伝いいただきたく。詳しいことは、荷箱前の局員に聞いてください。			あなたには、器具の運搬をお手伝いいただきたく。詳しいことは、荷箱前の局員に聞いてください。			災厄の渦中で							
あなたは、織物の運搬をお願いいたします。			あなたは、織物の運搬をお願いいたします。			災厄の渦中で							
そこの扉を出ると、正面が織物を扱う部屋です。「カマラ」というアルカソーダラの職人が仕切っているので、彼女に手を貸してあげてください。			そこの扉を出ると、正面が織物を扱う部屋です。「カマラ」というアルカソーダラの職人が仕切っているので、彼女に手を貸してあげてください。			災厄の渦中で							
織物は、私たちにとって、生活の糧を生むもの。こんな非常事態だからこそ、必ず護り抜かなければなりません。どうか……よろしくお願いいたします！			織物は、私たちにとって、生活の糧を生むもの。こんな非常事態だからこそ、必ず護り抜かなければなりません。どうか……よろしくお願いいたします！			災厄の渦中で							
織物を運ぶ手伝い、何卒よろしくお願いします。「カマラ」というアルカソーダラの職人に聞いていただければ、何を運べばいいかわかるはずです。			織物を運ぶ手伝い、何卒よろしくお願いします。「カマラ」というアルカソーダラの職人に聞いていただければ、何を運べばいいかわかるはずです。			災厄の渦中で							
おっと！ここはバタバタしていて危ないよ。部外者は、吹っ飛ばされないうちに外へ……			おっと！ここはバタバタしていて危ないよ。部外者は、吹っ飛ばされないうちに外へ……			災厄の渦中で							
手伝いだって！？ああ、我らがラグ神よ、技を守らせたもう貴女に感謝を！あんたってば、とっても良い人ね！			手伝いだって！？ああ、我らがラグ神よ、技を守らせたもう貴女に感謝を！あんたってば、とっても良い人ね！			災厄の渦中で							
じゃあさっそく、荷物運びをお願いするよ。この部屋と、ジナバナのいた養蚕部屋の間には、3つの倉庫があってね……			じゃあさっそく、荷物運びをお願いするよ。この部屋と、ジナバナのいた養蚕部屋の間には、3つの倉庫があってね……			災厄の渦中で							
養蚕部屋の近くにある「3番倉庫」には、糸の入った軽い箱を運んでほしいんだ。			養蚕部屋の近くにある「3番倉庫」には、糸の入った軽い箱を運んでほしいんだ。			災厄の渦中で							
縫いあがった服が入っている箱は、マヌハが倉庫番の「1番倉庫」へ。これも、さほど苦労せずに持ち上がるはずさ。			縫いあがった服が入っている箱は、マヌハが倉庫番の「1番倉庫」へ。これも、さほど苦労せずに持ち上がるはずさ。			災厄の渦中で							
とにかく重いのは、織物がぎっしり詰まった箱！ちょっと大変だろうけど、ゼイメラが番をしてる「2番倉庫」まで運んでおくれ。			とにかく重いのは、織物がぎっしり詰まった箱！ちょっと大変だろうけど、ゼイメラが番をしてる「2番倉庫」まで運んでおくれ。			災厄の渦中で							
もう持っていっていい箱は、部屋の隅に積んである。よろしく頼んだよ！			もう持っていっていい箱は、部屋の隅に積んである。よろしく頼んだよ！			災厄の渦中で							
ここは、養蚕部屋と織物部屋の両方から、道具を運び入れる予定の「3番倉庫」だ。糸もここに運んできてくれ。			ここは、養蚕部屋と織物部屋の両方から、道具を運び入れる予定の「3番倉庫」だ。糸もここに運んできてくれ。			災厄の渦中で							
その箱は……ああ、糸が入っているのか。ならこの「3番倉庫」で間違いない。運んできてくれて感謝するよ。			その箱は……ああ、糸が入っているのか。ならこの「3番倉庫」で間違いない。運んできてくれて感謝するよ。			災厄の渦中で							
私は「1番倉庫」を警備している。服や絨毯など、出来上がった製品をしまう倉庫だ。			私は「1番倉庫」を警備している。服や絨毯など、出来上がった製品をしまう倉庫だ。			災厄の渦中で							
服や絨毯、出来上がった製品は、この頑丈な「1番倉庫」にしまっておく。			服や絨毯、出来上がった製品は、この頑丈な「1番倉庫」にしまっておく。			災厄の渦中で							
貴殿のそれは、縫いあがった服のようだな。受け取ろう、運搬ご苦労だった。			貴殿のそれは、縫いあがった服のようだな。受け取ろう、運搬ご苦労だった。			災厄の渦中で							
織物そのものを保管するのは、ここ「2番倉庫」だよ。布とはいえ、まとめればかなり重くなる。腰を痛めないように持ってきてくれよ？			織物そのものを保管するのは、ここ「2番倉庫」だよ。布とはいえ、まとめればかなり重くなる。腰を痛めないように持ってきてくれよ？			災厄の渦中で							
おや君、ずいぶん豪気な持ち上げ方をしてるじゃないか。元気があるのは良いことだ、これから何が起こるかわからないしね。			おや君、ずいぶん豪気な持ち上げ方をしてるじゃないか。元気があるのは良いことだ、これから何が起こるかわからないしね。			災厄の渦中で							
その箱に詰まっているのは織物だな？なら、こちらで責任を持って、この倉庫にしまっておこう。			その箱に詰まっているのは織物だな？なら、こちらで責任を持って、この倉庫にしまっておこう。			災厄の渦中で							
えっ、もうすべての箱を運んでくれたのかい！？あんた、相当な力持ちなんだね……！			えっ、もうすべての箱を運んでくれたのかい！？あんた、相当な力持ちなんだね……！			災厄の渦中で							
あとはまだ箱に詰めている途中だから、ジナバナのところに戻ってくれて大丈夫だよ。アタイも、見かけによらず力持ちだしさ！			あとはまだ箱に詰めている途中だから、ジナバナのところに戻ってくれて大丈夫だよ。アタイも、見かけによらず力持ちだしさ！			災厄の渦中で							
……昨日からすごく怖い思いをしたけど、こうして手を貸してくれる人もいるんだし、踏ん張らなきゃ。安全になったら、サベネア織りを買いにおいでね。			……昨日からすごく怖い思いをしたけど、こうして手を貸してくれる人もいるんだし、踏ん張らなきゃ。安全になったら、サベネア織りを買いにおいでね。			災厄の渦中で							
さーて、てきぱき詰めて、もりもり運ぶよ！アタイらの織物を、これ以上引き裂かせやしないんだから！			さーて、てきぱき詰めて、もりもり運ぶよ！アタイらの織物を、これ以上引き裂かせやしないんだから！			災厄の渦中で							
ああ、いかがでしたでしょう、織物の方は……！			ああ、いかがでしたでしょう、織物の方は……！			災厄の渦中で							
そうですか……！カマラがそう言うのなら、あとは対応しきれるでしょう。ご尽力に、心より感謝申し上げます……！			そうですか……！カマラがそう言うのなら、あとは対応しきれるでしょう。ご尽力に、心より感謝申し上げます……！			災厄の渦中で							
こっちも、任された分の器具の運搬が終わったぞ。			こっちも、任された分の器具の運搬が終わったぞ。			災厄の渦中で							
ありがとうございます。こんな事態を前にしては、いくら用心しても足りません。糸の1本でも多く、安全な場所に保管しておきたいのです……。			ありがとうございます。こんな事態を前にしては、いくら用心しても足りません。糸の1本でも多く、安全な場所に保管しておきたいのです……。			災厄の渦中で							
やっぱり、この製糸局でも、被害が出たのか……？			やっぱり、この製糸局でも、被害が出たのか……？			災厄の渦中で							
ええ……。多くの者が帰路に就いたあとではありましたが……。			ええ……。多くの者が帰路に就いたあとではありましたが……。			災厄の渦中で							
残っていた者が、おかしな空模様に気を取られていたところに、1体の異形の獣が侵入してきたのです……。			残っていた者が、おかしな空模様に気を取られていたところに、1体の異形の獣が侵入してきたのです……。			災厄の渦中で							
逃げようとするも、仲間のひとりが捕まった。彼は悲鳴を上げ……次の瞬間、自身も獣になってしまった……。			逃げようとするも、仲間のひとりが捕まった。彼は悲鳴を上げ……次の瞬間、自身も獣になってしまった……。			災厄の渦中で							
一部始終を見ていた別の仲間が、ヒッと息を呑んで、何かをわめきたてました。			一部始終を見ていた別の仲間が、ヒッと息を呑んで、何かをわめきたてました。			災厄の渦中で							
直後……その者も、獣に…………。			直後……その者も、獣に…………。			災厄の渦中で							
……すみません。それで、私に聞きたいこととは？			……すみません。それで、私に聞きたいこととは？			災厄の渦中で							
商人のカルザール氏を知ってるか？彼に、製糸局が仕事を仲介したと聞いたんだが……。			商人のカルザール氏を知ってるか？彼に、製糸局が仕事を仲介したと聞いたんだが……。			災厄の渦中で							
氏のことは存じております。しかし、あの案件については、結局ほかの商会にお任せすることになったんです。			氏のことは存じております。しかし、あの案件については、結局ほかの商会にお任せすることになったんです。			災厄の渦中で							
塔の件で苦境にあったのは、彼の商会だけではありません。ほかにも熱心に取り組んでくださるところがあり、諸々の条件をふまえて、そのような結論になりました。			塔の件で苦境にあったのは、彼の商会だけではありません。ほかにも熱心に取り組んでくださるところがあり、諸々の条件をふまえて、そのような結論になりました。			災厄の渦中で							
……私個人としては、氏に申し訳なく思うばかりです。			……私個人としては、氏に申し訳なく思うばかりです。			災厄の渦中で							
お断りすることを告げたときの、まざまざと浮かんだ絶望……。「仲間と話してみる」とおっしゃって去っていったとき、氏の背中がどれだけ小さく見えたことか。			お断りすることを告げたときの、まざまざと浮かんだ絶望……。「仲間と話してみる」とおっしゃって去っていったとき、氏の背中がどれだけ小さく見えたことか。			災厄の渦中で							
絶望……絶望か…………。			絶望……絶望か…………。			災厄の渦中で							
なあ、ヴァナスパティ樹海でのことを覚えてるか？追い詰められた兵士や住民たちが、獣に転じていった……。			なあ、ヴァナスパティ樹海でのことを覚えてるか？追い詰められた兵士や住民たちが、獣に転じていった……。			災厄の渦中で							
それに、ここ製糸局での被害も……襲われた人や、それを目撃した人が怯えきったところで、獣になってしまったように思える。			それに、ここ製糸局での被害も……襲われた人や、それを目撃した人が怯えきったところで、獣になってしまったように思える。			災厄の渦中で							
極めつきは、カルザール氏だ。誰もが「とくに変わったことはなかった」と話す一方で、ひときわ深い絶望を抱えている状態だったのは間違いない。			極めつきは、カルザール氏だ。誰もが「とくに変わったことはなかった」と話す一方で、ひときわ深い絶望を抱えている状態だったのは間違いない。			災厄の渦中で							
まさかとは思うが……獣への変化を引き起こすのは、恐怖や絶望なんじゃないか？			まさかとは思うが……獣への変化を引き起こすのは、恐怖や絶望なんじゃないか？			災厄の渦中で							
……みんなの意見も聞いてみたいところだな。ちょうど集合場所も近いことだし、とにかく合流しよう。			……みんなの意見も聞いてみたいところだな。ちょうど集合場所も近いことだし、とにかく合流しよう。			災厄の渦中で							
選者殿のチャ・ラカ・ティアは、データ採集が一気に進むことを期待しているようだ。			選者殿のチャ・ラカ・ティアは、データ採集が一気に進むことを期待しているようだ。			迷えるクジラと水脈							
チャ・ラカ・ティアは迷い込んだというクジラを見に向かった。オールド・シャーレアンの知神の港の「チャ・ラカ・ティア」と話そう。			チャ・ラカ・ティアは迷い込んだというクジラを見に向かった。オールド・シャーレアンの知神の港の「チャ・ラカ・ティア」と話そう。			迷えるクジラと水脈							
チャ・ラカ・ティアはクジラを保護するようだ。選者殿の「指定地点」で待機しよう。			チャ・ラカ・ティアはクジラを保護するようだ。選者殿の「指定地点」で待機しよう。			迷えるクジラと水脈							
クジラの保護を終えたチャ・ラカ・ティアと話した。サベネア島のイェドリマンにいる「チャ・ラカ・ティア」と話そう。			クジラの保護を終えたチャ・ラカ・ティアと話した。サベネア島のイェドリマンにいる「チャ・ラカ・ティア」と話そう。			迷えるクジラと水脈							
サベネア島のチャ・ラカ・ティアはエーテル酔いが酷いようだ。彼に代わりイェドリマンで、打ち上げられた魚についての情報を集めよう。			サベネア島のチャ・ラカ・ティアはエーテル酔いが酷いようだ。彼に代わりイェドリマンで、打ち上げられた魚についての情報を集めよう。			迷えるクジラと水脈							
打ち上げられた魚についての情報を集めた。イェドリマンの「チャ・ラカ・ティア」と話そう。			打ち上げられた魚についての情報を集めた。イェドリマンの「チャ・ラカ・ティア」と話そう。			迷えるクジラと水脈							
チャ・ラカ・ティアは、遡上した川の魚からデータが取れそうだという。「アルネアンサーモン」を、イェドリマンの「チャ・ラカ・ティア」へ納品しよう。「アルネアンサーモン」はサベネア島のクシールローダ川で「ウマビル」などの釣り餌で釣りあげることができる。			チャ・ラカ・ティアは、遡上した川の魚からデータが取れそうだという。「アルネアンサーモン」を、イェドリマンの「チャ・ラカ・ティア」へ納品しよう。「アルネアンサーモン」はサベネア島のクシールローダ川で「ウマビル」などの釣り餌で釣りあげることができる。			迷えるクジラと水脈							
チャ・ラカ・ティアに「アルネアンサーモン」を渡した。オールド・シャーレアンの選者殿で、データを分析する「チャ・ラカ・ティア」と話そう。			チャ・ラカ・ティアに「アルネアンサーモン」を渡した。オールド・シャーレアンの選者殿で、データを分析する「チャ・ラカ・ティア」と話そう。			迷えるクジラと水脈							
チャ・ラカ・ティアと話した。手助けできる新たな情報が手に入り次第、ふたたびチャ・ラカ・ティアに声をかけよう。			チャ・ラカ・ティアと話した。手助けできる新たな情報が手に入り次第、ふたたびチャ・ラカ・ティアに声をかけよう。			迷えるクジラと水脈							
チャ・ラカ・ティアと話す			チャ・ラカ・ティアと話す			迷えるクジラと水脈							
指定地点で待機する			指定地点で待機する			迷えるクジラと水脈							
イェドリマンのチャ・ラカ・ティアと話す			イェドリマンのチャ・ラカ・ティアと話す			迷えるクジラと水脈							
打ち上がった魚の情報を集める			打ち上がった魚の情報を集める			迷えるクジラと水脈							
チャ・ラカ・ティアと話す			チャ・ラカ・ティアと話す			迷えるクジラと水脈							
クシールローダ川でアルネアンサーモンを釣るイェドリマンのチャ・ラカ・ティアにアルネアンサーモンを納品			クシールローダ川でアルネアンサーモンを釣るイェドリマンのチャ・ラカ・ティアにアルネアンサーモンを納品			迷えるクジラと水脈							
選者殿のチャ・ラカ・ティアと話す			選者殿のチャ・ラカ・ティアと話す			迷えるクジラと水脈							
本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「この世界の終末」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：暁月のフィナーレ」の「この世界の終末」を完了する必要があります。			迷えるクジラと水脈							
お前の協力のおかげで、仮説の実証が近づいてきたぜ！安全な海域には、ほかのグリーナーを動員することで、各地のデータも集まりつつあるんだ。			お前の協力のおかげで、仮説の実証が近づいてきたぜ！安全な海域には、ほかのグリーナーを動員することで、各地のデータも集まりつつあるんだ。			迷えるクジラと水脈							
さて、それじゃあ肝心のお前に頼みたいことなんだけど……			さて、それじゃあ肝心のお前に頼みたいことなんだけど……			迷えるクジラと水脈							
チャ・ラカさん！！！			チャ・ラカさん！！！			迷えるクジラと水脈							
ん……？おお、どうした？			ん……？おお、どうした？			迷えるクジラと水脈							
そういや、まだお前に紹介してなかったな。研究を手伝ってくれている、うちの学生のオブラシーだ。			そういや、まだお前に紹介してなかったな。研究を手伝ってくれている、うちの学生のオブラシーだ。			迷えるクジラと水脈							
いまは、ゆっくりと挨拶している場合じゃありませんよ……！知神の港に、クジラが迷い込んできたんです！しかも衰弱している様子で……！！			いまは、ゆっくりと挨拶している場合じゃありませんよ……！知神の港に、クジラが迷い込んできたんです！しかも衰弱している様子で……！！			迷えるクジラと水脈							
港湾職員から水脈や水棲生物に詳しい、チャ・ラカさんに、急いで来てほしいって要請が！			港湾職員から水脈や水棲生物に詳しい、チャ・ラカさんに、急いで来てほしいって要請が！			迷えるクジラと水脈							
わ、わかった！すぐ向かうよ……！！			わ、わかった！すぐ向かうよ……！！			迷えるクジラと水脈							
こりゃ、依頼の話は後回しだな。一緒に様子を見に行こうぜ！			こりゃ、依頼の話は後回しだな。一緒に様子を見に行こうぜ！			迷えるクジラと水脈							
みんな集まっているし、このあたりだと思うんですが……。クジラが迷い込むなんて、よっぽどの事件ですよ。			みんな集まっているし、このあたりだと思うんですが……。クジラが迷い込むなんて、よっぽどの事件ですよ。			迷えるクジラと水脈							
あれは北洋を回遊している種類だな……。近海で見かけるのは珍しくないけど、陸に近づくことは、まずないはずだ。			あれは北洋を回遊している種類だな……。近海で見かけるのは珍しくないけど、陸に近づくことは、まずないはずだ。			迷えるクジラと水脈							
ここから観察できる範囲では、外傷は見受けられません。最近は海が荒れたって話も聞かないし、いったいどうして……？			ここから観察できる範囲では、外傷は見受けられません。最近は海が荒れたって話も聞かないし、いったいどうして……？			迷えるクジラと水脈							
ともかく、大学の施設で保護して、治療と分析だ。生体エーテルの測定も行わなきゃならないか……人手の手配を頼めるか？			ともかく、大学の施設で保護して、治療と分析だ。生体エーテルの測定も行わなきゃならないか……人手の手配を頼めるか？			迷えるクジラと水脈							
はい、もちろんです！			はい、もちろんです！			迷えるクジラと水脈							
これは大掛かりな仕事になりそうだな……。悪い、しばらく依頼どころじゃなくなるかもだ。選者殿に戻って、待っていてくれ！			これは大掛かりな仕事になりそうだな……。悪い、しばらく依頼どころじゃなくなるかもだ。選者殿に戻って、待っていてくれ！			迷えるクジラと水脈							
待たせたな……。クジラの応急手当と、簡易的な分析が済んだところだ。			待たせたな……。クジラの応急手当と、簡易的な分析が済んだところだ。			迷えるクジラと水脈							
当初の見立てどおり、大きな外傷はありませんでした。しかし、エーテル酔いに似た症状で、意識が混濁している様子……生体エーテルの値にも乱れが見られました。			当初の見立てどおり、大きな外傷はありませんでした。しかし、エーテル酔いに似た症状で、意識が混濁している様子……生体エーテルの値にも乱れが見られました。			迷えるクジラと水脈							
ああ、港に迷い込んだのも、そのせいだろうな。しかし、いったい何に影響を受けたのか……。			ああ、港に迷い込んだのも、そのせいだろうな。しかし、いったい何に影響を受けたのか……。			迷えるクジラと水脈							
やぁ、チャ・ラカ。それにForenameも。クジラの話は聞いたよ……大変なことになってるみたいだね。			やぁ、チャ・ラカ。それにForenameも。クジラの話は聞いたよ……大変なことになってるみたいだね。			迷えるクジラと水脈							
キット！　どうしてここに？			キット！　どうしてここに？			迷えるクジラと水脈							
同じエーテル学系の研究者として、少し気になることがあってね。水脈関係のことじゃないかって、君に相談に来たんだよ。			同じエーテル学系の研究者として、少し気になることがあってね。水脈関係のことじゃないかって、君に相談に来たんだよ。			迷えるクジラと水脈							
ちょうどクジラが迷いこんできたのと同じ頃！新型エーテライトを置いている、サベネア島のイェドリマンから、大量の魚が浜に打ち上がるという事件があったと、報告がきたんだ。			ちょうどクジラが迷いこんできたのと同じ頃！新型エーテライトを置いている、サベネア島のイェドリマンから、大量の魚が浜に打ち上がるという事件があったと、報告がきたんだ。			迷えるクジラと水脈							
なるほど、離れた場所で同時に起きた、ふたつの事件か……。海洋生物の異常行動は、災害の前触れであることもあり得るし、確かに俺の研究とも関連があるかもしれないな。			なるほど、離れた場所で同時に起きた、ふたつの事件か……。海洋生物の異常行動は、災害の前触れであることもあり得るし、確かに俺の研究とも関連があるかもしれないな。			迷えるクジラと水脈							
でも、生物に強いエーテル酔いを与えるほどの水脈の乱れかぁ……。俺の「水脈潮汐説」でも、それほどの変動は予測できちゃいない。			でも、生物に強いエーテル酔いを与えるほどの水脈の乱れかぁ……。俺の「水脈潮汐説」でも、それほどの変動は予測できちゃいない。			迷えるクジラと水脈							
あくまで水脈は、一定のリズムで世界を巡っているはず。その考えを証明するために、今までデータ分析を重ねてきたんだ。			あくまで水脈は、一定のリズムで世界を巡っているはず。その考えを証明するために、今までデータ分析を重ねてきたんだ。			迷えるクジラと水脈							
突発的な水脈の乱れが事実だとしたら、その原因を特定するまで、俺の理論の証明は遠のいちまう。クジラたちの件の究明は元より、な……。			突発的な水脈の乱れが事実だとしたら、その原因を特定するまで、俺の理論の証明は遠のいちまう。クジラたちの件の究明は元より、な……。			迷えるクジラと水脈							
クジラの件については、近海の水脈に異変がないかどうか、魔法大学がシャーレアン沖に、調査船を出すことになっています。同じことが続けば、都市にとっても問題ですからね。			クジラの件については、近海の水脈に異変がないかどうか、魔法大学がシャーレアン沖に、調査船を出すことになっています。同じことが続けば、都市にとっても問題ですからね。			迷えるクジラと水脈							
そしてキットさんが伝えてくれたように、2件の関連を探るなら、サベネア島側も調査しなければというところでしょうか……。			そしてキットさんが伝えてくれたように、2件の関連を探るなら、サベネア島側も調査しなければというところでしょうか……。			迷えるクジラと水脈							
そうなるね、両方を調べなくちゃ始まらないよ。現地のシャーレアンの協力者に頼んでみるか、それとも……あっ、ちょうど事情に通じた適任者がいるんじゃない？			そうなるね、両方を調べなくちゃ始まらないよ。現地のシャーレアンの協力者に頼んでみるか、それとも……あっ、ちょうど事情に通じた適任者がいるんじゃない？			迷えるクジラと水脈							
何と言う？			何と言う？			迷えるクジラと水脈							
もちろん、自分がサベネア島に向かおう			もちろん、自分がサベネア島に向かおう			迷えるクジラと水脈							
やっぱり自分の出番か……			やっぱり自分の出番か……			迷えるクジラと水脈							
