モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			がんばれ、テイナー							
ふむ……まずは動力を入れる前に、接合の確認からだな。無理に動かしてバラバラになったんじゃコトだ……。なーんて、案外覚えてるじゃないか私ぃ～！			ふむ……まずは動力を入れる前に、接合の確認からだな。無理に動かしてバラバラになったんじゃコトだ……。なーんて、案外覚えてるじゃないか私ぃ～！			ラダー大昇降機							
って、ななな、何を見ている！ほら、お前も突っ立ってないで昇降機の修理をするんだ！			って、ななな、何を見ている！ほら、お前も突っ立ってないで昇降機の修理をするんだ！			ラダー大昇降機							
タロースがちゃんと残っていて、よかったわぁ。こうして点検しているあの人を見ていると、アム・アレーンで暮らした、若かりしころを思い出しちゃう！			タロースがちゃんと残っていて、よかったわぁ。こうして点検しているあの人を見ていると、アム・アレーンで暮らした、若かりしころを思い出しちゃう！			ラダー大昇降機							
ああ、Forenameさん……ご覧ください、あの2体の立派なタロースを……。			ああ、Forenameさん……ご覧ください、あの2体の立派なタロースを……。			ラダー大昇降機							
ユールモアの倉庫に、大事に保管されていて、助かりました。今は、チャイ・ヌズ氏が、起動のための点検をしておられます。			ユールモアの倉庫に、大事に保管されていて、助かりました。今は、チャイ・ヌズ氏が、起動のための点検をしておられます。			ラダー大昇降機							
私やヤ・シュトラは、魔法学的な見地から、その補佐を……。最終的に魔力を注ぐ役目も、お任せください。			私やヤ・シュトラは、魔法学的な見地から、その補佐を……。最終的に魔力を注ぐ役目も、お任せください。			ラダー大昇降機							
ほかの皆さんは、大昇降機そのものの準備を整えるべく、各々、補修や材料調達にあたってくださっています。			ほかの皆さんは、大昇降機そのものの準備を整えるべく、各々、補修や材料調達にあたってくださっています。			ラダー大昇降機							
あまり時間を費やせないことを考えると、あなたのお力もお借りしたいのですが……よろしいでしょうか？			あまり時間を費やせないことを考えると、あなたのお力もお借りしたいのですが……よろしいでしょうか？			ラダー大昇降機							
ありがとうございます。では、南にある「ヴェンモント造船所」に向かい、補修用の木材をわけてもらえないか、交渉をお願いします。			ありがとうございます。では、南にある「ヴェンモント造船所」に向かい、補修用の木材をわけてもらえないか、交渉をお願いします。			ラダー大昇降機							
南にある「ヴェンモント造船所」に向かい、補修用の木材をわけてもらえないか、交渉をお願いします。その間に、こちらの準備も進めておきましょう。			南にある「ヴェンモント造船所」に向かい、補修用の木材をわけてもらえないか、交渉をお願いします。その間に、こちらの準備も進めておきましょう。			ラダー大昇降機							
……あー？　見ない顔だな、ゲートタウンの新参者か？バラック用の木材なら安く売るぞ。建てるとこまでっていうなら、値段は応相談だな。			……あー？　見ない顔だな、ゲートタウンの新参者か？バラック用の木材なら安く売るぞ。建てるとこまでっていうなら、値段は応相談だな。			ラダー大昇降機							
んへっ！？　ラダー大昇降機を動かすから木材がほしい！？			んへっ！？　ラダー大昇降機を動かすから木材がほしい！？			ラダー大昇降機							
まっさか～、今更そんなことする奴がいるわけねぇだろ！大方、タダで木材をもらってこうって魂胆だろうが、もう少しありえそうな嘘をつけよな！			まっさか～、今更そんなことする奴がいるわけねぇだろ！大方、タダで木材をもらってこうって魂胆だろうが、もう少しありえそうな嘘をつけよな！			ラダー大昇降機							
ま、その勢いに免じて、チャンスはやるよ。この造船所にある、「板材」の数を正しく数えられたら、お土産に木材をやってもいいぞ。			ま、その勢いに免じて、チャンスはやるよ。この造船所にある、「板材」の数を正しく数えられたら、お土産に木材をやってもいいぞ。			ラダー大昇降機							
「板材」は、そのあたりに積み重ねてあるほかに、倉庫の中でも保管してある。それについては「グルシル」に聞きゃ、教えてくれるはずだ。			「板材」は、そのあたりに積み重ねてあるほかに、倉庫の中でも保管してある。それについては「グルシル」に聞きゃ、教えてくれるはずだ。			ラダー大昇降機							
紙とペンを貸してやるから、メモしながら数えるといいぞ。合計の数がわかったら、オレに言いに来いよ。んじゃま、がんばれ～！			紙とペンを貸してやるから、メモしながら数えるといいぞ。合計の数がわかったら、オレに言いに来いよ。んじゃま、がんばれ～！			ラダー大昇降機							
造船所内で、板材の数について、情報を集めましょう！得た情報はメモに記され、イベントアイテムから確認することができます。			造船所内で、板材の数について、情報を集めましょう！得た情報はメモに記され、イベントアイテムから確認することができます。			ラダー大昇降機							
この造船所にある、「板材」の数を数えて、オレに言いに来てくれよな！			この造船所にある、「板材」の数を数えて、オレに言いに来てくれよな！			ラダー大昇降機							
「板材」は、そのあたりに積み重ねてあるほかに、倉庫の中でも保管してある。それについては「グルシル」に聞きゃ、教えてくれるはずだ。			「板材」は、そのあたりに積み重ねてあるほかに、倉庫の中でも保管してある。それについては「グルシル」に聞きゃ、教えてくれるはずだ。			ラダー大昇降機							
この資材置き場には、「11枚」の板材が置かれている……。調べた数を、メモに書き記した！			この資材置き場には、「11枚」の板材が置かれている……。調べた数を、メモに書き記した！			ラダー大昇降機							
この資材置き場には、「24枚」の板材が置かれている……。調べた数を、メモに書き記した！			この資材置き場には、「24枚」の板材が置かれている……。調べた数を、メモに書き記した！			ラダー大昇降機							
うん？　中に保管されてる板材の数が知りたいって？そりゃ、別に構わないが……。			うん？　中に保管されてる板材の数が知りたいって？そりゃ、別に構わないが……。			ラダー大昇降機							
前に数えたときは、確か「68枚」の板材があったな……。			前に数えたときは、確か「68枚」の板材があったな……。			ラダー大昇降機							
ああでも、そのうち「9枚」は腐っちまってて、廃棄したんだったか……。			ああでも、そのうち「9枚」は腐っちまってて、廃棄したんだったか……。			ラダー大昇降機							
おい、グルシル。アーヴィスにはもう言ったが、ちょうど今、新しい板材が届いたぞ。			おい、グルシル。アーヴィスにはもう言ったが、ちょうど今、新しい板材が届いたぞ。			ラダー大昇降機							
届いたのは「13枚」だが、うち「1枚」は運搬中に割れちまったみたいで、薪にでもするしかなさそうだ。			届いたのは「13枚」だが、うち「1枚」は運搬中に割れちまったみたいで、薪にでもするしかなさそうだ。			ラダー大昇降機							
了解、無事なやつは、この中に運んでくれ。			了解、無事なやつは、この中に運んでくれ。			ラダー大昇降機							
……あれ？すると結局、何枚になるんだ……？			……あれ？すると結局、何枚になるんだ……？			ラダー大昇降機							
まあ、きっとお前がメモしてくれてるよな！それじゃ、勘定よろしくな！			まあ、きっとお前がメモしてくれてるよな！それじゃ、勘定よろしくな！			ラダー大昇降機							
グルシルとの会話を、メモに書き記した！			グルシルとの会話を、メモに書き記した！			ラダー大昇降機							
この中にある板材の数は、結局何枚だったかな……。お前、メモを取ってるんじゃないか？			この中にある板材の数は、結局何枚だったかな……。お前、メモを取ってるんじゃないか？			ラダー大昇降機							
板材の枚数について記したメモは、イベントアイテムから確認することができます。			板材の枚数について記したメモは、イベントアイテムから確認することができます。			ラダー大昇降機							
どうだ？　板材の数は数えられたか？			どうだ？　板材の数は数えられたか？			ラダー大昇降機							
板材の枚数は……			板材の枚数は……			ラダー大昇降機							
11枚			11枚			ラダー大昇降機							
24枚			24枚			ラダー大昇降機							
35枚			35枚			ラダー大昇降機							
71枚			71枚			ラダー大昇降機							
103枚			103枚			ラダー大昇降機							
106枚			106枚			ラダー大昇降機							
126枚			126枚			ラダー大昇降機							
150枚			150枚			ラダー大昇降機							
答えない			答えない			ラダー大昇降機							
うーん、そんなに少なくないはずだぞ？メモを見直して、もう一度、よく数えてみるんだな。			うーん、そんなに少なくないはずだぞ？メモを見直して、もう一度、よく数えてみるんだな。			ラダー大昇降機							
……もしかして、外に積んである分を忘れてないか？メモを見直して、もう一度、よく数えてみるんだな。			……もしかして、外に積んである分を忘れてないか？メモを見直して、もう一度、よく数えてみるんだな。			ラダー大昇降機							
確かに、もともとはそれくらいだったな……。けど、廃棄したり、新しく届いた分があったはずだぞ？メモを見直して、もう一度、よく数えてみるんだな。			確かに、もともとはそれくらいだったな……。けど、廃棄したり、新しく届いた分があったはずだぞ？メモを見直して、もう一度、よく数えてみるんだな。			ラダー大昇降機							
おっ、正解～！ちょうどそれくらいのはずだ。			おっ、正解～！ちょうどそれくらいのはずだ。			ラダー大昇降機							
いやぁ、なかなか面倒だったろうに、よく付き合ってくれたな、アンタ。どうして、そこまでして木材がほしかったんだ？			いやぁ、なかなか面倒だったろうに、よく付き合ってくれたな、アンタ。どうして、そこまでして木材がほしかったんだ？			ラダー大昇降機							
……へっ？本気の本気で大昇降機を？　マジで！？			……へっ？本気の本気で大昇降機を？　マジで！？			ラダー大昇降機							
おおう、なんだよ、そうと知ってたら、木材はもちろん、俺たちのウデだって振るうっつーの！			おおう、なんだよ、そうと知ってたら、木材はもちろん、俺たちのウデだって振るうっつーの！			ラダー大昇降機							
いやぁ、俺たちも「造船所」なんて名ばかりで、バラックを作ってばかりの生活に飽き飽きしてたんだ。			いやぁ、俺たちも「造船所」なんて名ばかりで、バラックを作ってばかりの生活に飽き飽きしてたんだ。			ラダー大昇降機							
……あ、でも、ユールモアのお偉方がいるんだっけ？俺たちみたいな貧しい連中が押しかけたら、嫌がられるかな？			……あ、でも、ユールモアのお偉方がいるんだっけ？俺たちみたいな貧しい連中が押しかけたら、嫌がられるかな？			ラダー大昇降機							
何と言う？			何と言う？			ラダー大昇降機							
大丈夫！			大丈夫！			ラダー大昇降機							
むしろ指導してやって			むしろ指導してやって			ラダー大昇降機							
マジか！　うひょ～、ワクワクしてきた！そんじゃ、あとで仲間を連れて大昇降機に行くわ。木材も一緒に持ってくから、心配すんなよな！			マジか！　うひょ～、ワクワクしてきた！そんじゃ、あとで仲間を連れて大昇降機に行くわ。木材も一緒に持ってくから、心配すんなよな！			ラダー大昇降機							
……なんか、ちょっと多くないか？破棄した奴とか、ちゃんと引いてくれよ。メモを見直して、もう一度、よく数えてみるんだな。			……なんか、ちょっと多くないか？破棄した奴とか、ちゃんと引いてくれよ。メモを見直して、もう一度、よく数えてみるんだな。			ラダー大昇降機							
大分多い気がするなぁ……。っていうか、キリがいい数字を言っただけじゃねぇ？メモを見直して、もう一度、よく数えてみるんだな。			大分多い気がするなぁ……。っていうか、キリがいい数字を言っただけじゃねぇ？メモを見直して、もう一度、よく数えてみるんだな。			ラダー大昇降機							
木材は、あとでオレたちが持ってってやるよ！アンタは先に、ラダー大昇降機に戻ってていいぞ！			木材は、あとでオレたちが持ってってやるよ！アンタは先に、ラダー大昇降機に戻ってていいぞ！			ラダー大昇降機							
アーヴィスの騒ぎ声なら、よーく聞こえてたぞ。こいつは、おもしろいことになってきた！			アーヴィスの騒ぎ声なら、よーく聞こえてたぞ。こいつは、おもしろいことになってきた！			ラダー大昇降機							
みんなのおかげで、だいぶ準備が整ってきたんだ。ラダー大昇降機が動くことが、単なる経路確保に留まらず、コルシア島の変化の第一歩となってくれることを願うよ。			みんなのおかげで、だいぶ準備が整ってきたんだ。ラダー大昇降機が動くことが、単なる経路確保に留まらず、コルシア島の変化の第一歩となってくれることを願うよ。			ラダー大昇降機							
不足していた資材は、集められるだけ集めてきたわ。アルフィノが信じて拓いた道ですもの、やれるだけのことはやってあげるわよ。			不足していた資材は、集められるだけ集めてきたわ。アルフィノが信じて拓いた道ですもの、やれるだけのことはやってあげるわよ。			ラダー大昇降機							
住民たちのことにしても、いい流れになってる。このままの勢いで、ヴァウスリーに追いつきたいところだな。			住民たちのことにしても、いい流れになってる。このままの勢いで、ヴァウスリーに追いつきたいところだな。			ラダー大昇降機							
あっ、Forenameさん！木材は手に入りましたか……？			あっ、Forenameさん！木材は手に入りましたか……？			ラダー大昇降機							
この大昇降機、遠くから見たときは、黒いから鉄だとばっかり思っていたのですが……よく見ると、木が使われている部分も多いんですね。			この大昇降機、遠くから見たときは、黒いから鉄だとばっかり思っていたのですが……よく見ると、木が使われている部分も多いんですね。			ラダー大昇降機							
……大丈夫かしら、ダイダロス社の跡取りさんは。			……大丈夫かしら、ダイダロス社の跡取りさんは。			ラダー大昇降機							
ぐぬぬ……なんて半端な設計だ！うちのタロースだったら、もっと効率的に動くものを！これだから他社製品は……ブツブツ……。			ぐぬぬ……なんて半端な設計だ！うちのタロースだったら、もっと効率的に動くものを！これだから他社製品は……ブツブツ……。			ラダー大昇降機							
大変、あの人ったら、すごい汗だわ。それだけがんばってるなら、きっと間もなく、タロースが動くに違いないわね！			大変、あの人ったら、すごい汗だわ。それだけがんばってるなら、きっと間もなく、タロースが動くに違いないわね！			ラダー大昇降機							
お戻りになられたのですね。木材の方は、いかがでしたでしょうか……？			お戻りになられたのですね。木材の方は、いかがでしたでしょうか……？			ラダー大昇降機							
おや……造船所の職人たちの協力まで得られたとは。これで、大昇降機の修理は、安泰といえましょう。			おや……造船所の職人たちの協力まで得られたとは。これで、大昇降機の修理は、安泰といえましょう。			ラダー大昇降機							
タロースの方は、チャイ・ヌズ氏が少々苦戦なさっていますが、私とヤ・シュトラから見ても、状態は少しずつ改善されています。			タロースの方は、チャイ・ヌズ氏が少々苦戦なさっていますが、私とヤ・シュトラから見ても、状態は少しずつ改善されています。			ラダー大昇降機							
ほどなくして、すべての用意が整うでしょう。時間はかかりましたが、今やっと、人は向きを同じくして、滅びの宿命に打ち勝たんとしている……。			ほどなくして、すべての用意が整うでしょう。時間はかかりましたが、今やっと、人は向きを同じくして、滅びの宿命に打ち勝たんとしている……。			ラダー大昇降機							
……Forenameさん、その結末にはどうか、あなたの笑顔があらんことを。冒険の終わりには、別れがつきものなのだとしても……。			……Forenameさん、その結末にはどうか、あなたの笑顔があらんことを。冒険の終わりには、別れがつきものなのだとしても……。			ラダー大昇降機							
トップラングのアルフィノは、提案があるようだ。			トップラングのアルフィノは、提案があるようだ。			これが最後の							
ヤ・シュトラと話す			ヤ・シュトラと話す			これが最後の							
ヤ・シュトラと再度話す			ヤ・シュトラと再度話す			これが最後の							
見覚えのある翡翠に魔力を込める			見覚えのある翡翠に魔力を込める			これが最後の							
チャイ・ヌズと話す			チャイ・ヌズと話す			これが最後の							
さて、私はこのあとアミティーに向かうのだが、よければ一緒に行かないかい？			さて、私はこのあとアミティーに向かうのだが、よければ一緒に行かないかい？			これが最後の							
あちらには、ヤ・シュトラの連れてきた「夜の民」をはじめ、魔法に長けた面々が集まっているんだ。チャイ・ヌズ殿から、タロースの起動法を聞くためにね。			あちらには、ヤ・シュトラの連れてきた「夜の民」をはじめ、魔法に長けた面々が集まっているんだ。チャイ・ヌズ殿から、タロースの起動法を聞くためにね。			これが最後の							
私も、以後は彼らとともに行動することになっているんだ。さっそく行ってみよう！			私も、以後は彼らとともに行動することになっているんだ。さっそく行ってみよう！			これが最後の							
こちらもつつがなく、人の配備が進んでいるようだ。タロース起動のときは近い……ということだね……。			こちらもつつがなく、人の配備が進んでいるようだ。タロース起動のときは近い……ということだね……。			これが最後の							
ただいま戻りました。クリスタリウムからは、かなりの数の衛兵を、人々の警護と、魔力の提供のために借りることができました。			ただいま戻りました。クリスタリウムからは、かなりの数の衛兵を、人々の警護と、魔力の提供のために借りることができました。			これが最後の							
街の警備が、少々手薄にはなっておりますが……そこはそれ、「自分が必ず護り抜きます」と、ライナ殿から力強いお言葉をいただいております。			街の警備が、少々手薄にはなっておりますが……そこはそれ、「自分が必ず護り抜きます」と、ライナ殿から力強いお言葉をいただいております。			これが最後の							
Forename！　久しぶり！なんだかすごい計画になってるなぁ。			Forename！　久しぶり！なんだかすごい計画になってるなぁ。			これが最後の							
「夜の民」も、もちろん協力は惜しまないよ。それから、「ファノヴの里」からも数名、力を貸しに来てくれているんだ。			「夜の民」も、もちろん協力は惜しまないよ。それから、「ファノヴの里」からも数名、力を貸しに来てくれているんだ。			これが最後の							
ここは……この配置で石材を……。ならば先に、こちら側から魔力を流すか……ふむ……。			ここは……この配置で石材を……。ならば先に、こちら側から魔力を流すか……ふむ……。			これが最後の							
あら、ごめんなさい。ひさしぶりに立ちっぱなしでいたら、ちょっと貧血になってしまって……。			あら、ごめんなさい。ひさしぶりに立ちっぱなしでいたら、ちょっと貧血になってしまって……。			これが最後の							
私の旦那様は、すごいわ……本当に……。あとでお水をいただいて、持って行ってあげようと思うの。			私の旦那様は、すごいわ……本当に……。あとでお水をいただいて、持って行ってあげようと思うの。			これが最後の							
おつかれさまです！罪喰いが飛んで来ようが、フルドゥが突っ込んでこようが、皆さんのことを、お護りします！			おつかれさまです！罪喰いが飛んで来ようが、フルドゥが突っ込んでこようが、皆さんのことを、お護りします！			これが最後の							
あら、戻っていたのね。こちらはタロースに魔力を注いでくれる人員が、十分に集まっているわよ。			あら、戻っていたのね。こちらはタロースに魔力を注いでくれる人員が、十分に集まっているわよ。			これが最後の							
ミスター・チャイの設計も最終確認の段階にきたから、配備できるところから、人を送っているわ。			ミスター・チャイの設計も最終確認の段階にきたから、配備できるところから、人を送っているわ。			これが最後の							
そう言うと、さも綿密に設計できているかのようだな！？蓋を開けて驚くなよ、かつてないほどザックリ試算だ！			そう言うと、さも綿密に設計できているかのようだな！？蓋を開けて驚くなよ、かつてないほどザックリ試算だ！			これが最後の							
そうでしょうか……？私の目から見ると、素早いながらも、緻密な計算と根拠に基づいた設計に感じられますが。			そうでしょうか……？私の目から見ると、素早いながらも、緻密な計算と根拠に基づいた設計に感じられますが。			これが最後の							
う……こ、この程度は当然だろう……。ダイダロス社の受け継いできた技術は、腐っても本物なのだから……。			う……こ、この程度は当然だろう……。ダイダロス社の受け継いできた技術は、腐っても本物なのだから……。			これが最後の							
ああ、それから、お前と一緒に集めたという鉱石を、先ほど水晶公が運んできたぞ。確か「大地の種」とか言ったか……。			ああ、それから、お前と一緒に集めたという鉱石を、先ほど水晶公が運んできたぞ。確か「大地の種」とか言ったか……。			これが最後の							
あれほどの質と量があれば、申し分のない心核とすることができるだろう。			あれほどの質と量があれば、申し分のない心核とすることができるだろう。			これが最後の							
これで準備の方は、ひととおり……と言いたいところではあるが……。			これで準備の方は、ひととおり……と言いたいところではあるが……。			これが最後の							
何か懸念が……？			何か懸念が……？			これが最後の							
今さら言うまでもないが、私たちが造ろうとしているタロースは、前代未聞の大きさだ。			今さら言うまでもないが、私たちが造ろうとしているタロースは、前代未聞の大きさだ。			これが最後の							
通常のタロースならば、心核さえあれば魔力を巡らせられるが、今回は、やや心もとない……。節々に、小さな心核を仕込んでおければ、万全なのだが……。			通常のタロースならば、心核さえあれば魔力を巡らせられるが、今回は、やや心もとない……。節々に、小さな心核を仕込んでおければ、万全なのだが……。			これが最後の							
もう一度、鉱石を採ってきてもらうしかない……か……？			もう一度、鉱石を採ってきてもらうしかない……か……？			これが最後の							
……ルナル。あれを出してもらえるかしら？			……ルナル。あれを出してもらえるかしら？			これが最後の							
みんなに、見てほしいものがあるんだ。すぐ準備をするから、少し待っててくれ。			みんなに、見てほしいものがあるんだ。すぐ準備をするから、少し待っててくれ。			これが最後の							
これは……もしや、命名石でしょうか……？「夜の民」が肌身離さずつけている……。			これは……もしや、命名石でしょうか……？「夜の民」が肌身離さずつけている……。			これが最後の							
ああ、そのとおり。ただし、オイラたちのじゃない……亡くなって、葬儀を上げられた仲間のものだ。			ああ、そのとおり。ただし、オイラたちのじゃない……亡くなって、葬儀を上げられた仲間のものだ。			これが最後の							
これらの石は、導師たちが祈りを込めた聖水に浸けられていた。それによって、少なからず魔力を帯びているでしょう。			これらの石は、導師たちが祈りを込めた聖水に浸けられていた。それによって、少なからず魔力を帯びているでしょう。			これが最後の							
タロースに組み込む前に、私たちが魔力を込めれば、なおのこと……。役に立てるのではないかと思うのだけれど？			タロースに組み込む前に、私たちが魔力を込めれば、なおのこと……。役に立てるのではないかと思うのだけれど？			これが最後の							
うむ……別の土地の石では、主要な心核にはできないが……今回のような目的においては、十分すぎるほどだろう。			うむ……別の土地の石では、主要な心核にはできないが……今回のような目的においては、十分すぎるほどだろう。			これが最後の							
よかった……。マトーヤの姐さんから今回のことを聞いたとき、もしかしたら役立つかもって、ピンときたんだ。			よかった……。マトーヤの姐さんから今回のことを聞いたとき、もしかしたら役立つかもって、ピンときたんだ。			これが最後の							
もちろん「夜の民」のみんなと、相談もしたよ。これは天の暗き海に輝く、地上を去った仲間たちの、命の輝きだからね……。			もちろん「夜の民」のみんなと、相談もしたよ。これは天の暗き海に輝く、地上を去った仲間たちの、命の輝きだからね……。			これが最後の							
だけど、オイラたちはもう、本当の天の暗き海を見た。過ぎ去った誰かの命は、そこでちゃんと輝いていた……。			だけど、オイラたちはもう、本当の天の暗き海を見た。過ぎ去った誰かの命は、そこでちゃんと輝いていた……。			これが最後の							
だったら迷うことはない。この石は、世界すべてに闇を取り戻すために使えばいい。……「夜の民」に、それを拒む者はいなかったよ。			だったら迷うことはない。この石は、世界すべてに闇を取り戻すために使えばいい。……「夜の民」に、それを拒む者はいなかったよ。			これが最後の							
では、ミスター・チャイ。この石をどう配置すればいいか、指示をお願いできて？			では、ミスター・チャイ。この石をどう配置すればいいか、指示をお願いできて？			これが最後の							
それから、Forename……勝利への願掛けだと思って、あなたもひとつ、石に魔力を込めてくれるかしら。			それから、Forename……勝利への願掛けだと思って、あなたもひとつ、石に魔力を込めてくれるかしら。			これが最後の							
この計画は、この場にいない多くの人にも、支えられてる。そんなすべての人の想いを持って……必ず、ヴァウスリーのもとに到達してみせよう。			この計画は、この場にいない多くの人にも、支えられてる。そんなすべての人の想いを持って……必ず、ヴァウスリーのもとに到達してみせよう。			これが最後の							
故人が遺してくれたものが、私たちを未来へと繋ぐ。それは、白聖石も同じこと……。			故人が遺してくれたものが、私たちを未来へと繋ぐ。それは、白聖石も同じこと……。			これが最後の							
オイラからもよろしく頼むよ、Forename。			オイラからもよろしく頼むよ、Forename。			これが最後の							
ああ、石への魔力充填は任せた。私の役目は、それを最大の効率で使えるように考えることだ。			ああ、石への魔力充填は任せた。私の役目は、それを最大の効率で使えるように考えることだ。			これが最後の							
それじゃあ、さっそくやってもらおうかしら。			それじゃあ、さっそくやってもらおうかしら。			これが最後の							
難しいことはないわ、石に手をかざして、エーテライトと交感するときのように集中するの。この、翡翠の石にお願いね。			難しいことはないわ、石に手をかざして、エーテライトと交感するときのように集中するの。この、翡翠の石にお願いね。			これが最後の							
その翡翠の石に、あなたの魔力を……。			その翡翠の石に、あなたの魔力を……。			これが最後の							
どこか見覚えのある翡翠の石が、微かに光ったような気がした……。			どこか見覚えのある翡翠の石が、微かに光ったような気がした……。			これが最後の							
……十分なようね。ありがとう、Forename。			……十分なようね。ありがとう、Forename。			これが最後の							
その翡翠は、いちばん最近……あなたの見守る中で水鏡に送られた、トッディアの石よ。			その翡翠は、いちばん最近……あなたの見守る中で水鏡に送られた、トッディアの石よ。			これが最後の							
「夜の民」が送る、罪喰いによる犠牲者は、彼女で最後になる……私たちが、そうしてみせる。			「夜の民」が送る、罪喰いによる犠牲者は、彼女で最後になる……私たちが、そうしてみせる。			これが最後の							
できたぞ、石を埋め込む地点を、図に記しておいた。たっぷり魔力を注いだ上で、記載してあるように使ってくれ。			できたぞ、石を埋め込む地点を、図に記しておいた。たっぷり魔力を注いだ上で、記載してあるように使ってくれ。			これが最後の							
了解よ……それじゃあ、私たちもそろそろ、現場に向かって出発するわ。			了解よ……それじゃあ、私たちもそろそろ、現場に向かって出発するわ。			これが最後の							
タロースによってグルグ火山への道が切り拓けたら、私たちは、ヴァウスリーを目掛けて突入することになる。			タロースによってグルグ火山への道が切り拓けたら、私たちは、ヴァウスリーを目掛けて突入することになる。			これが最後の							
君にはそれまで、しばしの休息を取っていてほしい。またあとで……決戦のときに！			君にはそれまで、しばしの休息を取っていてほしい。またあとで……決戦のときに！			これが最後の							
……最後に聞いておくわ、ウリエンジェ。この人が己に封じている光について、対処法とやらは、きちんと準備できているのでしょうね？			……最後に聞いておくわ、ウリエンジェ。この人が己に封じている光について、対処法とやらは、きちんと準備できているのでしょうね？			これが最後の							
……はい、約束いたしましょう。すべての鍵は、すでにこの地に揃っていると。			……はい、約束いたしましょう。すべての鍵は、すでにこの地に揃っていると。			これが最後の							
何と言う？			何と言う？			これが最後の							
次もきっと大丈夫！			次もきっと大丈夫！			これが最後の							
ウリエンジェを信じよう			ウリエンジェを信じよう			これが最後の							
詳しく話してはくれないのか			詳しく話してはくれないのか			これが最後の							
ええ、まずは何より、そうであることを願っております。そのためにも、あなたの束の間の休息が、よいものであらんことを……。			ええ、まずは何より、そうであることを願っております。そのためにも、あなたの束の間の休息が、よいものであらんことを……。			これが最後の							
私は切に願います。ミンフィリアやアルバートたちが護った世界と、こうしてお優しいあなたに、未来あれと。			私は切に願います。ミンフィリアやアルバートたちが護った世界と、こうしてお優しいあなたに、未来あれと。			これが最後の							
その気持ちに偽りがないことを、改めて誓いましょう。そして、あなたの束の間の休息が、よいものであらんことを願っております……。			その気持ちに偽りがないことを、改めて誓いましょう。そして、あなたの束の間の休息が、よいものであらんことを願っております……。			これが最後の							
申し訳ございません……。ときが来るまで黙していることこそが、最も成功の可能性を高めるのです……。			申し訳ございません……。ときが来るまで黙していることこそが、最も成功の可能性を高めるのです……。			これが最後の							
この沈黙は、あなたを救いたいがこそ……そう思っていただけると幸いです。どうか今は、憂うことなく休息をお取りください。			この沈黙は、あなたを救いたいがこそ……そう思っていただけると幸いです。どうか今は、憂うことなく休息をお取りください。			これが最後の							
さて、魔力を込める部隊も行った。身体とする石材の準備も、着々と進んでいるという……。			さて、魔力を込める部隊も行った。身体とする石材の準備も、着々と進んでいるという……。			これが最後の							
私も、ギリギリまで調整すべき点がないか確認を続けるが、ここに至っては、待つのが主な仕事になるだろう。			私も、ギリギリまで調整すべき点がないか確認を続けるが、ここに至っては、待つのが主な仕事になるだろう。			これが最後の							
いよいよだな……。ノルヴラント中の力を結集させて、世界を……本当に、覆せるのだろうか……。			いよいよだな……。ノルヴラント中の力を結集させて、世界を……本当に、覆せるのだろうか……。			これが最後の							
アミティーのチャイ・ヌズは、落ち着かない様子だ。			アミティーのチャイ・ヌズは、落ち着かない様子だ。			目覚めたら							
ドゥリア・チャイと話す			ドゥリア・チャイと話す			目覚めたら							
水晶公を探す			水晶公を探す			目覚めたら							
水晶公と話す			水晶公と話す			目覚めたら							
あら、ごめんなさい。ひさしぶりに立ちっぱなしでいたら、ちょっと貧血になってしまって……。			あら、ごめんなさい。ひさしぶりに立ちっぱなしでいたら、ちょっと貧血になってしまって……。			目覚めたら							
私の旦那様は、すごいわ……本当に……。あとでお水をいただいて、持って行ってあげようと思うの。			私の旦那様は、すごいわ……本当に……。あとでお水をいただいて、持って行ってあげようと思うの。			目覚めたら							
ええい、ここで案じていても仕方がないな！私は確認を続けるから、お前は言われたとおり、休んでくるがいい！			ええい、ここで案じていても仕方がないな！私は確認を続けるから、お前は言われたとおり、休んでくるがいい！			目覚めたら							
この建物の中で、妻と、水晶公も休んでいるはずだ。お前も行って、飲み物の一杯でもあおって、一息つくがいい。			この建物の中で、妻と、水晶公も休んでいるはずだ。お前も行って、飲み物の一杯でもあおって、一息つくがいい。			目覚めたら							
………………ありがとうな、いろいろと。			………………ありがとうな、いろいろと。			目覚めたら							
な、なんだ……！いいから休憩してこいと言っているだろう！			な、なんだ……！いいから休憩してこいと言っているだろう！			目覚めたら							
……水晶公？あら、あなた、外で出会わなかった？			……水晶公？あら、あなた、外で出会わなかった？			目覚めたら							
しばらくここで休んでいらっしゃったのだけれど、なんだか具合が悪いようで、とても苦しそうだったの……。			しばらくここで休んでいらっしゃったのだけれど、なんだか具合が悪いようで、とても苦しそうだったの……。			目覚めたら							
そのうちに、「風にあたってくる」とおっしゃって、外に……。そう遠くには行っていないと思うのだけれど……心配ねぇ……。			そのうちに、「風にあたってくる」とおっしゃって、外に……。そう遠くには行っていないと思うのだけれど……心配ねぇ……。			目覚めたら							
水晶公なら、「風にあたってくる」とおっしゃって、外に……。足元もおぼつかない様子だったから、手を貸そうとしたのだけれど、断られてしまったわ。			水晶公なら、「風にあたってくる」とおっしゃって、外に……。足元もおぼつかない様子だったから、手を貸そうとしたのだけれど、断られてしまったわ。			目覚めたら							
