レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			帝国軍あざむき作戦							
フスィーッ……頼む、ピュウを無事に育成地に連れ戻してくれ。恐らくまだ遠くには行ってない……きっとハーフストーン、北防波壁の近くにある「サハギン軍陣営」の近くにいるだろう。			フスィーッ……頼む、ピュウを無事に育成地に連れ戻してくれ。恐らくまだ遠くには行ってない……きっとハーフストーン、北防波壁の近くにある「サハギン軍陣営」の近くにいるだろう。			まほろばの血族							
ピュウの奴……きっと親父の役に立ちたかったんだろうが……フスィーッ……尻にぶら下がったフンを拭う、こっちの身にもなってみろってんだ！			ピュウの奴……きっと親父の役に立ちたかったんだろうが……フスィーッ……尻にぶら下がったフンを拭う、こっちの身にもなってみろってんだ！			まほろばの血族							
(-ハーフストーン・スケール-)フスィーッ……ヒレナシめ！関係ねぇ奴は、ひっこんでろっ！			(-ハーフストーン・スケール-)フスィーッ……ヒレナシめ！関係ねぇ奴は、ひっこんでろっ！			まほろばの血族							
(-ハーフストーン・クロウ-)フスィーッ……なんだてめぇは！？邪魔すんな！			(-ハーフストーン・クロウ-)フスィーッ……なんだてめぇは！？邪魔すんな！			まほろばの血族							
フスィーッ……まさかヒレナシに助けられるとは……親父に合わせる顔がないぜ……フスィーッ……。えっ……？　セェウの兄貴に言われて来た？			フスィーッ……まさかヒレナシに助けられるとは……親父に合わせる顔がないぜ……フスィーッ……。えっ……？　セェウの兄貴に言われて来た？			まほろばの血族							
フスィーッ……「珊瑚の銛」の奴らめ……。あいつら顔を見るなり、いきなり殴りかかってきやがって！まるで話が通じない……ホントに乱暴な連中だ！			フスィーッ……「珊瑚の銛」の奴らめ……。あいつら顔を見るなり、いきなり殴りかかってきやがって！まるで話が通じない……ホントに乱暴な連中だ！			まほろばの血族							
「対話こそが理解への潮流」……親父はいつも、そんなこと言ってるけど、やっぱ俺みたいなガキの言葉は、ナメられるだけなんだな……。			「対話こそが理解への潮流」……親父はいつも、そんなこと言ってるけど、やっぱ俺みたいなガキの言葉は、ナメられるだけなんだな……。			まほろばの血族							
フスィーッ……親父、怒ってるだろうなぁ……大手柄を立てて、兄貴たちをアッと言わせたかったのに……ゲンコツ、痛いだろうなぁ……フスィーッ……。			フスィーッ……親父、怒ってるだろうなぁ……大手柄を立てて、兄貴たちをアッと言わせたかったのに……ゲンコツ、痛いだろうなぁ……フスィーッ……。			まほろばの血族							
フスィーッ……戻ってきてくれたか。身内の恥を晒してしまい、まことにお恥ずかしい限りだ。ピュウには、きつく叱って言い聞かせよう。			フスィーッ……戻ってきてくれたか。身内の恥を晒してしまい、まことにお恥ずかしい限りだ。ピュウには、きつく叱って言い聞かせよう。			まほろばの血族							
実は我らサハギン族は、緩やかな絶滅の危機にある。我らの根拠地は、大いなる海「蒼茫洋」。同胞の多くは、深海の都で安らかに暮らしている。			実は我らサハギン族は、緩やかな絶滅の危機にある。我らの根拠地は、大いなる海「蒼茫洋」。同胞の多くは、深海の都で安らかに暮らしている。			まほろばの血族							
しかし、子孫を残す時には陸にあがる。「産卵地」で卵を産み、「育成地」で子を育てるために……。これは我らサハギン族の生態、もはや覆せぬ生の営みだ。			しかし、子孫を残す時には陸にあがる。「産卵地」で卵を産み、「育成地」で子を育てるために……。これは我らサハギン族の生態、もはや覆せぬ生の営みだ。			まほろばの血族							
先の霊災により、我らの産卵地は壊滅的な打撃を受けた……。だから我々は、仕方なくこの地に入植してきたのだ。……お前たちヒトが「西ラノシア」と呼ぶ、この地に。			先の霊災により、我らの産卵地は壊滅的な打撃を受けた……。だから我々は、仕方なくこの地に入植してきたのだ。……お前たちヒトが「西ラノシア」と呼ぶ、この地に。			まほろばの血族							
フスィーッ……お前たちにとってみれば、我らは突然、領土を蹂躙しにきた侵略者だろう。しかし、我らにとって陸地の確保は、まさに死活問題。			フスィーッ……お前たちにとってみれば、我らは突然、領土を蹂躙しにきた侵略者だろう。しかし、我らにとって陸地の確保は、まさに死活問題。			まほろばの血族							
この地を追われれば、我らは子を成し得ず、一族は滅ぶ。だからこそ……私はヒトと争いたくはない。共存共栄の潮流を、模索したいのだ！			この地を追われれば、我らは子を成し得ず、一族は滅ぶ。だからこそ……私はヒトと争いたくはない。共存共栄の潮流を、模索したいのだ！			まほろばの血族							
だが「珊瑚の銛」の連中は、それを理解せん。奴らは「海蛇の舌」のようにヒトを支配し、逆らう者は皆殺しにするつもりなのだ……。			だが「珊瑚の銛」の連中は、それを理解せん。奴らは「海蛇の舌」のようにヒトを支配し、逆らう者は皆殺しにするつもりなのだ……。			まほろばの血族							
フスィーッ……私とて、ヒトが憎くないわけではない。水神「リヴァイアサン」様を召喚することも、ヒトに水神信仰を伝え、テンパードと成すことも否定せん。			フスィーッ……私とて、ヒトが憎くないわけではない。水神「リヴァイアサン」様を召喚することも、ヒトに水神信仰を伝え、テンパードと成すことも否定せん。			まほろばの血族							
だが今の我らは、ヒトと争っている場合ではないのだ！フスィーッ……次世代の子どものため。サハギン族の種の繁栄のためにも……。			だが今の我らは、ヒトと争っている場合ではないのだ！フスィーッ……次世代の子どものため。サハギン族の種の繁栄のためにも……。			まほろばの血族							
Forename、お前の手が借りたい。サハギン族とヒトとの共存共栄の架け橋となるために。そして、それを邪魔する「珊瑚の銛」を退けるために……！			Forename、お前の手が借りたい。サハギン族とヒトとの共存共栄の架け橋となるために。そして、それを邪魔する「珊瑚の銛」を退けるために……！			まほろばの血族							
「ノォヴ一味」に手を貸す？			「ノォヴ一味」に手を貸す？			まほろばの血族							
フスィーッ……がんばりましょう！			フスィーッ……がんばりましょう！			まほろばの血族							
……いや、遠慮させてもらいます。			……いや、遠慮させてもらいます。			まほろばの血族							
よく言った、Forename！敵は「珊瑚の銛」だ！　奴らの凶行が続けば、ヒトとの和解どころか、対話すら成し得ぬ状況となろう。			よく言った、Forename！敵は「珊瑚の銛」だ！　奴らの凶行が続けば、ヒトとの和解どころか、対話すら成し得ぬ状況となろう。			まほろばの血族							
奴らの野望を水際で防ぎ、ヒトとの全面戦争を回避するのだ。フスィーッ……手を結び、共に戦おう。絶望への戦いを防ぐ、希望のための戦いを……！			奴らの野望を水際で防ぎ、ヒトとの全面戦争を回避するのだ。フスィーッ……手を結び、共に戦おう。絶望への戦いを防ぐ、希望のための戦いを……！			まほろばの血族							
フスィーッ……そうか、残念だ。お前なら理解してもらえるものと信じていたが……。			フスィーッ……そうか、残念だ。お前なら理解してもらえるものと信じていたが……。			まほろばの血族							
フスィーッ……やはりヒトはヒト、立場が違えば道理も違うか。しかし、私はお前を非難したりはしない。いつか再び、この育成地に戻ってくることを期待しているぞ。			フスィーッ……やはりヒトはヒト、立場が違えば道理も違うか。しかし、私はお前を非難したりはしない。いつか再び、この育成地に戻ってくることを期待しているぞ。			まほろばの血族							
「サハギン族：ノォヴ一味」との友好関係が「中立」になり、サハギン族の「友好部族クエスト」が開放されました。			「サハギン族：ノォヴ一味」との友好関係が「中立」になり、サハギン族の「友好部族クエスト」が開放されました。			まほろばの血族							
これ以降、ノォヴの育成地にいる「フュウ」より、繰り返し可能な「友好部族デイリークエスト」を受注することができます。			これ以降、ノォヴの育成地にいる「フュウ」より、繰り返し可能な「友好部族デイリークエスト」を受注することができます。			まほろばの血族							
また、「サハギン族のよろず屋」より、友好部族の取り扱う商品が購入できるようになりました。今後の冒険に役立てましょう！			また、「サハギン族のよろず屋」より、友好部族の取り扱う商品が購入できるようになりました。今後の冒険に役立てましょう！			まほろばの血族							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			まほろばの血族							
第789洞穴団の採掘地のピックマン789 ギ・グは、冒険者の嫌がらせへの協力にお礼を言いたいようだ。			第789洞穴団の採掘地のピックマン789 ギ・グは、冒険者の嫌がらせへの協力にお礼を言いたいようだ。			ゾ・ガの野望を挫け							
前回までの冒険録：黒渦団から、何者かに強奪された「人造硝石」の捜索を依頼された冒険者。男気のある黒渦団員「スケートスィス少甲士」と共に調査を進めた結果、犯人は「第789洞穴団」と呼ばれるコボルド族の集団であることが判明し、事件は無事解決する。しかし、帰路につく冒険者を、第789洞穴団の「ピックマン789 ギ・グ」がすがりついて引きとめた。なんでも第789洞穴団は、コボルド族の社会でも最底辺の落ちこぼれ集団で、「フューグルマン13 ゾ・ガ」というコボルド族の有力者によって深刻なイジメにあっているのだという。そんな環境を改善しようとしない第789洞穴団に、スケートスィス少甲士の怒りが爆発。冒険者もまきこんで、ゾ・ガに対する復讐……つまり「嫌がらせ」をすることになったのだが……。　　　　　　　　　　　　*　*　*キャンプ・オーバールックが、ウ・ガマロ武装鉱山のコボルド族に襲われたらしい。外地ラノシアのキャンプ・オーバールックに向かい、加勢中の「スケートスィス少甲士」と話そう			前回までの冒険録：黒渦団から、何者かに強奪された「人造硝石」の捜索を依頼された冒険者。男気のある黒渦団員「スケートスィス少甲士」と共に調査を進めた結果、犯人は「第789洞穴団」と呼ばれるコボルド族の集団であることが判明し、事件は無事解決する。しかし、帰路につく冒険者を、第789洞穴団の「ピックマン789 ギ・グ」がすがりついて引きとめた。なんでも第789洞穴団は、コボルド族の社会でも最底辺の落ちこぼれ集団で、「フューグルマン13 ゾ・ガ」というコボルド族の有力者によって深刻なイジメにあっているのだという。そんな環境を改善しようとしない第789洞穴団に、スケートスィス少甲士の怒りが爆発。冒険者もまきこんで、ゾ・ガに対する復讐……つまり「嫌がらせ」をすることになったのだが……。　　　　　　　　　　　　*　*　*キャンプ・オーバールックが、ウ・ガマロ武装鉱山のコボルド族に襲われたらしい。外地ラノシアのキャンプ・オーバールックに向かい、加勢中の「スケートスィス少甲士」と話そう			ゾ・ガの野望を挫け							
キャンプ・オーバールックでの戦闘はすでに終わっていた。スケートスィスは、襲撃したコボルド族の情報を調べたいらしい。第789洞穴団の採掘地の「ピックマン789 ギ・グ」に話を聞こう。			キャンプ・オーバールックでの戦闘はすでに終わっていた。スケートスィスは、襲撃したコボルド族の情報を調べたいらしい。第789洞穴団の採掘地の「ピックマン789 ギ・グ」に話を聞こう。			ゾ・ガの野望を挫け							
ピックマン789 ギ・グは、コボルド族の「新兵器」について聞いたことがあるらしい。第789洞穴団の採掘地にいる「アコライト789 バ・ゴ」から、詳しい話を聞こう。			ピックマン789 ギ・グは、コボルド族の「新兵器」について聞いたことがあるらしい。第789洞穴団の採掘地にいる「アコライト789 バ・ゴ」から、詳しい話を聞こう。			ゾ・ガの野望を挫け							
アコライト789 バ・ゴは、コボルド族が稼動させた「新型錬金釜」を故障させる嫌がらせを提案した。外地ラノシアの「アイアンレイク」の北、鉱山入口の脇にいる「アルケミスト13 ガ・ジ」と話し、「第13洞穴団の錬金工房」への秘密の通路を教えてもらおう。			アコライト789 バ・ゴは、コボルド族が稼動させた「新型錬金釜」を故障させる嫌がらせを提案した。外地ラノシアの「アイアンレイク」の北、鉱山入口の脇にいる「アルケミスト13 ガ・ジ」と話し、「第13洞穴団の錬金工房」への秘密の通路を教えてもらおう。			ゾ・ガの野望を挫け							
第13洞穴団の錬金工房へとやってきた。新型錬金釜の前にいる「アコライト789 バ・ゴ」と話そう。			第13洞穴団の錬金工房へとやってきた。新型錬金釜の前にいる「アコライト789 バ・ゴ」と話そう。			ゾ・ガの野望を挫け							
新型錬金釜の故障工作には、まだ時間がかかるようだ。第13洞穴団の錬金工房の入口付近の「指定地点」で周囲を見張り、現れた「13オーダー・ラウンズマン」「13オーダー・クォーリーマン」を討伐しよう。			新型錬金釜の故障工作には、まだ時間がかかるようだ。第13洞穴団の錬金工房の入口付近の「指定地点」で周囲を見張り、現れた「13オーダー・ラウンズマン」「13オーダー・クォーリーマン」を討伐しよう。			ゾ・ガの野望を挫け							
コボルドの見張りたちを討伐した。再び新型錬金釜の前にいる「アコライト789 バ・ゴ」と話そう。			コボルドの見張りたちを討伐した。再び新型錬金釜の前にいる「アコライト789 バ・ゴ」と話そう。			ゾ・ガの野望を挫け							
アコライト789 バ・ゴから、新型錬金釜を故障させる方法を教えてもらった。新型錬金釜の「新型錬金釜の側壁」に「スマートボム」を使おう。			アコライト789 バ・ゴから、新型錬金釜を故障させる方法を教えてもらった。新型錬金釜の「新型錬金釜の側壁」に「スマートボム」を使おう。			ゾ・ガの野望を挫け							
新型錬金釜の活動停止に成功した。第13洞穴団の錬金工房の「脱出地点」の前にいるアコライト789 バ・ゴと話そう。			新型錬金釜の活動停止に成功した。第13洞穴団の錬金工房の「脱出地点」の前にいるアコライト789 バ・ゴと話そう。			ゾ・ガの野望を挫け							
アコライト789 バ・ゴと話した。「脱出地点」を調べて第13洞穴団の錬金工房から脱出し、第789洞穴団の採掘地にいる「ピックマン789 ギ・グ」に嫌がらせを報告しよう。			アコライト789 バ・ゴと話した。「脱出地点」を調べて第13洞穴団の錬金工房から脱出し、第789洞穴団の採掘地にいる「ピックマン789 ギ・グ」に嫌がらせを報告しよう。			ゾ・ガの野望を挫け							
ピックマン789 ギ・グに報告をしたところ、幼馴染の「アルケミスト175 ビ・ビ」が現れた。幼馴染に説得され、復讐への決心が揺らぐ、優柔不断なピックマン789 ギ・グ。しかし、フューグルマン13 ゾ・ガを怒らせた以上、もはや引き返すことはできない。第789洞穴団と冒険者の嫌がらせは、これからも続いていく……。			ピックマン789 ギ・グに報告をしたところ、幼馴染の「アルケミスト175 ビ・ビ」が現れた。幼馴染に説得され、復讐への決心が揺らぐ、優柔不断なピックマン789 ギ・グ。しかし、フューグルマン13 ゾ・ガを怒らせた以上、もはや引き返すことはできない。第789洞穴団と冒険者の嫌がらせは、これからも続いていく……。			ゾ・ガの野望を挫け							
キャンプ・オーバールックのスケートスィス少甲士と話す			キャンプ・オーバールックのスケートスィス少甲士と話す			ゾ・ガの野望を挫け							
第789洞穴団の採掘地のピックマン789 ギ・グと話す			第789洞穴団の採掘地のピックマン789 ギ・グと話す			ゾ・ガの野望を挫け							
アコライト789 バ・ゴと話す			アコライト789 バ・ゴと話す			ゾ・ガの野望を挫け							
アイアンレイクの北のアルケミスト13 ガ・ジと話す			アイアンレイクの北のアルケミスト13 ガ・ジと話す			ゾ・ガの野望を挫け							
第13洞穴団の錬金工房のアコライト789 バ・ゴと話す			第13洞穴団の錬金工房のアコライト789 バ・ゴと話す			ゾ・ガの野望を挫け							
指定地点を見張り、現れた第13洞穴団のコボルド族を討伐			指定地点を見張り、現れた第13洞穴団のコボルド族を討伐			ゾ・ガの野望を挫け							
第13洞穴団の錬金工房のアコライト789 バ・ゴと話す			第13洞穴団の錬金工房のアコライト789 バ・ゴと話す			ゾ・ガの野望を挫け							
新型錬金釜の側壁にスマートボムを使う			新型錬金釜の側壁にスマートボムを使う			ゾ・ガの野望を挫け							
第13洞穴団の錬金工房のアコライト789 バ・ゴと話す			第13洞穴団の錬金工房のアコライト789 バ・ゴと話す			ゾ・ガの野望を挫け							
第789洞穴団の採掘地のピックマン789 ギ・グと話す			第789洞穴団の採掘地のピックマン789 ギ・グと話す			ゾ・ガの野望を挫け							
こんにちーは　おつかれさーま！冒険者さーんの活躍で　ほかの採掘地のコボルド族たーち大混乱で　お仕事　手につかないみたーい！			こんにちーは　おつかれさーま！冒険者さーんの活躍で　ほかの採掘地のコボルド族たーち大混乱で　お仕事　手につかないみたーい！			ゾ・ガの野望を挫け							
だかーら　ボクたーちの　採掘成績のジュンイーも来月はきーと　万年ビリを脱出できるーよ！			だかーら　ボクたーちの　採掘成績のジュンイーも来月はきーと　万年ビリを脱出できるーよ！			ゾ・ガの野望を挫け							
えへへーへ　もしかしたーらゾ・ガの鼻を明かすことも　夢じゃないーよ！がんばってー　冒険者さーん！			えへへーへ　もしかしたーらゾ・ガの鼻を明かすことも　夢じゃないーよ！がんばってー　冒険者さーん！			ゾ・ガの野望を挫け							
……アンタが、がんばりなさいよ！			……アンタが、がんばりなさいよ！			ゾ・ガの野望を挫け							
はひっ！そ　それは……そうだーね。あは　あはははーは……。			はひっ！そ　それは……そうだーね。あは　あはははーは……。			ゾ・ガの野望を挫け							
って、それどころじゃないのよっ！Forenameさん、大変なんです！お願い！　力を貸してください！			って、それどころじゃないのよっ！Forenameさん、大変なんです！お願い！　力を貸してください！			ゾ・ガの野望を挫け							
先ほど、キャンプ・オーバールックに敵襲があって、大規模な戦闘が行われているらしいの！……敵は、ウ・ガマロ武装鉱山のコボルド族！			先ほど、キャンプ・オーバールックに敵襲があって、大規模な戦闘が行われているらしいの！……敵は、ウ・ガマロ武装鉱山のコボルド族！			ゾ・ガの野望を挫け							
なんでも、奴ら「新型兵器」とやらを持ち出してるみたいで、ブルーエイディン少甲佐率いる黒渦団の防衛隊は、かなり苦戦を強いられているようなのです！			なんでも、奴ら「新型兵器」とやらを持ち出してるみたいで、ブルーエイディン少甲佐率いる黒渦団の防衛隊は、かなり苦戦を強いられているようなのです！			ゾ・ガの野望を挫け							
アタシも黒渦団将校として、キャンプ・オーバールックに戻って防衛隊に加わります！Forenameさんも、後から加勢に来てください！			アタシも黒渦団将校として、キャンプ・オーバールックに戻って防衛隊に加わります！Forenameさんも、後から加勢に来てください！			ゾ・ガの野望を挫け							
……なんーか　たいへんなことーに　なってるーね。ボクたーち　関係ないけーど。いってらっしゃーい　お土産まってるーよ。			……なんーか　たいへんなことーに　なってるーね。ボクたーち　関係ないけーど。いってらっしゃーい　お土産まってるーよ。			ゾ・ガの野望を挫け							
ウ・ガマロ武装鉱山の　コボルド族たちーは、キャンプ・オーバールックが　目の上のタンコーブ。採掘のジャマされるーて　いつも怒ってるーよ。			ウ・ガマロ武装鉱山の　コボルド族たちーは、キャンプ・オーバールックが　目の上のタンコーブ。採掘のジャマされるーて　いつも怒ってるーよ。			ゾ・ガの野望を挫け							
Forenameさん、来てくれたんですね！でも、一足遅かったみたい。なんとか撃退したけど、見てのとおり被害は甚大……。			Forenameさん、来てくれたんですね！でも、一足遅かったみたい。なんとか撃退したけど、見てのとおり被害は甚大……。			ゾ・ガの野望を挫け							
奴ら、威力の高い擲弾型のボムをけしかけてきたんです。その殺傷力は、今までのボムとは桁違い。そんな「新兵器」を開発してたなんて……いつの間に……。			奴ら、威力の高い擲弾型のボムをけしかけてきたんです。その殺傷力は、今までのボムとは桁違い。そんな「新兵器」を開発してたなんて……いつの間に……。			ゾ・ガの野望を挫け							
……これって、もしかして、アタシたちのせいかもしれない……。			……これって、もしかして、アタシたちのせいかもしれない……。			ゾ・ガの野望を挫け							
アタシたちが、ギ・グたちの復讐を肩代わりして、ウ・ガマロ武装鉱山の連中に嫌がらせをしたから……その報復が、このキャンプ・オーバールックに向けられたんだわ。			アタシたちが、ギ・グたちの復讐を肩代わりして、ウ・ガマロ武装鉱山の連中に嫌がらせをしたから……その報復が、このキャンプ・オーバールックに向けられたんだわ。			ゾ・ガの野望を挫け							
……だとしたら、もしかして、あのゾ・ガっていう偉そうなコボルド族が、今回の襲撃を指示したのかも……。			……だとしたら、もしかして、あのゾ・ガっていう偉そうなコボルド族が、今回の襲撃を指示したのかも……。			ゾ・ガの野望を挫け							
Forenameさん、敵の情報を調べてください！採掘地に戻って、ギ・グから詳しい話を聞いてほしいの。アタシはここで、しばらく仲間の手当てをしています！			Forenameさん、敵の情報を調べてください！採掘地に戻って、ギ・グから詳しい話を聞いてほしいの。アタシはここで、しばらく仲間の手当てをしています！			ゾ・ガの野望を挫け							
採掘地に戻って、ギ・グから詳しい話を聞いてきてください！コボルド族のことは　コボルド族がよく知ってると思うから。「新兵器」のことも気になるし……。			採掘地に戻って、ギ・グから詳しい話を聞いてきてください！コボルド族のことは　コボルド族がよく知ってると思うから。「新兵器」のことも気になるし……。			ゾ・ガの野望を挫け							
……いててて、おのれ、コボルド族のやつらめ。最近、鳴りを潜めていたと思った矢先にこれだ……。油断したぜ……くっ。			……いててて、おのれ、コボルド族のやつらめ。最近、鳴りを潜めていたと思った矢先にこれだ……。油断したぜ……くっ。			ゾ・ガの野望を挫け							
いきなり目の前で、ボムが爆発したんだ……今まで見たことない衝撃だった。あんなの持ち出されたら……今後も苦戦は必至だな……。			いきなり目の前で、ボムが爆発したんだ……今まで見たことない衝撃だった。あんなの持ち出されたら……今後も苦戦は必至だな……。			ゾ・ガの野望を挫け							
う、うううう……これが……コボルド族の「新兵器」の威力……。			う、うううう……これが……コボルド族の「新兵器」の威力……。			ゾ・ガの野望を挫け							
え　なーに？　シンヘイーキ？ゾ・ガが　シンヘイキのボムーを　つくってーるって？			え　なーに？　シンヘイーキ？ゾ・ガが　シンヘイキのボムーを　つくってーるって？			ゾ・ガの野望を挫け							
よくは知らないけーど　ゾ・ガが武装鉱山内で何かを「ケイカク」してるってウワーサをちょこっとだーけ　聞いたことあるーよ。			よくは知らないけーど　ゾ・ガが武装鉱山内で何かを「ケイカク」してるってウワーサをちょこっとだーけ　聞いたことあるーよ。			ゾ・ガの野望を挫け							
ボムのことなーらやっぱ「バ・ゴ」に聞くのーが　イチバーン！シンヘイーキのことーも　何か知ってるかーも！			ボムのことなーらやっぱ「バ・ゴ」に聞くのーが　イチバーン！シンヘイーキのことーも　何か知ってるかーも！			ゾ・ガの野望を挫け							
「バ・ゴ」は　実は優秀な研究者なんだーよ。アイツはムカーシ　ゾ・ガの下でボムの研究　してたーよ。性格にモンダイがあって　この採掘地に　飛ばされたけーど。			「バ・ゴ」は　実は優秀な研究者なんだーよ。アイツはムカーシ　ゾ・ガの下でボムの研究　してたーよ。性格にモンダイがあって　この採掘地に　飛ばされたけーど。			ゾ・ガの野望を挫け							
ククク……ゾ・ガのつくった新兵器のボムちゃん……？ゾ・ガのヤツ……「新型錬金釜」をついに稼動させたのーね？……ククク……面白くなってきーた……ククククク。			ククク……ゾ・ガのつくった新兵器のボムちゃん……？ゾ・ガのヤツ……「新型錬金釜」をついに稼動させたのーね？……ククク……面白くなってきーた……ククククク。			ゾ・ガの野望を挫け							
「新型錬金釜」は　今までにない　強力なボムを創りだすーの。その力で　敵対するヒトどもを爆殺し　大出世すーる……それがゾ・ガの「計画」……ククク　ス・テ・キ……。			「新型錬金釜」は　今までにない　強力なボムを創りだすーの。その力で　敵対するヒトどもを爆殺し　大出世すーる……それがゾ・ガの「計画」……ククク　ス・テ・キ……。			ゾ・ガの野望を挫け							
えっ？　そんな野望は阻止するーって？……ククク……そうーね……ボクちゃんも「新型錬金釜」には　とても興味があるーよ……。			えっ？　そんな野望は阻止するーって？……ククク……そうーね……ボクちゃんも「新型錬金釜」には　とても興味があるーよ……。			ゾ・ガの野望を挫け							
じゃあ「新型錬金釜」のあーる　ウ・ガマロ武装鉱山内の「第13洞穴団の錬金工房」　行ってみようーよ……実は錬金工房にこっそり潜入できる　秘密の抜け穴があるんだーよ。			じゃあ「新型錬金釜」のあーる　ウ・ガマロ武装鉱山内の「第13洞穴団の錬金工房」　行ってみようーよ……実は錬金工房にこっそり潜入できる　秘密の抜け穴があるんだーよ。			ゾ・ガの野望を挫け							
ボクちゃんーの　錬金工房のころのトモダーチの「ガ・ジ」っていう　ナカーマがいるかーらそいつに話せーば　通してくれるーよ……。			ボクちゃんーの　錬金工房のころのトモダーチの「ガ・ジ」っていう　ナカーマがいるかーらそいつに話せーば　通してくれるーよ……。			ゾ・ガの野望を挫け							
じゃあ準備するから　先に行っててーよ……「ガ・ジ」はアイアンレイクの北　鉱山入口の脇にいるーよまっててーね……新型ボムちゃぁーん……。			じゃあ準備するから　先に行っててーよ……「ガ・ジ」はアイアンレイクの北　鉱山入口の脇にいるーよまっててーね……新型ボムちゃぁーん……。			ゾ・ガの野望を挫け							
ククク……さぁさぁーボクちゃんのカワイイ　ボムちゃーん。16号ちゃん　45号ちゃん　88号ちゃん　出番でちゅよぉー。はりきーって　爆発しましょーねぇー　ククククク……。			ククク……さぁさぁーボクちゃんのカワイイ　ボムちゃーん。16号ちゃん　45号ちゃん　88号ちゃん　出番でちゅよぉー。はりきーって　爆発しましょーねぇー　ククククク……。			ゾ・ガの野望を挫け							
しーっ！　声が大きいーよ！ハナシーは　バ・ゴからきいてるーよ。「第13洞穴団の錬金工房」に　行きたいんだーろ？			しーっ！　声が大きいーよ！ハナシーは　バ・ゴからきいてるーよ。「第13洞穴団の錬金工房」に　行きたいんだーろ？			ゾ・ガの野望を挫け							
この「排気管」を通れーば　研究室にいけるーよ。でも　武装鉱山のヤツラにーは　ナイショ　ナイショーよ！研究室に　いくーの？			この「排気管」を通れーば　研究室にいけるーよ。でも　武装鉱山のヤツラにーは　ナイショ　ナイショーよ！研究室に　いくーの？			ゾ・ガの野望を挫け							
「第13洞穴団の錬金工房」へ入りますか？			「第13洞穴団の錬金工房」へ入りますか？			ゾ・ガの野望を挫け							
はい			はい			ゾ・ガの野望を挫け							
いいえ			いいえ			ゾ・ガの野望を挫け							
研究室にいきたかったーら　いつでも言うといいーよ。バ・ゴのトモダチなーら　ダイカンゲイだーよ。			研究室にいきたかったーら　いつでも言うといいーよ。バ・ゴのトモダチなーら　ダイカンゲイだーよ。			ゾ・ガの野望を挫け							
バ・ゴは　コボルド族の中でもイチバンの　ボム研究者だーよ。でもムカシ　鉱山がひとつ傾くくらい　研究費を使いすぎーて怒ったゾ・ガに追い出されたーよ　カワイソーウね！			バ・ゴは　コボルド族の中でもイチバンの　ボム研究者だーよ。でもムカシ　鉱山がひとつ傾くくらい　研究費を使いすぎーて怒ったゾ・ガに追い出されたーよ　カワイソーウね！			ゾ・ガの野望を挫け							
……ククク……「新型錬金釜」ちゃんを暴走させるーよ。でもまーだ　もうちょっと時間がかかーるよ……。			……ククク……「新型錬金釜」ちゃんを暴走させるーよ。でもまーだ　もうちょっと時間がかかーるよ……。			ゾ・ガの野望を挫け							
ククク……なんだーか　ソトが慌しいみたーい……。研究所の入口に行って　敵がこないか見張ってきーて。敵がやってきたら……やっつけて　足止めヨロシーク！			ククク……なんだーか　ソトが慌しいみたーい……。研究所の入口に行って　敵がこないか見張ってきーて。敵がやってきたら……やっつけて　足止めヨロシーク！			ゾ・ガの野望を挫け							
ククク……かわいいーよ……「新型錬金釜」ちゃん……でもまだまだ　こいつは未完成……クククク……完成した暁には……すさまじい威力のボムちゃんが創れるーよ。			ククク……かわいいーよ……「新型錬金釜」ちゃん……でもまだまだ　こいつは未完成……クククク……完成した暁には……すさまじい威力のボムちゃんが創れるーよ。			ゾ・ガの野望を挫け							
むっ　なにもーの！？			むっ　なにもーの！？			ゾ・ガの野望を挫け							
あやしい　ヤーツ！			あやしい　ヤーツ！			ゾ・ガの野望を挫け							
ククク……準備できたーよ……。あとーは　この「スマートボム」ちゃんーを「新型錬金釜の側壁」に投げこめば任務完了ーよ　ククク……。			ククク……準備できたーよ……。あとーは　この「スマートボム」ちゃんーを「新型錬金釜の側壁」に投げこめば任務完了ーよ　ククク……。			ゾ・ガの野望を挫け							
クククク……早く「新型錬金釜」の「指定地点」に「スマートボム」ちゃんーを　投げこむーよ。			クククク……早く「新型錬金釜」の「指定地点」に「スマートボム」ちゃんーを　投げこむーよ。			ゾ・ガの野望を挫け							
ククク……この焼け焦げた香りが……たまらなーい……。ゾ・ガの「新型錬金釜」は故障しーて　しばらく使えないーよ。これでヤツの「計画」は　しばらく頓挫するーよ　ククク……。			ククク……この焼け焦げた香りが……たまらなーい……。ゾ・ガの「新型錬金釜」は故障しーて　しばらく使えないーよ。これでヤツの「計画」は　しばらく頓挫するーよ　ククク……。			ゾ・ガの野望を挫け							
……じゃあ　採掘地に帰るーよ。来たときとおなーじ　「排気管」から外に脱出すればいーよ。クク……クククク……。			……じゃあ　採掘地に帰るーよ。来たときとおなーじ　「排気管」から外に脱出すればいーよ。クク……クククク……。			ゾ・ガの野望を挫け							
