アプカル滝のヤ・ミトラの調査は、難航しているようだ。			アプカル滝のヤ・ミトラの調査は、難航しているようだ。			闇に葬られた頁							
わかってる。ちゃんと隊長の……コンラッドの言うことは聞くから。			わかってる。ちゃんと隊長の……コンラッドの言うことは聞くから。			アラギリでの軍議							
……ならば、私も同行しよう。アリゼーは、Forenameのフォローを頼む。			……ならば、私も同行しよう。アリゼーは、Forenameのフォローを頼む。			アラギリでの軍議							
張り切っちゃってまぁ……。わかったわ、私とForenameは、後方支援に回らせてもらうから、ふたりともしっかりね。			張り切っちゃってまぁ……。わかったわ、私とForenameは、後方支援に回らせてもらうから、ふたりともしっかりね。			アラギリでの軍議							
よし、決まったな！作戦開始だ……目標、スペキュラ・インペラトリス！導きの星に従い、いざ進まん！			よし、決まったな！作戦開始だ……目標、スペキュラ・インペラトリス！導きの星に従い、いざ進まん！			アラギリでの軍議							
あのふたりったら、やたらと気合が入ってたわね。まぁ、アルフィノが手を上げなかったら、私もリセといっしょに、前線に出るって、言ってたところだけど……。			あのふたりったら、やたらと気合が入ってたわね。まぁ、アルフィノが手を上げなかったら、私もリセといっしょに、前線に出るって、言ってたところだけど……。			アラギリでの軍議							
とにかく、私たちは私たちで、与えられた役割を果たしましょう。			とにかく、私たちは私たちで、与えられた役割を果たしましょう。			アラギリでの軍議							
アラギリのエモリーは、腕の立つ冒険者に頼みたいことがあるようだ。			アラギリのエモリーは、腕の立つ冒険者に頼みたいことがあるようだ。			温めていた計画							
指定地点で見渡してストレイ・クラッグクロウを討伐			指定地点で見渡してストレイ・クラッグクロウを討伐			温めていた計画							
エモリーに報告			エモリーに報告			温めていた計画							
そこのお嬢さんお兄さん。アンタ、アラギリの解放に手を貸してくれた、あの冒険者だろ。頼みがあるんだが、話を聞いてくれないか。			そこのお嬢さんお兄さん。アンタ、アラギリの解放に手を貸してくれた、あの冒険者だろ。頼みがあるんだが、話を聞いてくれないか。			温めていた計画							
うちは、親父の代からずっと、この街で商売を続けてきた。帝国の奴らと取引する気はなかったから、支配されてたときは、しゃくな話だが、裏で細々とやるしかなかったがな。			うちは、親父の代からずっと、この街で商売を続けてきた。帝国の奴らと取引する気はなかったから、支配されてたときは、しゃくな話だが、裏で細々とやるしかなかったがな。			温めていた計画							
だがアンタら同盟軍と解放軍のおかげで、晴れて、堂々と同胞のために商売できるようになった。さらに、長年温めていた、農地の開拓計画を実行するつもりだ。			だがアンタら同盟軍と解放軍のおかげで、晴れて、堂々と同胞のために商売できるようになった。さらに、長年温めていた、農地の開拓計画を実行するつもりだ。			温めていた計画							
だが、目星をつけていた北東の水辺に、魔物が棲み着いちまってね。もちろん報酬は支払うから、魔物退治を依頼したいのさ。			だが、目星をつけていた北東の水辺に、魔物が棲み着いちまってね。もちろん報酬は支払うから、魔物退治を依頼したいのさ。			温めていた計画							
地図に、開拓予定地の印をつけておいた。そこで「ストレイ・クラッグクロウ」を見つけて、倒してくれ。			地図に、開拓予定地の印をつけておいた。そこで「ストレイ・クラッグクロウ」を見つけて、倒してくれ。			温めていた計画							
地図に、開拓予定地の印をつけておいた。そこで「ストレイ・クラッグクロウ」を見つけて、倒してくれ。			地図に、開拓予定地の印をつけておいた。そこで「ストレイ・クラッグクロウ」を見つけて、倒してくれ。			温めていた計画							
無事、魔物を倒してくれたか！よし、これで計画を進められる。			無事、魔物を倒してくれたか！よし、これで計画を進められる。			温めていた計画							
あそこは痩せた土地だが、それでも育つ作物はある。俺は、夫や子どもに親……家族を亡くした同胞たちに、職と住む場所を提供してやりたくてな。			あそこは痩せた土地だが、それでも育つ作物はある。俺は、夫や子どもに親……家族を亡くした同胞たちに、職と住む場所を提供してやりたくてな。			温めていた計画							
おっと……勘違いしてもらっちゃ困るが、俺だって、ただのお人好しじゃない。			おっと……勘違いしてもらっちゃ困るが、俺だって、ただのお人好しじゃない。			温めていた計画							
採れた作物で名産品を開発して、大儲けするところまでが、俺の計画さ。ありがとうよ、冒険者のお嬢さんお兄さん。			採れた作物で名産品を開発して、大儲けするところまでが、俺の計画さ。ありがとうよ、冒険者のお嬢さんお兄さん。			温めていた計画							
アラギリのハイランダー族の母親は、何やら心配しているようだ。			アラギリのハイランダー族の母親は、何やら心配しているようだ。			子の心親知らず							
息子に「問い詰める」をする			息子に「問い詰める」をする			子の心親知らず							
ハイランダー族の母親と話す			ハイランダー族の母親と話す			子の心親知らず							
やれやれ……また、いないわ……。まったく、いったい、どこで何をしてるのかしら……。			やれやれ……また、いないわ……。まったく、いったい、どこで何をしてるのかしら……。			子の心親知らず							
あら、あなた冒険者さん？よかったら、私の息子たちを探してもらえないかしら。その辺にいるとは思うの。			あら、あなた冒険者さん？よかったら、私の息子たちを探してもらえないかしら。その辺にいるとは思うの。			子の心親知らず							
仕事に追われ、ふたりを構ってやれないせいか、帝国軍が撤退してからというもの、どこかへフラフラ出かけるようになってしまって……。			仕事に追われ、ふたりを構ってやれないせいか、帝国軍が撤退してからというもの、どこかへフラフラ出かけるようになってしまって……。			子の心親知らず							
見つけたら、何をしてるのか「問い詰め」てみてください。危ないこと、悪いことに手を染めていなければいいのだけれど……。			見つけたら、何をしてるのか「問い詰め」てみてください。危ないこと、悪いことに手を染めていなければいいのだけれど……。			子の心親知らず							
息子ふたりを見つけたら、何をしてるのか「問い詰め」てみてください。危ないこと、悪いことに手を染めていなければいいのだけれど……。			息子ふたりを見つけたら、何をしてるのか「問い詰め」てみてください。危ないこと、悪いことに手を染めていなければいいのだけれど……。			子の心親知らず							
わっ！？母に言われて、様子を見にきてくれたんですか？見てのとおり、母に迷惑をかけるようなことはしていません。			わっ！？母に言われて、様子を見にきてくれたんですか？見てのとおり、母に迷惑をかけるようなことはしていません。			子の心親知らず							
植物や生き物の生態を観察していたんです。将来、学者になって、苦労した母を助けられればと思って……。			植物や生き物の生態を観察していたんです。将来、学者になって、苦労した母を助けられればと思って……。			子の心親知らず							
でも、母に心配をかけてしまったら、意味がないですね。ごめんなさい、すぐに戻って、話してみます！ありがとうございました！			でも、母に心配をかけてしまったら、意味がないですね。ごめんなさい、すぐに戻って、話してみます！ありがとうございました！			子の心親知らず							
この虫、変わった羽をしてる……。なにか特別な、理由でもあるのかな……？			この虫、変わった羽をしてる……。なにか特別な、理由でもあるのかな……？			子の心親知らず							
なっ、母ちゃんに言われて、様子を見にきたって！？心配し過ぎだよ、まったく……。			なっ、母ちゃんに言われて、様子を見にきたって！？心配し過ぎだよ、まったく……。			子の心親知らず							
俺は、ただ、ここで身体を鍛えてたんだ。……オレ、強くなりたいんだよ。解放軍に入って、家族を守るって決めたからな……。			俺は、ただ、ここで身体を鍛えてたんだ。……オレ、強くなりたいんだよ。解放軍に入って、家族を守るって決めたからな……。			子の心親知らず							
とはいっても、肝心の母ちゃんに心配かけてちゃ、世話ないな。一人前になったら言うつもりだったけど、きちんと話してみるよ。ありがとね、姉ちゃん兄ちゃん！			とはいっても、肝心の母ちゃんに心配かけてちゃ、世話ないな。一人前になったら言うつもりだったけど、きちんと話してみるよ。ありがとね、姉ちゃん兄ちゃん！			子の心親知らず							
な、なんか用かよ？ヒミツの特訓中なんだから、あっちいってくれよ……。			な、なんか用かよ？ヒミツの特訓中なんだから、あっちいってくれよ……。			子の心親知らず							
あなたのおかげで、ふたりとも、さっき戻ってきたところよ。それに、あなたの説得がきいたのか、思ってることを、いろいろ話してくれたわ。			あなたのおかげで、ふたりとも、さっき戻ってきたところよ。それに、あなたの説得がきいたのか、思ってることを、いろいろ話してくれたわ。			子の心親知らず							
まだ小さいと思ってたのに、成長していたのね……。最近、寝顔しか眺めてなかったけど、顔つきもなんだか、頼もしくなった気がするわ。			まだ小さいと思ってたのに、成長していたのね……。最近、寝顔しか眺めてなかったけど、顔つきもなんだか、頼もしくなった気がするわ。			子の心親知らず							
昔の仕事のせいで、ふたりとも父親を知らないの。でも、苦労をさせても、貧しくても、決して……不幸な思いだけはさせないわ！			昔の仕事のせいで、ふたりとも父親を知らないの。でも、苦労をさせても、貧しくても、決して……不幸な思いだけはさせないわ！			子の心親知らず							
仕事で疲れたなんて、言ってられないわね。大丈夫、あなたとは違う種類の強さだけど、母も強いのよ。ありがとうね、冒険者さん。			仕事で疲れたなんて、言ってられないわね。大丈夫、あなたとは違う種類の強さだけど、母も強いのよ。ありがとうね、冒険者さん。			子の心親知らず							
アラギリのジャ・ナイロは、改めて冒険者にお礼が言いたいようだ。			アラギリのジャ・ナイロは、改めて冒険者にお礼が言いたいようだ。			鳳の系譜							
ジャ族の少女と話す			ジャ族の少女と話す			鳳の系譜							
ジャ族の少女と合流してメイティング・コンガマトーを討伐			ジャ族の少女と合流してメイティング・コンガマトーを討伐			鳳の系譜							
ジャ族の少女と話す			ジャ族の少女と話す			鳳の系譜							
アラギリのジャ族の少女と話す			アラギリのジャ族の少女と話す			鳳の系譜							
ジャ・ナイロに報告			ジャ・ナイロに報告			鳳の系譜							
聞いたわ、あなたって有名なのね？ベロジナ大橋の戦いでも活躍したそうね。妹の件も含めて、ほんとうにありがとう。			聞いたわ、あなたって有名なのね？ベロジナ大橋の戦いでも活躍したそうね。妹の件も含めて、ほんとうにありがとう。			鳳の系譜							
妹も、あなたの話を聞いて、改めてお礼が言いたいって言ってたっけ。			妹も、あなたの話を聞いて、改めてお礼が言いたいって言ってたっけ。			鳳の系譜							
今は北東の門の近くにいるはずだから、よかったら、声をかけてあげて。			今は北東の門の近くにいるはずだから、よかったら、声をかけてあげて。			鳳の系譜							
今は北東の門の近くにいるはずだから、よかったら、声をかけてあげて。			今は北東の門の近くにいるはずだから、よかったら、声をかけてあげて。			鳳の系譜							
あ、冒険者さん！この前は、本当にありがとう！			あ、冒険者さん！この前は、本当にありがとう！			鳳の系譜							
あの後、姉さんには叱られたけど、やっぱり訓練は続けたいんだ。でも、もうひとりで危険な場所に行ったりはしないよ。だからさ、手伝ってくれないかな。			あの後、姉さんには叱られたけど、やっぱり訓練は続けたいんだ。でも、もうひとりで危険な場所に行ったりはしないよ。だからさ、手伝ってくれないかな。			鳳の系譜							
あなたは今まで会った誰よりも強いし、有名な冒険者でもある。それに今回はね、ただ魔物を倒すだけじゃなくて、みんなの役に立つ仕事だっていったら、興味ある？			あなたは今まで会った誰よりも強いし、有名な冒険者でもある。それに今回はね、ただ魔物を倒すだけじゃなくて、みんなの役に立つ仕事だっていったら、興味ある？			鳳の系譜							
「メイティング・コンガマトー」が、北の水場に卵を産みつけたんだ。このままじゃ、貴重な水源を荒らされちゃう。だから、一緒に行って、奴らを倒そう！			「メイティング・コンガマトー」が、北の水場に卵を産みつけたんだ。このままじゃ、貴重な水源を荒らされちゃう。だから、一緒に行って、奴らを倒そう！			鳳の系譜							
……また、助けられちゃったね。一匹は倒せたんだけど、思ったより数が多くて……。			……また、助けられちゃったね。一匹は倒せたんだけど、思ったより数が多くて……。			鳳の系譜							
と、とにかく、水源は守れたことだし、いったんアラギリに戻ろっか……。			と、とにかく、水源は守れたことだし、いったんアラギリに戻ろっか……。			鳳の系譜							
やっぱり、冒険者さんってすごく強いんだね。モルバ叔母さんも、同じくらい強かったのかなぁ。			やっぱり、冒険者さんってすごく強いんだね。モルバ叔母さんも、同じくらい強かったのかなぁ。			鳳の系譜							
ジャ族には、叔母さんのことを悪く言う人もいるんだ。土地や一族を捨てた、って言ってさ。でも、それ以外の道があったら、ここに残ってたはず……。			ジャ族には、叔母さんのことを悪く言う人もいるんだ。土地や一族を捨てた、って言ってさ。でも、それ以外の道があったら、ここに残ってたはず……。			鳳の系譜							
強ければ、力があれば……みんなを守りながら、同時に、故郷を捨てない方法も見つけられたかもしれないんだ。だから、私は強くなりたい！			強ければ、力があれば……みんなを守りながら、同時に、故郷を捨てない方法も見つけられたかもしれないんだ。だから、私は強くなりたい！			鳳の系譜							
魔物を倒せるとか、槍をうまく使えるとか、そういうことじゃなくて……。誰かを、大切な人を守るために、私はこの槍を振るいたい。			魔物を倒せるとか、槍をうまく使えるとか、そういうことじゃなくて……。誰かを、大切な人を守るために、私はこの槍を振るいたい。			鳳の系譜							
そのためにも……特訓はやめない。これからも、みんなに迷惑をかけちゃうかもしれない。でも、絶対に諦めたくないんだ。			そのためにも……特訓はやめない。これからも、みんなに迷惑をかけちゃうかもしれない。でも、絶対に諦めたくないんだ。			鳳の系譜							
だからさ、冒険者さん。また、なにかあったら、よろしくね？			だからさ、冒険者さん。また、なにかあったら、よろしくね？			鳳の系譜							
あの子には会えた？			あの子には会えた？			鳳の系譜							
ごめんなさい、また迷惑をかけてしまったみたいね。でも今回は、思いっきり叱った後、少しだけ褒めてあげるわ。誰かのために槍を振るいたい……その気持ちだけは、否定しない。			ごめんなさい、また迷惑をかけてしまったみたいね。でも今回は、思いっきり叱った後、少しだけ褒めてあげるわ。誰かのために槍を振るいたい……その気持ちだけは、否定しない。			鳳の系譜							
それにしても、まだ子どもだと思ってたのに、いろいろ考えるようになったのね。やっぱり、血は争えないってことかしら。			それにしても、まだ子どもだと思ってたのに、いろいろ考えるようになったのね。やっぱり、血は争えないってことかしら。			鳳の系譜							
そういえば、あなたと話した後、叔母のことが気になって、解放軍の人たちから話を聞いてみたの。			そういえば、あなたと話した後、叔母のことが気になって、解放軍の人たちから話を聞いてみたの。			鳳の系譜							
そしたら彼女によく似た人が、どこかの部隊を手伝ってるって聞いて、手紙を託してきたわ。一度、母の墓にお参りに来て欲しいって。			そしたら彼女によく似た人が、どこかの部隊を手伝ってるって聞いて、手紙を託してきたわ。一度、母の墓にお参りに来て欲しいって。			鳳の系譜							
妹が、叔母について行ってしまわないか心配だけど……。あの子の人生は、あの子のもの。そのときは、笑って送り出してあげないとね。			妹が、叔母について行ってしまわないか心配だけど……。あの子の人生は、あの子のもの。そのときは、笑って送り出してあげないとね。			鳳の系譜							
やだ……これもまだ、気が早い話だったわ。ありがとう、冒険者さん。			やだ……これもまだ、気が早い話だったわ。ありがとう、冒険者さん。			鳳の系譜							
アラギリのバウトは、説得を手伝ってほしいようだ。			アラギリのバウトは、説得を手伝ってほしいようだ。			帝国兵の理由							
アラギリの住人を説得するために、情報を集めることになった。アラギリでバウトが慕われる理由について情報を集めよう。			アラギリの住人を説得するために、情報を集めることになった。アラギリでバウトが慕われる理由について情報を集めよう。			帝国兵の理由							
情報を集めた。さらにくわしい話を聞くため、アラギリの「ジャ・ヤーラニ」と話そう。			情報を集めた。さらにくわしい話を聞くため、アラギリの「ジャ・ヤーラニ」と話そう。			帝国兵の理由							
ジャ・ヤーラニと話した。バウトを知るためにと、スピッティング・スピナーの駆除を頼まれた。アラギリ付近の「ジャ・ヤーラニ」と合流しよう。			ジャ・ヤーラニと話した。バウトを知るためにと、スピッティング・スピナーの駆除を頼まれた。アラギリ付近の「ジャ・ヤーラニ」と合流しよう。			帝国兵の理由							
ジャ・ヤーラニと合流した。アラギリ付近の「スピナーの巣」を調べて、現れた「スピッティング・スピナー」を討伐しよう。			ジャ・ヤーラニと合流した。アラギリ付近の「スピナーの巣」を調べて、現れた「スピッティング・スピナー」を討伐しよう。			帝国兵の理由							
スピッティング・スピナーを討伐した。アラギリ付近の「ジャ・ヤーラニ」に報告しよう。			スピッティング・スピナーを討伐した。アラギリ付近の「ジャ・ヤーラニ」に報告しよう。			帝国兵の理由							
ジャ・ヤーラニに報告した。帝国軍の横暴を減らしたことが、バウトを慕う理由だった。アラギリの「バウト」に報告しよう。			ジャ・ヤーラニに報告した。帝国軍の横暴を減らしたことが、バウトを慕う理由だった。アラギリの「バウト」に報告しよう。			帝国兵の理由							
バウトに報告した。彼は、死んだ家族とアラギリの住人が重なって見えたため、帝国軍の横暴を見過ごせなかったと語った。引き続き、この事態を解決するため、バウトに協力しよう。			バウトに報告した。彼は、死んだ家族とアラギリの住人が重なって見えたため、帝国軍の横暴を見過ごせなかったと語った。引き続き、この事態を解決するため、バウトに協力しよう。			帝国兵の理由							
バウトが慕われる理由について情報を集める			バウトが慕われる理由について情報を集める			帝国兵の理由							
ジャ・ヤーラニと話す			ジャ・ヤーラニと話す			帝国兵の理由							
アラギリ付近のジャ・ヤーラニと合流			アラギリ付近のジャ・ヤーラニと合流			帝国兵の理由							
スピナーの巣を調べてスピッティング・スピナーを討伐			スピナーの巣を調べてスピッティング・スピナーを討伐			帝国兵の理由							
ジャ・ヤーラニに報告			ジャ・ヤーラニに報告			帝国兵の理由							
バウトに報告			バウトに報告			帝国兵の理由							
おお、みんなの説得を手伝ってくれるってのか、冒険者！ありがてェ、恩に着るぜ！			おお、みんなの説得を手伝ってくれるってのか、冒険者！ありがてェ、恩に着るぜ！			帝国兵の理由							
さて、どうやって説得するかなんだが……そもそも、俺っちはどうしてあんなに慕われてるんだ？……自分で言ってて、恥ずかしいなァ、これ！			さて、どうやって説得するかなんだが……そもそも、俺っちはどうしてあんなに慕われてるんだ？……自分で言ってて、恥ずかしいなァ、これ！			帝国兵の理由							
ともかく、原因を調べなきゃ、対処は不可能だ。俺っちの方でも聞いてみるから、アンタも、慕われる理由をみんなから聞いてみてくれ。			ともかく、原因を調べなきゃ、対処は不可能だ。俺っちの方でも聞いてみるから、アンタも、慕われる理由をみんなから聞いてみてくれ。			帝国兵の理由							
自分で言うのは、かなり恥ずかしいんだが、俺っちが慕われている理由を、みんなから聞いてみてくれ。恥ずかしいの我慢して、俺っちの方でも聞いてみるからよ。			自分で言うのは、かなり恥ずかしいんだが、俺っちが慕われている理由を、みんなから聞いてみてくれ。恥ずかしいの我慢して、俺っちの方でも聞いてみるからよ。			帝国兵の理由							
……やはり、駆除は解放軍の方を頼るしかありませんね。露見に繋がる危険はありますが、背に腹は変えられません。			……やはり、駆除は解放軍の方を頼るしかありませんね。露見に繋がる危険はありますが、背に腹は変えられません。			帝国兵の理由							
テイコクヘイは、何もしてないのにアタシのこと叩いたけれど、バウトおじさんは、優しくて、一緒に遊んでくれたんだよ！だから、大好き！			テイコクヘイは、何もしてないのにアタシのこと叩いたけれど、バウトおじさんは、優しくて、一緒に遊んでくれたんだよ！だから、大好き！			帝国兵の理由							
この老いぼれが、帝国兵に殺されかけたとき、バウト殿は我が身を顧みず、助けてくださったんじゃ。本当に尊敬できる方じゃて。			この老いぼれが、帝国兵に殺されかけたとき、バウト殿は我が身を顧みず、助けてくださったんじゃ。本当に尊敬できる方じゃて。			帝国兵の理由							
アラギリの住人は、ほぼ全員があの人の世話になってる。どれくらい感謝してるか、くわしく知りたいなら、「ジャ・ヤーラニ」に聞いてみるといい。			アラギリの住人は、ほぼ全員があの人の世話になってる。どれくらい感謝してるか、くわしく知りたいなら、「ジャ・ヤーラニ」に聞いてみるといい。			帝国兵の理由							
あら、あなたはこの前の冒険者さま……。バウトさまのことをお知りになりたいと！？まあ、まあ、まあ！			あら、あなたはこの前の冒険者さま……。バウトさまのことをお知りになりたいと！？まあ、まあ、まあ！			帝国兵の理由							
私でよろしいのであれば、喜んでお話しましょう！……と、言いたいところですが、その前に。あの方を知るため、ひとつ依頼を受けていただけませんか？			私でよろしいのであれば、喜んでお話しましょう！……と、言いたいところですが、その前に。あの方を知るため、ひとつ依頼を受けていただけませんか？			帝国兵の理由							
最近、スピッティング・スピナーが、街の中へ侵入してくるようになりました。調べてみたところ、アラギリの近くに巣を作ったようでして。			最近、スピッティング・スピナーが、街の中へ侵入してくるようになりました。調べてみたところ、アラギリの近くに巣を作ったようでして。			帝国兵の理由							
解放軍に駆除を依頼しようかと迷っていましたが……バウトさまを知りたいというのでしたら、ぜひあなたに、駆除していただきたいのです。			解放軍に駆除を依頼しようかと迷っていましたが……バウトさまを知りたいというのでしたら、ぜひあなたに、駆除していただきたいのです。			帝国兵の理由							
ありがとうございます。では、巣の近くまでご案内しましょう。こちらです……。			ありがとうございます。では、巣の近くまでご案内しましょう。こちらです……。			帝国兵の理由							
ああ、冒険者さま……。スピッティング・スピナーの巣は、あちらでございます。			ああ、冒険者さま……。スピッティング・スピナーの巣は、あちらでございます。			帝国兵の理由							
スピッティング・スピナーの巣は、あちらでございます。どうかお気をつけて。			スピッティング・スピナーの巣は、あちらでございます。どうかお気をつけて。			帝国兵の理由							
駆除できたようですね。冒険者様、ありがとうございます。私たちでは対処しきれず、大怪我を負っていたでしょう。			駆除できたようですね。冒険者様、ありがとうございます。私たちでは対処しきれず、大怪我を負っていたでしょう。			帝国兵の理由							
実は、帝国の占領時代にも、似た出来事がありました。そのときは、帝国軍に助けを求めましたが、なしのつぶて……。			実は、帝国の占領時代にも、似た出来事がありました。そのときは、帝国軍に助けを求めましたが、なしのつぶて……。			帝国兵の理由							
もともと、アラギリは東方交易路に作られた宿場街でした。ですが、帝国の支配下では、その役目をほとんど果たせず、帝国軍の兵士に酒を振る舞い、宿を提供するしかありません。			もともと、アラギリは東方交易路に作られた宿場街でした。ですが、帝国の支配下では、その役目をほとんど果たせず、帝国軍の兵士に酒を振る舞い、宿を提供するしかありません。			帝国兵の理由							
帝国軍に依存し、従う以外、アラギリが生きる道はなかった……。ありあわせの道具で魔物に挑み、大怪我をする様子を、愉快そうに見物されても、受け入れるしか、なかったのです。			帝国軍に依存し、従う以外、アラギリが生きる道はなかった……。ありあわせの道具で魔物に挑み、大怪我をする様子を、愉快そうに見物されても、受け入れるしか、なかったのです。			帝国兵の理由							
そんな状況を変えてくれたのが、バウトさまです。あの方が、アラギリに駐屯する部隊の隊長になって以降、帝国軍の横暴はウソのように減りました。			そんな状況を変えてくれたのが、バウトさまです。あの方が、アラギリに駐屯する部隊の隊長になって以降、帝国軍の横暴はウソのように減りました。			帝国兵の理由							
あの方のおかげで、この街の住人は、人として生きていけたのです。そんな恩人が自ら死にに行こうとするのを止めるのは、ごく自然なことでしょう？			あの方のおかげで、この街の住人は、人として生きていけたのです。そんな恩人が自ら死にに行こうとするのを止めるのは、ごく自然なことでしょう？			帝国兵の理由							
私たちの想いは、これで理解していただけたと思います。冒険者さまがあの方の味方であることを、重ねて祈りますわ。それでは……。			私たちの想いは、これで理解していただけたと思います。冒険者さまがあの方の味方であることを、重ねて祈りますわ。それでは……。			帝国兵の理由							
おお、戻ったか冒険者！どうよどうよ、説得の材料になりそうな話は聞けたか？			おお、戻ったか冒険者！どうよどうよ、説得の材料になりそうな話は聞けたか？			帝国兵の理由							
オイオイオイ、みんな買いかぶり過ぎだって……。俺っちは、ただ自分の身勝手で、アラギリのみんなが傷つくのを、見たくなかっただけだ。			オイオイオイ、みんな買いかぶり過ぎだって……。俺っちは、ただ自分の身勝手で、アラギリのみんなが傷つくのを、見たくなかっただけだ。			帝国兵の理由							
帝国の属州統治ってのは、総督の方針で大きく変わる。属州人が暮らしやすい場所もあれば、死んだ方がマシって場所もある……俺っちは後者の出身でね。			帝国の属州統治ってのは、総督の方針で大きく変わる。属州人が暮らしやすい場所もあれば、死んだ方がマシって場所もある……俺っちは後者の出身でね。			帝国兵の理由							
そんな属州で人として生きたければ、軍に入るしかない。20年間の兵役を耐え抜けば、市民権を得られて、家族にも、まともな生活をさせてやれる……。			そんな属州で人として生きたければ、軍に入るしかない。20年間の兵役を耐え抜けば、市民権を得られて、家族にも、まともな生活をさせてやれる……。			帝国兵の理由							
だから俺っちは、軍に入ることにした。ひたすら戦って、戦って、戦って……。おかげで気がついたら、百人隊長になってたよ。			だから俺っちは、軍に入ることにした。ひたすら戦って、戦って、戦って……。おかげで気がついたら、百人隊長になってたよ。			帝国兵の理由							
でも、遅かった。家族の訃報が届いたのは、百人隊長に昇進した直後さ。みんな、流行病で死んだって……紙切れ一枚だけだった……。			でも、遅かった。家族の訃報が届いたのは、百人隊長に昇進した直後さ。みんな、流行病で死んだって……紙切れ一枚だけだった……。			帝国兵の理由							
その後くらいからか、アラギリの住民が、死んだ家族と重なってね。どうにも、苦境を見過ごすことができなかった。			その後くらいからか、アラギリの住民が、死んだ家族と重なってね。どうにも、苦境を見過ごすことができなかった。			帝国兵の理由							
……どうだい、情けないにも程があるだろ？だいたい、帝国兵としてアラミゴ人を殺したこともあるのに、そんな奴のことを感謝してるだなんて、ちょっと呑気すぎだっての！			……どうだい、情けないにも程があるだろ？だいたい、帝国兵としてアラミゴ人を殺したこともあるのに、そんな奴のことを感謝してるだなんて、ちょっと呑気すぎだっての！			帝国兵の理由							
まあでも、俺っちが聞いた話も同じような内容だったし、これで原因はハッキリしたみてェだな！ありがとよ、助かったぜ冒険者！			まあでも、俺っちが聞いた話も同じような内容だったし、これで原因はハッキリしたみてェだな！ありがとよ、助かったぜ冒険者！			帝国兵の理由							
アラギリのブレイゼン・ブルックは、冒険者に頼みたいことがあるようだ。			アラギリのブレイゼン・ブルックは、冒険者に頼みたいことがあるようだ。			アラギリの恩人							
ブレイゼン・ブルックから、苦境にある人物を助けてほしいと頼まれた。くわしい事情を聞くため、アラギリの「バウト」と話そう。			ブレイゼン・ブルックから、苦境にある人物を助けてほしいと頼まれた。くわしい事情を聞くため、アラギリの「バウト」と話そう。			アラギリの恩人							
バウトと話した。帝国軍の百人隊長であった彼は、アラミゴ解放軍に処刑されるつもりだったそうだが、それができなくなったらしい。その理由を知るため、アラギリでバウトの情報を集めよう。			バウトと話した。帝国軍の百人隊長であった彼は、アラミゴ解放軍に処刑されるつもりだったそうだが、それができなくなったらしい。その理由を知るため、アラギリでバウトの情報を集めよう。			アラギリの恩人							
バウトについて情報を集めた。アラギリの「バウト」と話そう。			バウトについて情報を集めた。アラギリの「バウト」と話そう。			アラギリの恩人							
バウトと話した。彼が死ねない理由、それはアラギリの住人たちが、戦いも辞さない覚悟で彼を匿っているからだった。この状況を解決するために、バウトに協力しよう。			バウトと話した。彼が死ねない理由、それはアラギリの住人たちが、戦いも辞さない覚悟で彼を匿っているからだった。この状況を解決するために、バウトに協力しよう。			アラギリの恩人							
バウトと話す			バウトと話す			アラギリの恩人							
バウトの情報を集める			バウトの情報を集める			アラギリの恩人							
バウトと話す			バウトと話す			アラギリの恩人							
おお、あなたは噂に名高き冒険者殿！こうしてお会いできるとは光栄です！……ときに、いま、お時間はありますかな？			おお、あなたは噂に名高き冒険者殿！こうしてお会いできるとは光栄です！……ときに、いま、お時間はありますかな？			アラギリの恩人							
このアラギリが、無血開城したことはご存知かと思いますが、それは、とある人物の尽力によって、なし得たもの。その恩人とも言うべき方が、困った状況にありまして……。			このアラギリが、無血開城したことはご存知かと思いますが、それは、とある人物の尽力によって、なし得たもの。その恩人とも言うべき方が、困った状況にありまして……。			アラギリの恩人							
件の人物については、偶然に知り得たのですが、私としては、この件を秘密裏に収めたいのです……。しかし、同盟軍や解放軍が動くとなると、事が大きくなります。			件の人物については、偶然に知り得たのですが、私としては、この件を秘密裏に収めたいのです……。しかし、同盟軍や解放軍が動くとなると、事が大きくなります。			アラギリの恩人							
そこで、自由に動ける冒険者という立場から、問題解決に、お力を貸していただきたいのです。どうかお願いできませんか？			そこで、自由に動ける冒険者という立場から、問題解決に、お力を貸していただきたいのです。どうかお願いできませんか？			アラギリの恩人							
おお、ありがとうございます！それでは、その恩人……「バウト」殿から、くわしい事情を確認するようお願いします！			おお、ありがとうございます！それでは、その恩人……「バウト」殿から、くわしい事情を確認するようお願いします！			アラギリの恩人							
「バウト」殿の問題は、私からはどうにも説明しづらく……。お手数ですが、本人から事情をお聞きください。			「バウト」殿の問題は、私からはどうにも説明しづらく……。お手数ですが、本人から事情をお聞きください。			アラギリの恩人							
おわっ、テメェ、ガイウス閣下をやった冒険者か！？ついに俺っちの首を取りに来たってこ……あれ、違うの？			おわっ、テメェ、ガイウス閣下をやった冒険者か！？ついに俺っちの首を取りに来たってこ……あれ、違うの？			アラギリの恩人							
なんだ、ブレイゼン殿の依頼か……。わざわざ悪ィな、手間かけちまって。俺っちじゃ、どうにもできなくてさ。			なんだ、ブレイゼン殿の依頼か……。わざわざ悪ィな、手間かけちまって。俺っちじゃ、どうにもできなくてさ。			アラギリの恩人							
