トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トラル大陸のモブハント（リスキー）							
そこに、彗星のごとくキミが現れた。オーナーは生身の挑戦者こそ、自分を倒せる逸材だと確信した。			そこに、彗星のごとくキミが現れた。オーナーは生身の挑戦者こそ、自分を倒せる逸材だと確信した。			亡国の大蛇							
そして、キミを焚きつけ、アルカディアの破壊者と見立てつつも、最大の悪役(ヒール)は自分が演じることにしたのだ。			そして、キミを焚きつけ、アルカディアの破壊者と見立てつつも、最大の悪役(ヒール)は自分が演じることにしたのだ。			亡国の大蛇							
すべてを興行にしてしまう、とんでもない人だね。			すべてを興行にしてしまう、とんでもない人だね。			亡国の大蛇							
私たちはずっと、オーナーの「筋書き」に踊らされていたってこと……？			私たちはずっと、オーナーの「筋書き」に踊らされていたってこと……？			亡国の大蛇							
まずい、もう再生してしまった……！			まずい、もう再生してしまった……！			亡国の大蛇							
(-レザラ-)ボクたちも加勢するぞ！			(-レザラ-)ボクたちも加勢するぞ！			亡国の大蛇							
ダメだ、まだ倒れない……！			ダメだ、まだ倒れない……！			亡国の大蛇							
(-聞き覚えのある野太い声-)ちょっと待ったぁ～～～っ！			(-聞き覚えのある野太い声-)ちょっと待ったぁ～～～っ！			亡国の大蛇							
細かい話はあとだ、皆で俺様に力を送ってくれ……！			細かい話はあとだ、皆で俺様に力を送ってくれ……！			亡国の大蛇							
Forename！俺様が束ねた皆の力、受け取りやがれ！			Forename！俺様が束ねた皆の力、受け取りやがれ！			亡国の大蛇							
今のうちにトドメをささないと……！			今のうちにトドメをささないと……！			亡国の大蛇							
(-？？？？-)見事だ、統一王者よ！ここから先は引き受けよう。			(-？？？？-)見事だ、統一王者よ！ここから先は引き受けよう。			亡国の大蛇							
かねてよりオーナーは、我らに真相と役目を託していた。			かねてよりオーナーは、我らに真相と役目を託していた。			亡国の大蛇							
私の役目は、最後の試練として立ちはだかること……			私の役目は、最後の試練として立ちはだかること……			亡国の大蛇							
そして、勝者の手を汚させないことだ……！			そして、勝者の手を汚させないことだ……！			亡国の大蛇							
素晴らしい闘いだった……魔物の魂などなくてもアルカディアは安泰だ……			素晴らしい闘いだった……魔物の魂などなくてもアルカディアは安泰だ……			亡国の大蛇							
(-レザラ-)ヘクトール……よく無事で……魔物の姿のまま……死んでしまったかと……			(-レザラ-)ヘクトール……よく無事で……魔物の姿のまま……死んでしまったかと……			亡国の大蛇							
俺様もそう思ってたさ。だが、アルカディアに身柄を回収されてからよ、いろいろと処置をされ、人の姿に戻ることができたんだ。			俺様もそう思ってたさ。だが、アルカディアに身柄を回収されてからよ、いろいろと処置をされ、人の姿に戻ることができたんだ。			亡国の大蛇							
そのあと、メテムからすべて聞かされた。オーナーは、俺様の身を案じて決して死ぬことがないよう、注入する魂のグレードを調整してくれていたらしい。			そのあと、メテムからすべて聞かされた。オーナーは、俺様の身を案じて決して死ぬことがないよう、注入する魂のグレードを調整してくれていたらしい。			亡国の大蛇							
アルカディアの病室で安静にしていたんだがな、中継を見て、いてもたってもいられず駆けつけたのさ。			アルカディアの病室で安静にしていたんだがな、中継を見て、いてもたってもいられず駆けつけたのさ。			亡国の大蛇							
ちょっと、無理しすぎたかな……魂蝕症を抱えてること……忘れてたよ……。			ちょっと、無理しすぎたかな……魂蝕症を抱えてること……忘れてたよ……。			亡国の大蛇							
そ、そうだった！早く皆を医務室に運んで、核から生命の雫を作ろう！			そ、そうだった！早く皆を医務室に運んで、核から生命の雫を作ろう！			亡国の大蛇							
あとはワタシに任せて待っていてくれ！必ず皆を救うと約束するよ……！			あとはワタシに任せて待っていてくれ！必ず皆を救うと約束するよ……！			亡国の大蛇							
おいしいところを、ボンバーちゃんに持ってかれたのは、ちょっと悔しかったけど、みんな無事でよかったね☆			おいしいところを、ボンバーちゃんに持ってかれたのは、ちょっと悔しかったけど、みんな無事でよかったね☆			亡国の大蛇							
あのオーナーがマジで悪いヤツなわけがない、オレはきっとこんなことだろうってずっと信じてたぜ！			あのオーナーがマジで悪いヤツなわけがない、オレはきっとこんなことだろうってずっと信じてたぜ！			亡国の大蛇							
ダンシング・グリーンが、なんか調子のいいこと言ってまちゅ。チャラいにも程がありまちゅ。			ダンシング・グリーンが、なんか調子のいいこと言ってまちゅ。チャラいにも程がありまちゅ。			亡国の大蛇							
Forenameさん、おつかれさまでした！私も中継で一部始終を見てましたよ。			Forenameさん、おつかれさまでした！私も中継で一部始終を見てましたよ。			亡国の大蛇							
ヤーナ姉を見習って、私もレギュレーターを外す決意をしました。あなたの生身の闘いに魅せられたことで、魂に対する考え方も大きく変えられましたからね。			ヤーナ姉を見習って、私もレギュレーターを外す決意をしました。あなたの生身の闘いに魅せられたことで、魂に対する考え方も大きく変えられましたからね。			亡国の大蛇							
そうそう、ついさっきアルカディアの人たちが、これまで騙していたことの謝罪に来て、荒らされたジムを元通りにしてくれたんですよ。			そうそう、ついさっきアルカディアの人たちが、これまで騙していたことの謝罪に来て、荒らされたジムを元通りにしてくれたんですよ。			亡国の大蛇							
いろいろと目まぐるしかったですが、とにかく、みんなの治療が成功することを祈りましょう……。			いろいろと目まぐるしかったですが、とにかく、みんなの治療が成功することを祈りましょう……。			亡国の大蛇							
その後  しばらくして――			その後  しばらくして――			亡国の大蛇							
治療は成功だ！皆、魂蝕症が完治したよ……！			治療は成功だ！皆、魂蝕症が完治したよ……！			亡国の大蛇							
病気が嘘みたいに、すっかり元気になったよ！オーナーが遺したリンドブルムの核と、アンタのおかげだ、ありがとう！			病気が嘘みたいに、すっかり元気になったよ！オーナーが遺したリンドブルムの核と、アンタのおかげだ、ありがとう！			亡国の大蛇							
すべて聞いたわ。あなたには何とお礼を言ったらいいか……本当に感謝してる。			すべて聞いたわ。あなたには何とお礼を言ったらいいか……本当に感謝してる。			亡国の大蛇							
ま、なんつうか……その……			ま、なんつうか……その……			亡国の大蛇							
ありがとよ！			ありがとよ！			亡国の大蛇							
ヘビー級の闘士たちも、眠らされていた闘士たちも、ひとり残らず元気になって家に帰っていったよ。皆一様に、キミに感謝していた。			ヘビー級の闘士たちも、眠らされていた闘士たちも、ひとり残らず元気になって家に帰っていったよ。皆一様に、キミに感謝していた。			亡国の大蛇							
もちろん、ボクからも伝えさせてくれ……どうもありがとう。			もちろん、ボクからも伝えさせてくれ……どうもありがとう。			亡国の大蛇							
ワタシは皆に謝っておかなければならない。オーナーの秘めた目的のためとはいえ、ずっとキミたちを騙していたわけだからね。			ワタシは皆に謝っておかなければならない。オーナーの秘めた目的のためとはいえ、ずっとキミたちを騙していたわけだからね。			亡国の大蛇							
大変、申し訳なかった……。			大変、申し訳なかった……。			亡国の大蛇							
何と言う？			何と言う？			亡国の大蛇							
闘士たちが助かったから、いいってこと			闘士たちが助かったから、いいってこと			亡国の大蛇							
許せない！			許せない！			亡国の大蛇							
ずっと黒幕だと思ってた……			ずっと黒幕だと思ってた……			亡国の大蛇							
そう言ってもらえると救われるよ。騙し続けるのも、結構つらいものがあったからね。			そう言ってもらえると救われるよ。騙し続けるのも、結構つらいものがあったからね。			亡国の大蛇							
ヒ、ヒィッ！と、闘士たちが助かったんだし、後生だから許してくれないか……？			ヒ、ヒィッ！と、闘士たちが助かったんだし、後生だから許してくれないか……？			亡国の大蛇							
ワタシが黒幕だと……？とてもじゃないけど、そんなタマじゃないよ。			ワタシが黒幕だと……？とてもじゃないけど、そんなタマじゃないよ。			亡国の大蛇							
でも、オーナーの意志を守るために暗躍した……そういう意味では、「黒幕」といえるかもしれないね。			でも、オーナーの意志を守るために暗躍した……そういう意味では、「黒幕」といえるかもしれないね。			亡国の大蛇							
とにかく、こうして皆が救われる結末こそ、オーナーが思い描いていた筋書きなんだ。きっと喜んでいることだろう。			とにかく、こうして皆が救われる結末こそ、オーナーが思い描いていた筋書きなんだ。きっと喜んでいることだろう。			亡国の大蛇							
俺たちを救うため、ひとりで犠牲になるなんてな……またオーナーに、でかい恩ができちまった。それも、もう返すことはできねぇ。			俺たちを救うため、ひとりで犠牲になるなんてな……またオーナーに、でかい恩ができちまった。それも、もう返すことはできねぇ。			亡国の大蛇							
オーナーの筋書きには続きがあるんだ。恩義を感じた闘士たちが、これからも精一杯、アルカディアを盛り上げていくことになるってね。			オーナーの筋書きには続きがあるんだ。恩義を感じた闘士たちが、これからも精一杯、アルカディアを盛り上げていくことになるってね。			亡国の大蛇							
オーナーには敵わないな。ボクたちは手のひらで踊らされるしかないようだ。			オーナーには敵わないな。ボクたちは手のひらで踊らされるしかないようだ。			亡国の大蛇							
ああ、それから保管庫の魂だが、キミの希望どおり、すべて解放するよう手配しておいたよ。これでもう、魔物の魂が利用されることはなくなったわけだ。			ああ、それから保管庫の魂だが、キミの希望どおり、すべて解放するよう手配しておいたよ。これでもう、魔物の魂が利用されることはなくなったわけだ。			亡国の大蛇							
アルカディアは、これから生身で闘う闘技ショーになる……ゲームチェンジャーたるキミは、見事に変革を成し遂げたんだ。			アルカディアは、これから生身で闘う闘技ショーになる……ゲームチェンジャーたるキミは、見事に変革を成し遂げたんだ。			亡国の大蛇							
だが、キミと生身で闘える相手はいない。そこで、闘士たちが相応の実力をつけるまでは、残念ながらマッチメイクは延期させてもらおうと思う。			だが、キミと生身で闘える相手はいない。そこで、闘士たちが相応の実力をつけるまでは、残念ながらマッチメイクは延期させてもらおうと思う。			亡国の大蛇							
何と言う？			何と言う？			亡国の大蛇							
闘えなくて残念だ……			闘えなくて残念だ……			亡国の大蛇							
楽しみに待ってる			楽しみに待ってる			亡国の大蛇							
私たちもアンタと闘えるよう、必死で強くなるからさ……いつか、生身で勝負しようね！			私たちもアンタと闘えるよう、必死で強くなるからさ……いつか、生身で勝負しようね！			亡国の大蛇							
それはそれとして、これから、新たな統一王者の戴冠セレモニーが行われるんだ。			それはそれとして、これから、新たな統一王者の戴冠セレモニーが行われるんだ。			亡国の大蛇							
もちろん、キミが主役だ。ぜひ、アルカディアの控室まで来てくれ！			もちろん、キミが主役だ。ぜひ、アルカディアの控室まで来てくれ！			亡国の大蛇							
戴冠セレモニーの会場は、私と闘ったリングさ。ついこないだのはずなのに、もうずいぶん前に感じるね。			戴冠セレモニーの会場は、私と闘ったリングさ。ついこないだのはずなのに、もうずいぶん前に感じるね。			亡国の大蛇							
ほかのみんなはもう会場に入ったよ。たくさんの人に祝福される場になるけど、服装はそれでいい？			ほかのみんなはもう会場に入ったよ。たくさんの人に祝福される場になるけど、服装はそれでいい？			亡国の大蛇							
現在の装備で、戴冠セレモニーに出ますか？			現在の装備で、戴冠セレモニーに出ますか？			亡国の大蛇							
親愛なる皆さん！今宵はアルカディアの頂点、至天の座に上り詰めた、新たな統一王者の戴冠セレモニーを開催します……！			親愛なる皆さん！今宵はアルカディアの頂点、至天の座に上り詰めた、新たな統一王者の戴冠セレモニーを開催します……！			亡国の大蛇							
さあ、主役に登場してもらいましょう……			さあ、主役に登場してもらいましょう……			亡国の大蛇							
変革を成し遂げし、ゲームチェンジャー！生身の統一王者、Forename～～～！			変革を成し遂げし、ゲームチェンジャー！生身の統一王者、Forename～～～！			亡国の大蛇							
(-聞き覚えのある野太い声-)ちょっと待ったぁ～～～っ！			(-聞き覚えのある野太い声-)ちょっと待ったぁ～～～っ！			亡国の大蛇							
(-聞き覚えのある野太い声-)お前が統一王者だなんて、俺様は絶対に認めねぇからなっ……！			(-聞き覚えのある野太い声-)お前が統一王者だなんて、俺様は絶対に認めねぇからなっ……！			亡国の大蛇							
おっとォ～！またもブルートボンバーの乱入だァ！この男、相変わらず懲りてないぞォ～～～！			おっとォ～！またもブルートボンバーの乱入だァ！この男、相変わらず懲りてないぞォ～～～！			亡国の大蛇							
今度こそ、一対一で勝負しなおしだ！こっちも正々堂々、生身で闘ってやらァ～～～！			今度こそ、一対一で勝負しなおしだ！こっちも正々堂々、生身で闘ってやらァ～～～！			亡国の大蛇							
(-聞き覚えのある凛とした声-)待ちなッ！			(-聞き覚えのある凛とした声-)待ちなッ！			亡国の大蛇							
アンタとForenameじゃ勝負にならない！私が相手になってやるよッ！			アンタとForenameじゃ勝負にならない！私が相手になってやるよッ！			亡国の大蛇							
なんとォ～！今度はブラックキャットの乱入だァ！たしかに、これはいい勝負になりそうだぞォ～～～！			なんとォ～！今度はブラックキャットの乱入だァ！たしかに、これはいい勝負になりそうだぞォ～～～！			亡国の大蛇							
オーナー亡きいま、アルカディアの権限を預かるのは、ほかでもない、このワタシッ……！			オーナー亡きいま、アルカディアの権限を預かるのは、ほかでもない、このワタシッ……！			亡国の大蛇							
乱入戦を許可し、特別試合を開催いたしましょう！			乱入戦を許可し、特別試合を開催いたしましょう！			亡国の大蛇							
さあ、生まれ変わった「新生アルカディア」を飾る、最初の一戦となります！			さあ、生まれ変わった「新生アルカディア」を飾る、最初の一戦となります！			亡国の大蛇							
変革の陰の立役者！反逆の猫魂、ブラックキャットォ～～～！			変革の陰の立役者！反逆の猫魂、ブラックキャットォ～～～！			亡国の大蛇							
地獄から蘇りし不死身の男！懲りない反則王、ブルートボンバァ～～～！			地獄から蘇りし不死身の男！懲りない反則王、ブルートボンバァ～～～！			亡国の大蛇							
やったね！ブル－トボンバーに勝ったよ……！			やったね！ブル－トボンバーに勝ったよ……！			亡国の大蛇							
アンタの戴冠セレモニーに、茶番をねじ込んで悪かったけど……変革したアルカディアを観客に示すために、メテムが土壇場で「筋書き」を考えて、私もそれに乗ったのさ。			アンタの戴冠セレモニーに、茶番をねじ込んで悪かったけど……変革したアルカディアを観客に示すために、メテムが土壇場で「筋書き」を考えて、私もそれに乗ったのさ。			亡国の大蛇							
「引退」していた闘士たちも次々と復帰して、これから生身の闘技ショーに参加してくれるらしくてさ。私たちも全力で盛り上げていかないとね。			「引退」していた闘士たちも次々と復帰して、これから生身の闘技ショーに参加してくれるらしくてさ。私たちも全力で盛り上げていかないとね。			亡国の大蛇							
気づいたかもしれないけど、アルカディアの闘士たちはみんな、レギュレーターを外すことにしたんだ。生身の闘いに魔物の魂はもちろん、人の魂だって必要ないからさ。			気づいたかもしれないけど、アルカディアの闘士たちはみんな、レギュレーターを外すことにしたんだ。生身の闘いに魔物の魂はもちろん、人の魂だって必要ないからさ。			亡国の大蛇							
敵う相手がいないアンタは、「名誉統一王者」という肩書で、アルカディアの殿堂入りすることになったよ。早くも伝説みたいなもんだね。			敵う相手がいないアンタは、「名誉統一王者」という肩書で、アルカディアの殿堂入りすることになったよ。早くも伝説みたいなもんだね。			亡国の大蛇							
試合には出られないわけだけどさ……いつでもジムやアルカディアの控室に顔を出してくれると、私も嬉しいし、みんなもきっと喜ぶよ。			試合には出られないわけだけどさ……いつでもジムやアルカディアの控室に顔を出してくれると、私も嬉しいし、みんなもきっと喜ぶよ。			亡国の大蛇							
結局、私たちはオーナーの筋書きに踊らされていたのは否めない。でもさ、Forenameという主役なしでは、この結末には絶対にたどり着くことはできなかった。			結局、私たちはオーナーの筋書きに踊らされていたのは否めない。でもさ、Forenameという主役なしでは、この結末には絶対にたどり着くことはできなかった。			亡国の大蛇							
アンタがみんなをハッピーエンドに導いてくれたのさ。改めて礼を言わせてほしい……ありがとう、生身の統一王者Forename！			アンタがみんなをハッピーエンドに導いてくれたのさ。改めて礼を言わせてほしい……ありがとう、生身の統一王者Forename！			亡国の大蛇							
アウトスカーツのスフェーンは、人々の様子を確認したいようだ。			アウトスカーツのスフェーンは、人々の様子を確認したいようだ。			ふたりの剣							
スフェーンと話した。状況を確認するため、ヘリテージファウンドのユーペ円形農地で「マフーサ」と話そう。			スフェーンと話した。状況を確認するため、ヘリテージファウンドのユーペ円形農地で「マフーサ」と話そう。			ふたりの剣							
マフーサたちは前向きに生きようとしているようだ。グルージャを探すため、ヘリテージファウンドのドリフトダウンズで「タープ」と話そう。			マフーサたちは前向きに生きようとしているようだ。グルージャを探すため、ヘリテージファウンドのドリフトダウンズで「タープ」と話そう。			ふたりの剣							
タープにグルージャたちの居場所を教えてもらった。ヘリテージファウンドのエバーキープ外縁で「グルージャ」を探そう。			タープにグルージャたちの居場所を教えてもらった。ヘリテージファウンドのエバーキープ外縁で「グルージャ」を探そう。			ふたりの剣							
エレンヴィルと共にグルージャの決意を聞き届けた。エバーキープ外縁で「グルージャ」と話そう。			エレンヴィルと共にグルージャの決意を聞き届けた。エバーキープ外縁で「グルージャ」と話そう。			ふたりの剣							
グルージャと話した。バックルームで「シェール」と話そう。			グルージャと話した。バックルームで「シェール」と話そう。			ふたりの剣							
シェールは冒険者の顔を見ると安堵した様子を見せた。ここまで活躍してくれた彼女と、ささやかに勝利を祝うのもいいだろう。			シェールは冒険者の顔を見ると安堵した様子を見せた。ここまで活躍してくれた彼女と、ささやかに勝利を祝うのもいいだろう。			ふたりの剣							
マフーサと話す			マフーサと話す			ふたりの剣							
タープと話す			タープと話す			ふたりの剣							
グルージャを探す			グルージャを探す			ふたりの剣							
グルージャと話す			グルージャと話す			ふたりの剣							
バックルームのシェールと話す			バックルームのシェールと話す			ふたりの剣							
もちろん私も、少し町の様子を見たら、テンパードにされてしまった人の治療に向かうつもりよ。アンジェロたちにも頑張ってもらわないと！			もちろん私も、少し町の様子を見たら、テンパードにされてしまった人の治療に向かうつもりよ。アンジェロたちにも頑張ってもらわないと！			ふたりの剣							
黒いレギュレーターを着けていた人がテンパードと化したなら、その数は5000人……魔力のある人を総動員しても、治療に数ヶ月はかかりそうね。			黒いレギュレーターを着けていた人がテンパードと化したなら、その数は5000人……魔力のある人を総動員しても、治療に数ヶ月はかかりそうね。			ふたりの剣							
それでも、被害としては最小限と言えるでしょう。多くの縁に導かれて、テンパード化を治せるようになったのは、本当に大きなことだったと思うわ。			それでも、被害としては最小限と言えるでしょう。多くの縁に導かれて、テンパード化を治せるようになったのは、本当に大きなことだったと思うわ。			ふたりの剣							
ガバメントへの説明役は私たちに任せて、あなたはもう少し、スフェーンと一緒にいてあげて？			ガバメントへの説明役は私たちに任せて、あなたはもう少し、スフェーンと一緒にいてあげて？			ふたりの剣							
蛮神召喚も絡むとなると、どう説明したものか悩ましいが……これくらい上手くやれなくちゃ、バルデシオン委員会の名が廃るってものさ。			蛮神召喚も絡むとなると、どう説明したものか悩ましいが……これくらい上手くやれなくちゃ、バルデシオン委員会の名が廃るってものさ。			ふたりの剣							
お言葉に甘えて、みんなの様子を見て回りたいけれど……私の素性も含め、事情を知らない人に話を聞いても、かえって混乱させちゃうかな……？			お言葉に甘えて、みんなの様子を見て回りたいけれど……私の素性も含め、事情を知らない人に話を聞いても、かえって混乱させちゃうかな……？			ふたりの剣							
それなら、ユーペ円形農地で働いている、農務役のマフーサさんを訪ねてみるのはどう？			それなら、ユーペ円形農地で働いている、農務役のマフーサさんを訪ねてみるのはどう？			ふたりの剣							
ほら、カリュクスとの決戦に行く前に、ガバメントセクターまで見送りに来てくれた人のひとりよ。帰還の報告もできるし、ちょうどいいんじゃないかしら。			ほら、カリュクスとの決戦に行く前に、ガバメントセクターまで見送りに来てくれた人のひとりよ。帰還の報告もできるし、ちょうどいいんじゃないかしら。			ふたりの剣							
名案だね、ありがとう！それじゃあ私たちは農地の方へ向かうから、クルルたちも、気をつけて行ってきてね。			名案だね、ありがとう！それじゃあ私たちは農地の方へ向かうから、クルルたちも、気をつけて行ってきてね。			ふたりの剣							
エレンヴィルもシェールも、私たちの帰還に安堵していたわ。通信の声だけでも、ずっと心配していたのが伝わってきたもの。			エレンヴィルもシェールも、私たちの帰還に安堵していたわ。通信の声だけでも、ずっと心配していたのが伝わってきたもの。			ふたりの剣							
スフェーンの存在については、間もなく真実が広まっていくでしょうね。放送の声は、国中に響いていたそうだから。			スフェーンの存在については、間もなく真実が広まっていくでしょうね。放送の声は、国中に響いていたそうだから。			ふたりの剣							
そっか……彼女はここで働いてる人だったんだね。			そっか……彼女はここで働いてる人だったんだね。			ふたりの剣							
レゾリューションでの見送りのとき、「戻ってきたら、あんたのことを教えて」って言ってくれたけど、私もみんなのことを、もっと知っていけたらいいな。			レゾリューションでの見送りのとき、「戻ってきたら、あんたのことを教えて」って言ってくれたけど、私もみんなのことを、もっと知っていけたらいいな。			ふたりの剣							
あんたたち……！よかった、無事に帰ってきたんだね！			あんたたち……！よかった、無事に帰ってきたんだね！			ふたりの剣							
心配をかけちゃって、ごめんなさい。……みんなの様子はどう？			心配をかけちゃって、ごめんなさい。……みんなの様子はどう？			ふたりの剣							
これといって、危ない目には遭っちゃいないさ。ただ、黒いレギュレーターを着けてた人が、一斉に妙な様子になっちまってね。			これといって、危ない目には遭っちゃいないさ。ただ、黒いレギュレーターを着けてた人が、一斉に妙な様子になっちまってね。			ふたりの剣							
町のまとめ役のペポーネさんもだ。ガバメントが医療施設で保護してくれてるみたいだけど、どうなることやら……。			町のまとめ役のペポーネさんもだ。ガバメントが医療施設で保護してくれてるみたいだけど、どうなることやら……。			ふたりの剣							
安心してちょうだい。根気よく治療を続ければ、元どおりになるわ。			安心してちょうだい。根気よく治療を続ければ、元どおりになるわ。			ふたりの剣							
ならよかった……。これ以上、ひとりだって町の仲間を失いたくはないからね。			ならよかった……。これ以上、ひとりだって町の仲間を失いたくはないからね。			ふたりの剣							
それにしても、永久人の話をもちかけたスフェーン様は、結局のところ偽物だったっていうし……私たちの心も、いいように弄ばれたもんだよ。			それにしても、永久人の話をもちかけたスフェーン様は、結局のところ偽物だったっていうし……私たちの心も、いいように弄ばれたもんだよ。			ふたりの剣							
けど……それももうお終いで、あんたたちが命懸けで解決してくれたんだろ？			けど……それももうお終いで、あんたたちが命懸けで解決してくれたんだろ？			ふたりの剣							
……本当にありがとね。ならあとは、私たちひとりひとりが頑張らないと！			……本当にありがとね。ならあとは、私たちひとりひとりが頑張らないと！			ふたりの剣							
だって命があるんだ。生きてりゃ未来を変えることだってできる。			だって命があるんだ。生きてりゃ未来を変えることだってできる。			ふたりの剣							
あのときのあんたの放送に、希望をもらったんだよ。私も、みんなもさ。			あのときのあんたの放送に、希望をもらったんだよ。私も、みんなもさ。			ふたりの剣							
…………！			…………！			ふたりの剣							
さてと、私はそろそろ出かけさせてもらうよ。ペポーネさんたちが戻るまで町を護らなきゃいけないからね、意外とやることが多いんだ！			さてと、私はそろそろ出かけさせてもらうよ。ペポーネさんたちが戻るまで町を護らなきゃいけないからね、意外とやることが多いんだ！			ふたりの剣							
あ、あのさ……！テンパードになってしまった人の治療、私にも手伝えることはあるかな……！？			あ、あのさ……！テンパードになってしまった人の治療、私にも手伝えることはあるかな……！？			ふたりの剣							
ええ、もちろん。あなたに手伝ってもらえるなら大助かりよ。			ええ、もちろん。あなたに手伝ってもらえるなら大助かりよ。			ふたりの剣							
いい機会だし、ほかにも魔法の心得がある人に呼び掛けて、一緒にポークシーの扱い方を覚えてもらいましょう。雷による麻痺の治療にも役立つわ。			いい機会だし、ほかにも魔法の心得がある人に呼び掛けて、一緒にポークシーの扱い方を覚えてもらいましょう。雷による麻痺の治療にも役立つわ。			ふたりの剣							
うん……！私、さっそくゴッサンに提案してくるよ！			うん……！私、さっそくゴッサンに提案してくるよ！			ふたりの剣							
フフ、見回りどころじゃなかったわね。			フフ、見回りどころじゃなかったわね。			ふたりの剣							
そうそう、今しがた連絡があって、ラマチは無事にコーナへ引き渡せたそうよ。			そうそう、今しがた連絡があって、ラマチは無事にコーナへ引き渡せたそうよ。			ふたりの剣							
アルフィノもこっちに向かっているそうだから、治療の段取りは、私たちでどうにかなると思うわ。……それで、あなたには別のお願いがあるの。			アルフィノもこっちに向かっているそうだから、治療の段取りは、私たちでどうにかなると思うわ。……それで、あなたには別のお願いがあるの。			ふたりの剣							
グルージャのところに行ってあげてほしいのよ。シェールから聞いた話では、ずっと張り詰めた様子で、アレクサンドリア中を駆け回っていたそうだから……。			グルージャのところに行ってあげてほしいのよ。シェールから聞いた話では、ずっと張り詰めた様子で、アレクサンドリア中を駆け回っていたそうだから……。			ふたりの剣							
今はエレンヴィルと一緒に、ドリフトダウンズを訪ねているそうよ。			今はエレンヴィルと一緒に、ドリフトダウンズを訪ねているそうよ。			ふたりの剣							
タープさん……だったかしら。その人に聞けば居場所がわかるんじゃないかって言ってたわ。			タープさん……だったかしら。その人に聞けば居場所がわかるんじゃないかって言ってたわ。			ふたりの剣							
ああ、その声は……。			ああ、その声は……。			ふたりの剣							
皆でお前さんたちの無事を祈っていた。帰ってきてくれて嬉しいよ。			皆でお前さんたちの無事を祈っていた。帰ってきてくれて嬉しいよ。			ふたりの剣							
グルージャなら、たしかにここにいた。何か困っていることはないか、様子がおかしい人はいないかと、わざわざ聞きに来てくれたんだ。			グルージャなら、たしかにここにいた。何か困っていることはないか、様子がおかしい人はいないかと、わざわざ聞きに来てくれたんだ。			ふたりの剣							
その声が、どうにも疲れた様子でね……大丈夫だから少し休んでおいきと、伝えたのさ。			その声が、どうにも疲れた様子でね……大丈夫だから少し休んでおいきと、伝えたのさ。			ふたりの剣							
そしたら、旧アレクサンドリア城下町の方へ向かっていったよ。あのあたりは、グルージャにとって馴染み深い場所だし、落ち着くんだろう。			そしたら、旧アレクサンドリア城下町の方へ向かっていったよ。あのあたりは、グルージャにとって馴染み深い場所だし、落ち着くんだろう。			ふたりの剣							
グルージャは利口な子だが、年相応の、柔らかな心も持っている。さあ、迎えに行っておやり……。			グルージャは利口な子だが、年相応の、柔らかな心も持っている。さあ、迎えに行っておやり……。			ふたりの剣							
おたく、なんでここに……！いや、探しに来てくれたのか。			おたく、なんでここに……！いや、探しに来てくれたのか。			ふたりの剣							
疲れてるところに悪いな。大体のことは、アリゼーから連絡を受けてる。加えて、コーナ様からもな。			疲れてるところに悪いな。大体のことは、アリゼーから連絡を受けてる。加えて、コーナ様からもな。			ふたりの剣							
手合わせか……。さすがはグルージャジャ様の孫だな。			手合わせか……。さすがはグルージャジャ様の孫だな。			ふたりの剣							
話を聞いてくれてありがとう、ふたりとも。おかげでなんだかとっても、頑張りたいって気持ちなんだ！			話を聞いてくれてありがとう、ふたりとも。おかげでなんだかとっても、頑張りたいって気持ちなんだ！			ふたりの剣							
まずは……オーティスに教えてもらったごはんを作って、みんなに元気になってもらうとか、どうかな？			まずは……オーティスに教えてもらったごはんを作って、みんなに元気になってもらうとか、どうかな？			ふたりの剣							
いいんじゃないか？気を張ってた連中も、そろそろ腹が減ってくるころだろうしな。			いいんじゃないか？気を張ってた連中も、そろそろ腹が減ってくるころだろうしな。			ふたりの剣							
というわけで、こっちはもう心配なしだ。			というわけで、こっちはもう心配なしだ。			ふたりの剣							
おたく、まだバックルームには戻ってないんだろ？一度顔を出して、シェールたちにも、無事な姿を見せてやるといい。			おたく、まだバックルームには戻ってないんだろ？一度顔を出して、シェールたちにも、無事な姿を見せてやるといい。			ふたりの剣							
俺も、もうしばらくはこっちに残るつもりだ。テンパードになった同郷の奴も気になるしな。			俺も、もうしばらくはこっちに残るつもりだ。テンパードになった同郷の奴も気になるしな。			ふたりの剣							
オーティスの剣はボロボロだけど、大きくなったらゲノルトに直してもらうんだ。			オーティスの剣はボロボロだけど、大きくなったらゲノルトに直してもらうんだ。			ふたりの剣							
父さんの剣の方は、天深きセノーテで見つかったんだって。いったいどんな思いで手放したのかな……。			父さんの剣の方は、天深きセノーテで見つかったんだって。いったいどんな思いで手放したのかな……。			ふたりの剣							
あら、あなたも戻ってきたのね！私も、ガバメントと本格的に話し込む前に、顔だけでも見せておこうかなと思って立ち寄ったの。			あら、あなたも戻ってきたのね！私も、ガバメントと本格的に話し込む前に、顔だけでも見せておこうかなと思って立ち寄ったの。			ふたりの剣							
Forenameさん……！			Forenameさん……！			ふたりの剣							
ああ、無事でよかった……。報告は受けてましたが、やっぱり顔を見るまでは安心できなくて。			ああ、無事でよかった……。報告は受けてましたが、やっぱり顔を見るまでは安心できなくて。			ふたりの剣							
