聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			千年の裏切り							
おお、補給物資を積んだ飛空艇が来るのであれば、久々に干し肉じゃない、美味い肉にありつけそうだな！！			おお、補給物資を積んだ飛空艇が来るのであれば、久々に干し肉じゃない、美味い肉にありつけそうだな！！			雲海の騎兵と望んだ答え							
って、ちが～う！！自分は武勲を立て、兵の士気をあげたいのだ！補給物資の情報などで、一喜一憂するなど……！！			って、ちが～う！！自分は武勲を立て、兵の士気をあげたいのだ！補給物資の情報などで、一喜一憂するなど……！！			雲海の騎兵と望んだ答え							
……待てよ、何か引っかかるぞ。「補給物資」を積んだ飛空艇の情報……？			……待てよ、何か引っかかるぞ。「補給物資」を積んだ飛空艇の情報……？			雲海の騎兵と望んだ答え							
そうか、それだ……！バヌバヌ族は、「補給物資」を狙って襲撃するつもりだ！「骨の傷」は14本……補給の周期と一致するのであ～る！			そうか、それだ……！バヌバヌ族は、「補給物資」を狙って襲撃するつもりだ！「骨の傷」は14本……補給の周期と一致するのであ～る！			雲海の騎兵と望んだ答え							
「補給物資」には、飛空艇整備用の「クリスタル」もある！彼らの目的は、蛮神「ビスマルク」へ捧げるために、クリスタルを強奪することであろ～う！			「補給物資」には、飛空艇整備用の「クリスタル」もある！彼らの目的は、蛮神「ビスマルク」へ捧げるために、クリスタルを強奪することであろ～う！			雲海の騎兵と望んだ答え							
さっそく、今回の「補給物資」が狙われるかもしれん。「ファブルレー」殿に、このことを伝えてくれ！自分は、ラニエット様と共に迎撃態勢を整え～る！			さっそく、今回の「補給物資」が狙われるかもしれん。「ファブルレー」殿に、このことを伝えてくれ！自分は、ラニエット様と共に迎撃態勢を整え～る！			雲海の騎兵と望んだ答え							
さっそく、今回の「補給物資」が狙われるかもしれん。「ファブルレー」殿に、このことを伝えてくれ！自分は、ラニエット様と共に迎撃態勢を整え～る！			さっそく、今回の「補給物資」が狙われるかもしれん。「ファブルレー」殿に、このことを伝えてくれ！自分は、ラニエット様と共に迎撃態勢を整え～る！			雲海の騎兵と望んだ答え							
焦った様子でどうしたんだ？なにか、問題でも起きたのか？			焦った様子でどうしたんだ？なにか、問題でも起きたのか？			雲海の騎兵と望んだ答え							
バヌバヌ族が、「補給物資」を狙ってる？あの太っちょ鳥どもが、どうやって襲撃するんだ。……いや、でも「プロテクトゥール号」の方が騒がしいな。			バヌバヌ族が、「補給物資」を狙ってる？あの太っちょ鳥どもが、どうやって襲撃するんだ。……いや、でも「プロテクトゥール号」の方が騒がしいな。			雲海の騎兵と望んだ答え							
お前さん、悪いんだが「プロテクトゥール号」へ行って、集積してる「騎兵団の物資」が無事か、確認してくれないか？もしも敵に襲われたら、倒してくれ……もしも、の話だがな。			お前さん、悪いんだが「プロテクトゥール号」へ行って、集積してる「騎兵団の物資」が無事か、確認してくれないか？もしも敵に襲われたら、倒してくれ……もしも、の話だがな。			雲海の騎兵と望んだ答え							
お前さん、悪いんだが「プロテクトゥール号」へ行って、集積してる「騎兵団の物資」が無事か、確認してくれないか？もしも敵に襲われたら、倒してくれ……もしも、の話だがな。			お前さん、悪いんだが「プロテクトゥール号」へ行って、集積してる「騎兵団の物資」が無事か、確認してくれないか？もしも敵に襲われたら、倒してくれ……もしも、の話だがな。			雲海の騎兵と望んだ答え							
まだ、まだ、抵抗するか！			まだ、まだ、抵抗するか！			雲海の騎兵と望んだ答え							
変な生き物に乗って、バヌバヌ族が空から……っ！頼む、「騎兵団の物資」を守ってくれ！			変な生き物に乗って、バヌバヌ族が空から……っ！頼む、「騎兵団の物資」を守ってくれ！			雲海の騎兵と望んだ答え							
バヌバヌ族に荒らされているが、補給物資に問題はなさそうだ……。			バヌバヌ族に荒らされているが、補給物資に問題はなさそうだ……。			雲海の騎兵と望んだ答え							
「騎兵団の物資」が無事か、確かめてもらえるか？			「騎兵団の物資」が無事か、確かめてもらえるか？			雲海の騎兵と望んだ答え							
話は、退避してきた騎兵から聞いたよ。お前さん、補給物資を狙ったバヌバヌ族を撃退したらしいな。ちょっと待っててくれ、いまラニエット様がいらっしゃるから。			話は、退避してきた騎兵から聞いたよ。お前さん、補給物資を狙ったバヌバヌ族を撃退したらしいな。ちょっと待っててくれ、いまラニエット様がいらっしゃるから。			雲海の騎兵と望んだ答え							
Surname殿、援軍が遅れて申し訳ない。そして、補給物資を守り切っていただき感謝する。前回といい、今回といい、貴公の働きには頭が下がる思いだ。			Surname殿、援軍が遅れて申し訳ない。そして、補給物資を守り切っていただき感謝する。前回といい、今回といい、貴公の働きには頭が下がる思いだ。			雲海の騎兵と望んだ答え							
Surname殿の言うとおり、今回の一件は、ギルドンの働きが大きかった。お前の熱意が、物資を守る大きな要因となったのは間違いない。			Surname殿の言うとおり、今回の一件は、ギルドンの働きが大きかった。お前の熱意が、物資を守る大きな要因となったのは間違いない。			雲海の騎兵と望んだ答え							
斜陽のアインハルト家でも、その熱意を活かせる場所へ、お前ひとり、ねじ込んでやることぐらいはできる。吉報を、楽しみに待っているといい。			斜陽のアインハルト家でも、その熱意を活かせる場所へ、お前ひとり、ねじ込んでやることぐらいはできる。吉報を、楽しみに待っているといい。			雲海の騎兵と望んだ答え							
栄転じゃないか！よかったな、ギルドン！			栄転じゃないか！よかったな、ギルドン！			雲海の騎兵と望んだ答え							
……いえ、せっかくのお話ですが、転属の件は、お断りしたいのであります！			……いえ、せっかくのお話ですが、転属の件は、お断りしたいのであります！			雲海の騎兵と望んだ答え							
自分は、ラニエット様を尊敬しております！ファブルレー殿は文句をいいながらも優しくしてくれる御方！部隊の仲間だって、本来は素晴らしい騎兵ばかり！			自分は、ラニエット様を尊敬しております！ファブルレー殿は文句をいいながらも優しくしてくれる御方！部隊の仲間だって、本来は素晴らしい騎兵ばかり！			雲海の騎兵と望んだ答え							
自分は己の栄転のために武勲をあげたのでなく、この部隊の、皆の士気を高めたかったのであります！！			自分は己の栄転のために武勲をあげたのでなく、この部隊の、皆の士気を高めたかったのであります！！			雲海の騎兵と望んだ答え							
し……しかし、ラニエット様。僭越ながら、ひとつだけよろしいでしょうか。			し……しかし、ラニエット様。僭越ながら、ひとつだけよろしいでしょうか。			雲海の騎兵と望んだ答え							
久しぶりに駆けまわったので腹が減りました！奪い返した補給物資を使い、そろそろ飯にしませんか？			久しぶりに駆けまわったので腹が減りました！奪い返した補給物資を使い、そろそろ飯にしませんか？			雲海の騎兵と望んだ答え							
お、お前なぁ、何も今それを言わなくても……。			お、お前なぁ、何も今それを言わなくても……。			雲海の騎兵と望んだ答え							
……ファブルレー。備蓄物資の開放を許可する。ワイン樽も開けてやれ。美味い飯と酒を囲み、ギルドンの心意気を共有しよう。			……ファブルレー。備蓄物資の開放を許可する。ワイン樽も開けてやれ。美味い飯と酒を囲み、ギルドンの心意気を共有しよう。			雲海の騎兵と望んだ答え							
さすれば彼の熱意は広まり、皆の士気も高まるだろう。なに、宴の予算ぐらい、私が都合をつけるさ。……そのかわり、今後も頼むぞ、ギルドン？			さすれば彼の熱意は広まり、皆の士気も高まるだろう。なに、宴の予算ぐらい、私が都合をつけるさ。……そのかわり、今後も頼むぞ、ギルドン？			雲海の騎兵と望んだ答え							
ありがとうございます！！これからも粉骨砕身、努力していく所存でありま～す！			ありがとうございます！！これからも粉骨砕身、努力していく所存でありま～す！			雲海の騎兵と望んだ答え							
……補給物資を守っていただき、感謝する。すまないが、「ファブルレー」にも物資の無事を伝えてほしい。			……補給物資を守っていただき、感謝する。すまないが、「ファブルレー」にも物資の無事を伝えてほしい。			雲海の騎兵と望んだ答え							
ブンド・オク・ベンドのテルミオは、任務を果たそうとしている。			ブンド・オク・ベンドのテルミオは、任務を果たそうとしている。			奪還部隊の奪還							
テルミオから物資の奪還を頼まれた。ブンド・オク・ベンドの「薔薇騎兵団の武具」を3つ入手しよう。			テルミオから物資の奪還を頼まれた。ブンド・オク・ベンドの「薔薇騎兵団の武具」を3つ入手しよう。			奪還部隊の奪還							
薔薇騎兵団の武具を奪還した。ブンド・オク・ベンド入口付近にいる「テルミオ」と話そう。			薔薇騎兵団の武具を奪還した。ブンド・オク・ベンド入口付近にいる「テルミオ」と話そう。			奪還部隊の奪還							
状況を見て帰還するテルミオたちに代わり、薔薇騎兵団の武具を届けるよう頼まれた。アバラシア雲海のローズハウスにいる「ラニエット」に「薔薇騎兵団の武具」を渡そう。			状況を見て帰還するテルミオたちに代わり、薔薇騎兵団の武具を届けるよう頼まれた。アバラシア雲海のローズハウスにいる「ラニエット」に「薔薇騎兵団の武具」を渡そう。			奪還部隊の奪還							
ラニエットに薔薇騎兵団の武具を渡した。彼女は薔薇騎兵団の武具を取り戻し、失態を挽回してくれた冒険者に深く感謝した。			ラニエットに薔薇騎兵団の武具を渡した。彼女は薔薇騎兵団の武具を取り戻し、失態を挽回してくれた冒険者に深く感謝した。			奪還部隊の奪還							
薔薇騎兵団の武具を入手			薔薇騎兵団の武具を入手			奪還部隊の奪還							
テルミオと話す			テルミオと話す			奪還部隊の奪還							
ラニエットに薔薇騎兵団の武具を渡す			ラニエットに薔薇騎兵団の武具を渡す			奪還部隊の奪還							
我らの目的は、奪われた補給物資の奪還……。それを成し遂げず逃げ帰るようでは、面目が立たない。どうか、任務の達成に助力を願いたい！			我らの目的は、奪われた補給物資の奪還……。それを成し遂げず逃げ帰るようでは、面目が立たない。どうか、任務の達成に助力を願いたい！			奪還部隊の奪還							
俺が派手に暴れて、奴らを引き付けるとしよう。冒険者、君はその隙を突いて物資を……「薔薇騎兵団の武具」を3つ、奪還してきてくれ！			俺が派手に暴れて、奴らを引き付けるとしよう。冒険者、君はその隙を突いて物資を……「薔薇騎兵団の武具」を3つ、奪還してきてくれ！			奪還部隊の奪還							
テルミオの支援、どうかよろしく頼む……。			テルミオの支援、どうかよろしく頼む……。			奪還部隊の奪還							
あなたが「薔薇騎兵団の武具」を……？申し訳ありませんが、よろしくお願いします。			あなたが「薔薇騎兵団の武具」を……？申し訳ありませんが、よろしくお願いします。			奪還部隊の奪還							
どうやら、奪われた武具をすべて取り戻してくれたようだな。恩に着る、Forename。我らだけでは、こうはいかなかっただろう。			どうやら、奪われた武具をすべて取り戻してくれたようだな。恩に着る、Forename。我らだけでは、こうはいかなかっただろう。			奪還部隊の奪還							
俺は状況を見ながら、キャンプに帰還する。この手柄は、君のものだ。武具は、君の手から「ラニエット」様に渡してくれ。			俺は状況を見ながら、キャンプに帰還する。この手柄は、君のものだ。武具は、君の手から「ラニエット」様に渡してくれ。			奪還部隊の奪還							
この手柄は君のものだ。武具は、君の手から「ラニエット」様に渡してくれ。			この手柄は君のものだ。武具は、君の手から「ラニエット」様に渡してくれ。			奪還部隊の奪還							
あなたのおかげで、生きて帰ることができます。ご協力に、感謝します……。			あなたのおかげで、生きて帰ることができます。ご協力に、感謝します……。			奪還部隊の奪還							
……感謝している。			……感謝している。			奪還部隊の奪還							
へへ、ありがとね！いま生きてるのは、あんたのおかげだよ！			へへ、ありがとね！いま生きてるのは、あんたのおかげだよ！			奪還部隊の奪還							
貴公がいなければ、いまごろは……。救援に、感謝を。			貴公がいなければ、いまごろは……。救援に、感謝を。			奪還部隊の奪還							
おお、Surname殿！戻られたか！			おお、Surname殿！戻られたか！			奪還部隊の奪還							
これは、奪われた物資……。なるほど、それで貴公が先に帰還したのだな。			これは、奪われた物資……。なるほど、それで貴公が先に帰還したのだな。			奪還部隊の奪還							
しかし、イシュガルド製の武器に目をつけられるとは……。金属加工技術が低いバヌバヌ族にしてみれば、危険を冒してでも欲しい物ということか。			しかし、イシュガルド製の武器に目をつけられるとは……。金属加工技術が低いバヌバヌ族にしてみれば、危険を冒してでも欲しい物ということか。			奪還部隊の奪還							
今後は、キャンプ内だからと油断せず、警戒を強めるとしよう。我らに与えられた任務は、ドラゴン族の監視……バヌバヌ族との小競り合いは避けたいからな。			今後は、キャンプ内だからと油断せず、警戒を強めるとしよう。我らに与えられた任務は、ドラゴン族の監視……バヌバヌ族との小競り合いは避けたいからな。			奪還部隊の奪還							
さて、改めて礼を言わせてくれ。我らの失態を挽回し、部下の命を救ってくれ、感謝する。フフッ、本当に貴公には、助けられてばかりだな。			さて、改めて礼を言わせてくれ。我らの失態を挽回し、部下の命を救ってくれ、感謝する。フフッ、本当に貴公には、助けられてばかりだな。			奪還部隊の奪還							
ハラタリ修練所のホウザンは、敵の様子を伺っている。			ハラタリ修練所のホウザンは、敵の様子を伺っている。			ラウバーン奪還作戦							
ホウザンと話した。戦いの準備をして、ハラタリ修練所付近の「ホウザン」に声をかけよう。			ホウザンと話した。戦いの準備をして、ハラタリ修練所付近の「ホウザン」に声をかけよう。			ラウバーン奪還作戦							
ハラタリ修練所に突入した冒険者とアルフィノ、ユウギリは、イルベルドやユユハセらクリスタルブレイブを退け、ラウバーンを救出した。ハラタリ修練所を出て、東ザナラーンに戻ろう。			ハラタリ修練所に突入した冒険者とアルフィノ、ユウギリは、イルベルドやユユハセらクリスタルブレイブを退け、ラウバーンを救出した。ハラタリ修練所を出て、東ザナラーンに戻ろう。			ラウバーン奪還作戦							
無事に全員でハラタリ修練所を出た。ハラタリ修練所前の「ドウワレ」と話そう。			無事に全員でハラタリ修練所を出た。ハラタリ修練所前の「ドウワレ」と話そう。			ラウバーン奪還作戦							
ドウワレから報告を受けた。そこに謎の使者が現れ、一行に砂の家へ向かうようにと言う。ハラタリ修練所付近の「アルフィノ」と話そう。			ドウワレから報告を受けた。そこに謎の使者が現れ、一行に砂の家へ向かうようにと言う。ハラタリ修練所付近の「アルフィノ」と話そう。			ラウバーン奪還作戦							
アルフィノと話し、使者の言葉に従うことにした。ベスパーベイの「砂の家」へ向かおう。			アルフィノと話し、使者の言葉に従うことにした。ベスパーベイの「砂の家」へ向かおう。			ラウバーン奪還作戦							
冒険者たちを砂の家に呼んだのは、砂蠍衆のひとり、デュララであった。デュララは、ナナモが昏睡状態で幽閉されていることを明かした。砂の家の「アルフィノ」と話そう。			冒険者たちを砂の家に呼んだのは、砂蠍衆のひとり、デュララであった。デュララは、ナナモが昏睡状態で幽閉されていることを明かした。砂の家の「アルフィノ」と話そう。			ラウバーン奪還作戦							
アルフィノと話した。彼はラウバーン救出に成功したことを喜び、冒険者とともに戦えたことに感謝したようだ。			アルフィノと話した。彼はラウバーン救出に成功したことを喜び、冒険者とともに戦えたことに感謝したようだ。			ラウバーン奪還作戦							
ホウザンと話す			ホウザンと話す			ラウバーン奪還作戦							
ハラタリ修練所前のドウワレと話す			ハラタリ修練所前のドウワレと話す			ラウバーン奪還作戦							
アルフィノと話す			アルフィノと話す			ラウバーン奪還作戦							
砂の家へ向かう			砂の家へ向かう			ラウバーン奪還作戦							
アルフィノと話す			アルフィノと話す			ラウバーン奪還作戦							
相手の出方次第ではありますが、突入するとなれば、荒事になりましょう。			相手の出方次第ではありますが、突入するとなれば、荒事になりましょう。			ラウバーン奪還作戦							
あの御方も来てくださる手はずですが、戦の備えだけは、ぬかりなくお願いします。それでは、準備が整いましたら、お声がけください。			あの御方も来てくださる手はずですが、戦の備えだけは、ぬかりなくお願いします。それでは、準備が整いましたら、お声がけください。			ラウバーン奪還作戦							
ラウバーン局長の「コロセウム財団」が保有する場所を、処刑場所に選ぶとは……イルベルドめ、何と趣味が悪い。失権したことを思い知らせつつ始末するつもりか……！			ラウバーン局長の「コロセウム財団」が保有する場所を、処刑場所に選ぶとは……イルベルドめ、何と趣味が悪い。失権したことを思い知らせつつ始末するつもりか……！			ラウバーン奪還作戦							
魔導装置で拘束されておられるようだ。無理矢理に破壊すれば、何が起きるか……。			魔導装置で拘束されておられるようだ。無理矢理に破壊すれば、何が起きるか……。			ラウバーン奪還作戦							
拘束を解くための認証鍵を、クリスタルブレイブの隊員が持っているはず。手分けして、奴らを探そう！			拘束を解くための認証鍵を、クリスタルブレイブの隊員が持っているはず。手分けして、奴らを探そう！			ラウバーン奪還作戦							
その必要は、ありませんよ。			その必要は、ありませんよ。			ラウバーン奪還作戦							
個人的な怨みはありませんが、これも仕事でしてね。私たち家族が、貧困から這い上がり生き残るためには、汚れ仕事であっても、貴重なんです。			個人的な怨みはありませんが、これも仕事でしてね。私たち家族が、貧困から這い上がり生き残るためには、汚れ仕事であっても、貴重なんです。			ラウバーン奪還作戦							
大丈夫……苦しみはしません。錬金術師ギルド特製の「毒霧」で、安らかにザル神の御許に旅立ってください……。			大丈夫……苦しみはしません。錬金術師ギルド特製の「毒霧」で、安らかにザル神の御許に旅立ってください……。			ラウバーン奪還作戦							
すまない……助かった……。ゴホッ……ゴホッ……。			すまない……助かった……。ゴホッ……ゴホッ……。			ラウバーン奪還作戦							
ラウバーン局長、無理をなさらずに……。			ラウバーン局長、無理をなさらずに……。			ラウバーン奪還作戦							
よし、脱出するぞ！			よし、脱出するぞ！			ラウバーン奪還作戦							
さすがは英雄殿……。小細工では始末できぬか……。			さすがは英雄殿……。小細工では始末できぬか……。			ラウバーン奪還作戦							
イルベルド！　貴様ッ……！			イルベルド！　貴様ッ……！			ラウバーン奪還作戦							
我が道を征かんとするなら、やはり自らの手で、障害を打ち払わねばならんか……。仕方あるまい……。			我が道を征かんとするなら、やはり自らの手で、障害を打ち払わねばならんか……。仕方あるまい……。			ラウバーン奪還作戦							
来い、暁の残滓ども！今、ここで！　その灯火を消し去ってくれる！			来い、暁の残滓ども！今、ここで！　その灯火を消し去ってくれる！			ラウバーン奪還作戦							
見てのとおり、救出は成功した。……ドウワレ、外の状況を教えてくれ。			見てのとおり、救出は成功した。……ドウワレ、外の状況を教えてくれ。			ラウバーン奪還作戦							
ハッ、警備に立っていたクリスタルブレイブの兵たちは、我ら3人の手で始末しました……。			ハッ、警備に立っていたクリスタルブレイブの兵たちは、我ら3人の手で始末しました……。			ラウバーン奪還作戦							
……ですが、その後となると、人っ子一人、現れてはおりませぬ。			……ですが、その後となると、人っ子一人、現れてはおりませぬ。			ラウバーン奪還作戦							
ふむ……別の抜け道でも使ったか……。イルベルドを始め、幹部級の何名かが逃げている。お主はホウザンらと、修練所内外を捜索せよ。			ふむ……別の抜け道でも使ったか……。イルベルドを始め、幹部級の何名かが逃げている。お主はホウザンらと、修練所内外を捜索せよ。			ラウバーン奪還作戦							
……承知！			……承知！			ラウバーン奪還作戦							
……「暁の血盟」とドマの方々、そして、ラウバーン・アルディン局長とお見受けします。			……「暁の血盟」とドマの方々、そして、ラウバーン・アルディン局長とお見受けします。			ラウバーン奪還作戦							
何者だ……！？			何者だ……！？			ラウバーン奪還作戦							
どうか武器をお収めください。私は、さる御方に仕える者……。我が主は、貴方様方の敵ではございません。			どうか武器をお収めください。私は、さる御方に仕える者……。我が主は、貴方様方の敵ではございません。			ラウバーン奪還作戦							
すでに「暁」のウリエンジェ殿と連絡もとっております。ラウバーン局長の身の安全のためにも、まずは「砂の家」へ……。			すでに「暁」のウリエンジェ殿と連絡もとっております。ラウバーン局長の身の安全のためにも、まずは「砂の家」へ……。			ラウバーン奪還作戦							
決して罠ではございません故、ご安心を……。ラウバーン局長はこちらに……人目を避けるため、チョコボ・キャリッジを用意してございます。			決して罠ではございません故、ご安心を……。ラウバーン局長はこちらに……人目を避けるため、チョコボ・キャリッジを用意してございます。			ラウバーン奪還作戦							
……ウリエンジェに連絡を取ってみたが、どうやら信じて良さそうだ。			……ウリエンジェに連絡を取ってみたが、どうやら信じて良さそうだ。			ラウバーン奪還作戦							
ラウバーン局長の移送は彼らに任せ、我々も「砂の家」に向かうとしよう。			ラウバーン局長の移送は彼らに任せ、我々も「砂の家」に向かうとしよう。			ラウバーン奪還作戦							
ラウバーン局長の移送は彼らに任せ、我々も「砂の家」に向かうとしよう。			ラウバーン局長の移送は彼らに任せ、我々も「砂の家」に向かうとしよう。			ラウバーン奪還作戦							
決して罠ではございません故、ご安心を……。			決して罠ではございません故、ご安心を……。			ラウバーン奪還作戦							
大丈夫だ……。奴の雇い主には、心当たりがある……。			大丈夫だ……。奴の雇い主には、心当たりがある……。			ラウバーン奪還作戦							
ここに来て、デュララ女史が出てくるとは……。いささか驚かされたが、さすがは砂蠍衆のひとり、といったところだろうか。			ここに来て、デュララ女史が出てくるとは……。いささか驚かされたが、さすがは砂蠍衆のひとり、といったところだろうか。			ラウバーン奪還作戦							
いずれにせよ、ラウバーン局長を救えたのは良かった。君やユウギリ殿とともに戦えたことを感謝しているよ。			いずれにせよ、ラウバーン局長を救えたのは良かった。君やユウギリ殿とともに戦えたことを感謝しているよ。			ラウバーン奪還作戦							
よくぞ、ラウバーン殿を救い出してくださった。心より感謝しますぞ……。しかし、局長のあの姿……なんと痛ましい……。			よくぞ、ラウバーン殿を救い出してくださった。心より感謝しますぞ……。しかし、局長のあの姿……なんと痛ましい……。			ラウバーン奪還作戦							
よくぞ、ラウバーン殿を救い出してくださった。心より感謝しますぞ……。			よくぞ、ラウバーン殿を救い出してくださった。心より感謝しますぞ……。			ラウバーン奪還作戦							
ラウバーンを救出せよ！			ラウバーンを救出せよ！			ラウバーン奪還作戦							
ラウバーンの体力			ラウバーンの体力			ラウバーン奪還作戦							
やはり、コロセウム財団の職員の姿はなしか……。気をつけろ……イルベルド配下の兵が潜んでいるはずだ。			やはり、コロセウム財団の職員の姿はなしか……。気をつけろ……イルベルド配下の兵が潜んでいるはずだ。			ラウバーン奪還作戦							
Surname殿、先導を任せる。			Surname殿、先導を任せる。			ラウバーン奪還作戦							
いたぞ、ラウバーン殿だ！しかし妙だな……警備が手薄すぎる……。			いたぞ、ラウバーン殿だ！しかし妙だな……警備が手薄すぎる……。			ラウバーン奪還作戦							
ご無事ですか、ラウバーン局長！			ご無事ですか、ラウバーン局長！			ラウバーン奪還作戦							
ぐっ……お、お前たち……。来てくれた……のか……。			ぐっ……お、お前たち……。来てくれた……のか……。			ラウバーン奪還作戦							
鉄柵を破壊せよ！			鉄柵を破壊せよ！			ラウバーン奪還作戦							
あまり、見苦しい真似はなさらぬことです……。それではご機嫌よう……。			あまり、見苦しい真似はなさらぬことです……。それではご機嫌よう……。			ラウバーン奪還作戦							
ゲホッ……ゲホッ……。き、貴様らだけでも……逃げるのだ……。			ゲホッ……ゲホッ……。き、貴様らだけでも……逃げるのだ……。			ラウバーン奪還作戦							
Forename！鉄柵を破壊して、奴を追うぞ！			Forename！鉄柵を破壊して、奴を追うぞ！			ラウバーン奪還作戦							
陛下の……仇を、討つまでは……ゲホッ……ゴホッ……死ぬわけにはいかぬのだ……。			陛下の……仇を、討つまでは……ゲホッ……ゴホッ……死ぬわけにはいかぬのだ……。			ラウバーン奪還作戦							
このままでは、ラウバーン殿の体力が持たないぞ……！			このままでは、ラウバーン殿の体力が持たないぞ……！			ラウバーン奪還作戦							
くっ、東方水薬の効果が薄い……！毒霧の効用だというのか！？			くっ、東方水薬の効果が薄い……！毒霧の効用だというのか！？			ラウバーン奪還作戦							
くそっ、毒素を好む魔物が！？			くそっ、毒素を好む魔物が！？			ラウバーン奪還作戦							
毒霧噴霧器を破壊せよ！			毒霧噴霧器を破壊せよ！			ラウバーン奪還作戦							
よし、鉄柵を破壊したぞ！			よし、鉄柵を破壊したぞ！			ラウバーン奪還作戦							
だが、まだ毒霧の発生が続いている。根源を破壊し、止めなければ！			だが、まだ毒霧の発生が続いている。根源を破壊し、止めなければ！			ラウバーン奪還作戦							
私がラウバーン殿の応急手当をしよう。毒霧の根源の排除と、認証鍵の入手を頼む！			私がラウバーン殿の応急手当をしよう。毒霧の根源の排除と、認証鍵の入手を頼む！			ラウバーン奪還作戦							
クリスタルブレイブの隊員が……この装置を解く鍵を……持っているはずだ……。			クリスタルブレイブの隊員が……この装置を解く鍵を……持っているはずだ……。			ラウバーン奪還作戦							
クリスタルブレイブ隊員を倒し「魔導装置の認証鍵」を入手			クリスタルブレイブ隊員を倒し「魔導装置の認証鍵」を入手			ラウバーン奪還作戦							
毒霧噴霧器は破壊した！　いい調子だぞ！			毒霧噴霧器は破壊した！　いい調子だぞ！			ラウバーン奪還作戦							
よし、毒霧が晴れたぞ！			よし、毒霧が晴れたぞ！			ラウバーン奪還作戦							
次は、ラウバーン局長を捕らえている、「魔導装置の認証鍵」を探すんだ！			次は、ラウバーン局長を捕らえている、「魔導装置の認証鍵」を探すんだ！			ラウバーン奪還作戦							
あの毒霧を切り抜けたというのか！			あの毒霧を切り抜けたというのか！			ラウバーン奪還作戦							
仕方あるまい、我らの手で！			仕方あるまい、我らの手で！			ラウバーン奪還作戦							
それが「魔導装置の認証鍵」！？さあ、ラウバーン局長の下へ急ごう！			それが「魔導装置の認証鍵」！？さあ、ラウバーン局長の下へ急ごう！			ラウバーン奪還作戦							
壊剣のイルベルドを倒せ！			壊剣のイルベルドを倒せ！			ラウバーン奪還作戦							
女王暗殺犯を始末する！総員、かかれ！			女王暗殺犯を始末する！総員、かかれ！			ラウバーン奪還作戦							
生き残るため、やられはしませんよ！			生き残るため、やられはしませんよ！			ラウバーン奪還作戦							
はははっ！やっぱり、僕は英雄になんてなれないんだ……だからッ！			はははっ！やっぱり、僕は英雄になんてなれないんだ……だからッ！			ラウバーン奪還作戦							
ええい……身体が……。獄中生活で、萎えたとでもいうのか……。			ええい……身体が……。獄中生活で、萎えたとでもいうのか……。			ラウバーン奪還作戦							
何だとっ！？……頭に血が上っていたとでも……！			何だとっ！？……頭に血が上っていたとでも……！			ラウバーン奪還作戦							
すまない……退かせてもらおう！			すまない……退かせてもらおう！			ラウバーン奪還作戦							
グハッ……ナナモ……陛下……。			グハッ……ナナモ……陛下……。			ラウバーン奪還作戦							
ロウェナ記念会館のヒギリは、冒険者の望みを知りたいようだ。			ロウェナ記念会館のヒギリは、冒険者の望みを知りたいようだ。			ラウバーンを追って							
ヒギリから話を聞いた。ラウバーン移送と前後して動いたユユハセ率いる第三分隊を、ドマの忍びが追っているそうだ。東ザナラーンのハイブリッジにいる「ドウワレ」と話そう。			ヒギリから話を聞いた。ラウバーン移送と前後して動いたユユハセ率いる第三分隊を、ドマの忍びが追っているそうだ。東ザナラーンのハイブリッジにいる「ドウワレ」と話そう。			ラウバーンを追って							
ドウワレから話を聞いた。ユユハセらはハラタリ修練所へ向かったそうだ。東ザナラーンのハラタリ修練所付近にいる「ホウザン」と話そう。			ドウワレから話を聞いた。ユユハセらはハラタリ修練所へ向かったそうだ。東ザナラーンのハラタリ修練所付近にいる「ホウザン」と話そう。			ラウバーンを追って							
ホウザンから話を聞いた。イルベルドがハラタリ修練所に入ったそうだ。ラウバーンは、ハラタリ修練所に囚われているとみて間違いないだろう。			ホウザンから話を聞いた。イルベルドがハラタリ修練所に入ったそうだ。ラウバーンは、ハラタリ修練所に囚われているとみて間違いないだろう。			ラウバーンを追って							
ハイブリッジのドウワレと話す			ハイブリッジのドウワレと話す			ラウバーンを追って							
ホウザンと話す			ホウザンと話す			ラウバーンを追って							
なるほど、ラウバーン局長の行方を追っているのですね。この件に関しては、メルウィブ提督からの依頼もあって、私たちも追っていたところなのです。			なるほど、ラウバーン局長の行方を追っているのですね。この件に関しては、メルウィブ提督からの依頼もあって、私たちも追っていたところなのです。			ラウバーンを追って							
ウルダハの「マラサジャ収容所」から、ラウバーン局長と思われる囚人が移送されるのと前後して、ここ、レヴナンツトールでも動きがありました。			ウルダハの「マラサジャ収容所」から、ラウバーン局長と思われる囚人が移送されるのと前後して、ここ、レヴナンツトールでも動きがありました。			ラウバーンを追って							
「石の家」に居座っていたユユハセ分隊長以下、クリスタルブレイブ第三分隊が、いずこかに出立したのです。			「石の家」に居座っていたユユハセ分隊長以下、クリスタルブレイブ第三分隊が、いずこかに出立したのです。			ラウバーンを追って							
私たちは、この行動の目的が、ラウバーン局長護送のためだと睨んでいます。			私たちは、この行動の目的が、ラウバーン局長護送のためだと睨んでいます。			ラウバーンを追って							
