クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			ナッツクランのモブハント（上級）							
ハルディスと話す			ハルディスと話す			秘めた覚悟							
ミンフィリアと話す			ミンフィリアと話す			秘めた覚悟							
……あの人の友人も、私にもっと力があったら、護ることができたんでしょうか。			……あの人の友人も、私にもっと力があったら、護ることができたんでしょうか。			秘めた覚悟							
それじゃあ、Forename……お前は、先に「星見の間」に行っててくれ。俺たちは、アマロを借りて、アルフィノたちを連れてくる。			それじゃあ、Forename……お前は、先に「星見の間」に行っててくれ。俺たちは、アマロを借りて、アルフィノたちを連れてくる。			秘めた覚悟							
……さっきの奴の言葉は、お前から水晶公に伝えてやってくれ。またあとで会おう。			……さっきの奴の言葉は、お前から水晶公に伝えてやってくれ。またあとで会おう。			秘めた覚悟							
Forenameか……。あなたの活躍は、報告で聞いている。誰よりも多くの罪喰いを倒し、民を救ってくれたと……。			Forenameか……。あなたの活躍は、報告で聞いている。誰よりも多くの罪喰いを倒し、民を救ってくれたと……。			秘めた覚悟							
改めて、御礼を申し上げる。あとのことは、私が、すべての責任を持って引き受けよう。			改めて、御礼を申し上げる。あとのことは、私が、すべての責任を持って引き受けよう。			秘めた覚悟							
……兵が、私にそんなことを？そうか……それは…………。			……兵が、私にそんなことを？そうか……それは…………。			秘めた覚悟							
……いいや、いい。皆のためを思うなら、私に必要なのは、揺らがずに立ち、前を見据え続けることだけだ。			……いいや、いい。皆のためを思うなら、私に必要なのは、揺らがずに立ち、前を見据え続けることだけだ。			秘めた覚悟							
悼みはしても、嘆いてはならない。悔いたとしても、うつむいてはならない。恐れも、苦悩も……ただ、この道を選んだ私の内にあればいい。			悼みはしても、嘆いてはならない。悔いたとしても、うつむいてはならない。恐れも、苦悩も……ただ、この道を選んだ私の内にあればいい。			秘めた覚悟							
何と言う？			何と言う？			秘めた覚悟							
みんなが来るまで、少し時間がある			みんなが来るまで、少し時間がある			秘めた覚悟							
わかった、絶対に負けるな			わかった、絶対に負けるな			秘めた覚悟							
それまでは、弱音を吐いても聞かれない……とでも？参ったな……この英雄には、本当に恐れ入る……。			それまでは、弱音を吐いても聞かれない……とでも？参ったな……この英雄には、本当に恐れ入る……。			秘めた覚悟							
だが、私なら大丈夫だ、このまま皆を待つとしよう。…………ありがとう、Forename。			だが、私なら大丈夫だ、このまま皆を待つとしよう。…………ありがとう、Forename。			秘めた覚悟							
応とも。私が弱って見えたなら、それは、防壁を展開するのに消耗しただけのこと……。			応とも。私が弱って見えたなら、それは、防壁を展開するのに消耗しただけのこと……。			秘めた覚悟							
皆を待って、すぐに作戦会議といこう。…………ありがとう、Forename。			皆を待って、すぐに作戦会議といこう。…………ありがとう、Forename。			秘めた覚悟							
あなた方が納得して進めるのなら、私に異論はない。戦いのあとゆえ、兵を援助に出すようなことは難しいが……。			あなた方が納得して進めるのなら、私に異論はない。戦いのあとゆえ、兵を援助に出すようなことは難しいが……。			秘めた覚悟							
せめて、あなた方の拠点として十全であれるよう、復旧や治療を、迅速に進めるとしよう。……どうか気をつけて。			せめて、あなた方の拠点として十全であれるよう、復旧や治療を、迅速に進めるとしよう。……どうか気をつけて。			秘めた覚悟							
私がコルシア島の大罪喰いを見つけられていれば、彼らも、こんな形で決断を下さなかったかもしれない……。それを思うと、心苦しいよ……。			私がコルシア島の大罪喰いを見つけられていれば、彼らも、こんな形で決断を下さなかったかもしれない……。それを思うと、心苦しいよ……。			秘めた覚悟							
サンクレッドは、何を考えて、あんな態度とってるのかしら。こっちに来てから、人が変わったようにさえ思えるけど……でも……あんな感じ、どこかで……。			サンクレッドは、何を考えて、あんな態度とってるのかしら。こっちに来てから、人が変わったようにさえ思えるけど……でも……あんな感じ、どこかで……。			秘めた覚悟							
ああ……そっか……。お父様……フルシュノにちょっと似てるんだわ。			ああ……そっか……。お父様……フルシュノにちょっと似てるんだわ。			秘めた覚悟							
アレコレと口出ししてくるのに、最後はこっちに判断を委ねようとするとことか、とくにね。……元気にしてるかしら、お父様もお母様も。			アレコレと口出ししてくるのに、最後はこっちに判断を委ねようとするとことか、とくにね。……元気にしてるかしら、お父様もお母様も。			秘めた覚悟							
ついに、このときが来てしまったのですね……。			ついに、このときが来てしまったのですね……。			秘めた覚悟							
待っているだけでは解決しない……ミンフィリアにそう言ったのは、確かに私よ。			待っているだけでは解決しない……ミンフィリアにそう言ったのは、確かに私よ。			秘めた覚悟							
でも、納得もしていないのに、彼女が破れかぶれに進もうとしているのなら……正せるのは自分だけだと、彼は理解しているのかしら。			でも、納得もしていないのに、彼女が破れかぶれに進もうとしているのなら……正せるのは自分だけだと、彼は理解しているのかしら。			秘めた覚悟							
いったいどうした……。とっととアム・アレーンに行って、本物の「光の巫女」でもなんでも、呼び覚ましてこい。			いったいどうした……。とっととアム・アレーンに行って、本物の「光の巫女」でもなんでも、呼び覚ましてこい。			秘めた覚悟							
それとも……光を追い求めるにあたって、闇の異形者たる私に聞いておきたいことでも？			それとも……光を追い求めるにあたって、闇の異形者たる私に聞いておきたいことでも？			秘めた覚悟							
何と言う？			何と言う？			秘めた覚悟							
ゾディアークとの関係について			ゾディアークとの関係について			秘めた覚悟							
聞きたいことはない			聞きたいことはない			秘めた覚悟							
あの洞窟でも言っただろう。私たちオリジナルのアシエンは、わかたれる前の世界の「人」だ。そしてゾディアークは、私たちに創られた存在である、とな。			あの洞窟でも言っただろう。私たちオリジナルのアシエンは、わかたれる前の世界の「人」だ。そしてゾディアークは、私たちに創られた存在である、とな。			秘めた覚悟							
現代の人は、神降ろしをしたり、蛮神のエネルギーを身に受けることで、強制的な同調……テンパード状態になるだろう？			現代の人は、神降ろしをしたり、蛮神のエネルギーを身に受けることで、強制的な同調……テンパード状態になるだろう？			秘めた覚悟							
実のところ、私たちにも、同じことは起きている。精神への干渉こそ、いくらかは防げるが、あれほどの存在を顕現させれば、どうしても引っ張られるのさ。			実のところ、私たちにも、同じことは起きている。精神への干渉こそ、いくらかは防げるが、あれほどの存在を顕現させれば、どうしても引っ張られるのさ。			秘めた覚悟							
結果、アシエンはゾディアークの有する力……「闇」とも呼ばれる、活性と激化の力に寄った存在に、ならざるを得なかったわけだ。			結果、アシエンはゾディアークの有する力……「闇」とも呼ばれる、活性と激化の力に寄った存在に、ならざるを得なかったわけだ。			秘めた覚悟							
そんな我々の、たゆまぬ活動のせいもあってか、闇と悪を同義に語る者も少なくない……が、それは実に無知で愚かな判断だと言えるだろう。			そんな我々の、たゆまぬ活動のせいもあってか、闇と悪を同義に語る者も少なくない……が、それは実に無知で愚かな判断だと言えるだろう。			秘めた覚悟							
……以上、こんなところでサラリと大事な話をする、私、アシエン・エメトセルクなのだった……。いや、だって最初にきちんと宣言しただろう？			……以上、こんなところでサラリと大事な話をする、私、アシエン・エメトセルクなのだった……。いや、だって最初にきちんと宣言しただろう？			秘めた覚悟							
聞く耳を持てば、真実を語ろう……と。ならば、こうしてわざわざ問いかけにきたお前にこそ、語られる事実があるべきだ。			聞く耳を持てば、真実を語ろう……と。ならば、こうしてわざわざ問いかけにきたお前にこそ、語られる事実があるべきだ。			秘めた覚悟							
ほほう、自意識過剰だ引っ込んでろ……ということか。いいだろう、今回はちょうど、昼寝でもしながら留守を任されようと思っていたところだ。			ほほう、自意識過剰だ引っ込んでろ……ということか。いいだろう、今回はちょうど、昼寝でもしながら留守を任されようと思っていたところだ。			秘めた覚悟							
……次の行き先を、勝手に決めてしまってごめんなさい。だけど、エメトセルクさんの言うとおり、これがいちばん可能性のある道だと思うんです。			……次の行き先を、勝手に決めてしまってごめんなさい。だけど、エメトセルクさんの言うとおり、これがいちばん可能性のある道だと思うんです。			秘めた覚悟							
だから……どうか、行かせてください。私も支度をして、街の入口に向かいます。			だから……どうか、行かせてください。私も支度をして、街の入口に向かいます。			秘めた覚悟							
……お待たせしました。いつでも、アム・アレーンに出発できます。			……お待たせしました。いつでも、アム・アレーンに出発できます。			秘めた覚悟							
何と言う？			何と言う？			秘めた覚悟							
本当にいいのか？			本当にいいのか？			秘めた覚悟							
やっぱりやめた方が……			やっぱりやめた方が……			秘めた覚悟							
……いいんです。その先で、「私」がどうなったとしても、後悔は……しないんじゃないかと思います。			……いいんです。その先で、「私」がどうなったとしても、後悔は……しないんじゃないかと思います。			秘めた覚悟							
皆さんと一緒に、いろいろなものを見て、話をして……。単なる力の有無じゃない、運命と戦うための強さも、教えてもらいました。			皆さんと一緒に、いろいろなものを見て、話をして……。単なる力の有無じゃない、運命と戦うための強さも、教えてもらいました。			秘めた覚悟							
だから、こうして踏み出せたことは、私なりの成長だと……そう思ってもらえると、嬉しいです。			だから、こうして踏み出せたことは、私なりの成長だと……そう思ってもらえると、嬉しいです。			秘めた覚悟							
……そう言うのなら、止めはしないわ。			……そう言うのなら、止めはしないわ。			秘めた覚悟							
ただ、終着点でどちらを選ぶつもりなのかも、今ここで問いはしない……。最後まで、考えるのを放棄しては駄目よ。			ただ、終着点でどちらを選ぶつもりなのかも、今ここで問いはしない……。最後まで、考えるのを放棄しては駄目よ。			秘めた覚悟							
お待たせいたしました。こちらの準備も、ぬかりなく……。			お待たせいたしました。こちらの準備も、ぬかりなく……。			秘めた覚悟							
……で、どういう経路で行くつもりだ。			……で、どういう経路で行くつもりだ。			秘めた覚悟							
それなんだけど……私から、みんなに頼みたいことがあるの。			それなんだけど……私から、みんなに頼みたいことがあるの。			秘めた覚悟							
私がクリスタリウムに戻ってくる直前、ユールモアの飛空艇が、アム・アレーンに飛来したらしいの。			私がクリスタリウムに戻ってくる直前、ユールモアの飛空艇が、アム・アレーンに飛来したらしいの。			秘めた覚悟							
恐らく、ラケティカ大森林と同じ……ヴァウスリーが、大罪喰いを護るために、軍を遣わしたのよ。			恐らく、ラケティカ大森林と同じ……ヴァウスリーが、大罪喰いを護るために、軍を遣わしたのよ。			秘めた覚悟							
ということは、現地に向かえば、再び彼らとの戦いになる可能性が高いわけだね。			ということは、現地に向かえば、再び彼らとの戦いになる可能性が高いわけだね。			秘めた覚悟							
その上で聞いてほしいんだけど……今回の目的地「廃都ナバスアレン」は、アム・アレーンの南端よ。そこへ行くには、2通りの経路があるわ。			その上で聞いてほしいんだけど……今回の目的地「廃都ナバスアレン」は、アム・アレーンの南端よ。そこへ行くには、2通りの経路があるわ。			秘めた覚悟							
ひとつ目は、モルド・スークがある東側から向かう方法……。			ひとつ目は、モルド・スークがある東側から向かう方法……。			秘めた覚悟							
ふたつ目が、西側に広がる鉱山地帯、「アンバーヒル」を南下する方法ね。			ふたつ目が、西側に広がる鉱山地帯、「アンバーヒル」を南下する方法ね。			秘めた覚悟							
ふむ……俺とミンフィリアが前にナバスアレンに行ったときは、モルド・スーク経由、つまり東側の経路を採ったな。			ふむ……俺とミンフィリアが前にナバスアレンに行ったときは、モルド・スーク経由、つまり東側の経路を採ったな。			秘めた覚悟							
そうでしょうね。ナバスアレンの周囲に生じている断崖……「ナバースの断絶」も、そっちからなら越えやすいわ。			そうでしょうね。ナバスアレンの周囲に生じている断崖……「ナバースの断絶」も、そっちからなら越えやすいわ。			秘めた覚悟							
……けれど、今回はそれだと問題があるの。			……けれど、今回はそれだと問題があるの。			秘めた覚悟							
東側から断崖を渡ろうとすれば、必然、「旅立ちの宿」の付近で準備をすることになる……。			東側から断崖を渡ろうとすれば、必然、「旅立ちの宿」の付近で準備をすることになる……。			秘めた覚悟							
そこを、ユールモア軍に嗅ぎつけられたら？あの宿には、逃げることもできない患者が多くいるわ……人質を取られでもして、万事休すよ。			そこを、ユールモア軍に嗅ぎつけられたら？あの宿には、逃げることもできない患者が多くいるわ……人質を取られでもして、万事休すよ。			秘めた覚悟							
だから、面倒にはなるけれど、西側の経路を採ってほしいの。			だから、面倒にはなるけれど、西側の経路を採ってほしいの。			秘めた覚悟							
同時に、私は東側の人の住んでいない適当な場所で、わざとユールモア軍に見つかって、陽動をするわ。			同時に、私は東側の人の住んでいない適当な場所で、わざとユールモア軍に見つかって、陽動をするわ。			秘めた覚悟							
そしたら、少しはナバスアレンに行きやすくなるだろうし、罪のない住民たちを巻き込む可能性も低くなる……。			そしたら、少しはナバスアレンに行きやすくなるだろうし、罪のない住民たちを巻き込む可能性も低くなる……。			秘めた覚悟							
それなら、私もついていこう。癒し手がいれば、君も思い切り動けるだろう？			それなら、私もついていこう。癒し手がいれば、君も思い切り動けるだろう？			秘めた覚悟							
私もアリゼーとともに行くわ。あなたとは久々に再会したのに、ゆっくり話もできていなかったし、それに……			私もアリゼーとともに行くわ。あなたとは久々に再会したのに、ゆっくり話もできていなかったし、それに……			秘めた覚悟							
彼らについていったら、また、余計な皮肉も言ってしまいそうだからね……？			彼らについていったら、また、余計な皮肉も言ってしまいそうだからね……？			秘めた覚悟							
そういうことなら、アリゼーたちに陽動を任せて、残りの面子で、西側からナバスアレンを目指そう。			そういうことなら、アリゼーたちに陽動を任せて、残りの面子で、西側からナバスアレンを目指そう。			秘めた覚悟							
西側のアンバーヒルへは、レイクランドの「岩の橋」から道が続いてたはずだ。一旦、そこを目指すとするか。			西側のアンバーヒルへは、レイクランドの「岩の橋」から道が続いてたはずだ。一旦、そこを目指すとするか。			秘めた覚悟							
それじゃあ、私たちはアマロを使って東側へ行くけど……いいのよね、ミンフィリア。			それじゃあ、私たちはアマロを使って東側へ行くけど……いいのよね、ミンフィリア。			秘めた覚悟							
……はい、よろしくお願いします。必ずナバスアレンで「ミンフィリア」に会って、大罪喰いの居場所を見つけましょう。			……はい、よろしくお願いします。必ずナバスアレンで「ミンフィリア」に会って、大罪喰いの居場所を見つけましょう。			秘めた覚悟							
陽動に向かったみんなのためにも、早く行かないと……。			陽動に向かったみんなのためにも、早く行かないと……。			秘めた覚悟							
この拠点でも、衛兵の被害は少なくなかったでしょう……。傷ついた者たちが、一刻も早く治癒するよう願います。			この拠点でも、衛兵の被害は少なくなかったでしょう……。傷ついた者たちが、一刻も早く治癒するよう願います。			秘めた覚悟							
……お前も来たな。アム・アレーンに続く門が、この先にあるらしい。			……お前も来たな。アム・アレーンに続く門が、この先にあるらしい。			秘めた覚悟							
俺も、実際にアンバーヒルに入るのは初めてだ。今更、新天地に驚くこともないが……状況が状況だ。何かあったら、ミンフィリアを頼む。			俺も、実際にアンバーヒルに入るのは初めてだ。今更、新天地に驚くこともないが……状況が状況だ。何かあったら、ミンフィリアを頼む。			秘めた覚悟							
……じゃあ、行くぞ。衛兵に話をつけて、通してもらうとしよう。			……じゃあ、行くぞ。衛兵に話をつけて、通してもらうとしよう。			秘めた覚悟							
この門だな……。衛兵に話をつけて、通してもらうとしよう。			この門だな……。衛兵に話をつけて、通してもらうとしよう。			秘めた覚悟							
……大丈夫です、行きましょう！			……大丈夫です、行きましょう！			秘めた覚悟							
いずれこの地に戻りしときに、私たちは、どのような結末を引き連れているのでしょうか……。それを考えずにはいられません。			いずれこの地に戻りしときに、私たちは、どのような結末を引き連れているのでしょうか……。それを考えずにはいられません。			秘めた覚悟							
む……お前、Surnameじゃないか……？先の戦いが終わってまだ間もないのに、もうどこかへ出かけるのか？			む……お前、Surnameじゃないか……？先の戦いが終わってまだ間もないのに、もうどこかへ出かけるのか？			秘めた覚悟							
ふむ、この先に用事があるのか……。相分かった、お前なら心配はいらないだろう。開けてやるから、通るがいい。			ふむ、この先に用事があるのか……。相分かった、お前なら心配はいらないだろう。開けてやるから、通るがいい。			秘めた覚悟							
この道は、アム・アレーンのアンバーヒル方面に続いている。			この道は、アム・アレーンのアンバーヒル方面に続いている。			秘めた覚悟							
「アム・アレーン」へ移動しますか？			「アム・アレーン」へ移動しますか？			秘めた覚悟							
さて……あそこに見えるのは、村……か？			さて……あそこに見えるのは、村……か？			秘めた覚悟							
無事に南下できる道が、残っていれば良いのですが……。			無事に南下できる道が、残っていれば良いのですが……。			秘めた覚悟							
……ここからでも、「光の氾濫」跡が見えますね。私たちは、あの下に行くんだ……。			……ここからでも、「光の氾濫」跡が見えますね。私たちは、あの下に行くんだ……。			秘めた覚悟							
進みましょう、Forenameさん。こんな状況だから、楽しくとはいかないけれど……私はこの旅の一歩ずつを、大事にします。			進みましょう、Forenameさん。こんな状況だから、楽しくとはいかないけれど……私はこの旅の一歩ずつを、大事にします。			秘めた覚悟							
オスタル厳命城のライナは、静かに空を見つめている。			オスタル厳命城のライナは、静かに空を見つめている。			自分にできること							
クリスタリウムのサンクレッドと話す			クリスタリウムのサンクレッドと話す			自分にできること							
ミンフィリアを探す			ミンフィリアを探す			自分にできること							
ミンフィリアに「つつく」をする			ミンフィリアに「つつく」をする			自分にできること							
新緑の若葉からエルヴンディルを入手			新緑の若葉からエルヴンディルを入手			自分にできること							
シェッサミールにエルヴンディルを渡す			シェッサミールにエルヴンディルを渡す			自分にできること							
ヴァウスリーの声明は聞いたよ。この惨劇が彼の思惑どおりだというなら、私は……。			ヴァウスリーの声明は聞いたよ。この惨劇が彼の思惑どおりだというなら、私は……。			自分にできること							
こっちは、どうにか大丈夫。負傷兵たちは、順番に移送するわ。			こっちは、どうにか大丈夫。負傷兵たちは、順番に移送するわ。			自分にできること							
事態が収束したらば、どうか、水晶公のもとへ。いかに鷹揚に振舞えど、その心中は察して余りある……。声を掛けられる者がいるとすれば、恐らく、あなたかと……。			事態が収束したらば、どうか、水晶公のもとへ。いかに鷹揚に振舞えど、その心中は察して余りある……。声を掛けられる者がいるとすれば、恐らく、あなたかと……。			自分にできること							
さっきの、ヴァウスリーの言葉……当然、クリスタリウムにも聞こえていたでしょうね。混乱を招いていないといいけれど。			さっきの、ヴァウスリーの言葉……当然、クリスタリウムにも聞こえていたでしょうね。混乱を招いていないといいけれど。			自分にできること							
ユールモアの飛空艇は……そのまま飛び去ったようですね……。そう……私たちに、わざわざあれを言いに…………。			ユールモアの飛空艇は……そのまま飛び去ったようですね……。そう……私たちに、わざわざあれを言いに…………。			自分にできること							
……先ほどは、見苦しいところを、すみませんでした。私は、本当に平気です……怪我の具合もちゃんと見ながら、できるように、任務を進めたいと思います。			……先ほどは、見苦しいところを、すみませんでした。私は、本当に平気です……怪我の具合もちゃんと見ながら、できるように、任務を進めたいと思います。			自分にできること							
ただ、ひとつ気がかりが……。私を庇ってくれた、サンクレッドとミンフィリアのことです。			ただ、ひとつ気がかりが……。私を庇ってくれた、サンクレッドとミンフィリアのことです。			自分にできること							
とくにサンクレッドは、罪喰いと戦って、大怪我をしました。今はミンフィリアが付き添って、クリスタリウムの、「スパジャイリクス医療館」で治療を受けているはずです。			とくにサンクレッドは、罪喰いと戦って、大怪我をしました。今はミンフィリアが付き添って、クリスタリウムの、「スパジャイリクス医療館」で治療を受けているはずです。			自分にできること							
よければ、様子を見に行ってはもらえませんか？それから、私が心から感謝していたと、お伝えください。			よければ、様子を見に行ってはもらえませんか？それから、私が心から感謝していたと、お伝えください。			自分にできること							
怪我をしたサンクレッドたちは、クリスタリウムの、「スパジャイリクス医療館」で治療を受けているはずです。私が感謝していたと、お伝えください。			怪我をしたサンクレッドたちは、クリスタリウムの、「スパジャイリクス医療館」で治療を受けているはずです。私が感謝していたと、お伝えください。			自分にできること							
ああ……わざわざ来てくれたのか。悪いな、少しばかり、嫌なところに攻撃をくらっちまった。			ああ……わざわざ来てくれたのか。悪いな、少しばかり、嫌なところに攻撃をくらっちまった。			自分にできること							
だが、ここの治療師たちは腕がいい……おかげさまで、もうそれなりには動けそうだ。			だが、ここの治療師たちは腕がいい……おかげさまで、もうそれなりには動けそうだ。			自分にできること							
……むしろ、気がかりなのはミンフィリアの方だ。今は、館長のシェッサミールの手伝いで、「ホルトリウム園芸館」まで、薬草を取りに行ってる。			……むしろ、気がかりなのはミンフィリアの方だ。今は、館長のシェッサミールの手伝いで、「ホルトリウム園芸館」まで、薬草を取りに行ってる。			自分にできること							
すまないが、行って声をかけてやってくれないか。今は、多分……俺じゃ逆効果だ。			すまないが、行って声をかけてやってくれないか。今は、多分……俺じゃ逆効果だ。			自分にできること							
ミンフィリアは「ホルトリウム園芸館」まで、薬草を取りに行ってるはずだ。すまないが、お前が声をかけてやってくれ。			ミンフィリアは「ホルトリウム園芸館」まで、薬草を取りに行ってるはずだ。すまないが、お前が声をかけてやってくれ。			自分にできること							
………………。			………………。			自分にできること							
ミンフィリアは、物思いにふけっているようだ。「つついて」みたら、こちらに気づくだろうか……？			ミンフィリアは、物思いにふけっているようだ。「つついて」みたら、こちらに気づくだろうか……？			自分にできること							
ひゃっ……！？			ひゃっ……！？			自分にできること							
あっ、あれ……？Forenameさん……どうしてここに？			あっ、あれ……？Forenameさん……どうしてここに？			自分にできること							
そうですか……サンクレッドのお見舞いに……。			そうですか……サンクレッドのお見舞いに……。			自分にできること							
……私の、力不足のせいなんです。ライナさんを助けようと思って飛び出したのに、油断をしてしまった。			……私の、力不足のせいなんです。ライナさんを助けようと思って飛び出したのに、油断をしてしまった。			自分にできること							
それで、サンクレッドが…………。			それで、サンクレッドが…………。			自分にできること							
何と言う？			何と言う？			自分にできること							
手伝いを終わらせて、彼のもとに戻ろう			手伝いを終わらせて、彼のもとに戻ろう			自分にできること							
反省してるなら、まず仕事をやりとげろ			反省してるなら、まず仕事をやりとげろ			自分にできること							
サンクレッドのところに戻る……。……本当に、それでいいんでしょうか。			サンクレッドのところに戻る……。……本当に、それでいいんでしょうか。			自分にできること							
戦いは、どんどん厳しくなっていく……。スリザーバウが襲われたときや、今回の襲撃みたいに、一歩間違えれば、たくさんの犠牲がでるかもしれない……。			戦いは、どんどん厳しくなっていく……。スリザーバウが襲われたときや、今回の襲撃みたいに、一歩間違えれば、たくさんの犠牲がでるかもしれない……。			自分にできること							
そんな中で、いつまでも、弱い私がここにいることが……本当に……。			そんな中で、いつまでも、弱い私がここにいることが……本当に……。			自分にできること							
あ……そうでした、私、手伝いの途中で……！シェッサミールさんが待ってるのに……なんてことを……。			あ……そうでした、私、手伝いの途中で……！シェッサミールさんが待ってるのに……なんてことを……。			自分にできること							
……このままじゃダメだって、自分でもよくわかってるんです。「ミンフィリア」だから、みなさんと一緒にいられるだけで、私はずっと、中途半端なままで……。			……このままじゃダメだって、自分でもよくわかってるんです。「ミンフィリア」だから、みなさんと一緒にいられるだけで、私はずっと、中途半端なままで……。			自分にできること							
そうでなくとも、戦いは、どんどん厳しくなっています。スリザーバウが襲われたときや、今回の襲撃みたいに、一歩間違えれば、たくさんの犠牲がでるかもしれないのに……。			そうでなくとも、戦いは、どんどん厳しくなっています。スリザーバウが襲われたときや、今回の襲撃みたいに、一歩間違えれば、たくさんの犠牲がでるかもしれないのに……。			自分にできること							
ダ、ダメダメ……！とにかく、お手伝いをすませないと！			ダ、ダメダメ……！とにかく、お手伝いをすませないと！			自分にできること							
Forenameさん、すみませんが、私が持ちきれない分の薬草を、シェッサミールさんに届けてもらえないでしょうか……？			Forenameさん、すみませんが、私が持ちきれない分の薬草を、シェッサミールさんに届けてもらえないでしょうか……？			自分にできること							
必要なのは、「エルヴンディル」です。この園芸館にある「新緑の若葉」のうち、とくにさわやかな香りのするものだそうです。			必要なのは、「エルヴンディル」です。この園芸館にある「新緑の若葉」のうち、とくにさわやかな香りのするものだそうです。			自分にできること							
あと2つほどあれば足りると思うので……よろしくお願いします！			あと2つほどあれば足りると思うので……よろしくお願いします！			自分にできること							
この若葉からは、まったく香りがしない。「エルヴンディル」ではないようだ……。			この若葉からは、まったく香りがしない。「エルヴンディル」ではないようだ……。			自分にできること							
この若葉からは、何やら甘い香りがする。「エルヴンディル」ではないようだ……。			この若葉からは、何やら甘い香りがする。「エルヴンディル」ではないようだ……。			自分にできること							
この若葉からは、さわやかな香りがする。「エルヴンディル」で間違いないようだ！			この若葉からは、さわやかな香りがする。「エルヴンディル」で間違いないようだ！			自分にできること							
手間をかけたな。お前が行ってくれて、助かった。			手間をかけたな。お前が行ってくれて、助かった。			自分にできること							
残りを運んでくださって、ありがとうございます。薬草は、シェッサミールさんに渡してください。			残りを運んでくださって、ありがとうございます。薬草は、シェッサミールさんに渡してください。			自分にできること							
おかえりなさぁい……待っていたわ……。ミンフィリアちゃんから、貴方と手分けしたと聞いたけれど……？			おかえりなさぁい……待っていたわ……。ミンフィリアちゃんから、貴方と手分けしたと聞いたけれど……？			自分にできること							
たしかに、受け取ったわ……。これで、たりなかった薬を、生成できる……。			たしかに、受け取ったわ……。これで、たりなかった薬を、生成できる……。			自分にできること							
負傷者は、どんどん運ばれてきますからね……。今回の戦いが、どれほど酷かったのか、よくわかるわ……。			負傷者は、どんどん運ばれてきますからね……。今回の戦いが、どれほど酷かったのか、よくわかるわ……。			自分にできること							
だけど、大丈夫……。どんな……えぐい味の……薬を使ってでも、私たち、医療館のみんなで、負傷者を救ってみせるからぁ……。			だけど、大丈夫……。どんな……えぐい味の……薬を使ってでも、私たち、医療館のみんなで、負傷者を救ってみせるからぁ……。			自分にできること							
お前も十分に戦ったあとだってのに、こいつが手を借りたようで、すまなかったな。			お前も十分に戦ったあとだってのに、こいつが手を借りたようで、すまなかったな。			自分にできること							
だが、おかげで医療館も、ひとまずは問題なさそうだ。救助の要であるこの施設が稼働できているなら、事態は収束に向かうだろう……。			だが、おかげで医療館も、ひとまずは問題なさそうだ。救助の要であるこの施設が稼働できているなら、事態は収束に向かうだろう……。			自分にできること							
となれば、次は、俺たちにしかできない方法で、事の「根本的な解決」を目指すしかない。……水晶公と話をしに「星見の間」へ行こう。			となれば、次は、俺たちにしかできない方法で、事の「根本的な解決」を目指すしかない。……水晶公と話をしに「星見の間」へ行こう。			自分にできること							
(-？？？？-)今、水晶公とおっしゃいましたか……？あなたがたは、公とお話をなさるので……？			(-？？？？-)今、水晶公とおっしゃいましたか……？あなたがたは、公とお話をなさるので……？			自分にできること							
そのつもりだが……どうかしたか？			そのつもりだが……どうかしたか？			自分にできること							
でしたら、公にお伝えいただきたいことがあるのです……！			でしたら、公にお伝えいただきたいことがあるのです……！			自分にできること							
自分は……自分は、親友とともに此度の戦いに出ました。そこで、力及ばず……友は、罪喰いの餌食に……。			自分は……自分は、親友とともに此度の戦いに出ました。そこで、力及ばず……友は、罪喰いの餌食に……。			自分にできること							
……でも、あいつ、亡くなる間際に言っていたんです。			……でも、あいつ、亡くなる間際に言っていたんです。			自分にできること							
生きてるうちに、本当の空が見られてよかった……俺たちの生きてる世界は、とても綺麗だった……と。			生きてるうちに、本当の空が見られてよかった……俺たちの生きてる世界は、とても綺麗だった……と。			自分にできること							
だから……自分は、「闇の戦士」の行いも、公の決断も、間違いだったとは思いません！			だから……自分は、「闇の戦士」の行いも、公の決断も、間違いだったとは思いません！			自分にできること							
さっきの、ヴァウスリーからの宣告も聞いたけれど……その言葉のとおり、馬鹿な抗いなのかもしれないけれど、それでも……ッ！			さっきの、ヴァウスリーからの宣告も聞いたけれど……その言葉のとおり、馬鹿な抗いなのかもしれないけれど、それでも……ッ！			自分にできること							
諦めないで……悔いないでくださいと……公にお伝えください……。			諦めないで……悔いないでくださいと……公にお伝えください……。			自分にできること							
最期に笑った、友の想いを……ノルヴラントに戻りつつある闇に胸躍らせ、仲間とあげた祝杯を……どうか、善きもののままに……。			最期に笑った、友の想いを……ノルヴラントに戻りつつある闇に胸躍らせ、仲間とあげた祝杯を……どうか、善きもののままに……。			自分にできること							
……わかった。伝えるから、お前はしっかり休め。戦い続けるにも、まずはそこからだ。			……わかった。伝えるから、お前はしっかり休め。戦い続けるにも、まずはそこからだ。			自分にできること							
オスタル厳命城のアリゼーは、沈痛な面持ちだ。			オスタル厳命城のアリゼーは、沈痛な面持ちだ。			地は冷たく、空は遠く							
負傷兵を介抱			負傷兵を介抱			地は冷たく、空は遠く							
ライナを探す			ライナを探す			地は冷たく、空は遠く							
しっかりするんだ……！			しっかりするんだ……！			地は冷たく、空は遠く							
