潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
ぐぬぬぬぬ、試しもせずに、諦めるとは……。最善を尽くさなければ、人生に納得などできなかろうに……。			ぐぬぬぬぬ、試しもせずに、諦めるとは……。最善を尽くさなければ、人生に納得などできなかろうに……。			石切場を取り戻せ							
いかにも、わしは石切職人のセイヤーだ。そうか、ラガンフリッドから、わしの話を……。先ほどは必死で、お主が外の者だとは気付かなんだ。			いかにも、わしは石切職人のセイヤーだ。そうか、ラガンフリッドから、わしの話を……。先ほどは必死で、お主が外の者だとは気付かなんだ。			石切場を取り戻せ							
Forenameといったな？なるほど、お主がワークラタを救ったという者だったか。ふむ、お主の目は諦めで曇ってはおらんようじゃな……。			Forenameといったな？なるほど、お主がワークラタを救ったという者だったか。ふむ、お主の目は諦めで曇ってはおらんようじゃな……。			石切場を取り戻せ							
ならば、話し相手になってもらうとするかの……。わしの考えが、間違っておらんことがわかるだろう。			ならば、話し相手になってもらうとするかの……。わしの考えが、間違っておらんことがわかるだろう。			石切場を取り戻せ							
この村は、石切場として発展してな。この地で切り出された石は、美しさと丈夫さで知られ、かのアラミゴ王宮にも用いられるほど、名高かったもんだ。			この村は、石切場として発展してな。この地で切り出された石は、美しさと丈夫さで知られ、かのアラミゴ王宮にも用いられるほど、名高かったもんだ。			石切場を取り戻せ							
だが、帝国の侵略で、状況はがらりと変わった……。石造りのアラミゴ建築は野蛮とされ、冷たく無粋な金属を用いた、帝国様式こそが「文明的」と、もてはやされたのだ！			だが、帝国の侵略で、状況はがらりと変わった……。石造りのアラミゴ建築は野蛮とされ、冷たく無粋な金属を用いた、帝国様式こそが「文明的」と、もてはやされたのだ！			石切場を取り戻せ							
さらに帝国軍による徴兵と、それに抗う解放運動がトドメを刺した。若者は村から姿を消し、維持もままならなくなった石切場は、今や魔物どもがはびこり、近づくこともかなわん。			さらに帝国軍による徴兵と、それに抗う解放運動がトドメを刺した。若者は村から姿を消し、維持もままならなくなった石切場は、今や魔物どもがはびこり、近づくこともかなわん。			石切場を取り戻せ							
村人たちは日々を生き延びるだけで精いっぱい。だが、あの石切場さえ取り戻せれば……。仕事を持ち、生きがいがあれば、村人の生きる力も湧こう……。			村人たちは日々を生き延びるだけで精いっぱい。だが、あの石切場さえ取り戻せれば……。仕事を持ち、生きがいがあれば、村人の生きる力も湧こう……。			石切場を取り戻せ							
ワークラタを救ったという、その腕っ節を見込んで頼みがある。			ワークラタを救ったという、その腕っ節を見込んで頼みがある。			石切場を取り戻せ							
村の東にあるスリーピングストーンズ採石場で、マーブル・ウロリスどもを追い払い、「ウロリスの心核」を2つ持ち帰ってくれんか？			村の東にあるスリーピングストーンズ採石場で、マーブル・ウロリスどもを追い払い、「ウロリスの心核」を2つ持ち帰ってくれんか？			石切場を取り戻せ							
奴らを始末した証を村人たちに見せれば、誇りを取り戻し、石切場の再建に力を貸してくれるはずだ！			奴らを始末した証を村人たちに見せれば、誇りを取り戻し、石切場の再建に力を貸してくれるはずだ！			石切場を取り戻せ							
村の東にあるスリーピングストーンズ採石場で、マーブル・ウロリスどもを追い払い、「ウロリスの心核」を2つ持ち帰ってくれ。			村の東にあるスリーピングストーンズ採石場で、マーブル・ウロリスどもを追い払い、「ウロリスの心核」を2つ持ち帰ってくれ。			石切場を取り戻せ							
おお、戻ったか。首尾よく、マーブル・ウロリスを追い払うことはできたか？			おお、戻ったか。首尾よく、マーブル・ウロリスを追い払うことはできたか？			石切場を取り戻せ							
これは、間違いなくウロリスの心核……。奴らを始末した証として、これ以上のものはあるまい！			これは、間違いなくウロリスの心核……。奴らを始末した証として、これ以上のものはあるまい！			石切場を取り戻せ							
さっそく、皆の者に知らせてやらねば！精を出す仕事があれば、村人たちも生きる力が湧くはず……！			さっそく、皆の者に知らせてやらねば！精を出す仕事があれば、村人たちも生きる力が湧くはず……！			石切場を取り戻せ							
ラールガーズリーチのアルフィノは、状況を確認したいようだ。			ラールガーズリーチのアルフィノは、状況を確認したいようだ。			ラウバーンの決断							
ヤ・シュトラと話す			ヤ・シュトラと話す			ラウバーンの決断							
アルフィノと話す			アルフィノと話す			ラウバーンの決断							
カストルム・オリエンスのラウバーンと話す			カストルム・オリエンスのラウバーンと話す			ラウバーンの決断							
アリゼーと話す			アリゼーと話す			ラウバーンの決断							
ふぅ、これで依頼は完了だな……っと。君も一区切りついたところかい？			ふぅ、これで依頼は完了だな……っと。君も一区切りついたところかい？			ラウバーンの決断							
おつかれさまです、Forenameさん。ちょうど、呼びに行こうとしていたんですよ。			おつかれさまです、Forenameさん。ちょうど、呼びに行こうとしていたんですよ。			ラウバーンの決断							
予定されていた解放軍系の部隊と、新兵たちの合流が完了し、準備が整ったところでな。いよいよ、打って出る頃合いということじゃ。			予定されていた解放軍系の部隊と、新兵たちの合流が完了し、準備が整ったところでな。いよいよ、打って出る頃合いということじゃ。			ラウバーンの決断							
メ・ナーゴよ、同盟軍へ共同での反攻作戦の開始を打診するぞい。親書を託すゆえ、これをカストルム・オリエンスの、ラウバーン殿に届けるのじゃ！			メ・ナーゴよ、同盟軍へ共同での反攻作戦の開始を打診するぞい。親書を託すゆえ、これをカストルム・オリエンスの、ラウバーン殿に届けるのじゃ！			ラウバーンの決断							
了解です！			了解です！			ラウバーンの決断							
それでは、私は使者として出立しますが……「暁」の皆さんは、どうされますか？			それでは、私は使者として出立しますが……「暁」の皆さんは、どうされますか？			ラウバーンの決断							
エオルゼア同盟軍から依頼されていた、解放軍との橋渡し役は、ひとまず完了したことになる。今後については、一度、皆と相談すべきだろうな……。			エオルゼア同盟軍から依頼されていた、解放軍との橋渡し役は、ひとまず完了したことになる。今後については、一度、皆と相談すべきだろうな……。			ラウバーンの決断							
わかりました。それでは、私は辺境地帯側の出入口で出発準備を整えておきます。もし、同盟軍の本陣に向かう方がいましたら、来てくださいね。			わかりました。それでは、私は辺境地帯側の出入口で出発準備を整えておきます。もし、同盟軍の本陣に向かう方がいましたら、来てくださいね。			ラウバーンの決断							
では、リセとアリゼーは私が呼んでこよう。君は野戦病院に赴き、ヤ・シュトラやクルルさんのところで、待っていてくれ！			では、リセとアリゼーは私が呼んでこよう。君は野戦病院に赴き、ヤ・シュトラやクルルさんのところで、待っていてくれ！			ラウバーンの決断							
あら、私たちに何か伝えたいことでも？			あら、私たちに何か伝えたいことでも？			ラウバーンの決断							
なるほど、すべての任務が完了したのね。それで、ついに同盟軍と共同で反攻作戦を始めると……。			なるほど、すべての任務が完了したのね。それで、ついに同盟軍と共同で反攻作戦を始めると……。			ラウバーンの決断							
「暁」がエオルゼアの救済を掲げる組織である以上、アラミゴ奪還に向けた動きは、当然支援すべきだと考える。だが、これ以上の関与は、本格的な戦争協力になるはずだ。			「暁」がエオルゼアの救済を掲げる組織である以上、アラミゴ奪還に向けた動きは、当然支援すべきだと考える。だが、これ以上の関与は、本格的な戦争協力になるはずだ。			ラウバーンの決断							
組織としての「暁」が、協力の姿勢を示すとしても、それぞれが実際に参加するかは、今一度、考えておくべきだろう。			組織としての「暁」が、協力の姿勢を示すとしても、それぞれが実際に参加するかは、今一度、考えておくべきだろう。			ラウバーンの決断							
もちろん、アタシは戦うよ。祖国アラミゴの奪還は、父さんとイダ姉さんの想いでもあるし、何よりアタシが願っていることだから……。			もちろん、アタシは戦うよ。祖国アラミゴの奪還は、父さんとイダ姉さんの想いでもあるし、何よりアタシが願っていることだから……。			ラウバーンの決断							
……私もやるわ。蛮神討滅の理念はともかく、自分たちの意見を武力で押しつける、帝国のやり口が気にくわないのよ。			……私もやるわ。蛮神討滅の理念はともかく、自分たちの意見を武力で押しつける、帝国のやり口が気にくわないのよ。			ラウバーンの決断							
第七霊災を引き起こしたのも彼らだし、その後に再侵攻してきたガイウスの裏にはアシエンがいた。どう考えたって、放置できないわ。			第七霊災を引き起こしたのも彼らだし、その後に再侵攻してきたガイウスの裏にはアシエンがいた。どう考えたって、放置できないわ。			ラウバーンの決断							
リセはともかく、アリゼーは、もう少し躊躇すると思っていたが、ともかく君たちの意見については、了解した。			リセはともかく、アリゼーは、もう少し躊躇すると思っていたが、ともかく君たちの意見については、了解した。			ラウバーンの決断							
そして、私自身も同じ意見だ。イルベルドという復讐鬼を生んでしまった一端が、私にもあるし、なればこそアラミゴのために働きたい。			そして、私自身も同じ意見だ。イルベルドという復讐鬼を生んでしまった一端が、私にもあるし、なればこそアラミゴのために働きたい。			ラウバーンの決断							
私も参加するわ……。戦争を嫌うあまり、本国に逃げたシャーレアンに反発して、私はルイゾワ様の「救世詩盟」に参加した。			私も参加するわ……。戦争を嫌うあまり、本国に逃げたシャーレアンに反発して、私はルイゾワ様の「救世詩盟」に参加した。			ラウバーンの決断							
その心は変わっていないし、目の前には、癒し手を待っている人がいるもの。しばらく、この野戦病院に残って働くつもり。			その心は変わっていないし、目の前には、癒し手を待っている人がいるもの。しばらく、この野戦病院に残って働くつもり。			ラウバーンの決断							
私は、ちょっと違う理由だけど、ここで働かせてもらうわ。ミンフィリアも、故郷アラミゴの奪還には力を尽くしたかったはず……。その親友の想いを、代わりに果たしたいと思うのよ。			私は、ちょっと違う理由だけど、ここで働かせてもらうわ。ミンフィリアも、故郷アラミゴの奪還には力を尽くしたかったはず……。その親友の想いを、代わりに果たしたいと思うのよ。			ラウバーンの決断							
Forename、君はどうする？ガイウス・ヴァン・バエサルを倒した君の力は、帝国打倒を目指す人にとっては、非常に心強いものだろう。			Forename、君はどうする？ガイウス・ヴァン・バエサルを倒した君の力は、帝国打倒を目指す人にとっては、非常に心強いものだろう。			ラウバーンの決断							
だが、「英雄」という偶像に押し込められ、都合のいい武力として利用されるのも、本意ではあるまい？			だが、「英雄」という偶像に押し込められ、都合のいい武力として利用されるのも、本意ではあるまい？			ラウバーンの決断							
アラミゴ奪還に協力する？			アラミゴ奪還に協力する？			ラウバーンの決断							
帝国を野放しにはできない！			帝国を野放しにはできない！			ラウバーンの決断							
ここにいない者のために協力する！			ここにいない者のために協力する！			ラウバーンの決断							
そこに戦いがある限り進む！			そこに戦いがある限り進む！			ラウバーンの決断							
正直に言って、協力したくない……			正直に言って、協力したくない……			ラウバーンの決断							
確かに、ガレマール帝国の覇権主義は危険だ。実力主義と言えば聞こえはいいが、彼らの階級社会では、大多数の罪なき民が搾取され、奴隷同然の暮らしを強いられている。			確かに、ガレマール帝国の覇権主義は危険だ。実力主義と言えば聞こえはいいが、彼らの階級社会では、大多数の罪なき民が搾取され、奴隷同然の暮らしを強いられている。			ラウバーンの決断							
そうか……。誰のためなのかは、あえて聞くまい。君には、託されてきた想いが、たくさんあるのだろうからね。			そうか……。誰のためなのかは、あえて聞くまい。君には、託されてきた想いが、たくさんあるのだろうからね。			ラウバーンの決断							
君は、どこまでも真っ直ぐだな……。強敵との戦いこそが、君の冒険だというのかい？			君は、どこまでも真っ直ぐだな……。強敵との戦いこそが、君の冒険だというのかい？			ラウバーンの決断							
……そうか。残念ではあるが、それもひとつの立派な選択だろう。しかし、心変わりをしたときは、いつでも歓迎させてもらうよ。			……そうか。残念ではあるが、それもひとつの立派な選択だろう。しかし、心変わりをしたときは、いつでも歓迎させてもらうよ。			ラウバーンの決断							
それじゃ、ヤ・シュトラとクルルは、このまま野戦病院に残って、怪我人の治療ね。リセは、アラミゴ解放軍との連絡役を頼めるかしら？			それじゃ、ヤ・シュトラとクルルは、このまま野戦病院に残って、怪我人の治療ね。リセは、アラミゴ解放軍との連絡役を頼めるかしら？			ラウバーンの決断							
残りの面子は、メ・ナーゴといっしょに、エオルゼア同盟軍の本陣に向かいましょう。			残りの面子は、メ・ナーゴといっしょに、エオルゼア同盟軍の本陣に向かいましょう。			ラウバーンの決断							
Forename、引き返すなら、ここが最後のチャンスだ。よくよく考えたうえで、もし協力してくれるのなら、表にいる私のところまで来てほしい。			Forename、引き返すなら、ここが最後のチャンスだ。よくよく考えたうえで、もし協力してくれるのなら、表にいる私のところまで来てほしい。			ラウバーンの決断							
それぞれが、それぞれの理由と考えで動く。今の「暁」らしくていいんじゃないかしら？			それぞれが、それぞれの理由と考えで動く。今の「暁」らしくていいんじゃないかしら？			ラウバーンの決断							
しばらく、忙しくなりそうだわ。ヤ・シュトラに負けないくらい、頑張らなくっちゃ！			しばらく、忙しくなりそうだわ。ヤ・シュトラに負けないくらい、頑張らなくっちゃ！			ラウバーンの決断							
ルイゾワお祖父様は、エオルゼア同盟軍の軍師として、カルテノーの戦いに従軍したわ。ルヴェユール家は、帝国と戦う運命なのよ、きっとね……。			ルイゾワお祖父様は、エオルゼア同盟軍の軍師として、カルテノーの戦いに従軍したわ。ルヴェユール家は、帝国と戦う運命なのよ、きっとね……。			ラウバーンの決断							
買い忘れた物があったら、酒保商人たちのところに行くといいですよ！			買い忘れた物があったら、酒保商人たちのところに行くといいですよ！			ラウバーンの決断							
来てくれたか、Forename。いろいろと思うところはあっただろうが、よく決心してくれた。あらためて、よろしく頼むよ。			来てくれたか、Forename。いろいろと思うところはあっただろうが、よく決心してくれた。あらためて、よろしく頼むよ。			ラウバーンの決断							
みなさん、それでは出発準備はよろしいですか？では、カストルム・オリエンスの「ラウバーン」局長のところへ、親書を届けに行きましょう……出発ッ！			みなさん、それでは出発準備はよろしいですか？では、カストルム・オリエンスの「ラウバーン」局長のところへ、親書を届けに行きましょう……出発ッ！			ラウバーンの決断							
本格的な作戦に備え、リムサ・ロミンサより、派遣されてきた……。どうか、よろしく頼む！			本格的な作戦に備え、リムサ・ロミンサより、派遣されてきた……。どうか、よろしく頼む！			ラウバーンの決断							
今回の遠征は、長丁場になるだろう。他国の組織とは、流儀も文化も違うからな……連携に支障が出ないように、対話を重ねなければなるまい。			今回の遠征は、長丁場になるだろう。他国の組織とは、流儀も文化も違うからな……連携に支障が出ないように、対話を重ねなければなるまい。			ラウバーンの決断							
私は司令部付きの将校です。カヌ・エ様からは、ラウバーン局長をよく支えるよう、言付かっておりますよ。			私は司令部付きの将校です。カヌ・エ様からは、ラウバーン局長をよく支えるよう、言付かっておりますよ。			ラウバーンの決断							
さっそくですが、森での行動に長けたレンジャーを、神勇隊や鬼哭隊から選抜して、混交林の偵察を厚くしました。帝国軍の動向を見逃したくはないですからね。			さっそくですが、森での行動に長けたレンジャーを、神勇隊や鬼哭隊から選抜して、混交林の偵察を厚くしました。帝国軍の動向を見逃したくはないですからね。			ラウバーンの決断							
先の勝利で、アラミゴ解放軍との共同作戦も、問題なく可能であることが証明された。これは、大きな収穫と言えるだろう。			先の勝利で、アラミゴ解放軍との共同作戦も、問題なく可能であることが証明された。これは、大きな収穫と言えるだろう。			ラウバーンの決断							
おぉ、貴様たちか……。アラミゴ解放軍から伝えたいことでも？			おぉ、貴様たちか……。アラミゴ解放軍から伝えたいことでも？			ラウバーンの決断							
はい、コンラッド隊長の使者として来ました。ひとつの提案があるのですが、その前にまずは私たちの……アラミゴ解放軍の現状をお伝えします。			はい、コンラッド隊長の使者として来ました。ひとつの提案があるのですが、その前にまずは私たちの……アラミゴ解放軍の現状をお伝えします。			ラウバーンの決断							
まず、隊長が進めていた連帯関係にある別部隊の勧誘ですが、こちらは順調に進展しており、すでに成果も出ています。いくつかの部隊が、同盟軍との共闘に同意しました。			まず、隊長が進めていた連帯関係にある別部隊の勧誘ですが、こちらは順調に進展しており、すでに成果も出ています。いくつかの部隊が、同盟軍との共闘に同意しました。			ラウバーンの決断							
さらに「暁の血盟」のみなさんの協力もあり、新たな協力者の獲得も、少しずつ進みつつある状況です。			さらに「暁の血盟」のみなさんの協力もあり、新たな協力者の獲得も、少しずつ進みつつある状況です。			ラウバーンの決断							
うむ、朗報だな。組織の立て直しに、ある程度の目処がついたと考えても？			うむ、朗報だな。組織の立て直しに、ある程度の目処がついたと考えても？			ラウバーンの決断							
はい、コンラッド隊長も、そう考えています。そこでアラミゴ解放軍として、エオルゼア同盟軍に対して、カステッルム・ベロジナ攻略作戦の発動を提案します！			はい、コンラッド隊長も、そう考えています。そこでアラミゴ解放軍として、エオルゼア同盟軍に対して、カステッルム・ベロジナ攻略作戦の発動を提案します！			ラウバーンの決断							
ベロジナ大橋は、交通の要衝……。アラミゴ解放のためには、いずれ攻略する必要があります。解放軍の準備が整ったのであれば……。			ベロジナ大橋は、交通の要衝……。アラミゴ解放のためには、いずれ攻略する必要があります。解放軍の準備が整ったのであれば……。			ラウバーンの決断							
うむ、ためらう理由はないな。時間をかけるほど、帝国本国からの増援というリスクが高まる。			うむ、ためらう理由はないな。時間をかけるほど、帝国本国からの増援というリスクが高まる。			ラウバーンの決断							
よかろう……アラミゴ解放軍からの提案を了承する。メ・ナーゴ殿は、急ぎラールガーズリーチに戻り、出撃準備を進めるよう伝えてくれ。			よかろう……アラミゴ解放軍からの提案を了承する。メ・ナーゴ殿は、急ぎラールガーズリーチに戻り、出撃準備を進めるよう伝えてくれ。			ラウバーンの決断							
ピピンよ、貴様は直ちに偵察に向かい、カステッルム・ベロジナの防衛戦力を確認するのだ。その上で、攻略作戦の詳細を決定する！			ピピンよ、貴様は直ちに偵察に向かい、カステッルム・ベロジナの防衛戦力を確認するのだ。その上で、攻略作戦の詳細を決定する！			ラウバーンの決断							
なら、私たちもピピン少闘将の偵察に同行するわ。いいでしょ、Forename？			なら、私たちもピピン少闘将の偵察に同行するわ。いいでしょ、Forename？			ラウバーンの決断							
協力に感謝する。それでは、行動開始だ！			協力に感謝する。それでは、行動開始だ！			ラウバーンの決断							
前回の作戦では、後衛に回っていたからな。次こそは、我ら黒渦団が前衛を務めたいものだ！			前回の作戦では、後衛に回っていたからな。次こそは、我ら黒渦団が前衛を務めたいものだ！			ラウバーンの決断							
いよいよ、カステッルム・ベロジナの攻略ですか……。大きな戦いになるでしょうから、幻術士を中心とした、救護班を編成しなければなりませんね。			いよいよ、カステッルム・ベロジナの攻略ですか……。大きな戦いになるでしょうから、幻術士を中心とした、救護班を編成しなければなりませんね。			ラウバーンの決断							
作戦の成功には、正確な情報が欠かせない。偵察を地味な任務と侮ってはいけないぞ？			作戦の成功には、正確な情報が欠かせない。偵察を地味な任務と侮ってはいけないぞ？			ラウバーンの決断							
カステッルム・ベロジナを陥落させれば、アラミゴ攻略の足掛かりとして、利用することができる。この作戦の意義は大きいということだ。			カステッルム・ベロジナを陥落させれば、アラミゴ攻略の足掛かりとして、利用することができる。この作戦の意義は大きいということだ。			ラウバーンの決断							
「カステッルム」とは、帝国軍における物資中継拠点を意味する。ここバエサルの長城とアラミゴ方面とを繋ぐ、補給基地といったところかな。			「カステッルム」とは、帝国軍における物資中継拠点を意味する。ここバエサルの長城とアラミゴ方面とを繋ぐ、補給基地といったところかな。			ラウバーンの決断							
ラウバーン局長も、乗り気だったみたいね。前回の共同作戦の成功が、功を奏した……といったところかしら。今回も上手くいくように、私たちも協力していきましょう。			ラウバーン局長も、乗り気だったみたいね。前回の共同作戦の成功が、功を奏した……といったところかしら。今回も上手くいくように、私たちも協力していきましょう。			ラウバーンの決断							
偵察隊を率いるピピン少闘将に、どこに向かうべきか、話を聞いてみなくちゃ……。			偵察隊を率いるピピン少闘将に、どこに向かうべきか、話を聞いてみなくちゃ……。			ラウバーンの決断							
碧のタマミズのスミツボは、冒険者に「刺突漁」について教えたいようだ。			碧のタマミズのスミツボは、冒険者に「刺突漁」について教えたいようだ。			「刺突漁」で魚を狙え							
魚を探すコウジン族と話す			魚を探すコウジン族と話す			「刺突漁」で魚を狙え							
おんやぁ～、君の身体から、魚の匂いがプンプンするぞぉ～。さては、そうとうの魚獲り名人と見たぁ～！			おんやぁ～、君の身体から、魚の匂いがプンプンするぞぉ～。さては、そうとうの魚獲り名人と見たぁ～！			「刺突漁」で魚を狙え							
君、水中に潜るためのおまじないは受けたんだろぉ～？魚を獲るのが好きなんだったら、水の上だけじゃなくて、水の中でも、魚を獲れるようになりたいと思わないか～い？			君、水中に潜るためのおまじないは受けたんだろぉ～？魚を獲るのが好きなんだったら、水の上だけじゃなくて、水の中でも、魚を獲れるようになりたいと思わないか～い？			「刺突漁」で魚を狙え							
僕たちは、「銛」を使って魚を獲るんだけどさぁ～。水中に潜れるんなら、君も「刺突漁」ができるんじゃないかなぁ～。			僕たちは、「銛」を使って魚を獲るんだけどさぁ～。水中に潜れるんなら、君も「刺突漁」ができるんじゃないかなぁ～。			「刺突漁」で魚を狙え							
ちょうど今、仲間が北西の方角に魚を獲りに出てるから、「銛」に興味があるなら、使い方を聞いてみればぁ～？「魚を探すコウジン族」がいるはずだよぉ～。			ちょうど今、仲間が北西の方角に魚を獲りに出てるから、「銛」に興味があるなら、使い方を聞いてみればぁ～？「魚を探すコウジン族」がいるはずだよぉ～。			「刺突漁」で魚を狙え							
「銛」に興味があるなら、北西の方角で、「魚を探すコウジン族」に聞いてみなぁ～。君ほどの魚獲り名人なら、「銛」もすぐに扱えるさぁ～。			「銛」に興味があるなら、北西の方角で、「魚を探すコウジン族」に聞いてみなぁ～。君ほどの魚獲り名人なら、「銛」もすぐに扱えるさぁ～。			「刺突漁」で魚を狙え							
「銛」の使い方を知りたいってぇ～？ふ～ん、キミ、オイラたちみたいに水中を泳げるんだぁ～。そんなら、「刺突漁」もできるかもねぇ～。			「銛」の使い方を知りたいってぇ～？ふ～ん、キミ、オイラたちみたいに水中を泳げるんだぁ～。そんなら、「刺突漁」もできるかもねぇ～。			「刺突漁」で魚を狙え							
水中では、魚の集まる場所を探すのが大事なんだぁ～。うまく場所を見つけられたら、そこで「銛」を構えてぇ～、目の前に魚が来たら、や～っ！！　って突くんだよぉ～。			水中では、魚の集まる場所を探すのが大事なんだぁ～。うまく場所を見つけられたら、そこで「銛」を構えてぇ～、目の前に魚が来たら、や～っ！！　って突くんだよぉ～。			「刺突漁」で魚を狙え							
「銛」の使い方は、大体そんな感じぃ～。余ってる「銛」の道具があるから、キミもやってみなよぉ～！			「銛」の使い方は、大体そんな感じぃ～。余ってる「銛」の道具があるから、キミもやってみなよぉ～！			「刺突漁」で魚を狙え							
ちょうど、この辺は魚がよく集まる場所だからぁ～、ここで、「刺突漁」を試してみるといいかもぉ～！それじゃ、がんばってねぇ～！			ちょうど、この辺は魚がよく集まる場所だからぁ～、ここで、「刺突漁」を試してみるといいかもぉ～！それじゃ、がんばってねぇ～！			「刺突漁」で魚を狙え							
銛を使った、水中での採集「刺突漁」が可能となりました！副道具の「フィッシャーギグ」を装備することで、水中での採集を行えるようになります。			銛を使った、水中での採集「刺突漁」が可能となりました！副道具の「フィッシャーギグ」を装備することで、水中での採集を行えるようになります。			「刺突漁」で魚を狙え							
水中の、魚が集まって潜んでいる場所を「漁場」といいます。「漁場」は、アクション「ファゾム」を使用することで、見えるようになります。			水中の、魚が集まって潜んでいる場所を「漁場」といいます。「漁場」は、アクション「ファゾム」を使用することで、見えるようになります。			「刺突漁」で魚を狙え							
水中で、魚の集まる「漁場」を見つけたら、「漁場」にアクセスすることで刺突漁を開始できます。			水中で、魚の集まる「漁場」を見つけたら、「漁場」にアクセスすることで刺突漁を開始できます。			「刺突漁」で魚を狙え							
イサリ村のハマカゼは、伝えたいことがあるようだ。			イサリ村のハマカゼは、伝えたいことがあるようだ。			深淵なるはアメノミハシラ							
ハマカゼと話した。なんでも、依頼したいことがあるらしく、ラショウが冒険者を探しているらしい。まずは担当者だという、紅玉海の筋違砦にいる「キュウセイ」と話そう。			ハマカゼと話した。なんでも、依頼したいことがあるらしく、ラショウが冒険者を探しているらしい。まずは担当者だという、紅玉海の筋違砦にいる「キュウセイ」と話そう。			深淵なるはアメノミハシラ							
キュウセイと話した。アメノミハシラ付近の「指定地点」で待機しよう。			キュウセイと話した。アメノミハシラ付近の「指定地点」で待機しよう。			深淵なるはアメノミハシラ							
やって来たラショウとキュウセイから話を聞いた。冒険者に頼みたいのは、アメノミハシラの探索だという。入口となる転送装置まで案内してもらうため、筋違砦の「キュウセイ」と話そう。			やって来たラショウとキュウセイから話を聞いた。冒険者に頼みたいのは、アメノミハシラの探索だという。入口となる転送装置まで案内してもらうため、筋違砦の「キュウセイ」と話そう。			深淵なるはアメノミハシラ							
キュウセイと話した。かつて攻略した地下迷宮と同様の特異性を持つ、魔物はびこるアメノミハシラの探索を始めよう！			キュウセイと話した。かつて攻略した地下迷宮と同様の特異性を持つ、魔物はびこるアメノミハシラの探索を始めよう！			深淵なるはアメノミハシラ							
キュウセイと話す			キュウセイと話す			深淵なるはアメノミハシラ							
指定地点で待機			指定地点で待機			深淵なるはアメノミハシラ							
キュウセイと話す			キュウセイと話す			深淵なるはアメノミハシラ							
クエスト「深淵なるはアメノミハシラ」を受注するには、ディープダンジョン「死者の宮殿」の、「B50」を踏破している必要があります。			クエスト「深淵なるはアメノミハシラ」を受注するには、ディープダンジョン「死者の宮殿」の、「B50」を踏破している必要があります。			深淵なるはアメノミハシラ							
なお、「死者の宮殿」を開放するには、クエスト「奇異なる地下迷宮」をコンプリートする必要があります。			なお、「死者の宮殿」を開放するには、クエスト「奇異なる地下迷宮」をコンプリートする必要があります。			深淵なるはアメノミハシラ							
あんた、Forenameだよな？うちの頭領、ラショウさんが探していたぜ。			あんた、Forenameだよな？うちの頭領、ラショウさんが探していたぜ。			深淵なるはアメノミハシラ							
なんか頼みごとがあるみたいだったが、内容までは聞いてねえ。たぶん、下っ端には教えられねえ重要な話なんだろ。			なんか頼みごとがあるみたいだったが、内容までは聞いてねえ。たぶん、下っ端には教えられねえ重要な話なんだろ。			深淵なるはアメノミハシラ							
筋違砦の「キュウセイ」ってのが、この件について取り仕切ってるから、まずはそいつから話を聞いてくれ。			筋違砦の「キュウセイ」ってのが、この件について取り仕切ってるから、まずはそいつから話を聞いてくれ。			深淵なるはアメノミハシラ							
筋違砦の「キュウセイ」から、話を聞いてくれ。頭領があんたを探している件について、そいつが取り仕切ってるらしいからよ。			筋違砦の「キュウセイ」から、話を聞いてくれ。頭領があんたを探している件について、そいつが取り仕切ってるらしいからよ。			深淵なるはアメノミハシラ							
……お前か、よく来てくれた。俺の用件については、「キュウセイ」に任せている。まずは奴に声をかけてくれ。			……お前か、よく来てくれた。俺の用件については、「キュウセイ」に任せている。まずは奴に声をかけてくれ。			深淵なるはアメノミハシラ							
これはこれは。お待ちしておりました、Surname殿。			これはこれは。お待ちしておりました、Surname殿。			深淵なるはアメノミハシラ							
ただいま、頭領を呼んでまいります。詳しい事情をご説明しますので、申し訳ありませんが、アメノミハシラの前で、少々お待ちいただけますか？			ただいま、頭領を呼んでまいります。詳しい事情をご説明しますので、申し訳ありませんが、アメノミハシラの前で、少々お待ちいただけますか？			深淵なるはアメノミハシラ							
キュウセイとはもう話したようだな。なら、アメノミハシラの前で待っててくれ。ここで詳しい話をするには、問題があってな……。			キュウセイとはもう話したようだな。なら、アメノミハシラの前で待っててくれ。ここで詳しい話をするには、問題があってな……。			深淵なるはアメノミハシラ							
詳しい事情の説明をしますので、アメノミハシラの前で、少々お待ちください。頭領とともに、すぐ向かいますので。			詳しい事情の説明をしますので、アメノミハシラの前で、少々お待ちください。頭領とともに、すぐ向かいますので。			深淵なるはアメノミハシラ							
その柱……アメノミハシラが気になるか？なら、話をするのにちょうどいい。			その柱……アメノミハシラが気になるか？なら、話をするのにちょうどいい。			深淵なるはアメノミハシラ							
呼びかけに応じてくれたこと、感謝する。お前を頼ったのは他でもない。秘密裏に、「ある場所」の探索を頼みたいのだ。			呼びかけに応じてくれたこと、感謝する。お前を頼ったのは他でもない。秘密裏に、「ある場所」の探索を頼みたいのだ。			深淵なるはアメノミハシラ							
俺たちが探索するには、差し障りがある場所でな……。詳しくは、発見した本人に話させよう。			俺たちが探索するには、差し障りがある場所でな……。詳しくは、発見した本人に話させよう。			深淵なるはアメノミハシラ							
