「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			スカルバレーの女丈夫							
アコライト789 バ・ゴに相談しーて作戦に使う爆弾を　見繕ってきてもらえーる？あ　手がブルブール　震えてるのは……気にしなーいで……。			アコライト789 バ・ゴに相談しーて作戦に使う爆弾を　見繕ってきてもらえーる？あ　手がブルブール　震えてるのは……気にしなーいで……。			クズテツどもの挽歌							
アタシたちは、鉱山に正面から潜入し、各地に爆弾を設置、そして敵をひきつけましょう！設置完了後、ギ・グと第13洞穴団の錬金工房で合流します！			アタシたちは、鉱山に正面から潜入し、各地に爆弾を設置、そして敵をひきつけましょう！設置完了後、ギ・グと第13洞穴団の錬金工房で合流します！			クズテツどもの挽歌							
よぉしっ　なんかヤル気でてきたーっ！こういう派手な任務がしたくて、アタシ黒渦団に入ったんだっ！デカい花火を打ち上げてやりましょう、ドーンとねっ！			よぉしっ　なんかヤル気でてきたーっ！こういう派手な任務がしたくて、アタシ黒渦団に入ったんだっ！デカい花火を打ち上げてやりましょう、ドーンとねっ！			クズテツどもの挽歌							
ククク……話は聞いたーぜぇ。「武装鉱山まるごと大爆破大作戦」なんて……チミら　イカース！　ゾクゾクするーぜぇ……クククク。			ククク……話は聞いたーぜぇ。「武装鉱山まるごと大爆破大作戦」なんて……チミら　イカース！　ゾクゾクするーぜぇ……クククク。			クズテツどもの挽歌							
以前……チミがもってきた「ギ・グ宛ての手紙」のおかげで「新型錬金釜」ちゃんの構造は　丸ハダカ……ククク。どこを爆破すれば効率的に破壊できるか　完全に把握してるーぜ。			以前……チミがもってきた「ギ・グ宛ての手紙」のおかげで「新型錬金釜」ちゃんの構造は　丸ハダカ……ククク。どこを爆破すれば効率的に破壊できるか　完全に把握してるーぜ。			クズテツどもの挽歌							
そんでもって　ギ・グに持たせるのーは……ボクちゃんーの　大切なボムちゃんコレクションの中でーも一番のナイス・バディなお転婆娘……その名も69号ちゃーん！			そんでもって　ギ・グに持たせるのーは……ボクちゃんーの　大切なボムちゃんコレクションの中でーも一番のナイス・バディなお転婆娘……その名も69号ちゃーん！			クズテツどもの挽歌							
69号ちゃんが爆発したら……「新型錬金釜」どころか……鉱山全部が吹き飛んでもおかしくないーよ……クク……クククク……クククククク……。			69号ちゃんが爆発したら……「新型錬金釜」どころか……鉱山全部が吹き飛んでもおかしくないーよ……クク……クククク……クククククク……。			クズテツどもの挽歌							
チミらにーは　この「リムペットボム」ちゃんをやるーよ。見た目はカワイくーて　ちょっと爆破は小粒だけーど……誘爆したら　なかなかの威力だーぜ……クククク……。			チミらにーは　この「リムペットボム」ちゃんをやるーよ。見た目はカワイくーて　ちょっと爆破は小粒だけーど……誘爆したら　なかなかの威力だーぜ……クククク……。			クズテツどもの挽歌							
この「リムペットボム」ちゃんを鉱山のあちこちに設置するといいーよ……。見た目はカワイーイけど　誘爆するとコワーイぜ……ククク。			この「リムペットボム」ちゃんを鉱山のあちこちに設置するといいーよ……。見た目はカワイーイけど　誘爆するとコワーイぜ……ククク。			クズテツどもの挽歌							
やっぱーり　やるーの　やめてーも　いいかーな？ダ　ダーメ？そそ　そうだよね……ううう　コワーイ……。			やっぱーり　やるーの　やめてーも　いいかーな？ダ　ダーメ？そそ　そうだよね……ううう　コワーイ……。			クズテツどもの挽歌							
Forenameさん、周辺の設置地点に「リムペットボム」を設置してください。私はここで、敵の動向を探っています！			Forenameさん、周辺の設置地点に「リムペットボム」を設置してください。私はここで、敵の動向を探っています！			クズテツどもの挽歌							
オッケー！この周辺の「リムペットボム」は設置完了ね！じゃあ、次の設置場所である、鉱山の奥へ行きましょう！			オッケー！この周辺の「リムペットボム」は設置完了ね！じゃあ、次の設置場所である、鉱山の奥へ行きましょう！			クズテツどもの挽歌							
Forenameさん、周辺の設置地点に、「リムペットボム」を設置してください。ここが終われば、設置は完了です！			Forenameさん、周辺の設置地点に、「リムペットボム」を設置してください。ここが終われば、設置は完了です！			クズテツどもの挽歌							
これで手持ちの「リムペットボム」は全部、設置終了っと！……ギ・グの方は、首尾よくいってるかな？合流するから、錬金工房に通じる扉の前に行きましょう！			これで手持ちの「リムペットボム」は全部、設置終了っと！……ギ・グの方は、首尾よくいってるかな？合流するから、錬金工房に通じる扉の前に行きましょう！			クズテツどもの挽歌							
目的の錬金工房は、この扉の向こうね！扉の鍵は、さっき見張り番をブッ倒して奪っといたから！さぁ、早く第13洞穴団の錬金工房に行きましょう！			目的の錬金工房は、この扉の向こうね！扉の鍵は、さっき見張り番をブッ倒して奪っといたから！さぁ、早く第13洞穴団の錬金工房に行きましょう！			クズテツどもの挽歌							
「第13洞穴団の錬金工房」へ入りますか？			「第13洞穴団の錬金工房」へ入りますか？			クズテツどもの挽歌							
はい			はい			クズテツどもの挽歌							
いいえ			いいえ			クズテツどもの挽歌							
あっ　冒険者さーん　ご無事でしたーか。こっちーは……えーと　うーんと……ここにこれーを　こうやーって……。			あっ　冒険者さーん　ご無事でしたーか。こっちーは……えーと　うーんと……ここにこれーを　こうやーって……。			クズテツどもの挽歌							
あ　ハイ！　いま　終わりましーた！バ・ゴに言われたとおーり　「新型錬金釜」の弱点らしき場所に69号ちゃんを設置しましーた！			あ　ハイ！　いま　終わりましーた！バ・ゴに言われたとおーり　「新型錬金釜」の弱点らしき場所に69号ちゃんを設置しましーた！			クズテツどもの挽歌							
……これーで　鉱山から脱出しーて離れた場所で　起爆スイッチを押せーば……「武装鉱山まるごと大爆破大作戦」は完了でーす……多分。			……これーで　鉱山から脱出しーて離れた場所で　起爆スイッチを押せーば……「武装鉱山まるごと大爆破大作戦」は完了でーす……多分。			クズテツどもの挽歌							
冒険者さん　脱出しましょーう！スケートスィスさんが　排気管の前にいまーす。さぁ　早ーく！　ゾ・ガに出くわしたら……タイヘーン！			冒険者さん　脱出しましょーう！スケートスィスさんが　排気管の前にいまーす。さぁ　早ーく！　ゾ・ガに出くわしたら……タイヘーン！			クズテツどもの挽歌							
ギ・グの奴、何やってるの！？早くしないと、ゾ・ガの率いる鉱山の洞穴団にバレて、包囲されちゃうよ……！			ギ・グの奴、何やってるの！？早くしないと、ゾ・ガの率いる鉱山の洞穴団にバレて、包囲されちゃうよ……！			クズテツどもの挽歌							
ギ・グは「新型錬金釜」の爆弾設置、終わったのね！？じゃあ早く逃げましょう！　こっちですっ！早く、早くっ……！			ギ・グは「新型錬金釜」の爆弾設置、終わったのね！？じゃあ早く逃げましょう！　こっちですっ！早く、早くっ……！			クズテツどもの挽歌							
「第13洞穴団の錬金工房」から出ますか？			「第13洞穴団の錬金工房」から出ますか？			クズテツどもの挽歌							
はい			はい			クズテツどもの挽歌							
いいえ			いいえ			クズテツどもの挽歌							
爆弾設置かんりょーう！　ささ　脱出しましょーう！スケートスィスさんが　排気管の前にいまーす。さぁ　早ーく！　ゾ・ガに出くわしたら……タイヘーン！			爆弾設置かんりょーう！　ささ　脱出しましょーう！スケートスィスさんが　排気管の前にいまーす。さぁ　早ーく！　ゾ・ガに出くわしたら……タイヘーン！			クズテツどもの挽歌							
はやーくっ……！採掘地に　もどりましょーう！			はやーくっ……！採掘地に　もどりましょーう！			クズテツどもの挽歌							
ギィィィィ・グゥゥゥゥゥゥ！！栄えある伝統の第13洞穴団を率いーるゥ　このオレ様ーがァここまでコケにされたのはァ　生まれて初めてだぜェ……！			ギィィィィ・グゥゥゥゥゥゥ！！栄えある伝統の第13洞穴団を率いーるゥ　このオレ様ーがァここまでコケにされたのはァ　生まれて初めてだぜェ……！			クズテツどもの挽歌							
何万回ボムで爆殺してーも　飽きたらねェー！かかって　こいーよォ……そのバカ面を　徹底的に採掘してやーるゥ！			何万回ボムで爆殺してーも　飽きたらねェー！かかって　こいーよォ……そのバカ面を　徹底的に採掘してやーるゥ！			クズテツどもの挽歌							
冒険者さーん　手を出さないでくださーい。ここはボクーが……。			冒険者さーん　手を出さないでくださーい。ここはボクーが……。			クズテツどもの挽歌							
だって　これーは……。ボクーの……みんなーの　戦いだかーら……。			だって　これーは……。ボクーの……みんなーの　戦いだかーら……。			クズテツどもの挽歌							
ぐおおおおおおおッ！			ぐおおおおおおおッ！			クズテツどもの挽歌							
い　イターイ……イターイよぉ……ふぐっ……ふぐぐぅーっ……。			い　イターイ……イターイよぉ……ふぐっ……ふぐぐぅーっ……。			クズテツどもの挽歌							
まだまだァー！オレ様の怒りーは　こんなもんーじャ　おさまらねェー！！			まだまだァー！オレ様の怒りーは　こんなもんーじャ　おさまらねェー！！			クズテツどもの挽歌							
もぅ……イヤだーよぅ……イターイ　イターイのイヤだーよぅ……死んじゃうーよぉ……。			もぅ……イヤだーよぅ……イターイ　イターイのイヤだーよぅ……死んじゃうーよぉ……。			クズテツどもの挽歌							
むしろ死ねーッ！　死ねーッ！このッ！　このッ！　このぉーッ！コボルド族の面汚しィ！　最底辺のクズテツがァァ！			むしろ死ねーッ！　死ねーッ！このッ！　このッ！　このぉーッ！コボルド族の面汚しィ！　最底辺のクズテツがァァ！			クズテツどもの挽歌							
ううううう……。			ううううう……。			クズテツどもの挽歌							
はぁはぁはァ……てめェ……まだ起きあがるーかァ……しぶてェー　しぶてェーぞォー……！			はぁはぁはァ……てめェ……まだ起きあがるーかァ……しぶてェー　しぶてェーぞォー……！			クズテツどもの挽歌							
やめ～てっ！　ゾ・ガっ！！			やめ～てっ！　ゾ・ガっ！！			クズテツどもの挽歌							
これ以上　ギ・グを殴らない～でっ！も～う　気が済んだ～でしょう！？			これ以上　ギ・グを殴らない～でっ！も～う　気が済んだ～でしょう！？			クズテツどもの挽歌							
アナタは　名門洞穴団を率い～る　優秀な指導者でしょ！？だから　弱いものイジメ～は　やめ～てっ！最底辺のちっぽけな存在なんか～に　構わない～でっ！！			アナタは　名門洞穴団を率い～る　優秀な指導者でしょ！？だから　弱いものイジメ～は　やめ～てっ！最底辺のちっぽけな存在なんか～に　構わない～でっ！！			クズテツどもの挽歌							
……さーい。			……さーい。			クズテツどもの挽歌							
……る……さーい。			……る……さーい。			クズテツどもの挽歌							
えっ！？			えっ！？			クズテツどもの挽歌							
うるさーいっ！！黙ぁぁぁぁぁーれっ！！ひっこんでーろ　このブスぅぅぅぅぅぅぅ！！			うるさーいっ！！黙ぁぁぁぁぁーれっ！！ひっこんでーろ　このブスぅぅぅぅぅぅぅ！！			クズテツどもの挽歌							
えっ！？			えっ！？			クズテツどもの挽歌							
えっ！？			えっ！？			クズテツどもの挽歌							
(-全員-)えええええっ！？			(-全員-)えええええっ！？			クズテツどもの挽歌							
誰も助けてなんーて　頼んでないーんだーよっ！ボクーは……ボクのたーめに…………ボクたちのたーめに　戦ってるーんだっ！！			誰も助けてなんーて　頼んでないーんだーよっ！ボクーは……ボクのたーめに…………ボクたちのたーめに　戦ってるーんだっ！！			クズテツどもの挽歌							
こいーつが何か　わかるーか！？バ・ゴ特製　誘爆起動ボム！名づけーて　「14号」ちゃんっ！			こいーつが何か　わかるーか！？バ・ゴ特製　誘爆起動ボム！名づけーて　「14号」ちゃんっ！			クズテツどもの挽歌							
ゾ・ガ！！お前なんーか　屁でもなーいっ！クズテツの……恐さを思ーい知れぇーっ！！			ゾ・ガ！！お前なんーか　屁でもなーいっ！クズテツの……恐さを思ーい知れぇーっ！！			クズテツどもの挽歌							
これーが　ボクたちーの！！　チカラーだっ……！！			これーが　ボクたちーの！！　チカラーだっ……！！			クズテツどもの挽歌							
な　なな　ななななななななななな……ッ！？オ……オレ様の……「計画」がァー！			な　なな　ななななななななななな……ッ！？オ……オレ様の……「計画」がァー！			クズテツどもの挽歌							
うおおおおおおおおっ！！			うおおおおおおおおっ！！			クズテツどもの挽歌							
ぐはぁッ！！			ぐはぁッ！！			クズテツどもの挽歌							
冒険者さーん……採掘地に……帰りましょーう……。			冒険者さーん……採掘地に……帰りましょーう……。			クズテツどもの挽歌							
冒険者さーん　ありがとーう……ホンートに　ホンートに　ありがとーう……。まさーか　ゾ・ガをやっつけることができるなーんて……。			冒険者さーん　ありがとーう……ホンートに　ホンートに　ありがとーう……。まさーか　ゾ・ガをやっつけることができるなーんて……。			クズテツどもの挽歌							
見直したわよ、ギ・グ！アンタもやればできるじゃない！Forenameさんも　おつかれさまでした！			見直したわよ、ギ・グ！アンタもやればできるじゃない！Forenameさんも　おつかれさまでした！			クズテツどもの挽歌							
ゾ・ガの「計画」をぶっ潰して、ブルーエイディン少甲佐から請けていた黒渦団の任務も完了！最初はどうなることかと思ったけど……めでたしめでたし！			ゾ・ガの「計画」をぶっ潰して、ブルーエイディン少甲佐から請けていた黒渦団の任務も完了！最初はどうなることかと思ったけど……めでたしめでたし！			クズテツどもの挽歌							
……………………。			……………………。			クズテツどもの挽歌							
ビ・ビ……。			ビ・ビ……。			クズテツどもの挽歌							
ひど～い……ひど～いよぉ……ギ・グのバカ～っ！　知らな～いっ！			ひど～い……ひど～いよぉ……ギ・グのバカ～っ！　知らな～いっ！			クズテツどもの挽歌							
これーで　これーでいいのでーす……。今のボクにーは　彼女をシアワセにする力は　ないかーら……。でも　でーも……。			これーで　これーでいいのでーす……。今のボクにーは　彼女をシアワセにする力は　ないかーら……。でも　でーも……。			クズテツどもの挽歌							
……ボクがもっとガンバーってこの洞穴団の番号が　せめて400番台くらいになったーらボクはかならーず　彼女を迎えに行きまーす。			……ボクがもっとガンバーってこの洞穴団の番号が　せめて400番台くらいになったーらボクはかならーず　彼女を迎えに行きまーす。			クズテツどもの挽歌							
そして今までのこーと　全部あやまーる。……そして　コクハクしまーす。ボクの　お嫁さーんに　なってーって……。			そして今までのこーと　全部あやまーる。……そして　コクハクしまーす。ボクの　お嫁さーんに　なってーって……。			クズテツどもの挽歌							
だかーら　今は　とりあえーずこの採掘地で　がんばりまーす……ここにいる仲間と　チカラを合わせーて。			だかーら　今は　とりあえーずこの採掘地で　がんばりまーす……ここにいる仲間と　チカラを合わせーて。			クズテツどもの挽歌							
……でも　ちょっと　疲れたーよ。お仕事は　また明日から……いや　また来月かーら……本気出してがんばるーよ……。			……でも　ちょっと　疲れたーよ。お仕事は　また明日から……いや　また来月かーら……本気出してがんばるーよ……。			クズテツどもの挽歌							
………………やっぱダメだ、コイツ……。			………………やっぱダメだ、コイツ……。			クズテツどもの挽歌							
ゾ・ガの「計画」をぶっ潰したし、しばらくは、武装鉱山のコボルド族も大人しくなるかな？きっとキャンプ・オーバールックの皆も、喜んでくれます！			ゾ・ガの「計画」をぶっ潰したし、しばらくは、武装鉱山のコボルド族も大人しくなるかな？きっとキャンプ・オーバールックの皆も、喜んでくれます！			クズテツどもの挽歌							
はあーあ……まだ手が震えてるーよ……ゾ・ガをやっつけたなんーて　信じられないーよ。何事もやればできーる！　だからやらなくてもダイジョーブ！			はあーあ……まだ手が震えてるーよ……ゾ・ガをやっつけたなんーて　信じられないーよ。何事もやればできーる！　だからやらなくてもダイジョーブ！			クズテツどもの挽歌							
冒険者さん！　お帰りなさい！いやはや、最初は単なる物資強奪事件のはずが、紆余曲折を経て、ずいぶんと話が大きくなってしまいましたね！			冒険者さん！　お帰りなさい！いやはや、最初は単なる物資強奪事件のはずが、紆余曲折を経て、ずいぶんと話が大きくなってしまいましたね！			クズテツどもの挽歌							
私も軍令部にいながら、貴方とスケートスィスの動向について気を揉みながら報告を聞いていましたよ！			私も軍令部にいながら、貴方とスケートスィスの動向について気を揉みながら報告を聞いていましたよ！			クズテツどもの挽歌							
でも、結果的にウ・ガマロ武装鉱山にいるコボルド族の野望を阻止することに成功しました！これもひとえに冒険者さん、貴方の勇気と実力の賜物です！			でも、結果的にウ・ガマロ武装鉱山にいるコボルド族の野望を阻止することに成功しました！これもひとえに冒険者さん、貴方の勇気と実力の賜物です！			クズテツどもの挽歌							
黒渦団を代表して、お礼を申し上げます！お疲れさまでした！			黒渦団を代表して、お礼を申し上げます！お疲れさまでした！			クズテツどもの挽歌							
アタシはもう少し、この採掘地のコボルド族と一緒にいます。……なんかコイツら、危なっかしいのよねぇ。う～ん、アタシもダメな奴をほっとけない性分みたい、あはは。			アタシはもう少し、この採掘地のコボルド族と一緒にいます。……なんかコイツら、危なっかしいのよねぇ。う～ん、アタシもダメな奴をほっとけない性分みたい、あはは。			クズテツどもの挽歌							
「コボルド族：第789洞穴団」との友好関係が「信頼」になりました。冒険者の活躍は、コボルド族の間でも広く語られるでしょう！			「コボルド族：第789洞穴団」との友好関係が「信頼」になりました。冒険者の活躍は、コボルド族の間でも広く語られるでしょう！			クズテツどもの挽歌							
また、「コボルド族のよろず屋」より、「友好関係：信頼」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			また、「コボルド族のよろず屋」より、「友好関係：信頼」の商品の購入ができるようになりました。今後の冒険に役立てましょう！			クズテツどもの挽歌							
目的の錬金工房は、この扉の向こうです！さぁ、早く第13洞穴団の錬金工房に行きましょう！			目的の錬金工房は、この扉の向こうです！さぁ、早く第13洞穴団の錬金工房に行きましょう！			クズテツどもの挽歌							
ノォヴの育成地のノォヴは、急ぎ冒険者に伝えたいことがあるらしい。			ノォヴの育成地のノォヴは、急ぎ冒険者に伝えたいことがあるらしい。			憎しみの潮流を越えて							
前回までの冒険録：「ノォヴの育成地」の長「ノォヴ」の息子である「セェウ」は、謎に包まれた父ノォヴの過去を知りたがっていた。折りしも育成地を留守にすることとなったノォヴの同行を探る中で、彼がかつて「珊瑚の銛」を率いていたこと、また今のリーダーは「ズゥグ」というサハギン族であることが判明する。そのズゥグとノォヴが会談を行うらしい。冒険者は現場に駆けつけ会談を見守る。人との対話を望むノォヴだったが、ズゥグは過激な主戦論を唱え、交渉は決裂に終わってしまう。そして、図らずも明かされるノォヴの正体。彼こそが、かつて恐れられた大海賊「紅珊瑚の海魔」だった。復讐によって子どもを殺されるという悲劇から、憎しみの先にある共存共栄を目指したいというノォヴ。しかし、「珊瑚の銛」の凶行により、人とサハギン族の関係は悪化の一途を辿っていた……。　　　　　　　　　　　　*　*　*ノォヴによると、「珊瑚の銛」を率いるズゥグが、リムサ・ロミンサの高官を拉致するという暴挙に出たらしい。人とサハギン族の全面戦争を回避するため、西ラノシアのキャンプ・スカルバレーにいる「ファルクブリダ中甲佐」を説得しよう。			前回までの冒険録：「ノォヴの育成地」の長「ノォヴ」の息子である「セェウ」は、謎に包まれた父ノォヴの過去を知りたがっていた。折りしも育成地を留守にすることとなったノォヴの同行を探る中で、彼がかつて「珊瑚の銛」を率いていたこと、また今のリーダーは「ズゥグ」というサハギン族であることが判明する。そのズゥグとノォヴが会談を行うらしい。冒険者は現場に駆けつけ会談を見守る。人との対話を望むノォヴだったが、ズゥグは過激な主戦論を唱え、交渉は決裂に終わってしまう。そして、図らずも明かされるノォヴの正体。彼こそが、かつて恐れられた大海賊「紅珊瑚の海魔」だった。復讐によって子どもを殺されるという悲劇から、憎しみの先にある共存共栄を目指したいというノォヴ。しかし、「珊瑚の銛」の凶行により、人とサハギン族の関係は悪化の一途を辿っていた……。　　　　　　　　　　　　*　*　*ノォヴによると、「珊瑚の銛」を率いるズゥグが、リムサ・ロミンサの高官を拉致するという暴挙に出たらしい。人とサハギン族の全面戦争を回避するため、西ラノシアのキャンプ・スカルバレーにいる「ファルクブリダ中甲佐」を説得しよう。			憎しみの潮流を越えて							
ファルクブリダ中甲佐を説得することができなかった。黒渦団はサハギン族との対決に備え、もはや全面戦争となるのは時間の問題だ。ノォヴの育成地に戻り、「ノォヴ」に報告しよう。			ファルクブリダ中甲佐を説得することができなかった。黒渦団はサハギン族との対決に備え、もはや全面戦争となるのは時間の問題だ。ノォヴの育成地に戻り、「ノォヴ」に報告しよう。			憎しみの潮流を越えて							
ノォヴは全面戦争を回避するため、拉致されたタースティン財務長官の救出を提案した。タースティン財務長官の捕らわれた場所をつきとめるべく、西ラノシアの海蛇の巣穴にある「要人拉致計画書」を入手しよう。			ノォヴは全面戦争を回避するため、拉致されたタースティン財務長官の救出を提案した。タースティン財務長官の捕らわれた場所をつきとめるべく、西ラノシアの海蛇の巣穴にある「要人拉致計画書」を入手しよう。			憎しみの潮流を越えて							
要人拉致計画書を入手した。ノォヴの育成地に戻り、「ノォヴ」に渡そう。			要人拉致計画書を入手した。ノォヴの育成地に戻り、「ノォヴ」に渡そう。			憎しみの潮流を越えて							
要人拉致計画書より、タースティン財務長官は「ダッチェス号」に捕らわれていることが判明した。ノォヴの育成地の「海獣使いのパァア」と話し、エルブストに騎乗してダッチェス号に乗りこもう。			要人拉致計画書より、タースティン財務長官は「ダッチェス号」に捕らわれていることが判明した。ノォヴの育成地の「海獣使いのパァア」と話し、エルブストに騎乗してダッチェス号に乗りこもう。			憎しみの潮流を越えて							
ダッチェス号への潜入に成功した。タースティン財務長官を助けるため、まず船上にいる「珊瑚の銛」の一味を掃討し、おびき寄せたリーダー「コーラルサハギン」を倒して「丈夫な手枷の鍵」を入手しよう。 			ダッチェス号への潜入に成功した。タースティン財務長官を助けるため、まず船上にいる「珊瑚の銛」の一味を掃討し、おびき寄せたリーダー「コーラルサハギン」を倒して「丈夫な手枷の鍵」を入手しよう。 			憎しみの潮流を越えて							
丈夫な手枷の鍵を手に入れた。船上の「タースティン財務長官」に「丈夫な手枷の鍵」を使い、救出しよう。			丈夫な手枷の鍵を手に入れた。船上の「タースティン財務長官」に「丈夫な手枷の鍵」を使い、救出しよう。			憎しみの潮流を越えて							
冒険者とノォヴの活躍により、「珊瑚の銛」とズゥグを退け、タースティン財務長官の救出に成功した。一行は、無事にダッチェス号を脱出。西ラノシアのエールポートにいる「タースティン財務長官」と話そう。			冒険者とノォヴの活躍により、「珊瑚の銛」とズゥグを退け、タースティン財務長官の救出に成功した。一行は、無事にダッチェス号を脱出。西ラノシアのエールポートにいる「タースティン財務長官」と話そう。			憎しみの潮流を越えて							
タースティン財務長官は、サハギン族に一定の理解を示し、冒険者に「海猫の羽根」を託した。ノォヴの育成地の「ノォヴ」に「海猫の羽根」を渡そう。			タースティン財務長官は、サハギン族に一定の理解を示し、冒険者に「海猫の羽根」を託した。ノォヴの育成地の「ノォヴ」に「海猫の羽根」を渡そう。			憎しみの潮流を越えて							
ノォヴの育成地のノォヴに海猫の羽根を渡した。ノォヴは再び人とサハギン族の共存共栄を強く説き、冒険者の活躍に最上の賞賛を示した。また、ズゥグは「珊瑚の銛」を解散させ、旅に出たらしい。リムサ・ロミンサの黒渦団：軍令部にいる「ル・アシャ大甲佐」に報告しよう。			ノォヴの育成地のノォヴに海猫の羽根を渡した。ノォヴは再び人とサハギン族の共存共栄を強く説き、冒険者の活躍に最上の賞賛を示した。また、ズゥグは「珊瑚の銛」を解散させ、旅に出たらしい。リムサ・ロミンサの黒渦団：軍令部にいる「ル・アシャ大甲佐」に報告しよう。			憎しみの潮流を越えて							
冒険者の活躍によって、人とサハギン族の全面戦争は回避された。無駄な血が流れずに済んだことを喜ぶル・アシャ大甲佐。しかし、蛮族との問題すべてに決着がついたわけではない。今後も不断の努力で挑んでいこう。			冒険者の活躍によって、人とサハギン族の全面戦争は回避された。無駄な血が流れずに済んだことを喜ぶル・アシャ大甲佐。しかし、蛮族との問題すべてに決着がついたわけではない。今後も不断の努力で挑んでいこう。			憎しみの潮流を越えて							
キャンプ・スカルバレーのファルクブリダ中甲佐と話す			キャンプ・スカルバレーのファルクブリダ中甲佐と話す			憎しみの潮流を越えて							
ノォヴの育成地のノォヴと話す			ノォヴの育成地のノォヴと話す			憎しみの潮流を越えて							
海蛇の巣穴で要人拉致計画書を入手			海蛇の巣穴で要人拉致計画書を入手			憎しみの潮流を越えて							
ノォヴの育成地のノォヴに要人拉致計画書を渡す			ノォヴの育成地のノォヴに要人拉致計画書を渡す			憎しみの潮流を越えて							
海獣使いのパァアと話す			海獣使いのパァアと話す			憎しみの潮流を越えて							
船上の敵を掃討し、おびき寄せたコーラルサハギンから丈夫な手枷の鍵を入手			船上の敵を掃討し、おびき寄せたコーラルサハギンから丈夫な手枷の鍵を入手			憎しみの潮流を越えて							
タースティン財務長官に丈夫な手枷の鍵を使う			タースティン財務長官に丈夫な手枷の鍵を使う			憎しみの潮流を越えて							
エールポートのタースティン財務長官と話す			エールポートのタースティン財務長官と話す			憎しみの潮流を越えて							
ノォヴの育成地のノォヴに海猫の羽根を渡す			ノォヴの育成地のノォヴに海猫の羽根を渡す			憎しみの潮流を越えて							
黒渦団：軍令部のル・アシャ大甲佐に報告			黒渦団：軍令部のル・アシャ大甲佐に報告			憎しみの潮流を越えて							
Forename……。フスィーッ、非常にマズいことになった……。ズゥグが……「珊瑚の銛」が、ついに強硬手段に出た……！			Forename……。フスィーッ、非常にマズいことになった……。ズゥグが……「珊瑚の銛」が、ついに強硬手段に出た……！			憎しみの潮流を越えて							
ズゥグも焦っているとみえる。またもや船舶を襲い、乗員を拉致したのだ。			ズゥグも焦っているとみえる。またもや船舶を襲い、乗員を拉致したのだ。			憎しみの潮流を越えて							
フスィーッ……そして、連れ去った相手が問題だ。拉致されたのは、リムサ・ロミンサの高官……。			フスィーッ……そして、連れ去った相手が問題だ。拉致されたのは、リムサ・ロミンサの高官……。			憎しみの潮流を越えて							
事態は、もはや政治的問題……。ただでさえ、水神「リヴァイアサン」様の召喚を巡り、対立が激化する中での事件、全面戦争に発展しかねん！			事態は、もはや政治的問題……。ただでさえ、水神「リヴァイアサン」様の召喚を巡り、対立が激化する中での事件、全面戦争に発展しかねん！			憎しみの潮流を越えて							
フスィーッ……Forename、頼む！事態の収拾を図るため、ヒト勢力の関係者に話を聞き、動向を調べ、あわよくば説得をお願いしたい！			フスィーッ……Forename、頼む！事態の収拾を図るため、ヒト勢力の関係者に話を聞き、動向を調べ、あわよくば説得をお願いしたい！			憎しみの潮流を越えて							
ヒト勢力の拠点「キャンプ・スカルバレー」に行き、そこの責任者の話を聞いてくるのだ。フスィーッ……頼んだぞ！			ヒト勢力の拠点「キャンプ・スカルバレー」に行き、そこの責任者の話を聞いてくるのだ。フスィーッ……頼んだぞ！			憎しみの潮流を越えて							
フスィーッ……ズゥグ……馬鹿な奴め……！サハギン族を滅亡させるつもりかっ……！			フスィーッ……ズゥグ……馬鹿な奴め……！サハギン族を滅亡させるつもりかっ……！			憎しみの潮流を越えて							
……むっ、何用か。残念ながら現在、我々は緊急事態に対処している。あいにく、貴公の相手をしている暇はないのだ。			……むっ、何用か。残念ながら現在、我々は緊急事態に対処している。あいにく、貴公の相手をしている暇はないのだ。			憎しみの潮流を越えて							
「紅珊瑚の海魔」の率いるサハギン族に、リムサ・ロミンサ政府専用艦が襲われ、乗り合わせていた「タースティン財務長官」が拉致された。			「紅珊瑚の海魔」の率いるサハギン族に、リムサ・ロミンサ政府専用艦が襲われ、乗り合わせていた「タースティン財務長官」が拉致された。			憎しみの潮流を越えて							
タースティン財務長官は、メルウィブ提督の信任厚き文官でリムサ・ロミンサの財政になくてはならぬ最重要人物……。黒渦団の威信を懸け、全力で彼の救出に乗り出す！			タースティン財務長官は、メルウィブ提督の信任厚き文官でリムサ・ロミンサの財政になくてはならぬ最重要人物……。黒渦団の威信を懸け、全力で彼の救出に乗り出す！			憎しみの潮流を越えて							
なに？　ちょっと待てだと？　笑わせるな！提督はすでにこの件について、蛮族の暴挙に屈しない、断固たる報復の意思表明を各隊に通達済みだ。			なに？　ちょっと待てだと？　笑わせるな！提督はすでにこの件について、蛮族の暴挙に屈しない、断固たる報復の意思表明を各隊に通達済みだ。			憎しみの潮流を越えて							
黒渦団の主力を成す艦隊にも、出撃準備をせよとの号令が発せられている。			黒渦団の主力を成す艦隊にも、出撃準備をせよとの号令が発せられている。			憎しみの潮流を越えて							
