エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			連載第二回「マメが繋ぐ交流の芽」							
すごいくぽ！　かっこいいくぽ！　ありがとうくぽ！みんなも羨ましがるに違いないくぽ！ふふふ、あの場所は、ふたりのナイショくぽ！			すごいくぽ！　かっこいいくぽ！　ありがとうくぽ！みんなも羨ましがるに違いないくぽ！ふふふ、あの場所は、ふたりのナイショくぽ！			ナイショの穴場							
アサー天空廊のモグーグは、ビクビクしている。			アサー天空廊のモグーグは、ビクビクしている。			猛るドラゴン族							
モグーグの話を聞いた。エルダーワイバーンの数が日に日に増えているらしい。ドラヴァニア雲海のフォーアームズにいる「エルダーワイバーン」を4体討伐しよう。			モグーグの話を聞いた。エルダーワイバーンの数が日に日に増えているらしい。ドラヴァニア雲海のフォーアームズにいる「エルダーワイバーン」を4体討伐しよう。			猛るドラゴン族							
エルダーワイバーンを討伐した。アサー天空廊の「モグーグ」に報告しよう。			エルダーワイバーンを討伐した。アサー天空廊の「モグーグ」に報告しよう。			猛るドラゴン族							
モグーグに報告した。殺気立つ邪竜の眷属に、モグーグは恐怖を感じているようだ。			モグーグに報告した。殺気立つ邪竜の眷属に、モグーグは恐怖を感じているようだ。			猛るドラゴン族							
エルダーワイバーンを討伐			エルダーワイバーンを討伐			猛るドラゴン族							
モグーグに報告			モグーグに報告			猛るドラゴン族							
最近、エルダーワイバーンが集まって、この辺りにちょっかいを出そうと、企んでいるくぽ。だから警戒しているんだけど、もう疲れちゃったくぽ……。			最近、エルダーワイバーンが集まって、この辺りにちょっかいを出そうと、企んでいるくぽ。だから警戒しているんだけど、もう疲れちゃったくぽ……。			猛るドラゴン族							
冒険者さん、お願いくぽ……。「エルダーワイバーン」をこらしめて、散らしてほしいくぽ。4体ほど、立ち退かせれば安心できるくぽ～。			冒険者さん、お願いくぽ……。「エルダーワイバーン」をこらしめて、散らしてほしいくぽ。4体ほど、立ち退かせれば安心できるくぽ～。			猛るドラゴン族							
冒険者さん、お願いくぽ……。「エルダーワイバーン」をこらしめて、散らしてほしいくぽ。4体ほど、立ち退かせれば安心できるくぽ～。			冒険者さん、お願いくぽ……。「エルダーワイバーン」をこらしめて、散らしてほしいくぽ。4体ほど、立ち退かせれば安心できるくぽ～。			猛るドラゴン族							
すっかりエルダーワイバーンの数が減ったくぽ！少し安心くぽ、ありがとうくぽ！			すっかりエルダーワイバーンの数が減ったくぽ！少し安心くぽ、ありがとうくぽ！			猛るドラゴン族							
邪竜様が咆吼を発してから、配下のドラゴンたちが殺気立ってて、超怖いくぽ……。			邪竜様が咆吼を発してから、配下のドラゴンたちが殺気立ってて、超怖いくぽ……。			猛るドラゴン族							
アサー天空廊のモグネルは、何か困っていることがあるようだ。			アサー天空廊のモグネルは、何か困っていることがあるようだ。			外来種を運ぶのは？							
モグネルの話を聞いた。大きくて怖い虫が出現しているという。ドラヴァニア雲海のフォーアームズで「エクスペクティング・フライ」を3体討伐しよう。			モグネルの話を聞いた。大きくて怖い虫が出現しているという。ドラヴァニア雲海のフォーアームズで「エクスペクティング・フライ」を3体討伐しよう。			外来種を運ぶのは？							
エクスペクティング・フライを討伐した。アサー天空廊の「モグネル」に報告しよう。			エクスペクティング・フライを討伐した。アサー天空廊の「モグネル」に報告しよう。			外来種を運ぶのは？							
モグネルに報告した。ドラゴン族が地上に行って帰ってくると、植物の種や虫のタマゴなどが付着し、時々こういったことが起こるようだ。			モグネルに報告した。ドラゴン族が地上に行って帰ってくると、植物の種や虫のタマゴなどが付着し、時々こういったことが起こるようだ。			外来種を運ぶのは？							
フォーアームズで怖い虫を討伐			フォーアームズで怖い虫を討伐			外来種を運ぶのは？							
モグネルに報告			モグネルに報告			外来種を運ぶのは？							
最近、「フォーアームズ」のあたりに、大きくてお化けみたいな、怖い虫が飛んでるくぽ！繁殖する前に、どうにか駆除してもらいたいくぽ～！			最近、「フォーアームズ」のあたりに、大きくてお化けみたいな、怖い虫が飛んでるくぽ！繁殖する前に、どうにか駆除してもらいたいくぽ～！			外来種を運ぶのは？							
最近、「フォーアームズ」のあたりに、大きくてお化けみたいな、怖い虫が飛んでるくぽ！繁殖する前に、どうにか駆除してもらいたいくぽ～！			最近、「フォーアームズ」のあたりに、大きくてお化けみたいな、怖い虫が飛んでるくぽ！繁殖する前に、どうにか駆除してもらいたいくぽ～！			外来種を運ぶのは？							
お化けみたいな虫は、しっかり駆除してくれたくぽ？ありがとうくぽ！　これで繁殖しないくぽ！			お化けみたいな虫は、しっかり駆除してくれたくぽ？ありがとうくぽ！　これで繁殖しないくぽ！			外来種を運ぶのは？							
ドラゴン族が地上に行って帰ってくると、たまに、変な植物の種とか虫のタマゴとか持ってきて、こういうことが起こるくぽ……まったく困ったものくぽ～！			ドラゴン族が地上に行って帰ってくると、たまに、変な植物の種とか虫のタマゴとか持ってきて、こういうことが起こるくぽ……まったく困ったものくぽ～！			外来種を運ぶのは？							
白亜の宮殿のきりきりモーグリは、心配事があるようだ。			白亜の宮殿のきりきりモーグリは、心配事があるようだ。			モーグリたちの大冒険							
きりきりモーグリの話を聞いた。冒険者に憧れたモーグリたちが、冒険するためにオール・ターンへ向かってしまったようだ。ドラヴァニア雲海のオール・ターンにいるモーグリたちを探そう。			きりきりモーグリの話を聞いた。冒険者に憧れたモーグリたちが、冒険するためにオール・ターンへ向かってしまったようだ。ドラヴァニア雲海のオール・ターンにいるモーグリたちを探そう。			モーグリたちの大冒険							
モーグリたちを見つけた。白亜の宮殿の「きりきりモーグリ」に伝えよう。			モーグリたちを見つけた。白亜の宮殿の「きりきりモーグリ」に伝えよう。			モーグリたちの大冒険							
きりきりモーグリに報告した。冒険者に憧れたモーグリ族たちは懲りた様子もなく、ますます冒険者に憧れてしまったようだ。			きりきりモーグリに報告した。冒険者に憧れたモーグリ族たちは懲りた様子もなく、ますます冒険者に憧れてしまったようだ。			モーグリたちの大冒険							
モーグリたちを探す			モーグリたちを探す			モーグリたちの大冒険							
きりきりモーグリに報告			きりきりモーグリに報告			モーグリたちの大冒険							
大変くぽ、大変くぽ！　命知らずもいいとこくぽ！冒険者さん、急いで頼みたいことがあるくぽ！			大変くぽ、大変くぽ！　命知らずもいいとこくぽ！冒険者さん、急いで頼みたいことがあるくぽ！			モーグリたちの大冒険							
冒険者に憧れたモーグリたちが、気性の荒いドラゴン族がいる、「オール・ターン」へ、冒険しに行っちゃったくぽ！とっても心配だから、連れ戻してほしいくぽ！			冒険者に憧れたモーグリたちが、気性の荒いドラゴン族がいる、「オール・ターン」へ、冒険しに行っちゃったくぽ！とっても心配だから、連れ戻してほしいくぽ！			モーグリたちの大冒険							
冒険者に憧れたモーグリたちが、気性の荒いドラゴン族がいる、「オール・ターン」へ、冒険しに行っちゃったくぽ！とっても心配だから、連れ戻してほしいくぽ！			冒険者に憧れたモーグリたちが、気性の荒いドラゴン族がいる、「オール・ターン」へ、冒険しに行っちゃったくぽ！とっても心配だから、連れ戻してほしいくぽ！			モーグリたちの大冒険							
冒険者さん……くぽ？　すごいくぽ！まったく疲れてないくぽ……モグはすごい疲れたくぽ。今日のところは、もう帰るくぽ。			冒険者さん……くぽ？　すごいくぽ！まったく疲れてないくぽ……モグはすごい疲れたくぽ。今日のところは、もう帰るくぽ。			モーグリたちの大冒険							
くぽ……これ以上は怖いくぽ……。冒険者の勇気に感服……くぽ。帰れというなら……すぐに帰るくぽ。			くぽ……これ以上は怖いくぽ……。冒険者の勇気に感服……くぽ。帰れというなら……すぐに帰るくぽ。			モーグリたちの大冒険							
ふっふっふくぽ、冒険は楽しいくぽ。でも、ドラゴン族がいっぱいいるから、怖くはないけど帰るくぽ。			ふっふっふくぽ、冒険は楽しいくぽ。でも、ドラゴン族がいっぱいいるから、怖くはないけど帰るくぽ。			モーグリたちの大冒険							
冒険者さんは、体力がすごいくぽ！かっこいいくぽ～。			冒険者さんは、体力がすごいくぽ！かっこいいくぽ～。			モーグリたちの大冒険							
冒険者の勇気……あこがれるくぽ。			冒険者の勇気……あこがれるくぽ。			モーグリたちの大冒険							
モグたちを探しにくるなんて優しいくぽ。さすが冒険者くぽ！			モグたちを探しにくるなんて優しいくぽ。さすが冒険者くぽ！			モーグリたちの大冒険							
冒険者さん、ありがとうくぽ。オール・ターンまで行って、何もなかったのは幸運くぽ！			冒険者さん、ありがとうくぽ。オール・ターンまで行って、何もなかったのは幸運くぽ！			モーグリたちの大冒険							
もう、無茶したらだめくぽ！わかったくぽ！？			もう、無茶したらだめくぽ！わかったくぽ！？			モーグリたちの大冒険							
……モ、モグたちも、冒険者さんみたいになりたいくぽー！			……モ、モグたちも、冒険者さんみたいになりたいくぽー！			モーグリたちの大冒険							
わー！　また行っちゃったくぽ―！戻ってくるくぽ―！			わー！　また行っちゃったくぽ―！戻ってくるくぽ―！			モーグリたちの大冒険							
アサー天空廊のモグーグは、ソワソワしている。			アサー天空廊のモグーグは、ソワソワしている。			新芽を護ろう							
モグーグの話を聞いた。フォーアームズにたくさんの新芽が出てきているらしい。ドラヴァニア雲海のフォーアームズにある「ポカポカ草の苗」を5個入手しよう。			モグーグの話を聞いた。フォーアームズにたくさんの新芽が出てきているらしい。ドラヴァニア雲海のフォーアームズにある「ポカポカ草の苗」を5個入手しよう。			新芽を護ろう							
ポカポカ草の苗を入手した。ドラヴァニア雲海のモグモグホーム付近にいる「モグシア」に渡そう。			ポカポカ草の苗を入手した。ドラヴァニア雲海のモグモグホーム付近にいる「モグシア」に渡そう。			新芽を護ろう							
モグシアにポカポカ草の苗を渡した。ドラゴン族が殺気立ってから、植物が荒らされることが増えて困ってるらしい。モグシアたちは、植物を護りたいと思っているようだ。			モグシアにポカポカ草の苗を渡した。ドラゴン族が殺気立ってから、植物が荒らされることが増えて困ってるらしい。モグシアたちは、植物を護りたいと思っているようだ。			新芽を護ろう							
ポカポカ草の苗を入手			ポカポカ草の苗を入手			新芽を護ろう							
モグシアにポカポカ草の苗を渡す			モグシアにポカポカ草の苗を渡す			新芽を護ろう							
フォーアームズに、たくさん新芽が出てたくぽ。でも、あの場所じゃ、きっと枯れちゃうくぽ。新芽は、ちゃんとしたところで、大切に育てたいくぽ。			フォーアームズに、たくさん新芽が出てたくぽ。でも、あの場所じゃ、きっと枯れちゃうくぽ。新芽は、ちゃんとしたところで、大切に育てたいくぽ。			新芽を護ろう							
フォーアームズから「ポカポカ草の苗」を5つ、持ってきてほしいくぽ！そして、モグモグホームの「モグシア」に届けてほしいくぽ。			フォーアームズから「ポカポカ草の苗」を5つ、持ってきてほしいくぽ！そして、モグモグホームの「モグシア」に届けてほしいくぽ。			新芽を護ろう							
フォーアームズから「ポカポカ草の苗」を5つ、持ってきてほしいくぽ！そして、モグモグホームの「モグシア」に届けてほしいくぽ。			フォーアームズから「ポカポカ草の苗」を5つ、持ってきてほしいくぽ！そして、モグモグホームの「モグシア」に届けてほしいくぽ。			新芽を護ろう							
フォーアームズから「ポカポカ草の苗」を5つ、持ってきてほしいくぽ！そして、モグモグホームの「モグシア」に届けてほしいくぽ。			フォーアームズから「ポカポカ草の苗」を5つ、持ってきてほしいくぽ！そして、モグモグホームの「モグシア」に届けてほしいくぽ。			新芽を護ろう							
……くぽ？モグに何か用くぽ？			……くぽ？モグに何か用くぽ？			新芽を護ろう							
モグーグからの伝言くぽ？わかったくぽ、この苗は、ちゃんとここで育てるくぽ！			モグーグからの伝言くぽ？わかったくぽ、この苗は、ちゃんとここで育てるくぽ！			新芽を護ろう							
ドラゴン族が殺気立ってから、植物たちが荒らされることも増えているくぽ。モグたちが、こうやって護ってあげたいくぽ！			ドラゴン族が殺気立ってから、植物たちが荒らされることも増えているくぽ。モグたちが、こうやって護ってあげたいくぽ！			新芽を護ろう							
アサー天空廊のモグソンは、忘れ物に気がついたようだ。			アサー天空廊のモグソンは、忘れ物に気がついたようだ。			モグソンの忘れ物							
モグソンの話を聞いた。危険な場所に忘れ物をしたので、取ってきてほしいという。ドラヴァニア雲海のサルウーム・カシュで「モグソンの編みカゴ」を3個入手しよう。			モグソンの話を聞いた。危険な場所に忘れ物をしたので、取ってきてほしいという。ドラヴァニア雲海のサルウーム・カシュで「モグソンの編みカゴ」を3個入手しよう。			モグソンの忘れ物							
モグソンの編みカゴを入手した。アサー天空廊の「モグソン」に渡そう。			モグソンの編みカゴを入手した。アサー天空廊の「モグソン」に渡そう。			モグソンの忘れ物							
モグソンに忘れ物を届けた。どうやら、サルウーム・カシュまでクリスタルを採りに行ったものの、怖くて帰ってきてしまったようだ。			モグソンに忘れ物を届けた。どうやら、サルウーム・カシュまでクリスタルを採りに行ったものの、怖くて帰ってきてしまったようだ。			モグソンの忘れ物							
モグソンの編みカゴを入手			モグソンの編みカゴを入手			モグソンの忘れ物							
モグソンにモグソンの編みカゴを渡す			モグソンにモグソンの編みカゴを渡す			モグソンの忘れ物							
ありゃりゃ……また、編みカゴを置いてきちゃったくぽ……？よかったら、見つけて持ってきてほしいくぽ！			ありゃりゃ……また、編みカゴを置いてきちゃったくぽ……？よかったら、見つけて持ってきてほしいくぽ！			モグソンの忘れ物							
置き忘れた場所は、「サルウーム・カシュ」くぽ。「モグソンの編みカゴ」を3個、回収してくぽ！			置き忘れた場所は、「サルウーム・カシュ」くぽ。「モグソンの編みカゴ」を3個、回収してくぽ！			モグソンの忘れ物							
置き忘れた場所は、「サルウーム・カシュ」くぽ。「モグソンの編みカゴ」を3個、回収してくぽ！			置き忘れた場所は、「サルウーム・カシュ」くぽ。「モグソンの編みカゴ」を3個、回収してくぽ！			モグソンの忘れ物							
置き忘れた場所は、「サルウーム・カシュ」くぽ。「モグソンの編みカゴ」を3個、回収してくぽ！			置き忘れた場所は、「サルウーム・カシュ」くぽ。「モグソンの編みカゴ」を3個、回収してくぽ！			モグソンの忘れ物							
モグソンの編みカゴくぽ！これがなくて困ってたくぽ。ありがとうくぽ！　よく忘れて困るくぽ！			モグソンの編みカゴくぽ！これがなくて困ってたくぽ。ありがとうくぽ！　よく忘れて困るくぽ！			モグソンの忘れ物							
実は、物作りに使うためのクリスタルを、サルウーム・カシュに取りに行ったくぽ。……でも、怖くなって、途中で帰ってきちゃったくぽ。			実は、物作りに使うためのクリスタルを、サルウーム・カシュに取りに行ったくぽ。……でも、怖くなって、途中で帰ってきちゃったくぽ。			モグソンの忘れ物							
白亜の宮殿のきりきりモーグリは、周囲を警戒しているようだ。			白亜の宮殿のきりきりモーグリは、周囲を警戒しているようだ。			宮殿の凶刃							
きりきりモーグリの話を聞いた。ブレード・ビネガロンがウロウロしていて怖いらしい。ドラヴァニア雲海のオール・ターンにいる「ブレード・ビネガロン」を4体討伐しよう。			きりきりモーグリの話を聞いた。ブレード・ビネガロンがウロウロしていて怖いらしい。ドラヴァニア雲海のオール・ターンにいる「ブレード・ビネガロン」を4体討伐しよう。			宮殿の凶刃							
ブレード・ビネガロンを討伐した。白亜の宮殿の「きりきりモーグリ」に報告しよう。			ブレード・ビネガロンを討伐した。白亜の宮殿の「きりきりモーグリ」に報告しよう。			宮殿の凶刃							
きりきりモーグリに報告した。見つかると追いかけられてしまうため、いつも警戒していたようだ。			きりきりモーグリに報告した。見つかると追いかけられてしまうため、いつも警戒していたようだ。			宮殿の凶刃							
ブレード・ビネガロンを討伐			ブレード・ビネガロンを討伐			宮殿の凶刃							
きりきりモーグリに報告			きりきりモーグリに報告			宮殿の凶刃							
冒険者さん、お願いがあるくぽ。「ブレード・ビネガロン」を4体ほど倒してくぽ。この辺りをウロウロしてておっかないから、安心したいくぽ			冒険者さん、お願いがあるくぽ。「ブレード・ビネガロン」を4体ほど倒してくぽ。この辺りをウロウロしてておっかないから、安心したいくぽ			宮殿の凶刃							
冒険者さん、お願いがあるくぽ。「ブレード・ビネガロン」を4体ほど倒してくぽ。この辺りをウロウロしてておっかないから、安心したいくぽ			冒険者さん、お願いがあるくぽ。「ブレード・ビネガロン」を4体ほど倒してくぽ。この辺りをウロウロしてておっかないから、安心したいくぽ			宮殿の凶刃							
ありがとうくぽ！　これで安心して過ごせるくぽ！モグを見つけると、いつまでも追いかけてくるから、警戒してないといけなかったくぽ～。			ありがとうくぽ！　これで安心して過ごせるくぽ！モグを見つけると、いつまでも追いかけてくるから、警戒してないといけなかったくぽ～。			宮殿の凶刃							
白亜の宮殿のぱたぱたモーグリは、困っているようだ。			白亜の宮殿のぱたぱたモーグリは、困っているようだ。			鳥の巣掃除のお楽しみ							
ぱたぱたモーグリの話を聞いた。渡り鳥のヒナが巣立っていったが、巣が残ったままでは景観を損ねるという。白亜の宮殿の「渡り鳥の巣」を5個入手しよう。			ぱたぱたモーグリの話を聞いた。渡り鳥のヒナが巣立っていったが、巣が残ったままでは景観を損ねるという。白亜の宮殿の「渡り鳥の巣」を5個入手しよう。			鳥の巣掃除のお楽しみ							
渡り鳥の巣を入手した。白亜の宮殿の「ぱたぱたモーグリ」に渡そう。			渡り鳥の巣を入手した。白亜の宮殿の「ぱたぱたモーグリ」に渡そう。			鳥の巣掃除のお楽しみ							
ぱたぱたモーグリに渡り鳥の巣を渡した。どうやら、渡り鳥の巣は美味しいスープになるようだ。			ぱたぱたモーグリに渡り鳥の巣を渡した。どうやら、渡り鳥の巣は美味しいスープになるようだ。			鳥の巣掃除のお楽しみ							
渡り鳥の巣を入手			渡り鳥の巣を入手			鳥の巣掃除のお楽しみ							
ぱたぱたモーグリに渡り鳥の巣を渡す			ぱたぱたモーグリに渡り鳥の巣を渡す			鳥の巣掃除のお楽しみ							
渡り鳥のヒナが、バサバサーッて巣立っていったくぽ～。大きくなって、またここに戻ってきてほしいくぽ～。……でも、鳥たちの巣が残っちゃってるくぽ。			渡り鳥のヒナが、バサバサーッて巣立っていったくぽ～。大きくなって、またここに戻ってきてほしいくぽ～。……でも、鳥たちの巣が残っちゃってるくぽ。			鳥の巣掃除のお楽しみ							
このままだと、宮殿の美観が損なわれてしまうくぽ。モグといっしょに「渡り鳥の巣」掃除をしてほしいくぽ！高いところにあるから、気を付けるくぽ～！			このままだと、宮殿の美観が損なわれてしまうくぽ。モグといっしょに「渡り鳥の巣」掃除をしてほしいくぽ！高いところにあるから、気を付けるくぽ～！			鳥の巣掃除のお楽しみ							
このままだと、宮殿の美観が損なわれてしまうくぽ。モグといっしょに「渡り鳥の巣」掃除をしてほしいくぽ！高いところにあるから、気を付けるくぽ～！			このままだと、宮殿の美観が損なわれてしまうくぽ。モグといっしょに「渡り鳥の巣」掃除をしてほしいくぽ！高いところにあるから、気を付けるくぽ～！			鳥の巣掃除のお楽しみ							
このままだと、宮殿の美観が損なわれてしまうくぽ。モグといっしょに「渡り鳥の巣」掃除をしてほしいくぽ！高いところにあるから、気を付けるくぽ～！			このままだと、宮殿の美観が損なわれてしまうくぽ。モグといっしょに「渡り鳥の巣」掃除をしてほしいくぽ！高いところにあるから、気を付けるくぽ～！			鳥の巣掃除のお楽しみ							
ありがとうくぽ、これできれいになったくぽ！ここだけの話、実は渡り鳥の巣をスープにすると、とっても美味しいくぽ……じゅるるるるくぽ～！			ありがとうくぽ、これできれいになったくぽ！ここだけの話、実は渡り鳥の巣をスープにすると、とっても美味しいくぽ……じゅるるるるくぽ～！			鳥の巣掃除のお楽しみ							
白亜の宮殿のぱたぱたモーグリは、困っているようだ。			白亜の宮殿のぱたぱたモーグリは、困っているようだ。			モーグリの必需品							
ぱたぱたモーグリの話を聞いた。どうやらクポの実を落としてしまったようだ。ドラヴァニア雲海のオール・ターンで「クポの実」を5個入手しよう。			ぱたぱたモーグリの話を聞いた。どうやらクポの実を落としてしまったようだ。ドラヴァニア雲海のオール・ターンで「クポの実」を5個入手しよう。			モーグリの必需品							
クポの実を入手した。白亜の宮殿の「ぱたぱたモーグリ」に渡そう。			クポの実を入手した。白亜の宮殿の「ぱたぱたモーグリ」に渡そう。			モーグリの必需品							
ぱたぱたモーグリにクポの実を渡した。ぱたぱたモーグリは冒険者にたいそう感謝していた。			ぱたぱたモーグリにクポの実を渡した。ぱたぱたモーグリは冒険者にたいそう感謝していた。			モーグリの必需品							
クポの実を入手			クポの実を入手			モーグリの必需品							
ぱたぱたモーグリにクポの実を渡す			ぱたぱたモーグリにクポの実を渡す			モーグリの必需品							
やっちゃったくぽ……。ブレード・ビネガロンから逃げ回ってたときに、大事なものを落としちゃったみたいくぽ……。			やっちゃったくぽ……。ブレード・ビネガロンから逃げ回ってたときに、大事なものを落としちゃったみたいくぽ……。			モーグリの必需品							
「クポの実」を5個も持ってたのに、全部ないくぽ……。どうか、探してきてほしいくぽ！			「クポの実」を5個も持ってたのに、全部ないくぽ……。どうか、探してきてほしいくぽ！			モーグリの必需品							
「クポの実」を5個持ってたのに、全部ないくぽ……。どうか、探してきてほしいくぽ！			「クポの実」を5個持ってたのに、全部ないくぽ……。どうか、探してきてほしいくぽ！			モーグリの必需品							
「クポの実」を5個持ってたのに、全部ないくぽ……。どうか、探してきてほしいくぽ！			「クポの実」を5個持ってたのに、全部ないくぽ……。どうか、探してきてほしいくぽ！			モーグリの必需品							
モグのクポの実くぽ！　ホントにありがとくぽ！クポの実がない生活なんて、悲しみしかないくぽ。絶望のあまり、自分のポンポンをむしるところだったくぽ！			モグのクポの実くぽ！　ホントにありがとくぽ！クポの実がない生活なんて、悲しみしかないくぽ。絶望のあまり、自分のポンポンをむしるところだったくぽ！			モーグリの必需品							
飛竜泊のモグズンは、ソワソワしているようだ。			飛竜泊のモグズンは、ソワソワしているようだ。			「ズンズン戦闘団」全員集合！							
モグズンは、迫りくる暴れん坊のドラゴン族に対処するため「ズンズン戦闘団」を組織したようだ。飛竜泊で哨戒中の「モーグリたち」を探してこよう。			モグズンは、迫りくる暴れん坊のドラゴン族に対処するため「ズンズン戦闘団」を組織したようだ。飛竜泊で哨戒中の「モーグリたち」を探してこよう。			「ズンズン戦闘団」全員集合！							
哨戒中のモーグリたちを見つけた。飛竜泊の「モグズン」に報告しよう。			哨戒中のモーグリたちを見つけた。飛竜泊の「モグズン」に報告しよう。			「ズンズン戦闘団」全員集合！							
モグズンに報告した。冒険者は「ズンズン戦闘団」の教官に任命されてしまったようだ。			モグズンに報告した。冒険者は「ズンズン戦闘団」の教官に任命されてしまったようだ。			「ズンズン戦闘団」全員集合！							
哨戒中のモーグリたちを探す			哨戒中のモーグリたちを探す			「ズンズン戦闘団」全員集合！							
モグズンに報告			モグズンに報告			「ズンズン戦闘団」全員集合！							
冒険者、待っていたくぽ！			冒険者、待っていたくぽ！			「ズンズン戦闘団」全員集合！							
冒険者を見習って、戦う力をつけることに決めたくぽ。もちろん「モグモグ護衛団」に入ることも考えたくぽ。でも、もっとシビれるカゲキな組織が必要くぽ！			冒険者を見習って、戦う力をつけることに決めたくぽ。もちろん「モグモグ護衛団」に入ることも考えたくぽ。でも、もっとシビれるカゲキな組織が必要くぽ！			「ズンズン戦闘団」全員集合！							
ということで、「ズンズン戦闘団」を新たに作ったくぽ！だけど、哨戒に出たはずの「モグート」と「モグコン」が、さっぱり戻らないくぽ……探してほしいくぽ～！			ということで、「ズンズン戦闘団」を新たに作ったくぽ！だけど、哨戒に出たはずの「モグート」と「モグコン」が、さっぱり戻らないくぽ……探してほしいくぽ～！			「ズンズン戦闘団」全員集合！							
ということで、「ズンズン戦闘団」を新たに作ったくぽ！だけど、哨戒に出たはずの「モグート」と「モグコン」が、さっぱり戻らないくぽ……探してほしいくぽ～！			ということで、「ズンズン戦闘団」を新たに作ったくぽ！だけど、哨戒に出たはずの「モグート」と「モグコン」が、さっぱり戻らないくぽ……探してほしいくぽ～！			「ズンズン戦闘団」全員集合！							
平和くぽ～。……むむ、モグズン団長が呼んでるくぽ？すぐに行くくぽ……！			平和くぽ～。……むむ、モグズン団長が呼んでるくぽ？すぐに行くくぽ……！			「ズンズン戦闘団」全員集合！							
クッポッポ……モグの魔法は、当たれば完璧くぽ。当たらないのがたまにきずくぽ……。モグズン団長の呼び出しくぽ？　それならさっそく行くくぽ！			クッポッポ……モグの魔法は、当たれば完璧くぽ。当たらないのがたまにきずくぽ……。モグズン団長の呼び出しくぽ？　それならさっそく行くくぽ！			「ズンズン戦闘団」全員集合！							
……戦いが呼んでいるクポ！？			……戦いが呼んでいるクポ！？			「ズンズン戦闘団」全員集合！							
モグの魔法の詠唱が長すぎるのは、ご愛敬くぽ～。			モグの魔法の詠唱が長すぎるのは、ご愛敬くぽ～。			「ズンズン戦闘団」全員集合！							
「ズンズン戦闘団」、全員集合くぽ！迫りくる暴れん坊のドラゴン族から飛竜泊を守るくぽ！			「ズンズン戦闘団」、全員集合くぽ！迫りくる暴れん坊のドラゴン族から飛竜泊を守るくぽ！			「ズンズン戦闘団」全員集合！							
冒険者は、今から我らが戦闘団の教官くぽ！これから力をつけていくから、見守っていてほしいくぽ！			冒険者は、今から我らが戦闘団の教官くぽ！これから力をつけていくから、見守っていてほしいくぽ！			「ズンズン戦闘団」全員集合！							
よし！　さっそく訓練くぽ！各自、目標の魔物を退治してくるくぽ！散開くぽ～！			よし！　さっそく訓練くぽ！各自、目標の魔物を退治してくるくぽ！散開くぽ～！			「ズンズン戦闘団」全員集合！							
サルウーム・カシュ付近のひらひらモーグリは、ぐったり疲れているようだ。			サルウーム・カシュ付近のひらひらモーグリは、ぐったり疲れているようだ。			サルウーム・カシュの悪戯っ子							
ひらひらモーグリの話を聞いた。好奇心旺盛なドラゴネットに追いかけられて困っているようだ。サルウーム・カシュ付近の「ドラゴネット」を4体討伐しよう。			ひらひらモーグリの話を聞いた。好奇心旺盛なドラゴネットに追いかけられて困っているようだ。サルウーム・カシュ付近の「ドラゴネット」を4体討伐しよう。			サルウーム・カシュの悪戯っ子							
ドラゴネットを討伐した。サルウーム・カシュ付近の「ひらひらモーグリ」に報告しよう。			ドラゴネットを討伐した。サルウーム・カシュ付近の「ひらひらモーグリ」に報告しよう。			サルウーム・カシュの悪戯っ子							
ひらひらモーグリに報告した。ひらひらモーグリは、自分が愛くるしくても、お尻の毛をむしるのはやり過ぎだと怒っていた。			ひらひらモーグリに報告した。ひらひらモーグリは、自分が愛くるしくても、お尻の毛をむしるのはやり過ぎだと怒っていた。			サルウーム・カシュの悪戯っ子							
ドラゴネットを討伐			ドラゴネットを討伐			サルウーム・カシュの悪戯っ子							
ひらひらモーグリに報告			ひらひらモーグリに報告			サルウーム・カシュの悪戯っ子							
もうしんどいくぽ……逃げるのも限界くぽ。悪戯者のドラゴネットに追いかけられて、困っているくぽ。			もうしんどいくぽ……逃げるのも限界くぽ。悪戯者のドラゴネットに追いかけられて、困っているくぽ。			サルウーム・カシュの悪戯っ子							
すごい勢いで追いかけてきて、恐くて仕方ないくぽ。「ドラゴネット」を4体ぐらい懲らしめてほしいくぽ。			すごい勢いで追いかけてきて、恐くて仕方ないくぽ。「ドラゴネット」を4体ぐらい懲らしめてほしいくぽ。			サルウーム・カシュの悪戯っ子							
すごい勢いで追いかけてきて、恐くて仕方ないくぽ。「ドラゴネット」を4体ぐらい懲らしめてほしいくぽ。			すごい勢いで追いかけてきて、恐くて仕方ないくぽ。「ドラゴネット」を4体ぐらい懲らしめてほしいくぽ。			サルウーム・カシュの悪戯っ子							
助かったくぽ！　きっとこれで懲りたに違いないくぽ！いくらモグが愛くるしいといっても、追いかけ回して、お尻の毛をむしるのは、さすがにやり過ぎくぽ！			助かったくぽ！　きっとこれで懲りたに違いないくぽ！いくらモグが愛くるしいといっても、追いかけ回して、お尻の毛をむしるのは、さすがにやり過ぎくぽ！			サルウーム・カシュの悪戯っ子							
アルフィノは、石の家でやることがあるようだ。			アルフィノは、石の家でやることがあるようだ。			血戦を前に							
