アルフィノは、今後について冒険者と話がしたいようだ。									アルフィノは、今後について冒険者と話がしたいようだ。	イシュガルドへ
このまま道なりに、サリャク河の西岸を南へ進み、崖下に隠れた場所まで進みましょう。									このまま道なりに、サリャク河の西岸を南へ進み、崖下に隠れた場所まで進みましょう。	隠者マトーヤ
……ただし、廃墟と化したシャーレアンの都には、どんな魔物が入り込んでいるかわからないわ。油断せずに行くわよ。									……ただし、廃墟と化したシャーレアンの都には、どんな魔物が入り込んでいるかわからないわ。油断せずに行くわよ。	隠者マトーヤ
こちらの出発準備は完了さ。さあ、マトーヤ老を訪ねにいこうじゃないか。									こちらの出発準備は完了さ。さあ、マトーヤ老を訪ねにいこうじゃないか。	隠者マトーヤ
ここが「マトーヤの洞窟」の入口よ。……洞窟があるようには見えないですって？まぁ、見てのお楽しみってところかしら。									ここが「マトーヤの洞窟」の入口よ。……洞窟があるようには見えないですって？まぁ、見てのお楽しみってところかしら。	隠者マトーヤ
ところで、戦いの準備はいい？前にも言ったけど、マトーヤはかなりの頑固者なの。									ところで、戦いの準備はいい？前にも言ったけど、マトーヤはかなりの頑固者なの。	隠者マトーヤ
エーテル学の知識は海よりも深く、魔法の扱いに関しても、精通している。そんな人物が、度を超して偏屈だったらどうなるか……。									エーテル学の知識は海よりも深く、魔法の扱いに関しても、精通している。そんな人物が、度を超して偏屈だったらどうなるか……。	隠者マトーヤ
来訪者を追い返すための、魔法仕掛けの罠くらい、たっぷり用意していることは想像に難くないわ。ひとまず、奥の壁を触ってみて？									来訪者を追い返すための、魔法仕掛けの罠くらい、たっぷり用意していることは想像に難くないわ。ひとまず、奥の壁を触ってみて？	隠者マトーヤ
薬草や香草の類いが植えられているようだね。よく手入れされているようだが、洞窟はどこなんだ？									薬草や香草の類いが植えられているようだね。よく手入れされているようだが、洞窟はどこなんだ？	隠者マトーヤ
ひとまず、奥の壁を触ってみて？									ひとまず、奥の壁を触ってみて？	隠者マトーヤ
マトーヤ様を守るケロ！									マトーヤ様を守るケロ！	隠者マトーヤ
やっぱりね……。ふふふ、ごめんなさい、怒らないで。この程度の使い魔なら、簡単に倒せると思っていたのよ。									やっぱりね……。ふふふ、ごめんなさい、怒らないで。この程度の使い魔なら、簡単に倒せると思っていたのよ。	隠者マトーヤ
さあ、門番役の使い魔たちも排除したことだし、「マトーヤ」に会いに行きましょう。									さあ、門番役の使い魔たちも排除したことだし、「マトーヤ」に会いに行きましょう。	隠者マトーヤ
マトーヤの洞窟のマトーヤは、言いたいことがあるようだ。									マトーヤの洞窟のマトーヤは、言いたいことがあるようだ。	禁書庫に眠る論文
マトーヤから、エーテル収束器の話を聞いた。エーテル収束器に関する論文が、グブラ幻想図書館に封印されているそうだ。マトーヤの洞窟の「マトーヤ」と話そう。									マトーヤから、エーテル収束器の話を聞いた。エーテル収束器に関する論文が、グブラ幻想図書館に封印されているそうだ。マトーヤの洞窟の「マトーヤ」と話そう。	禁書庫に眠る論文
マトーヤから話を聞いた。グブラ幻想図書館の扉を、彼女の使い魔が開けてくれるという。マトーヤの洞窟の「魔法仕掛けのホウキ」と話そう。									マトーヤから話を聞いた。グブラ幻想図書館の扉を、彼女の使い魔が開けてくれるという。マトーヤの洞窟の「魔法仕掛けのホウキ」と話そう。	禁書庫に眠る論文
魔法仕掛けのホウキと話した。グブラ幻想図書館は、マトーヤの洞窟の東にあるそうだ。低地ドラヴァニアのグブラ幻想図書館付近にいる「魔法仕掛けのホウキ」と話そう。									魔法仕掛けのホウキと話した。グブラ幻想図書館は、マトーヤの洞窟の東にあるそうだ。低地ドラヴァニアのグブラ幻想図書館付近にいる「魔法仕掛けのホウキ」と話そう。	禁書庫に眠る論文
魔法仕掛けのホウキが、グブラ幻想図書館の扉を開いてくれた。「禁書回収 グブラ幻想図書館」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。									魔法仕掛けのホウキが、グブラ幻想図書館の扉を開いてくれた。「禁書回収 グブラ幻想図書館」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。	禁書庫に眠る論文
「禁書回収 グブラ幻想図書館」を攻略した。低地ドラヴァニアに戻ろう。									「禁書回収 グブラ幻想図書館」を攻略した。低地ドラヴァニアに戻ろう。	禁書庫に眠る論文
グブラ幻想図書館の守護者を倒したところ、水属性の光のクリスタルが輝きを取り戻した。その直後、冒険者はエーテル収束器について書かれた論文と思しき書物を発見した。マトーヤの洞窟のマトーヤに「エーテル収束器の論文」を渡そう。									グブラ幻想図書館の守護者を倒したところ、水属性の光のクリスタルが輝きを取り戻した。その直後、冒険者はエーテル収束器について書かれた論文と思しき書物を発見した。マトーヤの洞窟のマトーヤに「エーテル収束器の論文」を渡そう。	禁書庫に眠る論文
エーテル収束器の論文を、マトーヤに渡した。さっそく、論文を確認してみよう。									エーテル収束器の論文を、マトーヤに渡した。さっそく、論文を確認してみよう。	禁書庫に眠る論文
マトーヤと話す									マトーヤと話す	禁書庫に眠る論文
魔法仕掛けのホウキと話す									魔法仕掛けのホウキと話す	禁書庫に眠る論文
グブラ幻想図書館付近の魔法仕掛けのホウキと話す									グブラ幻想図書館付近の魔法仕掛けのホウキと話す	禁書庫に眠る論文
「禁書回収 グブラ幻想図書館」を攻略する									「禁書回収 グブラ幻想図書館」を攻略する	禁書庫に眠る論文
マトーヤの洞窟のマトーヤにエーテル収束器の論文を渡す									マトーヤの洞窟のマトーヤにエーテル収束器の論文を渡す	禁書庫に眠る論文
「マトーヤの洞窟」に来ると、見習いだったころを思い出すわ。何年前のことなのか、何歳頃のことなのか……決して言うつもりはないわよ？									「マトーヤの洞窟」に来ると、見習いだったころを思い出すわ。何年前のことなのか、何歳頃のことなのか……決して言うつもりはないわよ？	禁書庫に眠る論文
Forename、ここはすごい場所だぞ。無造作に置かれてる書は、どれも一級品のものばかり……本国のシャーレアン魔法大学の蔵書にも匹敵するくらいさ。									Forename、ここはすごい場所だぞ。無造作に置かれてる書は、どれも一級品のものばかり……本国のシャーレアン魔法大学の蔵書にも匹敵するくらいさ。	禁書庫に眠る論文
あんたたちの腕なら、禁書庫の守護兵も問題なく倒せるだろうさ。									あんたたちの腕なら、禁書庫の守護兵も問題なく倒せるだろうさ。	禁書庫に眠る論文
そうでなければ、とてもじゃないが、「エーテル収束器」のような危険な代物を任せられない。婆があたえた試練だと思って、行っておいで。									そうでなければ、とてもじゃないが、「エーテル収束器」のような危険な代物を任せられない。婆があたえた試練だと思って、行っておいで。	禁書庫に眠る論文
それから、使い魔を二体貸してやろう。一体は蔵書の中から論文を探すためのポロッゴ……。									それから、使い魔を二体貸してやろう。一体は蔵書の中から論文を探すためのポロッゴ……。	禁書庫に眠る論文
もう一体は「グブラ幻想図書館」の扉を開くためのカギ代わり。そこの「魔法仕掛けのホウキ」に声をかけるこったね。									もう一体は「グブラ幻想図書館」の扉を開くためのカギ代わり。そこの「魔法仕掛けのホウキ」に声をかけるこったね。	禁書庫に眠る論文
入口の扉は固く閉ざされているだろうが、ワシの使い魔を、カギ代わりに貸してやろうじゃないか。そこの「魔法仕掛けのホウキ」に声をかけるこったね。									入口の扉は固く閉ざされているだろうが、ワシの使い魔を、カギ代わりに貸してやろうじゃないか。そこの「魔法仕掛けのホウキ」に声をかけるこったね。	禁書庫に眠る論文
「グブラ幻想図書館」は、蔵書の保管だけでなく、エーテル学を始めとする、さまざまな学問の研究の場でもあったの。									「グブラ幻想図書館」は、蔵書の保管だけでなく、エーテル学を始めとする、さまざまな学問の研究の場でもあったの。	禁書庫に眠る論文
今も、研究の成果である魔法生物が、守護兵として護り続けているはずよ。気を引き締めていきましょう。									今も、研究の成果である魔法生物が、守護兵として護り続けているはずよ。気を引き締めていきましょう。	禁書庫に眠る論文
マトーヤ老と言えば、使い魔の専門家でもあったはず。後で、教えを乞うことができればいいのだが……。									マトーヤ老と言えば、使い魔の専門家でもあったはず。後で、教えを乞うことができればいいのだが……。	禁書庫に眠る論文
フシギナ、ホウキ、サ、サッサカサ！									フシギナ、ホウキ、サ、サッサカサ！	禁書庫に眠る論文
ハジメ、マシテデ、サッサカサ！ワタクシ、マトーヤ様より、冒険者サマの案内を、仰せつかりました、この道、50年の使い魔でゴザイマス！									ハジメ、マシテデ、サッサカサ！ワタクシ、マトーヤ様より、冒険者サマの案内を、仰せつかりました、この道、50年の使い魔でゴザイマス！	禁書庫に眠る論文
さあさあ、サッサと参りまショウ。「グブラ幻想図書館」は、洞窟をでて東に進んだ先。崩落した橋を登れば、すぐに見えるはずデス！									さあさあ、サッサと参りまショウ。「グブラ幻想図書館」は、洞窟をでて東に進んだ先。崩落した橋を登れば、すぐに見えるはずデス！	禁書庫に眠る論文
お供のポロッゴを呼んできますので、どうか図書館の入口でお声がけを……。ではでは、ゴキゲンヨウ！									お供のポロッゴを呼んできますので、どうか図書館の入口でお声がけを……。ではでは、ゴキゲンヨウ！	禁書庫に眠る論文
こんなところで油を売ってるんじゃないよ！さっさと禁書庫に行っておいで！									こんなところで油を売ってるんじゃないよ！さっさと禁書庫に行っておいで！	禁書庫に眠る論文
マッテ、イマシタ、サッサカサ！こちらがかの有名な「グブラ幻想図書館」でゴザイマス！									マッテ、イマシタ、サッサカサ！こちらがかの有名な「グブラ幻想図書館」でゴザイマス！	禁書庫に眠る論文
15年前に放棄されて以来、ホウキも入らぬ状態で、荒れ放題の散らかり放題。									15年前に放棄されて以来、ホウキも入らぬ状態で、荒れ放題の散らかり放題。	禁書庫に眠る論文
ササッと扉を開けますから、サッサと「エーテル収束器の論文」をお探しくだサイ！見つかりましたら、「マトーヤ」様にご報告ヲ！									ササッと扉を開けますから、サッサと「エーテル収束器の論文」をお探しくだサイ！見つかりましたら、「マトーヤ」様にご報告ヲ！	禁書庫に眠る論文
サッサと「エーテル収束器の論文」をお探しくだサイ！見つかりましたら、「マトーヤ」様にご報告ヲ！									サッサと「エーテル収束器の論文」をお探しくだサイ！見つかりましたら、「マトーヤ」様にご報告ヲ！	禁書庫に眠る論文
おや、もう戻ったのかい。例の論文は見つかったんだろうね？									おや、もう戻ったのかい。例の論文は見つかったんだろうね？	禁書庫に眠る論文
よしよし、上出来だよ。これがなくちゃ、始まるモンも始まらないからね。									よしよし、上出来だよ。これがなくちゃ、始まるモンも始まらないからね。	禁書庫に眠る論文
あれだけ厳重に守られた禁書庫に、近所へお使いにでもやるように行かせるなんて……マトーヤの人使いの荒さは、昔と変わらないわね。									あれだけ厳重に守られた禁書庫に、近所へお使いにでもやるように行かせるなんて……マトーヤの人使いの荒さは、昔と変わらないわね。	禁書庫に眠る論文
ペロ・ロッゴ君がいてくれて助かりました。さすがはマトーヤ様がお創りになられた使い魔……魔法生物に関して、良い勉強になりましたよ。									ペロ・ロッゴ君がいてくれて助かりました。さすがはマトーヤ様がお創りになられた使い魔……魔法生物に関して、良い勉強になりましたよ。	禁書庫に眠る論文
彼にかけられていた魔法の術式を、自分なりに応用することで、新しいカーバンクルだって作れそうな気がします。									彼にかけられていた魔法の術式を、自分なりに応用することで、新しいカーバンクルだって作れそうな気がします。	禁書庫に眠る論文
フン、調子に乗るんじゃないよ。ルイゾワの孫だけあって、多少は筋がいいようだけど……一人前になりたきゃ、ワシの下で10年は修行するんだね。									フン、調子に乗るんじゃないよ。ルイゾワの孫だけあって、多少は筋がいいようだけど……一人前になりたきゃ、ワシの下で10年は修行するんだね。	禁書庫に眠る論文
ふふふ、弱冠11才で、シャーレアン魔法大学に入学を許された俊英も、マトーヤの前では形無しね。									ふふふ、弱冠11才で、シャーレアン魔法大学に入学を許された俊英も、マトーヤの前では形無しね。	禁書庫に眠る論文
やれやれ、まいったな……。さ、さあ、早く論文を確認しましょう。									やれやれ、まいったな……。さ、さあ、早く論文を確認しましょう。	禁書庫に眠る論文
グブラ幻想図書館の探索は大変だったけれど、同行できて本当に良かったわ。									グブラ幻想図書館の探索は大変だったけれど、同行できて本当に良かったわ。	禁書庫に眠る論文
マトーヤだったら気分次第で、洞窟に残って、私たちが壊した使い魔作りを、手伝えだとか言いかねないもの……。									マトーヤだったら気分次第で、洞窟に残って、私たちが壊した使い魔作りを、手伝えだとか言いかねないもの……。	禁書庫に眠る論文
マトーヤ様の使い魔を、直に見ることができたのは収穫だった。魔法生物に関する知識が、一段と深まったよ。									マトーヤ様の使い魔を、直に見ることができたのは収穫だった。魔法生物に関する知識が、一段と深まったよ。	禁書庫に眠る論文
マトーヤの洞窟のマトーヤは、論文を懐かしんでいるようだ。									マトーヤの洞窟のマトーヤは、論文を懐かしんでいるようだ。	エーテルラムを造れ
マトーヤによって暗号化魔法が解かれ、論文が読めるようになった。エーテルラムの形成には莫大なエーテルを要するが、竜の眼ならば供給源たり得るかもしれない。イシュガルドへ戻り、準備に取りかる必要がありそうだ。マトーヤの洞窟付近の「アルフィノ」と話そう。									マトーヤによって暗号化魔法が解かれ、論文が読めるようになった。エーテルラムの形成には莫大なエーテルを要するが、竜の眼ならば供給源たり得るかもしれない。イシュガルドへ戻り、準備に取りかる必要がありそうだ。マトーヤの洞窟付近の「アルフィノ」と話そう。	エーテルラムを造れ
アルフィノと話した。竜の眼を借りるため、アイメリクに相談してみることになった。イシュガルドの神殿騎士団本部にいる「アイメリク」と話そう。									アルフィノと話した。竜の眼を借りるため、アイメリクに相談してみることになった。イシュガルドの神殿騎士団本部にいる「アイメリク」と話そう。	エーテルラムを造れ
アイメリクに相談した結果、エスティニアンに話を通してもらうことになった。その間にシドと会い、エーテルラムの製造にとりかかってもらおう。イシュガルド・ランディングの「シド」と話そう。									アイメリクに相談した結果、エスティニアンに話を通してもらうことになった。その間にシドと会い、エーテルラムの製造にとりかかってもらおう。イシュガルド・ランディングの「シド」と話そう。	エーテルラムを造れ
シドと話した。エーテルラムに関する諸問題が解決したことで、シドたちも気合を入れて、製作に取り掛かってくれるようだ。									シドと話した。エーテルラムに関する諸問題が解決したことで、シドたちも気合を入れて、製作に取り掛かってくれるようだ。	エーテルラムを造れ
アルフィノと話す									アルフィノと話す	エーテルラムを造れ
イシュガルドのアイメリクと話す									イシュガルドのアイメリクと話す	エーテルラムを造れ
イシュガルド・ランディングのシドと話す									イシュガルド・ランディングのシドと話す	エーテルラムを造れ
君のお陰で、「エーテルラム」を造るための、基礎理論が記された論文が手に入った。									君のお陰で、「エーテルラム」を造るための、基礎理論が記された論文が手に入った。	エーテルラムを造れ
さっそく、「イシュガルド」に戻って、「アイメリク」卿に「竜の眼」の件を相談しよう。									さっそく、「イシュガルド」に戻って、「アイメリク」卿に「竜の眼」の件を相談しよう。	エーテルラムを造れ
マトーヤ様の使い魔を、直に見ることができたのは収穫だった。魔法生物に関する知識が、一段と深まったよ。									マトーヤ様の使い魔を、直に見ることができたのは収穫だった。魔法生物に関する知識が、一段と深まったよ。	エーテルラムを造れ
論文が見つかって本当に良かったわ。マトーヤの言葉を、口述筆記するなんてゴメンだもの。									論文が見つかって本当に良かったわ。マトーヤの言葉を、口述筆記するなんてゴメンだもの。	エーテルラムを造れ
やっぱり、マトーヤは何でもお見通しなのね……。……いえ……こっちの話よ。									やっぱり、マトーヤは何でもお見通しなのね……。……いえ……こっちの話よ。	エーテルラムを造れ
無事に戻ってくれたか！									無事に戻ってくれたか！	エーテルラムを造れ
アイメリク卿も復調された様子で、安心しました。まずは、私たち「暁」の仲間を紹介させてください。彼女は、ヤ・シュトラ……シャーレアン出身の賢人です。									アイメリク卿も復調された様子で、安心しました。まずは、私たち「暁」の仲間を紹介させてください。彼女は、ヤ・シュトラ……シャーレアン出身の賢人です。	エーテルラムを造れ
お初にお目に掛かります。「魔大陸」に侵入するための、手がかりを携えてきました。その件で相談があるのです。									お初にお目に掛かります。「魔大陸」に侵入するための、手がかりを携えてきました。その件で相談があるのです。	エーテルラムを造れ
こちらこそ、よろしく頼む。……それで、相談というのは？									こちらこそ、よろしく頼む。……それで、相談というのは？	エーテルラムを造れ
ふむ……マトーヤ老が考案された理論を用い、「エーテルラム」を造ることは、技術的には可能……。しかし、問題はエーテルの供給源ということか。									ふむ……マトーヤ老が考案された理論を用い、「エーテルラム」を造ることは、技術的には可能……。しかし、問題はエーテルの供給源ということか。	エーテルラムを造れ
えぇ、そのとおりです。莫大な魔力を秘めた「竜の眼」と、その制御を行える、エスティニアン殿の協力が必要なのです。									えぇ、そのとおりです。莫大な魔力を秘めた「竜の眼」と、その制御を行える、エスティニアン殿の協力が必要なのです。	エーテルラムを造れ
……事情は理解した。エスティニアンには、私から協力を求めよう。									……事情は理解した。エスティニアンには、私から協力を求めよう。	エーテルラムを造れ
ありがとうございます！									ありがとうございます！	エーテルラムを造れ
礼をしたいのは、こちらの方だよ。イシュガルドが招いた問題を解決するために、危険を顧みず取り組んでもらっているのだから。									礼をしたいのは、こちらの方だよ。イシュガルドが招いた問題を解決するために、危険を顧みず取り組んでもらっているのだから。	エーテルラムを造れ
よし、Forename、ヤ・シュトラ、さっそく「シド」に会いに行こう。「エーテルラム」の製造に取りかかるんだ！									よし、Forename、ヤ・シュトラ、さっそく「シド」に会いに行こう。「エーテルラム」の製造に取りかかるんだ！	エーテルラムを造れ
君たちの尽力には、本当に感謝しているよ。エスティニアンへの協力要請の件は任せてくれ。									君たちの尽力には、本当に感謝しているよ。エスティニアンへの協力要請の件は任せてくれ。	エーテルラムを造れ
貴公らが無事でなによりだ。									貴公らが無事でなによりだ。	エーテルラムを造れ
どうだ、解決策は見つかったか？こっちは、あらかた準備が終わったぞ。									どうだ、解決策は見つかったか？こっちは、あらかた準備が終わったぞ。	エーテルラムを造れ
久しぶりね、シド。朗報を持って帰ってきたわ。									久しぶりね、シド。朗報を持って帰ってきたわ。	エーテルラムを造れ
幻想図書館の禁書庫で発見した、エーテル収束器の研究論文よ。これがあれば「エーテルラム」が造れるはず。									幻想図書館の禁書庫で発見した、エーテル収束器の研究論文よ。これがあれば「エーテルラム」が造れるはず。	エーテルラムを造れ
こいつを待ってたぜ。理論さえわかれば、でっちあげてみせるさ！……しかし、エーテルの供給源はどうするんだ？									こいつを待ってたぜ。理論さえわかれば、でっちあげてみせるさ！……しかし、エーテルの供給源はどうするんだ？	エーテルラムを造れ
その件に関しても、どうにかなりそうだよ。									その件に関しても、どうにかなりそうだよ。	エーテルラムを造れ
待たせたな。									待たせたな。	エーテルラムを造れ
みだりに取り出すべきではないものだが……こいつには、始原の時代より蓄えてきた魔力が宿っている。									みだりに取り出すべきではないものだが……こいつには、始原の時代より蓄えてきた魔力が宿っている。	エーテルラムを造れ
これがイシュガルドの秘宝、「竜の眼」……。気が遠くなるほどの、禍々しいエーテルを感じるわね。									これがイシュガルドの秘宝、「竜の眼」……。気が遠くなるほどの、禍々しいエーテルを感じるわね。	エーテルラムを造れ
よし、後は、俺たち技術屋の出番だな。ビッグス、ウェッジ……！！									よし、後は、俺たち技術屋の出番だな。ビッグス、ウェッジ……！！	エーテルラムを造れ
喜べ、ウェッジ！今日も徹夜だぞ！									喜べ、ウェッジ！今日も徹夜だぞ！	エーテルラムを造れ
……楽しい職場ッス。									……楽しい職場ッス。	エーテルラムを造れ
徹夜続きで、むしろ元気ッス！でも、これ以上は勘弁ッス……。									徹夜続きで、むしろ元気ッス！でも、これ以上は勘弁ッス……。	エーテルラムを造れ
見てくれ、ずいぶんと印象が変わっただろう？									見てくれ、ずいぶんと印象が変わっただろう？	エーテルラムを造れ
シド会長の頭脳は、エオルゼア随一です。そして、人使いの荒さも……。									シド会長の頭脳は、エオルゼア随一です。そして、人使いの荒さも……。	エーテルラムを造れ
イシュガルド・ランディングのアルフィノは、冒険者に提案があるようだ。									イシュガルド・ランディングのアルフィノは、冒険者に提案があるようだ。	灯されし希望
エーテルラム搭載作業の間、イシュガルドに残る人々に挨拶をすることになった。イシュガルド・ランディングの「アイメリク」と話そう。									エーテルラム搭載作業の間、イシュガルドに残る人々に挨拶をすることになった。イシュガルド・ランディングの「アイメリク」と話そう。	灯されし希望
アイメリクと話した。彼は同行できない悔しさをにじませながら、冒険者に教皇との決着を託した。イシュガルドに残る、ほかの仲間たちにも挨拶をしなければ……。神殿騎士団本部の「ルキア」、忘れられた騎士亭の「タタル」、雲霧街の「ヒルダ」と話そう。									アイメリクと話した。彼は同行できない悔しさをにじませながら、冒険者に教皇との決着を託した。イシュガルドに残る、ほかの仲間たちにも挨拶をしなければ……。神殿騎士団本部の「ルキア」、忘れられた騎士亭の「タタル」、雲霧街の「ヒルダ」と話そう。	灯されし希望
仲間たちに挨拶した。最後に、イシュガルドのフォルタン伯爵邸にいる「エドモン・ド・フォルタン伯爵」と話そう。									仲間たちに挨拶した。最後に、イシュガルドのフォルタン伯爵邸にいる「エドモン・ド・フォルタン伯爵」と話そう。	灯されし希望
フォルタン伯爵に挨拶し、オルシュファンの盾を預かった。これで、挨拶は済んだだろう。イシュガルド・ランディングの「アルフィノ」と話そう。									フォルタン伯爵に挨拶し、オルシュファンの盾を預かった。これで、挨拶は済んだだろう。イシュガルド・ランディングの「アルフィノ」と話そう。	灯されし希望
アルフィノと話した。いよいよ出発が近い。これから向かう魔大陸には、何が待っているのだろうか……？									アルフィノと話した。いよいよ出発が近い。これから向かう魔大陸には、何が待っているのだろうか……？	灯されし希望
アイメリクと話す									アイメリクと話す	灯されし希望
神殿騎士団本部のルキアと話す									神殿騎士団本部のルキアと話す	灯されし希望
忘れられた騎士亭のタタルと話す									忘れられた騎士亭のタタルと話す	灯されし希望
雲霧街のヒルダと話す									雲霧街のヒルダと話す	灯されし希望
フォルタン伯爵邸のエドモン・ド・フォルタン伯爵と話す									フォルタン伯爵邸のエドモン・ド・フォルタン伯爵と話す	灯されし希望
イシュガルド・ランディングのアルフィノと話す									イシュガルド・ランディングのアルフィノと話す	灯されし希望
「エンタープライズ」への「エーテルラム」の搭載が完了次第、私たちは「魔大陸」へと出発することになる。長い旅も、ようやく最終地点だ。									「エンタープライズ」への「エーテルラム」の搭載が完了次第、私たちは「魔大陸」へと出発することになる。長い旅も、ようやく最終地点だ。	灯されし希望
君は、シドたちの作業が終わるのを待つ間、「イシュガルド」に残る人たちに、挨拶をしてくるといい。私は、ここでシドたちを手伝っておくよ。									君は、シドたちの作業が終わるのを待つ間、「イシュガルド」に残る人たちに、挨拶をしてくるといい。私は、ここでシドたちを手伝っておくよ。	灯されし希望
君は、シドたちの作業が終わるのを待つ間、「イシュガルド」に残る人たちに、挨拶をしてくるといい。私は、ここでシドたちを手伝っておくよ。									君は、シドたちの作業が終わるのを待つ間、「イシュガルド」に残る人たちに、挨拶をしてくるといい。私は、ここでシドたちを手伝っておくよ。	灯されし希望
「魔大陸」……いったい、どんな場所なのかしら。厳しい戦いが待っているとは思うけれど、どこか楽しみでもあるわね。									「魔大陸」……いったい、どんな場所なのかしら。厳しい戦いが待っているとは思うけれど、どこか楽しみでもあるわね。	灯されし希望
エンタープライズの改装に関わる費用は、神殿騎士団側で負担させてもらった。そんなことでは到底、返せる恩ではないがね。									エンタープライズの改装に関わる費用は、神殿騎士団側で負担させてもらった。そんなことでは到底、返せる恩ではないがね。	灯されし希望
蒼き翼で、決戦の地へか……。締めくくりの旅としては、悪くないじゃないか。									蒼き翼で、決戦の地へか……。締めくくりの旅としては、悪くないじゃないか。	灯されし希望
シド会長の頭脳は、エオルゼア随一です。そして、人使いの荒さも……。									シド会長の頭脳は、エオルゼア随一です。そして、人使いの荒さも……。	灯されし希望
いよいよ出発か……。ともに行きたいが、怪我が完治していない私では、君たちの足手まといになるだけだ……すまない。									いよいよ出発か……。ともに行きたいが、怪我が完治していない私では、君たちの足手まといになるだけだ……すまない。	灯されし希望
父……いや、教皇「トールダン7世」は、アシエンを受け入れ、蛮神の力に手を染めた……。覚悟はできている……必要とあれば、討ってくれ……。									父……いや、教皇「トールダン7世」は、アシエンを受け入れ、蛮神の力に手を染めた……。覚悟はできている……必要とあれば、討ってくれ……。	灯されし希望
すまない……本当にすまない……。何から何まで、君に押しつけなければならないとは……。いかんな……笑顔で送らねばならぬというのに。									すまない……本当にすまない……。何から何まで、君に押しつけなければならないとは……。いかんな……笑顔で送らねばならぬというのに。	灯されし希望
君たちの旅路に、戦神「ハルオーネ」の加護あらんことを。私は、私にあたえられた皇都という戦場で、成すべきことを成そう。									君たちの旅路に、戦神「ハルオーネ」の加護あらんことを。私は、私にあたえられた皇都という戦場で、成すべきことを成そう。	灯されし希望
君たちの旅路に、戦神「ハルオーネ」の加護あらんことを。私は、私にあたえられた皇都という戦場で、成すべきことを成そう。									君たちの旅路に、戦神「ハルオーネ」の加護あらんことを。私は、私にあたえられた皇都という戦場で、成すべきことを成そう。	灯されし希望
そうか、いよいよ「魔大陸」に赴くのだな。貴公の旅路に、戦神の加護がありますように……。									そうか、いよいよ「魔大陸」に赴くのだな。貴公の旅路に、戦神の加護がありますように……。	灯されし希望
……信仰とは無縁の帝国人が、神に祈るのは不思議か？私自身も、少しばかり奇妙な気分だよ。幼いころから、神に祈ったことなど、なかったのだからな。									……信仰とは無縁の帝国人が、神に祈るのは不思議か？私自身も、少しばかり奇妙な気分だよ。幼いころから、神に祈ったことなど、なかったのだからな。	灯されし希望
ところが、大切な人が出来てからというもの、その無事を祈らずには、いられなくなった。									ところが、大切な人が出来てからというもの、その無事を祈らずには、いられなくなった。	灯されし希望
祈りとは、本来こうした素朴なものなのだろう……。それを神を呼ぶ力と成すために、歪め、利用している教皇たちを、許してはいけない……そう思うのだ。									祈りとは、本来こうした素朴なものなのだろう……。それを神を呼ぶ力と成すために、歪め、利用している教皇たちを、許してはいけない……そう思うのだ。	灯されし希望
貴公の旅路に、戦神の加護がありますように……。									貴公の旅路に、戦神の加護がありますように……。	灯されし希望
Forenameさん……必ず、帰ってくるでっすよ？									Forenameさん……必ず、帰ってくるでっすよ？	灯されし希望
それから……私がこんなことを頼むのも変でっすが、アルフィノ様を、どうかよろしくお願いしまっす。									それから……私がこんなことを頼むのも変でっすが、アルフィノ様を、どうかよろしくお願いしまっす。	灯されし希望
イシュガルドに来てから、アルフィノ様は変わられまっした。裏切りと挫折を味わって、自分自身の限界を知って、それでも、がんばろうって決めたんだと思いまっす。									イシュガルドに来てから、アルフィノ様は変わられまっした。裏切りと挫折を味わって、自分自身の限界を知って、それでも、がんばろうって決めたんだと思いまっす。	灯されし希望
アルフィノ様は、私にとっても、大切な仲間でっす。もう二度と、仲間を失わずに済むように、絶対に連れて帰ってきてくださっい！									アルフィノ様は、私にとっても、大切な仲間でっす。もう二度と、仲間を失わずに済むように、絶対に連れて帰ってきてくださっい！	灯されし希望
アルフィノ様は、私にとっても、大切な仲間でっす。もう二度と、仲間を失わずに済むように、絶対に連れて帰ってきてくださっい！									アルフィノ様は、私にとっても、大切な仲間でっす。もう二度と、仲間を失わずに済むように、絶対に連れて帰ってきてくださっい！	灯されし希望
Forenameじゃないか！アイメリクから聞いたぜ、教皇をブチのめしに行くんだろ？									Forenameじゃないか！アイメリクから聞いたぜ、教皇をブチのめしに行くんだろ？	灯されし希望
アタシも行ってやりたいところだけど、平民の中には、教皇不在の好機に、貴族を倒そうなんて、動きもあるからね……お目付役が必要なのさ。									アタシも行ってやりたいところだけど、平民の中には、教皇不在の好機に、貴族を倒そうなんて、動きもあるからね……お目付役が必要なのさ。	灯されし希望
アタシは、自由を求めてる。ただ貴族どもに、復讐したい訳じゃない。憎しみは、憎しみを生むだけだって知ってるからね……。									アタシは、自由を求めてる。ただ貴族どもに、復讐したい訳じゃない。憎しみは、憎しみを生むだけだって知ってるからね……。	灯されし希望
