石の家のアルフィノは、考え込んでいるようだ。									石の家のアルフィノは、考え込んでいるようだ。	長城を越えて
同盟軍の本隊は、ビターミル辺りにいるはずじゃが、道中では、敗走してきた敵兵と遭遇するかもしれん。くれぐれも注意を怠らぬことじゃ。									同盟軍の本隊は、ビターミル辺りにいるはずじゃが、道中では、敗走してきた敵兵と遭遇するかもしれん。くれぐれも注意を怠らぬことじゃ。	残敵を蹴散らせ
敵が襲いかかってきた！！									敵が襲いかかってきた！！	残敵を蹴散らせ
こ、ここにも敵が！									こ、ここにも敵が！	残敵を蹴散らせ
見つかっただと！？ならば、蹴散らすしか！									見つかっただと！？ならば、蹴散らすしか！	残敵を蹴散らせ
さすがはラウバーン局長……「戦場の演出家」と呼ばれていただけはある、見事な采配だったよ。									さすがはラウバーン局長……「戦場の演出家」と呼ばれていただけはある、見事な采配だったよ。	残敵を蹴散らせ
強気だったのも、アラミゴ解放軍の旗を見るまで……。自分たちが帰る場所が制圧されたと思った敵兵は、可哀想なくらいの動揺ぶりだったわよ。									強気だったのも、アラミゴ解放軍の旗を見るまで……。自分たちが帰る場所が制圧されたと思った敵兵は、可哀想なくらいの動揺ぶりだったわよ。	残敵を蹴散らせ
貴様がここに来たということは、ベロジナ大橋の方も、大方、戦闘は終了したのだな？									貴様がここに来たということは、ベロジナ大橋の方も、大方、戦闘は終了したのだな？	残敵を蹴散らせ
それは何よりだ。こちらもあらかた片付いたところだ。									それは何よりだ。こちらもあらかた片付いたところだ。	残敵を蹴散らせ
つい先ほど、ピピン指揮下の部隊を大橋の支援に向かわせた。カステッルム・ベロジナの施設を使えば、帝国軍が引き返して来ようとも、有利に戦えるだろう。									つい先ほど、ピピン指揮下の部隊を大橋の支援に向かわせた。カステッルム・ベロジナの施設を使えば、帝国軍が引き返して来ようとも、有利に戦えるだろう。	残敵を蹴散らせ
想像以上に、作戦が上手くいきましたね。さすがは「戦場の演出家」と呼ばれただけはあります。見事な采配でした、ラウバーン局長……！									想像以上に、作戦が上手くいきましたね。さすがは「戦場の演出家」と呼ばれただけはあります。見事な采配でした、ラウバーン局長……！	残敵を蹴散らせ
下手な世辞はよしてくれ。まだ戦いはこれからなのだからな……。									下手な世辞はよしてくれ。まだ戦いはこれからなのだからな……。	残敵を蹴散らせ
では、吾輩は部下を率いて、もう一度、周辺の残敵掃討に行ってくる。「暁」の方々は、アラミゴ解放軍の部隊と合流してくれ。									では、吾輩は部下を率いて、もう一度、周辺の残敵掃討に行ってくる。「暁」の方々は、アラミゴ解放軍の部隊と合流してくれ。	残敵を蹴散らせ
緒戦の勝ちにも傲らず、油断しない……。これが名将と呼ばれる武人ということか……。									緒戦の勝ちにも傲らず、油断しない……。これが名将と呼ばれる武人ということか……。	残敵を蹴散らせ
よし、それでは我々はカステッルム・ベロジナに向かおう。「コンラッド」殿と合流するんだ。									よし、それでは我々はカステッルム・ベロジナに向かおう。「コンラッド」殿と合流するんだ。	残敵を蹴散らせ
アラミゴ人が築いた石橋を、このように改築して軍事拠点へと造り変えるとは……。帝国の建築技術には驚かされるよ。									アラミゴ人が築いた石橋を、このように改築して軍事拠点へと造り変えるとは……。帝国の建築技術には驚かされるよ。	残敵を蹴散らせ
この橋を確保できたことは、戦局を大きく左右するわ。もう山岳地帯への進軍を阻むものはないんだもの……。									この橋を確保できたことは、戦局を大きく左右するわ。もう山岳地帯への進軍を阻むものはないんだもの……。	残敵を蹴散らせ
アレンヴァルドなら、ピピンたちといっしょに、施設内の見回りに行っているよ。									アレンヴァルドなら、ピピンたちといっしょに、施設内の見回りに行っているよ。	残敵を蹴散らせ
現在、解放軍と同盟軍の兵士たちで、拠点内の最終的な安全確保を行っております！									現在、解放軍と同盟軍の兵士たちで、拠点内の最終的な安全確保を行っております！	残敵を蹴散らせ
手数をかけたの。同盟軍の方も、そう大きな被害はなかったようで、ホッとしたぞい。									手数をかけたの。同盟軍の方も、そう大きな被害はなかったようで、ホッとしたぞい。	残敵を蹴散らせ
あの後、ピピン少闘将の部隊が応援に駆けつけてくれての。今は、制圧した施設の安全確認をしておるところじゃ。同盟軍と「暁」には、感謝が尽きぬのう。									あの後、ピピン少闘将の部隊が応援に駆けつけてくれての。今は、制圧した施設の安全確認をしておるところじゃ。同盟軍と「暁」には、感謝が尽きぬのう。	残敵を蹴散らせ
カステッルム・ベロジナのコンラッドは、何かを待っているようだ。									カステッルム・ベロジナのコンラッドは、何かを待っているようだ。	メ族の里へ
アラミゴ解放軍の衛兵と話す									アラミゴ解放軍の衛兵と話す	メ族の里へ
リセと話す									リセと話す	メ族の里へ
メ・ナーゴと話す									メ・ナーゴと話す	メ族の里へ
アラミゴ人が築いた石橋を、このように改築して軍事拠点へと造り変えるとは……。帝国の建築技術には驚かされるよ。									アラミゴ人が築いた石橋を、このように改築して軍事拠点へと造り変えるとは……。帝国の建築技術には驚かされるよ。	メ族の里へ
この橋を確保できたことは、戦局を大きく左右するわ。もう山岳地帯への進軍を阻むものはないんだもの……。									この橋を確保できたことは、戦局を大きく左右するわ。もう山岳地帯への進軍を阻むものはないんだもの……。	メ族の里へ
アレンヴァルドなら、ピピンたちといっしょに、施設内の見回りに行っているよ。									アレンヴァルドなら、ピピンたちといっしょに、施設内の見回りに行っているよ。	メ族の里へ
現在、解放軍と同盟軍の兵士たちで、最終的な拠点内の安全確保を行っております！									現在、解放軍と同盟軍の兵士たちで、最終的な拠点内の安全確保を行っております！	メ族の里へ
さて、そろそろ施設内の安全確保も、終わる頃合いだと思うのじゃが……。									さて、そろそろ施設内の安全確保も、終わる頃合いだと思うのじゃが……。	メ族の里へ
コンラッド隊長！ピピン少闘将より、施設内の安全を確認したとの連絡が入りました。									コンラッド隊長！ピピン少闘将より、施設内の安全を確認したとの連絡が入りました。	メ族の里へ
うむ、承知した。少闘将には、丁重に礼を言っておくのじゃぞ？									うむ、承知した。少闘将には、丁重に礼を言っておくのじゃぞ？	メ族の里へ
ひとまず安心といったところかしら。ところで、コンラッド隊長……さっきから、メ・ナーゴの姿が見えないようだけど……。									ひとまず安心といったところかしら。ところで、コンラッド隊長……さっきから、メ・ナーゴの姿が見えないようだけど……。	メ族の里へ
ああ、メ・ナーゴなら、グリフィンに乗って川向こうに行きよった。ベロジナ川東岸には、彼女の生まれ故郷でもあるメ族の集落、ピーリングストーンズがあるのじゃよ。									ああ、メ・ナーゴなら、グリフィンに乗って川向こうに行きよった。ベロジナ川東岸には、彼女の生まれ故郷でもあるメ族の集落、ピーリングストーンズがあるのじゃよ。	メ族の里へ
カステッルム・ベロジナから撤退した帝国軍の兵が、村に危害を与えていないか、心配だということでのう。偵察に向かうことを許したというわけじゃ。									カステッルム・ベロジナから撤退した帝国軍の兵が、村に危害を与えていないか、心配だということでのう。偵察に向かうことを許したというわけじゃ。	メ族の里へ
確かに敗残兵となると、何をしでかすかわからない……。ベロジナ大橋が渡れるようになったのであれば、我々も、様子を見に行かないか？									確かに敗残兵となると、何をしでかすかわからない……。ベロジナ大橋が渡れるようになったのであれば、我々も、様子を見に行かないか？	メ族の里へ
賛成！ピーリングストーンズのメ・ナーゴのところに、みんなで行ってみよう！									賛成！ピーリングストーンズのメ・ナーゴのところに、みんなで行ってみよう！	メ族の里へ
橋を渡りたいときには、ゲートの前に立つ、「アラミゴ解放軍の衛兵」に声をかけるといい。向こう側へと案内してくれるじゃろうて。									橋を渡りたいときには、ゲートの前に立つ、「アラミゴ解放軍の衛兵」に声をかけるといい。向こう側へと案内してくれるじゃろうて。	メ族の里へ
アラミゴ解放軍は、引き続き同盟軍と協力して、ギラバニア辺境地帯の確保を進めておく。来たるべき、山岳地帯への進軍に備えてのう。									アラミゴ解放軍は、引き続き同盟軍と協力して、ギラバニア辺境地帯の確保を進めておく。来たるべき、山岳地帯への進軍に備えてのう。	メ族の里へ
ゲートの向こう側へと移動しますか？									ゲートの向こう側へと移動しますか？	メ族の里へ
対岸に移動する？									対岸に移動する？	メ族の里へ
ピーリングストーンズに向かうのか？それなら、俺たちはピピン少闘将の手伝いに回るよ。									ピーリングストーンズに向かうのか？それなら、俺たちはピピン少闘将の手伝いに回るよ。	メ族の里へ
なんでも、怪しげな人影が目撃されたそうでね。ヒューラン族とララフェル族のふたり組らしいんだが……帝国兵の可能性もあるから、これから捜索に向かうそうだ。									なんでも、怪しげな人影が目撃されたそうでね。ヒューラン族とララフェル族のふたり組らしいんだが……帝国兵の可能性もあるから、これから捜索に向かうそうだ。	メ族の里へ
討ち漏らした敗残兵か、あるいは……。									討ち漏らした敗残兵か、あるいは……。	メ族の里へ
何がそんなに気に掛かるってんだ？大方、カステッルム・ベロジナから逃げ出した帝国兵だろ？									何がそんなに気に掛かるってんだ？大方、カステッルム・ベロジナから逃げ出した帝国兵だろ？	メ族の里へ
施設内の安全は確保できた。次は、山岳地帯の街道沿いを押さえるつもりだ。そのあたりの雑務は、我々に任せてくれて構わんよ。									施設内の安全は確保できた。次は、山岳地帯の街道沿いを押さえるつもりだ。そのあたりの雑務は、我々に任せてくれて構わんよ。	メ族の里へ
ええっと、確かピーリングストーンズは、この坂を登ったところにあったはず……。ついて来て！									ええっと、確かピーリングストーンズは、この坂を登ったところにあったはず……。ついて来て！	メ族の里へ
この巨大な岩の上に、集落が築かれているのか……。なるほど、日頃の上り下りは大変そうだが、見通しもよく守りも固めやすそうだね。									この巨大な岩の上に、集落が築かれているのか……。なるほど、日頃の上り下りは大変そうだが、見通しもよく守りも固めやすそうだね。	メ族の里へ
高いところが好きなのは、猫もミコッテ族も同じ……なんて、ヤ・シュトラに言ったら、怒られそうね。									高いところが好きなのは、猫もミコッテ族も同じ……なんて、ヤ・シュトラに言ったら、怒られそうね。	メ族の里へ
ここがピーリングストーンズよ。こんな岩の上に集落があるだなんて思わなかったでしょ？									ここがピーリングストーンズよ。こんな岩の上に集落があるだなんて思わなかったでしょ？	メ族の里へ
さほど騒がしい気配はない。戦いの余波があったようには見えないが……。									さほど騒がしい気配はない。戦いの余波があったようには見えないが……。	メ族の里へ
リセなら、集落が近づいてきた途端、先にメ・ナーゴを探しておくとか言って、走っていったわ。呆れるくらい体力あるんだから……。									リセなら、集落が近づいてきた途端、先にメ・ナーゴを探しておくとか言って、走っていったわ。呆れるくらい体力あるんだから……。	メ族の里へ
ピーリングストーンズのアルフィノは、神降ろしについて思うところがあるようだ。									ピーリングストーンズのアルフィノは、神降ろしについて思うところがあるようだ。	ウィルラの神、カリヤナの神
サリーシャと話す									サリーシャと話す	ウィルラの神、カリヤナの神
ヴァジュラと話す									ヴァジュラと話す	ウィルラの神、カリヤナの神
帝国の存在が、また新たな蛮神を生んだ……。蛮神討滅を国是として掲げる国の行動によって、蛮神が生じるなんて、あまりにも悪い冗談だわ……。									帝国の存在が、また新たな蛮神を生んだ……。蛮神討滅を国是として掲げる国の行動によって、蛮神が生じるなんて、あまりにも悪い冗談だわ……。	ウィルラの神、カリヤナの神
私の故郷のすぐ側で、蛮神が召喚されたなんて……下手をしたら、親族たちがテンパードになっていたかと思うと、ゾッとしてしまいます。									私の故郷のすぐ側で、蛮神が召喚されたなんて……下手をしたら、親族たちがテンパードになっていたかと思うと、ゾッとしてしまいます。	ウィルラの神、カリヤナの神
あのとき、フォルドラを取り逃がしていなければ……！									あのとき、フォルドラを取り逃がしていなければ……！	ウィルラの神、カリヤナの神
シュー……神狩りの英雄とは、お前のことか？すまないが、その力を我らに貸してもらえぬだろうか……。									シュー……神狩りの英雄とは、お前のことか？すまないが、その力を我らに貸してもらえぬだろうか……。	ウィルラの神、カリヤナの神
ラクシュミへの対応についてだが……私としては、まず戦闘を回避できる道がないのかを探りたい。									ラクシュミへの対応についてだが……私としては、まず戦闘を回避できる道がないのかを探りたい。	ウィルラの神、カリヤナの神
私にできることがあるとすれば、話し合いによって、これ以上の無益な戦いを避けることだと思うのだ。									私にできることがあるとすれば、話し合いによって、これ以上の無益な戦いを避けることだと思うのだ。	ウィルラの神、カリヤナの神
それに一言で蛮神といっても、その性質は様々だからね。積極的に攻勢に出る武神ラーヴァナのような存在から、専守防衛型の雷神ラムウといった例もある。									それに一言で蛮神といっても、その性質は様々だからね。積極的に攻勢に出る武神ラーヴァナのような存在から、専守防衛型の雷神ラムウといった例もある。	ウィルラの神、カリヤナの神
そこで、まずはカリヤナ派のアナンタ族が召喚したという、ラクシュミという神について、詳しく知る必要があると思うんだ。									そこで、まずはカリヤナ派のアナンタ族が召喚したという、ラクシュミという神について、詳しく知る必要があると思うんだ。	ウィルラの神、カリヤナの神
シュー……ならば、ここより北に向かった先にある、我らウィルラ派の巣、「ウィルラ・ニリヤ」に招待しよう。我らが指導者、姉妹「サリーシャ」に会うといい。									シュー……ならば、ここより北に向かった先にある、我らウィルラ派の巣、「ウィルラ・ニリヤ」に招待しよう。我らが指導者、姉妹「サリーシャ」に会うといい。	ウィルラの神、カリヤナの神
わかったわ。それじゃ、悪いけどメ・ナーゴは、この状況について、解放軍と同盟軍に報せておいてちょうだい。									わかったわ。それじゃ、悪いけどメ・ナーゴは、この状況について、解放軍と同盟軍に報せておいてちょうだい。	ウィルラの神、カリヤナの神
了解です！みなさん、どうかお気を付けて！									了解です！みなさん、どうかお気を付けて！	ウィルラの神、カリヤナの神
コンラッド隊長を通じて、エオルゼア同盟軍にも蛮神召喚の一報を伝えておきます！どうかお気を付けて！									コンラッド隊長を通じて、エオルゼア同盟軍にも蛮神召喚の一報を伝えておきます！どうかお気を付けて！	ウィルラの神、カリヤナの神
シュー……ヒトの子がこれほど大勢、訪れるとは、珍しいこともあったものですね。もしや、そなたらが……？									シュー……ヒトの子がこれほど大勢、訪れるとは、珍しいこともあったものですね。もしや、そなたらが……？	ウィルラの神、カリヤナの神
ウィルラ派の指導者、サリーシャ様ですね？私たちは「暁の血盟」という組織に属す者です。									ウィルラ派の指導者、サリーシャ様ですね？私たちは「暁の血盟」という組織に属す者です。	ウィルラの神、カリヤナの神
美神ラクシュミの召喚について聞き及び、まずは、いかなる神なのかを学ぶ必要があろうと、こうして出むいたのです。									美神ラクシュミの召喚について聞き及び、まずは、いかなる神なのかを学ぶ必要があろうと、こうして出むいたのです。	ウィルラの神、カリヤナの神
シュー……わかりました、お話ししましょう。美神ラクシュミとは、我らアナンタ族を創りたもうた神です……。									シュー……わかりました、お話ししましょう。美神ラクシュミとは、我らアナンタ族を創りたもうた神です……。	ウィルラの神、カリヤナの神
美神はアナンタ族の創造にあたり、美の力で美しき鱗を与え、豊穣の力で女のみで子を宿す方法を与え、そして、癒しの力で類い希な生命力を与えました。									美神はアナンタ族の創造にあたり、美の力で美しき鱗を与え、豊穣の力で女のみで子を宿す方法を与え、そして、癒しの力で類い希な生命力を与えました。	ウィルラの神、カリヤナの神
カリヤナの族長が、娘の復活を願い、神降ろしに手を染めた理由は、この癒しの力を期待してのことか。その点を考えると、好戦的な蛮神とは思えないが……。									カリヤナの族長が、娘の復活を願い、神降ろしに手を染めた理由は、この癒しの力を期待してのことか。その点を考えると、好戦的な蛮神とは思えないが……。	ウィルラの神、カリヤナの神
そう判断するのは早計よ。蛮神は、召喚した者たちの信仰と願いを色濃く反映する。一般的な神話より、カリヤナ派が考えるラクシュミ像が重要なのよ。									そう判断するのは早計よ。蛮神は、召喚した者たちの信仰と願いを色濃く反映する。一般的な神話より、カリヤナ派が考えるラクシュミ像が重要なのよ。	ウィルラの神、カリヤナの神
シュー……確かにカリヤナ派とウィルラ派では、美神に対する考え方は、明確に異なっています。									シュー……確かにカリヤナ派とウィルラ派では、美神に対する考え方は、明確に異なっています。	ウィルラの神、カリヤナの神
美神は、束縛を嫌い自由を好む気質を有す……。ゆえに我らウィルラ派は自由を重んじ、たとえ犠牲を伴おうとも、解放軍とともに、帝国の支配に抗うことを決めたのです。									美神は、束縛を嫌い自由を好む気質を有す……。ゆえに我らウィルラ派は自由を重んじ、たとえ犠牲を伴おうとも、解放軍とともに、帝国の支配に抗うことを決めたのです。	ウィルラの神、カリヤナの神
対してカリヤナ派は美神を称えるため、美を追求すべきと主張し、心写すクリスタルの装飾具を造り、着飾ることにのみ執着しました。帝国の支配を甘んじて受け入れたのも、そのためでしょう。									対してカリヤナ派は美神を称えるため、美を追求すべきと主張し、心写すクリスタルの装飾具を造り、着飾ることにのみ執着しました。帝国の支配を甘んじて受け入れたのも、そのためでしょう。	ウィルラの神、カリヤナの神
辛く厳しい現実から目を背け、圧力を強める帝国に抗うことなく、大切な娘すら差し出して、ただひたすらに装飾具を磨き続ける。それがカリヤナ派の生き方なのです……。									辛く厳しい現実から目を背け、圧力を強める帝国に抗うことなく、大切な娘すら差し出して、ただひたすらに装飾具を磨き続ける。それがカリヤナ派の生き方なのです……。	ウィルラの神、カリヤナの神
そんな内向きで、現実から逃げる者たちが神降ろしをしたら、辛い現実で傷ついた心を、癒やすだけの蛮神になるでしょうね。									そんな内向きで、現実から逃げる者たちが神降ろしをしたら、辛い現実で傷ついた心を、癒やすだけの蛮神になるでしょうね。	ウィルラの神、カリヤナの神
これまでに、たくさんの人を見てきた。何かにすがらなければ生きていけない人も……。でも、それじゃあ、現実は変わらない！									これまでに、たくさんの人を見てきた。何かにすがらなければ生きていけない人も……。でも、それじゃあ、現実は変わらない！	ウィルラの神、カリヤナの神
そうね……リセの言うとおりよ。でも、蛮神なら信徒をテンパードにすることで、甘い夢だけを見続けさせることもできるでしょうね……。									そうね……リセの言うとおりよ。でも、蛮神なら信徒をテンパードにすることで、甘い夢だけを見続けさせることもできるでしょうね……。	ウィルラの神、カリヤナの神
その前に、彼女たちを止めなくちゃ……！									その前に、彼女たちを止めなくちゃ……！	ウィルラの神、カリヤナの神
シュー……思想を異にするとはいえ、カリヤナ派も同胞ではある。ヒトの子よ、助力を頼めるだろうか？									シュー……思想を異にするとはいえ、カリヤナ派も同胞ではある。ヒトの子よ、助力を頼めるだろうか？	ウィルラの神、カリヤナの神
ウィルラ派に助力する？									ウィルラ派に助力する？	ウィルラの神、カリヤナの神
任せておけ！									任せておけ！	ウィルラの神、カリヤナの神
場合によっては、ラクシュミを倒す									場合によっては、ラクシュミを倒す	ウィルラの神、カリヤナの神
シュー……その言葉に心よりの感謝を……。これも我らが尊ぶ自由のため、我らも協力を惜しむつもりはない。									シュー……その言葉に心よりの感謝を……。これも我らが尊ぶ自由のため、我らも協力を惜しむつもりはない。	ウィルラの神、カリヤナの神
シュー……神が祈りと願いにより、姿を変えるというなら、そのような偽りの神に、我らはすがるつもりはない。									シュー……神が祈りと願いにより、姿を変えるというなら、そのような偽りの神に、我らはすがるつもりはない。	ウィルラの神、カリヤナの神
神に祈ったって、死んだ肉親は戻らない……。ガ・ブのときのような思いは、二度とごめんだわ。									神に祈ったって、死んだ肉親は戻らない……。ガ・ブのときのような思いは、二度とごめんだわ。	ウィルラの神、カリヤナの神
よし、行こう……！美神ラクシュミの下へ！									よし、行こう……！美神ラクシュミの下へ！	ウィルラの神、カリヤナの神
シュー……なれば、ウィルラの闘士、姉妹「ヴァジュラ」を案内役として同行させましょう。そなたらの献身に、心より感謝します。									シュー……なれば、ウィルラの闘士、姉妹「ヴァジュラ」を案内役として同行させましょう。そなたらの献身に、心より感謝します。	ウィルラの神、カリヤナの神
ガ・ブのことを思い出すと、どうしても……ね。									ガ・ブのことを思い出すと、どうしても……ね。	ウィルラの神、カリヤナの神
死した娘の復活を願ったカリヤナの族長、そして、死した両親との再会を願ったガ・ブ……。今回の件は、どこかオ・ゴモロでの事件を思い起こさせる。									死した娘の復活を願ったカリヤナの族長、そして、死した両親との再会を願ったガ・ブ……。今回の件は、どこかオ・ゴモロでの事件を思い起こさせる。	ウィルラの神、カリヤナの神
アリゼーの熱い気持ち、アタシにも伝わってきたからさ、自然と気合も入っちゃうよね。									アリゼーの熱い気持ち、アタシにも伝わってきたからさ、自然と気合も入っちゃうよね。	ウィルラの神、カリヤナの神
シュー……ウィルラの闘士、姉妹「ヴァジュラ」を案内役として同行させましょう。そなたらの献身に、心より感謝します。									シュー……ウィルラの闘士、姉妹「ヴァジュラ」を案内役として同行させましょう。そなたらの献身に、心より感謝します。	ウィルラの神、カリヤナの神
シュー……我らの願いを聞き届けてくれたこと感謝する。自己紹介が遅れたが、我が名は「ヴァジュラ」。輝ける硬き石の名を持つ者だ。									シュー……我らの願いを聞き届けてくれたこと感謝する。自己紹介が遅れたが、我が名は「ヴァジュラ」。輝ける硬き石の名を持つ者だ。	ウィルラの神、カリヤナの神
こちらは、すぐにでも出発できる。カリヤナ派の拠点に行きたいのなら、いつでも声をかけてくれ。									こちらは、すぐにでも出発できる。カリヤナ派の拠点に行きたいのなら、いつでも声をかけてくれ。	ウィルラの神、カリヤナの神
ウィルラ・ニリヤのヴァジュラは、戦いの準備ができるのを待っている。									ウィルラ・ニリヤのヴァジュラは、戦いの準備ができるのを待っている。	美神ラクシュミ
カステッルム・ベロジナを越え、ピーリングストーンズを訪れた冒険者たちのもとに、アナンタ族のカリヤナ派が神降ろしをしたという報せが届けられた。「暁」の仲間や、ウィルラ派のアナンタ族の協力を受け、これに対応することになった。ギラバニア辺境地帯のサトヤ・マガにいる「ヴァジュラ」と話そう。									カステッルム・ベロジナを越え、ピーリングストーンズを訪れた冒険者たちのもとに、アナンタ族のカリヤナ派が神降ろしをしたという報せが届けられた。「暁」の仲間や、ウィルラ派のアナンタ族の協力を受け、これに対応することになった。ギラバニア辺境地帯のサトヤ・マガにいる「ヴァジュラ」と話そう。	美神ラクシュミ
ヴァジュラから、地下神殿への行き方を教えてもらった。ギラバニア辺境地帯のジャナン・カットにある「ジャナン・エーテライト」と交感しよう。									ヴァジュラから、地下神殿への行き方を教えてもらった。ギラバニア辺境地帯のジャナン・カットにある「ジャナン・エーテライト」と交感しよう。	美神ラクシュミ
ジャナン・エーテライトと交感した。さっそく、美神の地下神殿のジャナン・カット地下祭壇へ向かおう。									ジャナン・エーテライトと交感した。さっそく、美神の地下神殿のジャナン・カット地下祭壇へ向かおう。	美神ラクシュミ
美神「ラクシュミ」と言葉を交わした。ジャナン・カット地下祭壇の「アリゼー」と話そう。									美神「ラクシュミ」と言葉を交わした。ジャナン・カット地下祭壇の「アリゼー」と話そう。	美神ラクシュミ
アリゼーから想いを託された。美神「ラクシュミ」を討伐し、悲しみの連鎖を断ち切ろう！※コンテンツファインダーから攻略に参加できます。									アリゼーから想いを託された。美神「ラクシュミ」を討伐し、悲しみの連鎖を断ち切ろう！※コンテンツファインダーから攻略に参加できます。	美神ラクシュミ
ラクシュミに勝利した。ギラバニア辺境地帯に戻り、皆と合流しよう。									ラクシュミに勝利した。ギラバニア辺境地帯に戻り、皆と合流しよう。	美神ラクシュミ
カリヤナ派に追い出されるように、地下神殿を後にした。サトヤ・マガの「リセ」と話そう。									カリヤナ派に追い出されるように、地下神殿を後にした。サトヤ・マガの「リセ」と話そう。	美神ラクシュミ
リセと話した。カリヤナ派と完全に和解することができたわけではないが、しばらくの間、ウィルラ派の安全は確保されただろう。カリヤナ派とも、いつか理解しあえる日がくるのだろうか……。									リセと話した。カリヤナ派と完全に和解することができたわけではないが、しばらくの間、ウィルラ派の安全は確保されただろう。カリヤナ派とも、いつか理解しあえる日がくるのだろうか……。	美神ラクシュミ
ヴァジュラと話す									ヴァジュラと話す	美神ラクシュミ
ジャナン・エーテライトと交感									ジャナン・エーテライトと交感	美神ラクシュミ
アリゼーと話す									アリゼーと話す	美神ラクシュミ
蛮神「ラクシュミ」を討伐									蛮神「ラクシュミ」を討伐	美神ラクシュミ
リセと話す									リセと話す	美神ラクシュミ
ガ・ブのことを思い出すと、どうしても……ね。									ガ・ブのことを思い出すと、どうしても……ね。	美神ラクシュミ
死した娘の復活を願ったカリヤナの族長、そして、死した両親との再会を願ったガ・ブ……。今回の件は、どこかオ・ゴモロでの事件を思い起こさせる。									死した娘の復活を願ったカリヤナの族長、そして、死した両親との再会を願ったガ・ブ……。今回の件は、どこかオ・ゴモロでの事件を思い起こさせる。	美神ラクシュミ
アリゼーの熱い気持ち、アタシにも伝わってきたからさ、自然と気合も入っちゃうよね。									アリゼーの熱い気持ち、アタシにも伝わってきたからさ、自然と気合も入っちゃうよね。	美神ラクシュミ
シュー……どうやら準備は万端のようだな。では、さっそくだが移動を始めよう。									シュー……どうやら準備は万端のようだな。では、さっそくだが移動を始めよう。	美神ラクシュミ
美神ラクシュミを奉ずる地下神殿は、カリヤナ派の城、「ジャナン・カット」の内部にある。そこに至る道筋を案内しよう……。									美神ラクシュミを奉ずる地下神殿は、カリヤナ派の城、「ジャナン・カット」の内部にある。そこに至る道筋を案内しよう……。	美神ラクシュミ
ここまでは、すんなり接近できたわね。順調に進んできていると信じたいところだけど……。									ここまでは、すんなり接近できたわね。順調に進んできていると信じたいところだけど……。	美神ラクシュミ
なるべくなら、アナンタ族との交戦は避けたいところだ。あくまでも今回の目的は、蛮神への対処だけなのだから……。									なるべくなら、アナンタ族との交戦は避けたいところだ。あくまでも今回の目的は、蛮神への対処だけなのだから……。	美神ラクシュミ
アルフィノとアリゼーのフォローなら任せて。あなたには、ラクシュミとの戦いに備えて、できるだけ体力を温存してもらいたいからさ。									アルフィノとアリゼーのフォローなら任せて。あなたには、ラクシュミとの戦いに備えて、できるだけ体力を温存してもらいたいからさ。	美神ラクシュミ
シュー……このまま東へ進むと、高台の上に建つ大きな建物が見えてくる。それこそが、目的のジャナン・カットだ。									シュー……このまま東へ進むと、高台の上に建つ大きな建物が見えてくる。それこそが、目的のジャナン・カットだ。	美神ラクシュミ
地下神殿に向かうには、入口に据えられたエーテライトを利用するといい。ヒトの子であっても、使うことができるだろう。									地下神殿に向かうには、入口に据えられたエーテライトを利用するといい。ヒトの子であっても、使うことができるだろう。	美神ラクシュミ
了解だ、案内に感謝する。それでは、みんな……ジャナン・カットまで一気に接近し、「ジャナン・エーテライト」を使って突入するぞ！									了解だ、案内に感謝する。それでは、みんな……ジャナン・カットまで一気に接近し、「ジャナン・エーテライト」を使って突入するぞ！	美神ラクシュミ
地下神殿に向かうには、入口に据えられたエーテライトを利用するといい。ヒトの子であっても、使うことができるだろう。									地下神殿に向かうには、入口に据えられたエーテライトを利用するといい。ヒトの子であっても、使うことができるだろう。	美神ラクシュミ
アリゼーが飛び出したときには、どうなるものかと、肝を冷やしたよ。君のおかげで助かった……ありがとう。									アリゼーが飛び出したときには、どうなるものかと、肝を冷やしたよ。君のおかげで助かった……ありがとう。	美神ラクシュミ
アタシたちがテンパードにされずに済む方法ってないのかな。それがあれば、あなたと一緒に思いっきり戦えるのに！									アタシたちがテンパードにされずに済む方法ってないのかな。それがあれば、あなたと一緒に思いっきり戦えるのに！	美神ラクシュミ
ごめんなさい、無茶なことをして……。それでも、どうしても、カリヤナの族長に、蛮神に頼ることを止めてほしいと、伝えたかったのよ。									ごめんなさい、無茶なことをして……。それでも、どうしても、カリヤナの族長に、蛮神に頼ることを止めてほしいと、伝えたかったのよ。	美神ラクシュミ
でも……悔しいけど、私の言葉は届かなかった。カリヤナの族長の心を変えることはできなかった……。									でも……悔しいけど、私の言葉は届かなかった。カリヤナの族長の心を変えることはできなかった……。	美神ラクシュミ
何と言う？									何と言う？	美神ラクシュミ
アリゼー、任せておけ！									アリゼー、任せておけ！	美神ラクシュミ
アリゼーの言葉は正しい！									アリゼーの言葉は正しい！	美神ラクシュミ
結局、蛮神は討滅するしかない									結局、蛮神は討滅するしかない	美神ラクシュミ
Forename……ありがとう……。									Forename……ありがとう……。	美神ラクシュミ
Forename……ありがとう……。でも、結局はあなたの力に頼ることになってしまった……。									Forename……ありがとう……。でも、結局はあなたの力に頼ることになってしまった……。	美神ラクシュミ
