石の家のタタルは、冒険者に聞きたいことがあるようだ。									石の家のタタルは、冒険者に聞きたいことがあるようだ。	生命力の揺らぎ
ああ、パンはあとでゆっくりいただこう。私の記憶が確かなら、話しながら食べたが最後、まず間違いなく喉を詰まらせるからな……これ……。									ああ、パンはあとでゆっくりいただこう。私の記憶が確かなら、話しながら食べたが最後、まず間違いなく喉を詰まらせるからな……これ……。	此方と彼方
これから、改良したソウル・サイフォンに、記憶継承術が組み込めるかを試す。もうしばらく、時間をくれ……。									これから、改良したソウル・サイフォンに、記憶継承術が組み込めるかを試す。もうしばらく、時間をくれ……。	此方と彼方
おぬしは、仲間たちに手を貸してやるがいい。もしこの実験が成功して、ソウル・サイフォンができても、気がかりを残したままでは帰りにくかろうからな！									おぬしは、仲間たちに手を貸してやるがいい。もしこの実験が成功して、ソウル・サイフォンができても、気がかりを残したままでは帰りにくかろうからな！	此方と彼方
……昔ね、アリゼーに「物分かりが良いフリしてる」と、泣きながら怒られたことがあったんだ。お祖父様がエオルゼアに発つことが決まったときだったかな。									……昔ね、アリゼーに「物分かりが良いフリしてる」と、泣きながら怒られたことがあったんだ。お祖父様がエオルゼアに発つことが決まったときだったかな。	此方と彼方
私には、糾弾される側の気持ちもよくわかるから、彼女の憤りに賛同はしない。ただ……あのときよりは、彼女の気持ちがわかるよ。									私には、糾弾される側の気持ちもよくわかるから、彼女の憤りに賛同はしない。ただ……あのときよりは、彼女の気持ちがわかるよ。	此方と彼方
……悪かったわね、勝手に飛び出して。わかってるわよ、私の考えが子どもっぽいだけだって。あー……もー……切り替えてかないと！									……悪かったわね、勝手に飛び出して。わかってるわよ、私の考えが子どもっぽいだけだって。あー……もー……切り替えてかないと！	此方と彼方
個人的には、水晶公に賛同してやりたいところだがな。何を押してでもやらなきゃならないことはあるし、そういうものがある人生こそ……悪くないと俺は思う。									個人的には、水晶公に賛同してやりたいところだがな。何を押してでもやらなきゃならないことはあるし、そういうものがある人生こそ……悪くないと俺は思う。	此方と彼方
ソウル・サイフォンが完成したら、私とみなさんは、もう…………									ソウル・サイフォンが完成したら、私とみなさんは、もう…………	此方と彼方
いえ、何よりもまず、みなさんに無事でいてもらわないと。……水晶公たちの実験、成功するといいですね。									いえ、何よりもまず、みなさんに無事でいてもらわないと。……水晶公たちの実験、成功するといいですね。	此方と彼方
Forenameさん……水晶公を原初世界に連れ帰る可能性について、もう少しだけ、あなたにお話ししておきたいと思います。									Forenameさん……水晶公を原初世界に連れ帰る可能性について、もう少しだけ、あなたにお話ししておきたいと思います。	此方と彼方
彼自身はあのように語っていましたが、長年にわたり魂を研究してきたベーク＝ラグ殿によれば、ある程度は結果の予測がつくそうなのです。									彼自身はあのように語っていましたが、長年にわたり魂を研究してきたベーク＝ラグ殿によれば、ある程度は結果の予測がつくそうなのです。	此方と彼方
原初世界で眠るグ・ラハ・ティアと水晶公が、同一の存在であればこそ……双方の魂は重なり、きちんと同化を果たすでしょう。									原初世界で眠るグ・ラハ・ティアと水晶公が、同一の存在であればこそ……双方の魂は重なり、きちんと同化を果たすでしょう。	此方と彼方
無論、水晶公は第八霊災の先を生きたお方……エーテルの統合にともなう影響を受けているでしょうから、懸念がないわけではありません……。									無論、水晶公は第八霊災の先を生きたお方……エーテルの統合にともなう影響を受けているでしょうから、懸念がないわけではありません……。	此方と彼方
それでも、あなたとアルバートがそうであったように、性質の近い魂同士は、親和性が非常に高い。それを思えば、成功の確率は高いと言えるでしょう。									それでも、あなたとアルバートがそうであったように、性質の近い魂同士は、親和性が非常に高い。それを思えば、成功の確率は高いと言えるでしょう。	此方と彼方
……ただし、それを遂げるには、ひとつだけ条件があります。									……ただし、それを遂げるには、ひとつだけ条件があります。	此方と彼方
水晶公自身が、原初世界で眠るグ・ラハ・ティアを、「自分である」と自覚できるかということです。									水晶公自身が、原初世界で眠るグ・ラハ・ティアを、「自分である」と自覚できるかということです。	此方と彼方
魂は、記憶や想いと深く結びついています。水晶公が己とグ・ラハ・ティアをわけて考えていると、近くまで魂を運んでいったとて、身体に入ることはない……。									魂は、記憶や想いと深く結びついています。水晶公が己とグ・ラハ・ティアをわけて考えていると、近くまで魂を運んでいったとて、身体に入ることはない……。	此方と彼方
これは、単純なようで難解な問題です。彼は100年近くもの間、世界を……あなたを救いたい一心で、名を捨て去り、水晶公として生きてきたのですから……。									これは、単純なようで難解な問題です。彼は100年近くもの間、世界を……あなたを救いたい一心で、名を捨て去り、水晶公として生きてきたのですから……。	此方と彼方
彼がこの先、何を良しとし、何を選ぶのかはわかりません。ただ……ほかでもないあなたには、この事実を、知っておいていただきたいのです。									彼がこの先、何を良しとし、何を選ぶのかはわかりません。ただ……ほかでもないあなたには、この事実を、知っておいていただきたいのです。	此方と彼方
エクセドラ大広場のサンクレッドは、行動を開始するようだ。									エクセドラ大広場のサンクレッドは、行動を開始するようだ。	色あせた記憶
サンクレッドから、ヤ・シュトラに合流するように頼まれた。コルシア島のヴェンモント造船所にいる「手空きの造船師」と話そう。									サンクレッドから、ヤ・シュトラに合流するように頼まれた。コルシア島のヴェンモント造船所にいる「手空きの造船師」と話そう。	色あせた記憶
アニドラスのある海域に船を出してもらえることになった。一度外に出た場合は、ヴェンモント造船所にいる「手空きの造船師」が、再び船を出してくれるようだ。									アニドラスのある海域に船を出してもらえることになった。一度外に出た場合は、ヴェンモント造船所にいる「手空きの造船師」が、再び船を出してくれるようだ。	色あせた記憶
ヤ・シュトラを見つけたが、連れ去られてしまった。ノエシスの間にある「エーテルの奔流」を調べ、エリディブスの誘いに乗ろう。									ヤ・シュトラを見つけたが、連れ去られてしまった。ノエシスの間にある「エーテルの奔流」を調べ、エリディブスの誘いに乗ろう。	色あせた記憶
エリディブスに実力を示した。アーモロートで、ヤ・シュトラとの再会を試みよう。									エリディブスに実力を示した。アーモロートで、ヤ・シュトラとの再会を試みよう。	色あせた記憶
ヤ・シュトラと再会し、エリディブスの正体を知った。カピトル議事堂の「ヤ・シュトラ」と話そう。									ヤ・シュトラと再会し、エリディブスの正体を知った。カピトル議事堂の「ヤ・シュトラ」と話そう。	色あせた記憶
ヤ・シュトラと話した。彼女はアニドラスに置いてきた荷物を取りに行くそうだ。									ヤ・シュトラと話した。彼女はアニドラスに置いてきた荷物を取りに行くそうだ。	色あせた記憶
ヴェンモント造船場の手空きの造船師と話す									ヴェンモント造船場の手空きの造船師と話す	色あせた記憶
エーテルの奔流を調べる									エーテルの奔流を調べる	色あせた記憶
ヤ・シュトラと話す									ヤ・シュトラと話す	色あせた記憶
……昔ね、アリゼーに「物分かりが良いフリしてる」と、泣きながら怒られたことがあったんだ。お祖父様がエオルゼアに発つことが決まったときだったかな。									……昔ね、アリゼーに「物分かりが良いフリしてる」と、泣きながら怒られたことがあったんだ。お祖父様がエオルゼアに発つことが決まったときだったかな。	色あせた記憶
私には、糾弾される側の気持ちもよくわかるから、彼女の憤りに賛同はしない。ただ……あのときよりは、彼女の気持ちがわかるよ。									私には、糾弾される側の気持ちもよくわかるから、彼女の憤りに賛同はしない。ただ……あのときよりは、彼女の気持ちがわかるよ。	色あせた記憶
……悪かったわね、勝手に飛び出して。わかってるわよ、私の考えが子どもっぽいだけだって。あー……もー……切り替えてかないと！									……悪かったわね、勝手に飛び出して。わかってるわよ、私の考えが子どもっぽいだけだって。あー……もー……切り替えてかないと！	色あせた記憶
ソウル・サイフォンが完成したら、私とみなさんは、もう…………									ソウル・サイフォンが完成したら、私とみなさんは、もう…………	色あせた記憶
いえ、何よりもまず、みなさんに無事でいてもらわないと。……水晶公たちの実験、成功するといいですね。									いえ、何よりもまず、みなさんに無事でいてもらわないと。……水晶公たちの実験、成功するといいですね。	色あせた記憶
さきほどの話は、無論、水晶公ご自身も知っています。その上であのように煙に巻いたのは、今は議論のときでないと判じたからか、あるいは……。									さきほどの話は、無論、水晶公ご自身も知っています。その上であのように煙に巻いたのは、今は議論のときでないと判じたからか、あるいは……。	色あせた記憶
さて……。水晶公が、文字どおり心血を注いでくれてるんだ。俺たちも、気がかりを残さず帰れるよう、やれることをやるぞ。									さて……。水晶公が、文字どおり心血を注いでくれてるんだ。俺たちも、気がかりを残さず帰れるよう、やれることをやるぞ。	色あせた記憶
アシエン・エリディブスへの対処だね。差し当たっては、彼が差し向けているであろう、手下たちの排除になるか……。									アシエン・エリディブスへの対処だね。差し当たっては、彼が差し向けているであろう、手下たちの排除になるか……。	色あせた記憶
ああ、そのとおりだ。加えてもうひとつ、済ませておきたいことがある。									ああ、そのとおりだ。加えてもうひとつ、済ませておきたいことがある。	色あせた記憶
Forename、アニドラスに向かって、ひとり調査を続けてるはずのヤ・シュトラと、合流してくれないか？									Forename、アニドラスに向かって、ひとり調査を続けてるはずのヤ・シュトラと、合流してくれないか？	色あせた記憶
彼女にも身体の異変が起きている可能性があるからな……。俺が行ってもいいが、最悪、共倒れになりかねない。									彼女にも身体の異変が起きている可能性があるからな……。俺が行ってもいいが、最悪、共倒れになりかねない。	色あせた記憶
悪いな、彼女のことは任せたぞ。その間に、俺たちで黒仮面たちを排除しておく。									悪いな、彼女のことは任せたぞ。その間に、俺たちで黒仮面たちを排除しておく。	色あせた記憶
事が済み次第、ユールモアに向かうとしよう。お前とヤ・シュトラも、キリのいいところでそうしてくれ。									事が済み次第、ユールモアに向かうとしよう。お前とヤ・シュトラも、キリのいいところでそうしてくれ。	色あせた記憶
そういうことなら、まずはコルシア島のヴェンモント造船所に行くといい。頼めば、アニドラスのある海域まで船を出してくれるはずだ。									そういうことなら、まずはコルシア島のヴェンモント造船所に行くといい。頼めば、アニドラスのある海域まで船を出してくれるはずだ。	色あせた記憶
それじゃ、行動開始だ。互いに無事で戻るとしよう。									それじゃ、行動開始だ。互いに無事で戻るとしよう。	色あせた記憶
何と言う？									何と言う？	色あせた記憶
出発の前に、渡すものがある									出発の前に、渡すものがある	色あせた記憶
預かったお土産を配達するクポ									預かったお土産を配達するクポ	色あせた記憶
タタルからの小包……？中身はなんだ？									タタルからの小包……？中身はなんだ？	色あせた記憶
……勤勉な配達士だな。タタルからの小包……中身はなんだ？									……勤勉な配達士だな。タタルからの小包……中身はなんだ？	色あせた記憶
ほう、賢人パンですか。確かに……大変懐かしい品ですね。									ほう、賢人パンですか。確かに……大変懐かしい品ですね。	色あせた記憶
それって、どんなパンなんですか……？よければ私も、ひとくち食べてみたいです……！									それって、どんなパンなんですか……？よければ私も、ひとくち食べてみたいです……！	色あせた記憶
ええ、もちろん結構ですよ。味の方は……私は、悪くないと思いますが。									ええ、もちろん結構ですよ。味の方は……私は、悪くないと思いますが。	色あせた記憶
……過度な期待はするなよ。									……過度な期待はするなよ。	色あせた記憶
我が家の食卓にはあまり並ばなかったが、もちろん、よく知っているとも。魔法大学の友人たちが、毎日のように食べていて……									我が家の食卓にはあまり並ばなかったが、もちろん、よく知っているとも。魔法大学の友人たちが、毎日のように食べていて……	色あせた記憶
待ちなさいアルフィノ。私が言うのもなんだけど、それ以上は、全学生の不興を買う気がするわ……。									待ちなさいアルフィノ。私が言うのもなんだけど、それ以上は、全学生の不興を買う気がするわ……。	色あせた記憶
ともかく、タタルの好意はしっかり受け取った。あいつがさらに内職を増やす前に、全員で、無事に帰ってやらないとな。									ともかく、タタルの好意はしっかり受け取った。あいつがさらに内職を増やす前に、全員で、無事に帰ってやらないとな。	色あせた記憶
それじゃ、今度こそ出発ね。途中、どこかで飲み物も調達しましょ。									それじゃ、今度こそ出発ね。途中、どこかで飲み物も調達しましょ。	色あせた記憶
おっ、噂の「闇の戦士」さまじゃねぇか！どうした、何か入用か？									おっ、噂の「闇の戦士」さまじゃねぇか！どうした、何か入用か？	色あせた記憶
ふむふむ、船を出してほしいってわけか。ほかならぬアンタの頼みだ、協力するぜ！									ふむふむ、船を出してほしいってわけか。ほかならぬアンタの頼みだ、協力するぜ！	色あせた記憶
「アニドラス」に移動しますか？									「アニドラス」に移動しますか？	色あせた記憶
どうした？また船を出してほしいのか？									どうした？また船を出してほしいのか？	色あせた記憶
ようこそ……我が同胞の遺せし、幻影の都へ。									ようこそ……我が同胞の遺せし、幻影の都へ。	色あせた記憶
君への課題はシンプルだ。私が用意する敵を打倒し、カピトル議事堂を目指せ。そこで、預かっている彼女を返還しよう。									君への課題はシンプルだ。私が用意する敵を打倒し、カピトル議事堂を目指せ。そこで、預かっている彼女を返還しよう。	色あせた記憶
何と言う？									何と言う？	色あせた記憶
いい加減にしろ……！									いい加減にしろ……！	色あせた記憶
お前にはうんざりだ									お前にはうんざりだ	色あせた記憶
……わからないな。君たちは何故、私に失望したような口ぶりで語る？									……わからないな。君たちは何故、私に失望したような口ぶりで語る？	色あせた記憶
私たちは……なりそこないの人と、アシエンは……最初から今まで、理想を異にする敵同士。向かい合えば、刺し合うだけの間柄だ。									私たちは……なりそこないの人と、アシエンは……最初から今まで、理想を異にする敵同士。向かい合えば、刺し合うだけの間柄だ。	色あせた記憶
それとも……理解を示したフリをして、仮初めの同情を抱くことで、己のしたことを肯定したいのか？									それとも……理解を示したフリをして、仮初めの同情を抱くことで、己のしたことを肯定したいのか？	色あせた記憶
私たちの英雄を屠り……私たちの未来を踏みにじり……この場所を、永遠に戻らない藻屑としようとしていることを。									私たちの英雄を屠り……私たちの未来を踏みにじり……この場所を、永遠に戻らない藻屑としようとしていることを。	色あせた記憶
だったら、この課題も趣向を変えるとしよう。……お前の奪ったものを、思い知れ。									だったら、この課題も趣向を変えるとしよう。……お前の奪ったものを、思い知れ。	色あせた記憶
理解など要るものか。……私はお前を、赦さない。									理解など要るものか。……私はお前を、赦さない。	色あせた記憶
お付き合いいただいて感謝するよ。君の実力は、なかなか底が知れないものでね。									お付き合いいただいて感謝するよ。君の実力は、なかなか底が知れないものでね。	色あせた記憶
ここまでの戦いで、それなりに力を引き出せたのではないかと思うが……エメトセルクを倒したのだ、まさかこの程度ではあるまい？									ここまでの戦いで、それなりに力を引き出せたのではないかと思うが……エメトセルクを倒したのだ、まさかこの程度ではあるまい？	色あせた記憶
ならば、次は直接、君の実力を試させてもらうとしよう。									ならば、次は直接、君の実力を試させてもらうとしよう。	色あせた記憶
この身に刻まれし力を以て……。									この身に刻まれし力を以て……。	色あせた記憶
(-アルバート-)さあ来い……お前の相手は、この俺だッ！									(-アルバート-)さあ来い……お前の相手は、この俺だッ！	色あせた記憶
……ふぅ。起き抜けに、重い駆け引きをさせられたものだわ。									……ふぅ。起き抜けに、重い駆け引きをさせられたものだわ。	色あせた記憶
でも……間違ってはいなかったみたいね。今聞いてもらったことが、私がアニドラスの調査から得た成果よ。									でも……間違ってはいなかったみたいね。今聞いてもらったことが、私がアニドラスの調査から得た成果よ。	色あせた記憶
それで、そちらの近況はどうかしら？あなたが来てくれたということは……。									それで、そちらの近況はどうかしら？あなたが来てくれたということは……。	色あせた記憶
……なるほどね。エリディブスの去り際の言葉も気がかりだし、ともかく地上に出て、ユールモアでみんなと合流しましょう。									……なるほどね。エリディブスの去り際の言葉も気がかりだし、ともかく地上に出て、ユールモアでみんなと合流しましょう。	色あせた記憶
ただ……ごめんなさい、その前に少し時間をもらえるかしら？いかんせん気づいたときにはこの議事堂にいたから、荷物をアニドラスに置いてきてしまったの。									ただ……ごめんなさい、その前に少し時間をもらえるかしら？いかんせん気づいたときにはこの議事堂にいたから、荷物をアニドラスに置いてきてしまったの。	色あせた記憶
あなたがここに招かれたときのエーテルの奔流が、まだ残っているかもしれない。それを辿って、すぐに回収してくるわ。									あなたがここに招かれたときのエーテルの奔流が、まだ残っているかもしれない。それを辿って、すぐに回収してくるわ。	色あせた記憶
カピトル議事堂の床に、見覚えのないクリスタルが落ちている。									カピトル議事堂の床に、見覚えのないクリスタルが落ちている。	黄道航行
星座が刻まれたクリスタルを調べる									星座が刻まれたクリスタルを調べる	黄道航行
星座が刻まれたクリスタルを探す									星座が刻まれたクリスタルを探す	黄道航行
星座が刻まれたクリスタルを再度探す									星座が刻まれたクリスタルを再度探す	黄道航行
星座が刻まれたクリスタルをさらに探す									星座が刻まれたクリスタルをさらに探す	黄道航行
星座が刻まれたクリスタルをもっと探す									星座が刻まれたクリスタルをもっと探す	黄道航行
最後のクリスタルを調べる									最後のクリスタルを調べる	黄道航行
ヤ・シュトラと話す									ヤ・シュトラと話す	黄道航行
見覚えのない、深紅のクリスタルが落ちている。表面に浮かび上がっているのは、星のような光点だ。それぞれが線で結ばれ、星座のようにも見える。									見覚えのない、深紅のクリスタルが落ちている。表面に浮かび上がっているのは、星のような光点だ。それぞれが線で結ばれ、星座のようにも見える。	黄道航行
(-深紅のクリスタルから響く記憶-)……から…………しく……。									(-深紅のクリスタルから響く記憶-)……から…………しく……。	黄道航行
頭の中に、古代人の声に似た音が響いた。クリスタルに封じられている記憶のようだ……。									頭の中に、古代人の声に似た音が響いた。クリスタルに封じられている記憶のようだ……。	黄道航行
少し先にも、同じようなクリスタルがある。ヤ・シュトラを待つ間、調べてみるべきだろうか？									少し先にも、同じようなクリスタルがある。ヤ・シュトラを待つ間、調べてみるべきだろうか？	黄道航行
先ほどと同じ形のクリスタルが3つ、置かれている。色や模様は、それぞれ異なっているようだ。									先ほどと同じ形のクリスタルが3つ、置かれている。色や模様は、それぞれ異なっているようだ。	黄道航行
クリスタルに意識を向けると、今度ははっきりと声が聞こえてくる……。									クリスタルに意識を向けると、今度ははっきりと声が聞こえてくる……。	黄道航行
(-黄金のクリスタルから響く記憶-)……見てごらん。									(-黄金のクリスタルから響く記憶-)……見てごらん。	黄道航行
(-黄金のクリスタルから響く記憶-)地には青々と命が芽吹き、空は風をつれて巡っている。世界は今日も、満ちたりて美しい……。									(-黄金のクリスタルから響く記憶-)地には青々と命が芽吹き、空は風をつれて巡っている。世界は今日も、満ちたりて美しい……。	黄道航行
(-深緑のクリスタルから響く記憶-)善き同胞たちのために、我らの叡智を使いましょう。それは大いなる喜び……かけがえのない誇り……。									(-深緑のクリスタルから響く記憶-)善き同胞たちのために、我らの叡智を使いましょう。それは大いなる喜び……かけがえのない誇り……。	黄道航行
(-銀灰のクリスタルから響く記憶-)ああ、皆に幸せがあり続けますように……。									(-銀灰のクリスタルから響く記憶-)ああ、皆に幸せがあり続けますように……。	黄道航行
このホールには、もうクリスタルはないようだ。念のため、議事堂の外も見てみよう。									このホールには、もうクリスタルはないようだ。念のため、議事堂の外も見てみよう。	黄道航行
さらに2つのクリスタルを見つけた。									さらに2つのクリスタルを見つけた。	黄道航行
意識を向けると、また別の声が聞こえてくる……。									意識を向けると、また別の声が聞こえてくる……。	黄道航行
(-萌黄のクリスタルから響く記憶-)……空が燃え、恐るべき終末がやってきた。何故……どうして……生命は在ることさえ許されないの……？									(-萌黄のクリスタルから響く記憶-)……空が燃え、恐るべき終末がやってきた。何故……どうして……生命は在ることさえ許されないの……？	黄道航行
(-淡紫のクリスタルから響く記憶-)それでも私たちは、この星に根差して生きる者。探そう、未来への希望を……。									(-淡紫のクリスタルから響く記憶-)それでも私たちは、この星に根差して生きる者。探そう、未来への希望を……。	黄道航行
ほかにもまだ、クリスタルがあるかもしれない。もう少し探してみよう。									ほかにもまだ、クリスタルがあるかもしれない。もう少し探してみよう。	黄道航行
さらに2つのクリスタルを見つけた。……誰かが意図的に置いているのだろうか？									さらに2つのクリスタルを見つけた。……誰かが意図的に置いているのだろうか？	黄道航行
(-青藍のクリスタルから響く記憶-)……崩れていく……燃えていく……腐り落ちては消えていく。ただ、悲鳴と慟哭だけが響いている……。									(-青藍のクリスタルから響く記憶-)……崩れていく……燃えていく……腐り落ちては消えていく。ただ、悲鳴と慟哭だけが響いている……。	黄道航行
(-緑青のクリスタルから響く記憶-)人よ、星よ、どうか泣かないで……。終わりへと落ちる前に、私たちが救ってみせる……。									(-緑青のクリスタルから響く記憶-)人よ、星よ、どうか泣かないで……。終わりへと落ちる前に、私たちが救ってみせる……。	黄道航行
……もう少し、クリスタルを探してみよう。									……もう少し、クリスタルを探してみよう。	黄道航行
さらに3つのクリスタルを見つけた。									さらに3つのクリスタルを見つけた。	黄道航行
(-水縹のクリスタルから響く記憶-)……滅びに抗うときがきた。星の理を、我らの意志で敷き直すのだ……。									(-水縹のクリスタルから響く記憶-)……滅びに抗うときがきた。星の理を、我らの意志で敷き直すのだ……。	黄道航行
(-無彩のクリスタルから響く記憶-)この命から産み落とされる嬰児が、どうか……救いの希望とならんことを……。									(-無彩のクリスタルから響く記憶-)この命から産み落とされる嬰児が、どうか……救いの希望とならんことを……。	黄道航行
(-薄紅のクリスタルから響く記憶-)魂が染まっていく……私ははじめて、己の力を恐れている……。でも……ああ……それでも……。									(-薄紅のクリスタルから響く記憶-)魂が染まっていく……私ははじめて、己の力を恐れている……。でも……ああ……それでも……。	黄道航行
この先にも、誰かの記憶があるのだろうか……。									この先にも、誰かの記憶があるのだろうか……。	黄道航行
12個目のクリスタルを見つけた。									12個目のクリスタルを見つけた。	黄道航行
(-深緋のクリスタルから響く記憶-)……終末は過ぎ去った。新たなる星の意志に、再生の祈りを捧げよう。									(-深緋のクリスタルから響く記憶-)……終末は過ぎ去った。新たなる星の意志に、再生の祈りを捧げよう。	黄道航行
(-深緋のクリスタルから響く記憶-)愛しき人よ……優しき友よ……いつかまた、命咲く美しき世界で会おう……。									(-深緋のクリスタルから響く記憶-)愛しき人よ……優しき友よ……いつかまた、命咲く美しき世界で会おう……。	黄道航行
垣間見たのは、終末が去ったあと……ハイデリンとゾディアークが争う前の記憶のようだ。									垣間見たのは、終末が去ったあと……ハイデリンとゾディアークが争う前の記憶のようだ。	黄道航行
……近くにあとひとつ、クリスタルがある。									……近くにあとひとつ、クリスタルがある。	黄道航行
久しぶりの地上は気持ちがいいわね……。状況的に、ゆっくり休んではいられないのだけれど。									久しぶりの地上は気持ちがいいわね……。状況的に、ゆっくり休んではいられないのだけれど。	黄道航行
ねえ、Forename……。エリディブスがどんな策を用意しているにせよ、彼があの態度を貫くかぎり、戦いは避けられそうもないわ。									ねえ、Forename……。エリディブスがどんな策を用意しているにせよ、彼があの態度を貫くかぎり、戦いは避けられそうもないわ。	黄道航行
私だって、仲間や世界が脅かされたら、容赦はしないでしょう。									私だって、仲間や世界が脅かされたら、容赦はしないでしょう。	黄道航行
……でもね、かつてエメトセルクは、彼を一切信用していなかった私たちに歩み寄り、関係を変えるきっかけを提示してくれた。									……でもね、かつてエメトセルクは、彼を一切信用していなかった私たちに歩み寄り、関係を変えるきっかけを提示してくれた。	黄道航行
それがあなたの心に何かを遺したのなら、今度はあなたが、アシエンの心に歩み寄るきっかけを、最後まで探してみるべきだわ。									それがあなたの心に何かを遺したのなら、今度はあなたが、アシエンの心に歩み寄るきっかけを、最後まで探してみるべきだわ。	黄道航行
たとえ結論が変わらなくても……欺瞞だと罵られても……その先でしか見られない結末があると、あなたは誰より知っているはずよ。									たとえ結論が変わらなくても……欺瞞だと罵られても……その先でしか見られない結末があると、あなたは誰より知っているはずよ。	黄道航行
ヴェンモント造船所のヤ・シュトラは、遠くを見据えている。									ヴェンモント造船所のヤ・シュトラは、遠くを見据えている。	稀なるつわもの
仲間たちと合流するため、ユールモアに向かうことになった。ユールモアのエーテライト・プラザにいる「ヤ・シュトラ」と話そう。									仲間たちと合流するため、ユールモアに向かうことになった。ユールモアのエーテライト・プラザにいる「ヤ・シュトラ」と話そう。	稀なるつわもの
ヤ・シュトラと話した。エーテライト・プラザの「チャイ・ヌズ」と話そう。									ヤ・シュトラと話した。エーテライト・プラザの「チャイ・ヌズ」と話そう。	稀なるつわもの
チャイ・ヌズたちと話していたところ、光を帯びた剣士たちに襲われた。再び襲ってくるであろう彼らを退けつつ、「ノルヴラント」を渡ろう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。									チャイ・ヌズたちと話していたところ、光を帯びた剣士たちに襲われた。再び襲ってくるであろう彼らを退けつつ、「ノルヴラント」を渡ろう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。	稀なるつわもの
ノルヴラントを、出会ってきた人々とともに駆け抜けた。このままレイクランドになだれ込もう。									ノルヴラントを、出会ってきた人々とともに駆け抜けた。このままレイクランドになだれ込もう。	稀なるつわもの
水晶公たちと再会した。迷える羊飼いの森の「水晶公」と話そう。									水晶公たちと再会した。迷える羊飼いの森の「水晶公」と話そう。	稀なるつわもの
水晶公と話した。従者の門の「緊張した様子の衛兵」と話そう。									水晶公と話した。従者の門の「緊張した様子の衛兵」と話そう。	稀なるつわもの
衛兵団にベーク＝ラグを託した。クリスタリウムのエクセドラ大広場にいる「水晶公」と話そう。									衛兵団にベーク＝ラグを託した。クリスタリウムのエクセドラ大広場にいる「水晶公」と話そう。	稀なるつわもの
水晶公と話し、結界を解いてクリスタルタワーの中に突入することになった。中では力を集めたエリディブスが待ち受けているはずだ。戦いの準備を整え、再度水晶公に声を掛けよう。									水晶公と話し、結界を解いてクリスタルタワーの中に突入することになった。中では力を集めたエリディブスが待ち受けているはずだ。戦いの準備を整え、再度水晶公に声を掛けよう。	稀なるつわもの
ユールモアのヤ・シュトラと話す									ユールモアのヤ・シュトラと話す	稀なるつわもの
チャイ・ヌズと話す									チャイ・ヌズと話す	稀なるつわもの
「漆黒決戦 ノルヴラント」を攻略									「漆黒決戦 ノルヴラント」を攻略	稀なるつわもの
水晶公と話す									水晶公と話す	稀なるつわもの
緊張した様子の衛兵と話す									緊張した様子の衛兵と話す	稀なるつわもの
水晶公と話す									水晶公と話す	稀なるつわもの
さてと……。みんなとは、ユールモアで合流する手はずだったわね？									さてと……。みんなとは、ユールモアで合流する手はずだったわね？	稀なるつわもの
私のせいで余計に時間をとらせてしまって、ごめんなさい。急いで向かうとしましょうか。									私のせいで余計に時間をとらせてしまって、ごめんなさい。急いで向かうとしましょうか。	稀なるつわもの
それは本当ですか、チャイ・ヌズ殿。この街でも「光の戦士」が話題に上っていると……！									それは本当ですか、チャイ・ヌズ殿。この街でも「光の戦士」が話題に上っていると……！	稀なるつわもの
あっ、やっと来た！あなたたちの方が早いだろうと思ってたんだけど……。									あっ、やっと来た！あなたたちの方が早いだろうと思ってたんだけど……。	稀なるつわもの
はるばる海の底まで行ってもらって、すまなかったな。お互いの成果を報告するとしよう。									はるばる海の底まで行ってもらって、すまなかったな。お互いの成果を報告するとしよう。	稀なるつわもの
よかった、ご無事で何よりです。身体、冷えたりしていませんか……？									よかった、ご無事で何よりです。身体、冷えたりしていませんか……？	稀なるつわもの
途中で賢人パンをいただいたからか、こちらは、誰も倒れることなく任務を終えられました……。タタル嬢の想いが、皆を護ってくれたのかもしれません。									途中で賢人パンをいただいたからか、こちらは、誰も倒れることなく任務を終えられました……。タタル嬢の想いが、皆を護ってくれたのかもしれません。	稀なるつわもの
ああ、まあな……。									ああ、まあな……。	稀なるつわもの
あら、Forenameちゃん！なんだかまた難しいことになっているようだけど、あなたが来てくれて嬉しいわ！									あら、Forenameちゃん！なんだかまた難しいことになっているようだけど、あなたが来てくれて嬉しいわ！	稀なるつわもの
大まかにだが、状況は聞かせてもらった。こちらも街の立て直しを図る大切な時期だ……悪い方に転ばないことを祈るが……。									大まかにだが、状況は聞かせてもらった。こちらも街の立て直しを図る大切な時期だ……悪い方に転ばないことを祈るが……。	稀なるつわもの
奥を見て……。やっぱり、みんなもう集まっているわね。									奥を見て……。やっぱり、みんなもう集まっているわね。	稀なるつわもの
