フォルタン家の騎兵は、話したいことがあるようだ。									フォルタン家の騎兵は、話したいことがあるようだ。	戦う者たちの休息
そうとなれば、すぐに動くわよ。いきましょう……。									そうとなれば、すぐに動くわよ。いきましょう……。	悲しみ背負って
あぁ、もう……勝手に……！									あぁ、もう……勝手に……！	悲しみ背負って
どうか、好きにさせてあげてください。何かしていなければ、押しつぶされそうな想いなのでしょう。そして、彼女は誰より悲嘆にくれるイダのことを慮っている……。									どうか、好きにさせてあげてください。何かしていなければ、押しつぶされそうな想いなのでしょう。そして、彼女は誰より悲嘆にくれるイダのことを慮っている……。	悲しみ背負って
私とて、何かをしていなければという気持ちになる……。ゆえに私も、繭に対する方策を古の書の数々に求めることで、命を賭して事を成した同志の想いに応えようと思います……。									私とて、何かをしていなければという気持ちになる……。ゆえに私も、繭に対する方策を古の書の数々に求めることで、命を賭して事を成した同志の想いに応えようと思います……。	悲しみ背負って
そうね……ここでうつむいていても、何も変わらない……。後悔を口にしたところで、何も始まらないわ……。									そうね……ここでうつむいていても、何も変わらない……。後悔を口にしたところで、何も始まらないわ……。	悲しみ背負って
あぁ……だからこそ、備えよう。パパリモがくれた時間を、未来に繋げるために、今、できることをするんだ……。									あぁ……だからこそ、備えよう。パパリモがくれた時間を、未来に繋げるために、今、できることをするんだ……。	悲しみ背負って
石の家のアリゼーは、何かの連絡を待っているようだ。									石の家のアリゼーは、何かの連絡を待っているようだ。	想定外の協力者
前回までの冒険録：鉄仮面ことイルベルドの狙いは、グランドカンパニーを装い「バエサルの長城」を襲撃することでエオルゼア同盟軍を戦乱に巻き込むと同時に、意図的に仲間を「敗北」に追いやることで絶望させ、力を渇望する強き想いと「竜の眼」により、蛮神を召喚することだった。純粋に破壊だけを求めた信仰によらぬ「新たな神」が召喚されかけたとき、賢人パパリモが名杖トゥプシマティの力を使い、命がけの封印魔法を行使。彼の機転と犠牲によって、蛮神は光の繭に包まれ、長城の直上に封じられたのだった。　　　　　　　　　　　　*　*　*アリゼーと話した。どうやらグリダニアでエオルゼア同盟軍の緊急会議が開催されるらしい。グリダニア旧市街の「物静かな道士」と話そう。									前回までの冒険録：鉄仮面ことイルベルドの狙いは、グランドカンパニーを装い「バエサルの長城」を襲撃することでエオルゼア同盟軍を戦乱に巻き込むと同時に、意図的に仲間を「敗北」に追いやることで絶望させ、力を渇望する強き想いと「竜の眼」により、蛮神を召喚することだった。純粋に破壊だけを求めた信仰によらぬ「新たな神」が召喚されかけたとき、賢人パパリモが名杖トゥプシマティの力を使い、命がけの封印魔法を行使。彼の機転と犠牲によって、蛮神は光の繭に包まれ、長城の直上に封じられたのだった。　　　　　　　　　　　　*　*　*アリゼーと話した。どうやらグリダニアでエオルゼア同盟軍の緊急会議が開催されるらしい。グリダニア旧市街の「物静かな道士」と話そう。	想定外の協力者
緊急会議に出席した。ネロの提案により、カルテノー平原に眠る対蛮神兵器「オメガ」を起動することになった。今後について相談するため、豊穣神祭壇の「アルフィノ」と話そう。									緊急会議に出席した。ネロの提案により、カルテノー平原に眠る対蛮神兵器「オメガ」を起動することになった。今後について相談するため、豊穣神祭壇の「アルフィノ」と話そう。	想定外の協力者
アルフィノと話した。さしもの彼もネロの登場は想定外だったらしい。もう一度、アルフィノに声をかけよう。									アルフィノと話した。さしもの彼もネロの登場は想定外だったらしい。もう一度、アルフィノに声をかけよう。	想定外の協力者
豊穣神祭壇の物静かな道士と話す									豊穣神祭壇の物静かな道士と話す	想定外の協力者
アルフィノと話す									アルフィノと話す	想定外の協力者
Forename……。パパリモが蛮神を封じた「光の繭」の件だけれど、現地からは、相変わらずの状態だって報告が来ているわ。									Forename……。パパリモが蛮神を封じた「光の繭」の件だけれど、現地からは、相変わらずの状態だって報告が来ているわ。	想定外の協力者
どうにか、時間が稼げているうちに、抜本的な対応策を決めなければならないのだけど……。									どうにか、時間が稼げているうちに、抜本的な対応策を決めなければならないのだけど……。	想定外の協力者
あら……！？エオルゼア同盟軍からの通信が入ったみたい……。少し待ってもらえるかしら？									あら……！？エオルゼア同盟軍からの通信が入ったみたい……。少し待ってもらえるかしら？	想定外の協力者
ええ……了解しました。「暁」からも代表者を送らせてもらいます……。それでは…………。									ええ……了解しました。「暁」からも代表者を送らせてもらいます……。それでは…………。	想定外の協力者
Forename、アルフィノ、聞いてちょうだい。エオルゼア同盟軍からリンクパール通信が入ったのだけど、グリダニアで緊急会議が開催されることになったわ。									Forename、アルフィノ、聞いてちょうだい。エオルゼア同盟軍からリンクパール通信が入ったのだけど、グリダニアで緊急会議が開催されることになったわ。	想定外の協力者
議題は、例の蛮神のことだね？ヤ・シュトラからの定時報告では、今も長城の上空に、光の繭となったまま滞空しているらしいが……。									議題は、例の蛮神のことだね？ヤ・シュトラからの定時報告では、今も長城の上空に、光の繭となったまま滞空しているらしいが……。	想定外の協力者
ええ、そうよ。今回は、対応策を協議するために、オブザーバーとして、高名な機工師、シドも招かれていると聞くわ。									ええ、そうよ。今回は、対応策を協議するために、オブザーバーとして、高名な機工師、シドも招かれていると聞くわ。	想定外の協力者
シドが！？それは心強い……。									シドが！？それは心強い……。	想定外の協力者
それじゃ、情報共有はタタルに任せて、私たちはグリダニアに向かいましょう。「物静かな道士」に声をかければ、案内してくれるそうよ。									それじゃ、情報共有はタタルに任せて、私たちはグリダニアに向かいましょう。「物静かな道士」に声をかければ、案内してくれるそうよ。	想定外の協力者
リオルさんからの定期報告に、アリアヌさんからの増援要請っと……受付の仕事をさばいてまっす！									リオルさんからの定期報告に、アリアヌさんからの増援要請っと……受付の仕事をさばいてまっす！	想定外の協力者
よくぞいらっしゃった。「不語仙の座卓」に案内するゆえ、どうぞこちらに。									よくぞいらっしゃった。「不語仙の座卓」に案内するゆえ、どうぞこちらに。	想定外の協力者
やれやれ、とんだ成り行きになったものだね。まさか帝国人のネロが協力を申し出てくるなんて……。									やれやれ、とんだ成り行きになったものだね。まさか帝国人のネロが協力を申し出てくるなんて……。	想定外の協力者
豊穣神祭壇のアルフィノは、シドたちと合流したいようだ。									豊穣神祭壇のアルフィノは、シドたちと合流したいようだ。	珍客来る
アルフィノと話した。合流するため、グリダニア・ランディングの「シド」と話そう。									アルフィノと話した。合流するため、グリダニア・ランディングの「シド」と話そう。	珍客来る
シドたちと合流した。ランディングの係員である「ヒダ」に声をかけ、エンタープライズに乗ろう。									シドたちと合流した。ランディングの係員である「ヒダ」に声をかけ、エンタープライズに乗ろう。	珍客来る
エンタープライズ・エクセルシオに乗り、モードゥナまで移動した。銀泪湖北岸の「シド」と話そう。									エンタープライズ・エクセルシオに乗り、モードゥナまで移動した。銀泪湖北岸の「シド」と話そう。	珍客来る
シドと話した。アルフィノたちとの待ち合わせ場所である「石の家」に向かい、「ネロ」が妙なことをしないか、それとなく声をかけよう。									シドと話した。アルフィノたちとの待ち合わせ場所である「石の家」に向かい、「ネロ」が妙なことをしないか、それとなく声をかけよう。	珍客来る
ネロと話した。東方からやって来たという侍、ゴウセツという新たな仲間が加わった。カルテノー平原に向かうため「イダ」と話そう。									ネロと話した。東方からやって来たという侍、ゴウセツという新たな仲間が加わった。カルテノー平原に向かうため「イダ」と話そう。	珍客来る
グリダニア・ランディングのシドと話す									グリダニア・ランディングのシドと話す	珍客来る
グリダニア・ランディングのヒダと話す									グリダニア・ランディングのヒダと話す	珍客来る
モードゥナのシドと話す									モードゥナのシドと話す	珍客来る
石の家のネロと話す									石の家のネロと話す	珍客来る
ともかく、オメガ確保班は、「グリダニア・ランディング」に集合することになった。									ともかく、オメガ確保班は、「グリダニア・ランディング」に集合することになった。	珍客来る
アリゼーも先に向かっている。私たちも「シド」たちと合流しよう。									アリゼーも先に向かっている。私たちも「シド」たちと合流しよう。	珍客来る
リオルさんからの定期報告に、アリアヌさんからの増援要請っと……受付の仕事をさばいてまっす！									リオルさんからの定期報告に、アリアヌさんからの増援要請っと……受付の仕事をさばいてまっす！	珍客来る
おや、ネロの姿が見えないようだが……。									おや、ネロの姿が見えないようだが……。	珍客来る
よう、来たな。他の連中は、エンタープライズを見に発着場に行ってるぜ。ネロの奴が、どうしても見せろとうるさいもんでな……。									よう、来たな。他の連中は、エンタープライズを見に発着場に行ってるぜ。ネロの奴が、どうしても見せろとうるさいもんでな……。	珍客来る
大丈夫なのかい？協力を申し出て来た相手とはいえ、ネロは元帝国軍人……あまり自由にさせ過ぎるのも危険に思えるが……。									大丈夫なのかい？協力を申し出て来た相手とはいえ、ネロは元帝国軍人……あまり自由にさせ過ぎるのも危険に思えるが……。	珍客来る
わかっているさ。お嬢さん方がふたりで監視してくれている。っと、噂をすれば戻ってきたようだぞ……。									わかっているさ。お嬢さん方がふたりで監視してくれている。っと、噂をすれば戻ってきたようだぞ……。	珍客来る
よし、これで全員そろったわけだが……このまま「カルテノー平原」に直行するか？									よし、これで全員そろったわけだが……このまま「カルテノー平原」に直行するか？	珍客来る
いや、少しだけ時間をくれないか？東部森林で仲間が繭の観測を行っているんだ。									いや、少しだけ時間をくれないか？東部森林で仲間が繭の観測を行っているんだ。	珍客来る
まずは彼らから、最新の状況を確認しておきたい。その上で、改めて「オメガ」の回収に向かう人員を、選出したいと思うのだ。									まずは彼らから、最新の状況を確認しておきたい。その上で、改めて「オメガ」の回収に向かう人員を、選出したいと思うのだ。	珍客来る
ちんたらやってる場合じゃねぇと思うがな？									ちんたらやってる場合じゃねぇと思うがな？	珍客来る
うっさいわね。新入りは黙ってもらえる？									うっさいわね。新入りは黙ってもらえる？	珍客来る
へいへい……。									へいへい……。	珍客来る
よし、それじゃあ、俺は「エンタープライズ」をモードゥナに回しておく。「石の家」で改めて合流しよう。									よし、それじゃあ、俺は「エンタープライズ」をモードゥナに回しておく。「石の家」で改めて合流しよう。	珍客来る
すまない、手数をかけるね。観測を続けているヤ・シュトラやイダたちには、私から報告しておく。									すまない、手数をかけるね。観測を続けているヤ・シュトラやイダたちには、私から報告しておく。	珍客来る
Forenameとアリゼーは、先に「石の家」に戻っておいてくれ。想定外の客人を招くことになるからね……。									Forenameとアリゼーは、先に「石の家」に戻っておいてくれ。想定外の客人を招くことになるからね……。	珍客来る
よし、モードゥナに直行する連中は乗せてってやる。ランディングの係員、「ヒダ」に話しかけて、エンタープライズに搭乗してくれや。									よし、モードゥナに直行する連中は乗せてってやる。ランディングの係員、「ヒダ」に話しかけて、エンタープライズに搭乗してくれや。	珍客来る
シド様のお連れ様ですね？登録船名は……「エンタープライズ・エクセルシオ」。それでは、ご案内致します。									シド様のお連れ様ですね？登録船名は……「エンタープライズ・エクセルシオ」。それでは、ご案内致します。	珍客来る
モードゥナへ移動しますか？									モードゥナへ移動しますか？	珍客来る
さすがにレヴナンツトールの街中に、着陸させるわけにもいかんからな……。ここに降ろさせてもらったぜ。									さすがにレヴナンツトールの街中に、着陸させるわけにもいかんからな……。ここに降ろさせてもらったぜ。	珍客来る
さて、さっそくだが「石の家」に向かうとするか！									さて、さっそくだが「石の家」に向かうとするか！	珍客来る
帝国出身ってだけで、差別する気はないけど、ネロってのが油断ならないヤツってのは、わかる気がするわ。									帝国出身ってだけで、差別する気はないけど、ネロってのが油断ならないヤツってのは、わかる気がするわ。	珍客来る
あの男……好かんな……。									あの男……好かんな……。	珍客来る
ガーロンドのフネ、気密キャビンも備えてねぇなんて、まったく最悪な乗り心地だったぜ……。それにしても、妙な装置を積んでやがンな……。									ガーロンドのフネ、気密キャビンも備えてねぇなんて、まったく最悪な乗り心地だったぜ……。それにしても、妙な装置を積んでやがンな……。	珍客来る
Forenameさん、お待ちくださっい！受け取ってほしいものがあるでっす！									Forenameさん、お待ちくださっい！受け取ってほしいものがあるでっす！	珍客来る
覚えていますっか？以前、ダイヤモンドフォージで、お身体の隅々まで採寸させていただいた時のことを……。									覚えていますっか？以前、ダイヤモンドフォージで、お身体の隅々まで採寸させていただいた時のことを……。	珍客来る
実は、Forenameさんのために、特別な旅装束を用意しようとしていたのでっす！つい先ほど、完成したので、ぜひ受け取ってくださっい！									実は、Forenameさんのために、特別な旅装束を用意しようとしていたのでっす！つい先ほど、完成したので、ぜひ受け取ってくださっい！	珍客来る
さぁさぁ、さっそく試着するでっす！									さぁさぁ、さっそく試着するでっす！	珍客来る
しっかり採寸したから、サイズはバッチリのはずでっすが……ど、どうでっすか？									しっかり採寸したから、サイズはバッチリのはずでっすが……ど、どうでっすか？	珍客来る
よかったでっす。ほかならぬForenameさんに合う衣装……製作に挑むために、これまで修行を続けてきたのでっす。									よかったでっす。ほかならぬForenameさんに合う衣装……製作に挑むために、これまで修行を続けてきたのでっす。	珍客来る
ブラッドパールのお守りも縫い込んでありまっす……。だから、どうかご無事で、帰ってきてくださいでっす。									ブラッドパールのお守りも縫い込んでありまっす……。だから、どうかご無事で、帰ってきてくださいでっす。	珍客来る
バハムートを捕らえし者「オメガ」か……。相対するのは、バハムートを超える存在として、呼び降ろされた「新たな神」……なんだか因縁を感じるわね。									バハムートを捕らえし者「オメガ」か……。相対するのは、バハムートを超える存在として、呼び降ろされた「新たな神」……なんだか因縁を感じるわね。	珍客来る
蛮神に対抗するため、古代アラグの兵器を用いる。ガイウスも同じ事をやったが、ヤツはその武器を人にも向けた。そうならないよう、俺たちが手綱を握るしかないな……。									蛮神に対抗するため、古代アラグの兵器を用いる。ガイウスも同じ事をやったが、ヤツはその武器を人にも向けた。そうならないよう、俺たちが手綱を握るしかないな……。	珍客来る
あの男が妙な気をおこさぬよう見張っておくさ。									あの男が妙な気をおこさぬよう見張っておくさ。	珍客来る
ここは、ネロという人にもお茶を出すべきか、帝国軍と因縁がある「暁」の受付としては、迷ってしまいまっす。									ここは、ネロという人にもお茶を出すべきか、帝国軍と因縁がある「暁」の受付としては、迷ってしまいまっす。	珍客来る
石の家のイダは、オメガの確保に向かいたいようだ。									石の家のイダは、オメガの確保に向かいたいようだ。	オメガ起動
イダと話した。オメガの確保と起動を担当するネロとシドに、イダとドマのふたりと同行することになった。モードゥナの銀泪湖北岸の「シド」と話そう。									イダと話した。オメガの確保と起動を担当するネロとシドに、イダとドマのふたりと同行することになった。モードゥナの銀泪湖北岸の「シド」と話そう。	オメガ起動
エンタープライズ・エクセルシオでカルテノー平原に向かった。そこで、同じくオメガを探していた帝国軍の部隊と遭遇してしまう。冒険者たちは、無事に敵を退け、オメガを起動することができるのだろうか。									エンタープライズ・エクセルシオでカルテノー平原に向かった。そこで、同じくオメガを探していた帝国軍の部隊と遭遇してしまう。冒険者たちは、無事に敵を退け、オメガを起動することができるのだろうか。	オメガ起動
どうにかグリーンワートたち帝国軍を退け、オメガを起動することに成功した。しかし、途中でオメガとの通信が途絶してしまう。オメガ管制室の「シド」に声をかけ、グリダニアに向かおう。									どうにかグリーンワートたち帝国軍を退け、オメガを起動することに成功した。しかし、途中でオメガとの通信が途絶してしまう。オメガ管制室の「シド」に声をかけ、グリダニアに向かおう。	オメガ起動
グリダニア・ランディングまで戻ってきた。「シド」に声をかけ、状況を確認しよう。									グリダニア・ランディングまで戻ってきた。「シド」に声をかけ、状況を確認しよう。	オメガ起動
シドと話した。グリダニア・ランディングには、アルフィノが出迎えに来ていた。彼ならオメガ起動後の状況について知っているだろう。									シドと話した。グリダニア・ランディングには、アルフィノが出迎えに来ていた。彼ならオメガ起動後の状況について知っているだろう。	オメガ起動
モードゥナのシドと話す									モードゥナのシドと話す	オメガ起動
シドと話す									シドと話す	オメガ起動
オメガ管制室のシドと話す									オメガ管制室のシドと話す	オメガ起動
グリダニア・ランディングのシドと話す									グリダニア・ランディングのシドと話す	オメガ起動
あれが東方風の装束なのかしら……。									あれが東方風の装束なのかしら……。	オメガ起動
どうしてお前の下には、こうも特徴的なヤツが集まるんだ？									どうしてお前の下には、こうも特徴的なヤツが集まるんだ？	オメガ起動
まさかエオルゼアの地で、ゴウセツと再会することになろうとは……。									まさかエオルゼアの地で、ゴウセツと再会することになろうとは……。	オメガ起動
帝国軍の雑兵など一刀両断！我が大刀で斬り伏せてくれるわ！									帝国軍の雑兵など一刀両断！我が大刀で斬り伏せてくれるわ！	オメガ起動
「シュワシュワケトルXIV世」だぁ？このオレ様の手にかかれば、そんなガラクタより、よほど素早く簡単に湯を沸かす魔導機械が出来上がるぜ。									「シュワシュワケトルXIV世」だぁ？このオレ様の手にかかれば、そんなガラクタより、よほど素早く簡単に湯を沸かす魔導機械が出来上がるぜ。	オメガ起動
絶対、あのネロという人には、衣装を作って、あげないのでっす……。									絶対、あのネロという人には、衣装を作って、あげないのでっす……。	オメガ起動
やれやれ、今日は本当に妙な客ばかりが現れる日だな。いずれも心強い協力者だ……と思いたいのだが……。									やれやれ、今日は本当に妙な客ばかりが現れる日だな。いずれも心強い協力者だ……と思いたいのだが……。	オメガ起動
それで……オメガの確保に向かう人選なんだけどさ、アタシに行かせてもらえないかな？									それで……オメガの確保に向かう人選なんだけどさ、アタシに行かせてもらえないかな？	オメガ起動
イダ……大丈夫なのかい？									イダ……大丈夫なのかい？	オメガ起動
心配してくれて、ありがと……。もう大丈夫だなんて、気安く言えないけどさ、それでも、何かの役には立ちたいんだ。									心配してくれて、ありがと……。もう大丈夫だなんて、気安く言えないけどさ、それでも、何かの役には立ちたいんだ。	オメガ起動
……わかったわ。それじゃあ、私は残って同盟軍との繋ぎに専念する。アルフィノはグリダニアに戻ってサポートよ。									……わかったわ。それじゃあ、私は残って同盟軍との繋ぎに専念する。アルフィノはグリダニアに戻ってサポートよ。	オメガ起動
了解した。									了解した。	オメガ起動
よし、これで面子は決まったな。俺とネロがオメガの確保と起動準備を担当する。イダ、Forename、ドマのふたりが護衛役だ。									よし、これで面子は決まったな。俺とネロがオメガの確保と起動準備を担当する。イダ、Forename、ドマのふたりが護衛役だ。	オメガ起動
そうとなれば、すぐに出発といこう。銀泪湖のほとりに「エンタープライズ」を停めている。準備を整えたら、集まってくれ。									そうとなれば、すぐに出発といこう。銀泪湖のほとりに「エンタープライズ」を停めている。準備を整えたら、集まってくれ。	オメガ起動
ゴウセツの剣の腕は信頼してくれて構わない。不安要素と言えば、やはりネロの存在だろう。									ゴウセツの剣の腕は信頼してくれて構わない。不安要素と言えば、やはりネロの存在だろう。	オメガ起動
こ……これは……本当に飛ぶのでござるか？									こ……これは……本当に飛ぶのでござるか？	オメガ起動
待ってろよ、オメガ……。オレ様の手で蘇らせてやるからよぉ……。									待ってろよ、オメガ……。オレ様の手で蘇らせてやるからよぉ……。	オメガ起動
心配かけちゃって、ゴメンね……。任務はしっかりやるから、安心して？									心配かけちゃって、ゴメンね……。任務はしっかりやるから、安心して？	オメガ起動
情報の繋ぎは任せてちょうだい。									情報の繋ぎは任せてちょうだい。	オメガ起動
Forenameさんの衣装は、クラフター人生の集大成とも言える自信作でっす！									Forenameさんの衣装は、クラフター人生の集大成とも言える自信作でっす！	オメガ起動
ここからカルテノーは、そう遠くない。エンタープライズの足なら、ひとっ飛びといったところだ。									ここからカルテノーは、そう遠くない。エンタープライズの足なら、ひとっ飛びといったところだ。	オメガ起動
かつて不滅隊の内部に密偵が潜り込んでいたことを考えれば、帝国軍も当然、オメガの存在には気付いているはず。ネロの言葉通り、連中と出くわす危険性はあるだろう。									かつて不滅隊の内部に密偵が潜り込んでいたことを考えれば、帝国軍も当然、オメガの存在には気付いているはず。ネロの言葉通り、連中と出くわす危険性はあるだろう。	オメガ起動
到着したと同時に、戦闘ってことも考えられるからな。装備の確認をしてから、エンタープライズに乗り込んでくれよ。									到着したと同時に、戦闘ってことも考えられるからな。装備の確認をしてから、エンタープライズに乗り込んでくれよ。	オメガ起動
観念しろい！こっちの方が、数は多いんだぞう！									観念しろい！こっちの方が、数は多いんだぞう！	オメガ起動
もう、しつこいんだから！									もう、しつこいんだから！	オメガ起動
ったく、いつまでザコどもと遊んでやがるンだ！？オレ様の「とっておき」を貸してやるから、とっとと片付けてこっちに来やがれ！									ったく、いつまでザコどもと遊んでやがるンだ！？オレ様の「とっておき」を貸してやるから、とっとと片付けてこっちに来やがれ！	オメガ起動
魔導リーパー「レッドバロン」ターボカスタムだ！使いこなしてみせろよな！									魔導リーパー「レッドバロン」ターボカスタムだ！使いこなしてみせろよな！	オメガ起動
な、なんだぁ～！？魔導アーマーを使うだなんて聞いてないど！ええ～い、お前たち、やっちまえ～！									な、なんだぁ～！？魔導アーマーを使うだなんて聞いてないど！ええ～い、お前たち、やっちまえ～！	オメガ起動
自分ひとり逃げるつもりか！ええい、あの卑劣漢は、拙者が引き受けるでござる！貴殿は雑兵どもの相手をお頼み申す！									自分ひとり逃げるつもりか！ええい、あの卑劣漢は、拙者が引き受けるでござる！貴殿は雑兵どもの相手をお頼み申す！	オメガ起動
どうした、「オメガ管制室」に向かうのか？									どうした、「オメガ管制室」に向かうのか？	オメガ起動
「オメガ管制室」に移動しますか？									「オメガ管制室」に移動しますか？	オメガ起動
オメガからの通信が途絶した理由はわからない。ともかく、急いでエンタープライズに乗ってくれ。グリダニアに戻って、状況を確認するんだ。									オメガからの通信が途絶した理由はわからない。ともかく、急いでエンタープライズに乗ってくれ。グリダニアに戻って、状況を確認するんだ。	オメガ起動
「グリダニア」に移動しますか？									「グリダニア」に移動しますか？	オメガ起動
エンタープライズが飛来するのを確認してね……。こうして出迎えに来たんだ。									エンタープライズが飛来するのを確認してね……。こうして出迎えに来たんだ。	オメガ起動
オメガの起動までは完璧だったんだが……。ええい、ともかく確認を急ごう。									オメガの起動までは完璧だったんだが……。ええい、ともかく確認を急ごう。	オメガ起動
グリダニア・ランディングのアルフィノは、報告したいことがあるようだ。									グリダニア・ランディングのアルフィノは、報告したいことがあるようだ。	宿命の果て
アルフィノと話した。エオルゼア同盟軍の関係者が「不語仙の座卓」に集まっているらしい。グリダニア旧市街の「物静かな道士」の案内に従って不語仙の座卓に向かい、「カヌ・エ・センナ」と話そう。									アルフィノと話した。エオルゼア同盟軍の関係者が「不語仙の座卓」に集まっているらしい。グリダニア旧市街の「物静かな道士」の案内に従って不語仙の座卓に向かい、「カヌ・エ・センナ」と話そう。	宿命の果て
エオルゼア同盟軍の関係者と話し、情報を共有した。今後について相談するため、不語仙の座卓の「アルフィノ」と話そう。									エオルゼア同盟軍の関係者と話し、情報を共有した。今後について相談するため、不語仙の座卓の「アルフィノ」と話そう。	宿命の果て
アルフィノと話した。どうやら彼はイダのことを心配しているようだ。黒衣森：東部森林のアマリセ監視哨に赴き、イダとともにいる「ヤ・シュトラ」と話そう。									アルフィノと話した。どうやら彼はイダのことを心配しているようだ。黒衣森：東部森林のアマリセ監視哨に赴き、イダとともにいる「ヤ・シュトラ」と話そう。	宿命の果て
ヤ・シュトラと話した。イダは仮面を脱ぎ去り、自分がリセという名の「イダの妹」だったことを明かした。その上で、彼女なりの決意を固めたようだ。石の家にいる「アリゼー」と話そう。									ヤ・シュトラと話した。イダは仮面を脱ぎ去り、自分がリセという名の「イダの妹」だったことを明かした。その上で、彼女なりの決意を固めたようだ。石の家にいる「アリゼー」と話そう。	宿命の果て
アリゼーと話した。彼女もリセの件は、すでに聞き及んでいたようだ。アラミゴ奪還のため進軍の時に備えよう。※以下の条件を満たすと、石の家のアルフィノから、新たなメインクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。									アリゼーと話した。彼女もリセの件は、すでに聞き及んでいたようだ。アラミゴ奪還のため進軍の時に備えよう。※以下の条件を満たすと、石の家のアルフィノから、新たなメインクエストを受注することができます。1.「メインクエスト：竜詩戦争 戦後編」の、　「宿命の果て」を完了する。	宿命の果て
不語仙の座卓のカヌ・エ・センナと話す									不語仙の座卓のカヌ・エ・センナと話す	宿命の果て
アルフィノと話す									アルフィノと話す	宿命の果て
アマリセ監視哨のヤ・シュトラと話す									アマリセ監視哨のヤ・シュトラと話す	宿命の果て
石の家のアリゼーと話す									石の家のアリゼーと話す	宿命の果て
顔を見せにきてくれたのね？でも、今はグリダニアの方をお願い。									顔を見せにきてくれたのね？でも、今はグリダニアの方をお願い。	宿命の果て
ご無事で何よりでっす！ブラッドパールのお守りの効果があったみたいでっす！									ご無事で何よりでっす！ブラッドパールのお守りの効果があったみたいでっす！	宿命の果て
どうやら、アルフィノが出迎えにきてくれたようだな。									どうやら、アルフィノが出迎えにきてくれたようだな。	宿命の果て
皆、無事なようで何よりだ。西方からオメガらしき物体が飛来して、それはもう、大きな騒ぎになってね……。									皆、無事なようで何よりだ。西方からオメガらしき物体が飛来して、それはもう、大きな騒ぎになってね……。	宿命の果て
アタシ……繭があったところを見てくる……！									アタシ……繭があったところを見てくる……！	宿命の果て
お、おい……！カヌ・エ様が待っているというのに……。									お、おい……！カヌ・エ様が待っているというのに……。	宿命の果て
彼女のことは、私とゴウセツで見守っておこう。貴殿らは、カヌ・エ殿のところへ……。									彼女のことは、私とゴウセツで見守っておこう。貴殿らは、カヌ・エ殿のところへ……。	宿命の果て
すまない、手数をかける。									すまない、手数をかける。	宿命の果て
では、私たちは「不語仙の座卓」に向かおう。同盟軍の関係者も、君たちの報告を待ちわびているんだ。									では、私たちは「不語仙の座卓」に向かおう。同盟軍の関係者も、君たちの報告を待ちわびているんだ。	宿命の果て
カヌ・エ様がお待ちだ。すぐに「不語仙の座卓」へ向かわれるか？									カヌ・エ様がお待ちだ。すぐに「不語仙の座卓」へ向かわれるか？	宿命の果て
「不語仙の座卓」に移動しますか？									「不語仙の座卓」に移動しますか？	宿命の果て
戻ったか、Forename。シド共々、無事に任務を果たしてくれたようだな。									戻ったか、Forename。シド共々、無事に任務を果たしてくれたようだな。	宿命の果て
「竜の眼」が悪用されたと聞いて、責任を感じている次第だ。未だかつて、雲海の底に降りて生きて帰った者はいない。まさか、それをなし得る者がいようとは……。									「竜の眼」が悪用されたと聞いて、責任を感じている次第だ。未だかつて、雲海の底に降りて生きて帰った者はいない。まさか、それをなし得る者がいようとは……。	宿命の果て
第七霊災の再来という、最悪の事態は回避された。貴公らの働きがあればこそ……感謝しているぞ。									第七霊災の再来という、最悪の事態は回避された。貴公らの働きがあればこそ……感謝しているぞ。	宿命の果て
お待ちしておりました。まずは、皆様に感謝の意を伝えさせていただきます。オメガ起動の務めを果たしてくださり、ありがとうございました。									お待ちしておりました。まずは、皆様に感謝の意を伝えさせていただきます。オメガ起動の務めを果たしてくださり、ありがとうございました。	宿命の果て
自分が言い出したことです。……それより、実際どのような展開になったのですか？									自分が言い出したことです。……それより、実際どのような展開になったのですか？	宿命の果て
起動の確認後、しばらくしてオメガからの通信が途絶しましてね。我々がいた管制室からは、状況の把握ができなかったのです。									起動の確認後、しばらくしてオメガからの通信が途絶しましてね。我々がいた管制室からは、状況の把握ができなかったのです。	宿命の果て
それに関しては、何と説明したものか……。飛来したオメガと、繭から現れたドラゴン型蛮神が、ギラバニア上空にて交戦したのだが……信じがたい光景だった。									それに関しては、何と説明したものか……。飛来したオメガと、繭から現れたドラゴン型蛮神が、ギラバニア上空にて交戦したのだが……信じがたい光景だった。	宿命の果て
蛮神の攻撃は、天候にすら影響を及ぼすもので、天変地異の如き幻想を具現化し、オメガを呑み込まんとしたのだ。おそらく環境エーテルを用いた一種の魔法攻撃だとは思うが……。									蛮神の攻撃は、天候にすら影響を及ぼすもので、天変地異の如き幻想を具現化し、オメガを呑み込まんとしたのだ。おそらく環境エーテルを用いた一種の魔法攻撃だとは思うが……。	宿命の果て
すさまじい攻撃の応酬が繰り返された後、巨大な閃光を放ち、アラミゴ方面へと落下していった。ひとまず「両者相打ち」といった様相ではあったが……。									すさまじい攻撃の応酬が繰り返された後、巨大な閃光を放ち、アラミゴ方面へと落下していった。ひとまず「両者相打ち」といった様相ではあったが……。	宿命の果て
エオルゼア同盟軍では、この名も無きドラゴン型の蛮神を、ひとまず「神龍」と呼称することを決定いたしました。									エオルゼア同盟軍では、この名も無きドラゴン型の蛮神を、ひとまず「神龍」と呼称することを決定いたしました。	宿命の果て
