石の家のアルフィノは、新たな提案があるようだ。									石の家のアルフィノは、新たな提案があるようだ。	やがて流れは海へと注ぐ
お前たちが、大事なときに戦力をわけてまで、俺たちを助けようとしてくれたことも……。									お前たちが、大事なときに戦力をわけてまで、俺たちを助けようとしてくれたことも……。	きっかけと提案
…………感謝してる。まだ割り切れてない部分もあるし、今さらかもしれないが、それだけは、ちゃんと言っておきたかったんだ。									…………感謝してる。まだ割り切れてない部分もあるし、今さらかもしれないが、それだけは、ちゃんと言っておきたかったんだ。	きっかけと提案
ご移動、大変おつかれさまでした。レポリットたちは、ひとまず哲学者議会と話すそうなので、フルシュノ様にお任せいたしました。									ご移動、大変おつかれさまでした。レポリットたちは、ひとまず哲学者議会と話すそうなので、フルシュノ様にお任せいたしました。	きっかけと提案
他方で私たちは、バルデシオン分館に戻り、互いの近況を共有し合おう……とのことです。									他方で私たちは、バルデシオン分館に戻り、互いの近況を共有し合おう……とのことです。	きっかけと提案
そのように集まって話すのは、久方ぶりのように感じます。では……ともに参りましょう。									そのように集まって話すのは、久方ぶりのように感じます。では……ともに参りましょう。	きっかけと提案
……よう。まさか、このタイミングで、お前とも再会できるとはな。									……よう。まさか、このタイミングで、お前とも再会できるとはな。	きっかけと提案
ええ……。レポリットたちの意向次第ではありますが、今はただ、皆さんとともに、終末に抗うすべを追い求めましょう……。									ええ……。レポリットたちの意向次第ではありますが、今はただ、皆さんとともに、終末に抗うすべを追い求めましょう……。	きっかけと提案
私たちも、クルルから報せを受けて、ついさっき帰還したのよ。									私たちも、クルルから報せを受けて、ついさっき帰還したのよ。	きっかけと提案
調査していた星海まわりについて、報告があるのだけれど……まずは何より、あなたの話を聞きたいわ。									調査していた星海まわりについて、報告があるのだけれど……まずは何より、あなたの話を聞きたいわ。	きっかけと提案
第一世界の様子はどうだったの？エルピスの花について、何か突き止められた……？									第一世界の様子はどうだったの？エルピスの花について、何か突き止められた……？	きっかけと提案
つまり……終末の災厄は、「デュナミス」と呼ばれた力によるものだった。									つまり……終末の災厄は、「デュナミス」と呼ばれた力によるものだった。	きっかけと提案
それは、ラザハン錬金術における、アーカーシャと同じもの。想いによって作用する力……。									それは、ラザハン錬金術における、アーカーシャと同じもの。想いによって作用する力……。	きっかけと提案
普段はさながら湖のように穏やかだが、想いという流れを得れば、ときにエーテルを圧倒するほどの激流となる……か。									普段はさながら湖のように穏やかだが、想いという流れを得れば、ときにエーテルを圧倒するほどの激流となる……か。	きっかけと提案
……で、そのデュナミスの力を使って、この星を外から終わらせようとしてる奴がいるってわけね。									……で、そのデュナミスの力を使って、この星を外から終わらせようとしてる奴がいるってわけね。	きっかけと提案
それが、メーティオン……。									それが、メーティオン……。	きっかけと提案
より正しく言うのであれば、想いを通わせる中で彼女の心に蓄積されてしまった、すでに亡き星々の恨みつらみ……ってところか。									より正しく言うのであれば、想いを通わせる中で彼女の心に蓄積されてしまった、すでに亡き星々の恨みつらみ……ってところか。	きっかけと提案
計り知れないほどの絶望や苦しみ、憎悪や悲嘆が、デュナミスを動かして……アーテリスにも、終わりをもたらそうとしている……。									計り知れないほどの絶望や苦しみ、憎悪や悲嘆が、デュナミスを動かして……アーテリスにも、終わりをもたらそうとしている……。	きっかけと提案
馬鹿げた規模の話だが、災厄なんていう形のないものを相手にするよりは、目標がはっきりしたな。									馬鹿げた規模の話だが、災厄なんていう形のないものを相手にするよりは、目標がはっきりしたな。	きっかけと提案
方法はともかくとして、そのメーティオンとかいう奴を倒せばいいわけだろう？									方法はともかくとして、そのメーティオンとかいう奴を倒せばいいわけだろう？	きっかけと提案
簡単に言ってくれるじゃない……。									簡単に言ってくれるじゃない……。	きっかけと提案
メーティオンを倒せば終末を退けられるとして……それを成し遂げるために必要なことが、最低でもふたつあるわ。									メーティオンを倒せば終末を退けられるとして……それを成し遂げるために必要なことが、最低でもふたつあるわ。	きっかけと提案
ひとつ目は、メーティオンの居場所を特定すること。									ひとつ目は、メーティオンの居場所を特定すること。	きっかけと提案
それを知っている可能性があるのは、彼女に追跡の魔法をかけたヴェーネス……つまり今のハイデリンだけよ。									それを知っている可能性があるのは、彼女に追跡の魔法をかけたヴェーネス……つまり今のハイデリンだけよ。	きっかけと提案
彼女が、あなたの見た過去の彼女と、別人だとは思えない……事実の齟齬もないし、これまでの発言からしてもね。歴史は恐らく、繋がったんだわ。									彼女が、あなたの見た過去の彼女と、別人だとは思えない……事実の齟齬もないし、これまでの発言からしてもね。歴史は恐らく、繋がったんだわ。	きっかけと提案
ただ、それはそれとして、今の彼女がメーティオンの居場所を知っているのか、知っていたとして教える気があるのかは、わからない……。									ただ、それはそれとして、今の彼女がメーティオンの居場所を知っているのか、知っていたとして教える気があるのかは、わからない……。	きっかけと提案
現実としてハイデリンから下されている指令は、「月に乗って星から逃げろ」だもの。									現実としてハイデリンから下されている指令は、「月に乗って星から逃げろ」だもの。	きっかけと提案
Forenameさん……ハイデリンは、メーティオンに追いつくのを諦めたのだと思う？									Forenameさん……ハイデリンは、メーティオンに追いつくのを諦めたのだと思う？	きっかけと提案
何と言う？									何と言う？	きっかけと提案
あの人は、絶対に諦めない									あの人は、絶対に諦めない	きっかけと提案
諦めたくもなるだろう……									諦めたくもなるだろう……	きっかけと提案
私も、そう思う。でなければ、自分が苦しいときに、私の身体を借りてまで、エルピスの花というヒントを託しに来ないはずだもの。									私も、そう思う。でなければ、自分が苦しいときに、私の身体を借りてまで、エルピスの花というヒントを託しに来ないはずだもの。	きっかけと提案
そうかしら……。だって、自分が苦しいときに、私の身体を借りてまで、エルピスの花というヒントを託しに来たのよ？									そうかしら……。だって、自分が苦しいときに、私の身体を借りてまで、エルピスの花というヒントを託しに来たのよ？	きっかけと提案
ハイデリンは諦めたんじゃなくて……きっと、待っているんだわ。									ハイデリンは諦めたんじゃなくて……きっと、待っているんだわ。	きっかけと提案
私たちが……人が……彼女に「答え」を示しに来るのを。									私たちが……人が……彼女に「答え」を示しに来るのを。	きっかけと提案
ちなみに、メーティオンを倒しに行くにあたって必要なことの、もうひとつは何だろうか……？									ちなみに、メーティオンを倒しに行くにあたって必要なことの、もうひとつは何だろうか……？	きっかけと提案
ああ、当然かもしれないけれど、メーティオンの居場所まで行く方法の確保よ。									ああ、当然かもしれないけれど、メーティオンの居場所まで行く方法の確保よ。	きっかけと提案
もっとも、行き先がわからなければ、行く方法の検討もできないから、こちらは必然的に後回しになるわね。									もっとも、行き先がわからなければ、行く方法の検討もできないから、こちらは必然的に後回しになるわね。	きっかけと提案
となると、何はともあれ、ハイデリンと話すことが最優先か。									となると、何はともあれ、ハイデリンと話すことが最優先か。	きっかけと提案
ヤ・シュトラは、ちょうど星海の調査をしてきたんだろう？そっちの首尾はどうだったんだ？									ヤ・シュトラは、ちょうど星海の調査をしてきたんだろう？そっちの首尾はどうだったんだ？	きっかけと提案
ダメね……アレンヴァルドたち、「超える力」の持ち主にも協力してもらったけれど、「逆さの塔」ではもう、ハイデリンの声すら聞こえなかった。									ダメね……アレンヴァルドたち、「超える力」の持ち主にも協力してもらったけれど、「逆さの塔」ではもう、ハイデリンの声すら聞こえなかった。	きっかけと提案
一方で、これはマトーヤの見解でもあるのだけれど……哲学者議会がハイデリンの指示に従って動いていたなら、長年「逆さの塔」を放置していたのは不可解なのよ。									一方で、これはマトーヤの見解でもあるのだけれど……哲学者議会がハイデリンの指示に従って動いていたなら、長年「逆さの塔」を放置していたのは不可解なのよ。	きっかけと提案
恐らく、もっと彼らの身近なところに造り直したんだわ……より確実にハイデリンと対話することができる、新たな星海観測施設をね。									恐らく、もっと彼らの身近なところに造り直したんだわ……より確実にハイデリンと対話することができる、新たな星海観測施設をね。	きっかけと提案
(-オジカ・ツンジカの声-)お取り込み中、失礼～。哲学者議会からの使者が来たよぉ～。									(-オジカ・ツンジカの声-)お取り込み中、失礼～。哲学者議会からの使者が来たよぉ～。	きっかけと提案
(-オジカ・ツンジカの声-)大撤収についての全容を説明するから、「哲学者の広場」まで来られたし……だってさぁ～！									(-オジカ・ツンジカの声-)大撤収についての全容を説明するから、「哲学者の広場」まで来られたし……だってさぁ～！	きっかけと提案
アルフィノが持ち掛けた提案が通ったんだわ！									アルフィノが持ち掛けた提案が通ったんだわ！	きっかけと提案
今はひとまず、「哲学者の広場」へ……哲学者議会が何を知り、どんな段取りをしているのか、聞かせてもらうとしよう！									今はひとまず、「哲学者の広場」へ……哲学者議会が何を知り、どんな段取りをしているのか、聞かせてもらうとしよう！	きっかけと提案
父は、私との約束を、さっそく果たしてくれたのか……。									父は、私との約束を、さっそく果たしてくれたのか……。	きっかけと提案
ならば、この機会を大いに活用させてもらわなければね。行こう……「哲学者の広場」へ！									ならば、この機会を大いに活用させてもらわなければね。行こう……「哲学者の広場」へ！	きっかけと提案
まさか、こんなに早く、哲学者議会に話が通るなんてね。マグナ・グラキエスで、がんばって戦ったのが、少しは効いたのかしら……？									まさか、こんなに早く、哲学者議会に話が通るなんてね。マグナ・グラキエスで、がんばって戦ったのが、少しは効いたのかしら……？	きっかけと提案
グ・ラハとエスティニアンをガレマルドに遣ったあとにも、ロクス・アモエヌスで、できる限りのことはしてきた。									グ・ラハとエスティニアンをガレマルドに遣ったあとにも、ロクス・アモエヌスで、できる限りのことはしてきた。	きっかけと提案
あそこも、渦中の帝国領だからな……ただでさえも行政が混乱しているところに終末が来て、避難さえままならない街も多かったんだ。									あそこも、渦中の帝国領だからな……ただでさえも行政が混乱しているところに終末が来て、避難さえままならない街も多かったんだ。	きっかけと提案
ゾディアークが消滅せし折には、アーテリスから人を逃がせ……ハイデリンがレポリットたちに与えた指示は、確かにそれだけだったようです。									ゾディアークが消滅せし折には、アーテリスから人を逃がせ……ハイデリンがレポリットたちに与えた指示は、確かにそれだけだったようです。	きっかけと提案
しかし、月のクルーである彼らは、宇宙について比類なき知識と技術を持っています。									しかし、月のクルーである彼らは、宇宙について比類なき知識と技術を持っています。	きっかけと提案
メーティオンのもとへ向かうという選択をした際にも、実り多き助言を、与えてくれることでしょう……。									メーティオンのもとへ向かうという選択をした際にも、実り多き助言を、与えてくれることでしょう……。	きっかけと提案
マトーヤ曰く、新たな星海観測施設を造っているんじゃないかという予測は、前々からついていたそうよ。									マトーヤ曰く、新たな星海観測施設を造っているんじゃないかという予測は、前々からついていたそうよ。	きっかけと提案
「逆さの塔」の番をさせられている身としては、文句のひとつやふたつ、言って然るべきだと思うけれど……そうでなくとも彼女、哲学者議会をいつも罵ってたわね。									「逆さの塔」の番をさせられている身としては、文句のひとつやふたつ、言って然るべきだと思うけれど……そうでなくとも彼女、哲学者議会をいつも罵ってたわね。	きっかけと提案
もう使うことはないと思っていた、あのクリスタルタワーの機能と召喚術が、あんたを遠い過去に送ったのか……。									もう使うことはないと思っていた、あのクリスタルタワーの機能と召喚術が、あんたを遠い過去に送ったのか……。	きっかけと提案
なら、エルピスで掴んできてくれた真実を、世界の存続に繋げないといけないよな。									なら、エルピスで掴んできてくれた真実を、世界の存続に繋げないといけないよな。	きっかけと提案
第八霊災は退けたけど、間もなく別の災厄で滅亡しました……なんて、別の未来の「あいつら」に、申し訳が立たないからさ。									第八霊災は退けたけど、間もなく別の災厄で滅亡しました……なんて、別の未来の「あいつら」に、申し訳が立たないからさ。	きっかけと提案
デュナミスだのヘルメスだの、どうにも小難しいな……。									デュナミスだのヘルメスだの、どうにも小難しいな……。	きっかけと提案
まあ、俺なりに解釈はした。つまるところ、デミールの遺烈郷で、お前たちと話したようなことだろう？									まあ、俺なりに解釈はした。つまるところ、デミールの遺烈郷で、お前たちと話したようなことだろう？	きっかけと提案
どん底で他者の死を願うものと、生を望むもの……そのふたつのせめぎ合いってやつさ。									どん底で他者の死を願うものと、生を望むもの……そのふたつのせめぎ合いってやつさ。	きっかけと提案
あのあと、私の方でも、もう一度ラヴィリンソスの花を見に行ったりして、ハイデリンとの接触を試みたの。									あのあと、私の方でも、もう一度ラヴィリンソスの花を見に行ったりして、ハイデリンとの接触を試みたの。	きっかけと提案
……でも、全部空振りだった。バブイルの塔でファダニエルからゾディアークを護ったとき、かなり力を使っちゃったんじゃないかと思う。									……でも、全部空振りだった。バブイルの塔でファダニエルからゾディアークを護ったとき、かなり力を使っちゃったんじゃないかと思う。	きっかけと提案
彼女が私の身体から抜けていくとき、すごく弱々しくて……なんだか消えてしまいそうだって……ぼんやりと感じたわ。									彼女が私の身体から抜けていくとき、すごく弱々しくて……なんだか消えてしまいそうだって……ぼんやりと感じたわ。	きっかけと提案
私はここで、留守番をさせていただきまっす！									私はここで、留守番をさせていただきまっす！	きっかけと提案
「哲学者の広場」は、イシュガルドの神聖裁判所と少し雰囲気が似ていて……ううぅ……思い出すだけで心臓が飛び出そうでっす……。									「哲学者の広場」は、イシュガルドの神聖裁判所と少し雰囲気が似ていて……ううぅ……思い出すだけで心臓が飛び出そうでっす……。	きっかけと提案
申し訳ございません。これより哲学者議会の臨時会が開催されますので、「哲学者の広場」の見学は控えていただけますと……									申し訳ございません。これより哲学者議会の臨時会が開催されますので、「哲学者の広場」の見学は控えていただけますと……	きっかけと提案
おっと失礼、あなたが「暁の血盟」の方でしたか。どうぞお入りになって、開始時刻まで、廊下の奥でお待ちください。									おっと失礼、あなたが「暁の血盟」の方でしたか。どうぞお入りになって、開始時刻まで、廊下の奥でお待ちください。	きっかけと提案
また、争いではなく対話を求める者の証明として、入場の際には、武器などをお預かりするのが習わしです。皆様も、どうかご協力くださいませ。									また、争いではなく対話を求める者の証明として、入場の際には、武器などをお預かりするのが習わしです。皆様も、どうかご協力くださいませ。	きっかけと提案
どうぞお入りになって、開始時刻まで、廊下の奥でお待ちください。ほかの方も、そちらにご案内いたしますね。									どうぞお入りになって、開始時刻まで、廊下の奥でお待ちください。ほかの方も、そちらにご案内いたしますね。	きっかけと提案
お父様の言うことは、もっともだわ。この緊急時に、考え方が違う人たちまで救おうとするのは、愚かなやり方かもしれない……。									お父様の言うことは、もっともだわ。この緊急時に、考え方が違う人たちまで救おうとするのは、愚かなやり方かもしれない……。	きっかけと提案
だけど……だったら私は、やっぱり終末を退けるために足掻きたい。哲学者議会に選ばれなくても生きられる世界であってほしいの。									だけど……だったら私は、やっぱり終末を退けるために足掻きたい。哲学者議会に選ばれなくても生きられる世界であってほしいの。	きっかけと提案
諜報員として賢人位をもらっていても、自国の中枢機関が星外脱出を計画しているとは、思いもしなかった……。									諜報員として賢人位をもらっていても、自国の中枢機関が星外脱出を計画しているとは、思いもしなかった……。	きっかけと提案
それとわかる兆候はあったのかもしれないが、何せこちらにも、星の外に出るなんて考えがなかったからな。									それとわかる兆候はあったのかもしれないが、何せこちらにも、星の外に出るなんて考えがなかったからな。	きっかけと提案
レポリットたちはこの場にいないようですね。別の場所に案内されたのでしょうか……。									レポリットたちはこの場にいないようですね。別の場所に案内されたのでしょうか……。	きっかけと提案
彼らにとっては初めてのアーテリスですので、見るもの聞くもの、すべてが新鮮に感じられるはず。はぐれたりしていないと良いのですが……。									彼らにとっては初めてのアーテリスですので、見るもの聞くもの、すべてが新鮮に感じられるはず。はぐれたりしていないと良いのですが……。	きっかけと提案
否定しなかったということは、やはり「逆さの塔」に代わる施設があるようね。……マトーヤとも、いずれ話し合ってもらえるといいけれど。									否定しなかったということは、やはり「逆さの塔」に代わる施設があるようね。……マトーヤとも、いずれ話し合ってもらえるといいけれど。	きっかけと提案
歴史を追ってると、よくぶつかる壁なんだが、時間って、遠くなるほど正確に把握するのが難しくなるんだよ。									歴史を追ってると、よくぶつかる壁なんだが、時間って、遠くなるほど正確に把握するのが難しくなるんだよ。	きっかけと提案
「星暦」のような年数の数え方も文化とともに変わるし、そもそも何日を1年とみなすかさえ、違っていたりする……。									「星暦」のような年数の数え方も文化とともに変わるし、そもそも何日を1年とみなすかさえ、違っていたりする……。	きっかけと提案
ヴェーネスが、あんたから聞いた断片的な話をもとに、終末が「今からどれだけ先に起こるか」を判断するのは、相当難しかったはずだ。									ヴェーネスが、あんたから聞いた断片的な話をもとに、終末が「今からどれだけ先に起こるか」を判断するのは、相当難しかったはずだ。	きっかけと提案
ましてや、歴史が繋がるかどうかわからない状況じゃな……。哲学者議会の方舟が、性能不足であれほぼ完成してるのは、奇跡的な偉業なんじゃないか？									ましてや、歴史が繋がるかどうかわからない状況じゃな……。哲学者議会の方舟が、性能不足であれほぼ完成してるのは、奇跡的な偉業なんじゃないか？	きっかけと提案
月への移送手段か……。幻龍の本体が動ける状態だったら、いくらか頼めたかもしれないが……									月への移送手段か……。幻龍の本体が動ける状態だったら、いくらか頼めたかもしれないが……	きっかけと提案
加えて、ほかの七大天竜が星外を飛べたとしても、結局は焼け石に水だろうな。									加えて、ほかの七大天竜が星外を飛べたとしても、結局は焼け石に水だろうな。	きっかけと提案
ふぅ……。私、ちゃんと進行できてたかしら？ものすごく緊張したわ……。									ふぅ……。私、ちゃんと進行できてたかしら？ものすごく緊張したわ……。	きっかけと提案
だけど、こういうときくらい、率先して力になりたいもの！アルフィノくんが上手く繋げてくれたし、名乗り出た甲斐があったわ。									だけど、こういうときくらい、率先して力になりたいもの！アルフィノくんが上手く繋げてくれたし、名乗り出た甲斐があったわ。	きっかけと提案
……案じずとも、議会での決定には従おう。									……案じずとも、議会での決定には従おう。	きっかけと提案
すまない、勝手に条件を提示してしまって……。交渉役を任せてもらったなりに、考えたんだ。									すまない、勝手に条件を提示してしまって……。交渉役を任せてもらったなりに、考えたんだ。	きっかけと提案
メーティオンのもとにいくために必要な、ハイデリンとの接触……。									メーティオンのもとにいくために必要な、ハイデリンとの接触……。	きっかけと提案
それから、要件を満たすかどうかはわからないが、「方舟」が移動手段になり得るかもしれないと、咄嗟に思ったんだ。									それから、要件を満たすかどうかはわからないが、「方舟」が移動手段になり得るかもしれないと、咄嗟に思ったんだ。	きっかけと提案
……それらの報酬を得るためには、シャーレアンが誇る研究員たちですら苦心している、「エーテル縮退炉」の問題を解決しなくてはならない。									……それらの報酬を得るためには、シャーレアンが誇る研究員たちですら苦心している、「エーテル縮退炉」の問題を解決しなくてはならない。	きっかけと提案
かなりの難題だが……私たちの最終目標は、終末から星を救うという、とびきりの無茶だ。									かなりの難題だが……私たちの最終目標は、終末から星を救うという、とびきりの無茶だ。	きっかけと提案
だったらこれくらい、乗り越えてみせよう。君と、私と、皆の力で……！									だったらこれくらい、乗り越えてみせよう。君と、私と、皆の力で……！	きっかけと提案
哲学者の広場のフルシュノは、議会の決定に従うようだ。									哲学者の広場のフルシュノは、議会の決定に従うようだ。	入口前に僕らは集った
エーテル縮退炉を開発している場所に、連れていってもらえることになった。ラヴィリンソスのアルケイオン保管院にいる「フルシュノ」と話そう。									エーテル縮退炉を開発している場所に、連れていってもらえることになった。ラヴィリンソスのアルケイオン保管院にいる「フルシュノ」と話そう。	入口前に僕らは集った
フルシュノから保管院の昇降機を使う許可をもらった。アルケイオン保管院のミディアルサーキット側の出口にいる「フルシュノ」と話そう。									フルシュノから保管院の昇降機を使う許可をもらった。アルケイオン保管院のミディアルサーキット側の出口にいる「フルシュノ」と話そう。	入口前に僕らは集った
フルシュノから案内を受けた。ラヴィリンソスのロジスティコン・アルファにいる「アルフィノ」と話そう。									フルシュノから案内を受けた。ラヴィリンソスのロジスティコン・アルファにいる「アルフィノ」と話そう。	入口前に僕らは集った
アルフィノたちと話した。ロジスティコン・アルファの昇降機前にいる「ヘスター」と話そう。									アルフィノたちと話した。ロジスティコン・アルファの昇降機前にいる「ヘスター」と話そう。	入口前に僕らは集った
セントラルサーキットまで下りてきた。ロジスティコン・アルファのセントラルサーキット側の出口にいる「フルシュノ」と話そう。									セントラルサーキットまで下りてきた。ロジスティコン・アルファのセントラルサーキット側の出口にいる「フルシュノ」と話そう。	入口前に僕らは集った
フルシュノから案内を受けた。ラヴィリンソスのククロの工房にいる「ククロ・ダンクロ」と話そう。									フルシュノから案内を受けた。ラヴィリンソスのククロの工房にいる「ククロ・ダンクロ」と話そう。	入口前に僕らは集った
ククロ・ダンクロから話を聞き、世界中の仲間にエクスアダマントの回収を依頼した。ククロの工房にいる「クルル」と話そう。									ククロ・ダンクロから話を聞き、世界中の仲間にエクスアダマントの回収を依頼した。ククロの工房にいる「クルル」と話そう。	入口前に僕らは集った
クルルは、エクスアダマントの受け取りのため、一足先に地上に戻ることになった。世界各地の仲間を信じ、ほかにすべきことを進めていこう！									クルルは、エクスアダマントの受け取りのため、一足先に地上に戻ることになった。世界各地の仲間を信じ、ほかにすべきことを進めていこう！	入口前に僕らは集った
アルケイオン保管院のフルシュノと話す									アルケイオン保管院のフルシュノと話す	入口前に僕らは集った
フルシュノと再度話す									フルシュノと再度話す	入口前に僕らは集った
アルフィノと話す									アルフィノと話す	入口前に僕らは集った
ヘスターと話す									ヘスターと話す	入口前に僕らは集った
フルシュノと話す									フルシュノと話す	入口前に僕らは集った
ククロ・ダンクロと話す									ククロ・ダンクロと話す	入口前に僕らは集った
クルルと話す									クルルと話す	入口前に僕らは集った
さあ、まずは父から、「エーテル縮退炉」について聞いてみよう。必ずそれを、より良い状態に仕上げるんだ！									さあ、まずは父から、「エーテル縮退炉」について聞いてみよう。必ずそれを、より良い状態に仕上げるんだ！	入口前に僕らは集った
お父様の言うことは、もっともだわ。この緊急時に、考え方が違う人たちまで救おうとするのは、愚かなやり方かもしれない……。									お父様の言うことは、もっともだわ。この緊急時に、考え方が違う人たちまで救おうとするのは、愚かなやり方かもしれない……。	入口前に僕らは集った
だけど……だったら私は、やっぱり終末を退けるために足掻きたい。哲学者議会に選ばれなくても生きられる世界であってほしいの。									だけど……だったら私は、やっぱり終末を退けるために足掻きたい。哲学者議会に選ばれなくても生きられる世界であってほしいの。	入口前に僕らは集った
諜報員として賢人位をもらっていても、自国の中枢機関が星外脱出を計画しているとは、思いもしなかった……。									諜報員として賢人位をもらっていても、自国の中枢機関が星外脱出を計画しているとは、思いもしなかった……。	入口前に僕らは集った
それとわかる兆候はあったのかもしれないが、何せこちらにも、星の外に出るなんて考えがなかったからな。									それとわかる兆候はあったのかもしれないが、何せこちらにも、星の外に出るなんて考えがなかったからな。	入口前に僕らは集った
レポリットたちはこの場にいないようですね。別の場所に案内されたのでしょうか……。									レポリットたちはこの場にいないようですね。別の場所に案内されたのでしょうか……。	入口前に僕らは集った
彼らにとっては初めてのアーテリスですので、見るもの聞くもの、すべてが新鮮に感じられるはず。はぐれたりしていないと良いのですが……。									彼らにとっては初めてのアーテリスですので、見るもの聞くもの、すべてが新鮮に感じられるはず。はぐれたりしていないと良いのですが……。	入口前に僕らは集った
否定しなかったということは、やはり「逆さの塔」に代わる施設があるようね。……マトーヤとも、いずれ話し合ってもらえるといいけれど。									否定しなかったということは、やはり「逆さの塔」に代わる施設があるようね。……マトーヤとも、いずれ話し合ってもらえるといいけれど。	入口前に僕らは集った
歴史を追ってると、よくぶつかる壁なんだが、時間って、遠くなるほど正確に把握するのが難しくなるんだよ。									歴史を追ってると、よくぶつかる壁なんだが、時間って、遠くなるほど正確に把握するのが難しくなるんだよ。	入口前に僕らは集った
「星暦」のような年数の数え方も文化とともに変わるし、そもそも何日を1年とみなすかさえ、違っていたりする……。									「星暦」のような年数の数え方も文化とともに変わるし、そもそも何日を1年とみなすかさえ、違っていたりする……。	入口前に僕らは集った
ヴェーネスが、あんたから聞いた断片的な話をもとに、終末が「今からどれだけ先に起こるか」を判断するのは、相当難しかったはずだ。									ヴェーネスが、あんたから聞いた断片的な話をもとに、終末が「今からどれだけ先に起こるか」を判断するのは、相当難しかったはずだ。	入口前に僕らは集った
ましてや、歴史が繋がるかどうかわからない状況じゃな……。哲学者議会の方舟製造が、性能不足であれ間に合ってるのは、奇跡的な偉業なんじゃないか？									ましてや、歴史が繋がるかどうかわからない状況じゃな……。哲学者議会の方舟製造が、性能不足であれ間に合ってるのは、奇跡的な偉業なんじゃないか？	入口前に僕らは集った
月への移送手段か……。幻龍の本体が動ける状態だったら、いくらか頼めたかもしれないが……									月への移送手段か……。幻龍の本体が動ける状態だったら、いくらか頼めたかもしれないが……	入口前に僕らは集った
加えて、ほかの七大天竜が星外を飛べたとしても、結局は焼け石に水だろうな。									加えて、ほかの七大天竜が星外を飛べたとしても、結局は焼け石に水だろうな。	入口前に僕らは集った
ふぅ……。私、ちゃんと進行できてたかしら？ものすごく緊張したわ……。									ふぅ……。私、ちゃんと進行できてたかしら？ものすごく緊張したわ……。	入口前に僕らは集った
だけど、こういうときくらい、率先して力になりたいもの！アルフィノくんが上手く繋げてくれたし、名乗り出た甲斐があったわ。									だけど、こういうときくらい、率先して力になりたいもの！アルフィノくんが上手く繋げてくれたし、名乗り出た甲斐があったわ。	入口前に僕らは集った
では、哲学者議会の決定に基づき、お前たちを「エーテル縮退炉」開発の現場に連れていく。									では、哲学者議会の決定に基づき、お前たちを「エーテル縮退炉」開発の現場に連れていく。	入口前に僕らは集った
ひとまず、ラヴィリンソスの、アルケイオン保管院まで来なさい。									ひとまず、ラヴィリンソスの、アルケイオン保管院まで来なさい。	入口前に僕らは集った
ラヴィリンソス……あの場所で方舟が……？とにかく行ってみよう。									ラヴィリンソス……あの場所で方舟が……？とにかく行ってみよう。	入口前に僕らは集った
前に来たときは、大整理中だということを理由に、利用を断られたが……さて……。									前に来たときは、大整理中だということを理由に、利用を断られたが……さて……。	入口前に僕らは集った
みんなでラヴィリンソスを探索しにきたのが、ずいぶん前のことみたいに感じるわ。									みんなでラヴィリンソスを探索しにきたのが、ずいぶん前のことみたいに感じるわ。	入口前に僕らは集った
哲学者議会がシャーレアン市民にすら隠してきた真実、しかと拝見させてもらうとするか。									哲学者議会がシャーレアン市民にすら隠してきた真実、しかと拝見させてもらうとするか。	入口前に僕らは集った
かつて哲学者議会から月に送られた資料の中には、アルケイオン保管院の目録もありました。									かつて哲学者議会から月に送られた資料の中には、アルケイオン保管院の目録もありました。	入口前に僕らは集った
アーテリスを理解するために必要なものは、おおよそここに収められているという、自負があったのでしょう。									アーテリスを理解するために必要なものは、おおよそここに収められているという、自負があったのでしょう。	入口前に僕らは集った
ラヴィリンソスの下層についての話を覚えていて？哲学者議会に指名された研究員のみが立ち入れる区画……まさに、うってつけじゃない。									ラヴィリンソスの下層についての話を覚えていて？哲学者議会に指名された研究員のみが立ち入れる区画……まさに、うってつけじゃない。	入口前に僕らは集った
あんたたちが調査に来たときは同行できなかったから、ここに来るのは、すごく久々だ。増えてるんだろうな……いろんな史料……。									あんたたちが調査に来たときは同行できなかったから、ここに来るのは、すごく久々だ。増えてるんだろうな……いろんな史料……。	入口前に僕らは集った
こんな場所を、わざわざ地下に造る意味がわからん。「屋外のようにする」なら、最初から屋外でいいだろう……。									こんな場所を、わざわざ地下に造る意味がわからん。「屋外のようにする」なら、最初から屋外でいいだろう……。	入口前に僕らは集った
保管院に収容されているものは、すべて月へ運ぶつもりなのかしら？荷の積み込みは始めているって言ってたけれど……。									保管院に収容されているものは、すべて月へ運ぶつもりなのかしら？荷の積み込みは始めているって言ってたけれど……。	入口前に僕らは集った
目的の場所は、さらに下の階層にある。									目的の場所は、さらに下の階層にある。	入口前に僕らは集った
お前たちには、特例として、保管院内にある昇降機の利用を許可しよう。									お前たちには、特例として、保管院内にある昇降機の利用を許可しよう。	入口前に僕らは集った
中に入り、昇降機番の「オフィリーヌ」に声をかけて、ミディアルサーキットまで下りてくるがいい。									中に入り、昇降機番の「オフィリーヌ」に声をかけて、ミディアルサーキットまで下りてくるがいい。	入口前に僕らは集った
昇降機を利用し、ミディアルサーキットへ向かいますか？									昇降機を利用し、ミディアルサーキットへ向かいますか？	入口前に僕らは集った
「ミディアルサーキット」へ移動しますか？									「ミディアルサーキット」へ移動しますか？	入口前に僕らは集った
