石の家のタタルは、冒険者に重大な報告があるようだ。									石の家のタタルは、冒険者に重大な報告があるようだ。	予感
トメラの村のザモットは、大事な話をするようだ。									トメラの村のザモットは、大事な話をするようだ。	採掘と破砕
コルットと話す									コルットと話す	採掘と破砕
コルットと再度話す									コルットと再度話す	採掘と破砕
コルットを護衛しながら東に進め！									コルットを護衛しながら東に進め！	採掘と破砕
罪喰いを殲滅しろ！									罪喰いを殲滅しろ！	採掘と破砕
おかえり、Forename。この程度は褒めるまでもないのかもしれないが、本当に、うまくやるものだと感心したよ。									おかえり、Forename。この程度は褒めるまでもないのかもしれないが、本当に、うまくやるものだと感心したよ。	採掘と破砕
さて……おみゃーらは知らないかもしれんが、ここコルシア島は、古くから良質な硫黄の産地として、有名な場所だったのだ。									さて……おみゃーらは知らないかもしれんが、ここコルシア島は、古くから良質な硫黄の産地として、有名な場所だったのだ。	採掘と破砕
その鉱脈には、まれに「大地の種」と呼ばれる、強い魔力を秘めた特殊な鉱石が見つかることがあってな。									その鉱脈には、まれに「大地の種」と呼ばれる、強い魔力を秘めた特殊な鉱石が見つかることがあってな。	採掘と破砕
加工の技もすたれて、忘れられた存在になったが……おかげで今なお採ることができるわけよ。「ドヴェルグの煙突」あたりのやつが、とくに上等だ。									加工の技もすたれて、忘れられた存在になったが……おかげで今なお採ることができるわけよ。「ドヴェルグの煙突」あたりのやつが、とくに上等だ。	採掘と破砕
だが、あそこは、ワシらの宿敵「コグー一家」が、勝手に縄張りだと言い張ってる場所だ！									だが、あそこは、ワシらの宿敵「コグー一家」が、勝手に縄張りだと言い張ってる場所だ！	採掘と破砕
連中ときたら、本当に極悪の……性悪の……ワルワルのワルときたもんだから、頼み込んだとしても、絶対に採集させてはくれん！									連中ときたら、本当に極悪の……性悪の……ワルワルのワルときたもんだから、頼み込んだとしても、絶対に採集させてはくれん！	採掘と破砕
だから、そっちで「うまく」やってもらう必要があるんだが……その点は大丈夫だな？									だから、そっちで「うまく」やってもらう必要があるんだが……その点は大丈夫だな？	採掘と破砕
ああ、なにせ「反逆者ども」と称された身だ、大変遺憾ながら、鮮やかにやり遂げてみせよう。									ああ、なにせ「反逆者ども」と称された身だ、大変遺憾ながら、鮮やかにやり遂げてみせよう。	採掘と破砕
そういうことなら、話は早い……さっそく、誰か腕の立つ奴を選んで、案内させよう。									そういうことなら、話は早い……さっそく、誰か腕の立つ奴を選んで、案内させよう。	採掘と破砕
(-？？？？-)たのもーッ！その役目、あっしにやらせてくださーーい！									(-？？？？-)たのもーッ！その役目、あっしにやらせてくださーーい！	採掘と破砕
コルット！おみゃーが行くってのか！？									コルット！おみゃーが行くってのか！？	採掘と破砕
あっし、その方たちとザモットさんの話を聞いてたんす。罪喰いが火山に集まってきてるのはわかってましたが、あすこに、最後の大罪喰いがいるなんて！									あっし、その方たちとザモットさんの話を聞いてたんす。罪喰いが火山に集まってきてるのはわかってましたが、あすこに、最後の大罪喰いがいるなんて！	採掘と破砕
そんな、コルシア島の……世界の一大事に、採掘師としてお役に立てるなら、やらせてほしいんす！									そんな、コルシア島の……世界の一大事に、採掘師としてお役に立てるなら、やらせてほしいんす！	採掘と破砕
その意気やよし！って言ってやりたいところだが……。									その意気やよし！って言ってやりたいところだが……。	採掘と破砕
あいつはコルット、採掘の腕は村でも随一で、ここドヴェルガル山脈の地理についても詳しい。									あいつはコルット、採掘の腕は村でも随一で、ここドヴェルガル山脈の地理についても詳しい。	採掘と破砕
……が、それ以外はからっきしでなぁ。とくに戦いについては、採掘んときと違って、どれだけピックを振り回しても当たりゃせん！									……が、それ以外はからっきしでなぁ。とくに戦いについては、採掘んときと違って、どれだけピックを振り回しても当たりゃせん！	採掘と破砕
現地について、あとは掘るだけって段階になれば、役立つことは保証できるんだが……罪喰いも増えてるこの状況じゃ、目的地まで行けるかどうか。									現地について、あとは掘るだけって段階になれば、役立つことは保証できるんだが……罪喰いも増えてるこの状況じゃ、目的地まで行けるかどうか。	採掘と破砕
ううっ……それは、弁解の余地もないんすが……。									ううっ……それは、弁解の余地もないんすが……。	採掘と破砕
でも、こんなときだからこそ、すっこんでられないす！どうか、あっしを連れて行ってほしいす！！									でも、こんなときだからこそ、すっこんでられないす！どうか、あっしを連れて行ってほしいす！！	採掘と破砕
何と言う？									何と言う？	採掘と破砕
護衛しよう、案内と採掘は任せた									護衛しよう、案内と採掘は任せた	採掘と破砕
危険を承知してるなら……									危険を承知してるなら……	採掘と破砕
は、はいっす！精一杯、がんばるす！									は、はいっす！精一杯、がんばるす！	採掘と破砕
おみゃーがそう言ってくれるなら、ワシも止めはせん。コルットのこと、よろしく頼んだぞ。									おみゃーがそう言ってくれるなら、ワシも止めはせん。コルットのこと、よろしく頼んだぞ。	採掘と破砕
道中、罪喰いの襲撃を受ける可能性は高い……。戦いの支度を整えてから、出発するとしよう。									道中、罪喰いの襲撃を受ける可能性は高い……。戦いの支度を整えてから、出発するとしよう。	採掘と破砕
……大丈夫、Forenameとならば、なんだって蹴散らせるさ。									……大丈夫、Forenameとならば、なんだって蹴散らせるさ。	採掘と破砕
「ドヴェルグの煙突」まで、コルットに案内してもらおう。戦いの支度は、忘れずに整えてくれ。									「ドヴェルグの煙突」まで、コルットに案内してもらおう。戦いの支度は、忘れずに整えてくれ。	採掘と破砕
コルットのこと、よろしく頼んだぞ！本当に、ヨワヨワのヘボだからな！									コルットのこと、よろしく頼んだぞ！本当に、ヨワヨワのヘボだからな！	採掘と破砕
目的地「ドヴェルグの煙突」は、東の洞窟内にあるす。あっしが案内しますので……おふたりとも、どうぞよろしくす！									目的地「ドヴェルグの煙突」は、東の洞窟内にあるす。あっしが案内しますので……おふたりとも、どうぞよろしくす！	採掘と破砕
あっ……！									あっ……！	採掘と破砕
ああぁ……目的地は、あいつらのうしろにある洞窟す！どど、ど、どうします！？									ああぁ……目的地は、あいつらのうしろにある洞窟す！どど、ど、どうします！？	採掘と破砕
……もう一度、格好いい活躍を、お見せ願えるかな？									……もう一度、格好いい活躍を、お見せ願えるかな？	採掘と破砕
ふぅ……最後は間一髪だったな。無事でよかった、護衛おつかれさまだ。									ふぅ……最後は間一髪だったな。無事でよかった、護衛おつかれさまだ。	採掘と破砕
ううぅ……おふたりが無事でよかったぁ……！									ううぅ……おふたりが無事でよかったぁ……！	採掘と破砕
この洞窟の先に、「ドヴェルグの煙突」があるす。もう罪喰いの姿は見えないけど、い、急いで中に入っちゃいましょう！									この洞窟の先に、「ドヴェルグの煙突」があるす。もう罪喰いの姿は見えないけど、い、急いで中に入っちゃいましょう！	採掘と破砕
それじゃあ、出発します！道沿いに、東へ進みましょう！									それじゃあ、出発します！道沿いに、東へ進みましょう！	採掘と破砕
それなりに距離があるようだ。罪喰いの襲撃に気をつけながら進もう。									それなりに距離があるようだ。罪喰いの襲撃に気をつけながら進もう。	採掘と破砕
さっそく見つかったか……。Forenameは、左の罪喰いを頼む！									さっそく見つかったか……。Forenameは、左の罪喰いを頼む！	採掘と破砕
敵の攻撃が、コルットに当たらないようにするんだ！									敵の攻撃が、コルットに当たらないようにするんだ！	採掘と破砕
すごい……おふたりとも、強いす！									すごい……おふたりとも、強いす！	採掘と破砕
私はともかく、彼女彼はもっと強い相手とも、勇敢に戦ってきた人だからね。									私はともかく、彼女彼はもっと強い相手とも、勇敢に戦ってきた人だからね。	採掘と破砕
Forenameさんの、これまでの戦いの話……すっごく知りたいす！									Forenameさんの、これまでの戦いの話……すっごく知りたいす！	採掘と破砕
驚きの連続になると、保証するよ。落ち着いたら、聞かせてもらうといい。									驚きの連続になると、保証するよ。落ち着いたら、聞かせてもらうといい。	採掘と破砕
へへへ……楽しみす！									へへへ……楽しみす！	採掘と破砕
ひえっ！？　また出た！									ひえっ！？　また出た！	採掘と破砕
コルットは、私たちのうしろに。いこう、Forename！									コルットは、私たちのうしろに。いこう、Forename！	採掘と破砕
う、うしろからも来ました！									う、うしろからも来ました！	採掘と破砕
Forenameは、攻撃に集中を。その間、コルットは私が護る……！									Forenameは、攻撃に集中を。その間、コルットは私が護る……！	採掘と破砕
ふぅ……ひと安心す……。おふたりの、見事な連携のおかげす……！									ふぅ……ひと安心す……。おふたりの、見事な連携のおかげす……！	採掘と破砕
彼女彼が巧いだけさ。あるいは、その戦いをずっと見てきたからか……。									彼女彼が巧いだけさ。あるいは、その戦いをずっと見てきたからか……。	採掘と破砕
あっしには、息の合った戦友同士に見えますよ！									あっしには、息の合った戦友同士に見えますよ！	採掘と破砕
…………！と、ともかく先に進むとしよう……。									…………！と、ともかく先に進むとしよう……。	採掘と破砕
……水晶公、なんだか少し、嬉しそうす？									……水晶公、なんだか少し、嬉しそうす？	採掘と破砕
さて……お前が褒めるものだから、年甲斐もなく、浮かれているのかもしれない。									さて……お前が褒めるものだから、年甲斐もなく、浮かれているのかもしれない。	採掘と破砕
実際まだ若そうなのに！おふたりは、いつから一緒に戦ってるんす？									実際まだ若そうなのに！おふたりは、いつから一緒に戦ってるんす？	採掘と破砕
それは…………。									それは…………。	採掘と破砕
わわわっ！さっきより大勢やって来ました！									わわわっ！さっきより大勢やって来ました！	採掘と破砕
この近くに留まらない方がよさそうだ。片づけたら、すぐに進もう！									この近くに留まらない方がよさそうだ。片づけたら、すぐに進もう！	採掘と破砕
い、今のうちに、こっちへ！									い、今のうちに、こっちへ！	採掘と破砕
コルット、目的の洞窟までは、あとどれくらいだ？									コルット、目的の洞窟までは、あとどれくらいだ？	採掘と破砕
この坂を越えたら、間もなくす！									この坂を越えたら、間もなくす！	採掘と破砕
見えたぞ、あれだな……！									見えたぞ、あれだな……！	採掘と破砕
ひょわわわ！？あ、あと少しだったのに……！									ひょわわわ！？あ、あと少しだったのに……！	採掘と破砕
また増えたな……囲まれたか……。									また増えたな……囲まれたか……。	採掘と破砕
ここは、大技で一気に殲滅した方がよさそうだ……！									ここは、大技で一気に殲滅した方がよさそうだ……！	採掘と破砕
Forename！指示した場所に、敵を集めてくれ！									Forename！指示した場所に、敵を集めてくれ！	採掘と破砕
よし……！さあ、一気に駆け抜けてしまおう！									よし……！さあ、一気に駆け抜けてしまおう！	採掘と破砕
わ、わかりました……！									わ、わかりました……！	採掘と破砕
コルットは私が「かばう」！その間は、思う存分に攻撃を！									コルットは私が「かばう」！その間は、思う存分に攻撃を！	採掘と破砕
Forename、コルットのそばへ！攻撃を受け止める……ッ！									Forename、コルットのそばへ！攻撃を受け止める……ッ！	採掘と破砕
あの動き……！まずい、お互いから離れろ！									あの動き……！まずい、お互いから離れろ！	採掘と破砕
騒ぎに気づいて、大物登場か……。蹴散らそう、Forename！									騒ぎに気づいて、大物登場か……。蹴散らそう、Forename！	採掘と破砕
くっ、体が……！									くっ、体が……！	採掘と破砕
あなたは、こんなところじゃ終わらない！そうだろう、英雄！									あなたは、こんなところじゃ終わらない！そうだろう、英雄！	採掘と破砕
コルットを狙っている奴を、優先して倒してくれ！ほかは任された！									コルットを狙っている奴を、優先して倒してくれ！ほかは任された！	採掘と破砕
ドワーフの洞窟前のコルットは、周囲を警戒している。									ドワーフの洞窟前のコルットは、周囲を警戒している。	ドヴェルグの煙突
水晶公と話す									水晶公と話す	ドヴェルグの煙突
水晶公と再度話す									水晶公と再度話す	ドヴェルグの煙突
透明の状態でコグー一家のドワーフにドリームパウダーを使う									透明の状態でコグー一家のドワーフにドリームパウダーを使う	ドヴェルグの煙突
水晶公と話す									水晶公と話す	ドヴェルグの煙突
ふぅ……最後は間一髪だったな。無事でよかった、護衛おつかれさまだ。									ふぅ……最後は間一髪だったな。無事でよかった、護衛おつかれさまだ。	ドヴェルグの煙突
ささ、おふたりとも、洞窟の奥へ！良質な硫黄が採れる、「ドヴェルグの煙突」にご案内するす！									ささ、おふたりとも、洞窟の奥へ！良質な硫黄が採れる、「ドヴェルグの煙突」にご案内するす！	ドヴェルグの煙突
場所はここで間違いないす。あとは、問題の…………。									場所はここで間違いないす。あとは、問題の…………。	ドヴェルグの煙突
うわっ、なんだ！？さては、トルー一家とつるんでる村の奴だろ！シッシッ！　よそ者は入ってくるな！									うわっ、なんだ！？さては、トルー一家とつるんでる村の奴だろ！シッシッ！　よそ者は入ってくるな！	ドヴェルグの煙突
うわっ、なんだ！？同胞……じゃないよな、コグーの帽子を被ってないし……。シッシッ！　よそ者は入ってくるな！									うわっ、なんだ！？同胞……じゃないよな、コグーの帽子を被ってないし……。シッシッ！　よそ者は入ってくるな！	ドヴェルグの煙突
ラリッ！？　な、な、な、何奴！？グラッグさまに報告せねば……！									ラリッ！？　な、な、な、何奴！？グラッグさまに報告せねば……！	ドヴェルグの煙突
むむむ……？ずいぶんと変わった形のタロースが、迷い込んできてるなー？									むむむ……？ずいぶんと変わった形のタロースが、迷い込んできてるなー？	ドヴェルグの煙突
むむむ……？こんな奴、仲間にいたっけなー……。コグーの帽子もしてない気がするし……タロース？									むむむ……？こんな奴、仲間にいたっけなー……。コグーの帽子もしてない気がするし……タロース？	ドヴェルグの煙突
ここが、目的地らしいが……。									ここが、目的地らしいが……。	ドヴェルグの煙突
あっ！　あれを見てください……！									あっ！　あれを見てください……！	ドヴェルグの煙突
やっぱり……。ダサダサヒゲの「コグー一家」がいるす。									やっぱり……。ダサダサヒゲの「コグー一家」がいるす。	ドヴェルグの煙突
こっちに気づいたら、邪魔してくるに違いないす。いっそ、やられる前に、やるしか……！									こっちに気づいたら、邪魔してくるに違いないす。いっそ、やられる前に、やるしか……！	ドヴェルグの煙突
まあまあ、落ち着いてくれ。彼らとどんな因縁があるのかは知らないが、できることなら無益な被害は出したくない。									まあまあ、落ち着いてくれ。彼らとどんな因縁があるのかは知らないが、できることなら無益な被害は出したくない。	ドヴェルグの煙突
私がお前に、姿を消す魔法をかけてあげよう。エーテルに引き寄せられてくる罪喰いには効果が薄いが、人の目であれば、欺けるはずだ。									私がお前に、姿を消す魔法をかけてあげよう。エーテルに引き寄せられてくる罪喰いには効果が薄いが、人の目であれば、欺けるはずだ。	ドヴェルグの煙突
それが効いているうちに、「大地の種」を掘ってこられるかい？									それが効いているうちに、「大地の種」を掘ってこられるかい？	ドヴェルグの煙突
お任せください！掘ることにかけてなら、速く、目ざとく、うまくできるす！とびきり上等な「大地の種」を手に入れてみせます！									お任せください！掘ることにかけてなら、速く、目ざとく、うまくできるす！とびきり上等な「大地の種」を手に入れてみせます！	ドヴェルグの煙突
頼りにしているよ。では…………バニシュ！									頼りにしているよ。では…………バニシュ！	ドヴェルグの煙突
わわ、本当に透明になった！それじゃあ、急いで掘ってくるすー！									わわ、本当に透明になった！それじゃあ、急いで掘ってくるすー！	ドヴェルグの煙突
Forename、私たちでコルットの補佐をしよう。									Forename、私たちでコルットの補佐をしよう。	ドヴェルグの煙突
コルットの姿は消せるが、音で気づかれる可能性も考えると、コグー一家には、できるだけこの場から退いてもらいたい。そこで……これだ。									コルットの姿は消せるが、音で気づかれる可能性も考えると、コグー一家には、できるだけこの場から退いてもらいたい。そこで……これだ。	ドヴェルグの煙突
かつてミンフィリアを救出するときに使った、眠り薬「ドリームパウダー」だよ。ミーン工芸館の職人たちが、持たせてくれたのさ。									かつてミンフィリアを救出するときに使った、眠り薬「ドリームパウダー」だよ。ミーン工芸館の職人たちが、持たせてくれたのさ。	ドヴェルグの煙突
何と言う？									何と言う？	ドヴェルグの煙突
ユールモアでも使ったなぁ……									ユールモアでも使ったなぁ……	ドヴェルグの煙突
サンクレッドも持っていたが……									サンクレッドも持っていたが……	ドヴェルグの煙突
さては、あいつら……張り切って作りすぎて、余らせてたな……？									さては、あいつら……張り切って作りすぎて、余らせてたな……？	ドヴェルグの煙突
ま、まあ、役に立つならばよしとしよう。									ま、まあ、役に立つならばよしとしよう。	ドヴェルグの煙突
あなたにも透明になる魔法をかけるから、コグー一家のドワーフたちに近づいて、そっとそれを振り撒いてほしい。									あなたにも透明になる魔法をかけるから、コグー一家のドワーフたちに近づいて、そっとそれを振り撒いてほしい。	ドヴェルグの煙突
耐え難い眠気を感じれば、彼らも残って作業は続けまいよ。									耐え難い眠気を感じれば、彼らも残って作業は続けまいよ。	ドヴェルグの煙突
では、透明になる準備ができたら、声をかけてくれ。									では、透明になる準備ができたら、声をかけてくれ。	ドヴェルグの煙突
それでは、あなたにも魔法をかけよう。姿が透明になっているうちに、「ドリームパウダー」を、コグー一家のドワーフたちに使うんだ。									それでは、あなたにも魔法をかけよう。姿が透明になっているうちに、「ドリームパウダー」を、コグー一家のドワーフたちに使うんだ。	ドヴェルグの煙突
魔法が切れそうになったら、ここに戻ってきてほしい。すぐに掛けなおすとしよう。では……！									魔法が切れそうになったら、ここに戻ってきてほしい。すぐに掛けなおすとしよう。では……！	ドヴェルグの煙突
もう一度、透明になる魔法をかけよう。……バニシュ！									もう一度、透明になる魔法をかけよう。……バニシュ！	ドヴェルグの煙突
うわっ、なんだ！？さては、トルー一家とつるんでる村の奴だろ！シッシッ！　よそ者は入ってくるな！									うわっ、なんだ！？さては、トルー一家とつるんでる村の奴だろ！シッシッ！　よそ者は入ってくるな！	ドヴェルグの煙突
うわっ、なんだ！？同胞……じゃないよな、コグーの帽子を被ってないし……。シッシッ！　よそ者は入ってくるな！									うわっ、なんだ！？同胞……じゃないよな、コグーの帽子を被ってないし……。シッシッ！　よそ者は入ってくるな！	ドヴェルグの煙突
ほあ……なんだか猛烈に眠くなってきたぁ……。村に戻って一休みしよう……。									ほあ……なんだか猛烈に眠くなってきたぁ……。村に戻って一休みしよう……。	ドヴェルグの煙突
ラリッ！？　な、な、な、何奴！？グラッグさまに報告せねば……！									ラリッ！？　な、な、な、何奴！？グラッグさまに報告せねば……！	ドヴェルグの煙突
ふぁぁ～。いかん、急に眠くなってきた……。採掘中にうたた寝は危険……休んでこよう……。									ふぁぁ～。いかん、急に眠くなってきた……。採掘中にうたた寝は危険……休んでこよう……。	ドヴェルグの煙突
むむむ……？ずいぶんと変わった形のタロースが、迷い込んできてるなー？									むむむ……？ずいぶんと変わった形のタロースが、迷い込んできてるなー？	ドヴェルグの煙突
むむむ……？こんな奴、仲間にいたっけなー……。コグーの帽子もしてない気がするし……タロース？									むむむ……？こんな奴、仲間にいたっけなー……。コグーの帽子もしてない気がするし……タロース？	ドヴェルグの煙突
おぅ……ぅ……むにゃー……。眠い……労働……今日はもう無理……。									おぅ……ぅ……むにゃー……。眠い……労働……今日はもう無理……。	ドヴェルグの煙突
隠れて見ていたが、ここで採掘していたコグー一家のドワーフ族たちは、皆、外へ退散していったようだ。									隠れて見ていたが、ここで採掘していたコグー一家のドワーフ族たちは、皆、外へ退散していったようだ。	ドヴェルグの煙突
おつかれさま、我々にできる仕事はここまでだ。あとはコルットが鉱石を掘り出してきてくれることを信じて、待っているとしよう。									おつかれさま、我々にできる仕事はここまでだ。あとはコルットが鉱石を掘り出してきてくれることを信じて、待っているとしよう。	ドヴェルグの煙突
お待たせしましたー！									お待たせしましたー！	ドヴェルグの煙突
純度の高い「大地の種」を集めてきましたよ！とりあえず、ひと袋だけ持ってきましたが、奥にもまだまだあります！									純度の高い「大地の種」を集めてきましたよ！とりあえず、ひと袋だけ持ってきましたが、奥にもまだまだあります！	ドヴェルグの煙突
よくやってくれた。それほどの量があるのなら、チャイ・ヌズは必ずや、心核としてうまく活用してくれるだろう。									よくやってくれた。それほどの量があるのなら、チャイ・ヌズは必ずや、心核としてうまく活用してくれるだろう。	ドヴェルグの煙突
さあ、早く運び出してしまうとしよう…………									さあ、早く運び出してしまうとしよう…………	ドヴェルグの煙突
す、水晶公！？　大丈夫す！？									す、水晶公！？　大丈夫す！？	ドヴェルグの煙突
……ああ、すまない。クリスタリウムを離れて、しばらく経ったからな……。									……ああ、すまない。クリスタリウムを離れて、しばらく経ったからな……。	ドヴェルグの煙突
それに、少しばかり、はりきりすぎたらしい。せっかくの機会なのに……ままならないものだ……。									それに、少しばかり、はりきりすぎたらしい。せっかくの機会なのに……ままならないものだ……。	ドヴェルグの煙突
(-？？？？-)コラ～ッ！そこで何をしてるのじゃ～ッ！									(-？？？？-)コラ～ッ！そこで何をしてるのじゃ～ッ！	ドヴェルグの煙突
ゲゲッ！コグー一家の最長老、グラッグ！？									ゲゲッ！コグー一家の最長老、グラッグ！？	ドヴェルグの煙突
むむっ、そっちはトルー一家の……！？									むむっ、そっちはトルー一家の……！？	ドヴェルグの煙突
ははーん……ここで採掘をしている仲間たちが、次々に眠いと言って戻ってくるものじゃから、変なガスでも出たかと思って見に来たのじゃが……									ははーん……ここで採掘をしている仲間たちが、次々に眠いと言って戻ってくるものじゃから、変なガスでも出たかと思って見に来たのじゃが……	ドヴェルグの煙突
お前たちの仕業だったのじゃな！？この卑怯なやりクチ、軟弱フニャフニャヒゲのトルーらしい姑息さよ！									お前たちの仕業だったのじゃな！？この卑怯なやりクチ、軟弱フニャフニャヒゲのトルーらしい姑息さよ！	ドヴェルグの煙突
むかーっ、聞き捨てならないす！コグー一家のヒゲなんて、ゴワゴワのガビガビで、まるでノッカーの触手みたいす！									むかーっ、聞き捨てならないす！コグー一家のヒゲなんて、ゴワゴワのガビガビで、まるでノッカーの触手みたいす！	ドヴェルグの煙突
あっしらのヒゲは、いつでもフワフワのモコモコ！油の塗りすぎで臭ってる、そっちのヒゲとは違うす！									あっしらのヒゲは、いつでもフワフワのモコモコ！油の塗りすぎで臭ってる、そっちのヒゲとは違うす！	ドヴェルグの煙突
なんじゃと、小童が！お前たちの弱っちくて頼りないナヨナヨヒゲなど、ホブゴブリンの鼻毛の方が、いくぶんマシなくらいよ！									なんじゃと、小童が！お前たちの弱っちくて頼りないナヨナヨヒゲなど、ホブゴブリンの鼻毛の方が、いくぶんマシなくらいよ！	ドヴェルグの煙突
(-コルットとグラッグ-)ムキィィィッ！									(-コルットとグラッグ-)ムキィィィッ！	ドヴェルグの煙突
……なるほど、両者は犬猿の仲というわけか。これは、放っておくと決着がつかなさそうだ。									……なるほど、両者は犬猿の仲というわけか。これは、放っておくと決着がつかなさそうだ。	ドヴェルグの煙突
ところで、Forename……ここにまだ、ドリームパウダーの余りがあるのだが？									ところで、Forename……ここにまだ、ドリームパウダーの余りがあるのだが？	ドヴェルグの煙突
何と言う？									何と言う？	ドヴェルグの煙突
どうぞどうぞ									どうぞどうぞ	ドヴェルグの煙突
話の邪魔をするのはよくない									話の邪魔をするのはよくない	ドヴェルグの煙突
おもしろいところなのに……									おもしろいところなのに……	ドヴェルグの煙突
では、今は先を急がせてもらうとしよう。……あなたはいつか、彼らのイザコザに、また改めて巻き込まれるような気もするがね。									では、今は先を急がせてもらうとしよう。……あなたはいつか、彼らのイザコザに、また改めて巻き込まれるような気もするがね。	ドヴェルグの煙突
優しい人だな、あなたは……。だが、私たちには先を急がねばならない理由がある。この場は少し強引に収めさせてもらおう。									優しい人だな、あなたは……。だが、私たちには先を急がねばならない理由がある。この場は少し強引に収めさせてもらおう。	ドヴェルグの煙突
なに、あなたがそう思っているのなら、いつかまた改めて、彼らのドタバタに巻き込まれる日も来よう。しかし今は、この場を収めさせてもらうぞ。									なに、あなたがそう思っているのなら、いつかまた改めて、彼らのドタバタに巻き込まれる日も来よう。しかし今は、この場を収めさせてもらうぞ。	ドヴェルグの煙突
ラリッ！？ほにゃにゃにゃにゃ～……									ラリッ！？ほにゃにゃにゃにゃ～……	ドヴェルグの煙突
ずー……ずー……ふごふご……。									ずー……ずー……ふごふご……。	ドヴェルグの煙突
コルットも……私に免じて、今は怒りを鎮めてほしい。									コルットも……私に免じて、今は怒りを鎮めてほしい。	ドヴェルグの煙突
め、滅相もないす……。すみません、あっしら、コグー一家のこととなると、つい頭に血が上っちゃって……。									め、滅相もないす……。すみません、あっしら、コグー一家のこととなると、つい頭に血が上っちゃって……。	ドヴェルグの煙突
いや、謝ることはないさ。お前は、そういった事情を押してまで、この場所に来てくれた。おかげで私たちは目的を果たせたのだ。									いや、謝ることはないさ。お前は、そういった事情を押してまで、この場所に来てくれた。おかげで私たちは目的を果たせたのだ。	ドヴェルグの煙突
さあ、タロースの心核にする鉱石は、十分に揃った。ノルヴラントの平和にむけて、計画をさらに進めよう……！									さあ、タロースの心核にする鉱石は、十分に揃った。ノルヴラントの平和にむけて、計画をさらに進めよう……！	ドヴェルグの煙突
ドヴェルグの煙突の水晶公は、何かを考えついたようだ。									ドヴェルグの煙突の水晶公は、何かを考えついたようだ。	萌芽のとき
水晶公から、コルットを村まで送るよう頼まれた。コルシア島のトメラの村にいる「ザモット」と話そう。									水晶公から、コルットを村まで送るよう頼まれた。コルシア島のトメラの村にいる「ザモット」と話そう。	萌芽のとき
ザモットからドワーフ製のピックをもらった。コルシア島のトップラングにいる「アリゼー」と話そう。									ザモットからドワーフ製のピックをもらった。コルシア島のトップラングにいる「アリゼー」と話そう。	萌芽のとき
アリゼーと話した。トップラングに集っている仲間たちに「ドワーフ製のピック」を渡そう。									アリゼーと話した。トップラングに集っている仲間たちに「ドワーフ製のピック」を渡そう。	萌芽のとき
仲間たちにピックを渡した。トップラングのアリゼーと話そう。									仲間たちにピックを渡した。トップラングのアリゼーと話そう。	萌芽のとき
アリゼーと話した。ほかの仲間が無事に出発できたことで、彼女もまた、現場に向かうようだ。これまで出会ってきたノルヴラントの人々に懸けて、作戦を成功させよう。									アリゼーと話した。ほかの仲間が無事に出発できたことで、彼女もまた、現場に向かうようだ。これまで出会ってきたノルヴラントの人々に懸けて、作戦を成功させよう。	萌芽のとき
ザモットと話す									ザモットと話す	萌芽のとき
アリゼーと話す									アリゼーと話す	萌芽のとき
マグヌスにドワーフ製のピックを渡す									マグヌスにドワーフ製のピックを渡す	萌芽のとき
ローンロンにドワーフ製のピックを渡す									ローンロンにドワーフ製のピックを渡す	萌芽のとき
カイ・シルにドワーフ製のピックを渡す									カイ・シルにドワーフ製のピックを渡す	萌芽のとき
アリゼーと話す									アリゼーと話す	萌芽のとき
お役に立てて、何よりす！あっしの掘った「大地の種」、存分に使ってほしいす！									お役に立てて、何よりす！あっしの掘った「大地の種」、存分に使ってほしいす！	萌芽のとき
ずー……むにゃ……ずー……。									ずー……むにゃ……ずー……。	萌芽のとき
Forename、提案があるんだ。ここから先は、手分けをして迅速に進めよう。									Forename、提案があるんだ。ここから先は、手分けをして迅速に進めよう。	萌芽のとき
私は、コルットの掘り出した「大地の種」を集め、チャイ・ヌズのところへと運んでおく。									私は、コルットの掘り出した「大地の種」を集め、チャイ・ヌズのところへと運んでおく。	萌芽のとき
あなたには、コルットを村まで送り届けてほしい。行きに道中の罪喰いを掃討してあるとはいえ、ひとりで帰らせるのは心配だ……。									あなたには、コルットを村まで送り届けてほしい。行きに道中の罪喰いを掃討してあるとはいえ、ひとりで帰らせるのは心配だ……。	萌芽のとき
よし、それでは任せた。……短い時間だったが、ともに冒険できて光栄だったよ。またのちほど、アミティーで。									よし、それでは任せた。……短い時間だったが、ともに冒険できて光栄だったよ。またのちほど、アミティーで。	萌芽のとき
コルットが掘りだした石は、集めてアミティーに運んでおこう。あなたは「トメラの村」に戻り、「ザモット」に報告を……。									コルットが掘りだした石は、集めてアミティーに運んでおこう。あなたは「トメラの村」に戻り、「ザモット」に報告を……。	萌芽のとき
帰りは襲われなかったすね！一緒に戻ってきてくれて、ありがとうございます！									帰りは襲われなかったすね！一緒に戻ってきてくれて、ありがとうございます！	萌芽のとき
ラリホー！おみゃーら、無事に戻ったか！んで、どうだった？　「大地の種」は？									ラリホー！おみゃーら、無事に戻ったか！んで、どうだった？　「大地の種」は？	萌芽のとき
そりゃあもう、ガッツリガッポリ！必要な分に足りそうってことだったので、水晶公に運んでもらいました！									そりゃあもう、ガッツリガッポリ！必要な分に足りそうってことだったので、水晶公に運んでもらいました！	萌芽のとき
